"pgisced97","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"middle vocational","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1985","66 und älter","Westdeutschland, alte Bundeslaender","521","0.470008734557633","0.440726560739113","0.499290908376153"
"middle vocational","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","151","0.038319483586189","0.032455633077035","0.0441833340953429"
"vocational + Abi","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","111","0.0153507797602108","0.0121705367360538","0.0185310227843678"
"vocational + Abi","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","196","0.0576940272584795","0.0505717470296898","0.0648163074872692"
"higher vocational","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","345","0.0746226659774437","0.0678251673777085","0.0814201645771789"
"higher vocational","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1985","66 und älter","Westdeutschland, alte Bundeslaender","80","0.0658686906856308","0.0513154579917868","0.0804219233794749"
"higher vocational","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","240","0.0652357860958651","0.057692655160052","0.0727789170316781"
"higher education","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","462","0.0915740845661625","0.0841132850812663","0.0990348840510587"
"higher education","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1985","66 und älter","Westdeutschland, alte Bundeslaender","56","0.0484065189403176","0.035814549848669","0.0609984880319663"
"higher education","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","188","0.0446447919592256","0.0382693612290872","0.051020222689364"
"in school","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"in school","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"in school","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","234","0.0328695153726401","0.0273654842776379","0.0383735464676423"
"inadequately","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","537","0.0236945782220649","0.0196580511831876","0.0277311052609423"
"inadequately","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1132","0.241756281174614","0.228539217390079","0.254973344959149"
"general elemantary","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1396","0.251863056492217","0.240342769204639","0.263383343779794"
"general elemantary","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1986","66 und älter","Westdeutschland, alte Bundeslaender","399","0.383460188449781","0.354008143574125","0.412912233325436"
"general elemantary","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1903","0.519616594292831","0.504193298191648","0.535039890394014"
"middle vocational","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2630","0.541031501908304","0.527806576238763","0.554256427577846"
"middle vocational","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1986","66 und älter","Westdeutschland, alte Bundeslaender","482","0.473827984627608","0.443583305818884","0.504072663436332"
"middle vocational","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","155","0.0394109403437466","0.0334044759268873","0.045417404760606"
"vocational + Abi","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","103","0.0148175549606702","0.0116110115053823","0.0180240984159581"
"vocational + Abi","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","190","0.0562750316670833","0.0491608936128406","0.063389169721326"
"higher vocational","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","319","0.0730190154250208","0.0661143295831402","0.0799237012669014"
"higher vocational","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1986","66 und älter","Westdeutschland, alte Bundeslaender","74","0.0664513415720968","0.0513646119770787","0.0815380711671148"
"higher vocational","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","229","0.0654268451898591","0.0577932990894361","0.0730603912902821"
"higher education","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","469","0.0955742929917231","0.0877715460837039","0.103377039899742"
"higher education","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1986","66 und älter","Westdeutschland, alte Bundeslaender","53","0.0468433783935682","0.0340442325004439","0.0596425242866925"
"higher education","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","192","0.041739493566573","0.0355128868277402","0.0479661003054058"
"in school","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"in school","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"in school","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","208","0.0299595442194661","0.0246519394046481","0.0352671490342841"
"inadequately","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","537","0.02598183707084","0.0217158984307171","0.0302477757109629"
"inadequately","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1096","0.219719569489514","0.206828297189765","0.232610841789263"
"general elemantary","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1348","0.244811567498371","0.233281289429454","0.256341845567288"
"general elemantary","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1987","66 und älter","Westdeutschland, alte Bundeslaender","413","0.378249109274763","0.349393490812037","0.407104727737488"
"general elemantary","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1909","0.543537090470113","0.528029176090232","0.559045004849995"
"middle vocational","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2571","0.541298184417063","0.527935932231095","0.554660436603031"
"middle vocational","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1987","66 und älter","Westdeutschland, alte Bundeslaender","508","0.484309787988981","0.454573326417559","0.514046249560403"
"middle vocational","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","156","0.0447891506074915","0.0383493548835547","0.0512289463314283"
"vocational + Abi","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","103","0.0150366627232469","0.0117731755426401","0.0183001499038538"
"vocational + Abi","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","183","0.0539810218227291","0.0469453345091636","0.0610167091362945"
"higher vocational","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","316","0.074024016651302","0.0670032856409133","0.0810447476616907"
"higher vocational","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1987","66 und älter","Westdeutschland, alte Bundeslaender","70","0.0623510211310158","0.0479638586073478","0.0767381836546839"
"higher vocational","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","219","0.0662741298241131","0.0585291949928651","0.0740190646553612"
"higher education","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","467","0.0988477316391769","0.0908442566321969","0.106851206646157"
"higher education","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1987","66 und älter","Westdeutschland, alte Bundeslaender","58","0.0514149390930178","0.0382743139925436","0.064555564193492"
"higher education","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","164","0.0436497491373028","0.0371130548670844","0.0501864434075213"
"in school","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"in school","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1988","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"in school","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","191","0.0284479777392741","0.0231291302391436","0.0337668252394047"
"inadequately","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","494","0.023751178048642","0.0195592889488158","0.0279430671484682"
"inadequately","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1988","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1077","0.216300587057241","0.203128262629965","0.229472911484516"
"general elemantary","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1274","0.239839303053742","0.228084920316264","0.25159368579122"
"general elemantary","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1988","66 und älter","Westdeutschland, alte Bundeslaender","389","0.37100699178878","0.341857175822153","0.400156807755407"
"general elemantary","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1802","0.546050538256405","0.530121887827312","0.561979188685498"
"middle vocational","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2450","0.544850731229342","0.531141830261588","0.558559632197095"
"middle vocational","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1988","66 und älter","Westdeutschland, alte Bundeslaender","505","0.493925433075147","0.463756509703723","0.524094356446571"
"middle vocational","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","153","0.0484120521589334","0.0415451632498385","0.0552789410680284"
"vocational + Abi","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","99","0.0152235178712133","0.0118528707308389","0.0185941650115878"
"vocational + Abi","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1988","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","162","0.0498436205457113","0.042881185706575","0.0568060553848476"
"higher vocational","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","310","0.0765436633941583","0.0692246970487456","0.0838626297395711"
"higher vocational","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1988","66 und älter","Westdeutschland, alte Bundeslaender","69","0.0615887510828933","0.047082033293293","0.0760954688724936"
"higher vocational","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","204","0.0672954751051329","0.0592801012718801","0.0753108489383857"
"higher education","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","442","0.0997916064029023","0.091540627411883","0.108042585393922"
"higher education","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1988","66 und älter","Westdeutschland, alte Bundeslaender","56","0.0490324259634414","0.0360023662444682","0.0620624856824147"
"higher education","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","175","0.0515193942287199","0.0443715000149213","0.0586672884425185"
"in school","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"in school","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1989","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"in school","1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","172","0.0268762062365946","0.0216468702855827","0.0321055421876064"
"inadequately","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","475","0.0257000558244658","0.0212539948861903","0.0301461167627414"
"inadequately","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1989","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1007","0.210632008101378","0.197446998352666","0.223817017850091"
"general elemantary","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1196","0.23067243037564","0.218836142140778","0.242508718610502"
"general elemantary","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1989","66 und älter","Westdeutschland, alte Bundeslaender","387","0.374781425619483","0.345190639765667","0.404372211473299"
"general elemantary","1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1791","0.537599164982444","0.521477231958365","0.553721098006523"
"middle vocational","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2367","0.547108705990806","0.533122631478064","0.561094780503549"
"middle vocational","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1989","66 und älter","Westdeutschland, alte Bundeslaender","480","0.484730728441939","0.454180185601622","0.515281271282255"
"middle vocational","1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","166","0.0532367183108347","0.0459772492888425","0.060496187332827"
"vocational + Abi","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","100","0.0164677512941695","0.0128919490662402","0.0200435535220988"
"vocational + Abi","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1989","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","157","0.0493378991821406","0.0423349345667148","0.0563408637975664"
"higher vocational","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","291","0.0750818636557439","0.0676776113640889","0.0824861159473989"
"higher vocational","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1989","66 und älter","Westdeutschland, alte Bundeslaender","68","0.0625752741740588","0.0477698410655138","0.0773807072826039"
"higher vocational","1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","206","0.0707986089578878","0.0625049570613711","0.0790922608544044"
"higher education","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","437","0.104969192859175","0.0963570354382784","0.113581350280071"
"higher education","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1989","66 und älter","Westdeutschland, alte Bundeslaender","56","0.0504618730982108","0.0370808468971295","0.0638428992992922"
"higher education","1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","162","0.0462607740487499","0.0393472417605289","0.0531743063369709"
"in school","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","33","0.0168206297598052","0.010711127671152","0.0229301318484584"
"in school","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"in school","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"in school","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","161","0.0294914620725153","0.0239231116583771","0.0350598124866534"
"inadequately","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","460","0.0271259577704528","0.022508112776921","0.0317438027639846"
"inadequately","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","941","0.209450295608932","0.196057112560114","0.222843478657749"
"general elemantary","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","191","0.111350339978631","0.0964059092479325","0.126294770709329"
"general elemantary","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1160","0.224014194890724","0.21216242638255","0.235865963398898"
