"pgisced97","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"vocational + Abi","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","312","0.327725661310693","0.296553457661173","0.358897864960212"
"vocational + Abi","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher vocational","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","300","0.0479381368054447","0.0430337210875848","0.0528425525233046"
"higher vocational","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","211","0.112695136489516","0.0984313078094446","0.126958965169587"
"higher vocational","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","144","0.215238905790978","0.187944846330837","0.242532965251119"
"higher vocational","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"higher vocational","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","793","1","1","1"
"higher education","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","188","0.425010969876139","0.395863772531862","0.454158167220416"
"in school","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"in school","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"in school","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"in school","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"in school","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","820","0.505667667721451","0.476188918445193","0.53514641699771"
"inadequately","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","2605","0.372564360345862","0.360785206812719","0.384343513879005"
"general elemantary","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","475","0.252141268277226","0.232185727910408","0.272096808644044"
"general elemantary","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","94","0.0618462039560527","0.0476438446310275","0.0760485632810778"
"middle vocational","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","3557","0.572977719474655","0.560926722656703","0.585028716292607"
"middle vocational","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","1144","0.638312007477904","0.616231182563115","0.660392832392692"
"middle vocational","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","378","0.437024725271892","0.402501674866198","0.471547775677587"
"middle vocational","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"middle vocational","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","280","0.340962186375929","0.307969340907461","0.373955031844397"
"vocational + Abi","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher vocational","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","281","0.0496336397170617","0.0443423392175648","0.0549249402165586"
"higher vocational","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","200","0.10954672424487","0.0951939118851743","0.123899536604566"
"higher vocational","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","135","0.222013088352179","0.193087184930467","0.25093899177389"
"higher vocational","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"higher vocational","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","758","1","1","1"
"higher education","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1986","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","188","0.37847687485151","0.349028417310539","0.407925332392481"
"in school","1986","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1986","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"in school","1986","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1986","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"in school","1986","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1986","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"in school","1986","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1986","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"in school","1986","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1986","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","762","0.542927381338777","0.512680701689568","0.573174060987986"
"inadequately","1986","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1986","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1986","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1986","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1986","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1986","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1986","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1986","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1986","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1986","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1986","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1986","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","2459","0.364772023059323","0.352711019824789","0.376833026293856"
"general elemantary","1986","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1986","Realschulabschluss","Westdeutschland, alte Bundeslaender","468","0.248569385026979","0.228486394726211","0.268652375327748"
"general elemantary","1986","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1986","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1986","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1986","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1986","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1986","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","90","0.0699616884413779","0.0544737079790083","0.0854496689037475"
"middle vocational","1986","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1986","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","3367","0.580102099335617","0.567736022669906","0.592468176001329"
"middle vocational","1986","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1986","Realschulabschluss","Westdeutschland, alte Bundeslaender","1131","0.651353785540736","0.629209531005021","0.67349804007645"
"middle vocational","1986","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1986","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","405","0.468734947343023","0.434537732997024","0.502932161689022"
"middle vocational","1986","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1986","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"middle vocational","1986","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1986","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1986","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1986","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1986","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1986","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1986","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1986","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","278","0.321429510740842","0.289424955446368","0.353434066035315"
"vocational + Abi","1986","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1986","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1986","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1986","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher vocational","1986","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1986","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","265","0.0499638793385512","0.0445049685286848","0.0554227901484175"
"higher vocational","1986","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1986","Realschulabschluss","Westdeutschland, alte Bundeslaender","180","0.100076829432285","0.0861314735177243","0.114022185346845"
"higher vocational","1986","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1986","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","135","0.209835541916135","0.181931333299711","0.237739750532559"
"higher vocational","1986","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1986","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"higher vocational","1986","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1986","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1986","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1986","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1986","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1986","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1986","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1986","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1986","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1986","AkademikerInnen","Westdeutschland, alte Bundeslaender","751","1","1","1"
"higher education","1986","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1987","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","192","0.364921022001492","0.335334022499409","0.394508021503575"
"in school","1987","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1987","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"in school","1987","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1987","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"in school","1987","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1987","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"in school","1987","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1987","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"in school","1987","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1987","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","732","0.548968944876649","0.518387026421051","0.579550863332247"
"inadequately","1987","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1987","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","30","0.00545644188184921","0.00359988238728088","0.00731300137641753"
"inadequately","1987","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1987","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1987","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1987","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1987","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1987","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1987","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1987","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1987","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1987","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","2425","0.358496681107312","0.346410635652368","0.370582726562256"
"general elemantary","1987","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1987","Realschulabschluss","Westdeutschland, alte Bundeslaender","433","0.215380027777207","0.196201815125944","0.23455824042847"
"general elemantary","1987","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1987","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1987","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"general elemantary","1987","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"general elemantary","1987","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1987","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","90","0.0774686410977559","0.0610385053218499","0.0938987768736618"
"middle vocational","1987","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1987","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","3338","0.587235169389402","0.574827232618394","0.59964310616041"
"middle vocational","1987","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1987","Realschulabschluss","Westdeutschland, alte Bundeslaender","1152","0.683496456894872","0.66179778474487","0.705195129044873"
"middle vocational","1987","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1987","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","382","0.454615893292019","0.419849588885735","0.489382197698303"
"middle vocational","1987","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"middle vocational","1987","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"middle vocational","1987","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1987","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1987","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1987","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1987","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1987","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1987","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1987","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","278","0.340790200717859","0.307696879198119","0.373883522237598"
"vocational + Abi","1987","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"vocational + Abi","1987","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"vocational + Abi","1987","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1987","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher vocational","1987","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1987","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","255","0.0488117076214367","0.0433812372508719","0.0542421779920015"
"higher vocational","1987","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1987","Realschulabschluss","Westdeutschland, alte Bundeslaender","180","0.101123515327921","0.0870581238283597","0.115188906827483"
"higher vocational","1987","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1987","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","128","0.204593905990122","0.176427866351262","0.232759945628983"
"higher vocational","1987","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"higher vocational","1987","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"higher vocational","1987","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1987","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1987","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1987","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1987","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1987","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1987","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1987","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"higher education","1987","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"higher education","1987","AkademikerInnen","Westdeutschland, alte Bundeslaender","744","1","1","1"
"higher education","1987","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1988","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","164","0.390125295487964","0.358605997000391","0.421644593975538"
"in school","1988","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1988","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"in school","1988","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1988","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"in school","1988","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1988","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"in school","1988","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"in school","1988","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"in school","1988","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1988","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","674","0.526236222721557","0.493971683063809","0.558500762379304"
"inadequately","1988","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"inadequately","1988","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"inadequately","1988","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
