"pgisced97","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"middle vocational","1984","35-65 Jahre alt","(noch) kein Abschluss","77","0.113924270355639","0.0914245430468432","0.136423997664434"
"middle vocational","1984","35-65 Jahre alt","Hauptschulabschluss","2286","0.583310744201788","0.568184854373477","0.5984366340301"
"middle vocational","1984","35-65 Jahre alt","Realschulabschluss","534","0.761603589985366","0.730083033096207","0.793124146874525"
"middle vocational","1984","35-65 Jahre alt","(Fach-)Abitur","52","0.134121714868167","0.0918785877896951","0.176364841946639"
"middle vocational","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"middle vocational","1984","66 und älter","(noch) kein Abschluss","","","",""
"middle vocational","1984","66 und älter","Hauptschulabschluss","444","0.455688731043932","0.424363355710301","0.487014106377563"
"middle vocational","1984","66 und älter","Realschulabschluss","124","0.687652414090304","0.619568948724694","0.755735879455914"
"middle vocational","1984","66 und älter","(Fach-)Abitur","","","",""
"middle vocational","1984","66 und älter","AkademikerInnen","","","",""
"vocational + Abi","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"vocational + Abi","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"vocational + Abi","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"vocational + Abi","1984","16-34 Jahre alt","(Fach-)Abitur","164","0.271177186685911","0.234776604093001","0.307577769278821"
"vocational + Abi","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"vocational + Abi","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"vocational + Abi","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"vocational + Abi","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"vocational + Abi","1984","35-65 Jahre alt","(Fach-)Abitur","128","0.452557209096954","0.390857345922268","0.514257072271641"
"vocational + Abi","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"vocational + Abi","1984","66 und älter","(noch) kein Abschluss","","","",""
"vocational + Abi","1984","66 und älter","Hauptschulabschluss","","","",""
"vocational + Abi","1984","66 und älter","Realschulabschluss","","","",""
"vocational + Abi","1984","66 und älter","(Fach-)Abitur","","","",""
"vocational + Abi","1984","66 und älter","AkademikerInnen","","","",""
"higher vocational","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"higher vocational","1984","16-34 Jahre alt","Hauptschulabschluss","55","0.0324544613620972","0.025111216515598","0.0397977062085964"
"higher vocational","1984","16-34 Jahre alt","Realschulabschluss","102","0.101922190825453","0.0832451020604384","0.120599279590468"
"higher vocational","1984","16-34 Jahre alt","(Fach-)Abitur","53","0.108550533503566","0.0830801710103583","0.134020895996773"
"higher vocational","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"higher vocational","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"higher vocational","1984","35-65 Jahre alt","Hauptschulabschluss","206","0.0595370228070725","0.052277146819025","0.06679689879512"
"higher vocational","1984","35-65 Jahre alt","Realschulabschluss","87","0.123888949486474","0.0995178344730471","0.148260064499901"
"higher vocational","1984","35-65 Jahre alt","(Fach-)Abitur","70","0.413321076034879","0.352280010545878","0.47436214152388"
"higher vocational","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"higher vocational","1984","66 und älter","(noch) kein Abschluss","","","",""
"higher vocational","1984","66 und älter","Hauptschulabschluss","39","0.0352529585153803","0.0236533591712305","0.0468525578595301"
"higher vocational","1984","66 und älter","Realschulabschluss","","","",""
"higher vocational","1984","66 und älter","(Fach-)Abitur","","","",""
"higher vocational","1984","66 und älter","AkademikerInnen","","","",""
"higher education","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"higher education","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"higher education","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"higher education","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"higher education","1984","16-34 Jahre alt","AkademikerInnen","248","1","1","1"
"higher education","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"higher education","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"higher education","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"higher education","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"higher education","1984","35-65 Jahre alt","AkademikerInnen","482","1","1","1"
"higher education","1984","66 und älter","(noch) kein Abschluss","","","",""
"higher education","1984","66 und älter","Hauptschulabschluss","","","",""
"higher education","1984","66 und älter","Realschulabschluss","","","",""
"higher education","1984","66 und älter","(Fach-)Abitur","","","",""
"higher education","1984","66 und älter","AkademikerInnen","63","1","1","1"
"in school","1985","16-34 Jahre alt","(noch) kein Abschluss","188","0.655573800677263","0.611123498762489","0.700024102592037"
"in school","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"in school","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"in school","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"in school","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"in school","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"in school","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"in school","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"in school","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"in school","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"in school","1985","66 und älter","(noch) kein Abschluss","","","",""
"in school","1985","66 und älter","Hauptschulabschluss","","","",""
"in school","1985","66 und älter","Realschulabschluss","","","",""
"in school","1985","66 und älter","(Fach-)Abitur","","","",""
"in school","1985","66 und älter","AkademikerInnen","","","",""
"inadequately","1985","16-34 Jahre alt","(noch) kein Abschluss","219","0.31254746509545","0.269186875367116","0.355908054823784"
"inadequately","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"inadequately","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"inadequately","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"inadequately","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"inadequately","1985","35-65 Jahre alt","(noch) kein Abschluss","587","0.879218709672984","0.854147572347382","0.904289846998587"
"inadequately","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"inadequately","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"inadequately","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"inadequately","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"inadequately","1985","66 und älter","(noch) kein Abschluss","","","",""
"inadequately","1985","66 und älter","Hauptschulabschluss","","","",""
"inadequately","1985","66 und älter","Realschulabschluss","","","",""
"inadequately","1985","66 und älter","(Fach-)Abitur","","","",""
"inadequately","1985","66 und älter","AkademikerInnen","","","",""
"general elemantary","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"general elemantary","1985","16-34 Jahre alt","Hauptschulabschluss","776","0.315308434433748","0.294563000817177","0.33605386805032"
"general elemantary","1985","16-34 Jahre alt","Realschulabschluss","370","0.378130135562435","0.347660863976706","0.408599407148163"
"general elemantary","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"general elemantary","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"general elemantary","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"general elemantary","1985","35-65 Jahre alt","Hauptschulabschluss","1429","0.352773424497798","0.337401784371723","0.368145064623873"
"general elemantary","1985","35-65 Jahre alt","Realschulabschluss","77","0.114422474007619","0.09047927561892","0.138365672396318"
"general elemantary","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"general elemantary","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"general elemantary","1985","66 und älter","(noch) kein Abschluss","","","",""
"general elemantary","1985","66 und älter","Hauptschulabschluss","399","0.486570068108739","0.452607563191958","0.52053257302552"
"general elemantary","1985","66 und älter","Realschulabschluss","","","",""
"general elemantary","1985","66 und älter","(Fach-)Abitur","","","",""
"general elemantary","1985","66 und älter","AkademikerInnen","","","",""
"middle vocational","1985","16-34 Jahre alt","(noch) kein Abschluss","31","0.031637168884453","0.0152639641243667","0.0480103736445392"
"middle vocational","1985","16-34 Jahre alt","Hauptschulabschluss","1077","0.636005186789042","0.614522669993981","0.657487703584103"
"middle vocational","1985","16-34 Jahre alt","Realschulabschluss","513","0.530562757430556","0.499204723746062","0.561920791115051"
"middle vocational","1985","16-34 Jahre alt","(Fach-)Abitur","321","0.583133639698106","0.540918821763612","0.625348457632599"
"middle vocational","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"middle vocational","1985","35-65 Jahre alt","(noch) kein Abschluss","61","0.111568498667978","0.0873465816673077","0.135790415668649"
"middle vocational","1985","35-65 Jahre alt","Hauptschulabschluss","2086","0.584978808132489","0.56912807659092","0.600829539674058"
"middle vocational","1985","35-65 Jahre alt","Realschulabschluss","513","0.756759479515441","0.724488652094334","0.789030306936548"
"middle vocational","1985","35-65 Jahre alt","(Fach-)Abitur","50","0.153084470340958","0.106036331484285","0.200132609197632"
"middle vocational","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"middle vocational","1985","66 und älter","(noch) kein Abschluss","","","",""
"middle vocational","1985","66 und älter","Hauptschulabschluss","394","0.472868676651564","0.438943969048922","0.506793384254207"
"middle vocational","1985","66 und älter","Realschulabschluss","118","0.694220401490517","0.624342026868414","0.76409877611262"
"middle vocational","1985","66 und älter","(Fach-)Abitur","","","",""
"middle vocational","1985","66 und älter","AkademikerInnen","","","",""
"vocational + Abi","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"vocational + Abi","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"vocational + Abi","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"vocational + Abi","1985","16-34 Jahre alt","(Fach-)Abitur","151","0.289952113254066","0.251102257887549","0.328801968620583"
"vocational + Abi","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"vocational + Abi","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"vocational + Abi","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"vocational + Abi","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"vocational + Abi","1985","35-65 Jahre alt","(Fach-)Abitur","111","0.452365570628508","0.387330595907232","0.517400545349785"
"vocational + Abi","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"vocational + Abi","1985","66 und älter","(noch) kein Abschluss","","","",""
"vocational + Abi","1985","66 und älter","Hauptschulabschluss","","","",""
"vocational + Abi","1985","66 und älter","Realschulabschluss","","","",""
"vocational + Abi","1985","66 und älter","(Fach-)Abitur","","","",""
"vocational + Abi","1985","66 und älter","AkademikerInnen","","","",""
"higher vocational","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"higher vocational","1985","16-34 Jahre alt","Hauptschulabschluss","52","0.0339582927929802","0.0258714668373175","0.0420451187486429"
"higher vocational","1985","16-34 Jahre alt","Realschulabschluss","90","0.0913071070070091","0.0732081925267116","0.109406021487307"
"higher vocational","1985","16-34 Jahre alt","(Fach-)Abitur","52","0.126914247047829","0.0984128540190434","0.155415640076614"
"higher vocational","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"higher vocational","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"higher vocational","1985","35-65 Jahre alt","Hauptschulabschluss","190","0.0597424994838145","0.052118037475171","0.067366961492458"
"higher vocational","1985","35-65 Jahre alt","Realschulabschluss","89","0.12881804647694","0.103620631206183","0.154015461747697"
"higher vocational","1985","35-65 Jahre alt","(Fach-)Abitur","64","0.394549959030534","0.330687301093383","0.458412616967684"
"higher vocational","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"higher vocational","1985","66 und älter","(noch) kein Abschluss","","","",""
"higher vocational","1985","66 und älter","Hauptschulabschluss","39","0.040561255239697","0.02715675127834","0.0539657592010539"
"higher vocational","1985","66 und älter","Realschulabschluss","","","",""
"higher vocational","1985","66 und älter","(Fach-)Abitur","","","",""
"higher vocational","1985","66 und älter","AkademikerInnen","","","",""
"higher education","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"higher education","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"higher education","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"higher education","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"higher education","1985","16-34 Jahre alt","AkademikerInnen","240","1","1","1"
"higher education","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"higher education","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"higher education","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"higher education","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"higher education","1985","35-65 Jahre alt","AkademikerInnen","462","1","1","1"
"higher education","1985","66 und älter","(noch) kein Abschluss","","","",""
"higher education","1985","66 und älter","Hauptschulabschluss","","","",""
"higher education","1985","66 und älter","Realschulabschluss","","","",""
"higher education","1985","66 und älter","(Fach-)Abitur","","","",""
"higher education","1985","66 und älter","AkademikerInnen","56","1","1","1"
"in school","1986","16-34 Jahre alt","(noch) kein Abschluss","188","0.617983856610649","0.571626219804238","0.66434149341706"
"in school","1986","16-34 Jahre alt","Hauptschulabschluss","","","",""
"in school","1986","16-34 Jahre alt","Realschulabschluss","","","",""
"in school","1986","16-34 Jahre alt","(Fach-)Abitur","","","",""
"in school","1986","16-34 Jahre alt","AkademikerInnen","","","",""
"in school","1986","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"in school","1986","35-65 Jahre alt","Hauptschulabschluss","","","",""
"in school","1986","35-65 Jahre alt","Realschulabschluss","","","",""
"in school","1986","35-65 Jahre alt","(Fach-)Abitur","","","",""
"in school","1986","35-65 Jahre alt","AkademikerInnen","","","",""
"in school","1986","66 und älter","(noch) kein Abschluss","","","",""
"in school","1986","66 und älter","Hauptschulabschluss","","","",""
"in school","1986","66 und älter","Realschulabschluss","","","",""
"in school","1986","66 und älter","(Fach-)Abitur","","","",""
"in school","1986","66 und älter","AkademikerInnen","","","",""
"inadequately","1986","16-34 Jahre alt","(noch) kein Abschluss","211","0.349880489685241","0.304376620294653","0.395384359075828"
"inadequately","1986","16-34 Jahre alt","Hauptschulabschluss","","","",""
"inadequately","1986","16-34 Jahre alt","Realschulabschluss","","","",""
"inadequately","1986","16-34 Jahre alt","(Fach-)Abitur","","","",""
"inadequately","1986","16-34 Jahre alt","AkademikerInnen","","","",""
"inadequately","1986","35-65 Jahre alt","(noch) kein Abschluss","533","0.862790990106329","0.835237361792523","0.890344618420136"
"inadequately","1986","35-65 Jahre alt","Hauptschulabschluss","","","",""
"inadequately","1986","35-65 Jahre alt","Realschulabschluss","","","",""
"inadequately","1986","35-65 Jahre alt","(Fach-)Abitur","","","",""
"inadequately","1986","35-65 Jahre alt","AkademikerInnen","","","",""
"inadequately","1986","66 und älter","(noch) kein Abschluss","","","",""
"inadequately","1986","66 und älter","Hauptschulabschluss","","","",""
"inadequately","1986","66 und älter","Realschulabschluss","","","",""
"inadequately","1986","66 und älter","(Fach-)Abitur","","","",""
"inadequately","1986","66 und älter","AkademikerInnen","","","",""
"general elemantary","1986","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"general elemantary","1986","16-34 Jahre alt","Hauptschulabschluss","765","0.316672950881858","0.295492745258269","0.337853156505447"
"general elemantary","1986","16-34 Jahre alt","Realschulabschluss","367","0.373872670567548","0.343250781579538","0.404494559555558"
"general elemantary","1986","16-34 Jahre alt","(Fach-)Abitur","","","",""
"general elemantary","1986","16-34 Jahre alt","AkademikerInnen","","","",""
"general elemantary","1986","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"general elemantary","1986","35-65 Jahre alt","Hauptschulabschluss","1325","0.341054790566967","0.325353810952865","0.356755770181069"
"general elemantary","1986","35-65 Jahre alt","Realschulabschluss","71","0.108965982067438","0.0851396046240008","0.132792359510875"
"general elemantary","1986","35-65 Jahre alt","(Fach-)Abitur","","","",""
"general elemantary","1986","35-65 Jahre alt","AkademikerInnen","","","",""
"general elemantary","1986","66 und älter","(noch) kein Abschluss","","","",""
"general elemantary","1986","66 und älter","Hauptschulabschluss","369","0.478529474118645","0.44310767292014","0.51395127531715"
"general elemantary","1986","66 und älter","Realschulabschluss","30","0.201246243527221","0.139696728273066","0.262795758781377"
"general elemantary","1986","66 und älter","(Fach-)Abitur","","","",""
"general elemantary","1986","66 und älter","AkademikerInnen","","","",""
"middle vocational","1986","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"middle vocational","1986","16-34 Jahre alt","Hauptschulabschluss","1012","0.630948671783982","0.608977623275706","0.652919720292257"
"middle vocational","1986","16-34 Jahre alt","Realschulabschluss","511","0.544722147847397","0.51320371858137","0.576240577113424"
"middle vocational","1986","16-34 Jahre alt","(Fach-)Abitur","348","0.613117289777409","0.572743117716348","0.653491461838471"
"middle vocational","1986","16-34 Jahre alt","AkademikerInnen","","","",""
"middle vocational","1986","35-65 Jahre alt","(noch) kein Abschluss","65","0.128262095061953","0.101484176910268","0.155040013213639"
"middle vocational","1986","35-65 Jahre alt","Hauptschulabschluss","1996","0.597777391569561","0.581537130665528","0.614017652473595"
"middle vocational","1986","35-65 Jahre alt","Realschulabschluss","506","0.772979346799535","0.740947495787684","0.805011197811387"
"middle vocational","1986","35-65 Jahre alt","(Fach-)Abitur","50","0.158447277985238","0.109408307378464","0.207486248592012"
"middle vocational","1986","35-65 Jahre alt","AkademikerInnen","","","",""
"middle vocational","1986","66 und älter","(noch) kein Abschluss","","","",""
"middle vocational","1986","66 und älter","Hauptschulabschluss","359","0.478971319725669","0.443548185787338","0.514394453664"
"middle vocational","1986","66 und älter","Realschulabschluss","114","0.684429375612586","0.61308382500814","0.755774926217031"
"middle vocational","1986","66 und älter","(Fach-)Abitur","","","",""
"middle vocational","1986","66 und älter","AkademikerInnen","","","",""
"vocational + Abi","1986","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"vocational + Abi","1986","16-34 Jahre alt","Hauptschulabschluss","","","",""
"vocational + Abi","1986","16-34 Jahre alt","Realschulabschluss","","","",""
"vocational + Abi","1986","16-34 Jahre alt","(Fach-)Abitur","155","0.264149674926133","0.227601813431919","0.300697536420346"
"vocational + Abi","1986","16-34 Jahre alt","AkademikerInnen","","","",""
"vocational + Abi","1986","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"vocational + Abi","1986","35-65 Jahre alt","Hauptschulabschluss","","","",""
"vocational + Abi","1986","35-65 Jahre alt","Realschulabschluss","","","",""
"vocational + Abi","1986","35-65 Jahre alt","(Fach-)Abitur","103","0.444189231891876","0.37746158952394","0.510916874259812"
"vocational + Abi","1986","35-65 Jahre alt","AkademikerInnen","","","",""
"vocational + Abi","1986","66 und älter","(noch) kein Abschluss","","","",""
"vocational + Abi","1986","66 und älter","Hauptschulabschluss","","","",""
"vocational + Abi","1986","66 und älter","Realschulabschluss","","","",""
"vocational + Abi","1986","66 und älter","(Fach-)Abitur","","","",""
"vocational + Abi","1986","66 und älter","AkademikerInnen","","","",""
"higher vocational","1986","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"higher vocational","1986","16-34 Jahre alt","Hauptschulabschluss","53","0.0346102642780035","0.0262875654803092","0.0429329630756977"
"higher vocational","1986","16-34 Jahre alt","Realschulabschluss","81","0.0814051815850547","0.0640979817671297","0.0987123814029798"
"higher vocational","1986","16-34 Jahre alt","(Fach-)Abitur","56","0.122733035296458","0.0955317884130871","0.149934282179829"
"higher vocational","1986","16-34 Jahre alt","AkademikerInnen","","","",""
"higher vocational","1986","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"higher vocational","1986","35-65 Jahre alt","Hauptschulabschluss","177","0.059822717825498","0.0519680474123484","0.0676773882386476"
"higher vocational","1986","35-65 Jahre alt","Realschulabschluss","80","0.118054671133027","0.0933813377855967","0.142728004480458"
"higher vocational","1986","35-65 Jahre alt","(Fach-)Abitur","60","0.397363490122887","0.331646148121798","0.463080832123976"
"higher vocational","1986","35-65 Jahre alt","AkademikerInnen","","","",""
"higher vocational","1986","66 und älter","(noch) kein Abschluss","","","",""
"higher vocational","1986","66 und älter","Hauptschulabschluss","35","0.0412108486200163","0.0271157296379826","0.05530596760205"
"higher vocational","1986","66 und älter","Realschulabschluss","","","",""
"higher vocational","1986","66 und älter","(Fach-)Abitur","","","",""
"higher vocational","1986","66 und älter","AkademikerInnen","","","",""
"higher education","1986","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"higher education","1986","16-34 Jahre alt","Hauptschulabschluss","","","",""
"higher education","1986","16-34 Jahre alt","Realschulabschluss","","","",""
"higher education","1986","16-34 Jahre alt","(Fach-)Abitur","","","",""
"higher education","1986","16-34 Jahre alt","AkademikerInnen","229","1","1","1"
"higher education","1986","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"higher education","1986","35-65 Jahre alt","Hauptschulabschluss","","","",""
"higher education","1986","35-65 Jahre alt","Realschulabschluss","","","",""
"higher education","1986","35-65 Jahre alt","(Fach-)Abitur","","","",""
"higher education","1986","35-65 Jahre alt","AkademikerInnen","469","1","1","1"
"higher education","1986","66 und älter","(noch) kein Abschluss","","","",""
"higher education","1986","66 und älter","Hauptschulabschluss","","","",""
"higher education","1986","66 und älter","Realschulabschluss","","","",""
"higher education","1986","66 und älter","(Fach-)Abitur","","","",""
"higher education","1986","66 und älter","AkademikerInnen","53","1","1","1"
"in school","1987","16-34 Jahre alt","(noch) kein Abschluss","192","0.627564858690239","0.580127961143288","0.67500175623719"
"in school","1987","16-34 Jahre alt","Hauptschulabschluss","","","",""
"in school","1987","16-34 Jahre alt","Realschulabschluss","","","",""
"in school","1987","16-34 Jahre alt","(Fach-)Abitur","","","",""
"in school","1987","16-34 Jahre alt","AkademikerInnen","","","",""
"in school","1987","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"in school","1987","35-65 Jahre alt","Hauptschulabschluss","","","",""
"in school","1987","35-65 Jahre alt","Realschulabschluss","","","",""
"in school","1987","35-65 Jahre alt","(Fach-)Abitur","","","",""
"in school","1987","35-65 Jahre alt","AkademikerInnen","","","",""
"in school","1987","66 und älter","(noch) kein Abschluss","","","",""
"in school","1987","66 und älter","Hauptschulabschluss","","","",""
"in school","1987","66 und älter","Realschulabschluss","","","",""
"in school","1987","66 und älter","(Fach-)Abitur","","","",""
"in school","1987","66 und älter","AkademikerInnen","","","",""
"inadequately","1987","16-34 Jahre alt","(noch) kein Abschluss","184","0.332428563420928","0.286205398053831","0.378651728788024"
"inadequately","1987","16-34 Jahre alt","Hauptschulabschluss","","","",""
"inadequately","1987","16-34 Jahre alt","Realschulabschluss","","","",""
"inadequately","1987","16-34 Jahre alt","(Fach-)Abitur","","","",""
"inadequately","1987","16-34 Jahre alt","AkademikerInnen","","","",""
"inadequately","1987","35-65 Jahre alt","(noch) kein Abschluss","532","0.868206302977494","0.841094631919752","0.895317974035237"
"inadequately","1987","35-65 Jahre alt","Hauptschulabschluss","","","",""
"inadequately","1987","35-65 Jahre alt","Realschulabschluss","","","",""
"inadequately","1987","35-65 Jahre alt","(Fach-)Abitur","","","",""
"inadequately","1987","35-65 Jahre alt","AkademikerInnen","","","",""
"inadequately","1987","66 und älter","(noch) kein Abschluss","","","",""
"inadequately","1987","66 und älter","Hauptschulabschluss","","","",""
"inadequately","1987","66 und älter","Realschulabschluss","","","",""
"inadequately","1987","66 und älter","(Fach-)Abitur","","","",""
"inadequately","1987","66 und älter","AkademikerInnen","","","",""
"general elemantary","1987","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"general elemantary","1987","16-34 Jahre alt","Hauptschulabschluss","763","0.309191830965433","0.287999850001221","0.330383811929645"
"general elemantary","1987","16-34 Jahre alt","Realschulabschluss","333","0.306465148824392","0.277392525620664","0.33553777202812"
"general elemantary","1987","16-34 Jahre alt","(Fach-)Abitur","","","",""
