"pgisced97","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"in school","1986","AkademikerInnen","","","",""
"inadequately","1986","(noch) kein Abschluss","762","0.542927381338777","0.512680701689568","0.573174060987986"
"inadequately","1986","Hauptschulabschluss","","","",""
"inadequately","1986","Realschulabschluss","","","",""
"inadequately","1986","(Fach-)Abitur","","","",""
"inadequately","1986","AkademikerInnen","","","",""
"general elemantary","1986","(noch) kein Abschluss","","","",""
"general elemantary","1986","Hauptschulabschluss","2459","0.364772023059323","0.352711019824789","0.376833026293856"
"general elemantary","1986","Realschulabschluss","468","0.248569385026979","0.228486394726211","0.268652375327748"
"general elemantary","1986","(Fach-)Abitur","","","",""
"general elemantary","1986","AkademikerInnen","","","",""
"middle vocational","1986","(noch) kein Abschluss","90","0.0699616884413779","0.0544737079790083","0.0854496689037475"
"middle vocational","1986","Hauptschulabschluss","3367","0.580102099335617","0.567736022669906","0.592468176001329"
"middle vocational","1986","Realschulabschluss","1131","0.651353785540736","0.629209531005021","0.67349804007645"
"middle vocational","1986","(Fach-)Abitur","405","0.468734947343023","0.434537732997024","0.502932161689022"
"middle vocational","1986","AkademikerInnen","","","",""
"vocational + Abi","1986","(noch) kein Abschluss","","","",""
"vocational + Abi","1986","Hauptschulabschluss","","","",""
"vocational + Abi","1986","Realschulabschluss","","","",""
"vocational + Abi","1986","(Fach-)Abitur","278","0.321429510740842","0.289424955446368","0.353434066035315"
"vocational + Abi","1986","AkademikerInnen","","","",""
"higher vocational","1986","(noch) kein Abschluss","","","",""
"higher vocational","1986","Hauptschulabschluss","265","0.0499638793385512","0.0445049685286848","0.0554227901484175"
"higher vocational","1986","Realschulabschluss","180","0.100076829432285","0.0861314735177243","0.114022185346845"
"higher vocational","1986","(Fach-)Abitur","135","0.209835541916135","0.181931333299711","0.237739750532559"
"higher vocational","1986","AkademikerInnen","","","",""
"higher education","1986","(noch) kein Abschluss","","","",""
"higher education","1986","Hauptschulabschluss","","","",""
"higher education","1986","Realschulabschluss","","","",""
"higher education","1986","(Fach-)Abitur","","","",""
"higher education","1986","AkademikerInnen","751","1","1","1"
"in school","1987","(noch) kein Abschluss","192","0.364921022001492","0.335334022499409","0.394508021503575"
"in school","1987","Hauptschulabschluss","","","",""
"in school","1987","Realschulabschluss","","","",""
"in school","1987","(Fach-)Abitur","","","",""
"in school","1987","AkademikerInnen","","","",""
"inadequately","1987","(noch) kein Abschluss","732","0.548968944876649","0.518387026421051","0.579550863332247"
"inadequately","1987","Hauptschulabschluss","30","0.00545644188184921","0.00359988238728088","0.00731300137641753"
"inadequately","1987","Realschulabschluss","","","",""
"inadequately","1987","(Fach-)Abitur","","","",""
"inadequately","1987","AkademikerInnen","","","",""
"general elemantary","1987","(noch) kein Abschluss","","","",""
"general elemantary","1987","Hauptschulabschluss","2425","0.358496681107312","0.346410635652368","0.370582726562256"
"general elemantary","1987","Realschulabschluss","433","0.215380027777207","0.196201815125944","0.23455824042847"
"general elemantary","1987","(Fach-)Abitur","","","",""
"general elemantary","1987","AkademikerInnen","","","",""
"middle vocational","1987","(noch) kein Abschluss","90","0.0774686410977559","0.0610385053218499","0.0938987768736618"
"middle vocational","1987","Hauptschulabschluss","3338","0.587235169389402","0.574827232618394","0.59964310616041"
"middle vocational","1987","Realschulabschluss","1152","0.683496456894872","0.66179778474487","0.705195129044873"
"middle vocational","1987","(Fach-)Abitur","382","0.454615893292019","0.419849588885735","0.489382197698303"
"middle vocational","1987","AkademikerInnen","","","",""
"vocational + Abi","1987","(noch) kein Abschluss","","","",""
"vocational + Abi","1987","Hauptschulabschluss","","","",""
"vocational + Abi","1987","Realschulabschluss","","","",""
"vocational + Abi","1987","(Fach-)Abitur","278","0.340790200717859","0.307696879198119","0.373883522237598"
"vocational + Abi","1987","AkademikerInnen","","","",""
"higher vocational","1987","(noch) kein Abschluss","","","",""
"higher vocational","1987","Hauptschulabschluss","255","0.0488117076214367","0.0433812372508719","0.0542421779920015"
"higher vocational","1987","Realschulabschluss","180","0.101123515327921","0.0870581238283597","0.115188906827483"
"higher vocational","1987","(Fach-)Abitur","128","0.204593905990122","0.176427866351262","0.232759945628983"
"higher vocational","1987","AkademikerInnen","","","",""
"higher education","1987","(noch) kein Abschluss","","","",""
"higher education","1987","Hauptschulabschluss","","","",""
"higher education","1987","Realschulabschluss","","","",""
"higher education","1987","(Fach-)Abitur","","","",""
"higher education","1987","AkademikerInnen","744","1","1","1"
"in school","1988","(noch) kein Abschluss","164","0.390125295487964","0.358605997000391","0.421644593975538"
"in school","1988","Hauptschulabschluss","","","",""
"in school","1988","Realschulabschluss","","","",""
"in school","1988","(Fach-)Abitur","","","",""
"in school","1988","AkademikerInnen","","","",""
"inadequately","1988","(noch) kein Abschluss","674","0.526236222721557","0.493971683063809","0.558500762379304"
"inadequately","1988","Hauptschulabschluss","","","",""
"inadequately","1988","Realschulabschluss","","","",""
"inadequately","1988","(Fach-)Abitur","","","",""
"inadequately","1988","AkademikerInnen","","","",""
"general elemantary","1988","(noch) kein Abschluss","","","",""
"general elemantary","1988","Hauptschulabschluss","2314","0.352715751792624","0.340393376105083","0.365038127480164"
"general elemantary","1988","Realschulabschluss","426","0.211080077936222","0.191704557339253","0.230455598533191"
"general elemantary","1988","(Fach-)Abitur","","","",""
"general elemantary","1988","AkademikerInnen","","","",""
"middle vocational","1988","(noch) kein Abschluss","79","0.07419669883503","0.0572608943482233","0.0911325033218366"
"middle vocational","1988","Hauptschulabschluss","3188","0.592192289671249","0.579518876627515","0.604865702714984"
"middle vocational","1988","Realschulabschluss","1109","0.692269884232865","0.670355159729157","0.714184608736573"
"middle vocational","1988","(Fach-)Abitur","350","0.443820635368045","0.408072176854565","0.479569093881524"
"middle vocational","1988","AkademikerInnen","","","",""
"vocational + Abi","1988","(noch) kein Abschluss","","","",""
"vocational + Abi","1988","Hauptschulabschluss","","","",""
"vocational + Abi","1988","Realschulabschluss","","","",""
"vocational + Abi","1988","(Fach-)Abitur","271","0.354912020938307","0.32048369010956","0.389340351767053"
"vocational + Abi","1988","AkademikerInnen","","","",""
"higher vocational","1988","(noch) kein Abschluss","","","",""
"higher vocational","1988","Hauptschulabschluss","246","0.0500371428168325","0.0444145832812298","0.0556597023524353"
"higher vocational","1988","Realschulabschluss","169","0.0966500378309132","0.0826205335688561","0.11067954209297"
"higher vocational","1988","(Fach-)Abitur","121","0.201267343693649","0.172418160844717","0.23011652654258"
"higher vocational","1988","AkademikerInnen","","","",""
"higher education","1988","(noch) kein Abschluss","","","",""
"higher education","1988","Hauptschulabschluss","","","",""
"higher education","1988","Realschulabschluss","","","",""
"higher education","1988","(Fach-)Abitur","","","",""
"higher education","1988","AkademikerInnen","702","1","1","1"
"in school","1989","(noch) kein Abschluss","175","0.422966543923736","0.390636568473316","0.455296519374155"
"in school","1989","Hauptschulabschluss","","","",""
"in school","1989","Realschulabschluss","","","",""
"in school","1989","(Fach-)Abitur","","","",""
"in school","1989","AkademikerInnen","","","",""
"inadequately","1989","(noch) kein Abschluss","634","0.50055414927268","0.467833523027679","0.53327477551768"
"inadequately","1989","Hauptschulabschluss","","","",""
"inadequately","1989","Realschulabschluss","","","",""
"inadequately","1989","(Fach-)Abitur","","","",""
"inadequately","1989","AkademikerInnen","","","",""
"general elemantary","1989","(noch) kein Abschluss","","","",""
"general elemantary","1989","Hauptschulabschluss","2197","0.350919655084704","0.338336321011635","0.363502989157773"
"general elemantary","1989","Realschulabschluss","393","0.20384300818257","0.184428445831842","0.223257570533297"
"general elemantary","1989","(Fach-)Abitur","","","",""
"general elemantary","1989","AkademikerInnen","","","",""
"middle vocational","1989","(noch) kein Abschluss","85","0.0671010233720535","0.0507278164766143","0.0834742302674927"
"middle vocational","1989","Hauptschulabschluss","3070","0.593864874777804","0.580916306652514","0.606813442903095"
"middle vocational","1989","Realschulabschluss","1096","0.69848368461324","0.676367312922265","0.720600056304216"
"middle vocational","1989","(Fach-)Abitur","353","0.433655905538443","0.398352795050626","0.468959016026259"
"middle vocational","1989","AkademikerInnen","","","",""
"vocational + Abi","1989","(noch) kein Abschluss","","","",""
"vocational + Abi","1989","Hauptschulabschluss","","","",""
"vocational + Abi","1989","Realschulabschluss","","","",""
"vocational + Abi","1989","(Fach-)Abitur","290","0.379153362416483","0.34459129015752","0.413715434675445"
"vocational + Abi","1989","AkademikerInnen","","","",""
"higher vocational","1989","(noch) kein Abschluss","","","",""
"higher vocational","1989","Hauptschulabschluss","233","0.0505198289691115","0.0447453003749888","0.0562943575632341"
"higher vocational","1989","Realschulabschluss","165","0.0976733072041898","0.0833662541563181","0.111980360252061"
"higher vocational","1989","(Fach-)Abitur","114","0.187190732045074","0.159404052911347","0.214977411178802"
"higher vocational","1989","AkademikerInnen","","","",""
"higher education","1989","(noch) kein Abschluss","","","",""
"higher education","1989","Hauptschulabschluss","","","",""
"higher education","1989","Realschulabschluss","","","",""
"higher education","1989","(Fach-)Abitur","","","",""
"higher education","1989","AkademikerInnen","699","1","1","1"
"in school","1990","(noch) kein Abschluss","195","0.392656466050765","0.360734338540507","0.424578593561023"
"in school","1990","Hauptschulabschluss","","","",""
"in school","1990","Realschulabschluss","","","",""
"in school","1990","(Fach-)Abitur","","","",""
"in school","1990","AkademikerInnen","","","",""
"inadequately","1990","(noch) kein Abschluss","623","0.524885488130071","0.492241765740873","0.557529210519269"
"inadequately","1990","Hauptschulabschluss","","","",""
"inadequately","1990","Realschulabschluss","","","",""
"inadequately","1990","(Fach-)Abitur","","","",""
"inadequately","1990","AkademikerInnen","","","",""
"general elemantary","1990","(noch) kein Abschluss","","","",""
"general elemantary","1990","Hauptschulabschluss","2466","0.327161023535706","0.316227707216903","0.338094339854509"
"general elemantary","1990","Realschulabschluss","545","0.175877738335127","0.162701244291498","0.189054232378756"
"general elemantary","1990","(Fach-)Abitur","","","",""
"general elemantary","1990","AkademikerInnen","","","",""
"middle vocational","1990","(noch) kein Abschluss","78","0.0737949695842779","0.056705239957107","0.0908846992114488"
"middle vocational","1990","Hauptschulabschluss","4251","0.614827998956914","0.603487824478398","0.626168173435429"
"middle vocational","1990","Realschulabschluss","2344","0.725439506825607","0.709993428392821","0.740885585258393"
"middle vocational","1990","(Fach-)Abitur","389","0.423335717244999","0.390801885781994","0.455869548708004"
"middle vocational","1990","AkademikerInnen","","","",""
"vocational + Abi","1990","(noch) kein Abschluss","","","",""
"vocational + Abi","1990","Hauptschulabschluss","","","",""
"vocational + Abi","1990","Realschulabschluss","","","",""
"vocational + Abi","1990","(Fach-)Abitur","375","0.397864307714723","0.365635376322019","0.430093239107427"
"vocational + Abi","1990","AkademikerInnen","","","",""
"higher vocational","1990","(noch) kein Abschluss","","","",""
"higher vocational","1990","Hauptschulabschluss","329","0.0532818796759597","0.0480480971023372","0.0585156622495822"
"higher vocational","1990","Realschulabschluss","318","0.0986827548392659","0.0883608919984824","0.109004617680049"
"higher vocational","1990","(Fach-)Abitur","122","0.178799975040279","0.153568686278524","0.204031263802033"
"higher vocational","1990","AkademikerInnen","","","",""
"higher education","1990","(noch) kein Abschluss","","","",""
"higher education","1990","Hauptschulabschluss","","","",""
"higher education","1990","Realschulabschluss","","","",""
"higher education","1990","(Fach-)Abitur","","","",""
"higher education","1990","AkademikerInnen","1698","1","1","1"
"in school","1991","(noch) kein Abschluss","162","0.339414786378483","0.308218258611548","0.370611314145418"
"in school","1991","Hauptschulabschluss","","","",""
"in school","1991","Realschulabschluss","","","",""
"in school","1991","(Fach-)Abitur","","","",""
"in school","1991","AkademikerInnen","","","",""
"inadequately","1991","(noch) kein Abschluss","641","0.56657303028711","0.533924595136858","0.599221465437362"
"inadequately","1991","Hauptschulabschluss","","","",""
"inadequately","1991","Realschulabschluss","","","",""
"inadequately","1991","(Fach-)Abitur","","","",""
"inadequately","1991","AkademikerInnen","","","",""
"general elemantary","1991","(noch) kein Abschluss","","","",""
"general elemantary","1991","Hauptschulabschluss","2351","0.323799372298035","0.312686701808743","0.334912042787327"
"general elemantary","1991","Realschulabschluss","536","0.166586162801179","0.153592754261683","0.179579571340675"
"general elemantary","1991","(Fach-)Abitur","","","",""
"general elemantary","1991","AkademikerInnen","","","",""
"middle vocational","1991","(noch) kein Abschluss","79","0.085772121227908","0.0673229542572714","0.104221288198545"
"middle vocational","1991","Hauptschulabschluss","4118","0.617942453279967","0.606403110920905","0.62948179563903"
"middle vocational","1991","Realschulabschluss","2312","0.73267769597149","0.717244802393519","0.748110589549461"
"middle vocational","1991","(Fach-)Abitur","389","0.402824806430926","0.370710165601131","0.434939447260722"
"middle vocational","1991","AkademikerInnen","","","",""
"vocational + Abi","1991","(noch) kein Abschluss","","","",""
"vocational + Abi","1991","Hauptschulabschluss","","","",""
"vocational + Abi","1991","Realschulabschluss","","","",""
"vocational + Abi","1991","(Fach-)Abitur","381","0.410331634534469","0.378123505238332","0.442539763830607"
"vocational + Abi","1991","AkademikerInnen","","","",""
"higher vocational","1991","(noch) kein Abschluss","","","",""
"higher vocational","1991","Hauptschulabschluss","318","0.0539212316122842","0.0485572633357419","0.0592851998888265"
"higher vocational","1991","Realschulabschluss","311","0.100736141227331","0.09024048727623","0.111231795178432"
"higher vocational","1991","(Fach-)Abitur","126","0.186843559034605","0.161321235777937","0.212365882291273"
"higher vocational","1991","AkademikerInnen","","","",""
"higher education","1991","(noch) kein Abschluss","","","",""
"higher education","1991","Hauptschulabschluss","","","",""
"higher education","1991","Realschulabschluss","","","",""
"higher education","1991","(Fach-)Abitur","","","",""
"higher education","1991","AkademikerInnen","1684","1","1","1"
"in school","1992","(noch) kein Abschluss","191","0.343913994595209","0.312547538861635","0.375280450328783"
"in school","1992","Hauptschulabschluss","","","",""
"in school","1992","Realschulabschluss","","","",""
"in school","1992","(Fach-)Abitur","","","",""
"in school","1992","AkademikerInnen","","","",""
"inadequately","1992","(noch) kein Abschluss","608","0.558327419950344","0.52553640687315","0.591118433027539"
"inadequately","1992","Hauptschulabschluss","","","",""
"inadequately","1992","Realschulabschluss","","","",""
"inadequately","1992","(Fach-)Abitur","","","",""
"inadequately","1992","AkademikerInnen","","","",""
"general elemantary","1992","(noch) kein Abschluss","","","",""
"general elemantary","1992","Hauptschulabschluss","2266","0.320101953895966","0.308835083803269","0.331368823988663"
"general elemantary","1992","Realschulabschluss","545","0.1663664375564","0.153290590846323","0.179442284266478"
"general elemantary","1992","(Fach-)Abitur","","","",""
"general elemantary","1992","AkademikerInnen","","","",""
"middle vocational","1992","(noch) kein Abschluss","78","0.0897383896291166","0.0708657613397092","0.108611017918524"
"middle vocational","1992","Hauptschulabschluss","3981","0.619170527041977","0.607442967639735","0.630898086444218"
"middle vocational","1992","Realschulabschluss","2256","0.726773032729892","0.711126772490929","0.742419292968855"
"middle vocational","1992","(Fach-)Abitur","383","0.403909765622197","0.371941286047324","0.43587824519707"
"middle vocational","1992","AkademikerInnen","","","",""
"vocational + Abi","1992","(noch) kein Abschluss","","","",""
"vocational + Abi","1992","Hauptschulabschluss","","","",""
"vocational + Abi","1992","Realschulabschluss","","","",""
"vocational + Abi","1992","(Fach-)Abitur","387","0.400341454693378","0.368419380965847","0.432263528420908"
"vocational + Abi","1992","AkademikerInnen","","","",""
"higher vocational","1992","(noch) kein Abschluss","","","",""
"higher vocational","1992","Hauptschulabschluss","314","0.056355468487295","0.0507860548512755","0.0619248821233145"
"higher vocational","1992","Realschulabschluss","315","0.106860529713707","0.0960133291802047","0.11770773024721"
"higher vocational","1992","(Fach-)Abitur","135","0.195748779684425","0.169898264820703","0.221599294548148"
"higher vocational","1992","AkademikerInnen","","","",""
"higher education","1992","(noch) kein Abschluss","","","",""
"higher education","1992","Hauptschulabschluss","","","",""
"higher education","1992","Realschulabschluss","","","",""
"higher education","1992","(Fach-)Abitur","","","",""
"higher education","1992","AkademikerInnen","1660","1","1","1"
"in school","1993","(noch) kein Abschluss","187","0.332412719940262","0.300855113751714","0.36397032612881"
"in school","1993","Hauptschulabschluss","","","",""
"in school","1993","Realschulabschluss","","","",""
"in school","1993","(Fach-)Abitur","","","",""
"in school","1993","AkademikerInnen","","","",""
"inadequately","1993","(noch) kein Abschluss","592","0.57884015772522","0.54576407934067","0.611916236109771"
"inadequately","1993","Hauptschulabschluss","","","",""
"inadequately","1993","Realschulabschluss","","","",""
"inadequately","1993","(Fach-)Abitur","","","",""
"inadequately","1993","AkademikerInnen","","","",""
"general elemantary","1993","(noch) kein Abschluss","","","",""
"general elemantary","1993","Hauptschulabschluss","2185","0.318490337701604","0.3070681886879","0.329912486715307"
"general elemantary","1993","Realschulabschluss","522","0.161375144568145","0.148445991303804","0.174304297832485"
"general elemantary","1993","(Fach-)Abitur","","","",""
"general elemantary","1993","AkademikerInnen","","","",""
"middle vocational","1993","(noch) kein Abschluss","74","0.0813956919288342","0.0630777719583647","0.0997136118993037"
"middle vocational","1993","Hauptschulabschluss","3884","0.620695735525885","0.608799845906432","0.632591625145337"
"middle vocational","1993","Realschulabschluss","2274","0.732428111182815","0.716869506690237","0.747986715675393"
"middle vocational","1993","(Fach-)Abitur","404","0.40322083330825","0.371522787725386","0.434918878891115"
"middle vocational","1993","AkademikerInnen","","","",""
"vocational + Abi","1993","(noch) kein Abschluss","","","",""
"vocational + Abi","1993","Hauptschulabschluss","","","",""
"vocational + Abi","1993","Realschulabschluss","","","",""
"vocational + Abi","1993","(Fach-)Abitur","387","0.400424530793312","0.368762669423889","0.432086392162736"
"vocational + Abi","1993","AkademikerInnen","","","",""
"higher vocational","1993","(noch) kein Abschluss","","","",""
"higher vocational","1993","Hauptschulabschluss","300","0.0564739461310346","0.0508146203059394","0.0621332719561299"
"higher vocational","1993","Realschulabschluss","314","0.106196744249041","0.0953688385733036","0.117024649924778"
"higher vocational","1993","(Fach-)Abitur","129","0.196354635898437","0.170685752397992","0.222023519398883"
"higher vocational","1993","AkademikerInnen","","","",""
"higher education","1993","(noch) kein Abschluss","","","",""
"higher education","1993","Hauptschulabschluss","","","",""
"higher education","1993","Realschulabschluss","","","",""
"higher education","1993","(Fach-)Abitur","","","",""
"higher education","1993","AkademikerInnen","1640","1","1","1"
"in school","1994","(noch) kein Abschluss","242","0.395991573224337","0.363190834365619","0.428792312083056"
"in school","1994","Hauptschulabschluss","","","",""
"in school","1994","Realschulabschluss","","","",""
"in school","1994","(Fach-)Abitur","","","",""
"in school","1994","AkademikerInnen","","","",""
"inadequately","1994","(noch) kein Abschluss","536","0.51924997076975","0.485740539595093","0.552759401944408"
"inadequately","1994","Hauptschulabschluss","","","",""
"inadequately","1994","Realschulabschluss","","","",""
"inadequately","1994","(Fach-)Abitur","","","",""
"inadequately","1994","AkademikerInnen","","","",""
"general elemantary","1994","(noch) kein Abschluss","","","",""
"general elemantary","1994","Hauptschulabschluss","2046","0.311307269230011","0.299730309361016","0.322884229099005"
"general elemantary","1994","Realschulabschluss","470","0.148280998297098","0.135687416383319","0.160874580210877"
"general elemantary","1994","(Fach-)Abitur","","","",""
"general elemantary","1994","AkademikerInnen","","","",""
"middle vocational","1994","(noch) kein Abschluss","71","0.0760747756771178","0.0582937050124126","0.093855846341823"
"middle vocational","1994","Hauptschulabschluss","3781","0.626004087837522","0.613906210977678","0.638101964697367"
"middle vocational","1994","Realschulabschluss","2265","0.744144805896172","0.728682146167924","0.75960746562442"
"middle vocational","1994","(Fach-)Abitur","407","0.402316803070138","0.370818086434549","0.433815519705726"
"middle vocational","1994","AkademikerInnen","","","",""
"vocational + Abi","1994","(noch) kein Abschluss","","","",""
"vocational + Abi","1994","Hauptschulabschluss","","","",""
"vocational + Abi","1994","Realschulabschluss","","","",""
"vocational + Abi","1994","(Fach-)Abitur","393","0.397096325417629","0.36566626976048","0.428526381074777"
"vocational + Abi","1994","AkademikerInnen","","","",""
"higher vocational","1994","(noch) kein Abschluss","","","",""
"higher vocational","1994","Hauptschulabschluss","295","0.0579817279314651","0.0521383713711741","0.063825084491756"
"higher vocational","1994","Realschulabschluss","324","0.10757419580673","0.0965942937476165","0.118554097865843"
"higher vocational","1994","(Fach-)Abitur","131","0.200586871512234","0.174864551257606","0.226309191766862"
"higher vocational","1994","AkademikerInnen","","","",""
"higher education","1994","(noch) kein Abschluss","","","",""
"higher education","1994","Hauptschulabschluss","","","",""
"higher education","1994","Realschulabschluss","","","",""
"higher education","1994","(Fach-)Abitur","","","",""
"higher education","1994","AkademikerInnen","1656","1","1","1"
"in school","1995","(noch) kein Abschluss","288","0.458287324603266","0.425460424215704","0.491114224990828"
"in school","1995","Hauptschulabschluss","","","",""
"in school","1995","Realschulabschluss","","","",""
"in school","1995","(Fach-)Abitur","","","",""
"in school","1995","AkademikerInnen","","","",""
"inadequately","1995","(noch) kein Abschluss","512","0.444117228910426","0.411381887610264","0.476852570210588"
"inadequately","1995","Hauptschulabschluss","","","",""
"inadequately","1995","Realschulabschluss","","","",""
"inadequately","1995","(Fach-)Abitur","","","",""
"inadequately","1995","AkademikerInnen","","","",""
"general elemantary","1995","(noch) kein Abschluss","","","",""
"general elemantary","1995","Hauptschulabschluss","2039","0.310309506603327","0.298767136969236","0.321851876237419"
"general elemantary","1995","Realschulabschluss","477","0.144579955536224","0.132251821178363","0.156908089894084"
"general elemantary","1995","(Fach-)Abitur","","","",""
"general elemantary","1995","AkademikerInnen","","","",""
"middle vocational","1995","(noch) kein Abschluss","81","0.0928188617635334","0.0737009003449556","0.111936823182111"
"middle vocational","1995","Hauptschulabschluss","3826","0.63150674651736","0.61947097081645","0.643542522218271"
"middle vocational","1995","Realschulabschluss","2303","0.740019051900021","0.724642965304372","0.75539513849567"
"middle vocational","1995","(Fach-)Abitur","471","0.390715013344624","0.361575618550946","0.419854408138302"
"middle vocational","1995","AkademikerInnen","","","",""
"vocational + Abi","1995","(noch) kein Abschluss","","","",""
"vocational + Abi","1995","Hauptschulabschluss","","","",""
"vocational + Abi","1995","Realschulabschluss","","","",""
"vocational + Abi","1995","(Fach-)Abitur","479","0.444374035710442","0.414698002856088","0.474050068564795"
"vocational + Abi","1995","AkademikerInnen","","","",""
"higher vocational","1995","(noch) kein Abschluss","","","",""
"higher vocational","1995","Hauptschulabschluss","282","0.053911767044369","0.0482769746249726","0.0595465594637655"
"higher vocational","1995","Realschulabschluss","346","0.115400992563755","0.104200642409382","0.126601342718128"
"higher vocational","1995","(Fach-)Abitur","127","0.164910950944935","0.142747806256885","0.187074095632984"
"higher vocational","1995","AkademikerInnen","","","",""
"higher education","1995","(noch) kein Abschluss","","","",""
"higher education","1995","Hauptschulabschluss","","","",""
"higher education","1995","Realschulabschluss","","","",""
"higher education","1995","(Fach-)Abitur","","","",""
"higher education","1995","AkademikerInnen","1763","1","1","1"
"in school","1996","(noch) kein Abschluss","294","0.462829076271183","0.42922983461586","0.496428317926506"
"in school","1996","Hauptschulabschluss","","","",""
"in school","1996","Realschulabschluss","","","",""
"in school","1996","(Fach-)Abitur","","","",""
"in school","1996","AkademikerInnen","","","",""
