year,age_gr,bula_h,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,46-65 y.,North Rhine-Westphalia,Heterosexual,0.91875,2018,2087,0.90702,0.93047
2019,46-65 y.,North Rhine-Westphalia,No answer/ Do not wish to respond,0.04568,69,2087,0.03672,0.05464
2019,46-65 y.,Hesse,Heterosexual,0.93888,696,696,0.92107,0.95669
2019,46-65 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.90026,558,598,0.87622,0.92430
2019,46-65 y.,"Rhineland-Palatinate, Saarland",No answer/ Do not wish to respond,0.07273,40,598,0.05190,0.09357
2019,46-65 y.,Baden-Wuerttemberg,Heterosexual,0.92813,1044,1086,0.91276,0.94350
2019,46-65 y.,Baden-Wuerttemberg,No answer/ Do not wish to respond,0.04662,42,1086,0.03407,0.05916
2019,46-65 y.,Bavaria,Heterosexual,0.91038,1475,1543,0.89612,0.92463
2019,46-65 y.,Bavaria,No answer/ Do not wish to respond,0.05852,68,1543,0.04681,0.07024
2019,46-65 y.,Berlin,Heterosexual,0.90757,318,318,0.87569,0.93945
2019,46-65 y.,Brandenburg,Heterosexual,0.89722,458,458,0.86938,0.92507
2019,46-65 y.,Mecklenburg-Western Pomerania,Heterosexual,0.92510,238,238,0.89158,0.95861
2019,46-65 y.,Saxony,Heterosexual,0.93155,591,625,0.91174,0.95136
2019,46-65 y.,Saxony,No answer/ Do not wish to respond,0.04637,34,625,0.02987,0.06287
2019,46-65 y.,Saxony-Anhalt,Heterosexual,0.96229,353,353,0.94238,0.98219
2019,46-65 y.,Thuringa,Heterosexual,0.93068,355,355,0.90422,0.95714
2019,66 and older,Schleswig-Holstein,Heterosexual,0.85366,178,178,0.80159,0.90573
2019,66 and older,Hamburg,Heterosexual,0.85478,103,103,0.78641,0.92316
2019,66 and older,Lower Saxony,Heterosexual,0.85289,411,454,0.82027,0.88551
2019,66 and older,Lower Saxony,No answer/ Do not wish to respond,0.12769,43,454,0.09695,0.15842
2019,66 and older,Bremen,Heterosexual,0.87413,44,44,0.77499,0.97328
2019,66 and older,North Rhine-Westphalia,Heterosexual,0.87282,891,953,0.85165,0.89398
2019,66 and older,North Rhine-Westphalia,No answer/ Do not wish to respond,0.09080,62,953,0.07254,0.10905
2019,66 and older,Hesse,Heterosexual,0.88151,266,266,0.84260,0.92042
2019,66 and older,"Rhineland-Palatinate, Saarland",Heterosexual,0.83978,261,261,0.79519,0.88436
2019,66 and older,Baden-Wuerttemberg,Heterosexual,0.84428,482,533,0.81347,0.87509
2019,66 and older,Baden-Wuerttemberg,No answer/ Do not wish to respond,0.13665,51,533,0.10746,0.16584
2019,66 and older,Bavaria,Heterosexual,0.89233,717,779,0.87055,0.91411
2019,66 and older,Bavaria,No answer/ Do not wish to respond,0.08773,62,779,0.06785,0.10761
2019,66 and older,Berlin,Heterosexual,0.82565,170,170,0.76844,0.88285
2019,66 and older,Brandenburg,Heterosexual,0.84833,244,244,0.80323,0.89343
2019,66 and older,Mecklenburg-Western Pomerania,Heterosexual,0.95932,148,148,0.92738,0.99125
2019,66 and older,Saxony,Heterosexual,0.87161,332,374,0.83766,0.90556
2019,66 and older,Saxony,No answer/ Do not wish to respond,0.11106,42,374,0.07917,0.14295
2019,66 and older,Saxony-Anhalt,Heterosexual,0.86156,170,170,0.80949,0.91363
2019,66 and older,Thuringa,Heterosexual,0.79619,183,183,0.73767,0.85472
