year,age_gr,bula_h,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,66 and older,Berlin,Yes,0.85954,178,210,0.81243,0.90665
2011,66 and older,Berlin,No,0.12018,32,210,0.07609,0.16427
2011,66 and older,Brandenburg,Yes,0.85644,214,245,0.81244,0.90043
2011,66 and older,Brandenburg,No,0.14215,31,245,0.09833,0.18596
2011,66 and older,Mecklenburg-Western Pomerania,Yes,0.91300,114,114,0.86103,0.96496
2011,66 and older,Saxony,Yes,0.89851,318,352,0.86692,0.93010
2011,66 and older,Saxony,No,0.09677,34,352,0.06584,0.12770
2011,66 and older,Saxony-Anhalt,Yes,0.87035,195,195,0.82308,0.91762
2011,66 and older,Thuringa,Yes,0.86508,186,219,0.81972,0.91043
2011,66 and older,Thuringa,No,0.13204,33,219,0.08710,0.17698
2013,17-29 y.,Schleswig-Holstein,Yes,0.28808,32,93,0.19554,0.38062
2013,17-29 y.,Schleswig-Holstein,No,0.44219,61,93,0.34070,0.54367
2013,17-29 y.,Lower Saxony,Yes,0.21914,76,243,0.16703,0.27126
2013,17-29 y.,Lower Saxony,No,0.47287,167,243,0.40997,0.53578
2013,17-29 y.,North Rhine-Westphalia,Yes,0.21508,170,529,0.18003,0.25012
2013,17-29 y.,North Rhine-Westphalia,No,0.44193,359,529,0.39957,0.48429
2013,17-29 y.,Hesse,Yes,0.21308,53,151,0.14755,0.27861
2013,17-29 y.,Hesse,No,0.40326,98,151,0.32475,0.48176
2013,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.25366,60,160,0.18603,0.32129
2013,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.43098,100,160,0.35401,0.50796
2013,17-29 y.,Baden-Wuerttemberg,Yes,0.16215,91,306,0.12079,0.20352
2013,17-29 y.,Baden-Wuerttemberg,No,0.48879,215,306,0.43269,0.54489
2013,17-29 y.,Bavaria,Yes,0.20642,119,403,0.16685,0.24598
2013,17-29 y.,Bavaria,No,0.44903,284,403,0.40040,0.49765
2013,17-29 y.,Berlin,Yes,0.20396,33,95,0.12251,0.28542
2013,17-29 y.,Berlin,No,0.40477,62,95,0.30554,0.50400
2013,17-29 y.,Brandenburg,No,0.56025,53,53,0.42534,0.69517
2013,17-29 y.,Mecklenburg-Western Pomerania,No,0.64540,40,40,0.49525,0.79554
2013,17-29 y.,Saxony,Yes,0.27321,68,165,0.20501,0.34141
2013,17-29 y.,Saxony,No,0.57480,97,165,0.49913,0.65046
