year,migback,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,No migration background,Both equally,0.05093,1405,2548,0.04239,0.05946
2000,Direct migration background,Earn money,0.06780,259,524,0.04625,0.08934
2000,Direct migration background,Both equally,0.06760,265,524,0.04608,0.08912
2000,Indirect migration background,Earn money,0.04577,102,246,0.01960,0.07193
2000,Indirect migration background,Both equally,0.06641,144,246,0.03523,0.09758
2001,No migration background,Earn money,0.03479,852,2305,0.02731,0.04228
2001,No migration background,Other reasons,0.00577,136,2305,0.00267,0.00886
2001,No migration background,Both equally,0.05129,1317,2305,0.04229,0.06030
2001,Direct migration background,Earn money,0.06964,210,437,0.04575,0.09354
2001,Direct migration background,Both equally,0.07693,227,437,0.05192,0.10194
2001,Indirect migration background,Earn money,0.03762,85,238,0.01339,0.06184
2001,Indirect migration background,Both equally,0.06535,153,238,0.03389,0.09682
2003,No migration background,Earn money,0.04250,993,2450,0.03451,0.05049
2003,No migration background,Other reasons,0.00464,126,2450,0.00195,0.00733
2003,No migration background,Both equally,0.05421,1331,2450,0.04524,0.06318
2003,Direct migration background,Earn money,0.08293,205,405,0.05604,0.10982
2003,Direct migration background,Both equally,0.08052,200,405,0.05399,0.10706
2003,Indirect migration background,Earn money,0.04980,93,222,0.02112,0.07848
2003,Indirect migration background,Both equally,0.05308,129,222,0.02352,0.08264
2005,No migration background,Earn money,0.03889,802,2037,0.03049,0.04729
2005,No migration background,Other reasons,0.00366,87,2037,0.00104,0.00629
2005,No migration background,Both equally,0.05417,1148,2037,0.04434,0.06400
2005,Direct migration background,Earn money,0.06569,153,319,0.03846,0.09292
2005,Direct migration background,Both equally,0.07729,166,319,0.04794,0.10664
2005,Indirect migration background,Earn money,0.04132,76,202,0.01381,0.06884
2005,Indirect migration background,Both equally,0.06049,126,202,0.02754,0.09345
2007,No migration background,Earn money,0.03662,752,2022,0.02843,0.04481
2007,No migration background,Other reasons,0.00406,92,2022,0.00129,0.00683
2007,No migration background,Both equally,0.05277,1178,2022,0.04302,0.06251
2007,Direct migration background,Earn money,0.07289,141,318,0.04427,0.10150
2007,Direct migration background,Both equally,0.09802,177,318,0.06529,0.13076
2007,Indirect migration background,Earn money,0.05164,88,197,0.02066,0.08262
2007,Indirect migration background,Both equally,0.06382,109,197,0.02960,0.09805
2009,No migration background,Earn money,0.03794,679,1645,0.02870,0.04717
2009,No migration background,Other reasons,0.00509,88,1645,0.00165,0.00853
2009,No migration background,Both equally,0.04456,878,1645,0.03458,0.05453
2009,Direct migration background,Earn money,0.07426,115,220,0.03953,0.10898
2009,Direct migration background,Both equally,0.06678,105,220,0.03372,0.09985
2009,Indirect migration background,Earn money,0.05436,84,180,0.02115,0.08758
2009,Indirect migration background,Both equally,0.06663,96,180,0.03010,0.10317
2011,No migration background,Earn money,0.01969,505,1285,0.01209,0.02729
2011,No migration background,Other reasons,0.00208,56,1285,-0.00041,0.00457
2011,No migration background,Both equally,0.02464,724,1285,0.01616,0.03312
2011,Direct migration background,Earn money,0.03309,69,165,0.00572,0.06047
2011,Direct migration background,Both equally,0.03883,96,165,0.00926,0.06840
2011,Indirect migration background,Earn money,0.02382,49,137,-0.00181,0.04945
2011,Indirect migration background,Both equally,0.02842,88,137,0.00049,0.05635
2013,No migration background,Earn money,0.02926,623,1569,0.02092,0.03761
2013,No migration background,Other reasons,0.00636,127,1569,0.00242,0.01029
2013,No migration background,Both equally,0.03383,819,1569,0.02488,0.04278
2013,Direct migration background,Earn money,0.01911,105,225,0.00118,0.03704
2013,Direct migration background,Both equally,0.03028,120,225,0.00784,0.05273
2013,Indirect migration background,Earn money,0.01788,59,152,-0.00326,0.03901
2013,Indirect migration background,Both equally,0.02912,93,152,0.00230,0.05593
2017,No migration background,Earn money,0.02811,738,2035,0.02092,0.03529
2017,No migration background,Other reasons,0.00736,206,2035,0.00364,0.01107
2017,No migration background,Both equally,0.04140,1091,2035,0.03274,0.05005
2017,Direct migration background,Earn money,0.05523,370,933,0.04056,0.06990
2017,Direct migration background,Other reasons,0.00741,60,933,0.00190,0.01292
2017,Direct migration background,Both equally,0.08390,503,933,0.06610,0.10170
2017,Indirect migration background,Earn money,0.04857,178,414,0.02783,0.06930
2017,Indirect migration background,Both equally,0.06798,236,414,0.04371,0.09226
