year,bula_h,sex,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,"Rhineland-Palatinate, Saarland",female,Very often,0.05344,44,630,0.03586,0.07102
2007,Baden-Wuerttemberg,male,Seldom,0.07006,91,1158,0.05535,0.08477
2007,Baden-Wuerttemberg,male,Sometimes,0.30394,437,1158,0.27743,0.33044
2007,Baden-Wuerttemberg,male,Often,0.33980,535,1158,0.31251,0.36709
2007,Baden-Wuerttemberg,male,Very often,0.06857,95,1158,0.05401,0.08314
2007,Baden-Wuerttemberg,female,Very seldom,0.02030,33,1293,0.01261,0.02799
2007,Baden-Wuerttemberg,female,Seldom,0.07875,109,1293,0.06406,0.09344
2007,Baden-Wuerttemberg,female,Sometimes,0.27565,419,1293,0.25129,0.30002
2007,Baden-Wuerttemberg,female,Often,0.37422,627,1293,0.34783,0.40061
2007,Baden-Wuerttemberg,female,Very often,0.07142,105,1293,0.05738,0.08546
2007,Bavaria,male,Very seldom,0.03172,41,1392,0.02251,0.04093
2007,Bavaria,male,Seldom,0.07777,118,1392,0.06370,0.09185
2007,Bavaria,male,Sometimes,0.27814,468,1392,0.25459,0.30168
2007,Bavaria,male,Often,0.36547,658,1392,0.34016,0.39077
2007,Bavaria,male,Very often,0.06097,107,1392,0.04839,0.07354
2007,Bavaria,female,Seldom,0.09176,145,1520,0.07724,0.10627
2007,Bavaria,female,Sometimes,0.28897,503,1520,0.26617,0.31176
2007,Bavaria,female,Often,0.34830,714,1520,0.32434,0.37226
2007,Bavaria,female,Very often,0.08794,158,1520,0.07370,0.10218
2007,Berlin,male,Seldom,0.10651,39,311,0.07217,0.14085
2007,Berlin,male,Sometimes,0.30456,125,311,0.25333,0.35579
2007,Berlin,male,Often,0.35452,147,311,0.30127,0.40777
2007,Berlin,female,Seldom,0.13792,55,389,0.10361,0.17223
2007,Berlin,female,Sometimes,0.25538,116,389,0.21199,0.29877
2007,Berlin,female,Often,0.38849,185,389,0.33999,0.43699
2007,Berlin,female,Very often,0.05029,33,389,0.02854,0.07203
2007,Brandenburg,male,Seldom,0.09231,43,370,0.06277,0.12184
2007,Brandenburg,male,Sometimes,0.36997,170,370,0.32071,0.41923
2007,Brandenburg,male,Often,0.30332,157,370,0.25641,0.35022
2007,Brandenburg,female,Seldom,0.12224,51,442,0.09167,0.15282
2007,Brandenburg,female,Sometimes,0.34414,166,442,0.29980,0.38848
2007,Brandenburg,female,Often,0.31668,189,442,0.27326,0.36009
2007,Brandenburg,female,Very often,0.07544,36,442,0.05079,0.10009
2007,Mecklenburg-Western Pomerania,male,Sometimes,0.30165,82,198,0.23756,0.36575
2007,Mecklenburg-Western Pomerania,male,Often,0.42930,116,198,0.36018,0.49842
2007,Mecklenburg-Western Pomerania,female,Sometimes,0.31065,87,216,0.24879,0.37250
2007,Mecklenburg-Western Pomerania,female,Often,0.39720,129,216,0.33179,0.46260
2007,Saxony,male,Seldom,0.07886,66,727,0.05925,0.09846
2007,Saxony,male,Sometimes,0.32796,265,727,0.29381,0.36211
2007,Saxony,male,Often,0.39039,352,727,0.35491,0.42588
2007,Saxony,male,Very often,0.05233,44,727,0.03613,0.06853
2007,Saxony,female,Seldom,0.12576,83,750,0.10201,0.14950
2007,Saxony,female,Sometimes,0.29590,235,750,0.26321,0.32859
2007,Saxony,female,Often,0.38273,369,750,0.34792,0.41753
2007,Saxony,female,Very often,0.06109,63,750,0.04394,0.07824
2007,Saxony-Anhalt,male,Seldom,0.09573,41,410,0.06721,0.12424
2007,Saxony-Anhalt,male,Sometimes,0.33283,169,410,0.28716,0.37850
2007,Saxony-Anhalt,male,Often,0.30844,168,410,0.26368,0.35320
2007,Saxony-Anhalt,male,Very often,0.07158,32,410,0.04660,0.09657
2007,Saxony-Anhalt,female,Seldom,0.11090,46,435,0.08136,0.14045
2007,Saxony-Anhalt,female,Sometimes,0.28404,151,435,0.24161,0.32647
2007,Saxony-Anhalt,female,Often,0.37669,195,435,0.33110,0.42227
2007,Saxony-Anhalt,female,Very often,0.07857,43,435,0.05325,0.10388
2007,Thuringa,male,Seldom,0.10653,48,406,0.07648,0.13657
2007,Thuringa,male,Sometimes,0.38787,188,406,0.34042,0.43533
2007,Thuringa,male,Often,0.29075,170,406,0.24652,0.33498
2007,Thuringa,female,Seldom,0.10376,49,436,0.07510,0.13242
2007,Thuringa,female,Sometimes,0.30085,163,436,0.25775,0.34395
2007,Thuringa,female,Often,0.42633,224,436,0.37985,0.47280
2008,Schleswig-Holstein,male,Sometimes,0.33605,105,218,0.27320,0.39890
2008,Schleswig-Holstein,male,Often,0.35977,113,218,0.29592,0.42363
2008,Schleswig-Holstein,female,Sometimes,0.30512,100,235,0.24612,0.36412
2008,Schleswig-Holstein,female,Often,0.37445,135,235,0.31244,0.43646
2008,Hamburg,male,Sometimes,0.33171,52,112,0.24412,0.41930
2008,Hamburg,male,Often,0.40444,60,112,0.31314,0.49575
2008,Hamburg,female,Sometimes,0.35379,54,126,0.26997,0.43762
2008,Hamburg,female,Often,0.37980,72,126,0.29472,0.46488
2008,Lower Saxony,male,Seldom,0.06762,51,813,0.05035,0.08489
2008,Lower Saxony,male,Sometimes,0.26237,259,813,0.23211,0.29263
2008,Lower Saxony,male,Often,0.40418,430,813,0.37043,0.43794
2008,Lower Saxony,male,Very often,0.06607,73,813,0.04899,0.08316
2008,Lower Saxony,female,Very seldom,0.02931,32,898,0.01827,0.04035
2008,Lower Saxony,female,Seldom,0.06901,63,898,0.05242,0.08559
2008,Lower Saxony,female,Sometimes,0.28014,285,898,0.25075,0.30953
2008,Lower Saxony,female,Often,0.37344,411,898,0.34179,0.40510
2008,Lower Saxony,female,Very often,0.08416,107,898,0.06599,0.10233
2008,North Rhine-Westphalia,male,Very seldom,0.02379,32,1857,0.01685,0.03072
2008,North Rhine-Westphalia,male,Seldom,0.09419,180,1857,0.08090,0.10748
2008,North Rhine-Westphalia,male,Sometimes,0.33140,699,1857,0.30998,0.35282
2008,North Rhine-Westphalia,male,Often,0.32904,829,1857,0.30766,0.35042
2008,North Rhine-Westphalia,male,Very often,0.05180,117,1857,0.04172,0.06188
2008,North Rhine-Westphalia,female,Very seldom,0.02959,59,2058,0.02226,0.03691
2008,North Rhine-Westphalia,female,Seldom,0.09141,206,2058,0.07896,0.10387
2008,North Rhine-Westphalia,female,Sometimes,0.28586,699,2058,0.26633,0.30539
2008,North Rhine-Westphalia,female,Often,0.36459,943,2058,0.34379,0.38539
2008,North Rhine-Westphalia,female,Very often,0.05858,151,2058,0.04843,0.06873
2008,Hesse,male,Seldom,0.06169,44,610,0.04258,0.08080
2008,Hesse,male,Sometimes,0.27884,214,610,0.24323,0.31446
2008,Hesse,male,Often,0.35669,296,610,0.31865,0.39474
2008,Hesse,male,Very often,0.06496,56,610,0.04538,0.08453
2008,Hesse,female,Seldom,0.09703,58,667,0.07455,0.11952
2008,Hesse,female,Sometimes,0.28854,232,667,0.25413,0.32296
2008,Hesse,female,Often,0.33378,308,667,0.29797,0.36960
2008,Hesse,female,Very often,0.08578,69,667,0.06451,0.10705
2008,"Rhineland-Palatinate, Saarland",male,Seldom,0.10928,52,472,0.08110,0.13745
2008,"Rhineland-Palatinate, Saarland",male,Sometimes,0.28568,184,472,0.24488,0.32648
2008,"Rhineland-Palatinate, Saarland",male,Often,0.27866,199,472,0.23817,0.31915
2008,"Rhineland-Palatinate, Saarland",male,Very often,0.07211,37,472,0.04874,0.09547
2008,"Rhineland-Palatinate, Saarland",female,Seldom,0.12112,77,572,0.09436,0.14788
2008,"Rhineland-Palatinate, Saarland",female,Sometimes,0.29704,195,572,0.25956,0.33452
2008,"Rhineland-Palatinate, Saarland",female,Often,0.33077,262,572,0.29218,0.36937
2008,"Rhineland-Palatinate, Saarland",female,Very often,0.04594,38,572,0.02877,0.06311
2008,Baden-Wuerttemberg,male,Seldom,0.06252,84,1114,0.04830,0.07675
2008,Baden-Wuerttemberg,male,Sometimes,0.30347,409,1114,0.27646,0.33048
2008,Baden-Wuerttemberg,male,Often,0.35730,533,1114,0.32914,0.38545
2008,Baden-Wuerttemberg,male,Very often,0.06919,88,1114,0.05428,0.08410
2008,Baden-Wuerttemberg,female,Very seldom,0.03208,38,1220,0.02219,0.04197
2008,Baden-Wuerttemberg,female,Seldom,0.07464,108,1220,0.05989,0.08939
2008,Baden-Wuerttemberg,female,Sometimes,0.27048,361,1220,0.24555,0.29542
2008,Baden-Wuerttemberg,female,Often,0.37584,600,1220,0.34865,0.40303
2008,Baden-Wuerttemberg,female,Very often,0.07194,113,1220,0.05744,0.08645
2008,Bavaria,male,Seldom,0.06873,96,1277,0.05484,0.08261
2008,Bavaria,male,Sometimes,0.30173,485,1277,0.27654,0.32691
2008,Bavaria,male,Often,0.36428,589,1277,0.33787,0.39068
2008,Bavaria,male,Very often,0.06155,107,1277,0.04836,0.07474
2008,Bavaria,female,Seldom,0.09696,149,1403,0.08147,0.11245
2008,Bavaria,female,Sometimes,0.27981,474,1403,0.25631,0.30331
2008,Bavaria,female,Often,0.34864,626,1403,0.32369,0.37358
2008,Bavaria,female,Very often,0.09423,154,1403,0.07893,0.10952
2008,Berlin,male,Seldom,0.14561,46,307,0.10609,0.18513
2008,Berlin,male,Sometimes,0.28347,113,307,0.23298,0.33397
2008,Berlin,male,Often,0.36725,148,307,0.31324,0.42126
2008,Berlin,female,Seldom,0.15441,58,353,0.11666,0.19216
2008,Berlin,female,Sometimes,0.29757,134,353,0.24980,0.34533
2008,Berlin,female,Often,0.36214,161,353,0.31193,0.41235
2008,Brandenburg,male,Seldom,0.11428,48,362,0.08146,0.14710
2008,Brandenburg,male,Sometimes,0.30861,147,362,0.26096,0.35626
2008,Brandenburg,male,Often,0.34443,167,362,0.29541,0.39345
2008,Brandenburg,female,Seldom,0.12140,50,386,0.08878,0.15402
2008,Brandenburg,female,Sometimes,0.35564,168,386,0.30782,0.40346
2008,Brandenburg,female,Often,0.30504,168,386,0.25905,0.35104
2008,Mecklenburg-Western Pomerania,male,Sometimes,0.30570,73,185,0.23913,0.37227
2008,Mecklenburg-Western Pomerania,male,Often,0.39302,112,185,0.32245,0.46359
2008,Mecklenburg-Western Pomerania,female,Sometimes,0.32660,77,211,0.26317,0.39003
2008,Mecklenburg-Western Pomerania,female,Often,0.40626,134,211,0.33983,0.47268
2008,Saxony,male,Seldom,0.07989,61,688,0.05962,0.10017
2008,Saxony,male,Sometimes,0.32254,246,688,0.28758,0.35749
2008,Saxony,male,Often,0.40594,331,688,0.36922,0.44266
2008,Saxony,male,Very often,0.05032,50,688,0.03397,0.06667
2008,Saxony,female,Seldom,0.10027,67,717,0.07827,0.12227
2008,Saxony,female,Sometimes,0.28691,237,717,0.25378,0.32004
2008,Saxony,female,Often,0.37748,344,717,0.34197,0.41299
2008,Saxony,female,Very often,0.07371,69,717,0.05457,0.09285
2008,Saxony-Anhalt,male,Seldom,0.07068,37,361,0.04421,0.09716
2008,Saxony-Anhalt,male,Sometimes,0.31536,145,361,0.26736,0.36336
2008,Saxony-Anhalt,male,Often,0.40698,179,361,0.35623,0.45772
2008,Saxony-Anhalt,female,Seldom,0.10507,39,381,0.07424,0.13591
2008,Saxony-Anhalt,female,Sometimes,0.30348,151,381,0.25726,0.34971
2008,Saxony-Anhalt,female,Often,0.42046,191,381,0.37082,0.47009
2008,Thuringa,male,Seldom,0.08354,33,395,0.05622,0.11086
2008,Thuringa,male,Sometimes,0.35343,170,395,0.30622,0.40063
2008,Thuringa,male,Often,0.35594,192,395,0.30866,0.40322
2008,Thuringa,female,Seldom,0.10286,49,405,0.07324,0.13248
2008,Thuringa,female,Sometimes,0.35649,174,405,0.30978,0.40319
2008,Thuringa,female,Often,0.32970,182,405,0.28386,0.37554
2009,Schleswig-Holstein,male,Sometimes,0.36088,94,200,0.29415,0.42760
2009,Schleswig-Holstein,male,Often,0.35174,106,200,0.28540,0.41809
2009,Schleswig-Holstein,female,Sometimes,0.32098,87,206,0.25707,0.38488
2009,Schleswig-Holstein,female,Often,0.34065,119,206,0.27577,0.40552
2009,Hamburg,male,Sometimes,0.28059,38,88,0.18618,0.37500
2009,Hamburg,male,Often,0.37391,50,88,0.27224,0.47558
2009,Hamburg,female,Sometimes,0.25386,44,108,0.17140,0.33633
2009,Hamburg,female,Often,0.38460,64,108,0.29241,0.47678
2009,Lower Saxony,male,Seldom,0.08957,71,770,0.06939,0.10976
2009,Lower Saxony,male,Sometimes,0.27218,242,770,0.24072,0.30363
2009,Lower Saxony,male,Often,0.41522,401,770,0.38039,0.45005
2009,Lower Saxony,male,Very often,0.03866,56,770,0.02503,0.05228
2009,Lower Saxony,female,Seldom,0.09987,86,810,0.07921,0.12053
2009,Lower Saxony,female,Sometimes,0.25099,253,810,0.22111,0.28087
2009,Lower Saxony,female,Often,0.38568,396,810,0.35214,0.41923
2009,Lower Saxony,female,Very often,0.06792,75,810,0.05058,0.08526
2009,Bremen,female,Often,0.35473,32,32,0.18631,0.52315
2009,North Rhine-Westphalia,male,Very seldom,0.03362,58,1734,0.02514,0.04211
2009,North Rhine-Westphalia,male,Seldom,0.11475,209,1734,0.09974,0.12976
2009,North Rhine-Westphalia,male,Sometimes,0.28412,595,1734,0.26288,0.30535
2009,North Rhine-Westphalia,male,Often,0.35212,765,1734,0.32964,0.37461
2009,North Rhine-Westphalia,male,Very often,0.05433,107,1734,0.04366,0.06501
2009,North Rhine-Westphalia,female,Very seldom,0.03190,70,1881,0.02395,0.03984
2009,North Rhine-Westphalia,female,Seldom,0.09119,202,1881,0.07818,0.10420
2009,North Rhine-Westphalia,female,Sometimes,0.29799,670,1881,0.27731,0.31866
2009,North Rhine-Westphalia,female,Often,0.34976,813,1881,0.32820,0.37132
2009,North Rhine-Westphalia,female,Very often,0.05496,126,1881,0.04466,0.06526
2009,Hesse,male,Seldom,0.06308,50,563,0.04298,0.08317
2009,Hesse,male,Sometimes,0.28583,197,563,0.24847,0.32318
2009,Hesse,male,Often,0.36349,266,563,0.32372,0.40326
2009,Hesse,male,Very often,0.06594,50,563,0.04542,0.08645
2009,Hesse,female,Seldom,0.09583,58,600,0.07225,0.11940
2009,Hesse,female,Sometimes,0.27607,207,600,0.24026,0.31187
2009,Hesse,female,Often,0.32924,264,600,0.29161,0.36687
2009,Hesse,female,Very often,0.07567,71,600,0.05449,0.09685
2009,"Rhineland-Palatinate, Saarland",male,Seldom,0.08138,52,444,0.05592,0.10684
2009,"Rhineland-Palatinate, Saarland",male,Sometimes,0.33413,176,444,0.29021,0.37806
2009,"Rhineland-Palatinate, Saarland",male,Often,0.27821,179,444,0.23648,0.31994
2009,"Rhineland-Palatinate, Saarland",male,Very often,0.07114,37,444,0.04720,0.09507
2009,"Rhineland-Palatinate, Saarland",female,Seldom,0.11064,77,534,0.08401,0.13728
2009,"Rhineland-Palatinate, Saarland",female,Sometimes,0.28160,189,534,0.24342,0.31978
2009,"Rhineland-Palatinate, Saarland",female,Often,0.32920,222,534,0.28930,0.36909
2009,"Rhineland-Palatinate, Saarland",female,Very often,0.06465,46,534,0.04377,0.08553
2009,Baden-Wuerttemberg,male,Seldom,0.07978,84,990,0.06289,0.09667
2009,Baden-Wuerttemberg,male,Sometimes,0.33122,373,990,0.30188,0.36055
2009,Baden-Wuerttemberg,male,Often,0.32999,457,990,0.30069,0.35930
2009,Baden-Wuerttemberg,male,Very often,0.05487,76,990,0.04068,0.06907
2009,Baden-Wuerttemberg,female,Seldom,0.09302,99,1072,0.07563,0.11042
2009,Baden-Wuerttemberg,female,Sometimes,0.30397,378,1072,0.27642,0.33151
2009,Baden-Wuerttemberg,female,Often,0.34787,505,1072,0.31934,0.37639
2009,Baden-Wuerttemberg,female,Very often,0.07711,90,1072,0.06113,0.09309
2009,Bavaria,male,Seldom,0.09512,123,1208,0.07857,0.11167
2009,Bavaria,male,Sometimes,0.27164,422,1208,0.24655,0.29674
2009,Bavaria,male,Often,0.38080,579,1208,0.35340,0.40819
2009,Bavaria,male,Very often,0.04938,84,1208,0.03715,0.06160
2009,Bavaria,female,Seldom,0.08872,128,1337,0.07347,0.10396
2009,Bavaria,female,Sometimes,0.29027,459,1337,0.26593,0.31461
2009,Bavaria,female,Often,0.35316,610,1337,0.32754,0.37879
2009,Bavaria,female,Very often,0.08843,140,1337,0.07321,0.10366
2009,Berlin,male,Seldom,0.09856,40,284,0.06383,0.13329
2009,Berlin,male,Sometimes,0.31056,114,284,0.25665,0.36447
2009,Berlin,male,Often,0.36694,130,284,0.31078,0.42309
2009,Berlin,female,Seldom,0.10703,42,329,0.07357,0.14049
2009,Berlin,female,Sometimes,0.29766,119,329,0.24818,0.34714
2009,Berlin,female,Often,0.37756,168,329,0.32510,0.43003
2009,Brandenburg,male,Seldom,0.10471,38,341,0.07216,0.13726
2009,Brandenburg,male,Sometimes,0.27943,142,341,0.23173,0.32713
2009,Brandenburg,male,Often,0.34206,161,341,0.29163,0.39248
2009,Brandenburg,female,Seldom,0.12314,50,392,0.09056,0.15571
2009,Brandenburg,female,Sometimes,0.30528,138,392,0.25963,0.35093
2009,Brandenburg,female,Often,0.33856,172,392,0.29166,0.38547
2009,Brandenburg,female,Very often,0.05900,32,392,0.03565,0.08236
2009,Mecklenburg-Western Pomerania,male,Sometimes,0.32911,74,179,0.26008,0.39814
2009,Mecklenburg-Western Pomerania,male,Often,0.37014,105,179,0.29921,0.44108
2009,Mecklenburg-Western Pomerania,female,Sometimes,0.35037,87,212,0.28600,0.41475
2009,Mecklenburg-Western Pomerania,female,Often,0.40915,125,212,0.34281,0.47550
2009,Saxony,male,Seldom,0.07873,57,656,0.05811,0.09936
2009,Saxony,male,Sometimes,0.26861,236,656,0.23467,0.30255
2009,Saxony,male,Often,0.42270,324,656,0.38487,0.46053
2009,Saxony,male,Very often,0.06869,39,656,0.04932,0.08806
2009,Saxony,female,Seldom,0.11327,65,676,0.08937,0.13718
2009,Saxony,female,Sometimes,0.29464,245,676,0.26025,0.32903
2009,Saxony,female,Often,0.35821,312,676,0.32204,0.39438
2009,Saxony,female,Very often,0.05399,54,676,0.03694,0.07104
2009,Saxony-Anhalt,male,Seldom,0.06083,34,344,0.03554,0.08613
2009,Saxony-Anhalt,male,Sometimes,0.35029,155,344,0.29980,0.40078
2009,Saxony-Anhalt,male,Often,0.36952,155,344,0.31844,0.42060
2009,Saxony-Anhalt,female,Seldom,0.18165,54,375,0.14257,0.22072
2009,Saxony-Anhalt,female,Sometimes,0.29992,152,375,0.25348,0.34636
2009,Saxony-Anhalt,female,Often,0.37503,169,375,0.32597,0.42410
2009,Thuringa,male,Seldom,0.08740,38,369,0.05854,0.11625
2009,Thuringa,male,Sometimes,0.34365,159,369,0.29512,0.39217
2009,Thuringa,male,Often,0.33807,172,369,0.28974,0.38641
2009,Thuringa,female,Seldom,0.11798,45,412,0.08679,0.14917
2009,Thuringa,female,Sometimes,0.27136,143,412,0.22837,0.31435
2009,Thuringa,female,Often,0.33581,186,412,0.29015,0.38147
2009,Thuringa,female,Very often,0.10746,38,412,0.07752,0.13740
2010,Schleswig-Holstein,male,Sometimes,0.26886,71,178,0.20354,0.33418
2010,Schleswig-Holstein,male,Often,0.41134,107,178,0.33885,0.48383
2010,Schleswig-Holstein,female,Sometimes,0.28972,72,174,0.22212,0.35731
2010,Schleswig-Holstein,female,Often,0.30551,102,174,0.23687,0.37415
2010,Hamburg,male,Sometimes,0.37058,42,103,0.27685,0.46431
2010,Hamburg,male,Often,0.32529,61,103,0.23437,0.41620
2010,Hamburg,female,Sometimes,0.27896,52,115,0.19663,0.36128
2010,Hamburg,female,Often,0.35775,63,115,0.26976,0.44575
2010,Lower Saxony,male,Seldom,0.04301,41,700,0.02797,0.05805
2010,Lower Saxony,male,Sometimes,0.29606,248,700,0.26222,0.32991
2010,Lower Saxony,male,Often,0.33282,354,700,0.29789,0.36775
2010,Lower Saxony,male,Very often,0.05998,57,700,0.04238,0.07758
2010,Lower Saxony,female,Seldom,0.07790,67,760,0.05883,0.09697
2010,Lower Saxony,female,Sometimes,0.24398,249,760,0.21343,0.27454
2010,Lower Saxony,female,Often,0.32687,368,760,0.29350,0.36024
2010,Lower Saxony,female,Very often,0.07474,76,760,0.05603,0.09345
2010,Bremen,female,Often,0.37503,32,32,0.20461,0.54546
2010,North Rhine-Westphalia,male,Very seldom,0.02336,36,1610,0.01598,0.03074
2010,North Rhine-Westphalia,male,Seldom,0.11403,182,1610,0.09850,0.12956
2010,North Rhine-Westphalia,male,Sometimes,0.27997,563,1610,0.25803,0.30191
2010,North Rhine-Westphalia,male,Often,0.29067,730,1610,0.26849,0.31286
2010,North Rhine-Westphalia,male,Very often,0.03786,99,1610,0.02854,0.04719
2010,North Rhine-Westphalia,female,Very seldom,0.02463,51,1757,0.01738,0.03188
2010,North Rhine-Westphalia,female,Seldom,0.08684,176,1757,0.07367,0.10001
2010,North Rhine-Westphalia,female,Sometimes,0.24634,591,1757,0.22618,0.26649
2010,North Rhine-Westphalia,female,Often,0.32202,796,1757,0.30017,0.34388
2010,North Rhine-Westphalia,female,Very often,0.06336,143,1757,0.05197,0.07476
2010,Hesse,male,Sometimes,0.26318,190,487,0.22402,0.30233
2010,Hesse,male,Often,0.33526,247,487,0.29329,0.37723
2010,Hesse,male,Very often,0.07188,50,487,0.04892,0.09485
2010,Hesse,female,Seldom,0.08569,52,558,0.06244,0.10893
2010,Hesse,female,Sometimes,0.22893,184,558,0.19404,0.26382
2010,Hesse,female,Often,0.29265,261,558,0.25486,0.33043
2010,Hesse,female,Very often,0.08278,61,558,0.05989,0.10566
2010,"Rhineland-Palatinate, Saarland",male,Seldom,0.06204,42,404,0.03849,0.08559
2010,"Rhineland-Palatinate, Saarland",male,Sometimes,0.33458,180,404,0.28851,0.38065
2010,"Rhineland-Palatinate, Saarland",male,Often,0.27821,182,404,0.23446,0.32197
2010,"Rhineland-Palatinate, Saarland",female,Seldom,0.08539,69,496,0.06077,0.11001
2010,"Rhineland-Palatinate, Saarland",female,Sometimes,0.30991,192,496,0.26917,0.35065
2010,"Rhineland-Palatinate, Saarland",female,Often,0.28961,200,496,0.24965,0.32957
2010,"Rhineland-Palatinate, Saarland",female,Very often,0.04999,35,496,0.03079,0.06919
2010,Baden-Wuerttemberg,male,Seldom,0.08295,82,911,0.06503,0.10087
2010,Baden-Wuerttemberg,male,Sometimes,0.25838,330,911,0.22993,0.28682
2010,Baden-Wuerttemberg,male,Often,0.33032,441,911,0.29977,0.36088
2010,Baden-Wuerttemberg,male,Very often,0.05161,58,911,0.03723,0.06598
2010,Baden-Wuerttemberg,female,Seldom,0.07677,89,1008,0.06033,0.09322
2010,Baden-Wuerttemberg,female,Sometimes,0.26911,343,1008,0.24172,0.29650
2010,Baden-Wuerttemberg,female,Often,0.33980,486,1008,0.31054,0.36905
2010,Baden-Wuerttemberg,female,Very often,0.05951,90,1008,0.04490,0.07412
2010,Bavaria,male,Seldom,0.07207,92,1118,0.05691,0.08724
2010,Bavaria,male,Sometimes,0.25806,396,1118,0.23240,0.28372
2010,Bavaria,male,Often,0.33520,533,1118,0.30752,0.36289
2010,Bavaria,male,Very often,0.06603,97,1118,0.05147,0.08060
2010,Bavaria,female,Seldom,0.08773,137,1234,0.07194,0.10352
2010,Bavaria,female,Sometimes,0.26320,404,1234,0.23862,0.28778
2010,Bavaria,female,Often,0.31645,562,1234,0.29049,0.34241
2010,Bavaria,female,Very often,0.07353,131,1234,0.05896,0.08810
2010,Berlin,male,Seldom,0.09468,31,269,0.05962,0.12973
2010,Berlin,male,Sometimes,0.31967,104,269,0.26384,0.37551
2010,Berlin,male,Often,0.32285,134,269,0.26687,0.37883
2010,Berlin,female,Seldom,0.08886,43,313,0.05728,0.12043
2010,Berlin,female,Sometimes,0.27324,110,313,0.22379,0.32269
2010,Berlin,female,Often,0.31945,160,313,0.26771,0.37119
2010,Brandenburg,male,Seldom,0.06748,31,311,0.03955,0.09540
2010,Brandenburg,male,Sometimes,0.26574,122,311,0.21657,0.31492
2010,Brandenburg,male,Often,0.36759,158,311,0.31392,0.42127
2010,Brandenburg,female,Seldom,0.09534,42,325,0.06336,0.12732
2010,Brandenburg,female,Sometimes,0.31094,134,325,0.26054,0.36134
