,Unnamed: 0,year,sampreg,sex,plh0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
46,46,2009,West,female,Seldom,0.11199,712,17923,0.10472,0.11958
47,47,2009,West,female,Sometimes,0.34621,2371,17923,0.33396,0.35901
48,48,2009,West,female,Often,0.42021,3113,17923,0.40511,0.43382
49,49,2009,West,female,Very often,0.08539,604,17923,0.07838,0.09366
50,50,2009,East,male,Very seldom,0.03438,58,17923,0.02822,0.04218
51,51,2009,East,male,Seldom,0.09933,200,17923,0.08591,0.1148
52,52,2009,East,male,Sometimes,0.36295,824,17923,0.34076,0.388
53,53,2009,East,male,Often,0.44507,984,17923,0.41411,0.47637
54,54,2009,East,male,Very often,0.05827,109,17923,0.04271,0.07628
55,55,2009,East,female,Very seldom,0.02796,54,17923,0.0219,0.03516
56,56,2009,East,female,Seldom,0.13421,247,17923,0.12094,0.14997
57,57,2009,East,female,Sometimes,0.34616,822,17923,0.32353,0.37101
58,58,2009,East,female,Often,0.42063,1044,17923,0.39584,0.44878
59,59,2009,East,female,Very often,0.07104,178,17923,0.05846,0.08196
60,60,2010,West,male,Very seldom,0.02868,138,16586,0.02489,0.03286
61,61,2010,West,male,Seldom,0.10157,505,16586,0.09378,0.1092
62,62,2010,West,male,Sometimes,0.37588,2112,16586,0.36265,0.39606
63,63,2010,West,male,Often,0.42308,2741,16586,0.40858,0.44128
64,64,2010,West,male,Very often,0.07079,429,16586,0.0631,0.07848
65,65,2010,West,female,Very seldom,0.03075,184,16586,0.02761,0.03458
66,66,2010,West,female,Seldom,0.10811,647,16586,0.10075,0.11585
67,67,2010,West,female,Sometimes,0.34659,2171,16586,0.33265,0.35992
68,68,2010,West,female,Often,0.42598,2960,16586,0.41137,0.44255
69,69,2010,West,female,Very often,0.08858,588,16586,0.08159,0.09789
70,70,2010,East,male,Very seldom,0.02832,44,16586,0.02043,0.03769
71,71,2010,East,male,Seldom,0.09761,167,16586,0.08641,0.11431
72,72,2010,East,male,Sometimes,0.33982,680,16586,0.31816,0.36511
73,73,2010,East,male,Often,0.47301,964,16586,0.44156,0.51087
74,74,2010,East,male,Very often,0.06125,122,16586,0.04797,0.0782
75,75,2010,East,female,Very seldom,0.02199,51,16586,0.01751,0.02556
76,76,2010,East,female,Seldom,0.11685,197,16586,0.1027,0.13126
77,77,2010,East,female,Sometimes,0.38669,760,16586,0.36474,0.41692
78,78,2010,East,female,Often,0.40696,960,16586,0.38054,0.43408
79,79,2010,East,female,Very often,0.06751,166,16586,0.05475,0.08065
80,80,2011,West,male,Very seldom,0.02685,155,20633,0.02303,0.03063
81,81,2011,West,male,Seldom,0.09696,654,20633,0.0909,0.10338
82,82,2011,West,male,Sometimes,0.34353,2480,20633,0.33173,0.35583
83,83,2011,West,male,Often,0.45503,3482,20633,0.44232,0.47244
84,84,2011,West,male,Very often,0.07762,648,20633,0.07151,0.0832
85,85,2011,West,female,Very seldom,0.02818,204,20633,0.0248,0.03129
86,86,2011,West,female,Seldom,0.10131,760,20633,0.09538,0.1073
87,87,2011,West,female,Sometimes,0.32693,2595,20633,0.31328,0.33781
88,88,2011,West,female,Often,0.44187,3909,20633,0.43103,0.45552
89,89,2011,West,female,Very often,0.10172,862,20633,0.09493,0.10826
90,90,2011,East,male,Very seldom,0.02998,59,20633,0.02308,0.03835
91,91,2011,East,male,Seldom,0.11777,227,20633,0.10515,0.13162
92,92,2011,East,male,Sometimes,0.37564,850,20633,0.35007,0.3995
93,93,2011,East,male,Often,0.40977,1016,20633,0.3874,0.43689
94,94,2011,East,male,Very often,0.06684,171,20633,0.05582,0.07914
95,95,2011,East,female,Very seldom,0.03437,80,20633,0.02925,0.03971
96,96,2011,East,female,Seldom,0.11618,253,20633,0.10353,0.13124
97,97,2011,East,female,Sometimes,0.34443,810,20633,0.3229,0.3651
98,98,2011,East,female,Often,0.41975,1167,20633,0.39932,0.43998
99,99,2011,East,female,Very often,0.08526,251,20633,0.07459,0.09599
100,100,2012,West,male,Very seldom,0.02105,130,20423,0.01845,0.02342
101,101,2012,West,male,Seldom,0.08493,551,20423,0.07866,0.09025
102,102,2012,West,male,Sometimes,0.3352,2363,20423,0.32336,0.34723
103,103,2012,West,male,Often,0.47577,3644,20423,0.46052,0.48791
104,104,2012,West,male,Very often,0.08305,648,20423,0.07738,0.08919
105,105,2012,West,female,Very seldom,0.02246,170,20423,0.01966,0.02518
106,106,2012,West,female,Seldom,0.09012,670,20423,0.08455,0.09591
107,107,2012,West,female,Sometimes,0.31806,2495,20423,0.30667,0.32856
108,108,2012,West,female,Often,0.4621,4030,20423,0.447,0.47473
109,109,2012,West,female,Very often,0.10726,890,20423,0.1016,0.11439
110,110,2012,East,male,Very seldom,0.02737,48,20423,0.02131,0.03429
111,111,2012,East,male,Seldom,0.08723,166,20423,0.07351,0.10508
112,112,2012,East,male,Sometimes,0.34984,799,20423,0.32767,0.37404
113,113,2012,East,male,Often,0.47862,1127,20423,0.45341,0.50868
114,114,2012,East,male,Very often,0.05694,149,20423,0.04971,0.06475
115,115,2012,East,female,Very seldom,0.02889,64,20423,0.02309,0.03514
116,116,2012,East,female,Seldom,0.09379,220,20423,0.08256,0.10489
117,117,2012,East,female,Sometimes,0.34797,862,20423,0.32842,0.37145
118,118,2012,East,female,Often,0.44799,1181,20423,0.42558,0.47267
119,119,2012,East,female,Very often,0.08137,216,20423,0.07035,0.09462
120,120,2013,West,male,Very seldom,0.01781,141,25600,0.01539,0.021
121,121,2013,West,male,Seldom,0.0803,610,25600,0.07506,0.0853
122,122,2013,West,male,Sometimes,0.33968,2753,25600,0.32699,0.35211
123,123,2013,West,male,Often,0.48752,4671,25600,0.47039,0.50282
124,124,2013,West,male,Very often,0.07468,794,25600,0.06936,0.08095
125,125,2013,West,female,Very seldom,0.032,236,25600,0.02855,0.03574
126,126,2013,West,female,Seldom,0.08973,861,25600,0.08312,0.09538
127,127,2013,West,female,Sometimes,0.30968,3102,25600,0.29841,0.32209
128,128,2013,West,female,Often,0.47082,5584,25600,0.45764,0.48503
129,129,2013,West,female,Very often,0.09777,1127,25600,0.09042,0.10367
130,130,2013,East,male,Very seldom,0.02344,56,25600,0.01782,0.03003
131,131,2013,East,male,Seldom,0.09883,218,25600,0.08466,0.11448
132,132,2013,East,male,Sometimes,0.35333,890,25600,0.32891,0.38027
133,133,2013,East,male,Often,0.43979,1225,25600,0.41298,0.47066
134,134,2013,East,male,Very often,0.08461,215,25600,0.07063,0.10029
135,135,2013,East,female,Very seldom,0.02893,80,25600,0.02266,0.03906
136,136,2013,East,female,Seldom,0.10528,305,25600,0.09229,0.11836
137,137,2013,East,female,Sometimes,0.3432,993,25600,0.32119,0.36581
138,138,2013,East,female,Often,0.45265,1486,25600,0.42593,0.47625
139,139,2013,East,female,Very often,0.06993,253,25600,0.05966,0.08141
140,140,2014,West,male,Very seldom,0.02059,159,27003,0.01781,0.02349
141,141,2014,West,male,Seldom,0.07434,652,27003,0.06918,0.0793
142,142,2014,West,male,Sometimes,0.31351,2965,27003,0.29991,0.32706
143,143,2014,West,male,Often,0.50004,5127,27003,0.48569,0.51583
144,144,2014,West,male,Very often,0.09151,953,27003,0.08426,0.09906
145,145,2014,West,female,Very seldom,0.02035,211,27003,0.01761,0.02307
146,146,2014,West,female,Seldom,0.08889,914,27003,0.08344,0.09534
147,147,2014,West,female,Sometimes,0.29643,3190,27003,0.28664,0.30844
148,148,2014,West,female,Often,0.47978,5869,27003,0.46627,0.49498
149,149,2014,West,female,Very often,0.11456,1392,27003,0.10713,0.1218
150,150,2014,East,male,Very seldom,0.01817,44,27003,0.01473,0.02202
151,151,2014,East,male,Seldom,0.06872,164,27003,0.06041,0.07834
152,152,2014,East,male,Sometimes,0.35795,830,27003,0.33357,0.38081
153,153,2014,East,male,Often,0.47632,1275,27003,0.44474,0.50778
154,154,2014,East,male,Very often,0.07883,223,27003,0.06591,0.09268
155,155,2014,East,female,Very seldom,0.02308,60,27003,0.01787,0.03098
156,156,2014,East,female,Seldom,0.09968,245,27003,0.08828,0.11105
157,157,2014,East,female,Sometimes,0.32595,947,27003,0.30633,0.3448
158,158,2014,East,female,Often,0.46466,1455,27003,0.43947,0.49
159,159,2014,East,female,Very often,0.08664,328,27003,0.0756,0.10221
160,160,2015,West,male,Very seldom,0.01914,141,24981,0.01664,0.02225
161,161,2015,West,male,Seldom,0.07371,582,24981,0.06826,0.08095
162,162,2015,West,male,Sometimes,0.32773,2735,24981,0.31268,0.34357
163,163,2015,West,male,Often,0.48387,4715,24981,0.47032,0.49824
164,164,2015,West,male,Very often,0.09556,868,24981,0.08891,0.103
165,165,2015,West,female,Very seldom,0.0275,222,24981,0.02452,0.0311
166,166,2015,West,female,Seldom,0.08585,821,24981,0.07966,0.09297
167,167,2015,West,female,Sometimes,0.29423,2989,24981,0.28247,0.30491
168,168,2015,West,female,Often,0.4864,5432,24981,0.47032,0.5027
169,169,2015,West,female,Very often,0.10602,1236,24981,0.0981,0.1138
170,170,2015,East,male,Very seldom,0.0195,47,24981,0.01516,0.02386
171,171,2015,East,male,Seldom,0.08439,165,24981,0.07013,0.09827
172,172,2015,East,male,Sometimes,0.36945,808,24981,0.34131,0.39498
173,173,2015,East,male,Often,0.45619,1198,24981,0.429,0.48926
174,174,2015,East,male,Very often,0.07046,174,24981,0.05607,0.08516
175,175,2015,East,female,Very seldom,0.02131,50,24981,0.01583,0.02644
176,176,2015,East,female,Seldom,0.11133,266,24981,0.09817,0.12446
177,177,2015,East,female,Sometimes,0.33646,894,24981,0.30983,0.35699
178,178,2015,East,female,Often,0.45867,1366,24981,0.4351,0.48621
179,179,2015,East,female,Very often,0.07224,272,24981,0.06057,0.08132
180,180,2016,West,male,Very seldom,0.01929,155,24106,0.01623,0.02223
181,181,2016,West,male,Seldom,0.07547,593,24106,0.06929,0.08263
182,182,2016,West,male,Sometimes,0.31834,2657,24106,0.30611,0.33195
183,183,2016,West,male,Often,0.50721,4575,24106,0.48843,0.52247
184,184,2016,West,male,Very often,0.07969,771,24106,0.07303,0.08762
185,185,2016,West,female,Very seldom,0.02276,223,24106,0.02017,0.02578
186,186,2016,West,female,Seldom,0.08158,746,24106,0.07626,0.08753
187,187,2016,West,female,Sometimes,0.29171,2852,24106,0.28082,0.30088
188,188,2016,West,female,Often,0.49402,5340,24106,0.47919,0.50911
189,189,2016,West,female,Very often,0.10993,1175,24106,0.10096,0.11678
190,190,2016,East,male,Very seldom,0.0241,42,24106,0.0148,0.03365
191,191,2016,East,male,Seldom,0.10204,175,24106,0.08617,0.11766
192,192,2016,East,male,Sometimes,0.32776,737,24106,0.29924,0.36065
193,193,2016,East,male,Often,0.47617,1151,24106,0.44381,0.51055
194,194,2016,East,male,Very often,0.06994,174,24106,0.05573,0.08421
195,195,2016,East,female,Very seldom,0.02646,61,24106,0.02125,0.03225
196,196,2016,East,female,Seldom,0.10882,267,24106,0.09784,0.12416
197,197,2016,East,female,Sometimes,0.2991,824,24106,0.27397,0.32079
198,198,2016,East,female,Often,0.46705,1298,24106,0.43362,0.50022
199,199,2016,East,female,Very often,0.09857,290,24106,0.0844,0.11214
200,200,2017,West,male,Very seldom,0.01707,141,26379,0.01398,0.01979
201,201,2017,West,male,Seldom,0.06112,532,26379,0.05556,0.06619
202,202,2017,West,male,Sometimes,0.30609,2791,26379,0.29405,0.31735
203,203,2017,West,male,Often,0.52745,5241,26379,0.51214,0.54329
204,204,2017,West,male,Very often,0.08827,916,26379,0.08274,0.09389
205,205,2017,West,female,Very seldom,0.02094,191,26379,0.01786,0.02374
206,206,2017,West,female,Seldom,0.07863,766,26379,0.07253,0.08454
207,207,2017,West,female,Sometimes,0.28017,2948,26379,0.27063,0.29162
208,208,2017,West,female,Often,0.50897,5953,26379,0.49501,0.52458
209,209,2017,West,female,Very often,0.1113,1325,26379,0.10416,0.11913
210,210,2017,East,male,Very seldom,0.01967,35,26379,0.0129,0.028
211,211,2017,East,male,Seldom,0.08549,200,26379,0.07422,0.09514
212,212,2017,East,male,Sometimes,0.32803,803,26379,0.30262,0.35636
213,213,2017,East,male,Often,0.48649,1317,26379,0.45921,0.51019
214,214,2017,East,male,Very often,0.08032,213,26379,0.06748,0.09247
215,215,2017,East,female,Very seldom,0.02397,48,26379,0.01799,0.03158
216,216,2017,East,female,Seldom,0.08304,252,26379,0.07339,0.09444
217,217,2017,East,female,Sometimes,0.31328,869,26379,0.29483,0.33371
218,218,2017,East,female,Often,0.49379,1532,26379,0.46471,0.52014
219,219,2017,East,female,Very often,0.08593,306,26379,0.07264,0.09801
220,220,2018,West,male,Very seldom,0.01505,138,25531,0.01271,0.01763
221,221,2018,West,male,Seldom,0.06775,571,25531,0.06321,0.07374
222,222,2018,West,male,Sometimes,0.30988,2710,25531,0.29759,0.32295
223,223,2018,West,male,Often,0.51781,4885,25531,0.5008,0.53272
224,224,2018,West,male,Very often,0.08951,920,25531,0.0835,0.09593
225,225,2018,West,female,Very seldom,0.01826,195,25531,0.01568,0.02114
226,226,2018,West,female,Seldom,0.08121,751,25531,0.0753,0.08849
227,227,2018,West,female,Sometimes,0.29111,2917,25531,0.28104,0.30519
228,228,2018,West,female,Often,0.5039,5692,25531,0.4918,0.51967
229,229,2018,West,female,Very often,0.10551,1276,25531,0.09892,0.11288
230,230,2018,East,male,Very seldom,0.01566,46,25531,0.01183,0.01995
231,231,2018,East,male,Seldom,0.08543,173,25531,0.07281,0.09978
232,232,2018,East,male,Sometimes,0.32531,820,25531,0.29802,0.35049
233,233,2018,East,male,Often,0.50517,1295,25531,0.47555,0.53915
234,234,2018,East,male,Very often,0.06843,188,25531,0.05817,0.07785
235,235,2018,East,female,Very seldom,0.01661,48,25531,0.0111,0.02224
236,236,2018,East,female,Seldom,0.09616,253,25531,0.08351,0.10962
237,237,2018,East,female,Sometimes,0.31039,902,25531,0.29004,0.33603
238,238,2018,East,female,Often,0.49279,1463,25531,0.46332,0.52517
239,239,2018,East,female,Very often,0.08405,288,25531,0.07123,0.09926
240,240,2019,West,male,Very seldom,0.02071,164,25604,0.01721,0.0246
241,241,2019,West,male,Seldom,0.06941,547,25604,0.0633,0.07594
242,242,2019,West,male,Sometimes,0.30016,2661,25604,0.28729,0.31551
243,243,2019,West,male,Often,0.5155,5204,25604,0.4987,0.53305
244,244,2019,West,male,Very often,0.09422,1012,25604,0.08811,0.10081
245,245,2019,West,female,Very seldom,0.02019,181,25604,0.01744,0.02356
246,246,2019,West,female,Seldom,0.07673,706,25604,0.07091,0.08255
247,247,2019,West,female,Sometimes,0.28897,2808,25604,0.27587,0.30179
248,248,2019,West,female,Often,0.50162,5496,25604,0.4862,0.51902
249,249,2019,West,female,Very often,0.11249,1291,25604,0.10517,0.11963
250,250,2019,East,male,Very seldom,0.02447,40,25604,0.01699,0.03153
251,251,2019,East,male,Seldom,0.07681,169,25604,0.06628,0.08816
252,252,2019,East,male,Sometimes,0.34068,828,25604,0.31402,0.36976
253,253,2019,East,male,Often,0.48801,1377,25604,0.45589,0.52276
254,254,2019,East,male,Very often,0.07003,222,25604,0.0578,0.08325
255,255,2019,East,female,Very seldom,0.01824,37,25604,0.01034,0.02502
256,256,2019,East,female,Seldom,0.09596,238,25604,0.08492,0.10703
257,257,2019,East,female,Sometimes,0.30751,826,25604,0.2864,0.33269
258,258,2019,East,female,Often,0.48124,1486,25604,0.45444,0.50705
259,259,2019,East,female,Very often,0.09705,311,25604,0.08309,0.11559
260,260,2020,West,male,Very seldom,0.02137,175,25608,0.01779,0.02463
261,261,2020,West,male,Seldom,0.06897,636,25608,0.06243,0.07551
262,262,2020,West,male,Sometimes,0.30455,2806,25608,0.29238,0.31925
263,263,2020,West,male,Often,0.5224,5096,25608,0.49945,0.54357
264,264,2020,West,male,Very often,0.08271,1009,25608,0.07604,0.08935
265,265,2020,West,female,Very seldom,0.02251,203,25608,0.01864,0.02585
266,266,2020,West,female,Seldom,0.09003,801,25608,0.08398,0.09588
267,267,2020,West,female,Sometimes,0.294,2879,25608,0.27954,0.3065
268,268,2020,West,female,Often,0.48989,5435,25608,0.47227,0.50869
269,269,2020,West,female,Very often,0.10357,1260,25608,0.09599,0.1097
270,270,2020,East,male,Very seldom,0.02416,40,25608,0.01607,0.03306
271,271,2020,East,male,Seldom,0.09799,188,25608,0.08279,0.11413
272,272,2020,East,male,Sometimes,0.31775,789,25608,0.28731,0.35066
273,273,2020,East,male,Often,0.48729,1295,25608,0.45784,0.52133
274,274,2020,East,male,Very often,0.07281,216,25608,0.05893,0.08908
275,275,2020,East,female,Very seldom,0.0144,42,25608,0.00923,0.0204
276,276,2020,East,female,Seldom,0.10031,231,25608,0.08758,0.11697
277,277,2020,East,female,Sometimes,0.30942,837,25608,0.28343,0.33148
278,278,2020,East,female,Often,0.48707,1381,25608,0.45774,0.51408
279,279,2020,East,female,Very often,0.0888,289,25608,0.07536,0.10748
280,280,2021,West,male,Very seldom,0.01641,97,17152,0.01371,0.01976
281,281,2021,West,male,Seldom,0.07445,460,17152,0.06683,0.08434
282,282,2021,West,male,Sometimes,0.28141,1650,17152,0.26135,0.29888
283,283,2021,West,male,Often,0.53339,3447,17152,0.50863,0.55539
284,284,2021,West,male,Very often,0.09435,742,17152,0.0862,0.10224
285,285,2021,West,female,Very seldom,0.01652,106,17152,0.01305,0.02017
286,286,2021,West,female,Seldom,0.0843,539,17152,0.07499,0.09275
287,287,2021,West,female,Sometimes,0.25776,1762,17152,0.24284,0.27325
288,288,2021,West,female,Often,0.5168,3870,17152,0.49446,0.53714
289,289,2021,West,female,Very often,0.12462,885,17152,0.11426,0.13768
290,290,2021,East,male,Very seldom,0.02442,33,17152,0.01479,0.0357
291,291,2021,East,male,Seldom,0.09059,135,17152,0.07348,0.11255
292,292,2021,East,male,Sometimes,0.28248,465,17152,0.25023,0.30548
293,293,2021,East,male,Often,0.52307,889,17152,0.47882,0.57581
294,294,2021,East,male,Very often,0.07943,159,17152,0.06259,0.09755
295,295,2021,East,female,Seldom,0.10768,175,17152,0.09173,0.12738
296,296,2021,East,female,Sometimes,0.28338,503,17152,0.25665,0.31517
297,297,2021,East,female,Often,0.50902,1003,17152,0.46788,0.54694
298,298,2021,East,female,Very often,0.09992,232,17152,0.08082,0.11798
