year,regtyp,sampreg,plh0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2012,Rural regions,West,Very seldom,0.01903,75,20423,0.01896,0.01911
2012,Rural regions,West,Seldom,0.08753,316,20423,0.08738,0.08769
2012,Rural regions,West,Sometimes,0.31364,1247,20423,0.31339,0.31389
2012,Rural regions,West,Often,0.48227,2089,20423,0.48199,0.48254
2012,Rural regions,West,Very often,0.09753,470,20423,0.09737,0.09769
2012,Rural regions,East,Very seldom,0.02863,71,20423,0.02851,0.02875
2012,Rural regions,East,Seldom,0.09370,277,20423,0.09349,0.09391
2012,Rural regions,East,Sometimes,0.35757,1118,20423,0.35722,0.35792
2012,Rural regions,East,Often,0.46109,1536,20423,0.46072,0.46145
2012,Rural regions,East,Very often,0.05902,225,20423,0.05884,0.05919
2013,Urban regions,West,Very seldom,0.02560,284,25600,0.02555,0.02565
2013,Urban regions,West,Seldom,0.08796,1092,25600,0.08787,0.08805
2013,Urban regions,West,Sometimes,0.32793,4303,25600,0.32778,0.32809
2013,Urban regions,West,Often,0.47291,7277,25600,0.47274,0.47307
2013,Urban regions,West,Very often,0.08560,1320,25600,0.08551,0.08570
2013,Urban regions,East,Very seldom,0.02474,49,25600,0.02459,0.02489
2013,Urban regions,East,Seldom,0.10895,190,25600,0.10864,0.10925
2013,Urban regions,East,Sometimes,0.32097,589,25600,0.32051,0.32143
2013,Urban regions,East,Often,0.45304,948,25600,0.45255,0.45353
2013,Urban regions,East,Very often,0.09231,183,25600,0.09202,0.09259
2013,Rural regions,West,Very seldom,0.02399,93,25600,0.02391,0.02407
2013,Rural regions,West,Seldom,0.07754,379,25600,0.07740,0.07769
2013,Rural regions,West,Sometimes,0.31357,1552,25600,0.31332,0.31383
2013,Rural regions,West,Often,0.49534,2978,25600,0.49507,0.49561
2013,Rural regions,West,Very often,0.08955,601,25600,0.08940,0.08971
2013,Rural regions,East,Very seldom,0.02699,87,25600,0.02687,0.02710
2013,Rural regions,East,Seldom,0.09861,333,25600,0.09840,0.09882
2013,Rural regions,East,Sometimes,0.36208,1294,25600,0.36175,0.36242
2013,Rural regions,East,Often,0.44289,1763,25600,0.44254,0.44324
2013,Rural regions,East,Very often,0.06943,285,25600,0.06925,0.06961
2014,Urban regions,West,Very seldom,0.01961,265,27003,0.01957,0.01965
2014,Urban regions,West,Seldom,0.08356,1163,27003,0.08348,0.08365
2014,Urban regions,West,Sometimes,0.30541,4559,27003,0.30526,0.30555
2014,Urban regions,West,Often,0.48809,7985,27003,0.48794,0.48824
2014,Urban regions,West,Very often,0.10333,1673,27003,0.10324,0.10342
2014,Urban regions,East,Very seldom,0.02813,39,27003,0.02797,0.02829
2014,Urban regions,East,Seldom,0.08833,143,27003,0.08806,0.08861
2014,Urban regions,East,Sometimes,0.30353,581,27003,0.30309,0.30397
2014,Urban regions,East,Often,0.48666,961,27003,0.48618,0.48714
2014,Urban regions,East,Very often,0.09335,207,27003,0.09307,0.09362
2014,Rural regions,West,Very seldom,0.02296,105,27003,0.02288,0.02304
2014,Rural regions,West,Seldom,0.07664,403,27003,0.07650,0.07677
2014,Rural regions,West,Sometimes,0.30289,1596,27003,0.30265,0.30313
2014,Rural regions,West,Often,0.49423,3011,27003,0.49397,0.49449
2014,Rural regions,West,Very often,0.10328,672,27003,0.10312,0.10344
2014,Rural regions,East,Very seldom,0.01665,65,27003,0.01656,0.01674
2014,Rural regions,East,Seldom,0.08253,266,27003,0.08234,0.08272
2014,Rural regions,East,Sometimes,0.36215,1196,27003,0.36181,0.36249
2014,Rural regions,East,Often,0.46153,1769,27003,0.46118,0.46188
2014,Rural regions,East,Very often,0.07714,344,27003,0.07695,0.07732
2015,Urban regions,West,Very seldom,0.02483,264,24981,0.02478,0.02487
2015,Urban regions,West,Seldom,0.08026,1034,24981,0.08018,0.08034
2015,Urban regions,West,Sometimes,0.30739,4192,24981,0.30725,0.30753
2015,Urban regions,West,Often,0.48691,7313,24981,0.48675,0.48706
2015,Urban regions,West,Very often,0.10062,1500,24981,0.10053,0.10071
2015,Urban regions,East,Very seldom,0.02378,34,24981,0.02363,0.02392
2015,Urban regions,East,Seldom,0.09612,144,24981,0.09584,0.09640
2015,Urban regions,East,Sometimes,0.30110,544,24981,0.30066,0.30154
2015,Urban regions,East,Often,0.49281,931,24981,0.49234,0.49329
2015,Urban regions,East,Very often,0.08619,181,24981,0.08592,0.08646
2015,Rural regions,West,Very seldom,0.01934,99,24981,0.01927,0.01942
2015,Rural regions,West,Seldom,0.07896,369,24981,0.07882,0.07911
2015,Rural regions,West,Sometimes,0.31981,1532,24981,0.31956,0.32005
2015,Rural regions,West,Often,0.48008,2834,24981,0.47982,0.48035
2015,Rural regions,West,Very often,0.10180,604,24981,0.10164,0.10196
2015,Rural regions,East,Very seldom,0.01856,63,24981,0.01846,0.01865
2015,Rural regions,East,Seldom,0.09923,287,24981,0.09902,0.09944
2015,Rural regions,East,Sometimes,0.38128,1158,24981,0.38094,0.38163
2015,Rural regions,East,Often,0.43780,1633,24981,0.43745,0.43815
2015,Rural regions,East,Very often,0.06313,265,24981,0.06296,0.06331
2016,Urban regions,West,Very seldom,0.02353,295,24106,0.02349,0.02358
2016,Urban regions,West,Seldom,0.07855,980,24106,0.07847,0.07863
2016,Urban regions,West,Sometimes,0.30458,4033,24106,0.30444,0.30472
2016,Urban regions,West,Often,0.49804,7179,24106,0.49788,0.49819
2016,Urban regions,West,Very often,0.09530,1378,24106,0.09521,0.09539
2016,Urban regions,East,Very seldom,0.02128,36,24106,0.02114,0.02141
2016,Urban regions,East,Seldom,0.10152,147,24106,0.10123,0.10180
2016,Urban regions,East,Sometimes,0.27428,505,24106,0.27386,0.27470
2016,Urban regions,East,Often,0.49401,889,24106,0.49354,0.49449
2016,Urban regions,East,Very often,0.10891,179,24106,0.10862,0.10921
2016,Rural regions,West,Very seldom,0.01379,83,24106,0.01373,0.01385
2016,Rural regions,West,Seldom,0.07870,359,24106,0.07856,0.07884
2016,Rural regions,West,Sometimes,0.30521,1476,24106,0.30497,0.30545
2016,Rural regions,West,Often,0.50766,2736,24106,0.50740,0.50792
2016,Rural regions,West,Very often,0.09464,568,24106,0.09449,0.09480
2016,Rural regions,East,Very seldom,0.02755,67,24106,0.02743,0.02767
2016,Rural regions,East,Seldom,0.10773,295,24106,0.10751,0.10795
2016,Rural regions,East,Sometimes,0.33465,1056,24106,0.33432,0.33499
2016,Rural regions,East,Often,0.45897,1560,24106,0.45862,0.45932
2016,Rural regions,East,Very often,0.07110,285,24106,0.07092,0.07128
2017,Urban regions,West,Very seldom,0.01991,258,26349,0.01987,0.01995
2017,Urban regions,West,Seldom,0.07214,977,26349,0.07206,0.07221
2017,Urban regions,West,Sometimes,0.29490,4197,26349,0.29476,0.29504
2017,Urban regions,West,Often,0.51111,8036,26349,0.51096,0.51126
2017,Urban regions,West,Very often,0.10194,1614,26349,0.10185,0.10203
2017,Urban regions,East,Seldom,0.08819,158,26349,0.08792,0.08846
2017,Urban regions,East,Sometimes,0.28134,522,26349,0.28091,0.28177
2017,Urban regions,East,Often,0.51918,1018,26349,0.51870,0.51966
2017,Urban regions,East,Very often,0.11128,213,26349,0.11098,0.11159
2017,Rural regions,West,Very seldom,0.01643,74,26349,0.01636,0.01649
2017,Rural regions,West,Seldom,0.06375,321,26349,0.06362,0.06388
2017,Rural regions,West,Sometimes,0.28670,1542,26349,0.28646,0.28693
2017,Rural regions,West,Often,0.53892,3158,26349,0.53866,0.53918
2017,Rural regions,West,Very often,0.09421,627,26349,0.09405,0.09436
2017,Rural regions,East,Very seldom,0.02085,53,26349,0.02075,0.02095
2017,Rural regions,East,Seldom,0.08319,294,26349,0.08299,0.08339
2017,Rural regions,East,Sometimes,0.34679,1150,26349,0.34645,0.34713
2017,Rural regions,East,Often,0.48060,1831,26349,0.48024,0.48096
2017,Rural regions,East,Very often,0.06858,306,26349,0.06839,0.06876
