"year","regtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1999","Staedtischer Raum","Westdeutschland","1.54","1.5","10074","1.53","1.55"
"2000","Laendlicher Raum","Ostdeutschland","1.52","1.5","5019","1.51","1.53"
"2000","Laendlicher Raum","Westdeutschland","1.38","1","6130","1.37","1.39"
"2000","Staedtischer Raum","Ostdeutschland","1.79","1.5","2338","1.77","1.81"
"2000","Staedtischer Raum","Westdeutschland","1.54","1.5","18320","1.53","1.55"
"2001","Laendlicher Raum","Ostdeutschland","1.51","1.5","4564","1.5","1.52"
"2001","Laendlicher Raum","Westdeutschland","1.36","1","5412","1.35","1.37"
"2001","Staedtischer Raum","Ostdeutschland","1.78","1.5","2174","1.76","1.8"
"2001","Staedtischer Raum","Westdeutschland","1.54","1.5","16578","1.53","1.55"
"2002","Laendlicher Raum","Ostdeutschland","1.51","1.5","4521","1.5","1.52"
"2002","Laendlicher Raum","Westdeutschland","1.36","1","5602","1.35","1.37"
"2002","Staedtischer Raum","Ostdeutschland","1.78","1.5","2183","1.76","1.8"
"2002","Staedtischer Raum","Westdeutschland","1.53","1.5","17810","1.52","1.54"
"2003","Laendlicher Raum","Ostdeutschland","1.51","1.5","4413","1.5","1.52"
"2003","Laendlicher Raum","Westdeutschland","1.36","1","5227","1.35","1.37"
"2003","Staedtischer Raum","Ostdeutschland","1.78","1.5","2134","1.76","1.8"
"2003","Staedtischer Raum","Westdeutschland","1.54","1.5","17018","1.53","1.55"
"2004","Laendlicher Raum","Ostdeutschland","1.51","1.5","4261","1.5","1.52"
"2004","Laendlicher Raum","Westdeutschland","1.37","1","5105","1.36","1.38"
"2004","Staedtischer Raum","Ostdeutschland","1.79","1.5","2117","1.77","1.81"
"2004","Staedtischer Raum","Westdeutschland","1.55","1.5","16448","1.54","1.56"
"2005","Laendlicher Raum","Ostdeutschland","1.51","1.5","4100","1.49","1.53"
"2005","Laendlicher Raum","Westdeutschland","1.35","1","4854","1.34","1.36"
"2005","Staedtischer Raum","Ostdeutschland","1.78","1.5","2050","1.76","1.8"
"2005","Staedtischer Raum","Westdeutschland","1.56","1.5","15701","1.55","1.57"
"2006","Laendlicher Raum","Ostdeutschland","1.52","1.5","4391","1.51","1.53"
"2006","Laendlicher Raum","Westdeutschland","1.38","1","5459","1.37","1.39"
"2006","Staedtischer Raum","Ostdeutschland","1.79","1.5","2148","1.77","1.81"
"2006","Staedtischer Raum","Westdeutschland","1.56","1.5","16666","1.55","1.57"
"2007","Laendlicher Raum","Ostdeutschland","1.51","1.5","4102","1.49","1.53"
"2007","Laendlicher Raum","Westdeutschland","1.38","1","5061","1.37","1.39"
"2007","Staedtischer Raum","Ostdeutschland","1.78","1.5","2022","1.76","1.8"
"2007","Staedtischer Raum","Westdeutschland","1.54","1.5","15433","1.53","1.55"
"2008","Laendlicher Raum","Ostdeutschland","1.5","1","3867","1.48","1.52"
"2008","Laendlicher Raum","Westdeutschland","1.36","1","4696","1.35","1.37"
"2008","Staedtischer Raum","Ostdeutschland","1.78","1.5","1954","1.76","1.8"
"2008","Staedtischer Raum","Westdeutschland","1.53","1.5","14360","1.52","1.54"
"2009","Laendlicher Raum","Ostdeutschland","1.48","1","3722","1.46","1.5"
"2009","Laendlicher Raum","Westdeutschland","1.37","1","4460","1.36","1.38"
"2009","Staedtischer Raum","Ostdeutschland","1.76","1.5","1860","1.74","1.78"
"2009","Staedtischer Raum","Westdeutschland","1.51","1.5","13179","1.5","1.52"
"2010","Laendlicher Raum","Ostdeutschland","1.47","1","5197","1.46","1.48"
"2010","Laendlicher Raum","Westdeutschland","1.37","1","7945","1.36","1.38"
"2010","Staedtischer Raum","Ostdeutschland","1.76","1.5","2733","1.74","1.78"
"2010","Staedtischer Raum","Westdeutschland","1.5","1.5","21593","1.49","1.51"
"2011","Laendlicher Raum","Ostdeutschland","1.49","1","5936","1.48","1.5"
"2011","Laendlicher Raum","Westdeutschland","1.37","1","9885","1.36","1.38"
"2011","Staedtischer Raum","Ostdeutschland","1.76","1.5","3210","1.74","1.78"
"2011","Staedtischer Raum","Westdeutschland","1.5","1","24970","1.49","1.51"
"2012","Laendlicher Raum","Ostdeutschland","1.5","1.5","5795","1.49","1.51"
"2012","Laendlicher Raum","Westdeutschland","1.39","1","9660","1.38","1.4"
"2012","Staedtischer Raum","Ostdeutschland","1.76","1.5","3075","1.74","1.78"
"2012","Staedtischer Raum","Westdeutschland","1.49","1","23876","1.48","1.5"
"2013","Laendlicher Raum","Ostdeutschland","1.49","1","5702","1.48","1.5"
"2013","Laendlicher Raum","Westdeutschland","1.39","1","10450","1.38","1.4"
"2013","Staedtischer Raum","Ostdeutschland","1.75","1.5","3134","1.73","1.77"
"2013","Staedtischer Raum","Westdeutschland","1.5","1.5","28379","1.49","1.51"
"2014","Laendlicher Raum","Ostdeutschland","1.51","1.5","5192","1.5","1.52"
"2014","Laendlicher Raum","Westdeutschland","1.4","1","9172","1.39","1.41"
"2014","Staedtischer Raum","Ostdeutschland","1.75","1.5","2830","1.73","1.77"
"2014","Staedtischer Raum","Westdeutschland","1.5","1","24313","1.49","1.51"
"2015","Laendlicher Raum","Ostdeutschland","1.51","1.5","4945","1.5","1.52"
"2015","Laendlicher Raum","Westdeutschland","1.4","1","9179","1.39","1.41"
"2015","Staedtischer Raum","Ostdeutschland","1.73","1.5","2778","1.71","1.75"
"2015","Staedtischer Raum","Westdeutschland","1.5","1","24150","1.49","1.51"
"2016","Laendlicher Raum","Ostdeutschland","1.5","1","4616","1.49","1.51"
"2016","Laendlicher Raum","Westdeutschland","1.39","1","8166","1.38","1.4"
"2016","Staedtischer Raum","Ostdeutschland","1.72","1.5","2539","1.7","1.74"
"2016","Staedtischer Raum","Westdeutschland","1.5","1","21468","1.49","1.51"
"2017","Laendlicher Raum","Ostdeutschland","1.49","1","5842","1.48","1.5"
"2017","Laendlicher Raum","Westdeutschland","1.4","1","10227","1.39","1.41"
"2017","Staedtischer Raum","Ostdeutschland","1.71","1.5","3269","1.7","1.72"
"2017","Staedtischer Raum","Westdeutschland","1.5","1","27736","1.49","1.51"
"2018","Laendlicher Raum","Ostdeutschland","1.49","1","5782","1.48","1.5"
"2018","Laendlicher Raum","Westdeutschland","1.39","1","10192","1.38","1.4"
"2018","Staedtischer Raum","Ostdeutschland","1.72","1.5","3388","1.71","1.73"
"2018","Staedtischer Raum","Westdeutschland","1.49","1","28781","1.48","1.5"
"2019","Laendlicher Raum","Ostdeutschland","1.47","1","5970","1.46","1.48"
"2019","Laendlicher Raum","Westdeutschland","1.4","1","9985","1.39","1.41"
"2019","Staedtischer Raum","Ostdeutschland","1.71","1.5","3382","1.69","1.73"
"2019","Staedtischer Raum","Westdeutschland","1.49","1","28520","1.48","1.5"
"2020","Laendlicher Raum","Ostdeutschland","1.48","1","5607","1.47","1.49"
"2020","Laendlicher Raum","Westdeutschland","1.4","1","10056","1.39","1.41"
"2020","Staedtischer Raum","Ostdeutschland","1.74","1.5","3533","1.73","1.75"
"2020","Staedtischer Raum","Westdeutschland","1.5","1","30735","1.49","1.51"
