year,age_gr,migback,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,30-45 y.,No migration background,Yes,0.06148,287,3406,0.05341,0.06955
1992,30-45 y.,No migration background,No,0.92777,3119,3406,0.91908,0.93647
1992,30-45 y.,Direct migration background,Yes,0.06108,46,781,0.04427,0.07788
1992,30-45 y.,Direct migration background,No,0.92447,735,781,0.90592,0.94301
1992,46-65 y.,No migration background,Yes,0.06851,248,2939,0.05937,0.07764
1992,46-65 y.,No migration background,No,0.89986,2691,2939,0.88900,0.91071
1992,46-65 y.,Direct migration background,Yes,0.09297,105,972,0.07470,0.11123
1992,46-65 y.,Direct migration background,No,0.88015,867,972,0.85972,0.90058
1992,66 and older,No migration background,No,0.94364,1238,1238,0.93079,0.95650
1992,66 and older,Direct migration background,No,0.93826,128,128,0.89640,0.98012
1993,17-29 y.,No migration background,Yes,0.07719,209,2462,0.06665,0.08774
1993,17-29 y.,No migration background,No,0.91723,2253,2462,0.90635,0.92812
1993,17-29 y.,Direct migration background,Yes,0.07580,47,557,0.05380,0.09780
1993,17-29 y.,Direct migration background,No,0.89220,510,557,0.86642,0.91798
1993,17-29 y.,Indirect migration background,No,0.92056,385,385,0.89351,0.94761
1993,30-45 y.,No migration background,Yes,0.06258,280,3390,0.05443,0.07074
1993,30-45 y.,No migration background,No,0.93228,3110,3390,0.92382,0.94074
1993,30-45 y.,Direct migration background,Yes,0.07205,47,725,0.05322,0.09089
1993,30-45 y.,Direct migration background,No,0.89916,678,725,0.87722,0.92109
1993,30-45 y.,Indirect migration background,No,0.86878,32,32,0.74992,0.98764
1993,46-65 y.,No migration background,Yes,0.08220,275,2932,0.07226,0.09215
1993,46-65 y.,No migration background,No,0.91020,2657,2932,0.89985,0.92055
1993,46-65 y.,Direct migration background,Yes,0.08471,102,960,0.06709,0.10233
1993,46-65 y.,Direct migration background,No,0.88998,858,960,0.87017,0.90978
1993,66 and older,No migration background,No,0.97596,1291,1291,0.96760,0.98432
1993,66 and older,Direct migration background,No,0.99632,150,150,0.98659,1.00604
1994,17-29 y.,No migration background,Yes,0.07880,197,2374,0.06796,0.08964
1994,17-29 y.,No migration background,No,0.91479,2177,2374,0.90356,0.92603
1994,17-29 y.,Direct migration background,Yes,0.12623,61,511,0.09740,0.15505
1994,17-29 y.,Direct migration background,No,0.85568,450,511,0.82518,0.88618
1994,17-29 y.,Indirect migration background,Yes,0.07071,32,429,0.04642,0.09499
1994,17-29 y.,Indirect migration background,No,0.89721,397,429,0.86843,0.92598
1994,30-45 y.,No migration background,Yes,0.07387,307,3381,0.06505,0.08268
1994,30-45 y.,No migration background,No,0.92302,3074,3381,0.91403,0.93200
1994,30-45 y.,Direct migration background,Yes,0.07354,74,706,0.05427,0.09281
1994,30-45 y.,Direct migration background,No,0.91515,632,706,0.89459,0.93572
1994,30-45 y.,Indirect migration background,No,0.96646,37,37,0.90765,1.02527
1994,46-65 y.,No migration background,Yes,0.09270,315,2906,0.08216,0.10325
1994,46-65 y.,No migration background,No,0.90022,2591,2906,0.88932,0.91112
1994,46-65 y.,Direct migration background,Yes,0.11759,106,943,0.09702,0.13816
1994,46-65 y.,Direct migration background,No,0.86767,837,943,0.84603,0.88931
1994,66 and older,No migration background,No,0.98235,1295,1295,0.97518,0.98953
1994,66 and older,Direct migration background,No,0.99314,169,169,0.98066,1.00562
1995,17-29 y.,No migration background,Yes,0.06856,160,2284,0.05819,0.07892
1995,17-29 y.,No migration background,No,0.92171,2124,2284,0.91069,0.93273
1995,17-29 y.,Direct migration background,Yes,0.10450,56,593,0.07986,0.12915
1995,17-29 y.,Direct migration background,No,0.87637,537,593,0.84985,0.90288
1995,17-29 y.,Indirect migration background,Yes,0.08143,39,436,0.05573,0.10713
1995,17-29 y.,Indirect migration background,No,0.89281,397,436,0.86374,0.92189
1995,30-45 y.,No migration background,Yes,0.06757,271,3455,0.05920,0.07594
1995,30-45 y.,No migration background,No,0.92569,3184,3455,0.91694,0.93444
1995,30-45 y.,Direct migration background,Yes,0.10524,100,915,0.08534,0.12513
1995,30-45 y.,Direct migration background,No,0.88704,815,915,0.86652,0.90756
1995,30-45 y.,Indirect migration background,No,0.98631,45,45,0.95197,1.02065
1995,46-65 y.,No migration background,Yes,0.09103,295,2881,0.08052,0.10153
1995,46-65 y.,No migration background,No,0.89697,2586,2881,0.88586,0.90807
1995,46-65 y.,Direct migration background,Yes,0.14811,140,1026,0.12636,0.16986
1995,46-65 y.,Direct migration background,No,0.83337,886,1026,0.81055,0.85618
1995,66 and older,No migration background,No,0.96879,1268,1268,0.95921,0.97836
1995,66 and older,Direct migration background,No,0.95411,203,203,0.92526,0.98297
1996,17-29 y.,No migration background,Yes,0.06984,156,2110,0.05896,0.08071
1996,17-29 y.,No migration background,No,0.90348,1954,2110,0.89088,0.91608
1996,17-29 y.,Direct migration background,Yes,0.13146,59,527,0.10259,0.16034
1996,17-29 y.,Direct migration background,No,0.85638,468,527,0.82641,0.88635
1996,17-29 y.,Indirect migration background,Yes,0.08361,40,450,0.05801,0.10921
1996,17-29 y.,Indirect migration background,No,0.88012,410,450,0.85007,0.91016
1996,30-45 y.,No migration background,Yes,0.06428,265,3449,0.05610,0.07247
1996,30-45 y.,No migration background,No,0.91801,3184,3449,0.90885,0.92717
1996,30-45 y.,Direct migration background,Yes,0.09148,79,840,0.07197,0.11098
1996,30-45 y.,Direct migration background,No,0.89520,761,840,0.87448,0.91593
1996,30-45 y.,Indirect migration background,No,0.98226,61,61,0.94886,1.01566
1996,46-65 y.,No migration background,Yes,0.09448,311,2839,0.08372,0.10524
1996,46-65 y.,No migration background,No,0.87871,2528,2839,0.86670,0.89072
1996,46-65 y.,Direct migration background,Yes,0.14740,131,961,0.12497,0.16983
1996,46-65 y.,Direct migration background,No,0.83059,830,961,0.80686,0.85432
1996,66 and older,No migration background,No,0.96773,1271,1271,0.95801,0.97745
1996,66 and older,Direct migration background,No,0.96104,220,220,0.93541,0.98667
1997,17-29 y.,No migration background,Yes,0.07957,164,2075,0.06792,0.09122
1997,17-29 y.,No migration background,No,0.91998,1911,2075,0.90830,0.93165
1997,17-29 y.,Direct migration background,Yes,0.10204,47,477,0.07485,0.12924
1997,17-29 y.,Direct migration background,No,0.89267,430,477,0.86487,0.92048
1997,17-29 y.,Indirect migration background,Yes,0.08681,40,476,0.06149,0.11213
1997,17-29 y.,Indirect migration background,No,0.91319,436,476,0.88787,0.93851
1997,30-45 y.,No migration background,Yes,0.07353,268,3475,0.06486,0.08221
1997,30-45 y.,No migration background,No,0.92647,3207,3475,0.91779,0.93514
1997,30-45 y.,Direct migration background,Yes,0.10495,88,822,0.08399,0.12592
1997,30-45 y.,Direct migration background,No,0.89505,734,822,0.87408,0.91601
1997,30-45 y.,Indirect migration background,No,0.90006,63,63,0.82540,0.97471
1997,46-65 y.,No migration background,Yes,0.10204,321,2898,0.09101,0.11306
1997,46-65 y.,No migration background,No,0.89796,2577,2898,0.88694,0.90899
1997,46-65 y.,Direct migration background,Yes,0.13834,147,938,0.11623,0.16044
1997,46-65 y.,Direct migration background,No,0.86096,791,938,0.83881,0.88312
1997,66 and older,No migration background,No,0.99815,1340,1340,0.99585,1.00045
1998,17-29 y.,No migration background,Yes,0.06843,166,2230,0.05795,0.07891
1998,17-29 y.,No migration background,No,0.92635,2064,2230,0.91551,0.93720
1998,17-29 y.,Direct migration background,Yes,0.07385,37,434,0.04921,0.09848
1998,17-29 y.,Direct migration background,No,0.92234,397,434,0.89713,0.94755
1998,17-29 y.,Indirect migration background,Yes,0.10191,49,481,0.07484,0.12897
1998,17-29 y.,Indirect migration background,No,0.89152,432,481,0.86369,0.91934
1998,30-45 y.,No migration background,Yes,0.07389,311,3912,0.06569,0.08209
1998,30-45 y.,No migration background,No,0.91649,3601,3912,0.90782,0.92516
1998,30-45 y.,Direct migration background,Yes,0.08503,73,774,0.06536,0.10469
1998,30-45 y.,Direct migration background,No,0.90431,701,774,0.88357,0.92505
1998,30-45 y.,Indirect migration background,No,0.94409,81,81,0.89374,0.99444
1998,46-65 y.,No migration background,Yes,0.09029,354,3409,0.08067,0.09991
1998,46-65 y.,No migration background,No,0.89903,3055,3409,0.88891,0.90914
1998,46-65 y.,Direct migration background,Yes,0.14856,141,912,0.12546,0.17165
1998,46-65 y.,Direct migration background,No,0.83101,771,912,0.80667,0.85534
1998,66 and older,No migration background,No,0.99546,1595,1595,0.99216,0.99876
1998,66 and older,Direct migration background,No,0.98348,245,245,0.96748,0.99947
1999,17-29 y.,No migration background,Yes,0.06844,146,2115,0.05767,0.07920
1999,17-29 y.,No migration background,No,0.92644,1969,2115,0.91531,0.93756
1999,17-29 y.,Direct migration background,Yes,0.08795,33,365,0.05885,0.11704
1999,17-29 y.,Direct migration background,No,0.90127,332,365,0.87063,0.93192
1999,17-29 y.,Indirect migration background,Yes,0.06596,33,480,0.04373,0.08819
1999,17-29 y.,Indirect migration background,No,0.93296,447,480,0.91056,0.95535
1999,30-45 y.,No migration background,Yes,0.06306,253,3854,0.05538,0.07073
1999,30-45 y.,No migration background,No,0.93259,3601,3854,0.92468,0.94051
1999,30-45 y.,Direct migration background,Yes,0.07354,56,739,0.05471,0.09237
1999,30-45 y.,Direct migration background,No,0.92497,683,739,0.90597,0.94398
1999,30-45 y.,Indirect migration background,No,0.98181,95,95,0.95479,1.00883
1999,46-65 y.,No migration background,Yes,0.07853,303,3303,0.06935,0.08770
1999,46-65 y.,No migration background,No,0.91789,3000,3303,0.90853,0.92726
1999,46-65 y.,Direct migration background,Yes,0.13510,123,843,0.11201,0.15819
1999,46-65 y.,Direct migration background,No,0.86121,720,843,0.83786,0.88456
2000,17-29 y.,No migration background,Yes,0.05429,190,3374,0.04665,0.06194
2000,17-29 y.,No migration background,No,0.94342,3184,3374,0.93562,0.95122
2000,17-29 y.,Direct migration background,Yes,0.05686,34,591,0.03818,0.07555
2000,17-29 y.,Direct migration background,No,0.94314,557,591,0.92445,0.96182
2000,17-29 y.,Indirect migration background,Yes,0.05677,33,612,0.03842,0.07512
2000,17-29 y.,Indirect migration background,No,0.94323,579,612,0.92488,0.96158
2000,30-45 y.,No migration background,Yes,0.05968,453,6830,0.05406,0.06530
2000,30-45 y.,No migration background,No,0.94032,6377,6830,0.93470,0.94594
2000,30-45 y.,Direct migration background,Yes,0.07247,97,1177,0.05765,0.08729
2000,30-45 y.,Direct migration background,No,0.92753,1080,1177,0.91271,0.94235
2000,30-45 y.,Indirect migration background,No,0.97341,152,152,0.94775,0.99907
2000,46-65 y.,No migration background,Yes,0.07188,537,6556,0.06563,0.07814
2000,46-65 y.,No migration background,No,0.92812,6019,6556,0.92186,0.93437
2000,46-65 y.,Direct migration background,Yes,0.10883,148,1182,0.09107,0.12659
2000,46-65 y.,Direct migration background,No,0.89117,1034,1182,0.87341,0.90893
2000,66 and older,No migration background,No,0.99965,3224,3224,0.99901,1.00030
2001,17-29 y.,No migration background,Yes,0.06120,188,3055,0.05270,0.06970
2001,17-29 y.,No migration background,No,0.93880,2867,3055,0.93030,0.94730
2001,17-29 y.,Direct migration background,No,0.94231,472,472,0.92125,0.96337
2001,17-29 y.,Indirect migration background,Yes,0.06946,44,547,0.04814,0.09079
2001,17-29 y.,Indirect migration background,No,0.93054,503,547,0.90921,0.95186
2001,30-45 y.,No migration background,Yes,0.06327,417,6120,0.05717,0.06937
2001,30-45 y.,No migration background,No,0.93673,5703,6120,0.93063,0.94283
2001,30-45 y.,Direct migration background,Yes,0.08821,84,1040,0.07096,0.10545
2001,30-45 y.,Direct migration background,No,0.91179,956,1040,0.89455,0.92904
2001,30-45 y.,Indirect migration background,No,0.98119,163,163,0.96027,1.00211
2001,46-65 y.,No migration background,Yes,0.07687,497,6019,0.07014,0.08360
2001,46-65 y.,No migration background,No,0.92313,5522,6019,0.91640,0.92986
2001,46-65 y.,Direct migration background,Yes,0.13267,132,1044,0.11208,0.15325
2001,46-65 y.,Direct migration background,No,0.86733,912,1044,0.84675,0.88792
2001,66 and older,No migration background,No,0.99795,3042,3042,0.99634,0.99956
2002,17-29 y.,No migration background,Yes,0.07825,207,3177,0.06891,0.08760
2002,17-29 y.,No migration background,No,0.92157,2970,3177,0.91222,0.93092
2002,17-29 y.,Direct migration background,No,0.92903,412,412,0.90420,0.95385
2002,17-29 y.,Indirect migration background,Yes,0.07401,37,523,0.05155,0.09647
2002,17-29 y.,Indirect migration background,No,0.92599,486,523,0.90353,0.94845
2002,30-45 y.,No migration background,Yes,0.07289,426,6282,0.06646,0.07932
2002,30-45 y.,No migration background,No,0.92711,5856,6282,0.92068,0.93354
2002,30-45 y.,Direct migration background,Yes,0.09726,84,970,0.07860,0.11591
2002,30-45 y.,Direct migration background,No,0.90274,886,970,0.88409,0.92140
2002,30-45 y.,Indirect migration background,No,0.94116,179,179,0.90659,0.97573
2002,46-65 y.,No migration background,Yes,0.08508,509,6774,0.07843,0.09172
2002,46-65 y.,No migration background,No,0.91492,6265,6774,0.90828,0.92157
2002,46-65 y.,Direct migration background,Yes,0.12515,116,1038,0.10501,0.14528
2002,46-65 y.,Direct migration background,No,0.87485,922,1038,0.85472,0.89499
2002,46-65 y.,Indirect migration background,No,0.90014,39,39,0.80482,0.99547
2002,66 and older,No migration background,No,0.99919,3226,3226,0.99821,1.00017
2002,66 and older,Direct migration background,No,0.99716,347,347,0.99156,1.00277
2003,17-29 y.,No migration background,Yes,0.08745,242,3123,0.07754,0.09736
2003,17-29 y.,No migration background,No,0.91255,2881,3123,0.90264,0.92246
2003,17-29 y.,Direct migration background,No,0.92303,357,357,0.89534,0.95072
2003,17-29 y.,Indirect migration background,Yes,0.09491,42,504,0.06930,0.12053
2003,17-29 y.,Indirect migration background,No,0.90509,462,504,0.87947,0.93070
2003,30-45 y.,No migration background,Yes,0.09059,489,5828,0.08322,0.09796
2003,30-45 y.,No migration background,No,0.90915,5339,5828,0.90177,0.91653
2003,30-45 y.,Direct migration background,Yes,0.10819,88,895,0.08782,0.12855
2003,30-45 y.,Direct migration background,No,0.89181,807,895,0.87145,0.91218
2003,30-45 y.,Indirect migration background,No,0.93392,198,198,0.89923,0.96861
2003,46-65 y.,No migration background,Yes,0.08611,505,6540,0.07931,0.09291
2003,46-65 y.,No migration background,No,0.91389,6035,6540,0.90709,0.92069
2003,46-65 y.,Direct migration background,Yes,0.13538,118,987,0.11403,0.15674
2003,46-65 y.,Direct migration background,No,0.86462,869,987,0.84326,0.88597
2003,46-65 y.,Indirect migration background,No,0.86218,40,40,0.75399,0.97037
2003,66 and older,No migration background,No,0.99756,3271,3271,0.99587,0.99925
2003,66 and older,Direct migration background,No,0.99853,356,356,0.99455,1.00252
2004,17-29 y.,No migration background,Yes,0.09399,237,3071,0.08367,0.10431
2004,17-29 y.,No migration background,No,0.90601,2834,3071,0.89569,0.91633
2004,17-29 y.,Direct migration background,No,0.91986,351,351,0.89141,0.94830
2004,17-29 y.,Indirect migration background,Yes,0.11258,50,515,0.08526,0.13991
2004,17-29 y.,Indirect migration background,No,0.88742,465,515,0.86009,0.91474
2004,30-45 y.,No migration background,Yes,0.09738,463,5459,0.08951,0.10524
2004,30-45 y.,No migration background,No,0.90262,4996,5459,0.89476,0.91049
2004,30-45 y.,Direct migration background,Yes,0.11087,90,849,0.08974,0.13200
2004,30-45 y.,Direct migration background,No,0.88913,759,849,0.86800,0.91026
2004,30-45 y.,Indirect migration background,No,0.93798,208,208,0.90512,0.97083
2004,46-65 y.,No migration background,Yes,0.09317,521,6364,0.08603,0.10032
2004,46-65 y.,No migration background,No,0.90683,5843,6364,0.89968,0.91397
2004,46-65 y.,Direct migration background,Yes,0.17003,139,953,0.14616,0.19389
2004,46-65 y.,Direct migration background,No,0.82997,814,953,0.80611,0.85384
2004,46-65 y.,Indirect migration background,No,0.85238,44,44,0.74636,0.95841
2005,17-29 y.,No migration background,Yes,0.10259,254,2992,0.09171,0.11346
2005,17-29 y.,No migration background,No,0.89623,2738,2992,0.88530,0.90716
2005,17-29 y.,Direct migration background,Yes,0.14424,34,315,0.10538,0.18311
2005,17-29 y.,Direct migration background,No,0.85237,281,315,0.81313,0.89160
2005,17-29 y.,Indirect migration background,Yes,0.13579,62,520,0.10632,0.16526
2005,17-29 y.,Indirect migration background,No,0.86421,458,520,0.83474,0.89368
2005,30-45 y.,No migration background,Yes,0.09374,423,5049,0.08570,0.10178
2005,30-45 y.,No migration background,No,0.90626,4626,5049,0.89822,0.91430
2005,30-45 y.,Direct migration background,Yes,0.13504,96,797,0.11130,0.15878
2005,30-45 y.,Direct migration background,No,0.86496,701,797,0.84122,0.88870
2005,30-45 y.,Indirect migration background,No,0.94612,225,225,0.91655,0.97569
2005,46-65 y.,No migration background,Yes,0.09077,482,6078,0.08355,0.09800
2005,46-65 y.,No migration background,No,0.90923,5596,6078,0.90200,0.91645
2005,46-65 y.,Direct migration background,Yes,0.14411,116,890,0.12103,0.16720
2005,46-65 y.,Direct migration background,No,0.85589,774,890,0.83280,0.87897
2005,46-65 y.,Indirect migration background,No,0.89431,45,45,0.80347,0.98515
2006,17-29 y.,No migration background,Yes,0.10564,292,2886,0.09443,0.11686
2006,17-29 y.,No migration background,No,0.82947,2594,2886,0.81575,0.84319
2006,17-29 y.,Direct migration background,Yes,0.14491,40,322,0.10640,0.18342
2006,17-29 y.,Direct migration background,No,0.82986,282,322,0.78875,0.87097
2006,17-29 y.,Indirect migration background,Yes,0.12535,58,472,0.09544,0.15525
2006,17-29 y.,Indirect migration background,No,0.80981,414,472,0.77437,0.84526
2006,30-45 y.,No migration background,Yes,0.09062,427,5219,0.08283,0.09841
2006,30-45 y.,No migration background,No,0.90938,4792,5219,0.90159,0.91717
2006,30-45 y.,Direct migration background,Yes,0.14443,103,785,0.11983,0.16904
2006,30-45 y.,Direct migration background,No,0.85557,682,785,0.83096,0.88017
2006,30-45 y.,Indirect migration background,No,0.90944,247,247,0.87358,0.94530
2006,46-65 y.,No migration background,Yes,0.10218,571,6645,0.09490,0.10946
2006,46-65 y.,No migration background,No,0.89782,6074,6645,0.89054,0.90510
2006,46-65 y.,Direct migration background,Yes,0.14127,112,881,0.11825,0.16428
2006,46-65 y.,Direct migration background,No,0.85873,769,881,0.83572,0.88175
2006,46-65 y.,Indirect migration background,No,0.90456,47,47,0.81964,0.98947
2006,66 and older,No migration background,No,0.99978,4026,4026,0.99933,1.00024
2006,66 and older,Direct migration background,No,0.99852,388,388,0.99469,1.00235
2007,17-29 y.,No migration background,Yes,0.09372,241,2686,0.08270,0.10474
2007,17-29 y.,No migration background,No,0.82211,2445,2686,0.80764,0.83657
2007,17-29 y.,Direct migration background,Yes,0.15027,32,268,0.10740,0.19313
2007,17-29 y.,Direct migration background,No,0.79011,236,268,0.74126,0.83896
2007,17-29 y.,Indirect migration background,Yes,0.12164,40,444,0.09121,0.15208
2007,17-29 y.,Indirect migration background,No,0.79554,404,444,0.75798,0.83309
2007,30-45 y.,No migration background,Yes,0.08659,358,4752,0.07860,0.09459
2007,30-45 y.,No migration background,No,0.91341,4394,4752,0.90541,0.92140
2007,30-45 y.,Direct migration background,Yes,0.11469,72,687,0.09084,0.13853
2007,30-45 y.,Direct migration background,No,0.88531,615,687,0.86147,0.90916
2007,30-45 y.,Indirect migration background,No,0.89584,246,246,0.85759,0.93409
2007,46-65 y.,No migration background,Yes,0.09103,495,6220,0.08388,0.09818
2007,46-65 y.,No migration background,No,0.90897,5725,6220,0.90182,0.91612
2007,46-65 y.,Direct migration background,Yes,0.14127,101,789,0.11695,0.16559
2007,46-65 y.,Direct migration background,No,0.85873,688,789,0.83441,0.88305
