year,regtyp,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,Rural regions,No,0.78561,7522,8346,0.77680,0.79442
2011,Urban regions,Yes,0.04572,1187,18162,0.04268,0.04876
2011,Urban regions,No,0.79100,16975,18162,0.78508,0.79691
2011,Rural regions,Yes,0.05706,911,10207,0.05256,0.06156
2011,Rural regions,No,0.78534,9296,10207,0.77738,0.79331
2012,Urban regions,Yes,0.04494,1113,17496,0.04187,0.04801
2012,Urban regions,No,0.79218,16383,17496,0.78616,0.79819
2012,Rural regions,Yes,0.06129,854,10139,0.05662,0.06596
2012,Rural regions,No,0.78538,9285,10139,0.77739,0.79337
2013,Urban regions,Yes,0.04668,1575,20135,0.04377,0.04960
2013,Urban regions,No,0.79203,18560,20135,0.78642,0.79764
2013,Rural regions,Yes,0.06422,948,10488,0.05953,0.06891
2013,Rural regions,No,0.78407,9540,10488,0.77619,0.79194
2014,Urban regions,Yes,0.04678,1231,17624,0.04366,0.04990
2014,Urban regions,No,0.79109,16393,17624,0.78509,0.79710
2014,Rural regions,Yes,0.05884,754,9452,0.05410,0.06359
2014,Rural regions,No,0.79416,8698,9452,0.78601,0.80231
2015,Urban regions,Yes,0.04962,1306,17463,0.04640,0.05284
2015,Urban regions,No,0.79242,16157,17463,0.78641,0.79844
2015,Rural regions,Yes,0.05394,722,9314,0.04935,0.05853
2015,Rural regions,No,0.79499,8592,9314,0.78680,0.80319
2016,Urban regions,Yes,0.04655,1053,15751,0.04326,0.04984
2016,Urban regions,No,0.78844,14698,15751,0.78206,0.79482
2016,Rural regions,Yes,0.05264,624,8531,0.04790,0.05738
2016,Rural regions,No,0.78975,7907,8531,0.78110,0.79839
2017,Urban regions,Yes,0.04582,1805,18645,0.04282,0.04883
2017,Urban regions,No,0.78936,16840,18645,0.78351,0.79522
2017,Rural regions,Yes,0.04834,816,9996,0.04414,0.05255
2017,Rural regions,No,0.79323,9180,9996,0.78529,0.80117
2018,Urban regions,Yes,0.04498,2042,18982,0.04203,0.04793
2018,Urban regions,No,0.79708,16940,18982,0.79136,0.80280
2018,Rural regions,Yes,0.04672,929,9822,0.04255,0.05090
2018,Rural regions,No,0.79739,8893,9822,0.78944,0.80534
2019,Urban regions,Yes,0.03996,1732,18615,0.03715,0.04278
2019,Urban regions,No,0.79642,16883,18615,0.79063,0.80220
2019,Rural regions,Yes,0.04413,838,9626,0.04003,0.04824
2019,Rural regions,No,0.79535,8788,9626,0.78729,0.80341
2020,Urban regions,Yes,0.03963,1542,19031,0.03686,0.04241
2020,Urban regions,No,0.79416,17489,19031,0.78841,0.79990
2020,Rural regions,Yes,0.04270,709,9379,0.03861,0.04679
2020,Rural regions,No,0.78930,8670,9379,0.78105,0.79756
2021,Urban regions,Yes,0.04062,962,13032,0.03723,0.04401
2021,Urban regions,No,0.78449,12070,13032,0.77743,0.79155
2021,Rural regions,Yes,0.03672,363,6204,0.03204,0.04140
2021,Rural regions,No,0.79609,5841,6204,0.78606,0.80611
