year,age_gr,regtyp,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,46-65 y.,Rural regions,Yes,0.08163,138,1314,0.06682,0.09644
1992,46-65 y.,Rural regions,No,0.88525,1176,1314,0.86801,0.90249
1992,66 and older,Urban regions,No,0.93838,872,872,0.92241,0.95435
1992,66 and older,Rural regions,No,0.95344,489,489,0.93475,0.97213
1993,17-29 y.,Urban regions,Yes,0.05461,142,2264,0.04525,0.06397
1993,17-29 y.,Urban regions,No,0.93151,2122,2264,0.92110,0.94191
1993,17-29 y.,Rural regions,Yes,0.11535,132,1158,0.09695,0.13376
1993,17-29 y.,Rural regions,No,0.88037,1026,1158,0.86167,0.89907
1993,30-45 y.,Urban regions,Yes,0.05150,156,2676,0.04312,0.05988
1993,30-45 y.,Urban regions,No,0.93909,2520,2676,0.93002,0.94815
1993,30-45 y.,Rural regions,Yes,0.09191,173,1473,0.07715,0.10667
1993,30-45 y.,Rural regions,No,0.90236,1300,1473,0.88720,0.91752
1993,46-65 y.,Urban regions,Yes,0.06970,208,2578,0.05987,0.07954
1993,46-65 y.,Urban regions,No,0.91875,2370,2578,0.90821,0.92930
1993,46-65 y.,Rural regions,Yes,0.10997,170,1322,0.09310,0.12684
1993,46-65 y.,Rural regions,No,0.88228,1152,1322,0.86490,0.89966
1993,66 and older,Urban regions,No,0.97879,924,924,0.96949,0.98808
1993,66 and older,Rural regions,No,0.97536,519,519,0.96201,0.98871
1994,17-29 y.,Urban regions,Yes,0.06430,159,2211,0.05408,0.07453
1994,17-29 y.,Urban regions,No,0.92398,2052,2211,0.91293,0.93503
1994,17-29 y.,Rural regions,Yes,0.12316,131,1103,0.10375,0.14256
1994,17-29 y.,Rural regions,No,0.87200,972,1103,0.85227,0.89173
1994,30-45 y.,Urban regions,Yes,0.06064,196,2675,0.05159,0.06968
1994,30-45 y.,Urban regions,No,0.93457,2479,2675,0.92520,0.94394
1994,30-45 y.,Rural regions,Yes,0.10355,188,1452,0.08788,0.11923
1994,30-45 y.,Rural regions,No,0.89397,1264,1452,0.87813,0.90981
1994,46-65 y.,Urban regions,Yes,0.07774,232,2540,0.06732,0.08815
1994,46-65 y.,Urban regions,No,0.91313,2308,2540,0.90217,0.92408
1994,46-65 y.,Rural regions,Yes,0.13691,190,1318,0.11834,0.15547
1994,46-65 y.,Rural regions,No,0.85681,1128,1318,0.83789,0.87572
1994,66 and older,Urban regions,No,0.98580,959,959,0.97830,0.99329
1994,66 and older,Rural regions,No,0.97820,507,507,0.96547,0.99092
1995,17-29 y.,Urban regions,Yes,0.06779,152,2200,0.05728,0.07829
1995,17-29 y.,Urban regions,No,0.92004,2048,2200,0.90870,0.93137
1995,17-29 y.,Rural regions,Yes,0.08805,103,1113,0.07139,0.10470
1995,17-29 y.,Rural regions,No,0.89986,1010,1113,0.88222,0.91751
1995,30-45 y.,Urban regions,Yes,0.06478,213,2865,0.05577,0.07380
1995,30-45 y.,Urban regions,No,0.92774,2652,2865,0.91826,0.93722
1995,30-45 y.,Rural regions,Yes,0.09077,160,1552,0.07647,0.10506
1995,30-45 y.,Rural regions,No,0.90383,1392,1552,0.88916,0.91850
1995,46-65 y.,Urban regions,Yes,0.08498,251,2568,0.07419,0.09576
1995,46-65 y.,Urban regions,No,0.90341,2317,2568,0.89198,0.91484
1995,46-65 y.,Rural regions,Yes,0.13161,185,1349,0.11356,0.14965
1995,46-65 y.,Rural regions,No,0.85241,1164,1349,0.83347,0.87134
1995,66 and older,Urban regions,No,0.96816,976,976,0.95714,0.97918
1995,66 and older,Rural regions,No,0.96565,499,499,0.94966,0.98165
1996,17-29 y.,Urban regions,Yes,0.06933,145,2020,0.05825,0.08041
1996,17-29 y.,Urban regions,No,0.90274,1875,2020,0.88981,0.91567
1996,17-29 y.,Rural regions,Yes,0.10030,110,1067,0.08227,0.11834
1996,17-29 y.,Rural regions,No,0.87921,957,1067,0.85965,0.89878
1996,30-45 y.,Urban regions,Yes,0.05530,174,2846,0.04690,0.06369
1996,30-45 y.,Urban regions,No,0.92595,2672,2846,0.91633,0.93557
1996,30-45 y.,Rural regions,Yes,0.09745,173,1507,0.08247,0.11243
1996,30-45 y.,Rural regions,No,0.88991,1334,1507,0.87411,0.90572
1996,46-65 y.,Urban regions,Yes,0.10112,272,2468,0.08923,0.11302
1996,46-65 y.,Urban regions,No,0.87503,2196,2468,0.86199,0.88808
1996,46-65 y.,Rural regions,Yes,0.10820,174,1342,0.09158,0.12483
1996,46-65 y.,Rural regions,No,0.86126,1168,1342,0.84276,0.87976
1996,66 and older,Urban regions,No,0.96128,993,993,0.94928,0.97329
1996,66 and older,Rural regions,No,0.98046,504,504,0.96837,0.99256
1997,17-29 y.,Urban regions,Yes,0.08129,160,1972,0.06922,0.09335
1997,17-29 y.,Urban regions,No,0.91766,1812,1972,0.90552,0.92980
1997,17-29 y.,Rural regions,Yes,0.08790,91,1055,0.07081,0.10500
1997,17-29 y.,Rural regions,No,0.91100,964,1055,0.89381,0.92819
1997,30-45 y.,Urban regions,Yes,0.06430,198,2874,0.05534,0.07327
1997,30-45 y.,Urban regions,No,0.93570,2676,2874,0.92673,0.94466
1997,30-45 y.,Rural regions,Yes,0.11039,164,1492,0.09448,0.12629
1997,30-45 y.,Rural regions,No,0.88961,1328,1492,0.87371,0.90552
1997,46-65 y.,Urban regions,Yes,0.09935,284,2471,0.08756,0.11115
1997,46-65 y.,Urban regions,No,0.90048,2187,2471,0.88867,0.91228
1997,46-65 y.,Rural regions,Yes,0.12547,185,1380,0.10798,0.14295
1997,46-65 y.,Rural regions,No,0.87453,1195,1380,0.85705,0.89202
1997,66 and older,Urban regions,No,0.99763,1049,1049,0.99469,1.00058
1998,17-29 y.,Urban regions,Yes,0.06653,148,2044,0.05572,0.07733
1998,17-29 y.,Urban regions,No,0.92804,1896,2044,0.91683,0.93924
1998,17-29 y.,Rural regions,Yes,0.08693,104,1101,0.07028,0.10357
1998,17-29 y.,Rural regions,No,0.90841,997,1101,0.89136,0.92545
1998,30-45 y.,Urban regions,Yes,0.05812,188,3142,0.04994,0.06631
1998,30-45 y.,Urban regions,No,0.93250,2954,3142,0.92373,0.94128
1998,30-45 y.,Rural regions,Yes,0.11383,203,1632,0.09841,0.12924
1998,30-45 y.,Rural regions,No,0.87569,1429,1632,0.85968,0.89171
1998,46-65 y.,Urban regions,Yes,0.08723,278,2776,0.07673,0.09773
1998,46-65 y.,Urban regions,No,0.90161,2498,2776,0.89053,0.91270
1998,46-65 y.,Rural regions,Yes,0.12493,219,1563,0.10853,0.14132
1998,46-65 y.,Rural regions,No,0.86066,1344,1563,0.84349,0.87784
1998,66 and older,Urban regions,No,0.99349,1230,1230,0.98900,0.99799
1998,66 and older,Rural regions,No,0.99585,615,615,0.99077,1.00094
1999,17-29 y.,Urban regions,Yes,0.07084,134,1918,0.05936,0.08233
1999,17-29 y.,Urban regions,No,0.92410,1784,1918,0.91225,0.93596
1999,17-29 y.,Rural regions,Yes,0.06947,78,1042,0.05403,0.08492
1999,17-29 y.,Rural regions,No,0.92471,964,1042,0.90868,0.94074
1999,30-45 y.,Urban regions,Yes,0.05278,160,3085,0.04489,0.06067
1999,30-45 y.,Urban regions,No,0.94455,2925,3085,0.93648,0.95263
1999,30-45 y.,Rural regions,Yes,0.08888,153,1607,0.07496,0.10279
1999,30-45 y.,Rural regions,No,0.90436,1454,1607,0.88998,0.91875
1999,46-65 y.,Urban regions,Yes,0.07991,252,2668,0.06962,0.09020
1999,46-65 y.,Urban regions,No,0.91734,2416,2668,0.90689,0.92779
1999,46-65 y.,Rural regions,Yes,0.10375,175,1496,0.08829,0.11921
1999,46-65 y.,Rural regions,No,0.89086,1321,1496,0.87505,0.90666
2000,17-29 y.,Urban regions,Yes,0.05129,150,2908,0.04327,0.05931
2000,17-29 y.,Urban regions,No,0.94768,2758,2908,0.93959,0.95578
2000,17-29 y.,Rural regions,Yes,0.06217,107,1669,0.05059,0.07376
2000,17-29 y.,Rural regions,No,0.93477,1562,1669,0.92292,0.94662
2000,30-45 y.,Urban regions,Yes,0.04716,280,5381,0.04150,0.05282
2000,30-45 y.,Urban regions,No,0.95284,5101,5381,0.94718,0.95850
2000,30-45 y.,Rural regions,Yes,0.09153,278,2786,0.08082,0.10224
2000,30-45 y.,Rural regions,No,0.90847,2508,2786,0.89776,0.91918
2000,46-65 y.,Urban regions,Yes,0.06703,396,5084,0.06015,0.07390
2000,46-65 y.,Urban regions,No,0.93297,4688,5084,0.92610,0.93985
2000,46-65 y.,Rural regions,Yes,0.09809,289,2682,0.08683,0.10935
2000,46-65 y.,Rural regions,No,0.90191,2393,2682,0.89065,0.91317
2000,66 and older,Rural regions,No,0.99904,1258,1258,0.99732,1.00075
2001,17-29 y.,Urban regions,Yes,0.05384,142,2617,0.04519,0.06249
2001,17-29 y.,Urban regions,No,0.94616,2475,2617,0.93751,0.95481
2001,17-29 y.,Rural regions,Yes,0.07739,115,1482,0.06378,0.09100
2001,17-29 y.,Rural regions,No,0.92261,1367,1482,0.90900,0.93622
2001,30-45 y.,Urban regions,Yes,0.05113,250,4849,0.04493,0.05733
2001,30-45 y.,Urban regions,No,0.94887,4599,4849,0.94267,0.95507
2001,30-45 y.,Rural regions,Yes,0.09870,257,2480,0.08696,0.11044
2001,30-45 y.,Rural regions,No,0.90130,2223,2480,0.88956,0.91304
2001,46-65 y.,Urban regions,Yes,0.07312,341,4628,0.06562,0.08062
2001,46-65 y.,Urban regions,No,0.92688,4287,4628,0.91938,0.93438
2001,46-65 y.,Rural regions,Yes,0.10990,292,2466,0.09755,0.12225
2001,46-65 y.,Rural regions,No,0.89010,2174,2466,0.87775,0.90245
2001,66 and older,Urban regions,No,0.99814,2205,2205,0.99634,0.99994
2001,66 and older,Rural regions,No,0.99814,1189,1189,0.99568,1.00059
2002,17-29 y.,Urban regions,Yes,0.06749,152,2662,0.05796,0.07703
2002,17-29 y.,Urban regions,No,0.93231,2510,2662,0.92276,0.94185
2002,17-29 y.,Rural regions,Yes,0.09490,121,1479,0.07996,0.10984
2002,17-29 y.,Rural regions,No,0.90510,1358,1479,0.89016,0.92004
2002,30-45 y.,Urban regions,Yes,0.06353,270,5005,0.05677,0.07029
2002,30-45 y.,Urban regions,No,0.93647,4735,5005,0.92971,0.94323
2002,30-45 y.,Rural regions,Yes,0.10264,249,2435,0.09058,0.11470
2002,30-45 y.,Rural regions,No,0.89736,2186,2435,0.88530,0.90942
2002,46-65 y.,Urban regions,Yes,0.07885,349,5248,0.07156,0.08614
2002,46-65 y.,Urban regions,No,0.92115,4899,5248,0.91386,0.92844
2002,46-65 y.,Rural regions,Yes,0.11642,279,2606,0.10411,0.12874
2002,46-65 y.,Rural regions,No,0.88358,2327,2606,0.87126,0.89589
2002,66 and older,Urban regions,No,0.99923,2356,2356,0.99811,1.00035
2002,66 and older,Rural regions,No,0.99854,1232,1232,0.99641,1.00067
2003,17-29 y.,Urban regions,Yes,0.07912,178,2615,0.06877,0.08946
2003,17-29 y.,Urban regions,No,0.92005,2437,2615,0.90966,0.93045
2003,17-29 y.,Rural regions,Yes,0.10192,128,1391,0.08602,0.11783
2003,17-29 y.,Rural regions,No,0.89808,1263,1391,0.88217,0.91398
2003,30-45 y.,Urban regions,Yes,0.07764,329,4670,0.06997,0.08532
2003,30-45 y.,Urban regions,No,0.92204,4341,4670,0.91435,0.92973
2003,30-45 y.,Rural regions,Yes,0.12498,264,2267,0.11137,0.13860
2003,30-45 y.,Rural regions,No,0.87502,2003,2267,0.86140,0.88863
2003,46-65 y.,Urban regions,Yes,0.08030,352,5048,0.07280,0.08780
2003,46-65 y.,Urban regions,No,0.91970,4696,5048,0.91220,0.92720
2003,46-65 y.,Rural regions,Yes,0.12118,275,2523,0.10845,0.13392
2003,46-65 y.,Rural regions,No,0.87882,2248,2523,0.86608,0.89155
2003,66 and older,Urban regions,No,0.99737,2393,2393,0.99531,0.99942
2003,66 and older,Rural regions,No,0.99828,1247,1247,0.99598,1.00058
2004,17-29 y.,Urban regions,Yes,0.07878,180,2582,0.06839,0.08917
2004,17-29 y.,Urban regions,No,0.91905,2402,2582,0.90852,0.92957
2004,17-29 y.,Rural regions,Yes,0.12284,128,1376,0.10549,0.14019
2004,17-29 y.,Rural regions,No,0.87716,1248,1376,0.85981,0.89451
2004,30-45 y.,Urban regions,Yes,0.08591,322,4433,0.07766,0.09416
2004,30-45 y.,Urban regions,No,0.91409,4111,4433,0.90584,0.92234
2004,30-45 y.,Rural regions,Yes,0.12755,245,2097,0.11326,0.14183
2004,30-45 y.,Rural regions,No,0.87245,1852,2097,0.85817,0.88674
2004,46-65 y.,Urban regions,Yes,0.09217,376,4872,0.08404,0.10029
2004,46-65 y.,Urban regions,No,0.90783,4496,4872,0.89971,0.91596
2004,46-65 y.,Rural regions,Yes,0.13119,288,2493,0.11793,0.14444
2004,46-65 y.,Rural regions,No,0.86881,2205,2493,0.85556,0.88207
2005,17-29 y.,Urban regions,Yes,0.10002,198,2520,0.08830,0.11173
2005,17-29 y.,Urban regions,No,0.89942,2322,2520,0.88768,0.91117
2005,17-29 y.,Rural regions,Yes,0.13710,152,1307,0.11844,0.15575
2005,17-29 y.,Rural regions,No,0.86018,1155,1307,0.84137,0.87899
2005,30-45 y.,Urban regions,Yes,0.08727,307,4137,0.07867,0.09587
2005,30-45 y.,Urban regions,No,0.91273,3830,4137,0.90413,0.92133
2005,30-45 y.,Rural regions,Yes,0.12463,230,1952,0.10997,0.13928
2005,30-45 y.,Rural regions,No,0.87537,1722,1952,0.86072,0.89003
2005,46-65 y.,Urban regions,Yes,0.09284,348,4613,0.08447,0.10122
2005,46-65 y.,Urban regions,No,0.90716,4265,4613,0.89878,0.91553
2005,46-65 y.,Rural regions,Yes,0.11124,253,2403,0.09867,0.12382
2005,46-65 y.,Rural regions,No,0.88876,2150,2403,0.87618,0.90133
2006,17-29 y.,Urban regions,Yes,0.10936,231,2400,0.09687,0.12185
2006,17-29 y.,Urban regions,No,0.83550,2169,2400,0.82066,0.85033
2006,17-29 y.,Rural regions,Yes,0.12061,159,1280,0.10276,0.13846
2006,17-29 y.,Rural regions,No,0.80859,1121,1280,0.78703,0.83015
2006,30-45 y.,Urban regions,Yes,0.08934,318,4223,0.08074,0.09794
2006,30-45 y.,Urban regions,No,0.91066,3905,4223,0.90206,0.91926
2006,30-45 y.,Rural regions,Yes,0.11936,242,2058,0.10535,0.13337
2006,30-45 y.,Rural regions,No,0.88064,1816,2058,0.86663,0.89465
2006,46-65 y.,Urban regions,Yes,0.09732,389,4939,0.08906,0.10559
2006,46-65 y.,Urban regions,No,0.90268,4550,4939,0.89441,0.91094
2006,46-65 y.,Rural regions,Yes,0.12938,298,2638,0.11657,0.14219
2006,46-65 y.,Rural regions,No,0.87062,2340,2638,0.85781,0.88343
2006,66 and older,Urban regions,No,0.99979,2876,2876,0.99927,1.00032
2006,66 and older,Rural regions,No,0.99941,1551,1551,0.99819,1.00062
2007,17-29 y.,Urban regions,Yes,0.10218,191,2220,0.08958,0.11478
2007,17-29 y.,Urban regions,No,0.81813,2029,2220,0.80209,0.83418
2007,17-29 y.,Rural regions,Yes,0.10694,122,1178,0.08928,0.12459
2007,17-29 y.,Rural regions,No,0.80809,1056,1178,0.78559,0.83059
2007,30-45 y.,Urban regions,Yes,0.08594,271,3821,0.07705,0.09483
2007,30-45 y.,Urban regions,No,0.91406,3550,3821,0.90517,0.92295
2007,30-45 y.,Rural regions,Yes,0.10413,184,1889,0.09035,0.11791
2007,30-45 y.,Rural regions,No,0.89587,1705,1889,0.88209,0.90965
2007,46-65 y.,Urban regions,Yes,0.09152,326,4571,0.08316,0.09988
2007,46-65 y.,Urban regions,No,0.90848,4245,4571,0.90012,0.91684
2007,46-65 y.,Rural regions,Yes,0.11219,272,2489,0.09979,0.12460
2007,46-65 y.,Rural regions,No,0.88781,2217,2489,0.87540,0.90021
2007,66 and older,Urban regions,No,0.99970,2827,2827,0.99905,1.00034
2008,17-29 y.,Urban regions,Yes,0.07251,149,2088,0.06138,0.08363
2008,17-29 y.,Urban regions,No,0.85515,1939,2088,0.84005,0.87025
2008,17-29 y.,Rural regions,Yes,0.09637,103,1069,0.07867,0.11407
2008,17-29 y.,Rural regions,No,0.83225,966,1069,0.80984,0.85466
2008,30-45 y.,Urban regions,Yes,0.06920,213,3447,0.06073,0.07768
2008,30-45 y.,Urban regions,No,0.93080,3234,3447,0.92232,0.93927
2008,30-45 y.,Rural regions,Yes,0.08311,153,1723,0.07007,0.09614
2008,30-45 y.,Rural regions,No,0.91689,1570,1723,0.90386,0.92993
2008,46-65 y.,Urban regions,Yes,0.08895,276,4329,0.08047,0.09743
2008,46-65 y.,Urban regions,No,0.91105,4053,4329,0.90257,0.91953
2008,46-65 y.,Rural regions,Yes,0.11403,258,2365,0.10122,0.12684
2008,46-65 y.,Rural regions,No,0.88597,2107,2365,0.87316,0.89878
2008,66 and older,Urban regions,No,0.99934,2796,2796,0.99839,1.00029
2008,66 and older,Rural regions,No,0.99937,1495,1495,0.99810,1.00064
2009,17-29 y.,Urban regions,Yes,0.07414,137,1873,0.06227,0.08600
2009,17-29 y.,Urban regions,No,0.85218,1736,1873,0.83611,0.86826
2009,17-29 y.,Rural regions,Yes,0.11898,118,981,0.09871,0.13925
2009,17-29 y.,Rural regions,No,0.83170,863,981,0.80828,0.85513
2009,30-45 y.,Urban regions,Yes,0.06770,192,3074,0.05881,0.07658
2009,30-45 y.,Urban regions,No,0.93230,2882,3074,0.92342,0.94119
2009,30-45 y.,Rural regions,Yes,0.09159,143,1602,0.07746,0.10572
2009,30-45 y.,Rural regions,No,0.90841,1459,1602,0.89428,0.92254
2009,46-65 y.,Urban regions,Yes,0.09279,264,4036,0.08384,0.10174
2009,46-65 y.,Urban regions,No,0.90721,3772,4036,0.89826,0.91616
2009,46-65 y.,Rural regions,Yes,0.10611,215,2289,0.09349,0.11873
2009,46-65 y.,Rural regions,No,0.89389,2074,2289,0.88127,0.90651
2009,66 and older,Urban regions,No,0.99960,2696,2696,0.99885,1.00036
2010,17-29 y.,Urban regions,Yes,0.08659,334,2575,0.07573,0.09746
2010,17-29 y.,Urban regions,No,0.85654,2241,2575,0.84300,0.87008
2010,17-29 y.,Rural regions,Yes,0.09772,204,1344,0.08184,0.11360
2010,17-29 y.,Rural regions,No,0.84450,1140,1344,0.82512,0.86388
2010,30-45 y.,Urban regions,Yes,0.08456,550,5966,0.07749,0.09162
2010,30-45 y.,Urban regions,No,0.91539,5416,5966,0.90833,0.92245
2010,30-45 y.,Rural regions,Yes,0.08528,364,3104,0.07545,0.09510
2010,30-45 y.,Rural regions,No,0.91472,2740,3104,0.90490,0.92455
2010,46-65 y.,Urban regions,Yes,0.09181,353,4461,0.08333,0.10028
2010,46-65 y.,Urban regions,No,0.90819,4108,4461,0.89972,0.91667
2010,46-65 y.,Rural regions,Yes,0.10501,256,2491,0.09297,0.11705
2010,46-65 y.,Rural regions,No,0.89499,2235,2491,0.88295,0.90703
2010,66 and older,Urban regions,No,0.99973,2616,2616,0.99909,1.00036
2011,17-29 y.,Urban regions,Yes,0.06920,263,2689,0.05960,0.07879
2011,17-29 y.,Urban regions,No,0.85821,2426,2689,0.84502,0.87140
2011,17-29 y.,Rural regions,Yes,0.08368,202,1485,0.06959,0.09777
2011,17-29 y.,Rural regions,No,0.84707,1283,1485,0.82876,0.86538
2011,30-45 y.,Urban regions,Yes,0.06737,531,6448,0.06126,0.07349
2011,30-45 y.,Urban regions,No,0.93250,5917,6448,0.92638,0.93863
2011,30-45 y.,Rural regions,Yes,0.08040,373,3481,0.07137,0.08944
2011,30-45 y.,Rural regions,No,0.91960,3108,3481,0.91056,0.92863
2011,46-65 y.,Urban regions,Yes,0.07476,392,5707,0.06793,0.08158
