year,sampreg,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,East,Yes,0.11507,586,5011,0.10624,0.12391
2007,East,No,0.76033,4425,5011,0.74851,0.77215
2008,West,Yes,0.04384,634,14546,0.04052,0.04717
2008,West,No,0.78851,13912,14546,0.78188,0.79515
2008,East,Yes,0.10976,522,4770,0.10089,0.11864
2008,East,No,0.76650,4248,4770,0.75449,0.77851
2009,West,Yes,0.04581,600,13476,0.04228,0.04934
2009,West,No,0.79200,12876,13476,0.78514,0.79885
2009,East,Yes,0.10863,471,4541,0.09958,0.11768
2009,East,No,0.76080,4070,4541,0.74839,0.77321
2010,West,Yes,0.05033,1336,18495,0.04718,0.05349
2010,West,No,0.78754,17159,18495,0.78165,0.79344
2010,East,Yes,0.10090,726,5470,0.09291,0.10888
2010,East,No,0.77631,4744,5470,0.76527,0.78736
2011,West,Yes,0.04001,1307,22058,0.03743,0.04260
2011,West,No,0.79271,20751,22058,0.78736,0.79806
2011,East,Yes,0.09323,791,6311,0.08605,0.10040
2011,East,No,0.77258,5520,6311,0.76224,0.78292
2012,West,Yes,0.04093,1216,21463,0.03828,0.04358
2012,West,No,0.79416,20247,21463,0.78876,0.79957
2012,East,Yes,0.09480,751,6172,0.08750,0.10211
2012,East,No,0.76993,5421,6172,0.75943,0.78043
2013,West,Yes,0.04513,1790,24516,0.04253,0.04773
2013,West,No,0.79142,22726,24516,0.78634,0.79651
2013,East,Yes,0.08668,733,6107,0.07963,0.09374
2013,East,No,0.78006,5374,6107,0.76967,0.79045
2014,West,Yes,0.04251,1371,21495,0.03981,0.04521
2014,West,No,0.79700,20124,21495,0.79162,0.80238
2014,East,Yes,0.08908,614,5581,0.08160,0.09655
2014,East,No,0.76890,4967,5581,0.75784,0.77996
2015,West,Yes,0.04447,1457,21371,0.04170,0.04723
2015,West,No,0.79703,19914,21371,0.79164,0.80242
2015,East,Yes,0.08189,571,5406,0.07458,0.08920
2015,East,No,0.77537,4835,5406,0.76424,0.78649
2016,West,Yes,0.04163,1185,19249,0.03881,0.04445
2016,West,No,0.79363,18064,19249,0.78792,0.79935
2016,East,Yes,0.08102,492,5033,0.07348,0.08856
2016,East,No,0.76623,4541,5033,0.75454,0.77793
2017,West,Yes,0.04194,1991,22678,0.03934,0.04455
2017,West,No,0.79337,20687,22678,0.78810,0.79864
2017,East,Yes,0.06920,630,5963,0.06276,0.07565
2017,East,No,0.77707,5333,5963,0.76650,0.78763
2018,West,Yes,0.04151,2256,22850,0.03893,0.04410
2018,West,No,0.80133,20594,22850,0.79616,0.80651
2018,East,Yes,0.06485,715,5954,0.05859,0.07111
2018,East,No,0.77715,5239,5954,0.76657,0.78772
2019,West,Yes,0.03802,2024,22750,0.03554,0.04051
2019,West,No,0.79761,20726,22750,0.79239,0.80283
2019,East,Yes,0.05863,576,5969,0.05267,0.06459
2019,East,No,0.78816,5393,5969,0.77780,0.79853
2020,West,Yes,0.03694,1713,22698,0.03449,0.03940
2020,West,No,0.79417,20985,22698,0.78891,0.79943
2020,East,Yes,0.05825,538,5712,0.05218,0.06433
2020,East,No,0.78513,5174,5712,0.77448,0.79579
2021,West,Yes,0.03785,1022,15364,0.03483,0.04087
2021,West,No,0.78838,14342,15364,0.78192,0.79484
2021,East,Yes,0.04681,303,3873,0.04016,0.05347
2021,East,No,0.78750,3570,3873,0.77461,0.80038
