year,sex,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,male,No,0.76460,9154,9773,0.75619,0.77301
2007,female,Yes,0.06544,748,10736,0.06076,0.07012
2007,female,No,0.77857,9988,10736,0.77072,0.78642
2008,male,Yes,0.05508,528,9205,0.05042,0.05974
2008,male,No,0.77682,8677,9205,0.76831,0.78533
2008,female,Yes,0.05612,628,10111,0.05164,0.06061
2008,female,No,0.79208,9483,10111,0.78416,0.79999
2009,male,Yes,0.05914,512,8597,0.05416,0.06413
2009,male,No,0.77656,8085,8597,0.76775,0.78537
2009,female,Yes,0.05545,559,9420,0.05083,0.06007
2009,female,No,0.79573,8861,9420,0.78759,0.80387
2010,male,Yes,0.06238,792,10908,0.05784,0.06692
2010,male,No,0.77547,10116,10908,0.76764,0.78331
2010,female,Yes,0.05625,1270,13057,0.05229,0.06020
2010,female,No,0.79531,11787,13057,0.78839,0.80223
2011,male,Yes,0.05189,800,12849,0.04806,0.05573
2011,male,No,0.77793,12049,12849,0.77074,0.78511
2011,female,Yes,0.04703,1298,15520,0.04370,0.05036
2011,female,No,0.79996,14222,15520,0.79366,0.80625
2012,male,Yes,0.05180,769,12553,0.04793,0.05568
2012,male,No,0.78148,11784,12553,0.77425,0.78871
2012,female,Yes,0.04882,1198,15082,0.04538,0.05226
2012,female,No,0.79813,13884,15082,0.79172,0.80453
2013,male,Yes,0.05440,1039,13983,0.05064,0.05816
2013,male,No,0.77948,12944,13983,0.77260,0.78635
2013,female,Yes,0.05047,1484,16640,0.04714,0.05379
2013,female,No,0.79905,15156,16640,0.79296,0.80514
2014,male,Yes,0.05406,845,12429,0.05008,0.05803
2014,male,No,0.78261,11584,12429,0.77535,0.78986
2014,female,Yes,0.04739,1140,14647,0.04395,0.05083
2014,female,No,0.80129,13507,14647,0.79483,0.80775
2015,male,Yes,0.05575,872,12305,0.05170,0.05981
2015,male,No,0.78277,11433,12305,0.77548,0.79006
2015,female,Yes,0.04640,1156,14472,0.04298,0.04983
2015,female,No,0.80344,13316,14472,0.79697,0.80992
2016,male,Yes,0.05343,722,11122,0.04925,0.05761
2016,male,No,0.77504,10400,11122,0.76728,0.78280
2016,female,Yes,0.04368,955,13160,0.04019,0.04717
2016,female,No,0.80269,12205,13160,0.79590,0.80949
2017,male,Yes,0.05219,1319,13544,0.04844,0.05594
2017,male,No,0.77727,12225,13544,0.77026,0.78427
2017,female,Yes,0.04113,1302,15097,0.03797,0.04430
2017,female,No,0.80371,13795,15097,0.79737,0.81005
2018,male,Yes,0.04971,1484,13688,0.04607,0.05335
2018,male,No,0.78601,12204,13688,0.77913,0.79288
2018,female,Yes,0.04143,1487,15116,0.03825,0.04460
2018,female,No,0.80832,13629,15116,0.80204,0.81459
2019,male,Yes,0.04449,1275,14111,0.04108,0.04789
2019,male,No,0.78643,12836,14111,0.77966,0.79319
2019,female,Yes,0.03878,1331,14677,0.03566,0.04191
2019,female,No,0.80567,13346,14677,0.79927,0.81208
2020,male,Yes,0.04284,1081,13967,0.03948,0.04620
2020,male,No,0.78348,12886,13967,0.77665,0.79031
2020,female,Yes,0.03847,1170,14435,0.03533,0.04161
2020,female,No,0.80206,13265,14435,0.79556,0.80856
2021,male,Yes,0.04198,621,9338,0.03791,0.04605
2021,male,No,0.77982,8717,9338,0.77141,0.78822
2021,female,Yes,0.03680,703,9892,0.03309,0.04051
2021,female,No,0.79647,9189,9892,0.78854,0.80441
