year,age_gr,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,30-45 y.,No,0.91536,4006,4353,0.90709,0.92363
1996,46-65 y.,Yes,0.10341,446,3810,0.09374,0.11308
1996,46-65 y.,No,0.87059,3364,3810,0.85993,0.88125
1996,66 and older,No,0.96716,1497,1497,0.95812,0.97619
1997,17-29 y.,Yes,0.08333,251,3028,0.07348,0.09317
1997,17-29 y.,No,0.91561,2777,3028,0.90570,0.92551
1997,30-45 y.,Yes,0.07797,362,4366,0.07002,0.08592
1997,30-45 y.,No,0.92203,4004,4366,0.91408,0.92998
1997,46-65 y.,Yes,0.10776,469,3851,0.09797,0.11755
1997,46-65 y.,No,0.89213,3382,3851,0.88233,0.90192
1997,66 and older,No,0.99836,1580,1580,0.99637,1.00036
1998,17-29 y.,Yes,0.07296,252,3145,0.06387,0.08205
1998,17-29 y.,No,0.92185,2893,3145,0.91246,0.93123
1998,30-45 y.,Yes,0.07506,391,4774,0.06759,0.08254
1998,30-45 y.,No,0.91523,4383,4774,0.90732,0.92313
1998,46-65 y.,Yes,0.09936,497,4339,0.09045,0.10826
1998,46-65 y.,No,0.88844,3842,4339,0.87908,0.89781
1998,66 and older,No,0.99422,1845,1845,0.99077,0.99768
1999,17-29 y.,Yes,0.07042,212,2960,0.06120,0.07964
1999,17-29 y.,No,0.92429,2748,2960,0.91476,0.93382
1999,30-45 y.,Yes,0.06381,313,4692,0.05681,0.07080
1999,30-45 y.,No,0.93227,4379,4692,0.92508,0.93946
1999,46-65 y.,Yes,0.08742,427,4164,0.07884,0.09600
1999,46-65 y.,No,0.90900,3737,4164,0.90026,0.91774
2000,17-29 y.,Yes,0.05493,257,4577,0.04833,0.06154
2000,17-29 y.,No,0.94336,4320,4577,0.93666,0.95006
2000,30-45 y.,Yes,0.06087,558,8167,0.05568,0.06605
2000,30-45 y.,No,0.93913,7609,8167,0.93395,0.94432
2000,46-65 y.,Yes,0.07678,685,7766,0.07086,0.08270
2000,46-65 y.,No,0.92322,7081,7766,0.91730,0.92914
2000,66 and older,No,0.99969,3596,3596,0.99911,1.00027
2001,17-29 y.,Yes,0.06164,257,4099,0.05428,0.06901
2001,17-29 y.,No,0.93836,3842,4099,0.93099,0.94572
2001,30-45 y.,Yes,0.06578,507,7329,0.06010,0.07145
2001,30-45 y.,No,0.93422,6822,7329,0.92855,0.93990
2001,46-65 y.,Yes,0.08467,633,7094,0.07819,0.09115
2001,46-65 y.,No,0.91533,6461,7094,0.90885,0.92181
2001,66 and older,No,0.99814,3394,3394,0.99669,0.99959
2002,17-29 y.,Yes,0.07674,273,4141,0.06863,0.08484
2002,17-29 y.,No,0.92313,3868,4141,0.91502,0.93125
2002,30-45 y.,Yes,0.07591,519,7440,0.06989,0.08193
2002,30-45 y.,No,0.92409,6921,7440,0.91807,0.93011
2002,46-65 y.,Yes,0.09068,628,7854,0.08433,0.09703
2002,46-65 y.,No,0.90932,7226,7854,0.90297,0.91567
2002,66 and older,No,0.99901,3588,3588,0.99798,1.00004
2003,17-29 y.,Yes,0.08641,306,4006,0.07771,0.09512
2003,17-29 y.,No,0.91302,3700,4006,0.90429,0.92175
2003,30-45 y.,Yes,0.09242,593,6937,0.08560,0.09923
2003,30-45 y.,No,0.90737,6344,6937,0.90054,0.91419
2003,46-65 y.,Yes,0.09334,627,7571,0.08678,0.09989
2003,46-65 y.,No,0.90666,6944,7571,0.90011,0.91322
2003,66 and older,No,0.99766,3640,3640,0.99609,0.99923
2004,17-29 y.,Yes,0.09323,308,3958,0.08417,0.10229
2004,17-29 y.,No,0.90531,3650,3958,0.89619,0.91443
2004,30-45 y.,Yes,0.09834,567,6530,0.09112,0.10557
2004,30-45 y.,No,0.90166,5963,6530,0.89443,0.90888
2004,46-65 y.,Yes,0.10479,664,7365,0.09779,0.11179
2004,46-65 y.,No,0.89521,6701,7365,0.88821,0.90221
2005,17-29 y.,Yes,0.11202,350,3827,0.10203,0.12201
2005,17-29 y.,No,0.88672,3477,3827,0.87668,0.89676
2005,30-45 y.,Yes,0.09854,537,6089,0.09105,0.10602
2005,30-45 y.,No,0.90146,5552,6089,0.89398,0.90895
2005,46-65 y.,Yes,0.09885,601,7016,0.09187,0.10584
2005,46-65 y.,No,0.90115,6415,7016,0.89416,0.90813
2006,17-29 y.,Yes,0.11304,390,3680,0.10281,0.12327
2006,17-29 y.,No,0.82670,3290,3680,0.81447,0.83893
2006,30-45 y.,Yes,0.09849,560,6281,0.09112,0.10586
2006,30-45 y.,No,0.90151,5721,6281,0.89414,0.90888
2006,46-65 y.,Yes,0.10796,687,7577,0.10097,0.11495
2006,46-65 y.,No,0.89204,6890,7577,0.88505,0.89903
2006,66 and older,No,0.99967,4427,4427,0.99913,1.00020
2007,17-29 y.,Yes,0.10375,313,3398,0.09349,0.11400
2007,17-29 y.,No,0.81482,3085,3398,0.80176,0.82789
2007,30-45 y.,Yes,0.09147,455,5710,0.08399,0.09895
2007,30-45 y.,No,0.90853,5255,5710,0.90105,0.91601
2007,46-65 y.,Yes,0.09848,598,7060,0.09153,0.10543
2007,46-65 y.,No,0.90152,6462,7060,0.89457,0.90847
2007,66 and older,No,0.99979,4340,4340,0.99937,1.00022
2008,17-29 y.,Yes,0.08034,252,3157,0.07086,0.08982
2008,17-29 y.,No,0.84763,2905,3157,0.83509,0.86017
2008,30-45 y.,Yes,0.07339,366,5170,0.06628,0.08049
2008,30-45 y.,No,0.92661,4804,5170,0.91951,0.93372
2008,46-65 y.,Yes,0.09729,534,6694,0.09019,0.10439
2008,46-65 y.,No,0.90271,6160,6694,0.89561,0.90981
2008,66 and older,No,0.99935,4291,4291,0.99859,1.00011
2009,17-29 y.,Yes,0.08851,255,2854,0.07809,0.09893
2009,17-29 y.,No,0.84562,2599,2854,0.83236,0.85888
2009,30-45 y.,Yes,0.07505,335,4676,0.06750,0.08260
2009,30-45 y.,No,0.92495,4341,4676,0.91740,0.93250
2009,46-65 y.,Yes,0.09731,479,6325,0.09001,0.10462
2009,46-65 y.,No,0.90269,5846,6325,0.89538,0.90999
2009,66 and older,No,0.99973,4160,4160,0.99924,1.00023
2010,17-29 y.,Yes,0.09011,538,3919,0.08115,0.09908
2010,17-29 y.,No,0.85273,3381,3919,0.84164,0.86383
2010,30-45 y.,Yes,0.08476,914,9070,0.07903,0.09050
2010,30-45 y.,No,0.91520,8156,9070,0.90946,0.92093
2010,46-65 y.,Yes,0.09629,609,6952,0.08935,0.10322
2010,46-65 y.,No,0.90371,6343,6952,0.89678,0.91065
2010,66 and older,No,0.99982,4023,4023,0.99939,1.00024
2011,17-29 y.,Yes,0.07383,465,4174,0.06590,0.08177
2011,17-29 y.,No,0.85464,3709,4174,0.84395,0.86534
2011,30-45 y.,Yes,0.07128,904,9929,0.06622,0.07635
2011,30-45 y.,No,0.92863,9025,9929,0.92357,0.93370
2011,46-65 y.,Yes,0.08158,727,9124,0.07596,0.08720
2011,46-65 y.,No,0.91837,8397,9124,0.91275,0.92399
2011,66 and older,No,0.99987,5140,5140,0.99956,1.00018
2012,17-29 y.,Yes,0.07575,400,3981,0.06753,0.08398
2012,17-29 y.,No,0.85526,3581,3981,0.84433,0.86619
2012,30-45 y.,Yes,0.07091,788,9075,0.06563,0.07619
2012,30-45 y.,No,0.92909,8287,9075,0.92381,0.93437
2012,46-65 y.,Yes,0.08328,776,9375,0.07769,0.08888
2012,46-65 y.,No,0.91672,8599,9375,0.91112,0.92231
2012,66 and older,No,0.99970,5201,5201,0.99922,1.00017
2013,17-29 y.,Yes,0.07545,496,5025,0.06815,0.08276
2013,17-29 y.,No,0.85693,4529,5025,0.84725,0.86662
2013,30-45 y.,Yes,0.08468,1089,10363,0.07932,0.09004
2013,30-45 y.,No,0.91532,9274,10363,0.90996,0.92068
2013,46-65 y.,Yes,0.08066,933,10190,0.07538,0.08595
2013,46-65 y.,No,0.91934,9257,10190,0.91405,0.92462
2013,66 and older,No,0.99951,5040,5040,0.99890,1.00012
2014,17-29 y.,Yes,0.06806,368,4295,0.06053,0.07559
2014,17-29 y.,No,0.86319,3927,4295,0.85292,0.87347
2014,30-45 y.,Yes,0.08915,838,8517,0.08310,0.09520
2014,30-45 y.,No,0.91069,7679,8517,0.90463,0.91675
2014,46-65 y.,Yes,0.07581,777,9312,0.07043,0.08118
2014,46-65 y.,No,0.92408,8535,9312,0.91870,0.92946
2014,66 and older,No,0.99958,4950,4950,0.99901,1.00015
2015,17-29 y.,Yes,0.07003,398,4454,0.06254,0.07753
2015,17-29 y.,No,0.86265,4056,4454,0.85254,0.87276
2015,30-45 y.,Yes,0.09019,875,8285,0.08402,0.09635
2015,30-45 y.,No,0.90979,7410,8285,0.90362,0.91596
2015,46-65 y.,Yes,0.07489,752,9137,0.06949,0.08029
2015,46-65 y.,No,0.92511,8385,9137,0.91971,0.93051
2015,66 and older,No,0.99870,4898,4898,0.99769,0.99971
2016,17-29 y.,Yes,0.06552,325,3860,0.05771,0.07332
2016,17-29 y.,No,0.84956,3535,3860,0.83828,0.86084
2016,30-45 y.,Yes,0.08277,666,7098,0.07636,0.08918
2016,30-45 y.,No,0.90961,6432,7098,0.90294,0.91628
2016,46-65 y.,Yes,0.07323,685,8608,0.06772,0.07873
2016,46-65 y.,No,0.92516,7923,8608,0.91961,0.93072
2016,66 and older,No,0.99899,4715,4715,0.99808,0.99990
2017,17-29 y.,Yes,0.06304,542,4986,0.05630,0.06979
2017,17-29 y.,No,0.85929,4444,4986,0.84963,0.86894
2017,30-45 y.,Yes,0.08075,1195,8369,0.07491,0.08659
2017,30-45 y.,No,0.91502,7174,8369,0.90905,0.92100
2017,46-65 y.,Yes,0.06988,873,10314,0.06496,0.07480
2017,46-65 y.,No,0.92918,9441,10314,0.92423,0.93413
2017,66 and older,No,0.99841,4961,4961,0.99730,0.99952
2018,17-29 y.,Yes,0.06716,697,5308,0.06042,0.07389
2018,17-29 y.,No,0.86767,4611,5308,0.85855,0.87678
2018,30-45 y.,Yes,0.07600,1289,8307,0.07030,0.08170
2018,30-45 y.,No,0.92301,7018,8307,0.91728,0.92874
2018,46-65 y.,Yes,0.06758,973,10176,0.06271,0.07246
2018,46-65 y.,No,0.93204,9203,10176,0.92715,0.93694
2018,66 and older,No,0.99807,5001,5001,0.99686,0.99929
2019,17-29 y.,Yes,0.06949,621,4755,0.06227,0.07672
2019,17-29 y.,No,0.85601,4134,4755,0.84603,0.86599
2019,30-45 y.,Yes,0.06719,1105,7845,0.06165,0.07273
2019,30-45 y.,No,0.93148,6740,7845,0.92588,0.93707
2019,46-65 y.,Yes,0.05986,865,10995,0.05542,0.06429
2019,46-65 y.,No,0.93977,10130,10995,0.93532,0.94422
2019,66 and older,No,0.99881,5185,5185,0.99787,0.99975
2020,17-29 y.,Yes,0.07139,537,5077,0.06431,0.07847
2020,17-29 y.,No,0.84815,4540,5077,0.83827,0.85802
2020,30-45 y.,Yes,0.06802,940,8033,0.06252,0.07353
2020,30-45 y.,No,0.92664,7093,8033,0.92094,0.93234
2020,46-65 y.,Yes,0.05644,762,10392,0.05201,0.06088
2020,46-65 y.,No,0.94256,9630,10392,0.93808,0.94703
2020,66 and older,No,0.99901,4896,4896,0.99813,0.99989
2021,17-29 y.,Yes,0.06094,266,3179,0.05262,0.06926
2021,17-29 y.,No,0.86834,2913,3179,0.85659,0.88010
2021,30-45 y.,Yes,0.06578,543,5235,0.05907,0.07250
2021,30-45 y.,No,0.93036,4692,5235,0.92346,0.93726
2021,46-65 y.,Yes,0.05900,506,7257,0.05358,0.06442
2021,46-65 y.,No,0.93758,6751,7257,0.93201,0.94314
2021,66 and older,No,0.98726,3556,3556,0.98357,0.99095
