year,migback,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,No migration background,No,0.79253,17059,18280,0.78665,0.79841
2004,Direct migration background,Yes,0.10347,250,2536,0.09162,0.11533
2004,Direct migration background,No,0.85557,2286,2536,0.84189,0.86926
2004,Indirect migration background,Yes,0.04214,68,796,0.02817,0.05610
2004,Indirect migration background,No,0.37700,728,796,0.34331,0.41069
2005,No migration background,Yes,0.06190,1159,17507,0.05833,0.06547
2005,No migration background,No,0.79492,16348,17507,0.78894,0.80090
2005,Direct migration background,Yes,0.11391,246,2367,0.10111,0.12672
2005,Direct migration background,No,0.85266,2121,2367,0.83838,0.86694
2005,Indirect migration background,Yes,0.05125,83,823,0.03618,0.06633
2005,Indirect migration background,No,0.40846,740,823,0.37486,0.44207
2006,No migration background,Yes,0.06424,1291,18777,0.06074,0.06775
2006,No migration background,No,0.78785,17486,18777,0.78200,0.79370
2006,Direct migration background,Yes,0.11595,256,2377,0.10307,0.12882
2006,Direct migration background,No,0.84486,2121,2377,0.83030,0.85942
2006,Indirect migration background,Yes,0.05194,92,813,0.03667,0.06720
2006,Indirect migration background,No,0.39774,721,813,0.36408,0.43141
2007,No migration background,Yes,0.05850,1095,17613,0.05504,0.06197
2007,No migration background,No,0.79392,16518,17613,0.78795,0.79990
2007,Direct migration background,Yes,0.10701,205,2119,0.09384,0.12017
2007,Direct migration background,No,0.85738,1914,2119,0.84249,0.87227
2007,Indirect migration background,Yes,0.05467,67,777,0.03867,0.07066
2007,Indirect migration background,No,0.41251,710,777,0.37788,0.44715
2008,No migration background,Yes,0.05128,922,16646,0.04793,0.05463
2008,No migration background,No,0.80429,15724,16646,0.79827,0.81032
2008,Direct migration background,Yes,0.09112,166,1906,0.07820,0.10404
2008,Direct migration background,No,0.88621,1740,1906,0.87195,0.90047
2008,Indirect migration background,Yes,0.05083,68,764,0.03524,0.06641
2008,Indirect migration background,No,0.44116,696,764,0.40593,0.47639
2009,No migration background,Yes,0.05110,847,15653,0.04765,0.05455
2009,No migration background,No,0.80587,14806,15653,0.79967,0.81207
2009,Direct migration background,Yes,0.10882,157,1659,0.09383,0.12381
2009,Direct migration background,No,0.86716,1502,1659,0.85082,0.88349
2009,Indirect migration background,Yes,0.05224,67,705,0.03581,0.06868
2009,Indirect migration background,No,0.47702,638,705,0.44013,0.51392
2010,No migration background,Yes,0.05181,1529,19914,0.04873,0.05488
2010,No migration background,No,0.80971,18385,19914,0.80426,0.81516
2010,Direct migration background,Yes,0.11839,407,2948,0.10673,0.13005
2010,Direct migration background,No,0.85218,2541,2948,0.83936,0.86499
2010,Indirect migration background,Yes,0.04656,126,1103,0.03412,0.05900
2010,Indirect migration background,No,0.42075,977,1103,0.39160,0.44990
2011,No migration background,Yes,0.04525,1616,23815,0.04261,0.04789
2011,No migration background,No,0.80967,22199,23815,0.80468,0.81465
2011,Direct migration background,Yes,0.08619,368,3298,0.07661,0.09577
2011,Direct migration background,No,0.88289,2930,3298,0.87191,0.89386
2011,Indirect migration background,Yes,0.03876,114,1256,0.02808,0.04944
2011,Indirect migration background,No,0.42199,1142,1256,0.39467,0.44932
2012,No migration background,Yes,0.04628,1529,23284,0.04358,0.04898
2012,No migration background,No,0.81084,21755,23284,0.80580,0.81587
2012,Direct migration background,Yes,0.08348,329,3132,0.07379,0.09317
2012,Direct migration background,No,0.88447,2803,3132,0.87327,0.89567
2012,Indirect migration background,Yes,0.04036,109,1219,0.02930,0.05141
2012,Indirect migration background,No,0.42093,1110,1219,0.39320,0.44866
2013,No migration background,Yes,0.04462,1396,22063,0.04190,0.04734
2013,No migration background,No,0.81478,20667,22063,0.80965,0.81990
2013,Direct migration background,Yes,0.10493,907,6500,0.09748,0.11238
2013,Direct migration background,No,0.86255,5593,6500,0.85418,0.87092
2013,Indirect migration background,Yes,0.04865,220,2060,0.03935,0.05794
2013,Indirect migration background,No,0.42914,1840,2060,0.40776,0.45052
2014,No migration background,Yes,0.04396,1173,20138,0.04113,0.04679
2014,No migration background,No,0.81713,18965,20138,0.81179,0.82247
2014,Direct migration background,Yes,0.09639,653,5219,0.08838,0.10440
2014,Direct migration background,No,0.86730,4566,5219,0.85810,0.87651
2014,Indirect migration background,Yes,0.04604,159,1719,0.03613,0.05596
2014,Indirect migration background,No,0.44477,1560,1719,0.42127,0.46827
2015,No migration background,Yes,0.04197,1057,19168,0.03913,0.04481
2015,No migration background,No,0.82053,18111,19168,0.81510,0.82596
2015,Direct migration background,Yes,0.10532,821,5991,0.09754,0.11309
2015,Direct migration background,No,0.85633,5170,5991,0.84745,0.86521
2015,Indirect migration background,Yes,0.05095,150,1618,0.04023,0.06167
2015,Indirect migration background,No,0.44170,1468,1618,0.41749,0.46590
2016,No migration background,Yes,0.04011,883,17809,0.03723,0.04299
2016,No migration background,No,0.81911,16926,17809,0.81346,0.82476
2016,Direct migration background,Yes,0.09821,660,4980,0.08995,0.10648
2016,Direct migration background,No,0.82590,4320,4980,0.81537,0.83644
2016,Indirect migration background,Yes,0.04549,134,1493,0.03492,0.05607
2016,Indirect migration background,No,0.46514,1359,1493,0.43983,0.49045
2017,No migration background,Yes,0.03514,892,20158,0.03260,0.03768
2017,No migration background,No,0.82498,19266,20158,0.81973,0.83022
2017,Direct migration background,Yes,0.11275,1586,6847,0.10526,0.12025
2017,Direct migration background,No,0.81465,5261,6847,0.80545,0.82386
2017,Indirect migration background,Yes,0.04368,143,1636,0.03377,0.05358
2017,Indirect migration background,No,0.46358,1493,1636,0.43941,0.48775
2018,No migration background,Yes,0.03430,913,19458,0.03174,0.03685
2018,No migration background,No,0.82970,18545,19458,0.82442,0.83498
2018,Direct migration background,Yes,0.10795,1918,7715,0.10103,0.11488
2018,Direct migration background,No,0.83393,5797,7715,0.82562,0.84223
2018,Indirect migration background,Yes,0.04280,140,1631,0.03297,0.05263
2018,Indirect migration background,No,0.47544,1491,1631,0.45120,0.49969
2019,No migration background,Yes,0.02972,759,20182,0.02738,0.03207
2019,No migration background,No,0.82899,19423,20182,0.82379,0.83418
2019,Direct migration background,Yes,0.10762,1735,7035,0.10037,0.11486
2019,Direct migration background,No,0.83688,5300,7035,0.82824,0.84551
2019,Indirect migration background,Yes,0.03871,112,1578,0.02919,0.04823
2019,Indirect migration background,No,0.47450,1466,1578,0.44986,0.49915
2020,No migration background,Yes,0.02959,710,18577,0.02715,0.03203
2020,No migration background,No,0.82632,17867,18577,0.82088,0.83177
2020,Direct migration background,Yes,0.10123,1419,8296,0.09474,0.10772
2020,Direct migration background,No,0.82885,6877,8296,0.82075,0.83696
2020,Indirect migration background,Yes,0.04777,122,1537,0.03711,0.05844
2020,Indirect migration background,No,0.45350,1415,1537,0.42860,0.47840
2021,No migration background,Yes,0.02928,478,13189,0.02640,0.03215
2021,No migration background,No,0.82463,12711,13189,0.81814,0.83112
2021,Direct migration background,Yes,0.09838,780,5109,0.09021,0.10655
2021,Direct migration background,No,0.82297,4329,5109,0.81251,0.83344
2021,Indirect migration background,Yes,0.03592,67,939,0.02401,0.04783
2021,Indirect migration background,No,0.44065,872,939,0.40887,0.47242
