year,quintil_oecd,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,5th Quintile,Yes,0.01377,33,1759,0.00832,0.01922
1989,5th Quintile,No,0.85679,1726,1759,0.84042,0.87317
1990,1st Quintile,Yes,0.05082,144,1793,0.04065,0.06099
1990,1st Quintile,No,0.69104,1649,1793,0.66965,0.71244
1990,2nd Quintile,Yes,0.02157,62,1819,0.01489,0.02825
1990,2nd Quintile,No,0.72729,1757,1819,0.70682,0.74777
1990,3rd Quintile,Yes,0.01984,55,1859,0.01350,0.02619
1990,3rd Quintile,No,0.77035,1804,1859,0.75123,0.78948
1990,4th Quintile,Yes,0.02128,51,1869,0.01474,0.02782
1990,4th Quintile,No,0.83375,1818,1869,0.81686,0.85063
1990,5th Quintile,No,0.85904,1739,1739,0.84268,0.87540
1991,1st Quintile,Yes,0.04804,147,1779,0.03810,0.05798
1991,1st Quintile,No,0.70379,1632,1779,0.68256,0.72501
1991,2nd Quintile,Yes,0.02664,72,1844,0.01928,0.03399
1991,2nd Quintile,No,0.73337,1772,1844,0.71318,0.75356
1991,3rd Quintile,Yes,0.01771,54,1867,0.01173,0.02370
1991,3rd Quintile,No,0.77778,1813,1867,0.75892,0.79665
1991,4th Quintile,Yes,0.01643,46,1912,0.01073,0.02212
1991,4th Quintile,No,0.85131,1866,1912,0.83536,0.86726
1991,5th Quintile,Yes,0.01408,31,1809,0.00865,0.01951
1991,5th Quintile,No,0.87099,1778,1809,0.85554,0.88644
1992,1st Quintile,Yes,0.09288,391,2703,0.08193,0.10382
1992,1st Quintile,No,0.66895,2312,2703,0.65120,0.68669
1992,2nd Quintile,Yes,0.04943,228,2794,0.04139,0.05746
1992,2nd Quintile,No,0.69439,2566,2794,0.67730,0.71147
1992,3rd Quintile,Yes,0.03538,152,2605,0.02829,0.04248
1992,3rd Quintile,No,0.74780,2453,2605,0.73112,0.76448
1992,4th Quintile,Yes,0.02647,98,2589,0.02028,0.03265
1992,4th Quintile,No,0.81953,2491,2589,0.80472,0.83435
1992,5th Quintile,Yes,0.02030,62,2333,0.01458,0.02602
1992,5th Quintile,No,0.85827,2271,2333,0.84411,0.87242
1993,1st Quintile,Yes,0.10133,389,2576,0.08968,0.11299
1993,1st Quintile,No,0.67193,2187,2576,0.65379,0.69006
1993,2nd Quintile,Yes,0.05181,236,2764,0.04355,0.06007
1993,2nd Quintile,No,0.71216,2528,2764,0.69528,0.72904
1993,3rd Quintile,Yes,0.03900,163,2637,0.03161,0.04639
1993,3rd Quintile,No,0.75212,2474,2637,0.73563,0.76860
1993,4th Quintile,Yes,0.03487,117,2579,0.02779,0.04196
1993,4th Quintile,No,0.81644,2462,2579,0.80149,0.83138
1993,5th Quintile,Yes,0.02239,78,2358,0.01641,0.02836
1993,5th Quintile,No,0.86593,2280,2358,0.85217,0.87968
1994,1st Quintile,Yes,0.10804,413,2479,0.09582,0.12026
1994,1st Quintile,No,0.65691,2066,2479,0.63822,0.67560
1994,2nd Quintile,Yes,0.05491,242,2672,0.04627,0.06355
1994,2nd Quintile,No,0.71124,2430,2672,0.69405,0.72843
1994,3rd Quintile,Yes,0.05001,196,2691,0.04178,0.05825
1994,3rd Quintile,No,0.75603,2495,2691,0.73980,0.77226
1994,4th Quintile,Yes,0.03796,134,2530,0.03051,0.04541
1994,4th Quintile,No,0.81019,2396,2530,0.79490,0.82547
1994,5th Quintile,Yes,0.03413,114,2389,0.02685,0.04142
1994,5th Quintile,No,0.85665,2275,2389,0.84260,0.87071
1995,1st Quintile,Yes,0.10630,413,2505,0.09422,0.11837
1995,1st Quintile,No,0.63031,2092,2505,0.61140,0.64921
1995,2nd Quintile,Yes,0.06062,245,2825,0.05182,0.06942
1995,2nd Quintile,No,0.71297,2580,2825,0.69628,0.72965
1995,3rd Quintile,Yes,0.04490,161,2689,0.03708,0.05273
1995,3rd Quintile,No,0.75372,2528,2689,0.73743,0.77000
1995,4th Quintile,Yes,0.03727,137,2643,0.03005,0.04450
1995,4th Quintile,No,0.81478,2506,2643,0.79997,0.82960
1995,5th Quintile,Yes,0.03154,108,2457,0.02462,0.03845
1995,5th Quintile,No,0.85606,2349,2457,0.84218,0.86995
1996,1st Quintile,Yes,0.10476,390,2478,0.09270,0.11682
1996,1st Quintile,No,0.63757,2088,2478,0.61864,0.65651
1996,2nd Quintile,Yes,0.04978,225,2668,0.04153,0.05804
1996,2nd Quintile,No,0.70371,2443,2668,0.68637,0.72104
1996,3rd Quintile,Yes,0.05220,179,2588,0.04363,0.06078
1996,3rd Quintile,No,0.75428,2409,2588,0.73769,0.77087
1996,4th Quintile,Yes,0.04311,153,2653,0.03538,0.05084
1996,4th Quintile,No,0.78748,2500,2653,0.77191,0.80305
1996,5th Quintile,Yes,0.03095,101,2355,0.02395,0.03794
1996,5th Quintile,No,0.84909,2254,2355,0.83463,0.86355
1997,1st Quintile,Yes,0.11628,383,2382,0.10340,0.12916
1997,1st Quintile,No,0.64833,1999,2382,0.62915,0.66751
1997,2nd Quintile,Yes,0.05752,248,2772,0.04885,0.06619
1997,2nd Quintile,No,0.73121,2524,2772,0.71471,0.74772
1997,3rd Quintile,Yes,0.05338,200,2564,0.04468,0.06209
1997,3rd Quintile,No,0.75426,2364,2564,0.73759,0.77093
1997,4th Quintile,Yes,0.04353,144,2666,0.03579,0.05128
1997,4th Quintile,No,0.81639,2522,2666,0.80169,0.83109
1997,5th Quintile,Yes,0.03323,109,2442,0.02612,0.04034
1997,5th Quintile,No,0.86627,2333,2442,0.85277,0.87978
1998,1st Quintile,Yes,0.12335,408,2319,0.10997,0.13674
1998,1st Quintile,No,0.63064,1911,2319,0.61100,0.65029
1998,2nd Quintile,Yes,0.06027,236,2541,0.05101,0.06952
1998,2nd Quintile,No,0.70953,2305,2541,0.69187,0.72718
1998,3rd Quintile,Yes,0.04619,171,2512,0.03798,0.05440
1998,3rd Quintile,No,0.76989,2341,2512,0.75343,0.78636
1998,4th Quintile,Yes,0.03749,131,2573,0.03015,0.04484
1998,4th Quintile,No,0.82365,2442,2573,0.80892,0.83837
1998,5th Quintile,Yes,0.02911,82,2266,0.02218,0.03603
1998,5th Quintile,No,0.85691,2184,2266,0.84249,0.87133
1999,1st Quintile,Yes,0.09765,365,2567,0.08616,0.10913
1999,1st Quintile,No,0.65863,2202,2567,0.64028,0.67697
1999,2nd Quintile,Yes,0.04987,211,2861,0.04189,0.05784
1999,2nd Quintile,No,0.74740,2650,2861,0.73148,0.76333
1999,3rd Quintile,Yes,0.04373,177,2814,0.03617,0.05129
1999,3rd Quintile,No,0.77134,2637,2814,0.75582,0.78686
1999,4th Quintile,Yes,0.03265,126,2773,0.02604,0.03927
1999,4th Quintile,No,0.82798,2647,2773,0.81393,0.84203
1999,5th Quintile,Yes,0.02508,73,2600,0.01907,0.03110
1999,5th Quintile,No,0.87201,2527,2600,0.85916,0.88485
2000,1st Quintile,Yes,0.10183,381,2585,0.09017,0.11349
2000,1st Quintile,No,0.67456,2204,2585,0.65650,0.69263
2000,2nd Quintile,Yes,0.04553,202,2763,0.03776,0.05331
2000,2nd Quintile,No,0.74006,2561,2763,0.72370,0.75642
2000,3rd Quintile,Yes,0.03984,146,2712,0.03248,0.04720
2000,3rd Quintile,No,0.77785,2566,2712,0.76221,0.79350
2000,4th Quintile,Yes,0.02454,103,2695,0.01870,0.03038
2000,4th Quintile,No,0.83172,2592,2695,0.81759,0.84584
2000,5th Quintile,Yes,0.01984,71,2529,0.01440,0.02527
2000,5th Quintile,No,0.86858,2458,2529,0.85541,0.88175
2001,1st Quintile,Yes,0.10966,594,3866,0.09981,0.11951
2001,1st Quintile,No,0.66224,3272,3866,0.64733,0.67715
2001,2nd Quintile,Yes,0.04958,313,4384,0.04315,0.05600
2001,2nd Quintile,No,0.74372,4071,4384,0.73080,0.75665
2001,3rd Quintile,Yes,0.03514,220,4534,0.02978,0.04050
2001,3rd Quintile,No,0.78948,4314,4534,0.77761,0.80135
2001,4th Quintile,Yes,0.02692,164,4605,0.02224,0.03159
2001,4th Quintile,No,0.83308,4441,4605,0.82231,0.84385
2001,5th Quintile,Yes,0.01965,109,4530,0.01560,0.02369
2001,5th Quintile,No,0.87567,4421,4530,0.86606,0.88528
2002,1st Quintile,Yes,0.12390,586,3459,0.11292,0.13488
2002,1st Quintile,No,0.65495,2873,3459,0.63910,0.67079
2002,2nd Quintile,Yes,0.05357,295,3944,0.04654,0.06060
2002,2nd Quintile,No,0.75391,3649,3944,0.74047,0.76736
2002,3rd Quintile,Yes,0.04325,226,4067,0.03700,0.04950
2002,3rd Quintile,No,0.77082,3841,4067,0.75790,0.78374
2002,4th Quintile,Yes,0.03082,165,4356,0.02569,0.03595
2002,4th Quintile,No,0.82259,4191,4356,0.81124,0.83393
2002,5th Quintile,Yes,0.02338,121,4973,0.01918,0.02758
2002,5th Quintile,No,0.89125,4852,4973,0.88260,0.89991
2003,1st Quintile,Yes,0.14476,645,3400,0.13293,0.15659
2003,1st Quintile,No,0.64491,2755,3400,0.62882,0.66100
2003,2nd Quintile,Yes,0.06019,333,3870,0.05269,0.06768
2003,2nd Quintile,No,0.73608,3537,3870,0.72219,0.74997
2003,3rd Quintile,Yes,0.04271,239,4128,0.03654,0.04888
2003,3rd Quintile,No,0.77778,3889,4128,0.76509,0.79046
2003,4th Quintile,Yes,0.03150,168,4427,0.02636,0.03665
2003,4th Quintile,No,0.82872,4259,4427,0.81762,0.83982
2003,5th Quintile,Yes,0.02200,150,6335,0.01838,0.02561
2003,5th Quintile,No,0.87488,6185,6335,0.86673,0.88303
2004,1st Quintile,Yes,0.15925,667,3299,0.14676,0.17174
2004,1st Quintile,No,0.63432,2632,3299,0.61788,0.65075
2004,2nd Quintile,Yes,0.06113,326,3816,0.05352,0.06873
2004,2nd Quintile,No,0.74168,3490,3816,0.72779,0.75557
2004,3rd Quintile,Yes,0.05223,255,3939,0.04528,0.05917
2004,3rd Quintile,No,0.77518,3684,3939,0.76215,0.78822
2004,4th Quintile,Yes,0.03103,158,4349,0.02588,0.03619
2004,4th Quintile,No,0.82655,4191,4349,0.81530,0.83781
2004,5th Quintile,Yes,0.02183,132,6206,0.01820,0.02547
2004,5th Quintile,No,0.88106,6074,6206,0.87301,0.88912
2005,1st Quintile,Yes,0.17788,694,3161,0.16455,0.19121
2005,1st Quintile,No,0.61751,2467,3161,0.60056,0.63445
2005,2nd Quintile,Yes,0.06500,316,3684,0.05704,0.07296
2005,2nd Quintile,No,0.75445,3368,3684,0.74055,0.76836
2005,3rd Quintile,Yes,0.04199,191,3744,0.03557,0.04842
2005,3rd Quintile,No,0.78807,3553,3744,0.77498,0.80117
2005,4th Quintile,Yes,0.03164,157,4199,0.02634,0.03693
2005,4th Quintile,No,0.82787,4042,4199,0.81645,0.83929
2005,5th Quintile,Yes,0.01823,129,5906,0.01482,0.02164
2005,5th Quintile,No,0.88518,5777,5906,0.87705,0.89331
2006,1st Quintile,Yes,0.19157,741,2959,0.17739,0.20575
2006,1st Quintile,No,0.60572,2218,2959,0.58811,0.62334
2006,2nd Quintile,Yes,0.06033,252,3292,0.05219,0.06846
2006,2nd Quintile,No,0.74330,3040,3292,0.72838,0.75823
2006,3rd Quintile,Yes,0.04064,168,3645,0.03423,0.04705
2006,3rd Quintile,No,0.77860,3477,3645,0.76512,0.79208
2006,4th Quintile,Yes,0.02531,136,3940,0.02041,0.03022
2006,4th Quintile,No,0.82183,3804,3940,0.80988,0.83378
2006,5th Quintile,Yes,0.01729,116,5512,0.01385,0.02073
2006,5th Quintile,No,0.88533,5396,5512,0.87692,0.89374
2007,1st Quintile,Yes,0.18966,735,3180,0.17603,0.20329
2007,1st Quintile,No,0.61807,2445,3180,0.60118,0.63496
2007,2nd Quintile,Yes,0.05323,257,3558,0.04585,0.06060
2007,2nd Quintile,No,0.73855,3301,3558,0.72411,0.75299
2007,3rd Quintile,Yes,0.03623,150,3844,0.03032,0.04213
2007,3rd Quintile,No,0.79023,3694,3844,0.77736,0.80311
2007,4th Quintile,Yes,0.02419,125,4320,0.01960,0.02877
2007,4th Quintile,No,0.82812,4195,4320,0.81687,0.83937
2007,5th Quintile,Yes,0.01481,100,5604,0.01164,0.01797
2007,5th Quintile,No,0.88349,5504,5604,0.87509,0.89189
2008,1st Quintile,Yes,0.17184,646,3020,0.15838,0.18530
2008,1st Quintile,No,0.63143,2374,3020,0.61422,0.64864
2008,2nd Quintile,Yes,0.04687,200,3356,0.03972,0.05403
2008,2nd Quintile,No,0.76457,3156,3356,0.75022,0.77893
2008,3rd Quintile,Yes,0.02641,131,3769,0.02129,0.03153
2008,3rd Quintile,No,0.80521,3638,3769,0.79256,0.81785
2008,4th Quintile,Yes,0.02004,107,3935,0.01566,0.02442
2008,4th Quintile,No,0.83893,3828,3935,0.82744,0.85042
2008,5th Quintile,Yes,0.01277,71,5234,0.00973,0.01581
2008,5th Quintile,No,0.88288,5163,5234,0.87417,0.89159
2009,1st Quintile,Yes,0.16171,574,2879,0.14826,0.17516
2009,1st Quintile,No,0.65723,2305,2879,0.63989,0.67457
2009,2nd Quintile,Yes,0.05253,200,3166,0.04476,0.06031
2009,2nd Quintile,No,0.75504,2966,3166,0.74006,0.77003
2009,3rd Quintile,Yes,0.03419,132,3434,0.02811,0.04027
2009,3rd Quintile,No,0.80641,3302,3434,0.79320,0.81963
2009,4th Quintile,Yes,0.02622,96,3731,0.02109,0.03135
2009,4th Quintile,No,0.82658,3635,3731,0.81443,0.83873
2009,5th Quintile,Yes,0.01193,69,4802,0.00886,0.01500
2009,5th Quintile,No,0.88609,4733,4802,0.87710,0.89507
2010,1st Quintile,Yes,0.17359,541,2650,0.15917,0.18801
2010,1st Quintile,No,0.75312,2109,2650,0.73670,0.76954
2010,2nd Quintile,Yes,0.04992,157,2994,0.04212,0.05773
2010,2nd Quintile,No,0.85046,2837,2994,0.83769,0.86324
2010,3rd Quintile,Yes,0.03916,120,3176,0.03242,0.04591
2010,3rd Quintile,No,0.84249,3056,3176,0.82982,0.85516
2010,4th Quintile,Yes,0.02156,86,3432,0.01670,0.02641
2010,4th Quintile,No,0.87325,3346,3432,0.86212,0.88439
2010,5th Quintile,Yes,0.01239,68,4383,0.00911,0.01566
2010,5th Quintile,No,0.90767,4315,4383,0.89909,0.91624
2011,1st Quintile,Yes,0.16353,1075,4526,0.15276,0.17431
2011,1st Quintile,No,0.65383,3451,4526,0.63997,0.66769
2011,2nd Quintile,Yes,0.03340,235,4436,0.02811,0.03869
2011,2nd Quintile,No,0.78994,4201,4436,0.77795,0.80193
2011,3rd Quintile,Yes,0.02244,121,4100,0.01791,0.02698
2011,3rd Quintile,No,0.81893,3979,4100,0.80714,0.83072
2011,4th Quintile,Yes,0.01552,69,4031,0.01170,0.01933
2011,4th Quintile,No,0.83710,3962,4031,0.82570,0.84851
2011,5th Quintile,Yes,0.01011,57,4798,0.00728,0.01295
2011,5th Quintile,No,0.87973,4741,4798,0.87052,0.88893
2012,1st Quintile,Yes,0.15845,1252,5389,0.14870,0.16820
2012,1st Quintile,No,0.64217,4137,5389,0.62937,0.65497
2012,2nd Quintile,Yes,0.04118,279,4937,0.03563,0.04672
2012,2nd Quintile,No,0.78455,4658,4937,0.77309,0.79602
2012,3rd Quintile,Yes,0.02622,153,4832,0.02171,0.03072
2012,3rd Quintile,No,0.80574,4679,4832,0.79458,0.81690
2012,4th Quintile,Yes,0.01309,75,4780,0.00986,0.01631
2012,4th Quintile,No,0.83984,4705,4780,0.82944,0.85024
2012,5th Quintile,Yes,0.00768,48,5248,0.00532,0.01005
2012,5th Quintile,No,0.88125,5200,5248,0.87250,0.89000
2013,1st Quintile,Yes,0.15947,1198,5191,0.14951,0.16943
2013,1st Quintile,No,0.65716,3993,5191,0.64425,0.67007
2013,2nd Quintile,Yes,0.03756,279,5193,0.03238,0.04273
2013,2nd Quintile,No,0.79581,4914,5193,0.78485,0.80678
2013,3rd Quintile,Yes,0.02741,159,4933,0.02285,0.03197
2013,3rd Quintile,No,0.81528,4774,4933,0.80445,0.82611
2013,4th Quintile,Yes,0.01344,79,4890,0.01021,0.01667
2013,4th Quintile,No,0.85177,4811,4890,0.84181,0.86173
2013,5th Quintile,Yes,0.00645,44,5470,0.00433,0.00857
2013,5th Quintile,No,0.89197,5426,5470,0.88374,0.90020
2014,1st Quintile,Yes,0.15848,1349,5797,0.14908,0.16788
2014,1st Quintile,No,0.63219,4448,5797,0.61978,0.64461
2014,2nd Quintile,Yes,0.04855,320,5524,0.04288,0.05422
2014,2nd Quintile,No,0.77049,5204,5524,0.75940,0.78158
2014,3rd Quintile,Yes,0.02123,159,5180,0.01730,0.02516
2014,3rd Quintile,No,0.82206,5021,5180,0.81164,0.83247
2014,4th Quintile,Yes,0.01485,95,5161,0.01155,0.01815
2014,4th Quintile,No,0.84821,5066,5161,0.83842,0.85800
2014,5th Quintile,Yes,0.01027,61,5407,0.00758,0.01296
2014,5th Quintile,No,0.88719,5346,5407,0.87875,0.89562
2015,1st Quintile,Yes,0.16887,1167,5052,0.15853,0.17920
2015,1st Quintile,No,0.63309,3885,5052,0.61980,0.64638
2015,2nd Quintile,Yes,0.04068,290,5295,0.03536,0.04600
2015,2nd Quintile,No,0.78816,5005,5295,0.77715,0.79917
2015,3rd Quintile,Yes,0.02097,139,4894,0.01696,0.02498
2015,3rd Quintile,No,0.81934,4755,4894,0.80856,0.83012
2015,4th Quintile,Yes,0.01246,66,4779,0.00932,0.01561
2015,4th Quintile,No,0.85247,4713,4779,0.84242,0.86253
2015,5th Quintile,Yes,0.00915,54,5108,0.00654,0.01176
2015,5th Quintile,No,0.88840,5054,5108,0.87977,0.89704
2016,1st Quintile,Yes,0.17188,1189,5023,0.16144,0.18231
2016,1st Quintile,No,0.61656,3834,5023,0.60311,0.63001
2016,2nd Quintile,Yes,0.04062,262,5162,0.03523,0.04600
2016,2nd Quintile,No,0.78310,4900,5162,0.77186,0.79434
2016,3rd Quintile,Yes,0.01267,105,4660,0.00946,0.01588
2016,3rd Quintile,No,0.82285,4555,4660,0.81189,0.83381
2016,4th Quintile,Yes,0.01097,65,4597,0.00796,0.01398
2016,4th Quintile,No,0.85618,4532,4597,0.84604,0.86633
2016,5th Quintile,Yes,0.01134,53,4835,0.00836,0.01433
2016,5th Quintile,No,0.88556,4782,4835,0.87658,0.89453
2017,1st Quintile,Yes,0.16028,1742,6176,0.15113,0.16943
2017,1st Quintile,No,0.62246,4434,6176,0.61037,0.63455
2017,2nd Quintile,Yes,0.03162,279,4951,0.02674,0.03649
2017,2nd Quintile,No,0.79864,4672,4951,0.78747,0.80981
2017,3rd Quintile,Yes,0.01555,112,4437,0.01191,0.01919
2017,3rd Quintile,No,0.82146,4325,4437,0.81019,0.83273
2017,4th Quintile,Yes,0.01046,55,4341,0.00744,0.01349
2017,4th Quintile,No,0.86594,4286,4341,0.85581,0.87608
2017,5th Quintile,Yes,0.00785,40,4554,0.00528,0.01041
2017,5th Quintile,No,0.88462,4514,4554,0.87534,0.89390
2018,1st Quintile,Yes,0.15622,1894,7082,0.14776,0.16468
2018,1st Quintile,No,0.63512,5188,7082,0.62391,0.64634
2018,2nd Quintile,Yes,0.03075,362,5449,0.02617,0.03534
2018,2nd Quintile,No,0.79232,5087,5449,0.78155,0.80309
2018,3rd Quintile,Yes,0.01412,124,4828,0.01079,0.01745
2018,3rd Quintile,No,0.82960,4704,4828,0.81899,0.84020
2018,4th Quintile,Yes,0.01230,83,4642,0.00913,0.01547
2018,4th Quintile,No,0.85508,4559,4642,0.84495,0.86521
2018,5th Quintile,Yes,0.00704,52,5095,0.00474,0.00933
2018,5th Quintile,No,0.88782,5043,5095,0.87915,0.89649
2019,1st Quintile,Yes,0.14480,1999,7016,0.13656,0.15303
2019,1st Quintile,No,0.64228,5017,7016,0.63106,0.65349
2019,2nd Quintile,Yes,0.02689,256,4928,0.02238,0.03141
2019,2nd Quintile,No,0.79252,4672,4928,0.78120,0.80385
2019,3rd Quintile,Yes,0.01409,90,4528,0.01066,0.01752
2019,3rd Quintile,No,0.82427,4438,4528,0.81318,0.83535
2019,4th Quintile,Yes,0.01478,49,4275,0.01116,0.01839
2019,4th Quintile,No,0.84197,4226,4275,0.83104,0.85291
2019,5th Quintile,Yes,0.00722,43,4787,0.00483,0.00962
2019,5th Quintile,No,0.89087,4744,4787,0.88204,0.89971
2020,1st Quintile,Yes,0.13272,1563,6620,0.12455,0.14089
2020,1st Quintile,No,0.66273,5057,6620,0.65134,0.67412
2020,2nd Quintile,Yes,0.03464,254,4706,0.02942,0.03987
2020,2nd Quintile,No,0.77686,4452,4706,0.76496,0.78875
2020,3rd Quintile,Yes,0.01655,79,4408,0.01279,0.02032
2020,3rd Quintile,No,0.82329,4329,4408,0.81202,0.83455
2020,4th Quintile,Yes,0.01215,61,4427,0.00893,0.01538
2020,4th Quintile,No,0.84032,4366,4427,0.82953,0.85111
2020,5th Quintile,Yes,0.01088,49,6005,0.00825,0.01350
2020,5th Quintile,No,0.87316,5956,6005,0.86474,0.88157
2021,1st Quintile,Yes,0.12483,898,4716,0.11539,0.13426
2021,1st Quintile,No,0.66463,3818,4716,0.65116,0.67811
2021,2nd Quintile,Yes,0.03175,192,3596,0.02602,0.03749
2021,2nd Quintile,No,0.77391,3404,3596,0.76023,0.78758
2021,3rd Quintile,Yes,0.01932,76,3051,0.01444,0.02421
2021,3rd Quintile,No,0.80149,2975,3051,0.78733,0.81564
2021,4th Quintile,Yes,0.01013,37,3255,0.00669,0.01357
2021,4th Quintile,No,0.85070,3218,3255,0.83845,0.86294
2021,5th Quintile,Yes,0.01130,50,4315,0.00815,0.01446
2021,5th Quintile,No,0.86431,4265,4315,0.85409,0.87453
