"hlf0633","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1","2018","Westdeutschland","1186","0.0736259646268768","0.0701195356058648","0.0771323936478887"
"1","2018","Ostdeutschland","270","0.0664142297043671","0.0594810262719388","0.0733474331367953"
"2","2018","Westdeutschland","1510","0.0863741038962962","0.0826024455634305","0.0901457622291619"
"2","2018","Ostdeutschland","425","0.087197535727578","0.0793421634929366","0.0950529079622195"
"3","2018","Westdeutschland","1661","0.109433520694757","0.105242066503015","0.113624974886499"
"3","2018","Ostdeutschland","443","0.105502473995956","0.0969489090870832","0.11405603890483"
"4","2018","Westdeutschland","1450","0.0783734667555182","0.0747650359671499","0.0819818975438864"
"4","2018","Ostdeutschland","398","0.0726106040040152","0.0653852796285025","0.0798359283795279"
"5","2018","Westdeutschland","3601","0.173221707644646","0.168140674163519","0.178302741125772"
"5","2018","Ostdeutschland","925","0.19820288993527","0.18710313229633","0.20930264757421"
"6","2018","Westdeutschland","1417","0.0624957006025287","0.0592458150236275","0.0657455861814299"
"6","2018","Ostdeutschland","357","0.0746740669451352","0.0673549526202502","0.0819931812700202"
"7","2018","Westdeutschland","1776","0.0786399590735338","0.075025921261073","0.0822539968859946"
"7","2018","Ostdeutschland","387","0.0918737327274882","0.0838311588067082","0.0999163066482682"
"8","2018","Westdeutschland","1641","0.0664158927513792","0.0630726408636203","0.0697591446391381"
"8","2018","Ostdeutschland","329","0.0662251456711881","0.0593011177572687","0.0731491735851076"
"9","2018","Westdeutschland","544","0.0167578385821015","0.0150344007823901","0.0184812763818129"
"9","2018","Ostdeutschland","112","0.0190271402719612","0.0152231314312739","0.0228311491126484"
"10","2018","Westdeutschland","939","0.0294077900791768","0.027139461515537","0.0316761186428166"
"10","2018","Ostdeutschland","187","0.0180545617576396","0.0143472132326201","0.0217619102826592"
"0","2019","Westdeutschland","","","",""
"0","2019","Ostdeutschland","","","",""
"1","2019","Westdeutschland","","","",""
"1","2019","Ostdeutschland","","","",""
"2","2019","Westdeutschland","","","",""
"2","2019","Ostdeutschland","","","",""
"3","2019","Westdeutschland","","","",""
"3","2019","Ostdeutschland","","","",""
"4","2019","Westdeutschland","","","",""
"4","2019","Ostdeutschland","","","",""
"5","2019","Westdeutschland","","","",""
"5","2019","Ostdeutschland","","","",""
"6","2019","Westdeutschland","","","",""
"6","2019","Ostdeutschland","","","",""
"7","2019","Westdeutschland","","","",""
"7","2019","Ostdeutschland","","","",""
"8","2019","Westdeutschland","","","",""
"8","2019","Ostdeutschland","","","",""
"9","2019","Westdeutschland","","","",""
"9","2019","Ostdeutschland","","","",""
"10","2019","Westdeutschland","","","",""
"10","2019","Ostdeutschland","","","",""
"0","2020","Westdeutschland","2851","0.199686468366606","0.193393252470892","0.205979684262321"
"0","2020","Ostdeutschland","872","0.221699680905742","0.209011078304108","0.234388283507377"
"1","2020","Westdeutschland","1104","0.0777414916156324","0.0735262642726229","0.0819567189586418"
"1","2020","Ostdeutschland","277","0.0738561389795101","0.06586718013806","0.0818450978209602"
"2","2020","Westdeutschland","1500","0.104667984740193","0.0998488705047318","0.109487098975654"
"2","2020","Ostdeutschland","464","0.10935132847343","0.0998184753547903","0.118884181592069"
"3","2020","Westdeutschland","1520","0.105950100887336","0.101105033749353","0.110795168025319"
"3","2020","Ostdeutschland","409","0.090598106588473","0.0818302155250286","0.0993659976519173"
"4","2020","Westdeutschland","1200","0.0843266176427578","0.0799521937159696","0.0887010415695461"
"4","2020","Ostdeutschland","338","0.09320166366715","0.0843214207251756","0.102081906609124"
"5","2020","Westdeutschland","2859","0.176105510561479","0.170109111813034","0.182101909309925"
"5","2020","Ostdeutschland","725","0.173774543839228","0.162200102935481","0.185348984742976"
"6","2020","Westdeutschland","1194","0.0776908698994601","0.0734768995166473","0.0819048402822729"
"6","2020","Ostdeutschland","344","0.0739379441648909","0.0659449151782868","0.081930973151495"
"7","2020","Westdeutschland","1410","0.0765446295676761","0.0723592625134184","0.0807299966219338"
"7","2020","Ostdeutschland","287","0.0623607512550205","0.0549743785811503","0.0697471239288907"
"8","2020","Westdeutschland","1083","0.0545212447545631","0.0509470599713353","0.0580954295377908"
"8","2020","Ostdeutschland","236","0.064741626672317","0.0572251335635283","0.0722581197811057"
"9","2020","Westdeutschland","343","0.0192253047425769","0.0170636343449763","0.0213869751401775"
"9","2020","Ostdeutschland","60","0.012849129064925","0.00940890864162619","0.0162893494882239"
"10","2020","Westdeutschland","437","0.0235397772217186","0.0211530835293742","0.0259264709140631"
"10","2020","Ostdeutschland","105","0.0236290863893134","0.0189894009303548","0.0282687718482719"
