year,regtyp,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Urban regions,West,No,0.95354,3502,3703,0.94677,0.96032
1997,Urban regions,East,Yes,0.09837,57,631,0.07512,0.12163
1997,Urban regions,East,No,0.90163,574,631,0.87837,0.92488
1997,Rural regions,West,Yes,0.05452,55,1011,0.04052,0.06852
1997,Rural regions,West,No,0.94237,956,1011,0.92800,0.95674
1997,Rural regions,East,Yes,0.10308,112,1186,0.08577,0.12039
1997,Rural regions,East,No,0.89103,1074,1186,0.87328,0.90877
1998,Urban regions,West,Yes,0.04682,216,4264,0.04048,0.05316
1998,Urban regions,West,No,0.95028,4048,4264,0.94375,0.95681
1998,Urban regions,East,Yes,0.11263,62,649,0.08829,0.13697
1998,Urban regions,East,No,0.88620,587,649,0.86175,0.91065
1998,Rural regions,West,Yes,0.04978,64,1182,0.03738,0.06219
1998,Rural regions,West,No,0.94753,1118,1182,0.93482,0.96025
1998,Rural regions,East,Yes,0.09529,117,1308,0.07937,0.11121
1998,Rural regions,East,No,0.90372,1191,1308,0.88773,0.91971
1999,Urban regions,West,Yes,0.04518,199,4053,0.03879,0.05158
1999,Urban regions,West,No,0.94777,3854,4053,0.94092,0.95462
1999,Urban regions,East,Yes,0.09549,51,641,0.07272,0.11826
1999,Urban regions,East,No,0.90302,590,641,0.88009,0.92595
1999,Rural regions,West,Yes,0.04763,60,1134,0.03523,0.06003
1999,Rural regions,West,No,0.94470,1074,1134,0.93139,0.95801
1999,Rural regions,East,Yes,0.11298,135,1281,0.09563,0.13032
1999,Rural regions,East,No,0.88147,1146,1281,0.86376,0.89917
2000,Urban regions,West,Yes,0.03964,305,7579,0.03525,0.04404
2000,Urban regions,West,No,0.95856,7274,7579,0.95407,0.96305
2000,Urban regions,East,Yes,0.08477,83,1006,0.06755,0.10199
2000,Urban regions,East,No,0.91465,923,1006,0.89738,0.93193
2000,Rural regions,West,Yes,0.03978,95,2277,0.03175,0.04781
2000,Rural regions,West,No,0.95730,2182,2277,0.94899,0.96561
2000,Rural regions,East,Yes,0.09763,194,2065,0.08482,0.11043
2000,Rural regions,East,No,0.90044,1871,2065,0.88752,0.91336
2001,Urban regions,West,Yes,0.04570,318,6804,0.04074,0.05066
2001,Urban regions,West,No,0.95040,6486,6804,0.94524,0.95556
2001,Urban regions,East,Yes,0.10772,96,954,0.08804,0.12740
2001,Urban regions,East,No,0.89183,858,954,0.87212,0.91155
2001,Rural regions,West,Yes,0.04342,92,2005,0.03450,0.05234
2001,Rural regions,West,No,0.95398,1913,2005,0.94480,0.96315
2001,Rural regions,East,Yes,0.10126,186,1885,0.08764,0.11488
2001,Rural regions,East,No,0.89745,1699,1885,0.88375,0.91115
2002,Urban regions,West,Yes,0.04388,289,7273,0.03918,0.04859
2002,Urban regions,West,No,0.95205,6984,7273,0.94714,0.95696
2002,Urban regions,East,Yes,0.10578,89,959,0.08630,0.12526
2002,Urban regions,East,No,0.89346,870,959,0.87392,0.91299
2002,Rural regions,West,Yes,0.04836,87,2078,0.03913,0.05759
2002,Rural regions,West,No,0.95124,1991,2078,0.94198,0.96050
2002,Rural regions,East,Yes,0.09265,164,1878,0.07954,0.10577
2002,Rural regions,East,No,0.90539,1714,1878,0.89215,0.91864
2003,Urban regions,West,Yes,0.04898,301,7006,0.04393,0.05404
2003,Urban regions,West,No,0.94745,6705,7006,0.94222,0.95267
2003,Urban regions,East,Yes,0.12056,94,955,0.09990,0.14123
2003,Urban regions,East,No,0.87635,861,955,0.85546,0.89724
2003,Rural regions,West,Yes,0.05313,93,1973,0.04323,0.06303
2003,Rural regions,West,No,0.94506,1880,1973,0.93500,0.95511
2003,Rural regions,East,Yes,0.09233,169,1847,0.07912,0.10554
2003,Rural regions,East,No,0.90767,1678,1847,0.89446,0.92088
2004,Urban regions,West,Yes,0.05471,316,6816,0.04931,0.06011
2004,Urban regions,West,No,0.94299,6500,6816,0.93748,0.94849
2004,Urban regions,East,Yes,0.13291,97,950,0.11131,0.15451
2004,Urban regions,East,No,0.86180,853,950,0.83984,0.88376
2004,Rural regions,West,Yes,0.05189,99,1950,0.04204,0.06174
2004,Rural regions,West,No,0.94555,1851,1950,0.93547,0.95562
2004,Rural regions,East,Yes,0.11604,194,1804,0.10125,0.13082
2004,Rural regions,East,No,0.88334,1610,1804,0.86852,0.89816
2005,Urban regions,West,Yes,0.05929,308,6604,0.05359,0.06499
2005,Urban regions,West,No,0.93844,6296,6604,0.93264,0.94424
2005,Urban regions,East,Yes,0.12533,93,934,0.10408,0.14657
2005,Urban regions,East,No,0.86448,841,934,0.84252,0.88644
2005,Rural regions,West,Yes,0.05447,94,1891,0.04423,0.06470
2005,Rural regions,West,No,0.94346,1797,1891,0.93304,0.95387
2005,Rural regions,East,Yes,0.12139,187,1749,0.10608,0.13670
2005,Rural regions,East,No,0.87628,1562,1749,0.86084,0.89171
2006,Urban regions,West,Yes,0.04174,252,7162,0.03711,0.04637
2006,Urban regions,West,No,0.95543,6910,7162,0.95065,0.96021
2006,Urban regions,East,Yes,0.09380,80,989,0.07562,0.11198
2006,Urban regions,East,No,0.89936,909,989,0.88060,0.91812
2006,Rural regions,West,Yes,0.03211,63,2159,0.02467,0.03954
2006,Rural regions,West,No,0.96607,2096,2159,0.95843,0.97371
2006,Rural regions,East,Yes,0.09659,165,1928,0.08340,0.10978
2006,Rural regions,East,No,0.89597,1763,1928,0.88234,0.90960
2007,Urban regions,West,Yes,0.03662,202,6649,0.03210,0.04113
2007,Urban regions,West,No,0.95931,6447,6649,0.95456,0.96406
2007,Urban regions,East,Yes,0.09923,68,942,0.08012,0.11833
2007,Urban regions,East,No,0.90021,874,942,0.88106,0.91936
2007,Rural regions,West,Yes,0.03617,63,2023,0.02803,0.04431
2007,Rural regions,West,No,0.96176,1960,2023,0.95340,0.97012
2007,Rural regions,East,Yes,0.08219,139,1812,0.06954,0.09484
2007,Rural regions,East,No,0.91498,1673,1812,0.90214,0.92783
2008,Urban regions,West,Yes,0.03678,193,6261,0.03212,0.04144
2008,Urban regions,West,No,0.96279,6068,6261,0.95810,0.96748
2008,Urban regions,East,Yes,0.06038,48,928,0.04505,0.07571
2008,Urban regions,East,No,0.93962,880,928,0.92429,0.95495
2008,Rural regions,West,Yes,0.03216,54,1909,0.02424,0.04007
2008,Rural regions,West,No,0.96784,1855,1909,0.95993,0.97576
2008,Rural regions,East,Yes,0.06597,108,1722,0.05424,0.07769
2008,Rural regions,East,No,0.93363,1614,1722,0.92187,0.94539
2009,Urban regions,West,Yes,0.03289,166,5764,0.02829,0.03750
2009,Urban regions,West,No,0.95712,5598,5764,0.95189,0.96235
2009,Urban regions,East,Yes,0.07304,57,883,0.05587,0.09022
2009,Urban regions,East,No,0.90029,826,883,0.88052,0.92007
2009,Rural regions,West,Yes,0.02673,49,1805,0.01929,0.03418
2009,Rural regions,West,No,0.95914,1756,1805,0.95001,0.96828
2009,Rural regions,East,Yes,0.06249,102,1646,0.05079,0.07418
2009,Rural regions,East,No,0.92756,1544,1646,0.91503,0.94009
2010,Urban regions,West,Yes,0.03155,381,7964,0.02771,0.03539
2010,Urban regions,West,No,0.96817,7583,7964,0.96432,0.97203
2010,Urban regions,East,Yes,0.06778,84,1121,0.05306,0.08250
2010,Urban regions,East,No,0.93222,1037,1121,0.91750,0.94694
2010,Rural regions,West,Yes,0.02453,136,2672,0.01866,0.03040
2010,Rural regions,West,No,0.97423,2536,2672,0.96822,0.98024
2010,Rural regions,East,Yes,0.06905,155,2036,0.05804,0.08007
2010,Rural regions,East,No,0.92639,1881,2036,0.91504,0.93773
2011,Urban regions,West,Yes,0.03158,495,9270,0.02802,0.03514
2011,Urban regions,West,No,0.94652,8775,9270,0.94194,0.95110
2011,Urban regions,East,Yes,0.05335,116,1300,0.04113,0.06557
2011,Urban regions,East,No,0.91285,1184,1300,0.89751,0.92818
2011,Rural regions,West,Yes,0.02218,186,3388,0.01722,0.02714
2011,Rural regions,West,No,0.95846,3202,3388,0.95174,0.96518
2011,Rural regions,East,Yes,0.05940,212,2359,0.04986,0.06894
2011,Rural regions,East,No,0.91029,2147,2359,0.89875,0.92182
2012,Urban regions,West,Yes,0.02880,430,8981,0.02534,0.03226
2012,Urban regions,West,No,0.94923,8551,8981,0.94469,0.95377
2012,Urban regions,East,Yes,0.04422,103,1270,0.03291,0.05554
2012,Urban regions,East,No,0.91648,1167,1270,0.90126,0.93170
2012,Rural regions,West,Yes,0.02421,182,3381,0.01902,0.02939
2012,Rural regions,West,No,0.95015,3199,3381,0.94282,0.95749
2012,Rural regions,East,Yes,0.05681,201,2346,0.04744,0.06618
2012,Rural regions,East,No,0.91200,2145,2346,0.90054,0.92347
2013,Urban regions,West,Yes,0.02405,428,10361,0.02110,0.02700
2013,Urban regions,West,No,0.95372,9933,10361,0.94967,0.95777
2013,Urban regions,East,Yes,0.03928,82,1283,0.02864,0.04991
2013,Urban regions,East,No,0.93049,1201,1283,0.91657,0.94441
2013,Rural regions,West,Yes,0.02474,171,3613,0.01968,0.02981
2013,Rural regions,West,No,0.95002,3442,3613,0.94292,0.95713
2013,Rural regions,East,Yes,0.05603,191,2285,0.04660,0.06547
2013,Rural regions,East,No,0.91509,2094,2285,0.90365,0.92652
2014,Urban regions,West,Yes,0.02528,351,9112,0.02206,0.02850
2014,Urban regions,West,No,0.96376,8761,9112,0.95992,0.96760
2014,Urban regions,East,Yes,0.03745,75,1215,0.02677,0.04814
2014,Urban regions,East,No,0.96230,1140,1215,0.95159,0.97302
2014,Rural regions,West,Yes,0.02261,138,3231,0.01749,0.02774
2014,Rural regions,West,No,0.95952,3093,3231,0.95273,0.96632
2014,Rural regions,East,Yes,0.04596,135,2142,0.03709,0.05483
2014,Rural regions,East,No,0.94422,2007,2142,0.93450,0.95394
2015,Urban regions,West,Yes,0.02052,289,8983,0.01759,0.02345
2015,Urban regions,West,No,0.95346,8694,8983,0.94910,0.95781
2015,Urban regions,East,Yes,0.03874,50,1175,0.02770,0.04978
2015,Urban regions,East,No,0.92257,1125,1175,0.90728,0.93786
2015,Rural regions,West,Yes,0.01770,108,3210,0.01314,0.02226
2015,Rural regions,West,No,0.93948,3102,3210,0.93123,0.94773
2015,Rural regions,East,Yes,0.03896,112,2008,0.03049,0.04742
2015,Rural regions,East,No,0.90870,1896,2008,0.89609,0.92130
2016,Urban regions,West,Yes,0.02096,254,8186,0.01786,0.02407
2016,Urban regions,West,No,0.96428,7932,8186,0.96026,0.96830
2016,Urban regions,East,Yes,0.02454,36,1110,0.01543,0.03365
2016,Urban regions,East,No,0.95111,1074,1110,0.93842,0.96380
2016,Rural regions,West,Yes,0.01867,89,2932,0.01377,0.02357
2016,Rural regions,West,No,0.95222,2843,2932,0.94449,0.95994
2016,Rural regions,East,Yes,0.03423,91,1923,0.02610,0.04236
2016,Rural regions,East,No,0.93799,1832,1923,0.92721,0.94877
2017,Urban regions,West,Yes,0.01868,321,10075,0.01603,0.02132
2017,Urban regions,West,No,0.96916,9754,10075,0.96578,0.97253
2017,Urban regions,East,Yes,0.03687,44,1348,0.02680,0.04693
2017,Urban regions,East,No,0.94568,1304,1348,0.93357,0.95778
2017,Rural regions,West,Yes,0.01726,123,3579,0.01299,0.02153
2017,Rural regions,West,No,0.97044,3456,3579,0.96489,0.97599
2017,Rural regions,East,Yes,0.03653,112,2341,0.02893,0.04413
2017,Rural regions,East,No,0.94646,2229,2341,0.93734,0.95558
2018,Urban regions,West,Yes,0.01985,517,10441,0.01717,0.02252
2018,Urban regions,West,No,0.97491,9924,10441,0.97191,0.97791
2018,Urban regions,East,Yes,0.03807,57,1407,0.02807,0.04807
2018,Urban regions,East,No,0.94427,1350,1407,0.93228,0.95626
2018,Rural regions,West,Yes,0.02101,171,3547,0.01629,0.02573
2018,Rural regions,West,No,0.96375,3376,3547,0.95759,0.96990
2018,Rural regions,East,Yes,0.03407,131,2341,0.02672,0.04141
2018,Rural regions,East,No,0.94954,2210,2341,0.94067,0.95841
2019,Urban regions,West,Yes,0.02298,338,10495,0.02011,0.02585
2019,Urban regions,West,No,0.96895,10157,10495,0.96563,0.97227
2019,Urban regions,East,Yes,0.02237,41,1416,0.01467,0.03008
2019,Urban regions,East,No,0.94965,1375,1416,0.93826,0.96104
2019,Rural regions,West,Yes,0.02472,137,3547,0.01961,0.02983
2019,Rural regions,West,No,0.97064,3410,3547,0.96508,0.97619
2019,Rural regions,East,Yes,0.03565,95,2392,0.02822,0.04308
2019,Rural regions,East,No,0.95011,2297,2392,0.94138,0.95884
2020,Urban regions,West,Yes,0.02014,376,11705,0.01759,0.02268
2020,Urban regions,West,No,0.95990,11329,11705,0.95634,0.96345
2020,Urban regions,East,Yes,0.02461,38,1512,0.01680,0.03242
2020,Urban regions,East,No,0.94655,1474,1512,0.93521,0.95789
2020,Rural regions,West,Yes,0.01819,102,3582,0.01381,0.02257
2020,Rural regions,West,No,0.96735,3480,3582,0.96153,0.97317
2020,Rural regions,East,Yes,0.02777,76,2282,0.02103,0.03452
2020,Rural regions,East,No,0.95422,2206,2282,0.94564,0.96279
2021,Urban regions,West,Yes,0.01955,300,7533,0.01643,0.02268
2021,Urban regions,West,No,0.97030,7233,7533,0.96647,0.97414
2021,Urban regions,East,No,0.96557,997,997,0.95424,0.97689
2021,Rural regions,West,Yes,0.01547,66,2370,0.01050,0.02044
2021,Rural regions,West,No,0.97791,2304,2370,0.97199,0.98383
2021,Rural regions,East,Yes,0.02347,47,1544,0.01591,0.03102
2021,Rural regions,East,No,0.96405,1497,1544,0.95477,0.97334
2022,Urban regions,West,Yes,0.01746,307,12233,0.01514,0.01978
2022,Urban regions,West,No,0.96735,11926,12233,0.96420,0.97050
2022,Urban regions,East,Yes,0.02245,37,1718,0.01545,0.02946
2022,Urban regions,East,No,0.94210,1681,1718,0.93106,0.95315
2022,Rural regions,West,Yes,0.01760,85,3620,0.01332,0.02189
2022,Rural regions,West,No,0.96405,3535,3620,0.95799,0.97012
2022,Rural regions,East,Yes,0.02867,70,2601,0.02226,0.03509
2022,Rural regions,East,No,0.95130,2531,2601,0.94303,0.95957
