,Unnamed: 0,year,quintil_oecd_hh,sampreg,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
98,98,1994,5th Quintile,West,No,1.0,1004,6410,0.95822,1.038
99,99,1994,5th Quintile,East,No,1.0,114,6410,0.90129,1.12029
100,100,1995,1st Quintile,West,Yes,0.21338,208,6639,0.18854,0.24002
101,101,1995,1st Quintile,West,No,0.78662,720,6639,0.74081,0.83951
102,102,1995,1st Quintile,East,Yes,0.42434,193,6639,0.39025,0.45884
103,103,1995,1st Quintile,East,No,0.57566,269,6639,0.53745,0.6171
104,104,1995,2nd Quintile,West,Yes,0.05219,48,6639,0.04215,0.06279
105,105,1995,2nd Quintile,West,No,0.94781,881,6639,0.89663,0.99728
106,106,1995,2nd Quintile,East,Yes,0.10153,57,6639,0.08611,0.1184
107,107,1995,2nd Quintile,East,No,0.89847,479,6639,0.84686,0.94897
108,108,1995,3rd Quintile,West,No,1.0,983,6639,0.95012,1.04271
109,109,1995,3rd Quintile,East,No,1.0,388,6639,0.94357,1.06514
110,110,1995,4th Quintile,West,No,1.0,989,6639,0.94916,1.04567
111,111,1995,4th Quintile,East,No,1.0,285,6639,0.92727,1.07684
112,112,1995,5th Quintile,West,No,1.0,1007,6639,0.95497,1.04139
113,113,1995,5th Quintile,East,No,1.0,132,6639,0.88769,1.11414
114,114,1996,1st Quintile,West,Yes,0.19961,197,6573,0.17314,0.22358
115,115,1996,1st Quintile,West,No,0.80039,736,6573,0.75526,0.85441
116,116,1996,1st Quintile,East,Yes,0.32563,144,6573,0.29603,0.35763
117,117,1996,1st Quintile,East,No,0.67437,294,6573,0.63783,0.71939
118,118,1996,2nd Quintile,West,Yes,0.04434,46,6573,0.03323,0.05618
119,119,1996,2nd Quintile,West,No,0.95566,890,6573,0.90537,1.00208
120,120,1996,2nd Quintile,East,Yes,0.05697,36,6573,0.04608,0.07073
121,121,1996,2nd Quintile,East,No,0.94303,475,6573,0.89839,0.9923
122,122,1996,3rd Quintile,West,No,1.0,936,6573,0.95179,1.04649
123,123,1996,3rd Quintile,East,No,1.0,432,6573,0.93532,1.05009
124,124,1996,4th Quintile,West,No,1.0,1010,6573,0.95987,1.04991
125,125,1996,4th Quintile,East,No,1.0,279,6573,0.92586,1.08701
126,126,1996,5th Quintile,West,No,1.0,943,6573,0.95555,1.04427
127,127,1996,5th Quintile,East,No,1.0,155,6573,0.88635,1.10778
128,128,1997,1st Quintile,West,Yes,0.1938,196,6470,0.16863,0.21813
129,129,1997,1st Quintile,West,No,0.8062,687,6470,0.7676,0.87445
130,130,1997,1st Quintile,East,Yes,0.28938,127,6470,0.25926,0.32013
131,131,1997,1st Quintile,East,No,0.71062,306,6470,0.66838,0.76429
132,132,1997,2nd Quintile,West,Yes,0.0404,41,6470,0.02912,0.0503
133,133,1997,2nd Quintile,West,No,0.9596,890,6470,0.90132,1.0127
134,134,1997,2nd Quintile,East,No,1.0,486,6470,0.94246,1.05354
135,135,1997,3rd Quintile,West,No,1.0,932,6470,0.94662,1.05486
136,136,1997,3rd Quintile,East,No,1.0,401,6470,0.952,1.06232
137,137,1997,4th Quintile,West,No,1.0,987,6470,0.95401,1.05079
138,138,1997,4th Quintile,East,No,1.0,303,6470,0.93412,1.06872
139,139,1997,5th Quintile,West,No,1.0,962,6470,0.95858,1.0395
140,140,1997,5th Quintile,East,No,1.0,152,6470,0.88444,1.12788
141,141,1998,1st Quintile,West,Yes,0.1912,204,7336,0.16965,0.20836
142,142,1998,1st Quintile,West,No,0.8088,848,7336,0.77362,0.85019
143,143,1998,1st Quintile,East,Yes,0.32409,140,7336,0.29405,0.35781
144,144,1998,1st Quintile,East,No,0.67591,299,7336,0.63516,0.72085
145,145,1998,2nd Quintile,West,Yes,0.04304,52,7336,0.03411,0.05524
146,146,1998,2nd Quintile,West,No,0.95696,1034,7336,0.92051,1.00101
147,147,1998,2nd Quintile,East,No,1.0,481,7336,0.94625,1.05882
148,148,1998,3rd Quintile,West,No,1.0,1028,7336,0.95383,1.04033
149,149,1998,3rd Quintile,East,No,1.0,477,7336,0.94417,1.0564
150,150,1998,4th Quintile,West,No,1.0,1119,7336,0.96302,1.03655
151,151,1998,4th Quintile,East,No,1.0,343,7336,0.93768,1.0715
152,152,1998,5th Quintile,West,No,1.0,1133,7336,0.96766,1.03671
153,153,1998,5th Quintile,East,No,1.0,178,7336,0.91342,1.11549
154,154,1999,1st Quintile,West,Yes,0.18933,195,7052,0.17027,0.20977
155,155,1999,1st Quintile,West,No,0.81067,789,7052,0.77278,0.85952
156,156,1999,1st Quintile,East,Yes,0.32476,152,7052,0.29387,0.35548
157,157,1999,1st Quintile,East,No,0.67524,326,7052,0.62593,0.72064
158,158,1999,2nd Quintile,West,Yes,0.04365,41,7052,0.03148,0.05643
159,159,1999,2nd Quintile,West,No,0.95635,955,7052,0.91616,1.00541
160,160,1999,2nd Quintile,East,No,1.0,509,7052,0.95302,1.04824
161,161,1999,3rd Quintile,West,No,1.0,1022,7052,0.95087,1.04359
162,162,1999,3rd Quintile,East,No,1.0,457,7052,0.93648,1.0483
163,163,1999,4th Quintile,West,No,1.0,1082,7052,0.95952,1.04309
164,164,1999,4th Quintile,East,No,1.0,292,7052,0.94256,1.06524
165,165,1999,5th Quintile,West,No,1.0,1080,7052,0.96043,1.03739
166,166,1999,5th Quintile,East,No,1.0,152,7052,0.90394,1.12215
167,167,2000,1st Quintile,West,Yes,0.16523,304,12868,0.15434,0.17715
168,168,2000,1st Quintile,West,No,0.83477,1490,12868,0.81427,0.85801
169,169,2000,1st Quintile,East,Yes,0.28672,220,12868,0.26672,0.31069
170,170,2000,1st Quintile,East,No,0.71328,518,12868,0.68573,0.74428
171,171,2000,2nd Quintile,West,Yes,0.0351,67,12868,0.02939,0.04046
172,172,2000,2nd Quintile,West,No,0.9649,1785,12868,0.94138,0.98918
173,173,2000,2nd Quintile,East,Yes,0.03598,33,12868,0.02886,0.04145
174,174,2000,2nd Quintile,East,No,0.96402,828,12868,0.93531,0.99726
175,175,2000,3rd Quintile,West,No,1.0,1908,12868,0.97676,1.02122
176,176,2000,3rd Quintile,East,No,1.0,731,12868,0.96298,1.03387
177,177,2000,4th Quintile,West,No,1.0,2100,12868,0.97674,1.02393
178,178,2000,4th Quintile,East,No,1.0,456,12868,0.95761,1.05844
179,179,2000,5th Quintile,West,No,1.0,2168,12868,0.97902,1.02039
180,180,2000,5th Quintile,East,No,1.0,260,12868,0.92786,1.08001
181,181,2001,1st Quintile,West,Yes,0.18528,298,11589,0.17366,0.19881
182,182,2001,1st Quintile,West,No,0.81472,1214,11589,0.78492,0.84182
183,183,2001,1st Quintile,East,Yes,0.30588,219,11589,0.28204,0.32965
184,184,2001,1st Quintile,East,No,0.69412,464,11589,0.66086,0.73373
185,185,2001,2nd Quintile,West,Yes,0.04315,76,11589,0.03675,0.04975
186,186,2001,2nd Quintile,West,No,0.95685,1593,11589,0.92471,0.98605
187,187,2001,2nd Quintile,East,Yes,0.05089,42,11589,0.04035,0.06399
188,188,2001,2nd Quintile,East,No,0.94911,744,11589,0.91313,0.98529
189,189,2001,3rd Quintile,West,No,1.0,1756,11589,0.97315,1.02865
190,190,2001,3rd Quintile,East,No,1.0,665,11589,0.96052,1.0455
191,191,2001,4th Quintile,West,No,1.0,1902,11589,0.96977,1.02883
192,192,2001,4th Quintile,East,No,1.0,448,11589,0.9532,1.06311
193,193,2001,5th Quintile,West,No,1.0,1932,11589,0.97324,1.0237
194,194,2001,5th Quintile,East,No,1.0,236,11589,0.92472,1.08299
195,195,2002,1st Quintile,West,Yes,0.1759,263,12117,0.16295,0.18844
196,196,2002,1st Quintile,West,No,0.8241,1153,12117,0.79546,0.85091
197,197,2002,1st Quintile,East,Yes,0.29858,196,12117,0.27211,0.32664
198,198,2002,1st Quintile,East,No,0.70142,461,12117,0.6651,0.74335
199,199,2002,2nd Quintile,West,Yes,0.04548,66,12117,0.03801,0.05263
200,200,2002,2nd Quintile,West,No,0.95452,1460,12117,0.92596,0.98399
201,201,2002,2nd Quintile,East,Yes,0.04431,37,12117,0.03318,0.05582
202,202,2002,2nd Quintile,East,No,0.95569,669,12117,0.91741,0.99603
203,203,2002,3rd Quintile,West,No,1.0,1646,12117,0.96703,1.02844
204,204,2002,3rd Quintile,East,No,1.0,596,12117,0.9541,1.05108
205,205,2002,4th Quintile,West,No,1.0,1843,12117,0.96772,1.03513
206,206,2002,4th Quintile,East,No,1.0,501,12117,0.93641,1.0641
207,207,2002,5th Quintile,West,No,1.0,2873,12117,0.9675,1.03616
208,208,2002,5th Quintile,East,No,1.0,353,12117,0.90337,1.10637
209,209,2003,1st Quintile,West,Yes,0.2113,290,11716,0.19423,0.22569
210,210,2003,1st Quintile,West,No,0.7887,1101,11716,0.75551,0.81489
211,211,2003,1st Quintile,East,Yes,0.31476,196,11716,0.28494,0.35116
212,212,2003,1st Quintile,East,No,0.68524,420,11716,0.64701,0.72301
213,213,2003,2nd Quintile,West,Yes,0.03905,65,11716,0.03274,0.04578
214,214,2003,2nd Quintile,West,No,0.96095,1409,11716,0.92482,0.99101
215,215,2003,2nd Quintile,East,Yes,0.0564,45,11716,0.04532,0.0684
216,216,2003,2nd Quintile,East,No,0.9436,692,11716,0.90028,0.99277
217,217,2003,3rd Quintile,West,No,1.0,1605,11716,0.96812,1.03076
218,218,2003,3rd Quintile,East,No,1.0,618,11716,0.95308,1.05183
219,219,2003,4th Quintile,West,No,1.0,1810,11716,0.96312,1.03188
220,220,2003,4th Quintile,East,No,1.0,452,11716,0.93728,1.0636
221,221,2003,5th Quintile,West,No,1.0,2656,11716,0.97136,1.03183
222,222,2003,5th Quintile,East,No,1.0,357,11716,0.90022,1.09898
223,223,2004,1st Quintile,West,Yes,0.21189,282,11446,0.19689,0.22929
224,224,2004,1st Quintile,West,No,0.78811,1039,11446,0.76147,0.8253
225,225,2004,1st Quintile,East,Yes,0.36028,223,11446,0.33158,0.39002
226,226,2004,1st Quintile,East,No,0.63972,388,11446,0.59789,0.68389
227,227,2004,2nd Quintile,West,Yes,0.05278,84,11446,0.0459,0.06187
228,228,2004,2nd Quintile,West,No,0.94722,1383,11446,0.90982,0.98459
229,229,2004,2nd Quintile,East,Yes,0.07075,46,11446,0.05857,0.08858
230,230,2004,2nd Quintile,East,No,0.92925,668,11446,0.88856,0.97595
231,231,2004,3rd Quintile,West,No,1.0,1549,11446,0.96751,1.03136
232,232,2004,3rd Quintile,East,No,1.0,591,11446,0.95262,1.05884
233,233,2004,4th Quintile,West,No,1.0,1755,11446,0.96765,1.03582
234,234,2004,4th Quintile,East,No,1.0,478,11446,0.93167,1.06627
235,235,2004,5th Quintile,West,No,1.0,2622,11446,0.96392,1.03878
236,236,2004,5th Quintile,East,No,1.0,338,11446,0.90183,1.11072
237,237,2005,1st Quintile,West,Yes,0.23641,290,11114,0.22016,0.25559
238,238,2005,1st Quintile,West,No,0.76359,1017,11114,0.72592,0.79299
239,239,2005,1st Quintile,East,Yes,0.35588,215,11114,0.31869,0.39284
240,240,2005,1st Quintile,East,No,0.64412,424,11114,0.60573,0.69159
241,241,2005,2nd Quintile,West,Yes,0.04844,66,11114,0.03994,0.0577
242,242,2005,2nd Quintile,West,No,0.95156,1331,11114,0.91523,0.98359
243,243,2005,2nd Quintile,East,Yes,0.07144,50,11114,0.05473,0.08954
244,244,2005,2nd Quintile,East,No,0.92856,641,11114,0.8786,0.98109
245,245,2005,3rd Quintile,West,No,1.0,1480,11114,0.96408,1.03476
246,246,2005,3rd Quintile,East,No,1.0,565,11114,0.93793,1.06195
247,247,2005,4th Quintile,West,No,1.0,1744,11114,0.96945,1.0304
248,248,2005,4th Quintile,East,No,1.0,454,11114,0.92717,1.07462
249,249,2005,5th Quintile,West,No,1.0,2519,11114,0.96065,1.03585
250,250,2005,5th Quintile,East,No,1.0,318,11114,0.88373,1.12221
251,251,2006,1st Quintile,West,Yes,0.14451,210,12180,0.13036,0.15794
252,252,2006,1st Quintile,West,No,0.85549,1196,12180,0.81908,0.88438
253,253,2006,1st Quintile,East,Yes,0.26136,174,12180,0.23543,0.28989
254,254,2006,1st Quintile,East,No,0.73864,480,12180,0.6891,0.77621
255,255,2006,2nd Quintile,West,Yes,0.04672,67,12180,0.03968,0.05335
256,256,2006,2nd Quintile,West,No,0.95328,1425,12180,0.91861,0.98637
257,257,2006,2nd Quintile,East,Yes,0.08339,56,12180,0.06811,0.09685
258,258,2006,2nd Quintile,East,No,0.91661,684,12180,0.87132,0.96707
259,259,2006,3rd Quintile,West,No,1.0,1711,12180,0.96523,1.0257
260,260,2006,3rd Quintile,East,No,1.0,664,12180,0.94192,1.04754
261,261,2006,4th Quintile,West,No,1.0,1970,12180,0.97001,1.03139
262,262,2006,4th Quintile,East,No,1.0,497,12180,0.93763,1.07318
263,263,2006,5th Quintile,West,No,1.0,2699,12180,0.96368,1.02972
264,264,2006,5th Quintile,East,No,1.0,347,12180,0.89728,1.09734
265,265,2007,1st Quintile,West,Yes,0.13724,171,11382,0.12455,0.14937
266,266,2007,1st Quintile,West,No,0.86276,1145,11382,0.83019,0.89635
267,267,2007,1st Quintile,East,Yes,0.22631,139,11382,0.20386,0.24882
268,268,2007,1st Quintile,East,No,0.77369,466,11382,0.72706,0.83098
269,269,2007,2nd Quintile,West,Yes,0.04523,69,11382,0.03904,0.05317
270,270,2007,2nd Quintile,West,No,0.95477,1405,11382,0.92026,0.98666
271,271,2007,2nd Quintile,East,Yes,0.09148,53,11382,0.0761,0.11102
272,272,2007,2nd Quintile,East,No,0.90852,608,11382,0.86393,0.96103
273,273,2007,3rd Quintile,West,No,1.0,1544,11382,0.97044,1.03454
274,274,2007,3rd Quintile,East,No,1.0,637,11382,0.94617,1.05659
275,275,2007,4th Quintile,West,No,1.0,1822,11382,0.96471,1.03458
276,276,2007,4th Quintile,East,No,1.0,490,11382,0.91498,1.07325
277,277,2007,5th Quintile,West,No,1.0,2488,11382,0.97054,1.03898
278,278,2007,5th Quintile,East,No,1.0,345,11382,0.89116,1.13737
279,279,2008,1st Quintile,West,Yes,0.12305,161,10748,0.11122,0.13661
280,280,2008,1st Quintile,West,No,0.87695,1112,10748,0.83658,0.90829
281,281,2008,1st Quintile,East,Yes,0.19276,115,10748,0.16988,0.22186
282,282,2008,1st Quintile,East,No,0.80724,483,10748,0.75713,0.86295
283,283,2008,2nd Quintile,West,Yes,0.04795,57,10748,0.03853,0.05629
284,284,2008,2nd Quintile,West,No,0.95205,1273,10748,0.92315,0.98577
285,285,2008,2nd Quintile,East,No,1.0,622,10748,0.92574,1.06817
286,286,2008,3rd Quintile,West,No,1.0,1487,10748,0.96905,1.0356
287,287,2008,3rd Quintile,East,No,1.0,641,10748,0.94808,1.06649
288,288,2008,4th Quintile,West,No,1.0,1696,10748,0.96524,1.03898
289,289,2008,4th Quintile,East,No,1.0,420,10748,0.92846,1.09169
290,290,2008,5th Quintile,West,No,1.0,2353,10748,0.96631,1.0393
291,291,2008,5th Quintile,East,No,1.0,328,10748,0.89417,1.133
292,292,2009,1st Quintile,West,Yes,0.12354,148,10035,0.1106,0.1373
293,293,2009,1st Quintile,West,No,0.87646,1037,10035,0.84734,0.91151
294,294,2009,1st Quintile,East,Yes,0.19517,120,10035,0.16854,0.22418
295,295,2009,1st Quintile,East,No,0.80483,450,10035,0.73646,0.852
296,296,2009,2nd Quintile,West,Yes,0.0358,47,10035,0.029,0.04412
297,297,2009,2nd Quintile,West,No,0.9642,1202,10035,0.92549,1.00324
298,298,2009,2nd Quintile,East,No,1.0,608,10035,0.93509,1.05759
299,299,2009,3rd Quintile,West,No,1.0,1356,10035,0.95663,1.04523
300,300,2009,3rd Quintile,East,No,1.0,580,10035,0.92465,1.06758
301,301,2009,4th Quintile,West,No,1.0,1612,10035,0.95931,1.03578
302,302,2009,4th Quintile,East,No,1.0,402,10035,0.88435,1.11451
303,303,2009,5th Quintile,West,No,1.0,2143,10035,0.95805,1.04062
304,304,2009,5th Quintile,East,No,1.0,330,10035,0.88587,1.14211
305,305,2010,1st Quintile,West,Yes,0.1151,350,13736,0.09835,0.13701
306,306,2010,1st Quintile,West,No,0.8849,1944,13736,0.83887,0.92986
307,307,2010,1st Quintile,East,Yes,0.20014,166,13736,0.16726,0.23913
308,308,2010,1st Quintile,East,No,0.79986,690,13736,0.72731,0.86321
309,309,2010,2nd Quintile,West,Yes,0.031,128,13736,0.02525,0.03784
310,310,2010,2nd Quintile,West,No,0.969,1938,13736,0.92511,1.02218
311,311,2010,2nd Quintile,East,Yes,0.04818,59,13736,0.02922,0.07009
312,312,2010,2nd Quintile,East,No,0.95182,764,13736,0.87599,1.02198
313,313,2010,3rd Quintile,West,No,1.0,1886,13736,0.95405,1.05916
314,314,2010,3rd Quintile,East,No,1.0,659,13736,0.91726,1.08245
315,315,2010,4th Quintile,West,No,1.0,1960,13736,0.95711,1.04494
316,316,2010,4th Quintile,East,No,1.0,475,13736,0.90144,1.12185
317,317,2010,5th Quintile,West,No,1.0,2388,13736,0.96117,1.0391
318,318,2010,5th Quintile,East,No,1.0,329,13736,0.87568,1.11768
319,319,2011,1st Quintile,West,Yes,0.11677,444,16288,0.10054,0.13513
320,320,2011,1st Quintile,West,No,0.88323,2108,16288,0.84918,0.92172
321,321,2011,1st Quintile,East,Yes,0.17143,242,16288,0.14713,0.19919
322,322,2011,1st Quintile,East,No,0.82857,835,16288,0.77051,0.8862
323,323,2011,2nd Quintile,West,Yes,0.03773,194,16288,0.03167,0.04525
324,324,2011,2nd Quintile,West,No,0.96227,2280,16288,0.91705,1.00102
325,325,2011,2nd Quintile,East,Yes,0.03447,70,16288,0.02582,0.04748
326,326,2011,2nd Quintile,East,No,0.96553,879,16288,0.90699,1.01965
327,327,2011,3rd Quintile,West,Yes,0.00362,32,16288,0.00248,0.00477
328,328,2011,3rd Quintile,West,No,0.99638,2362,16288,0.95999,1.03558
329,329,2011,3rd Quintile,East,No,1.0,758,16288,0.92718,1.06901
330,330,2011,4th Quintile,West,No,1.0,2431,16288,0.94875,1.03928
331,331,2011,4th Quintile,East,No,1.0,520,16288,0.91142,1.08887
332,332,2011,5th Quintile,West,No,1.0,2794,16288,0.96435,1.03981
333,333,2011,5th Quintile,East,No,1.0,339,16288,0.88852,1.1238
334,334,2012,1st Quintile,West,Yes,0.114,434,15934,0.09968,0.13167
335,335,2012,1st Quintile,West,No,0.886,2071,15934,0.84236,0.92502
336,336,2012,1st Quintile,East,Yes,0.14742,221,15934,0.12698,0.17501
337,337,2012,1st Quintile,East,No,0.85258,837,15934,0.79251,0.90755
338,338,2012,2nd Quintile,West,Yes,0.02473,136,15934,0.01879,0.03305
339,339,2012,2nd Quintile,West,No,0.97527,2264,15934,0.93247,1.02359
340,340,2012,2nd Quintile,East,Yes,0.03568,56,15934,0.02583,0.04949
341,341,2012,2nd Quintile,East,No,0.96432,744,15934,0.90094,1.03267
342,342,2012,3rd Quintile,West,Yes,0.00917,31,15934,0.00532,0.01321
343,343,2012,3rd Quintile,West,No,0.99083,2350,15934,0.94968,1.03591
344,344,2012,3rd Quintile,East,No,1.0,768,15934,0.93646,1.06512
345,345,2012,4th Quintile,West,No,1.0,2382,15934,0.96264,1.0347
346,346,2012,4th Quintile,East,No,1.0,549,15934,0.91081,1.09485
347,347,2012,5th Quintile,West,No,1.0,2679,15934,0.96257,1.03869
348,348,2012,5th Quintile,East,No,1.0,412,15934,0.89244,1.11977
349,349,2013,1st Quintile,West,Yes,0.09141,396,17511,0.07755,0.10335
350,350,2013,1st Quintile,West,No,0.90859,2704,17511,0.86639,0.94643
351,351,2013,1st Quintile,East,Yes,0.14545,203,17511,0.12249,0.17264
352,352,2013,1st Quintile,East,No,0.85455,843,17511,0.7803,0.92461
353,353,2013,2nd Quintile,West,Yes,0.02799,153,17511,0.0229,0.03428
354,354,2013,2nd Quintile,West,No,0.97201,2699,17511,0.93236,1.00972
355,355,2013,2nd Quintile,East,Yes,0.03715,55,17511,0.02568,0.05271
356,356,2013,2nd Quintile,East,No,0.96285,900,17511,0.89433,1.03188
