year,quintil_oecd_hh,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1987,5th Quintile,No,1.00000,945,4930,0,0.97502,0,1.02452
1988,1st Quintile,Yes,0.24594,214,4724,0,0.22348,0,0.26576
1988,1st Quintile,No,0.75406,725,4724,0,0.72023,0,0.79369
1988,2nd Quintile,Yes,0.09082,79,4724,0,0.07950,0,0.10225
1988,2nd Quintile,No,0.90918,885,4724,0,0.86377,0,0.94292
1988,3rd Quintile,No,1.00000,968,4724,0,0.96308,0,1.03681
1988,4th Quintile,No,1.00000,968,4724,0,0.96898,0,1.03428
1988,5th Quintile,No,1.00000,885,4724,0,0.96934,0,1.03119
1989,1st Quintile,Yes,0.22764,190,4611,0,0.21134,0,0.24507
1989,1st Quintile,No,0.77236,711,4611,0,0.72797,0,0.81917
1989,2nd Quintile,Yes,0.08330,77,4611,0,0.07376,0,0.09279
1989,2nd Quintile,No,0.91670,908,4611,0,0.87814,0,0.95274
1989,3rd Quintile,No,1.00000,940,4611,0,0.95881,0,1.03361
1989,4th Quintile,No,1.00000,943,4611,0,0.96168,0,1.03819
1989,5th Quintile,No,1.00000,842,4611,0,0.97307,0,1.02898
1990,1st Quintile,No,1.00000,32,4546,0,0.83957,0,1.18866
1990,2nd Quintile,Yes,0.19266,201,4546,0,0.17810,0,0.20836
1990,2nd Quintile,No,0.80734,947,4546,0,0.76814,0,0.85399
1990,3rd Quintile,Yes,0.04169,45,4546,0,0.03380,0,0.04947
1990,3rd Quintile,No,0.95831,1132,4546,0,0.92889,0,0.99569
1990,4th Quintile,No,1.00000,1133,4546,0,0.96741,0,1.03797
1990,5th Quintile,No,1.00000,1056,4546,0,0.97035,0,1.03038
1991,1st Quintile,No,1.00000,32,4574,0,0.85969,0,1.16527
1991,2nd Quintile,Yes,0.22211,220,4574,0,0.20247,0,0.24183
1991,2nd Quintile,No,0.77789,908,4574,0,0.73672,0,0.80850
1991,3rd Quintile,Yes,0.04062,43,4574,0,0.03370,0,0.04802
1991,3rd Quintile,No,0.95938,1143,4574,0,0.92522,0,0.99099
1991,4th Quintile,No,1.00000,1178,4574,0,0.97123,0,1.03112
1991,5th Quintile,No,1.00000,1050,4574,0,0.96529,0,1.03248
1992,1st Quintile,Yes,0.34393,481,6545,0,0.31815,0,0.36465
1992,1st Quintile,No,0.65607,908,6545,0,0.62756,0,0.68958
1992,2nd Quintile,Yes,0.11902,202,6545,0,0.10434,0,0.13153
1992,2nd Quintile,No,0.88098,1291,6545,0,0.84320,0,0.92230
1992,3rd Quintile,Yes,0.04379,59,6545,0,0.03653,0,0.05457
1992,3rd Quintile,No,0.95621,1277,6545,0,0.91450,0,0.99228
1992,4th Quintile,No,1.00000,1240,6545,0,0.95885,0,1.04209
1992,5th Quintile,No,1.00000,1087,6545,0,0.96507,0,1.03566
1993,1st Quintile,Yes,0.32632,437,6526,0,0.30848,0,0.34861
1993,1st Quintile,No,0.67368,858,6526,0,0.64373,0,0.70468
1993,2nd Quintile,Yes,0.13799,247,6526,0,0.12705,0,0.14904
1993,2nd Quintile,No,0.86201,1248,6526,0,0.82465,0,0.89662
1993,3rd Quintile,Yes,0.03691,66,6526,0,0.03089,0,0.04360
1993,3rd Quintile,No,0.96309,1301,6526,0,0.92760,0,1.00269
1993,4th Quintile,No,1.00000,1280,6526,0,0.96774,0,1.03187
1993,5th Quintile,No,1.00000,1089,6526,0,0.96490,0,1.03820
1994,1st Quintile,Yes,0.29410,410,6446,0,0.27280,0,0.31760
1994,1st Quintile,No,0.70590,918,6446,0,0.66744,0,0.74756
1994,2nd Quintile,Yes,0.08739,131,6446,0,0.07603,0,0.10057
1994,2nd Quintile,No,0.91261,1273,6446,0,0.87134,0,0.95539
1994,3rd Quintile,Yes,0.02019,36,6446,0,0.01468,0,0.02620
1994,3rd Quintile,No,0.97981,1326,6446,0,0.93749,0,1.02801
1994,4th Quintile,No,1.00000,1234,6446,0,0.96172,0,1.03992
1994,5th Quintile,No,1.00000,1118,6446,0,0.96001,0,1.03744
1995,1st Quintile,Yes,0.26831,401,6639,0,0.24824,0,0.28937
1995,1st Quintile,No,0.73169,989,6639,0,0.69616,0,0.76609
1995,2nd Quintile,Yes,0.06594,105,6639,0,0.05588,0,0.07538
1995,2nd Quintile,No,0.93406,1360,6639,0,0.89578,0,0.97805
1995,3rd Quintile,No,1.00000,1371,6639,0,0.95737,0,1.04633
1995,4th Quintile,No,1.00000,1274,6639,0,0.96357,0,1.04207
1995,5th Quintile,No,1.00000,1139,6639,0,0.96591,0,1.03768
1996,1st Quintile,Yes,0.23158,341,6573,0,0.20898,0,0.25496
1996,1st Quintile,No,0.76842,1030,6573,0,0.72372,0,0.80562
1996,2nd Quintile,Yes,0.04754,82,6573,0,0.03959,0,0.05826
1996,2nd Quintile,No,0.95246,1365,6573,0,0.91126,0,0.99254
1996,3rd Quintile,No,1.00000,1368,6573,0,0.96300,0,1.04386
1996,4th Quintile,No,1.00000,1289,6573,0,0.95902,0,1.04135
1996,5th Quintile,No,1.00000,1098,6573,0,0.96390,0,1.04040
1997,1st Quintile,Yes,0.21814,323,6500,0,0.19998,0,0.23927
1997,1st Quintile,No,0.78186,993,6500,0,0.73948,0,0.82090
1997,2nd Quintile,Yes,0.04251,71,6500,0,0.03591,0,0.05133
1997,2nd Quintile,No,0.95749,1376,6500,0,0.91979,0,1.00195
1997,3rd Quintile,No,1.00000,1333,6500,0,0.95960,0,1.04299
1997,4th Quintile,No,1.00000,1290,6500,0,0.96129,0,1.03876
1997,5th Quintile,No,1.00000,1114,6500,0,0.96746,0,1.04344
1998,1st Quintile,Yes,0.22192,344,7366,0,0.20470,0,0.24075
1998,1st Quintile,No,0.77808,1147,7366,0,0.74243,0,0.81170
1998,2nd Quintile,Yes,0.04587,82,7366,0,0.03747,0,0.05485
1998,2nd Quintile,No,0.95413,1515,7366,0,0.91718,0,0.99190
1998,3rd Quintile,No,1.00000,1505,7366,0,0.96619,0,1.03551
1998,4th Quintile,No,1.00000,1462,7366,0,0.96563,0,1.03492
1998,5th Quintile,No,1.00000,1311,7366,0,0.96093,0,1.03905
1999,1st Quintile,Yes,0.22356,347,7075,0,0.20562,0,0.24141
1999,1st Quintile,No,0.77644,1115,7075,0,0.74612,0,0.81034
1999,2nd Quintile,Yes,0.04212,64,7075,0,0.03430,0,0.05095
1999,2nd Quintile,No,0.95788,1464,7075,0,0.92122,0,0.99745
1999,3rd Quintile,No,1.00000,1479,7075,0,0.96250,0,1.03667
1999,4th Quintile,No,1.00000,1374,7075,0,0.96617,0,1.04016
1999,5th Quintile,No,1.00000,1232,7075,0,0.96109,0,1.03937
2000,1st Quintile,Yes,0.19553,524,12868,0,0.18669,0,0.20463
2000,1st Quintile,No,0.80447,2008,12868,0,0.78887,0,0.82450
2000,2nd Quintile,Yes,0.03533,100,12868,0,0.03069,0,0.04040
2000,2nd Quintile,No,0.96467,2613,12868,0,0.94348,0,0.98190
2000,3rd Quintile,No,1.00000,2639,12868,0,0.97612,0,1.02009
2000,4th Quintile,No,1.00000,2556,12868,0,0.98143,0,1.02255
2000,5th Quintile,No,1.00000,2428,12868,0,0.98028,0,1.01933
2001,1st Quintile,Yes,0.21590,517,11625,0,0.20623,0,0.22555
2001,1st Quintile,No,0.78410,1678,11625,0,0.75911,0,0.80880
2001,2nd Quintile,Yes,0.04518,118,11625,0,0.03810,0,0.05064
2001,2nd Quintile,No,0.95482,2337,11625,0,0.93417,0,0.98197
2001,3rd Quintile,Yes,0.01237,36,11625,0,0.01024,0,0.01458
2001,3rd Quintile,No,0.98763,2421,11625,0,0.96398,0,1.01067
2001,4th Quintile,No,1.00000,2350,11625,0,0.97557,0,1.02794
2001,5th Quintile,No,1.00000,2168,11625,0,0.97112,0,1.02333
2002,1st Quintile,Yes,0.20651,459,12155,0,0.19534,0,0.22062
2002,1st Quintile,No,0.79349,1614,12155,0,0.77175,0,0.81488
2002,2nd Quintile,Yes,0.04518,103,12155,0,0.03874,0,0.05167
2002,2nd Quintile,No,0.95482,2129,12155,0,0.92764,0,0.98014
2002,3rd Quintile,Yes,0.01431,38,12155,0,0.01139,0,0.01755
2002,3rd Quintile,No,0.98569,2242,12155,0,0.96131,0,1.01210
2002,4th Quintile,No,1.00000,2344,12155,0,0.97090,0,1.02998
2002,5th Quintile,No,1.00000,3226,12155,0,0.97076,0,1.03642
2003,1st Quintile,Yes,0.23627,486,11757,0,0.22511,0,0.24921
2003,1st Quintile,No,0.76373,1521,11757,0,0.74162,0,0.78909
2003,2nd Quintile,Yes,0.04349,110,11757,0,0.03834,0,0.04902
2003,2nd Quintile,No,0.95651,2101,11757,0,0.93327,0,0.98061
2003,3rd Quintile,Yes,0.01443,41,11757,0,0.01087,0,0.01839
2003,3rd Quintile,No,0.98557,2223,11757,0,0.96187,0,1.01276
2003,4th Quintile,No,1.00000,2262,11757,0,0.97130,0,1.02936
2003,5th Quintile,No,1.00000,3013,11757,0,0.97283,0,1.02883
2004,1st Quintile,Yes,0.24852,505,11491,0,0.23770,0,0.26275
2004,1st Quintile,No,0.75148,1427,11491,0,0.72567,0,0.78023
2004,2nd Quintile,Yes,0.05734,130,11491,0,0.05007,0,0.06412
2004,2nd Quintile,No,0.94266,2051,11491,0,0.91483,0,0.96921
2004,3rd Quintile,Yes,0.01848,45,11491,0,0.01421,0,0.02288
2004,3rd Quintile,No,0.98152,2140,11491,0,0.95488,0,1.01233
2004,4th Quintile,No,1.00000,2233,11491,0,0.96555,0,1.03066
2004,5th Quintile,No,1.00000,2960,11491,0,0.96280,0,1.03011
2005,1st Quintile,Yes,0.26766,505,11151,0,0.24885,0,0.28262
2005,1st Quintile,No,0.73234,1441,11151,0,0.70401,0,0.76139
2005,2nd Quintile,Yes,0.05435,116,11151,0,0.04535,0,0.06337
2005,2nd Quintile,No,0.94565,1972,11151,0,0.92168,0,0.97055
2005,3rd Quintile,Yes,0.01887,37,11151,0,0.01439,0,0.02416
2005,3rd Quintile,No,0.98113,2045,11151,0,0.95596,0,1.01046
2005,4th Quintile,No,1.00000,2198,11151,0,0.96312,0,1.03061
2005,5th Quintile,No,1.00000,2837,11151,0,0.96459,0,1.03711
2006,1st Quintile,Yes,0.17428,384,12212,0,0.16268,0,0.18545
2006,1st Quintile,No,0.82572,1676,12212,0,0.79915,0,0.84944
2006,2nd Quintile,Yes,0.05598,123,12212,0,0.04869,0,0.06330
2006,2nd Quintile,No,0.94402,2109,12212,0,0.91592,0,0.97177
2006,3rd Quintile,Yes,0.01381,32,12212,0,0.01030,0,0.01736
2006,3rd Quintile,No,0.98619,2375,12212,0,0.95753,0,1.01287
2006,4th Quintile,No,1.00000,2467,12212,0,0.97180,0,1.02720
2006,5th Quintile,No,1.00000,3046,12212,0,0.96752,0,1.03826
2007,1st Quintile,Yes,0.15946,310,11382,0,0.14820,0,0.17165
2007,1st Quintile,No,0.84054,1611,11382,0,0.81211,0,0.86921
2007,2nd Quintile,Yes,0.05603,122,11382,0,0.05047,0,0.06395
2007,2nd Quintile,No,0.94397,2013,11382,0,0.91888,0,0.97019
2007,3rd Quintile,No,1.00000,2181,11382,0,0.96975,0,1.02621
2007,4th Quintile,No,1.00000,2312,11382,0,0.96971,0,1.03451
2007,5th Quintile,No,1.00000,2833,11382,0,0.96418,0,1.03757
2008,1st Quintile,Yes,0.14039,276,10808,0,0.12831,0,0.15233
2008,1st Quintile,No,0.85961,1595,10808,0,0.83155,0,0.88900
2008,2nd Quintile,Yes,0.04488,86,10808,0,0.03845,0,0.05122
2008,2nd Quintile,No,0.95512,1895,10808,0,0.92488,0,0.98490
2008,3rd Quintile,Yes,0.01523,31,10808,0,0.01111,0,0.01968
2008,3rd Quintile,No,0.98477,2128,10808,0,0.94992,0,1.01661
2008,4th Quintile,No,1.00000,2116,10808,0,0.96926,0,1.03296
2008,5th Quintile,No,1.00000,2681,10808,0,0.96560,0,1.03528
2009,1st Quintile,Yes,0.14169,268,10059,0,0.12968,0,0.15647
2009,1st Quintile,No,0.85831,1487,10059,0,0.81958,0,0.89765
2009,2nd Quintile,Yes,0.03609,71,10059,0,0.02957,0,0.04196
2009,2nd Quintile,No,0.96391,1810,10059,0,0.93309,0,0.99511
2009,3rd Quintile,No,1.00000,1936,10059,0,0.96633,0,1.04406
2009,4th Quintile,No,1.00000,2014,10059,0,0.96553,0,1.03440
2009,5th Quintile,No,1.00000,2473,10059,0,0.96443,0,1.03386
2010,1st Quintile,Yes,0.13527,516,13773,0,0.11831,0,0.15321
2010,1st Quintile,No,0.86473,2634,13773,0,0.82398,0,0.90353
2010,2nd Quintile,Yes,0.03510,187,13773,0,0.02830,0,0.04349
2010,2nd Quintile,No,0.96490,2702,13773,0,0.92577,0,1.00729
2010,3rd Quintile,Yes,0.00978,37,13773,0,0.00551,0,0.01437
2010,3rd Quintile,No,0.99022,2545,13773,0,0.95304,0,1.03472
2010,4th Quintile,No,1.00000,2435,13773,0,0.95754,0,1.04234
2010,5th Quintile,No,1.00000,2717,13773,0,0.96403,0,1.03937
2011,1st Quintile,Yes,0.13081,686,16300,0,0.11841,0,0.14469
2011,1st Quintile,No,0.86919,2943,16300,0,0.83609,0,0.89720
2011,2nd Quintile,Yes,0.03697,264,16300,0,0.03125,0,0.04354
2011,2nd Quintile,No,0.96303,3159,16300,0,0.92510,0,0.99955
2011,3rd Quintile,Yes,0.00397,44,16300,0,0.00294,0,0.00499
2011,3rd Quintile,No,0.99603,3120,16300,0,0.95151,0,1.03010
2011,4th Quintile,No,1.00000,2951,16300,0,0.96358,0,1.03731
2011,5th Quintile,No,1.00000,3133,16300,0,0.96671,0,1.03891
2012,1st Quintile,Yes,0.12249,655,15953,0,0.10883,0,0.13576
2012,1st Quintile,No,0.87751,2908,15953,0,0.84615,0,0.91115
2012,2nd Quintile,Yes,0.02693,192,15953,0,0.02180,0,0.03289
2012,2nd Quintile,No,0.97307,3008,15953,0,0.94419,0,1.00710
2012,3rd Quintile,Yes,0.01124,50,15953,0,0.00746,0,0.01534
2012,3rd Quintile,No,0.98876,3118,15953,0,0.95035,0,1.02098
2012,4th Quintile,No,1.00000,2931,15953,0,0.96074,0,1.03184
2012,5th Quintile,No,1.00000,3091,15953,0,0.96605,0,1.03025
2013,1st Quintile,Yes,0.10490,599,17523,0,0.09137,0,0.11744
2013,1st Quintile,No,0.89510,3547,17523,0,0.85817,0,0.93215
2013,2nd Quintile,Yes,0.03018,208,17523,0,0.02579,0,0.03657
2013,2nd Quintile,No,0.96982,3599,17523,0,0.93279,0,1.00688
2013,3rd Quintile,Yes,0.01140,54,17523,0,0.00793,0,0.01501
2013,3rd Quintile,No,0.98860,3280,17523,0,0.95928,0,1.02588
2013,4th Quintile,No,1.00000,3065,17523,0,0.96083,0,1.03758
2013,5th Quintile,No,1.00000,3171,17523,0,0.96790,0,1.03375
2014,1st Quintile,Yes,0.10218,470,15653,0,0.08532,0,0.11451
2014,1st Quintile,No,0.89782,2959,15653,0,0.86126,0,0.93735
2014,2nd Quintile,Yes,0.03166,187,15653,0,0.02522,0,0.03845
2014,2nd Quintile,No,0.96834,3119,15653,0,0.93563,0,1.00439
2014,3rd Quintile,No,1.00000,3042,15653,0,0.96659,0,1.04199
2014,4th Quintile,No,1.00000,2917,15653,0,0.95958,0,1.03630
2014,5th Quintile,No,1.00000,2959,15653,0,0.96677,0,1.03956
2015,1st Quintile,Yes,0.08575,369,15360,0,0.07400,0,0.09858
2015,1st Quintile,No,0.91425,3092,15360,0,0.87421,0,0.94968
2015,2nd Quintile,Yes,0.02456,141,15360,0,0.01907,0,0.03082
2015,2nd Quintile,No,0.97544,3149,15360,0,0.93145,0,1.01616
2015,3rd Quintile,Yes,0.00781,39,15360,0,0.00456,0,0.01152
2015,3rd Quintile,No,0.99219,2925,15360,0,0.95654,0,1.03568
2015,4th Quintile,No,1.00000,2731,15360,0,0.96165,0,1.03848
2015,5th Quintile,No,1.00000,2914,15360,0,0.96738,0,1.03645
2016,1st Quintile,Yes,0.07977,325,14114,0,0.07040,0,0.08984
2016,1st Quintile,No,0.92023,2717,14114,0,0.87833,0,0.95989
2016,2nd Quintile,Yes,0.02396,113,14114,0,0.01740,0,0.03030
2016,2nd Quintile,No,0.97604,2963,14114,0,0.94162,0,1.01313
2016,3rd Quintile,No,1.00000,2693,14114,0,0.95822,0,1.03636
2016,4th Quintile,No,1.00000,2611,14114,0,0.96560,0,1.03759
2016,5th Quintile,No,1.00000,2692,14114,0,0.96362,0,1.03703
2017,1st Quintile,Yes,0.07588,437,17261,0,0.06676,0,0.08712
2017,1st Quintile,No,0.92412,4374,17261,0,0.88451,0,0.96611
2017,2nd Quintile,Yes,0.02323,129,17261,0,0.01802,0,0.02861
2017,2nd Quintile,No,0.97677,3190,17261,0,0.93690,0,1.01632
2017,3rd Quintile,No,1.00000,3038,17261,0,0.96702,0,1.03892
2017,4th Quintile,No,1.00000,3005,17261,0,0.95820,0,1.03908
2017,5th Quintile,No,1.00000,3088,17261,0,0.96148,0,1.02812
2018,1st Quintile,Yes,0.08605,597,17570,0,0.07622,0,0.09711
2018,1st Quintile,No,0.91395,4665,17570,0,0.87660,0,0.95888
2018,2nd Quintile,Yes,0.02101,216,17570,0,0.01704,0,0.02600
2018,2nd Quintile,No,0.97899,3300,17570,0,0.93456,0,1.01480
2018,3rd Quintile,Yes,0.00617,45,17570,0,0.00402,0,0.00838
2018,3rd Quintile,No,0.99383,2908,17570,0,0.95615,0,1.03297
2018,4th Quintile,No,1.00000,2849,17570,0,0.96052,0,1.03476
2018,5th Quintile,No,1.00000,2990,17570,0,0.96363,0,1.03412
2019,1st Quintile,Yes,0.09275,468,18238,0,0.07872,0,0.10859
2019,1st Quintile,No,0.90725,4535,18238,0,0.86425,0,0.94750
2019,2nd Quintile,Yes,0.01805,111,18238,0,0.01402,0,0.02362
2019,2nd Quintile,No,0.98195,2996,18238,0,0.94461,0,1.02035
2019,3rd Quintile,No,1.00000,2888,18238,0,0.96487,0,1.04069
2019,4th Quintile,No,1.00000,2941,18238,0,0.95978,0,1.04665
2019,5th Quintile,No,1.00000,4299,18238,0,0.95923,0,1.04368
2020,1st Quintile,Yes,0.07744,477,18863,0,0.06551,0,0.08974
2020,1st Quintile,No,0.92256,5560,18863,0,0.88073,0,0.96971
2020,2nd Quintile,Yes,0.02112,96,18863,0,0.01628,0,0.02636
2020,2nd Quintile,No,0.97888,3331,18863,0,0.93749,0,1.01423
2020,3rd Quintile,No,1.00000,2908,18863,0,0.95984,0,1.03916
2020,4th Quintile,No,1.00000,2797,18863,0,0.96137,0,1.03924
2020,5th Quintile,No,1.00000,3694,18863,0,0.96088,0,1.04013
2021,1st Quintile,Yes,0.06990,318,12391,0,0.05636,0,0.08265
2021,1st Quintile,No,0.93010,2943,12391,0,0.87018,0,0.97778
2021,2nd Quintile,Yes,0.01943,86,12391,0,0.01288,0,0.02737
2021,2nd Quintile,No,0.98057,2273,12391,0,0.92358,0,1.02506
2021,3rd Quintile,No,1.00000,2014,12391,0,0.94871,0,1.05360
2021,4th Quintile,No,1.00000,2086,12391,0,0.94644,0,1.05179
2021,5th Quintile,No,1.00000,2671,12391,0,0.95671,0,1.04985
