,Unnamed: 0,year,quintil_oecd_hh,regtyp,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
111,111,1993,3rd Quintile,Urban regions,No,0.96559,876,6497,0.9132,1.01663
112,112,1993,3rd Quintile,Rural regions,No,1.0,425,6497,0.92656,1.07163
113,113,1993,4th Quintile,Urban regions,No,1.0,930,6497,0.96223,1.04409
114,114,1993,4th Quintile,Rural regions,No,1.0,350,6497,0.93183,1.07983
115,115,1993,5th Quintile,Urban regions,No,1.0,900,6497,0.96462,1.03847
116,116,1993,5th Quintile,Rural regions,No,1.0,189,6497,0.91044,1.09882
117,117,1994,1st Quintile,Urban regions,Yes,0.2527,215,6410,0.22679,0.27823
118,118,1994,1st Quintile,Urban regions,No,0.7473,606,6410,0.69764,0.80595
119,119,1994,1st Quintile,Rural regions,Yes,0.36521,195,6410,0.3364,0.40275
120,120,1994,1st Quintile,Rural regions,No,0.63479,312,6410,0.58679,0.68367
121,121,1994,2nd Quintile,Urban regions,Yes,0.07505,64,6410,0.06001,0.0885
122,122,1994,2nd Quintile,Urban regions,No,0.92495,771,6410,0.86932,0.98629
123,123,1994,2nd Quintile,Rural regions,Yes,0.10793,67,6410,0.09256,0.13059
124,124,1994,2nd Quintile,Rural regions,No,0.89207,502,6410,0.83631,0.95166
125,125,1994,3rd Quintile,Urban regions,No,1.0,844,6410,0.95162,1.04402
126,126,1994,3rd Quintile,Rural regions,No,1.0,482,6410,0.92623,1.07
127,127,1994,4th Quintile,Urban regions,No,1.0,887,6410,0.95934,1.04235
128,128,1994,4th Quintile,Rural regions,No,1.0,347,6410,0.94143,1.07154
129,129,1994,5th Quintile,Urban regions,No,1.0,875,6410,0.96149,1.04264
130,130,1994,5th Quintile,Rural regions,No,1.0,243,6410,0.92771,1.07656
131,131,1995,1st Quintile,Urban regions,Yes,0.23275,220,6639,0.20886,0.25744
132,132,1995,1st Quintile,Urban regions,No,0.76725,651,6639,0.72346,0.82197
133,133,1995,1st Quintile,Rural regions,Yes,0.33186,181,6639,0.29683,0.36832
134,134,1995,1st Quintile,Rural regions,No,0.66814,338,6639,0.61014,0.72623
135,135,1995,2nd Quintile,Urban regions,Yes,0.06907,65,6639,0.05685,0.08288
136,136,1995,2nd Quintile,Urban regions,No,0.93093,858,6639,0.87462,0.98247
137,137,1995,2nd Quintile,Rural regions,Yes,0.06044,40,6639,0.04972,0.07591
138,138,1995,2nd Quintile,Rural regions,No,0.93956,502,6639,0.87962,1.00476
139,139,1995,3rd Quintile,Urban regions,No,1.0,879,6639,0.94285,1.07301
140,140,1995,3rd Quintile,Rural regions,No,1.0,492,6639,0.93042,1.08335
141,141,1995,4th Quintile,Urban regions,No,1.0,876,6639,0.95593,1.04111
142,142,1995,4th Quintile,Rural regions,No,1.0,398,6639,0.9309,1.06822
143,143,1995,5th Quintile,Urban regions,No,1.0,867,6639,0.95568,1.04757
144,144,1995,5th Quintile,Rural regions,No,1.0,272,6639,0.93067,1.09545
145,145,1996,1st Quintile,Urban regions,Yes,0.21161,200,6573,0.18966,0.23657
146,146,1996,1st Quintile,Urban regions,No,0.78839,679,6573,0.73508,0.83966
147,147,1996,1st Quintile,Rural regions,Yes,0.26865,141,6573,0.23989,0.30727
148,148,1996,1st Quintile,Rural regions,No,0.73135,351,6573,0.67606,0.78399
149,149,1996,2nd Quintile,Urban regions,Yes,0.04279,49,6573,0.0324,0.05241
150,150,1996,2nd Quintile,Urban regions,No,0.95721,855,6573,0.90428,1.01141
151,151,1996,2nd Quintile,Rural regions,Yes,0.0565,33,6573,0.04148,0.07956
152,152,1996,2nd Quintile,Rural regions,No,0.9435,510,6573,0.87406,1.00091
153,153,1996,3rd Quintile,Urban regions,No,1.0,836,6573,0.95308,1.0484
154,154,1996,3rd Quintile,Rural regions,No,1.0,532,6573,0.9359,1.07257
155,155,1996,4th Quintile,Urban regions,No,1.0,914,6573,0.96046,1.05144
156,156,1996,4th Quintile,Rural regions,No,1.0,375,6573,0.92118,1.08042
157,157,1996,5th Quintile,Urban regions,No,1.0,829,6573,0.95385,1.04529
158,158,1996,5th Quintile,Rural regions,No,1.0,269,6573,0.90815,1.08083
159,159,1997,1st Quintile,Urban regions,Yes,0.20518,199,6469,0.17948,0.23257
160,160,1997,1st Quintile,Urban regions,No,0.79482,641,6469,0.74898,0.8591
161,161,1997,1st Quintile,Rural regions,Yes,0.24307,124,6469,0.21084,0.281
162,162,1997,1st Quintile,Rural regions,No,0.75693,351,6469,0.69071,0.8191
163,163,1997,2nd Quintile,Urban regions,Yes,0.03963,41,6469,0.02849,0.05213
164,164,1997,2nd Quintile,Urban regions,No,0.96037,859,6469,0.90712,1.00598
165,165,1997,2nd Quintile,Rural regions,No,1.0,517,6469,0.93544,1.07803
166,166,1997,3rd Quintile,Urban regions,No,1.0,848,6469,0.94527,1.05572
167,167,1997,3rd Quintile,Rural regions,No,1.0,485,6469,0.93562,1.06922
168,168,1997,4th Quintile,Urban regions,No,1.0,888,6469,0.95375,1.04407
169,169,1997,4th Quintile,Rural regions,No,1.0,402,6469,0.92206,1.06571
170,170,1997,5th Quintile,Urban regions,No,1.0,829,6469,0.95324,1.05168
171,171,1997,5th Quintile,Rural regions,No,1.0,285,6469,0.91606,1.09787
172,172,1998,1st Quintile,Urban regions,Yes,0.216,206,7366,0.19581,0.23806
173,173,1998,1st Quintile,Urban regions,No,0.784,765,7366,0.73969,0.82963
174,174,1998,1st Quintile,Rural regions,Yes,0.23349,138,7366,0.2039,0.25946
175,175,1998,1st Quintile,Rural regions,No,0.76651,382,7366,0.71259,0.82456
176,176,1998,2nd Quintile,Urban regions,Yes,0.04329,50,7366,0.03479,0.05342
177,177,1998,2nd Quintile,Urban regions,No,0.95671,953,7366,0.91098,0.99788
178,178,1998,2nd Quintile,Rural regions,Yes,0.05081,32,7366,0.03844,0.0645
179,179,1998,2nd Quintile,Rural regions,No,0.94919,562,7366,0.89264,1.00327
180,180,1998,3rd Quintile,Urban regions,No,1.0,950,7366,0.94729,1.04875
181,181,1998,3rd Quintile,Rural regions,No,1.0,555,7366,0.95041,1.06407
182,182,1998,4th Quintile,Urban regions,No,1.0,978,7366,0.96339,1.04715
183,183,1998,4th Quintile,Rural regions,No,1.0,484,7366,0.93926,1.06519
184,184,1998,5th Quintile,Urban regions,No,1.0,978,7366,0.95842,1.03433
185,185,1998,5th Quintile,Rural regions,No,1.0,333,7366,0.93491,1.07388
186,186,1999,1st Quintile,Urban regions,Yes,0.20065,191,7052,0.18053,0.2229
187,187,1999,1st Quintile,Urban regions,No,0.79935,738,7052,0.75587,0.84122
188,188,1999,1st Quintile,Rural regions,Yes,0.26716,156,7052,0.23838,0.29666
189,189,1999,1st Quintile,Rural regions,No,0.73284,377,7052,0.68096,0.7815
190,190,1999,2nd Quintile,Urban regions,Yes,0.04594,41,7052,0.03321,0.06082
191,191,1999,2nd Quintile,Urban regions,No,0.95406,895,7052,0.9011,1.00381
192,192,1999,2nd Quintile,Rural regions,No,1.0,569,7052,0.93989,1.05652
193,193,1999,3rd Quintile,Urban regions,No,1.0,932,7052,0.95783,1.04326
194,194,1999,3rd Quintile,Rural regions,No,1.0,547,7052,0.94172,1.06037
195,195,1999,4th Quintile,Urban regions,No,1.0,939,7052,0.95914,1.04079
196,196,1999,4th Quintile,Rural regions,No,1.0,435,7052,0.93378,1.07424
197,197,1999,5th Quintile,Urban regions,No,1.0,932,7052,0.96376,1.04537
198,198,1999,5th Quintile,Rural regions,No,1.0,300,7052,0.93085,1.08296
199,199,2000,1st Quintile,Urban regions,Yes,0.18528,306,12868,0.17299,0.19963
200,200,2000,1st Quintile,Urban regions,No,0.81472,1297,12868,0.79176,0.83779
201,201,2000,1st Quintile,Rural regions,Yes,0.21475,218,12868,0.19857,0.23228
202,202,2000,1st Quintile,Rural regions,No,0.78525,711,12868,0.75762,0.81786
203,203,2000,2nd Quintile,Urban regions,Yes,0.03463,58,12868,0.0287,0.0415
204,204,2000,2nd Quintile,Urban regions,No,0.96537,1602,12868,0.93566,0.99745
205,205,2000,2nd Quintile,Rural regions,Yes,0.03656,42,12868,0.03022,0.04566
206,206,2000,2nd Quintile,Rural regions,No,0.96344,1011,12868,0.93176,1.00487
207,207,2000,3rd Quintile,Urban regions,No,1.0,1654,12868,0.97253,1.02643
208,208,2000,3rd Quintile,Rural regions,No,1.0,985,12868,0.95794,1.03587
209,209,2000,4th Quintile,Urban regions,No,1.0,1778,12868,0.97142,1.02672
210,210,2000,4th Quintile,Rural regions,No,1.0,778,12868,0.96225,1.03945
211,211,2000,5th Quintile,Urban regions,No,1.0,1844,12868,0.97815,1.02588
212,212,2000,5th Quintile,Rural regions,No,1.0,584,12868,0.95881,1.04229
213,213,2001,1st Quintile,Urban regions,Yes,0.20452,308,11589,0.18963,0.21903
214,214,2001,1st Quintile,Urban regions,No,0.79548,1093,11589,0.76155,0.82343
215,215,2001,1st Quintile,Rural regions,Yes,0.23898,209,11589,0.21871,0.26116
216,216,2001,1st Quintile,Rural regions,No,0.76102,585,11589,0.72466,0.79292
217,217,2001,2nd Quintile,Urban regions,Yes,0.04922,76,11589,0.04286,0.05651
218,218,2001,2nd Quintile,Urban regions,No,0.95078,1428,11589,0.91876,0.9828
219,219,2001,2nd Quintile,Rural regions,Yes,0.03834,42,11589,0.02972,0.04816
220,220,2001,2nd Quintile,Rural regions,No,0.96166,909,11589,0.92684,0.99661
221,221,2001,3rd Quintile,Urban regions,No,1.0,1543,11589,0.97213,1.0366
222,222,2001,3rd Quintile,Rural regions,No,1.0,878,11589,0.96516,1.0445
223,223,2001,4th Quintile,Urban regions,No,1.0,1601,11589,0.97183,1.0348
224,224,2001,4th Quintile,Rural regions,No,1.0,749,11589,0.95671,1.04455
225,225,2001,5th Quintile,Urban regions,No,1.0,1662,11589,0.97566,1.03165
226,226,2001,5th Quintile,Rural regions,No,1.0,506,11589,0.94087,1.05314
227,227,2002,1st Quintile,Urban regions,Yes,0.19329,267,12117,0.1799,0.21041
228,228,2002,1st Quintile,Urban regions,No,0.80671,1018,12117,0.77661,0.8416
229,229,2002,1st Quintile,Rural regions,Yes,0.23116,192,12117,0.20916,0.25403
230,230,2002,1st Quintile,Rural regions,No,0.76884,596,12117,0.73043,0.80673
231,231,2002,2nd Quintile,Urban regions,Yes,0.04886,66,12117,0.04113,0.05586
232,232,2002,2nd Quintile,Urban regions,No,0.95114,1310,12117,0.92228,0.98136
233,233,2002,2nd Quintile,Rural regions,Yes,0.03855,37,12117,0.02839,0.04984
234,234,2002,2nd Quintile,Rural regions,No,0.96145,819,12117,0.91722,0.99923
235,235,2002,3rd Quintile,Urban regions,No,1.0,1464,12117,0.96737,1.03042
236,236,2002,3rd Quintile,Rural regions,No,1.0,778,12117,0.94853,1.04471
237,237,2002,4th Quintile,Urban regions,No,1.0,1542,12117,0.96063,1.03205
238,238,2002,4th Quintile,Rural regions,No,1.0,802,12117,0.95029,1.04734
239,239,2002,5th Quintile,Urban regions,No,1.0,2503,12117,0.95846,1.03571
240,240,2002,5th Quintile,Rural regions,No,1.0,723,12117,0.92711,1.06556
241,241,2003,1st Quintile,Urban regions,Yes,0.22753,290,11716,0.2115,0.2465
242,242,2003,1st Quintile,Urban regions,No,0.77247,998,11716,0.74764,0.8036
243,243,2003,1st Quintile,Rural regions,Yes,0.25367,196,11716,0.23112,0.28045
244,244,2003,1st Quintile,Rural regions,No,0.74633,523,11716,0.7064,0.78816
245,245,2003,2nd Quintile,Urban regions,Yes,0.04552,65,11716,0.03669,0.05464
246,246,2003,2nd Quintile,Urban regions,No,0.95448,1254,11716,0.9226,0.98958
247,247,2003,2nd Quintile,Rural regions,Yes,0.03999,45,11716,0.03244,0.04927
248,248,2003,2nd Quintile,Rural regions,No,0.96001,847,11716,0.91982,0.99673
249,249,2003,3rd Quintile,Urban regions,No,1.0,1447,11716,0.96085,1.03269
250,250,2003,3rd Quintile,Rural regions,No,1.0,776,11716,0.95994,1.03886
251,251,2003,4th Quintile,Urban regions,No,1.0,1540,11716,0.96648,1.03301
252,252,2003,4th Quintile,Rural regions,No,1.0,722,11716,0.95461,1.05406
253,253,2003,5th Quintile,Urban regions,No,1.0,2311,11716,0.96468,1.03739
254,254,2003,5th Quintile,Rural regions,No,1.0,702,11716,0.93043,1.06315
255,255,2004,1st Quintile,Urban regions,Yes,0.23648,291,11446,0.22101,0.25625
256,256,2004,1st Quintile,Urban regions,No,0.76352,941,11446,0.73195,0.79516
257,257,2004,1st Quintile,Rural regions,Yes,0.27187,214,11446,0.247,0.29507
258,258,2004,1st Quintile,Rural regions,No,0.72813,486,11446,0.68111,0.78205
259,259,2004,2nd Quintile,Urban regions,Yes,0.06454,83,11446,0.05569,0.07439
260,260,2004,2nd Quintile,Urban regions,No,0.93546,1251,11446,0.89892,0.96829
261,261,2004,2nd Quintile,Rural regions,Yes,0.04433,47,11446,0.03437,0.05603
262,262,2004,2nd Quintile,Rural regions,No,0.95567,800,11446,0.92036,1.00273
263,263,2004,3rd Quintile,Urban regions,No,1.0,1391,11446,0.9599,1.02994
264,264,2004,3rd Quintile,Rural regions,No,1.0,749,11446,0.96223,1.054
265,265,2004,4th Quintile,Urban regions,No,1.0,1485,11446,0.96703,1.03846
266,266,2004,4th Quintile,Rural regions,No,1.0,748,11446,0.94494,1.06044
267,267,2004,5th Quintile,Urban regions,No,1.0,2272,11446,0.964,1.03659
268,268,2004,5th Quintile,Rural regions,No,1.0,688,11446,0.93418,1.06743
269,269,2005,1st Quintile,Urban regions,Yes,0.2599,302,11114,0.23813,0.28306
270,270,2005,1st Quintile,Urban regions,No,0.7401,949,11114,0.70719,0.78034
271,271,2005,1st Quintile,Rural regions,Yes,0.28307,203,11114,0.25888,0.31057
272,272,2005,1st Quintile,Rural regions,No,0.71693,492,11114,0.68693,0.76386
273,273,2005,2nd Quintile,Urban regions,Yes,0.05224,62,11114,0.04278,0.06261
274,274,2005,2nd Quintile,Urban regions,No,0.94776,1220,11114,0.9093,0.98662
275,275,2005,2nd Quintile,Rural regions,Yes,0.0581,54,11114,0.04514,0.07209
276,276,2005,2nd Quintile,Rural regions,No,0.9419,752,11114,0.88926,0.98619
277,277,2005,3rd Quintile,Urban regions,No,1.0,1303,11114,0.95811,1.03572
278,278,2005,3rd Quintile,Rural regions,No,1.0,742,11114,0.94463,1.04885
279,279,2005,4th Quintile,Urban regions,No,1.0,1470,11114,0.96405,1.04108
280,280,2005,4th Quintile,Rural regions,No,1.0,728,11114,0.93704,1.05389
281,281,2005,5th Quintile,Urban regions,No,1.0,2181,11114,0.9615,1.04419
282,282,2005,5th Quintile,Rural regions,No,1.0,656,11114,0.92714,1.06813
283,283,2006,1st Quintile,Urban regions,Yes,0.17257,231,12180,0.15639,0.18748
284,284,2006,1st Quintile,Urban regions,No,0.82743,1074,12180,0.7963,0.85954
285,285,2006,1st Quintile,Rural regions,Yes,0.17753,153,12180,0.16149,0.19837
286,286,2006,1st Quintile,Rural regions,No,0.82247,602,12180,0.77455,0.86554
287,287,2006,2nd Quintile,Urban regions,Yes,0.05101,65,12180,0.04108,0.06258
288,288,2006,2nd Quintile,Urban regions,No,0.94899,1262,12180,0.91331,0.98372
289,289,2006,2nd Quintile,Rural regions,Yes,0.06466,58,12180,0.05396,0.07746
290,290,2006,2nd Quintile,Rural regions,No,0.93534,847,12180,0.89412,0.97935
291,291,2006,3rd Quintile,Urban regions,No,1.0,1480,12180,0.96425,1.03859
292,292,2006,3rd Quintile,Rural regions,No,1.0,895,12180,0.96273,1.04162
293,293,2006,4th Quintile,Urban regions,No,1.0,1670,12180,0.96722,1.03301
294,294,2006,4th Quintile,Rural regions,No,1.0,797,12180,0.95158,1.05444
295,295,2006,5th Quintile,Urban regions,No,1.0,2308,12180,0.96236,1.03956
296,296,2006,5th Quintile,Rural regions,No,1.0,738,12180,0.92725,1.06401
297,297,2007,1st Quintile,Urban regions,Yes,0.15096,165,11382,0.13396,0.16686
298,298,2007,1st Quintile,Urban regions,No,0.84904,1044,11382,0.81081,0.88429
299,299,2007,1st Quintile,Rural regions,Yes,0.17502,145,11382,0.15483,0.19497
300,300,2007,1st Quintile,Rural regions,No,0.82498,567,11382,0.78009,0.87855
301,301,2007,2nd Quintile,Urban regions,Yes,0.05778,84,11382,0.04971,0.06758
302,302,2007,2nd Quintile,Urban regions,No,0.94222,1222,11382,0.90529,0.97554
303,303,2007,2nd Quintile,Rural regions,Yes,0.05264,38,11382,0.04261,0.06475
304,304,2007,2nd Quintile,Rural regions,No,0.94736,791,11382,0.90783,0.99366
305,305,2007,3rd Quintile,Urban regions,No,1.0,1355,11382,0.95603,1.04115
306,306,2007,3rd Quintile,Rural regions,No,1.0,826,11382,0.95945,1.05116
307,307,2007,4th Quintile,Urban regions,No,1.0,1543,11382,0.96224,1.03226
308,308,2007,4th Quintile,Rural regions,No,1.0,769,11382,0.94965,1.06178
309,309,2007,5th Quintile,Urban regions,No,1.0,2132,11382,0.96384,1.03735
310,310,2007,5th Quintile,Rural regions,No,1.0,701,11382,0.92104,1.07693
311,311,2008,1st Quintile,Urban regions,Yes,0.13942,160,10750,0.12562,0.15336
312,312,2008,1st Quintile,Urban regions,No,0.86058,1012,10750,0.82176,0.89929
313,313,2008,1st Quintile,Rural regions,Yes,0.1422,116,10750,0.1253,0.15674
314,314,2008,1st Quintile,Rural regions,No,0.8578,583,10750,0.80889,0.90453
315,315,2008,2nd Quintile,Urban regions,Yes,0.048,59,10750,0.0388,0.05775
316,316,2008,2nd Quintile,Urban regions,No,0.952,1133,10750,0.90976,0.98798
317,317,2008,2nd Quintile,Rural regions,No,1.0,762,10750,0.95184,1.0577
318,318,2008,3rd Quintile,Urban regions,No,1.0,1326,10750,0.96206,1.04132
319,319,2008,3rd Quintile,Rural regions,No,1.0,802,10750,0.95286,1.0561
320,320,2008,4th Quintile,Urban regions,No,1.0,1439,10750,0.96523,1.04357
321,321,2008,4th Quintile,Rural regions,No,1.0,677,10750,0.94183,1.05559
322,322,2008,5th Quintile,Urban regions,No,1.0,2019,10750,0.96282,1.04167
323,323,2008,5th Quintile,Rural regions,No,1.0,662,10750,0.92882,1.06515
324,324,2009,1st Quintile,Urban regions,Yes,0.14208,160,10032,0.12549,0.15984
