year,rentown,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Tenant,West,No,0.92209,2636,2873,0.91229,0.93189
1997,Tenant,East,Yes,0.12941,150,1220,0.11057,0.14826
1997,Tenant,East,No,0.86735,1070,1220,0.84831,0.88640
1998,Owner,West,No,0.98759,2193,2193,0.98295,0.99222
1998,Owner,East,No,0.97266,665,665,0.96025,0.98506
1998,Tenant,West,Yes,0.07627,258,3231,0.06712,0.08542
1998,Tenant,West,No,0.92103,2973,3231,0.91173,0.93033
1998,Tenant,East,Yes,0.13657,164,1277,0.11773,0.15541
1998,Tenant,East,No,0.86343,1113,1277,0.84459,0.88227
1999,Owner,West,No,0.99101,2158,2158,0.98703,0.99499
1999,Owner,East,No,0.96683,657,657,0.95313,0.98053
1999,Tenant,West,Yes,0.07683,245,3015,0.06732,0.08634
1999,Tenant,West,No,0.91323,2770,3015,0.90318,0.92328
1999,Tenant,East,Yes,0.14302,163,1242,0.12354,0.16250
1999,Tenant,East,No,0.85298,1079,1242,0.83327,0.87268
2000,Owner,West,Yes,0.00559,34,4654,0.00345,0.00773
2000,Owner,West,No,0.99111,4620,4654,0.98842,0.99381
2000,Owner,East,No,0.97993,1132,1132,0.97176,0.98810
2000,Tenant,West,Yes,0.06635,366,5202,0.05958,0.07311
2000,Tenant,West,No,0.93259,4836,5202,0.92577,0.93940
2000,Tenant,East,Yes,0.12839,252,1914,0.11340,0.14338
2000,Tenant,East,No,0.86942,1662,1914,0.85432,0.88452
2001,Owner,West,Yes,0.00705,36,4158,0.00451,0.00959
2001,Owner,West,No,0.99136,4122,4158,0.98855,0.99418
2001,Owner,East,No,0.98199,1080,1080,0.97405,0.98992
2001,Tenant,West,Yes,0.07539,374,4651,0.06780,0.08298
2001,Tenant,West,No,0.91940,4277,4651,0.91157,0.92722
2001,Tenant,East,Yes,0.14636,260,1737,0.12974,0.16299
2001,Tenant,East,No,0.85248,1477,1737,0.83580,0.86916
2002,Owner,West,Yes,0.00945,40,4733,0.00669,0.01221
2002,Owner,West,No,0.98983,4693,4733,0.98697,0.99268
2002,Owner,East,No,0.97984,1088,1088,0.97149,0.98820
2002,Tenant,West,Yes,0.07381,336,4618,0.06627,0.08135
2002,Tenant,West,No,0.92089,4282,4618,0.91310,0.92868
2002,Tenant,East,Yes,0.13400,232,1728,0.11793,0.15006
2002,Tenant,East,No,0.86372,1496,1728,0.84754,0.87990
2003,Owner,West,Yes,0.00765,34,4551,0.00512,0.01019
2003,Owner,West,No,0.99235,4517,4551,0.98981,0.99488
2003,Owner,East,No,0.97330,1080,1080,0.96369,0.98292
2003,Tenant,West,Yes,0.08387,360,4428,0.07570,0.09203
2003,Tenant,West,No,0.91040,4068,4428,0.90198,0.91881
2003,Tenant,East,Yes,0.13834,235,1694,0.12190,0.15479
2003,Tenant,East,No,0.86010,1459,1694,0.84357,0.87662
2004,Owner,West,Yes,0.01082,44,4456,0.00778,0.01386
2004,Owner,West,No,0.98918,4412,4456,0.98614,0.99222
2004,Owner,East,Yes,0.03740,36,1105,0.02621,0.04859
2004,Owner,East,No,0.96260,1069,1105,0.95141,0.97379
2004,Tenant,West,Yes,0.08859,371,4310,0.08011,0.09708
2004,Tenant,West,No,0.90716,3939,4310,0.89850,0.91583
2004,Tenant,East,Yes,0.16176,255,1649,0.14398,0.17954
2004,Tenant,East,No,0.83491,1394,1649,0.81698,0.85283
2005,Owner,West,Yes,0.00938,33,4278,0.00649,0.01227
2005,Owner,West,No,0.98960,4245,4278,0.98656,0.99264
2005,Owner,East,No,0.96275,1075,1075,0.95143,0.97408
2005,Tenant,West,Yes,0.09653,369,4217,0.08762,0.10545
2005,Tenant,West,No,0.90030,3848,4217,0.89125,0.90934
2005,Tenant,East,Yes,0.16378,250,1577,0.14551,0.18205
2005,Tenant,East,No,0.82861,1327,1577,0.81000,0.84722
2006,Owner,West,No,0.99399,4769,4769,0.99179,0.99618
2006,Owner,East,No,0.96166,1177,1177,0.95069,0.97264
2006,Tenant,West,Yes,0.06569,292,4528,0.05847,0.07290
2006,Tenant,West,No,0.92995,4236,4528,0.92251,0.93738
2006,Tenant,East,Yes,0.12520,215,1709,0.10951,0.14090
2006,Tenant,East,No,0.86596,1494,1709,0.84980,0.88212
2007,Owner,West,No,0.99529,4460,4460,0.99329,0.99730
2007,Owner,East,No,0.97387,1118,1118,0.96451,0.98322
2007,Tenant,West,Yes,0.06268,247,4194,0.05534,0.07001
2007,Tenant,West,No,0.93121,3947,4194,0.92354,0.93887
2007,Tenant,East,Yes,0.11857,185,1614,0.10279,0.13434
2007,Tenant,East,No,0.87838,1429,1614,0.86243,0.89433
2008,Owner,West,No,0.99399,4251,4251,0.99166,0.99631
2008,Owner,East,No,0.98620,1087,1087,0.97926,0.99314
2008,Tenant,West,Yes,0.06076,223,3895,0.05326,0.06826
2008,Tenant,West,No,0.93863,3672,3895,0.93109,0.94617
2008,Tenant,East,Yes,0.08965,139,1546,0.07540,0.10389
2008,Tenant,East,No,0.90996,1407,1546,0.89569,0.92423
2009,Owner,West,No,0.99057,3950,3950,0.98755,0.99358
2009,Owner,East,No,0.98467,1066,1066,0.97730,0.99205
2009,Tenant,West,Yes,0.05593,200,3604,0.04843,0.06344
2009,Tenant,West,No,0.92870,3404,3604,0.92030,0.93711
2009,Tenant,East,Yes,0.09461,143,1447,0.07953,0.10970
2009,Tenant,East,No,0.88115,1304,1447,0.86447,0.89783
2010,Owner,West,Yes,0.00396,51,5090,0.00224,0.00569
2010,Owner,West,No,0.99580,5039,5090,0.99402,0.99758
2010,Owner,East,No,0.97733,1209,1209,0.96894,0.98573
2010,Tenant,West,Yes,0.05359,466,5546,0.04766,0.05951
2010,Tenant,West,No,0.94567,5080,5546,0.93970,0.95163
2010,Tenant,East,Yes,0.09847,210,1919,0.08513,0.11180
2010,Tenant,East,No,0.90100,1709,1919,0.88764,0.91437
2011,Owner,West,Yes,0.00411,66,6179,0.00251,0.00570
2011,Owner,West,No,0.96923,6113,6179,0.96493,0.97354
2011,Owner,East,Yes,0.01002,33,1382,0.00476,0.01527
2011,Owner,East,No,0.96291,1349,1382,0.95294,0.97288
2011,Tenant,West,Yes,0.05253,615,6479,0.04710,0.05796
2011,Tenant,West,No,0.93117,5864,6479,0.92500,0.93733
2011,Tenant,East,Yes,0.08256,295,2277,0.07126,0.09387
2011,Tenant,East,No,0.88343,1982,2277,0.87025,0.89661
2012,Owner,West,Yes,0.00471,73,6103,0.00299,0.00643
2012,Owner,West,No,0.97356,6030,6103,0.96954,0.97759
2012,Owner,East,No,0.95545,1310,1310,0.94428,0.96663
2012,Tenant,West,Yes,0.04886,539,6259,0.04351,0.05420
2012,Tenant,West,No,0.92720,5720,6259,0.92076,0.93364
2012,Tenant,East,Yes,0.07499,277,2279,0.06417,0.08580
2012,Tenant,East,No,0.89150,2002,2279,0.87873,0.90427
2013,Owner,West,Yes,0.00302,56,6246,0.00166,0.00438
2013,Owner,West,No,0.97310,6190,6246,0.96909,0.97711
2013,Owner,East,No,0.96205,1277,1277,0.95157,0.97254
2013,Tenant,West,Yes,0.04344,543,7728,0.03889,0.04798
2013,Tenant,West,No,0.93441,7185,7728,0.92889,0.93993
2013,Tenant,East,Yes,0.07396,248,2266,0.06318,0.08473
2013,Tenant,East,No,0.89689,2018,2266,0.88436,0.90941
2014,Owner,West,Yes,0.00228,40,5761,0.00105,0.00352
2014,Owner,West,No,0.98359,5721,5761,0.98031,0.98687
2014,Owner,East,No,0.97857,1199,1199,0.97036,0.98677
2014,Tenant,West,Yes,0.04511,449,6582,0.04009,0.05012
2014,Tenant,West,No,0.94354,6133,6582,0.93797,0.94912
2014,Tenant,East,Yes,0.06001,188,2136,0.04993,0.07008
2014,Tenant,East,No,0.93613,1948,2136,0.92576,0.94650
2015,Owner,West,No,0.96742,5368,5368,0.96267,0.97217
2015,Owner,East,No,0.94462,1133,1133,0.93130,0.95795
2015,Tenant,West,Yes,0.03673,371,6799,0.03226,0.04120
2015,Tenant,West,No,0.93385,6428,6799,0.92794,0.93976
2015,Tenant,East,Yes,0.05633,146,2034,0.04631,0.06636
2015,Tenant,East,No,0.89719,1888,2034,0.88399,0.91039
2016,Owner,West,No,0.98215,5049,5049,0.97850,0.98580
2016,Owner,East,No,0.97219,1125,1125,0.96258,0.98180
2016,Tenant,West,Yes,0.03835,320,6045,0.03351,0.04319
2016,Tenant,West,No,0.95165,5725,6045,0.94624,0.95706
2016,Tenant,East,Yes,0.04625,116,1897,0.03679,0.05570
2016,Tenant,East,No,0.93406,1781,1897,0.92289,0.94523
2017,Owner,West,No,0.98670,5666,5666,0.98372,0.98969
2017,Owner,East,No,0.98270,1288,1288,0.97557,0.98982
2017,Tenant,West,Yes,0.03409,420,7964,0.03010,0.03807
2017,Tenant,West,No,0.95657,7544,7964,0.95210,0.96105
2017,Tenant,East,Yes,0.05412,140,2385,0.04504,0.06320
2017,Tenant,East,No,0.92686,2245,2385,0.91641,0.93731
2018,Owner,West,No,0.99026,5438,5438,0.98764,0.99287
2018,Owner,East,No,0.97137,1224,1224,0.96202,0.98071
2018,Tenant,West,Yes,0.03771,664,8526,0.03367,0.04176
2018,Tenant,West,No,0.95519,7862,8526,0.95080,0.95958
2018,Tenant,East,Yes,0.05233,172,2508,0.04362,0.06105
2018,Tenant,East,No,0.93385,2336,2508,0.92412,0.94358
2019,Owner,West,No,0.98927,6253,6253,0.98671,0.99182
2019,Owner,East,No,0.96934,1523,1523,0.96068,0.97800
2019,Tenant,West,Yes,0.04255,458,8104,0.03816,0.04695
2019,Tenant,West,No,0.95100,7646,8104,0.94630,0.95570
2019,Tenant,East,Yes,0.04622,129,2340,0.03771,0.05473
2019,Tenant,East,No,0.93707,2211,2340,0.92722,0.94691
2020,Owner,West,No,0.97650,5500,5500,0.97250,0.98050
2020,Owner,East,No,0.97987,1335,1335,0.97234,0.98741
2020,Tenant,West,Yes,0.03646,460,9769,0.03274,0.04017
2020,Tenant,West,No,0.94782,9309,9769,0.94341,0.95223
2020,Tenant,East,Yes,0.03741,103,2448,0.02989,0.04493
2020,Tenant,East,No,0.93423,2345,2448,0.92441,0.94405
2021,Owner,West,No,0.98623,4100,4100,0.98266,0.98980
2021,Owner,East,No,0.98709,942,942,0.97987,0.99430
2021,Tenant,West,Yes,0.03492,355,5790,0.03020,0.03965
2021,Tenant,West,No,0.95918,5435,5790,0.95408,0.96427
2021,Tenant,East,Yes,0.03553,70,1621,0.02652,0.04455
2021,Tenant,East,No,0.95089,1551,1621,0.94037,0.96141
2022,Owner,West,No,0.98327,6219,6219,0.98009,0.98646
2022,Owner,East,No,0.97812,1524,1524,0.97077,0.98547
2022,Tenant,West,Yes,0.03286,376,9610,0.02930,0.03643
2022,Tenant,West,No,0.95123,9234,9610,0.94692,0.95553
2022,Tenant,East,Yes,0.03801,99,2786,0.03090,0.04511
2022,Tenant,East,No,0.92955,2687,2786,0.92005,0.93906
