year,bula_h,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Bremen,No,0.98936,125,125,0.97130,1.00742
2019,North Rhine-Westphalia,Yes,0.01765,91,3276,0.01314,0.02216
2019,North Rhine-Westphalia,No,0.98235,3185,3276,0.97784,0.98686
2019,Hesse,Yes,0.02486,40,1090,0.01561,0.03411
2019,Hesse,No,0.97514,1050,1090,0.96589,0.98439
2019,"Rhineland-Palatinate, Saarland",No,0.98149,893,893,0.97265,0.99034
2019,Baden-Wuerttemberg,Yes,0.02592,65,1694,0.01835,0.03349
2019,Baden-Wuerttemberg,No,0.97408,1629,1694,0.96651,0.98165
2019,Bavaria,Yes,0.02290,79,2526,0.01707,0.02873
2019,Bavaria,No,0.97710,2447,2526,0.97127,0.98293
2019,Berlin,Yes,0.03082,44,740,0.01836,0.04328
2019,Berlin,No,0.96918,696,740,0.95672,0.98164
2019,Brandenburg,No,0.98658,705,705,0.97808,0.99508
2019,Mecklenburg-Western Pomerania,No,0.98604,394,394,0.97443,0.99764
2019,Saxony,No,0.98043,1012,1012,0.97189,0.98897
2019,Saxony-Anhalt,No,0.98482,557,557,0.97465,0.99498
2019,Thuringa,No,0.97892,567,567,0.96708,0.99075
2020,Schleswig-Holstein,No,0.96319,530,530,0.94714,0.97923
2020,Hamburg,No,0.93000,346,346,0.90308,0.95692
2020,Lower Saxony,Yes,0.01495,31,1484,0.00878,0.02113
2020,Lower Saxony,No,0.98505,1453,1484,0.97887,0.99122
2020,Bremen,No,0.97467,135,135,0.94807,1.00128
2020,North Rhine-Westphalia,Yes,0.02032,84,3395,0.01557,0.02507
2020,North Rhine-Westphalia,No,0.97968,3311,3395,0.97493,0.98443
2020,Hesse,Yes,0.03339,44,1113,0.02283,0.04394
2020,Hesse,No,0.96661,1069,1113,0.95606,0.97717
2020,"Rhineland-Palatinate, Saarland",No,0.98285,847,847,0.97411,0.99160
2020,Baden-Wuerttemberg,Yes,0.02807,55,1741,0.02031,0.03583
2020,Baden-Wuerttemberg,No,0.97193,1686,1741,0.96417,0.97969
2020,Bavaria,Yes,0.02548,95,2631,0.01946,0.03150
2020,Bavaria,No,0.97452,2536,2631,0.96850,0.98054
2020,Berlin,Yes,0.02939,40,861,0.01810,0.04067
2020,Berlin,No,0.97061,821,861,0.95933,0.98190
2020,Brandenburg,No,0.97196,664,664,0.95939,0.98452
2020,Mecklenburg-Western Pomerania,No,0.98848,329,329,0.97693,1.00003
2020,Saxony,No,0.98389,964,964,0.97594,0.99184
2020,Saxony-Anhalt,No,0.98729,555,555,0.97796,0.99662
2020,Thuringa,No,0.97043,549,549,0.95625,0.98461
2021,Schleswig-Holstein,No,0.97164,415,415,0.95565,0.98763
2021,Hamburg,No,0.97197,256,256,0.95171,0.99223
2021,Lower Saxony,Yes,0.01983,32,1063,0.01145,0.02822
2021,Lower Saxony,No,0.98017,1031,1063,0.97178,0.98855
2021,Bremen,No,0.99155,77,77,0.97097,1.01213
2021,North Rhine-Westphalia,Yes,0.02087,73,2276,0.01500,0.02675
2021,North Rhine-Westphalia,No,0.97913,2203,2276,0.97325,0.98500
2021,Hesse,No,0.97980,679,679,0.96921,0.99039
2021,"Rhineland-Palatinate, Saarland",No,0.94847,519,519,0.92944,0.96751
2021,Baden-Wuerttemberg,Yes,0.02319,44,1219,0.01474,0.03164
2021,Baden-Wuerttemberg,No,0.97681,1175,1219,0.96836,0.98526
2021,Bavaria,Yes,0.02549,70,1752,0.01810,0.03287
2021,Bavaria,No,0.97451,1682,1752,0.96713,0.98190
2021,Berlin,No,0.95878,529,529,0.94183,0.97574
2021,Brandenburg,No,0.98877,436,436,0.97887,0.99867
2021,Mecklenburg-Western Pomerania,No,0.96630,254,254,0.94407,0.98854
2021,Saxony,No,0.96801,712,712,0.95508,0.98095
2021,Saxony-Anhalt,No,0.96563,359,359,0.94675,0.98450
2021,Thuringa,No,0.97952,371,371,0.96509,0.99395
2022,Schleswig-Holstein,No,0.98386,630,630,0.97402,0.99371
2022,Hamburg,No,0.95843,420,420,0.93932,0.97754
2022,Lower Saxony,Yes,0.02515,49,1627,0.01754,0.03277
2022,Lower Saxony,No,0.97485,1578,1627,0.96723,0.98246
2022,Bremen,No,0.96088,137,137,0.92829,0.99346
2022,North Rhine-Westphalia,Yes,0.02513,116,3919,0.02023,0.03003
2022,North Rhine-Westphalia,No,0.97487,3803,3919,0.96997,0.97977
2022,Hesse,Yes,0.03947,50,1248,0.02866,0.05027
2022,Hesse,No,0.96053,1198,1248,0.94973,0.97134
2022,"Rhineland-Palatinate, Saarland",No,0.97454,864,864,0.96403,0.98505
2022,Baden-Wuerttemberg,Yes,0.02533,75,2278,0.01888,0.03179
2022,Baden-Wuerttemberg,No,0.97467,2203,2278,0.96821,0.98112
2022,Bavaria,Yes,0.03118,129,3120,0.02508,0.03728
2022,Bavaria,No,0.96882,2991,3120,0.96272,0.97492
2022,Berlin,Yes,0.02906,53,1146,0.01933,0.03879
2022,Berlin,No,0.97094,1093,1146,0.96121,0.98067
2022,Brandenburg,No,0.99052,726,726,0.98347,0.99757
2022,Mecklenburg-Western Pomerania,No,0.97541,410,410,0.96040,0.99042
2022,Saxony,Yes,0.01388,31,1286,0.00748,0.02027
2022,Saxony,No,0.98612,1255,1286,0.97973,0.99252
2022,Saxony-Anhalt,No,0.97967,665,665,0.96894,0.99040
2022,Thuringa,No,0.98432,562,562,0.97405,0.99460
