year,bula_h,sampreg,hlc0182,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2019,Bavaria,West,No,1.00000,2523,16018,0,0.95247,0,1.04505
2019,Berlin,West,No,1.00000,402,16018,0,0.90851,0,1.11849
2019,Berlin,East,No,1.00000,273,16018,0,0.87046,0,1.14432
2019,Brandenburg,East,No,1.00000,717,16018,0,0.91145,0,1.10042
2019,Mecklenburg-Western Pomerania,East,No,1.00000,400,16018,0,0.85700,0,1.12851
2019,Saxony,East,No,1.00000,1038,16018,0,0.93208,0,1.07687
2019,Saxony-Anhalt,East,No,1.00000,568,16018,0,0.89921,0,1.11707
2019,Thuringa,East,No,1.00000,584,16018,0,0.90308,0,1.09787
2020,Schleswig-Holstein,West,No,1.00000,546,16215,0,0.91438,0,1.09590
2020,Hamburg,West,No,1.00000,362,16215,0,0.88807,0,1.10200
2020,Lower Saxony,West,No,1.00000,1479,16215,0,0.94246,0,1.05801
2020,Bremen,West,No,1.00000,140,16215,0,0.79661,0,1.23784
2020,North Rhine-Westphalia,West,No,1.00000,3385,16215,0,0.95931,0,1.04588
2020,Hesse,West,No,1.00000,1107,16215,0,0.93652,0,1.07292
2020,"Rhineland-Palatinate, Saarland",West,No,1.00000,860,16215,0,0.92246,0,1.06527
2020,Baden-Wuerttemberg,West,No,1.00000,1734,16215,0,0.94188,0,1.05623
2020,Bavaria,West,No,1.00000,2622,16215,0,0.95298,0,1.04146
2020,Berlin,West,No,1.00000,552,16215,0,0.88150,0,1.11469
2020,Berlin,East,No,1.00000,304,16215,0,0.86052,0,1.15839
2020,Brandenburg,East,No,1.00000,677,16215,0,0.91787,0,1.08156
2020,Mecklenburg-Western Pomerania,East,No,1.00000,336,16215,0,0.89592,0,1.13665
2020,Saxony,East,No,1.00000,984,16215,0,0.93049,0,1.07967
2020,Saxony-Anhalt,East,No,1.00000,560,16215,0,0.89495,0,1.10064
2020,Thuringa,East,No,1.00000,567,16215,0,0.91815,0,1.12577
2021,Schleswig-Holstein,West,No,1.00000,425,11032,0,0.88217,0,1.11073
2021,Hamburg,West,No,1.00000,265,11032,0,0.86831,0,1.15024
2021,Lower Saxony,West,No,1.00000,1056,11032,0,0.93670,0,1.06702
2021,Bremen,West,No,1.00000,79,11032,0,0.74552,0,1.28392
2021,North Rhine-Westphalia,West,No,1.00000,2269,11032,0,0.95300,0,1.04995
2021,Hesse,West,No,1.00000,698,11032,0,0.90830,0,1.08953
2021,"Rhineland-Palatinate, Saarland",West,No,1.00000,533,11032,0,0.90385,0,1.10338
2021,Baden-Wuerttemberg,West,No,1.00000,1217,11032,0,0.93247,0,1.06517
2021,Bavaria,West,No,1.00000,1742,11032,0,0.94500,0,1.06332
2021,Berlin,West,No,1.00000,357,11032,0,0.87292,0,1.12368
2021,Berlin,East,No,1.00000,200,11032,0,0.84597,0,1.22257
2021,Brandenburg,East,No,1.00000,446,11032,0,0.88998,0,1.12262
2021,Mecklenburg-Western Pomerania,East,No,1.00000,261,11032,0,0.86147,0,1.15826
2021,Saxony,East,No,1.00000,732,11032,0,0.90271,0,1.08744
2021,Saxony-Anhalt,East,No,1.00000,370,11032,0,0.85716,0,1.13246
2021,Thuringa,East,No,1.00000,382,11032,0,0.85746,0,1.15121
