year,bula_h,pgisced97,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Germany,0.99803,38,38,0.98372,1.01233
1984,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Germany,0.97425,36,36,0.92178,1.02672
1984,Baden-Wuerttemberg,Primary Level,Southern Europe,0.37638,162,235,0.31430,0.43845
1984,Baden-Wuerttemberg,Primary Level,Western Asia,0.27145,73,235,0.21447,0.32843
1984,Baden-Wuerttemberg,Lower Secondary Level,Germany,0.85344,413,636,0.82593,0.88095
1984,Baden-Wuerttemberg,Lower Secondary Level,Southern Europe,0.03654,149,636,0.02195,0.05113
1984,Baden-Wuerttemberg,Lower Secondary Level,Western Asia,0.02928,74,636,0.01617,0.04240
1984,Baden-Wuerttemberg,Upper Secondary Level,Germany,0.90325,692,851,0.88338,0.92312
1984,Baden-Wuerttemberg,Upper Secondary Level,Southern Europe,0.01977,114,851,0.01041,0.02913
1984,Baden-Wuerttemberg,Upper Secondary Level,Western Asia,0.01190,45,851,0.00461,0.01919
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,Germany,0.94462,109,109,0.90149,0.98776
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,Germany,0.88839,100,100,0.82637,0.95042
1984,Bavaria,Primary Level,Southern Europe,0.27681,55,87,0.18225,0.37137
1984,Bavaria,Primary Level,Western Asia,0.24769,32,87,0.15645,0.33892
1984,Bavaria,Lower Secondary Level,Germany,0.91505,432,554,0.89182,0.93829
1984,Bavaria,Lower Secondary Level,Southern Europe,0.02259,79,554,0.01021,0.03498
1984,Bavaria,Lower Secondary Level,Western Asia,0.01776,43,554,0.00675,0.02876
1984,Bavaria,Upper Secondary Level,Germany,0.93738,890,957,0.92202,0.95274
1984,Bavaria,Upper Secondary Level,Southern Europe,0.01156,67,957,0.00479,0.01834
1984,Bavaria,Post-secondary Non-tertiary Level,Germany,0.81812,33,33,0.68447,0.95178
1984,Bavaria,First Stage of Tertiary Education,Germany,0.95675,124,124,0.92080,0.99270
1984,Bavaria,Second Stage of Tertiary Education,Germany,0.90995,130,130,0.86056,0.95935
1984,Berlin,Lower Secondary Level,Germany,0.91122,66,66,0.84207,0.98037
1984,Berlin,Upper Secondary Level,Germany,0.91816,150,150,0.87414,0.96217
1984,Berlin,Second Stage of Tertiary Education,Germany,0.89804,32,32,0.79152,1.00456
1985,Schleswig-Holstein,Lower Secondary Level,Germany,0.95708,74,74,0.91059,1.00358
1985,Schleswig-Holstein,Upper Secondary Level,Germany,0.98759,185,185,0.97160,1.00359
1985,Hamburg,Lower Secondary Level,Germany,0.93543,42,42,0.86021,1.01066
1985,Hamburg,Upper Secondary Level,Germany,0.93812,121,121,0.89501,0.98123
1985,Lower Saxony,Lower Secondary Level,Germany,0.94571,268,268,0.91853,0.97289
1985,Lower Saxony,Upper Secondary Level,Germany,0.95457,488,488,0.93607,0.97306
1985,Lower Saxony,First Stage of Tertiary Education,Germany,0.93399,67,67,0.87408,0.99389
1985,Lower Saxony,Second Stage of Tertiary Education,Germany,0.95705,69,69,0.90886,1.00524
1985,Bremen,Lower Secondary Level,Germany,0.94245,31,31,0.85912,1.02579
1985,Bremen,Upper Secondary Level,Germany,0.88681,49,49,0.79718,0.97644
1985,North Rhine-Westphalia,Pre-primary Level,Germany,0.93732,51,51,0.87014,1.00451
1985,North Rhine-Westphalia,Primary Level,Southern Europe,0.27047,126,214,0.21081,0.33012
1985,North Rhine-Westphalia,Primary Level,Western Asia,0.28983,88,214,0.22890,0.35076
1985,North Rhine-Westphalia,Lower Secondary Level,Germany,0.89383,512,719,0.87130,0.91637
1985,North Rhine-Westphalia,Lower Secondary Level,Southern Europe,0.02680,108,719,0.01498,0.03861
1985,North Rhine-Westphalia,Lower Secondary Level,Western Asia,0.03409,99,719,0.02081,0.04736
1985,North Rhine-Westphalia,Upper Secondary Level,Germany,0.93162,1178,1333,0.91806,0.94517
1985,North Rhine-Westphalia,Upper Secondary Level,Southern Europe,0.01323,95,1333,0.00710,0.01937
1985,North Rhine-Westphalia,Upper Secondary Level,Western Asia,0.01034,60,1333,0.00491,0.01578
1985,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Germany,0.88023,57,57,0.79519,0.96527
1985,North Rhine-Westphalia,First Stage of Tertiary Education,Germany,0.89641,133,133,0.84442,0.94839
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,Germany,0.92098,194,194,0.88292,0.95904
1985,Hesse,Primary Level,Southern Europe,0.26239,45,79,0.16476,0.36002
1985,Hesse,Primary Level,Western Asia,0.26005,34,79,0.16270,0.35740
1985,Hesse,Lower Secondary Level,Germany,0.84432,184,302,0.80337,0.88528
1985,Hesse,Lower Secondary Level,Southern Europe,0.04204,69,302,0.01937,0.06471
1985,Hesse,Lower Secondary Level,Western Asia,0.03481,49,302,0.01410,0.05552
1985,Hesse,Upper Secondary Level,Germany,0.89894,373,479,0.87192,0.92596
1985,Hesse,Upper Secondary Level,Southern Europe,0.02765,62,479,0.01295,0.04236
1985,Hesse,Upper Secondary Level,Western Asia,0.02125,44,479,0.00832,0.03417
1985,Hesse,First Stage of Tertiary Education,Germany,0.96012,50,50,0.90532,1.01491
1985,Hesse,Second Stage of Tertiary Education,Germany,0.84567,69,69,0.75980,0.93153
1985,"Rhineland-Palatinate, Saarland",Primary Level,Southern Europe,0.36823,38,38,0.21282,0.52365
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Germany,0.94669,225,225,0.91727,0.97611
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Germany,0.95168,316,316,0.92800,0.97536
1985,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Germany,0.99760,34,34,0.98089,1.01430
1985,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Germany,0.97279,35,35,0.91809,1.02748
1985,Baden-Wuerttemberg,Pre-primary Level,Germany,0.95170,35,35,0.87964,1.02377
1985,Baden-Wuerttemberg,Primary Level,Southern Europe,0.37588,140,201,0.30875,0.44301
1985,Baden-Wuerttemberg,Primary Level,Western Asia,0.21758,61,201,0.16039,0.27476
1985,Baden-Wuerttemberg,Lower Secondary Level,Germany,0.83909,353,554,0.80847,0.86972
1985,Baden-Wuerttemberg,Lower Secondary Level,Southern Europe,0.04390,135,554,0.02683,0.06098
1985,Baden-Wuerttemberg,Lower Secondary Level,Western Asia,0.02846,66,554,0.01460,0.04232
1985,Baden-Wuerttemberg,Upper Secondary Level,Germany,0.89393,631,779,0.87230,0.91557
1985,Baden-Wuerttemberg,Upper Secondary Level,Southern Europe,0.02169,103,779,0.01145,0.03192
1985,Baden-Wuerttemberg,Upper Secondary Level,Western Asia,0.01149,45,779,0.00400,0.01898
1985,Baden-Wuerttemberg,First Stage of Tertiary Education,Germany,0.94374,102,102,0.89880,0.98868
1985,Baden-Wuerttemberg,Second Stage of Tertiary Education,Germany,0.88916,91,91,0.82430,0.95402
1985,Bavaria,Primary Level,Southern Europe,0.22934,42,42,0.10065,0.35802
1985,Bavaria,Lower Secondary Level,Germany,0.91127,400,506,0.88647,0.93607
1985,Bavaria,Lower Secondary Level,Southern Europe,0.02408,69,506,0.01071,0.03745
1985,Bavaria,Lower Secondary Level,Western Asia,0.01637,37,506,0.00530,0.02744
1985,Bavaria,Upper Secondary Level,Germany,0.93323,809,866,0.91660,0.94987
1985,Bavaria,Upper Secondary Level,Southern Europe,0.01132,57,866,0.00427,0.01837
1985,Bavaria,First Stage of Tertiary Education,Germany,0.96296,115,115,0.92829,0.99763
1985,Bavaria,Second Stage of Tertiary Education,Germany,0.92103,123,123,0.87317,0.96889
1985,Berlin,Lower Secondary Level,Germany,0.92456,61,61,0.85773,0.99139
1985,Berlin,Upper Secondary Level,Germany,0.90608,126,126,0.85494,0.95722
1985,Berlin,Second Stage of Tertiary Education,Germany,0.89759,32,32,0.79086,1.00432
1986,Schleswig-Holstein,Lower Secondary Level,Germany,0.94038,63,63,0.88144,0.99932
1986,Schleswig-Holstein,Upper Secondary Level,Germany,0.98623,170,170,0.96866,1.00380
1986,Hamburg,Lower Secondary Level,Germany,0.90163,36,36,0.80296,1.00029
1986,Hamburg,Upper Secondary Level,Germany,0.93539,106,106,0.88836,0.98241
1986,Lower Saxony,Lower Secondary Level,Germany,0.94121,267,267,0.91295,0.96948
1986,Lower Saxony,Upper Secondary Level,Germany,0.94798,474,474,0.92796,0.96799
1986,Lower Saxony,First Stage of Tertiary Education,Germany,0.91143,64,64,0.84127,0.98159
1986,Lower Saxony,Second Stage of Tertiary Education,Germany,0.94403,74,74,0.89129,0.99676
1986,Bremen,Upper Secondary Level,Germany,0.89857,46,46,0.81036,0.98678
1986,North Rhine-Westphalia,Pre-primary Level,Germany,0.93252,58,58,0.86740,0.99765
1986,North Rhine-Westphalia,Primary Level,Southern Europe,0.24910,115,205,0.18975,0.30846
1986,North Rhine-Westphalia,Primary Level,Western Asia,0.29017,90,205,0.22789,0.35244
1986,North Rhine-Westphalia,Lower Secondary Level,Germany,0.88331,467,669,0.85896,0.90766
1986,North Rhine-Westphalia,Lower Secondary Level,Southern Europe,0.02921,105,669,0.01644,0.04198
1986,North Rhine-Westphalia,Lower Secondary Level,Western Asia,0.03661,97,669,0.02237,0.05086
1986,North Rhine-Westphalia,Upper Secondary Level,Germany,0.93067,1146,1292,0.91681,0.94452
1986,North Rhine-Westphalia,Upper Secondary Level,Southern Europe,0.01249,88,1292,0.00643,0.01854
1986,North Rhine-Westphalia,Upper Secondary Level,Western Asia,0.01001,58,1292,0.00458,0.01544
1986,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Germany,0.89283,58,58,0.81252,0.97313
1986,North Rhine-Westphalia,First Stage of Tertiary Education,Germany,0.89098,129,129,0.83699,0.94497
1986,North Rhine-Westphalia,Second Stage of Tertiary Education,Germany,0.91897,190,190,0.88007,0.95788
1986,Hesse,Primary Level,Southern Europe,0.30333,41,41,0.16087,0.44579
1986,Hesse,Lower Secondary Level,Germany,0.82769,166,270,0.78256,0.87282
1986,Hesse,Lower Secondary Level,Southern Europe,0.04566,65,270,0.02071,0.07061
1986,Hesse,Lower Secondary Level,Western Asia,0.03506,39,270,0.01308,0.05704
1986,Hesse,Upper Secondary Level,Germany,0.89427,344,433,0.86527,0.92327
1986,Hesse,Upper Secondary Level,Southern Europe,0.02809,52,433,0.01251,0.04367
1986,Hesse,Upper Secondary Level,Western Asia,0.01805,37,433,0.00550,0.03061
1986,Hesse,First Stage of Tertiary Education,Germany,0.95240,47,47,0.89087,1.01393
1986,Hesse,Second Stage of Tertiary Education,Germany,0.85843,73,73,0.77791,0.93896
1986,"Rhineland-Palatinate, Saarland",Primary Level,Southern Europe,0.32655,32,32,0.16146,0.49163
1986,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Germany,0.94357,219,219,0.91294,0.97420
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Germany,0.95220,327,327,0.92904,0.97536
1986,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Germany,0.99716,32,32,0.97843,1.01589
1986,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Germany,0.96838,34,34,0.90868,1.02808
1986,Baden-Wuerttemberg,Primary Level,Southern Europe,0.34088,117,179,0.27125,0.41052
1986,Baden-Wuerttemberg,Primary Level,Western Asia,0.23190,62,179,0.16990,0.29390
1986,Baden-Wuerttemberg,Lower Secondary Level,Germany,0.81966,338,545,0.78735,0.85197
1986,Baden-Wuerttemberg,Lower Secondary Level,Southern Europe,0.04882,137,545,0.03071,0.06693
1986,Baden-Wuerttemberg,Lower Secondary Level,Western Asia,0.03190,70,545,0.01714,0.04667
1986,Baden-Wuerttemberg,Upper Secondary Level,Germany,0.88958,623,771,0.86744,0.91172
1986,Baden-Wuerttemberg,Upper Secondary Level,Southern Europe,0.02314,102,771,0.01252,0.03376
1986,Baden-Wuerttemberg,Upper Secondary Level,Western Asia,0.01295,46,771,0.00496,0.02093
1986,Baden-Wuerttemberg,First Stage of Tertiary Education,Germany,0.93544,95,95,0.88577,0.98512
1986,Baden-Wuerttemberg,Second Stage of Tertiary Education,Germany,0.87635,90,90,0.80796,0.94474
1986,Bavaria,Primary Level,Southern Europe,0.21163,36,36,0.07631,0.34696
1986,Bavaria,Lower Secondary Level,Germany,0.89632,352,464,0.86855,0.92409
1986,Bavaria,Lower Secondary Level,Southern Europe,0.02894,72,464,0.01367,0.04421
1986,Bavaria,Lower Secondary Level,Western Asia,0.01949,40,464,0.00690,0.03209
1986,Bavaria,Upper Secondary Level,Germany,0.92853,758,808,0.91075,0.94630
1986,Bavaria,Upper Secondary Level,Southern Europe,0.01050,50,808,0.00347,0.01753
1986,Bavaria,First Stage of Tertiary Education,Germany,0.96453,103,103,0.92863,1.00043
1986,Bavaria,Second Stage of Tertiary Education,Germany,0.92540,121,121,0.87838,0.97241
1986,Berlin,Lower Secondary Level,Germany,0.92302,54,54,0.85125,0.99478
1986,Berlin,Upper Secondary Level,Germany,0.91074,127,127,0.86095,0.96052
1987,Schleswig-Holstein,Lower Secondary Level,Germany,0.93726,58,58,0.87431,1.00021
1987,Schleswig-Holstein,Upper Secondary Level,Germany,0.98565,173,173,0.96787,1.00342
1987,Hamburg,Upper Secondary Level,Germany,0.93836,96,96,0.88999,0.98672
1987,Lower Saxony,Lower Secondary Level,Germany,0.93174,246,246,0.90017,0.96332
1987,Lower Saxony,Upper Secondary Level,Germany,0.95187,499,499,0.93307,0.97067
1987,Lower Saxony,First Stage of Tertiary Education,Germany,0.91690,64,64,0.84874,0.98506
1987,Lower Saxony,Second Stage of Tertiary Education,Germany,0.95059,72,72,0.90017,1.00100
1987,Bremen,Upper Secondary Level,Germany,0.90024,45,45,0.81169,0.98879
1987,North Rhine-Westphalia,Pre-primary Level,Germany,0.94560,65,65,0.89004,1.00117
1987,North Rhine-Westphalia,Primary Level,Southern Europe,0.26870,109,191,0.20566,0.33173
1987,North Rhine-Westphalia,Primary Level,Western Asia,0.29680,82,191,0.23184,0.36177
1987,North Rhine-Westphalia,Lower Secondary Level,Germany,0.87441,450,655,0.84901,0.89981
1987,North Rhine-Westphalia,Lower Secondary Level,Southern Europe,0.03169,104,655,0.01826,0.04512
1987,North Rhine-Westphalia,Lower Secondary Level,Western Asia,0.04237,101,655,0.02693,0.05781
1987,North Rhine-Westphalia,Upper Secondary Level,Germany,0.92628,1131,1272,0.91192,0.94065
1987,North Rhine-Westphalia,Upper Secondary Level,Southern Europe,0.01209,83,1272,0.00608,0.01809
1987,North Rhine-Westphalia,Upper Secondary Level,Western Asia,0.01040,58,1272,0.00482,0.01598
1987,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Germany,0.88391,56,56,0.79925,0.96857
1987,North Rhine-Westphalia,First Stage of Tertiary Education,Germany,0.88859,126,126,0.83344,0.94375
1987,North Rhine-Westphalia,Second Stage of Tertiary Education,Germany,0.92411,194,194,0.88675,0.96148
1987,Hesse,Primary Level,Southern Europe,0.27779,39,73,0.17432,0.38125
1987,Hesse,Primary Level,Western Asia,0.30021,34,73,0.19434,0.40608
1987,Hesse,Lower Secondary Level,Germany,0.79656,154,262,0.74772,0.84540
1987,Hesse,Lower Secondary Level,Southern Europe,0.05521,62,262,0.02750,0.08291
1987,Hesse,Lower Secondary Level,Western Asia,0.03992,46,262,0.01617,0.06367
1987,Hesse,Upper Secondary Level,Germany,0.88988,347,442,0.86066,0.91909
1987,Hesse,Upper Secondary Level,Southern Europe,0.02836,55,442,0.01286,0.04385
1987,Hesse,Upper Secondary Level,Western Asia,0.01857,40,442,0.00597,0.03117
1987,Hesse,First Stage of Tertiary Education,Germany,0.94770,43,43,0.88038,1.01503
1987,Hesse,Second Stage of Tertiary Education,Germany,0.85643,75,75,0.77654,0.93633
1987,"Rhineland-Palatinate, Saarland",Primary Level,Southern Europe,0.41449,32,32,0.24107,0.58791
1987,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Germany,0.94416,214,214,0.91333,0.97500
1987,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Germany,0.94754,325,325,0.92326,0.97182
1987,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Germany,0.96825,37,37,0.91098,1.02553
1987,Baden-Wuerttemberg,Primary Level,Southern Europe,0.36046,121,180,0.29012,0.43080
1987,Baden-Wuerttemberg,Primary Level,Western Asia,0.22090,59,180,0.16013,0.28168
1987,Baden-Wuerttemberg,Lower Secondary Level,Germany,0.80614,338,551,0.77310,0.83918
1987,Baden-Wuerttemberg,Lower Secondary Level,Southern Europe,0.05424,140,551,0.03531,0.07317
1987,Baden-Wuerttemberg,Lower Secondary Level,Western Asia,0.03576,73,551,0.02024,0.05127
1987,Baden-Wuerttemberg,Upper Secondary Level,Germany,0.88602,608,753,0.86331,0.90874
1987,Baden-Wuerttemberg,Upper Secondary Level,Southern Europe,0.02417,99,753,0.01319,0.03514
1987,Baden-Wuerttemberg,Upper Secondary Level,Western Asia,0.01368,46,753,0.00538,0.02198
1987,Baden-Wuerttemberg,First Stage of Tertiary Education,Germany,0.93693,97,97,0.88831,0.98556
1987,Baden-Wuerttemberg,Second Stage of Tertiary Education,Germany,0.89135,87,87,0.82558,0.95712
1987,Bavaria,Primary Level,Southern Europe,0.27369,33,33,0.11921,0.42817
1987,Bavaria,Lower Secondary Level,Germany,0.87923,325,437,0.84864,0.90982
1987,Bavaria,Lower Secondary Level,Southern Europe,0.03382,74,437,0.01685,0.05079
1987,Bavaria,Lower Secondary Level,Western Asia,0.02519,38,437,0.01048,0.03989
1987,Bavaria,Upper Secondary Level,Germany,0.93353,761,810,0.91636,0.95069
1987,Bavaria,Upper Secondary Level,Southern Europe,0.01055,49,810,0.00351,0.01759
1987,Bavaria,First Stage of Tertiary Education,Germany,0.95947,93,93,0.91917,0.99976
1987,Bavaria,Second Stage of Tertiary Education,Germany,0.91378,118,118,0.86292,0.96464
1987,Berlin,Lower Secondary Level,Germany,0.91880,60,60,0.84910,0.98850
1987,Berlin,Upper Secondary Level,Germany,0.90451,123,123,0.85236,0.95666
1987,Berlin,Second Stage of Tertiary Education,Germany,0.90181,31,31,0.79533,1.00829
1988,Schleswig-Holstein,Lower Secondary Level,Germany,0.93652,56,56,0.87208,1.00096
1988,Schleswig-Holstein,Upper Secondary Level,Germany,0.98559,173,173,0.96778,1.00340
1988,Hamburg,Upper Secondary Level,Germany,0.94860,87,87,0.90192,0.99527
1988,Lower Saxony,Lower Secondary Level,Germany,0.93081,227,227,0.89772,0.96389
1988,Lower Saxony,Upper Secondary Level,Germany,0.95010,465,465,0.93029,0.96991
1988,Lower Saxony,First Stage of Tertiary Education,Germany,0.91758,64,64,0.84967,0.98549
1988,Lower Saxony,Second Stage of Tertiary Education,Germany,0.94553,72,72,0.89273,0.99832
1988,Bremen,Upper Secondary Level,Germany,0.90333,42,42,0.81288,0.99379
1988,North Rhine-Westphalia,Pre-primary Level,Germany,0.92365,58,58,0.85470,0.99259
1988,North Rhine-Westphalia,Primary Level,Southern Europe,0.22525,86,163,0.16092,0.28958
1988,North Rhine-Westphalia,Primary Level,Western Asia,0.32246,77,163,0.25048,0.39444
1988,North Rhine-Westphalia,Lower Secondary Level,Germany,0.87949,430,627,0.85398,0.90499
1988,North Rhine-Westphalia,Lower Secondary Level,Southern Europe,0.03136,99,627,0.01771,0.04502
1988,North Rhine-Westphalia,Lower Secondary Level,Western Asia,0.04004,98,627,0.02468,0.05540
1988,North Rhine-Westphalia,Upper Secondary Level,Germany,0.92549,1080,1214,0.91071,0.94026
1988,North Rhine-Westphalia,Upper Secondary Level,Southern Europe,0.01149,75,1214,0.00550,0.01749
1988,North Rhine-Westphalia,Upper Secondary Level,Western Asia,0.01028,59,1214,0.00460,0.01595
1988,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Germany,0.91563,62,62,0.84588,0.98538
1988,North Rhine-Westphalia,First Stage of Tertiary Education,Germany,0.88830,127,127,0.83329,0.94330
1988,North Rhine-Westphalia,Second Stage of Tertiary Education,Germany,0.93034,188,188,0.89386,0.96683
1988,Hesse,Primary Level,Southern Europe,0.26768,37,71,0.16396,0.37140
1988,Hesse,Primary Level,Western Asia,0.32981,34,71,0.21968,0.43995
1988,Hesse,Lower Secondary Level,Germany,0.79212,149,257,0.74241,0.84183
1988,Hesse,Lower Secondary Level,Southern Europe,0.05140,60,257,0.02435,0.07844
1988,Hesse,Lower Secondary Level,Western Asia,0.03812,48,257,0.01467,0.06158
1988,Hesse,Upper Secondary Level,Germany,0.89147,332,422,0.86176,0.92119
1988,Hesse,Upper Secondary Level,Southern Europe,0.02588,52,422,0.01072,0.04105
1988,Hesse,Upper Secondary Level,Western Asia,0.01718,38,422,0.00476,0.02959
1988,Hesse,First Stage of Tertiary Education,Germany,0.91209,39,39,0.82206,1.00212
1988,Hesse,Second Stage of Tertiary Education,Germany,0.88950,69,69,0.81499,0.96402
1988,"Rhineland-Palatinate, Saarland",Primary Level,Southern Europe,0.44816,33,33,0.27585,0.62047
1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Germany,0.95578,201,201,0.92728,0.98427
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Germany,0.94546,317,317,0.92042,0.97049
1988,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Germany,0.93178,35,35,0.84703,1.01653
1988,Baden-Wuerttemberg,Primary Level,Southern Europe,0.36426,114,170,0.29171,0.43682
1988,Baden-Wuerttemberg,Primary Level,Western Asia,0.21653,56,170,0.15443,0.27863
1988,Baden-Wuerttemberg,Lower Secondary Level,Germany,0.80778,324,528,0.77413,0.84142
1988,Baden-Wuerttemberg,Lower Secondary Level,Southern Europe,0.04718,130,528,0.02908,0.06528
1988,Baden-Wuerttemberg,Lower Secondary Level,Western Asia,0.03662,74,528,0.02059,0.05266
1988,Baden-Wuerttemberg,Upper Secondary Level,Germany,0.88368,590,733,0.86046,0.90691
1988,Baden-Wuerttemberg,Upper Secondary Level,Southern Europe,0.02528,99,733,0.01391,0.03665
1988,Baden-Wuerttemberg,Upper Secondary Level,Western Asia,0.01209,44,733,0.00418,0.02001
1988,Baden-Wuerttemberg,First Stage of Tertiary Education,Germany,0.93540,92,92,0.88490,0.98591
1988,Baden-Wuerttemberg,Second Stage of Tertiary Education,Germany,0.89980,83,83,0.83481,0.96479
1988,Bavaria,Primary Level,Southern Europe,0.28692,33,33,0.13019,0.44364
1988,Bavaria,Lower Secondary Level,Germany,0.88464,306,419,0.85402,0.91527
1988,Bavaria,Lower Secondary Level,Southern Europe,0.03177,73,419,0.01496,0.04859
1988,Bavaria,Lower Secondary Level,Western Asia,0.02584,40,419,0.01063,0.04105
1988,Bavaria,Upper Secondary Level,Germany,0.92868,715,766,0.91044,0.94692
1988,Bavaria,Upper Secondary Level,Southern Europe,0.01046,51,766,0.00325,0.01767
1988,Bavaria,First Stage of Tertiary Education,Germany,0.95631,86,86,0.91285,0.99976
1988,Bavaria,Second Stage of Tertiary Education,Germany,0.93101,110,110,0.88343,0.97859
1988,Berlin,Lower Secondary Level,Germany,0.91580,60,60,0.84494,0.98666
1988,Berlin,Upper Secondary Level,Germany,0.90627,111,111,0.85180,0.96074
1988,Berlin,Second Stage of Tertiary Education,Germany,0.92703,31,31,0.83396,1.02010
1989,Schleswig-Holstein,Lower Secondary Level,Germany,0.92498,48,48,0.84967,1.00029
1989,Schleswig-Holstein,Upper Secondary Level,Germany,0.98434,159,159,0.96499,1.00370
1989,Hamburg,Upper Secondary Level,Germany,0.94139,83,83,0.89054,0.99223
1989,Lower Saxony,Lower Secondary Level,Germany,0.92545,215,215,0.89026,0.96064
1989,Lower Saxony,Upper Secondary Level,Germany,0.94562,446,446,0.92455,0.96669
1989,Lower Saxony,First Stage of Tertiary Education,Germany,0.90962,58,58,0.83519,0.98406
1989,Lower Saxony,Second Stage of Tertiary Education,Germany,0.93549,68,68,0.87666,0.99431
1989,Bremen,Upper Secondary Level,Germany,0.88706,43,43,0.79133,0.98279
1989,North Rhine-Westphalia,No answer / don't know,Germany,0.85215,32,32,0.72720,0.97710
1989,North Rhine-Westphalia,Pre-primary Level,Germany,0.93043,64,64,0.86761,0.99326
1989,North Rhine-Westphalia,Primary Level,Southern Europe,0.24556,82,156,0.17780,0.31332
1989,North Rhine-Westphalia,Primary Level,Western Asia,0.32199,74,156,0.24843,0.39554
