year,age_gr,bula_h,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,66 and older,Bavaria,Germany,0.95789,178,178,0.92831,0.98748
1986,66 and older,Berlin,Germany,0.96827,35,35,0.90934,1.02719
1987,17-29 y.,Schleswig-Holstein,Germany,0.96527,73,73,0.92298,1.00756
1987,17-29 y.,Hamburg,Germany,0.92192,32,32,0.82747,1.01637
1987,17-29 y.,Lower Saxony,Germany,0.94588,278,278,0.91923,0.97252
1987,17-29 y.,North Rhine-Westphalia,Germany,0.90442,593,790,0.88391,0.92494
1987,17-29 y.,North Rhine-Westphalia,Southern Europe,0.01945,77,790,0.00982,0.02909
1987,17-29 y.,North Rhine-Westphalia,Western Asia,0.04340,120,790,0.02918,0.05762
1987,17-29 y.,Hesse,Germany,0.85322,185,297,0.81290,0.89354
1987,17-29 y.,Hesse,Southern Europe,0.03805,43,297,0.01626,0.05985
1987,17-29 y.,Hesse,Western Asia,0.06443,69,297,0.03646,0.09240
1987,17-29 y.,"Rhineland-Palatinate, Saarland",Germany,0.92569,184,184,0.88769,0.96369
1987,17-29 y.,Baden-Wuerttemberg,Germany,0.87161,384,571,0.84415,0.89908
1987,17-29 y.,Baden-Wuerttemberg,Southern Europe,0.04423,101,571,0.02735,0.06110
1987,17-29 y.,Baden-Wuerttemberg,Western Asia,0.03935,86,571,0.02339,0.05531
1987,17-29 y.,Bavaria,Germany,0.92811,409,446,0.90411,0.95211
1987,17-29 y.,Bavaria,Southern Europe,0.01447,37,446,0.00338,0.02557
1987,17-29 y.,Berlin,Germany,0.86728,58,58,0.77920,0.95535
1987,30-45 y.,Schleswig-Holstein,Germany,0.94204,94,94,0.89454,0.98953
1987,30-45 y.,Hamburg,Germany,0.82496,46,46,0.71393,0.93599
1987,30-45 y.,Lower Saxony,Germany,0.91278,242,242,0.87716,0.94840
1987,30-45 y.,North Rhine-Westphalia,Germany,0.86201,646,860,0.83894,0.88507
1987,30-45 y.,North Rhine-Westphalia,Southern Europe,0.03135,117,860,0.01970,0.04300
1987,30-45 y.,North Rhine-Westphalia,Western Asia,0.04008,97,860,0.02696,0.05320
1987,30-45 y.,Hesse,Germany,0.82671,181,254,0.78007,0.87335
1987,30-45 y.,Hesse,Southern Europe,0.05744,73,254,0.02877,0.08611
1987,30-45 y.,"Rhineland-Palatinate, Saarland",Germany,0.87903,129,163,0.82882,0.92925
1987,30-45 y.,"Rhineland-Palatinate, Saarland",Southern Europe,0.07103,34,163,0.03147,0.11058
1987,30-45 y.,Baden-Wuerttemberg,Germany,0.79527,312,525,0.76072,0.82982
1987,30-45 y.,Baden-Wuerttemberg,Southern Europe,0.06442,150,525,0.04340,0.08544
1987,30-45 y.,Baden-Wuerttemberg,Western Asia,0.04379,63,525,0.02627,0.06131
1987,30-45 y.,Bavaria,Germany,0.86716,384,492,0.83714,0.89719
1987,30-45 y.,Bavaria,Southern Europe,0.03838,74,492,0.02139,0.05537
1987,30-45 y.,Bavaria,Western Asia,0.02701,34,492,0.01267,0.04135
