"plb0022_h","year","sex","n","percent","lower_confidence","upper_confidence"
"Wehrpflicht/Zivildienst","1985","maennlich","38","0.00768915554483637","0.00537179015021174","0.010006520939461"
"Wehrpflicht/Zivildienst","1985","weiblich","","","",""
"Voll erwerbstaetig","1986","maennlich","3557","0.621716329252937","0.608619343163252","0.634813315342621"
"Voll erwerbstaetig","1986","weiblich","1474","0.234932885746403","0.223603170549905","0.2462626009429"
"Teilzeitbeschaeftigung","1986","maennlich","65","0.0128058830050916","0.00976938866444963","0.0158423773457335"
"Teilzeitbeschaeftigung","1986","weiblich","577","0.101909955205126","0.0938252243724927","0.10999468603776"
"Ausbildung/Lehre","1986","maennlich","210","0.0369391098490706","0.0318453728460157","0.0420328468521255"
"Ausbildung/Lehre","1986","weiblich","154","0.0262805644937029","0.0220056091453351","0.0305555198420708"
"Geringfuegig erwerbstaetig","1986","maennlich","41","0.00932975499792551","0.00673338781625985","0.0119261221795912"
"Geringfuegig erwerbstaetig","1986","weiblich","228","0.0395303613172274","0.0343231580464556","0.0447375645879991"
"Altersteilzeit mit Arbeitszeit Null","1986","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","weiblich","","","",""
"Freiwilliger Wehrdienst","1986","maennlich","","","",""
"Freiwilliger Wehrdienst","1986","weiblich","","","",""
"FSJ/FOeJ/BFD","1986","maennlich","","","",""
"FSJ/FOeJ/BFD","1986","weiblich","","","",""
"Werkstatt fuer Behinderte","1986","maennlich","","","",""
"Werkstatt fuer Behinderte","1986","weiblich","","","",""
"Nicht erwerbstaetig","1986","maennlich","1344","0.308140939497851","0.295671413373968","0.320610465621734"
"Nicht erwerbstaetig","1986","weiblich","2946","0.597346233237541","0.584240049059248","0.610452417415834"
"Betriebliches Praktikum","1986","maennlich","","","",""
"Betriebliches Praktikum","1986","weiblich","","","",""
"Wehrpflicht/Zivildienst","1986","maennlich","50","0.0110679833971246","0.00824255763956431","0.0138934091546849"
"Wehrpflicht/Zivildienst","1986","weiblich","","","",""
"Voll erwerbstaetig","1987","maennlich","3500","0.627773135443266","0.614644553364575","0.640901717521956"
"Voll erwerbstaetig","1987","weiblich","1457","0.23792151793455","0.226463167311011","0.249379868558088"
"Teilzeitbeschaeftigung","1987","maennlich","43","0.0096761550294558","0.00701755729546445","0.0123347527634472"
"Teilzeitbeschaeftigung","1987","weiblich","646","0.118026808932118","0.109344736160131","0.126708881704105"
"Ausbildung/Lehre","1987","maennlich","247","0.0391527699329877","0.0338850700889082","0.0444204697770673"
"Ausbildung/Lehre","1987","weiblich","189","0.0308282346850408","0.0261768730991645","0.0354795962709171"
"Geringfuegig erwerbstaetig","1987","maennlich","50","0.0124664594517404","0.00945303647684928","0.0154798824266316"
"Geringfuegig erwerbstaetig","1987","weiblich","165","0.0282773747653655","0.0238167458209782","0.0327380037097528"
"Altersteilzeit mit Arbeitszeit Null","1987","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","weiblich","","","",""
"Freiwilliger Wehrdienst","1987","maennlich","","","",""
"Freiwilliger Wehrdienst","1987","weiblich","","","",""
"FSJ/FOeJ/BFD","1987","maennlich","","","",""
"FSJ/FOeJ/BFD","1987","weiblich","","","",""
"Werkstatt fuer Behinderte","1987","maennlich","","","",""
"Werkstatt fuer Behinderte","1987","weiblich","","","",""
"Nicht erwerbstaetig","1987","maennlich","1315","0.298521593860967","0.286093411063348","0.310949776658587"
"Nicht erwerbstaetig","1987","weiblich","2848","0.584946063682926","0.571686916949215","0.598205210416637"
"Betriebliches Praktikum","1987","maennlich","","","",""
"Betriebliches Praktikum","1987","weiblich","","","",""
"Wehrpflicht/Zivildienst","1987","maennlich","53","0.0124098862815832","0.00940322246566931","0.015416550097497"
"Wehrpflicht/Zivildienst","1987","weiblich","","","",""
"Voll erwerbstaetig","1988","maennlich","3293","0.623632022139126","0.61014113135938","0.637122912918871"
"Voll erwerbstaetig","1988","weiblich","1376","0.238927028858342","0.227185668172866","0.250668389543817"
"Teilzeitbeschaeftigung","1988","maennlich","45","0.0092338985572541","0.00657042610725357","0.0118973710072546"
"Teilzeitbeschaeftigung","1988","weiblich","635","0.120479535069267","0.111516558627407","0.129442511511127"
"Ausbildung/Lehre","1988","maennlich","243","0.0376820070771008","0.0323793150292666","0.0429846991249349"
"Ausbildung/Lehre","1988","weiblich","187","0.0291413363583054","0.0245100101043981","0.0337726626122127"
"Geringfuegig erwerbstaetig","1988","maennlich","48","0.0112843853878541","0.00834304869117784","0.0142257220845304"
"Geringfuegig erwerbstaetig","1988","weiblich","160","0.0298545799321551","0.025168641909907","0.0345405179544033"
"Altersteilzeit mit Arbeitszeit Null","1988","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","weiblich","","","",""
"Freiwilliger Wehrdienst","1988","maennlich","","","",""
"Freiwilliger Wehrdienst","1988","weiblich","","","",""
"FSJ/FOeJ/BFD","1988","maennlich","","","",""
"FSJ/FOeJ/BFD","1988","weiblich","","","",""
"Werkstatt fuer Behinderte","1988","maennlich","","","",""
"Werkstatt fuer Behinderte","1988","weiblich","","","",""
"Nicht erwerbstaetig","1988","maennlich","1270","0.305365549665722","0.292540523230726","0.318190576100717"
"Nicht erwerbstaetig","1988","weiblich","2708","0.581544742057856","0.567961960377755","0.595127523737957"
"Betriebliches Praktikum","1988","maennlich","","","",""
"Betriebliches Praktikum","1988","weiblich","","","",""
"Wehrpflicht/Zivildienst","1988","maennlich","55","0.0128021371729436","0.00967163916846161","0.0159326351774255"
"Wehrpflicht/Zivildienst","1988","weiblich","","","",""
"Voll erwerbstaetig","1989","maennlich","3228","0.628470263079372","0.614773186753692","0.642167339405053"
"Voll erwerbstaetig","1989","weiblich","1405","0.24923521825907","0.237159156288161","0.26131128022998"
"Teilzeitbeschaeftigung","1989","maennlich","44","0.0105694881239408","0.00767075424613674","0.0134682220017449"
"Teilzeitbeschaeftigung","1989","weiblich","630","0.12286723170448","0.113702507787647","0.132031955621314"
"Ausbildung/Lehre","1989","maennlich","221","0.0380599389227362","0.0326362250717817","0.0434836527736907"
"Ausbildung/Lehre","1989","weiblich","156","0.0261297217433687","0.0216763737788845","0.0305830697078528"
"Geringfuegig erwerbstaetig","1989","maennlich","44","0.010563872657995","0.00766590069339735","0.0134618446225926"
"Geringfuegig erwerbstaetig","1989","weiblich","153","0.0286668169161964","0.0240083551963466","0.0333252786360461"
"Altersteilzeit mit Arbeitszeit Null","1989","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1989","weiblich","","","",""
"Freiwilliger Wehrdienst","1989","maennlich","","","",""
"Freiwilliger Wehrdienst","1989","weiblich","","","",""
"FSJ/FOeJ/BFD","1989","maennlich","","","",""
"FSJ/FOeJ/BFD","1989","weiblich","","","",""
"Werkstatt fuer Behinderte","1989","maennlich","","","",""
"Werkstatt fuer Behinderte","1989","weiblich","","","",""
"Nicht erwerbstaetig","1989","maennlich","1194","0.302005470493817","0.288991130943177","0.315019810044457"
"Nicht erwerbstaetig","1989","weiblich","2585","0.573101011376884","0.559292500946195","0.586909521807574"
"Betriebliches Praktikum","1989","maennlich","","","",""
"Betriebliches Praktikum","1989","weiblich","","","",""
"Wehrpflicht/Zivildienst","1989","maennlich","50","0.0103309667221386","0.00746478190453323","0.0131971515397439"
"Wehrpflicht/Zivildienst","1989","weiblich","","","",""
"Voll erwerbstaetig","1990","maennlich","3140","0.632277236837481","0.618480285895563","0.646074187779399"
"Voll erwerbstaetig","1990","weiblich","1383","0.252462333211044","0.240207023875061","0.264717642547027"
"Teilzeitbeschaeftigung","1990","maennlich","59","0.0130661843664873","0.00981690169064029","0.0163154670423343"
"Teilzeitbeschaeftigung","1990","weiblich","664","0.13629933570596","0.126620169709581","0.145978501702339"
"Ausbildung/Lehre","1990","maennlich","202","0.0388355311846782","0.0333073461857488","0.0443637161836076"
"Ausbildung/Lehre","1990","weiblich","142","0.0233182996910927","0.0190609982015163","0.0275756011806691"
"Geringfuegig erwerbstaetig","1990","maennlich","38","0.00930093610999036","0.00655428627132864","0.0120475859486521"
"Geringfuegig erwerbstaetig","1990","weiblich","142","0.0276157306928477","0.0229929139954759","0.0322385473902194"
"Altersteilzeit mit Arbeitszeit Null","1990","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1990","weiblich","","","",""
"Freiwilliger Wehrdienst","1990","maennlich","","","",""
"Freiwilliger Wehrdienst","1990","weiblich","","","",""
"FSJ/FOeJ/BFD","1990","maennlich","","","",""
"FSJ/FOeJ/BFD","1990","weiblich","","","",""
"Werkstatt fuer Behinderte","1990","maennlich","","","",""
"Werkstatt fuer Behinderte","1990","weiblich","","","",""
"Nicht erwerbstaetig","1990","maennlich","1197","0.294909828337583","0.281862065835576","0.307957590839589"
"Nicht erwerbstaetig","1990","weiblich","2496","0.560304300699056","0.546302060336484","0.574306541061628"
"Betriebliches Praktikum","1990","maennlich","","","",""
"Betriebliches Praktikum","1990","weiblich","","","",""
"Wehrpflicht/Zivildienst","1990","maennlich","56","0.0116102831637804","0.00854511289462678","0.014675453432934"
"Wehrpflicht/Zivildienst","1990","weiblich","","","",""
"Voll erwerbstaetig","1991","maennlich","4305","0.615571899962","0.603891434749359","0.627252365174641"
"Voll erwerbstaetig","1991","weiblich","2208","0.264697418186712","0.254366928163569","0.275027908209855"
"Teilzeitbeschaeftigung","1991","maennlich","355","0.0406841448544815","0.0359405608981429","0.0454277288108201"
"Teilzeitbeschaeftigung","1991","weiblich","1101","0.143844389263824","0.135626962514977","0.152061816012671"
"Ausbildung/Lehre","1991","maennlich","282","0.0358413790522264","0.0313778354193966","0.0403049226850562"
"Ausbildung/Lehre","1991","weiblich","233","0.0275495497409381","0.0237168568773642","0.031382242604512"
"Geringfuegig erwerbstaetig","1991","maennlich","63","0.0112291947090431","0.00869910856640372","0.0137592808516824"
"Geringfuegig erwerbstaetig","1991","weiblich","181","0.0287191640852321","0.0248083125276853","0.032630015642779"
"Altersteilzeit mit Arbeitszeit Null","1991","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1991","weiblich","","","",""
"Freiwilliger Wehrdienst","1991","maennlich","","","",""
"Freiwilliger Wehrdienst","1991","weiblich","","","",""
"FSJ/FOeJ/BFD","1991","maennlich","","","",""
"FSJ/FOeJ/BFD","1991","weiblich","","","",""
"Werkstatt fuer Behinderte","1991","maennlich","","","",""
"Werkstatt fuer Behinderte","1991","weiblich","","","",""
"Nicht erwerbstaetig","1991","maennlich","1596","0.287188248770358","0.276324394220337","0.298052103320378"
"Nicht erwerbstaetig","1991","weiblich","3283","0.535189478723294","0.523510502263588","0.546868455183"
"Betriebliches Praktikum","1991","maennlich","","","",""
"Betriebliches Praktikum","1991","weiblich","","","",""
"Wehrpflicht/Zivildienst","1991","maennlich","62","0.0094851326518912","0.00715776288644946","0.0118125024173329"
"Wehrpflicht/Zivildienst","1991","weiblich","","","",""
"Voll erwerbstaetig","1992","maennlich","4259","0.615980525072631","0.604151415233716","0.627809634911547"
"Voll erwerbstaetig","1992","weiblich","2182","0.266335764861602","0.255907967735481","0.276763561987724"
"Teilzeitbeschaeftigung","1992","maennlich","117","0.0181862633755101","0.014936301704737","0.0214362250462832"
"Teilzeitbeschaeftigung","1992","weiblich","910","0.130235040494223","0.122295524414921","0.138174556573525"
"Ausbildung/Lehre","1992","maennlich","260","0.0323057387004505","0.0280054177527492","0.0366060596481517"
"Ausbildung/Lehre","1992","weiblich","234","0.0270193540284648","0.0231944659111359","0.0308442421457937"
"Geringfuegig erwerbstaetig","1992","maennlich","68","0.0130413122292614","0.0102819921428932","0.0158006323156295"
"Geringfuegig erwerbstaetig","1992","weiblich","116","0.0176936482978212","0.0145836415905528","0.0208036550050895"
"Altersteilzeit mit Arbeitszeit Null","1992","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1992","weiblich","","","",""
"Freiwilliger Wehrdienst","1992","maennlich","","","",""
"Freiwilliger Wehrdienst","1992","weiblich","","","",""
"FSJ/FOeJ/BFD","1992","maennlich","","","",""
"FSJ/FOeJ/BFD","1992","weiblich","","","",""
"Werkstatt fuer Behinderte","1992","maennlich","","","",""
"Werkstatt fuer Behinderte","1992","weiblich","","","",""
"Nicht erwerbstaetig","1992","maennlich","1737","0.31189262745308","0.300625256081253","0.323159998824907"
"Nicht erwerbstaetig","1992","weiblich","3461","0.558716192317888","0.547002770605598","0.570429614030178"
"Betriebliches Praktikum","1992","maennlich","","","",""
"Betriebliches Praktikum","1992","weiblich","","","",""
"Wehrpflicht/Zivildienst","1992","maennlich","53","0.00859353316906644","0.00634859852855943","0.0108384678095734"
"Wehrpflicht/Zivildienst","1992","weiblich","","","",""
"Voll erwerbstaetig","1993","maennlich","4120","0.608015894477283","0.596048835435443","0.619982953519122"
"Voll erwerbstaetig","1993","weiblich","2111","0.263229080443156","0.252751178384198","0.273706982502115"
"Teilzeitbeschaeftigung","1993","maennlich","88","0.0136703512045997","0.0108239466941573","0.0165167557150422"
"Teilzeitbeschaeftigung","1993","weiblich","879","0.129450369668071","0.121463261269712","0.13743747806643"
"Ausbildung/Lehre","1993","maennlich","272","0.0357091094477067","0.0311603886491364","0.040257830246277"
"Ausbildung/Lehre","1993","weiblich","248","0.0277320603953305","0.0238252240920952","0.0316388966985657"
"Geringfuegig erwerbstaetig","1993","maennlich","51","0.010394670430418","0.00790849303362062","0.0128808478272153"
"Geringfuegig erwerbstaetig","1993","weiblich","149","0.025040077274131","0.0213225652867716","0.0287575892614903"
"Altersteilzeit mit Arbeitszeit Null","1993","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1993","weiblich","","","",""
"Freiwilliger Wehrdienst","1993","maennlich","","","",""
"Freiwilliger Wehrdienst","1993","weiblich","","","",""
"FSJ/FOeJ/BFD","1993","maennlich","","","",""
"FSJ/FOeJ/BFD","1993","weiblich","","","",""
"Werkstatt fuer Behinderte","1993","maennlich","","","",""
"Werkstatt fuer Behinderte","1993","weiblich","","","",""
"Nicht erwerbstaetig","1993","maennlich","1810","0.323236114067952","0.311771108630065","0.33470111950584"
"Nicht erwerbstaetig","1993","weiblich","3399","0.554548412219311","0.542723139862544","0.566373684576078"
"Betriebliches Praktikum","1993","maennlich","","","",""
"Betriebliches Praktikum","1993","weiblich","","","",""
"Wehrpflicht/Zivildienst","1993","maennlich","52","0.00897386037204035","0.00666217913722369","0.011285541606857"
"Wehrpflicht/Zivildienst","1993","weiblich","","","",""
"Voll erwerbstaetig","1994","maennlich","3908","0.587663725441852","0.575451038823497","0.599876412060206"
"Voll erwerbstaetig","1994","weiblich","1994","0.25274099313078","0.242338866821203","0.263143119440356"
"Teilzeitbeschaeftigung","1994","maennlich","135","0.0226154781942976","0.0189269202025221","0.026304036186073"
"Teilzeitbeschaeftigung","1994","weiblich","849","0.124916288524225","0.117002525595515","0.132830051452936"
"Ausbildung/Lehre","1994","maennlich","227","0.0312069766409142","0.0268931533693532","0.0355207999124751"
"Ausbildung/Lehre","1994","weiblich","232","0.0233668966506218","0.0197510089072339","0.0269827843940097"
"Geringfuegig erwerbstaetig","1994","maennlich","59","0.011598804299408","0.00894239959175248","0.0142552090070636"
"Geringfuegig erwerbstaetig","1994","weiblich","178","0.0279129750647825","0.0239701787957923","0.0318557713337728"
"Altersteilzeit mit Arbeitszeit Null","1994","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1994","weiblich","","","",""
"Freiwilliger Wehrdienst","1994","maennlich","","","",""
"Freiwilliger Wehrdienst","1994","weiblich","","","",""
"FSJ/FOeJ/BFD","1994","maennlich","","","",""
"FSJ/FOeJ/BFD","1994","weiblich","","","",""
"Werkstatt fuer Behinderte","1994","maennlich","","","",""
"Werkstatt fuer Behinderte","1994","weiblich","","","",""
"Nicht erwerbstaetig","1994","maennlich","1850","0.337513488863491","0.325781947211256","0.349245030515727"
"Nicht erwerbstaetig","1994","weiblich","3452","0.571062846629591","0.559216416821915","0.582909276437266"
"Betriebliches Praktikum","1994","maennlich","","","",""
"Betriebliches Praktikum","1994","weiblich","","","",""
"Wehrpflicht/Zivildienst","1994","maennlich","62","0.00940152656003696","0.00700727920914604","0.0117957739109279"
"Wehrpflicht/Zivildienst","1994","weiblich","","","",""
"Voll erwerbstaetig","1995","maennlich","4083","0.589519406644722","0.577505049848708","0.601533763440737"
"Voll erwerbstaetig","1995","weiblich","2041","0.246217587335657","0.236074643760728","0.256360530910586"
"Teilzeitbeschaeftigung","1995","maennlich","96","0.0196864244381697","0.0162935242182105","0.0230793246581289"
"Teilzeitbeschaeftigung","1995","weiblich","915","0.125056357638628","0.117268385282742","0.132844329994515"
"Ausbildung/Lehre","1995","maennlich","245","0.0321624652601646","0.027853420028435","0.0364715104918943"
"Ausbildung/Lehre","1995","weiblich","213","0.0208264790813539","0.0174643124679136","0.0241886456947942"
"Geringfuegig erwerbstaetig","1995","maennlich","74","0.0125625343890605","0.00984234845979428","0.0152827203183267"
"Geringfuegig erwerbstaetig","1995","weiblich","218","0.0332647436094756","0.0290426550099484","0.0374868322090028"
"Altersteilzeit mit Arbeitszeit Null","1995","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1995","weiblich","","","",""
"Freiwilliger Wehrdienst","1995","maennlich","","","",""
"Freiwilliger Wehrdienst","1995","weiblich","","","",""
"FSJ/FOeJ/BFD","1995","maennlich","","","",""
"FSJ/FOeJ/BFD","1995","weiblich","","","",""
"Werkstatt fuer Behinderte","1995","maennlich","","","",""
"Werkstatt fuer Behinderte","1995","weiblich","","","",""
"Nicht erwerbstaetig","1995","maennlich","1890","0.337274187319785","0.325727333899202","0.348821040740369"
"Nicht erwerbstaetig","1995","weiblich","3542","0.574432749443711","0.562791886676879","0.586073612210543"
"Betriebliches Praktikum","1995","maennlich","","","",""
"Betriebliches Praktikum","1995","weiblich","","","",""
"Wehrpflicht/Zivildienst","1995","maennlich","52","0.00879498194809735","0.00651461688036244","0.0110753470158323"
"Wehrpflicht/Zivildienst","1995","weiblich","","","",""
"Voll erwerbstaetig","1996","maennlich","3952","0.585849807633623","0.573701004540366","0.59799861072688"
"Voll erwerbstaetig","1996","weiblich","1964","0.239356487568852","0.2292215842933","0.249491390844404"
"Teilzeitbeschaeftigung","1996","maennlich","103","0.0202181268613359","0.0167467914997131","0.0236894622229586"
"Teilzeitbeschaeftigung","1996","weiblich","952","0.135585628164682","0.127454061212925","0.14371719511644"
"Ausbildung/Lehre","1996","maennlich","236","0.0300411837809489","0.0258310433508222","0.0342513242110757"
"Ausbildung/Lehre","1996","weiblich","203","0.0201442060699761","0.0168071570665452","0.023481255073407"
"Geringfuegig erwerbstaetig","1996","maennlich","63","0.0113084723704744","0.00870055521943709","0.0139163895215116"
"Geringfuegig erwerbstaetig","1996","weiblich","208","0.0320247709211166","0.0278427946748779","0.0362067471673553"
"Altersteilzeit mit Arbeitszeit Null","1996","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1996","weiblich","","","",""
"Freiwilliger Wehrdienst","1996","maennlich","","","",""
"Freiwilliger Wehrdienst","1996","weiblich","","","",""
"FSJ/FOeJ/BFD","1996","maennlich","","","",""
"FSJ/FOeJ/BFD","1996","weiblich","","","",""
"Werkstatt fuer Behinderte","1996","maennlich","","","",""
"Werkstatt fuer Behinderte","1996","weiblich","","","",""
"Nicht erwerbstaetig","1996","maennlich","1911","0.344095002489851","0.332377877407963","0.355812127571739"
"Nicht erwerbstaetig","1996","weiblich","3482","0.572888907275373","0.561139605571591","0.584638208979155"
"Betriebliches Praktikum","1996","maennlich","","","",""
"Betriebliches Praktikum","1996","weiblich","","","",""
"Wehrpflicht/Zivildienst","1996","maennlich","50","0.00848740686376706","0.00622485761294143","0.0107499561145927"
"Wehrpflicht/Zivildienst","1996","weiblich","","","",""
"Voll erwerbstaetig","1997","maennlich","3823","0.574007620089268","0.561735489636441","0.586279750542095"
"Voll erwerbstaetig","1997","weiblich","1922","0.239117161571665","0.228886843150466","0.249347479992864"
"Teilzeitbeschaeftigung","1997","maennlich","93","0.0211879825913031","0.0176139815960902","0.0247619835865161"
"Teilzeitbeschaeftigung","1997","weiblich","901","0.131340834952736","0.123239632730624","0.139442037174848"
"Ausbildung/Lehre","1997","maennlich","233","0.0281703046338298","0.0240640008679175","0.032276608399742"
"Ausbildung/Lehre","1997","weiblich","195","0.0197581566695319","0.0164203228196261","0.0230959905194377"
"Geringfuegig erwerbstaetig","1997","maennlich","61","0.0100804998212019","0.0076013590264048","0.012559640615999"
"Geringfuegig erwerbstaetig","1997","weiblich","202","0.0293111298320017","0.0252655461557161","0.0333567135082873"
"Altersteilzeit mit Arbeitszeit Null","1997","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1997","weiblich","","","",""
"Freiwilliger Wehrdienst","1997","maennlich","","","",""
"Freiwilliger Wehrdienst","1997","weiblich","","","",""
"FSJ/FOeJ/BFD","1997","maennlich","","","",""
"FSJ/FOeJ/BFD","1997","weiblich","","","",""
"Werkstatt fuer Behinderte","1997","maennlich","","","",""
"Werkstatt fuer Behinderte","1997","weiblich","","","",""
"Nicht erwerbstaetig","1997","maennlich","1965","0.358096381246831","0.346197802281928","0.369994960211734"
"Nicht erwerbstaetig","1997","weiblich","3458","0.580472716974066","0.568636963942936","0.592308470005195"
"Betriebliches Praktikum","1997","maennlich","","","",""
"Betriebliches Praktikum","1997","weiblich","","","",""
"Wehrpflicht/Zivildienst","1997","maennlich","62","0.00845721161756633","0.00618457736509506","0.0107298458700376"
"Wehrpflicht/Zivildienst","1997","weiblich","","","",""
"Voll erwerbstaetig","1998","maennlich","4158","0.566886245283262","0.55520906054373","0.578563430022794"
"Voll erwerbstaetig","1998","weiblich","2085","0.23793211767348","0.228238101277556","0.247626134069403"
"Teilzeitbeschaeftigung","1998","maennlich","107","0.0216936813107185","0.0182605275042021","0.0251268351172349"
"Teilzeitbeschaeftigung","1998","weiblich","1007","0.135048202381825","0.127267465264402","0.142828939499248"
"Ausbildung/Lehre","1998","maennlich","274","0.0324738753551982","0.0282966528119393","0.0366510978984571"
"Ausbildung/Lehre","1998","weiblich","207","0.0190962870866619","0.0159804980672803","0.0222120761060435"
"Geringfuegig erwerbstaetig","1998","maennlich","81","0.0128603936457139","0.0102051423902609","0.0155156449011669"
"Geringfuegig erwerbstaetig","1998","weiblich","225","0.0257763036973833","0.0221686898096653","0.0293839175851014"
"Altersteilzeit mit Arbeitszeit Null","1998","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1998","weiblich","","","",""
"Freiwilliger Wehrdienst","1998","maennlich","","","",""
"Freiwilliger Wehrdienst","1998","weiblich","","","",""
"FSJ/FOeJ/BFD","1998","maennlich","","","",""
"FSJ/FOeJ/BFD","1998","weiblich","","","",""
"Werkstatt fuer Behinderte","1998","maennlich","","","",""
"Werkstatt fuer Behinderte","1998","weiblich","","","",""
"Nicht erwerbstaetig","1998","maennlich","2241","0.35906641472093","0.347761088190159","0.370371741251701"
"Nicht erwerbstaetig","1998","weiblich","3879","0.581043905370812","0.569811594438517","0.592276216303106"
"Betriebliches Praktikum","1998","maennlich","","","",""
"Betriebliches Praktikum","1998","weiblich","","","",""
"Wehrpflicht/Zivildienst","1998","maennlich","51","0.0059986325067869","0.00417889468163433","0.00781837033193946"
"Wehrpflicht/Zivildienst","1998","weiblich","","","",""
"Voll erwerbstaetig","1999","maennlich","4041","0.573861679058584","0.561972637912748","0.585750720204421"
"Voll erwerbstaetig","1999","weiblich","2020","0.243774309474705","0.233803364952407","0.253745253997003"
"Teilzeitbeschaeftigung","1999","maennlich","115","0.0221124848655719","0.0185771451864036","0.0256478245447402"
"Teilzeitbeschaeftigung","1999","weiblich","1006","0.131068610234571","0.123231450307348","0.138905770161794"
"Ausbildung/Lehre","1999","maennlich","252","0.0313409156226592","0.0271519264239878","0.0355299048213305"
"Ausbildung/Lehre","1999","weiblich","197","0.020283226708693","0.0170095528305836","0.0235569005868024"
"Geringfuegig erwerbstaetig","1999","maennlich","114","0.017635975426552","0.0144714842440899","0.020800466609014"
"Geringfuegig erwerbstaetig","1999","weiblich","327","0.0479399760257686","0.0429786508781778","0.0529013011733594"
"Altersteilzeit mit Arbeitszeit Null","1999","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1999","weiblich","","","",""
"Freiwilliger Wehrdienst","1999","maennlich","","","",""
