"plb0022_h","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstaetig","1984","16-34 Jahre alt","maennlich","556","0.246564412298196","0.228864973648059","0.264263850948333"
"Nicht erwerbstaetig","1984","16-34 Jahre alt","weiblich","1094","0.445305822519212","0.425185947538824","0.465425697499599"
"Nicht erwerbstaetig","1984","35-65 Jahre alt","maennlich","448","0.165193723062507","0.152367175416993","0.178020270708021"
"Nicht erwerbstaetig","1984","35-65 Jahre alt","weiblich","1717","0.576931214106352","0.559603965392951","0.594258462819752"
"Nicht erwerbstaetig","1984","66 und älter","maennlich","478","0.946346121024267","0.926770535292967","0.965921706755567"
"Nicht erwerbstaetig","1984","66 und älter","weiblich","752","0.976672270556259","0.96601780755499","0.987326733557529"
"Betriebliches Praktikum","1984","16-34 Jahre alt","maennlich","","","",""
"Betriebliches Praktikum","1984","16-34 Jahre alt","weiblich","","","",""
"Betriebliches Praktikum","1984","35-65 Jahre alt","maennlich","","","",""
"Betriebliches Praktikum","1984","35-65 Jahre alt","weiblich","","","",""
"Betriebliches Praktikum","1984","66 und älter","maennlich","","","",""
"Betriebliches Praktikum","1984","66 und älter","weiblich","","","",""
"Wehrpflicht/Zivildienst","1984","16-34 Jahre alt","maennlich","34","0.0200357763163962","0.0142816495045688","0.0257899031282236"
"Wehrpflicht/Zivildienst","1984","16-34 Jahre alt","weiblich","","","",""
"Wehrpflicht/Zivildienst","1984","35-65 Jahre alt","maennlich","","","",""
"Wehrpflicht/Zivildienst","1984","35-65 Jahre alt","weiblich","","","",""
"Wehrpflicht/Zivildienst","1984","66 und älter","maennlich","","","",""
"Wehrpflicht/Zivildienst","1984","66 und älter","weiblich","","","",""
"Voll erwerbstaetig","1985","16-34 Jahre alt","maennlich","1287","0.601266429444714","0.580339604865964","0.622193254023465"
"Voll erwerbstaetig","1985","16-34 Jahre alt","weiblich","798","0.412938215422381","0.391789101726993","0.434087329117768"
"Voll erwerbstaetig","1985","35-65 Jahre alt","maennlich","2430","0.805193181258853","0.790795992572126","0.819590369945579"
"Voll erwerbstaetig","1985","35-65 Jahre alt","weiblich","724","0.212818874530085","0.197867894348402","0.227769854711767"
"Voll erwerbstaetig","1985","66 und älter","maennlich","","","",""
"Voll erwerbstaetig","1985","66 und älter","weiblich","","","",""
"Teilzeitbeschaeftigung","1985","16-34 Jahre alt","maennlich","31","0.0167374040691296","0.0112545427094852","0.022220265428774"
"Teilzeitbeschaeftigung","1985","16-34 Jahre alt","weiblich","186","0.0916467305006198","0.0792532408528375","0.104040220148402"
"Teilzeitbeschaeftigung","1985","35-65 Jahre alt","maennlich","","","",""
"Teilzeitbeschaeftigung","1985","35-65 Jahre alt","weiblich","506","0.186886763402965","0.172647351748496","0.201126175057435"
"Teilzeitbeschaeftigung","1985","66 und älter","maennlich","","","",""
"Teilzeitbeschaeftigung","1985","66 und älter","weiblich","","","",""
"Ausbildung/Lehre","1985","16-34 Jahre alt","maennlich","168","0.079618928223212","0.0680492719244481","0.0911885845219758"
"Ausbildung/Lehre","1985","16-34 Jahre alt","weiblich","114","0.0664616119216831","0.055762216106398","0.0771610077369681"
"Ausbildung/Lehre","1985","35-65 Jahre alt","maennlich","","","",""
"Ausbildung/Lehre","1985","35-65 Jahre alt","weiblich","","","",""
"Ausbildung/Lehre","1985","66 und älter","maennlich","","","",""
"Ausbildung/Lehre","1985","66 und älter","weiblich","","","",""
"Geringfuegig erwerbstaetig","1985","16-34 Jahre alt","maennlich","38","0.0181912161334246","0.0124794189465826","0.0239030133202666"
"Geringfuegig erwerbstaetig","1985","16-34 Jahre alt","weiblich","69","0.0339443270880349","0.0261658888477577","0.041722765328312"
"Geringfuegig erwerbstaetig","1985","35-65 Jahre alt","maennlich","","","",""
"Geringfuegig erwerbstaetig","1985","35-65 Jahre alt","weiblich","98","0.0367848890079848","0.0299090828092994","0.0436606952066703"
"Geringfuegig erwerbstaetig","1985","66 und älter","maennlich","","","",""
"Geringfuegig erwerbstaetig","1985","66 und älter","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","16-34 Jahre alt","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","16-34 Jahre alt","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","35-65 Jahre alt","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","35-65 Jahre alt","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","66 und älter","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","66 und älter","weiblich","","","",""
"Freiwilliger Wehrdienst","1985","16-34 Jahre alt","maennlich","","","",""
"Freiwilliger Wehrdienst","1985","16-34 Jahre alt","weiblich","","","",""
"Freiwilliger Wehrdienst","1985","35-65 Jahre alt","maennlich","","","",""
"Freiwilliger Wehrdienst","1985","35-65 Jahre alt","weiblich","","","",""
"Freiwilliger Wehrdienst","1985","66 und älter","maennlich","","","",""
"Freiwilliger Wehrdienst","1985","66 und älter","weiblich","","","",""
"FSJ/FOeJ/BFD","1985","16-34 Jahre alt","maennlich","","","",""
"FSJ/FOeJ/BFD","1985","16-34 Jahre alt","weiblich","","","",""
"FSJ/FOeJ/BFD","1985","35-65 Jahre alt","maennlich","","","",""
"FSJ/FOeJ/BFD","1985","35-65 Jahre alt","weiblich","","","",""
"FSJ/FOeJ/BFD","1985","66 und älter","maennlich","","","",""
"FSJ/FOeJ/BFD","1985","66 und älter","weiblich","","","",""
"Werkstatt fuer Behinderte","1985","16-34 Jahre alt","maennlich","","","",""
"Werkstatt fuer Behinderte","1985","16-34 Jahre alt","weiblich","","","",""
"Werkstatt fuer Behinderte","1985","35-65 Jahre alt","maennlich","","","",""
"Werkstatt fuer Behinderte","1985","35-65 Jahre alt","weiblich","","","",""
"Werkstatt fuer Behinderte","1985","66 und älter","maennlich","","","",""
"Werkstatt fuer Behinderte","1985","66 und älter","weiblich","","","",""
"Nicht erwerbstaetig","1985","16-34 Jahre alt","maennlich","541","0.262865497923306","0.244052040375221","0.281678955471392"
"Nicht erwerbstaetig","1985","16-34 Jahre alt","weiblich","915","0.395009115067282","0.374010739317703","0.416007490816861"
"Nicht erwerbstaetig","1985","35-65 Jahre alt","maennlich","444","0.181503066618086","0.167491842271858","0.195514290964314"
"Nicht erwerbstaetig","1985","35-65 Jahre alt","weiblich","1551","0.563509473058965","0.545393349227926","0.581625596890004"
"Nicht erwerbstaetig","1985","66 und älter","maennlich","418","0.945627225502165","0.924606627811255","0.966647823193075"
"Nicht erwerbstaetig","1985","66 und älter","weiblich","652","0.976359229531195","0.964863872561276","0.987854586501114"
"Betriebliches Praktikum","1985","16-34 Jahre alt","maennlich","","","",""
"Betriebliches Praktikum","1985","16-34 Jahre alt","weiblich","","","",""
"Betriebliches Praktikum","1985","35-65 Jahre alt","maennlich","","","",""
"Betriebliches Praktikum","1985","35-65 Jahre alt","weiblich","","","",""
"Betriebliches Praktikum","1985","66 und älter","maennlich","","","",""
"Betriebliches Praktikum","1985","66 und älter","weiblich","","","",""
"Wehrpflicht/Zivildienst","1985","16-34 Jahre alt","maennlich","38","0.0213205242062132","0.0151467941780016","0.0274942542344248"
"Wehrpflicht/Zivildienst","1985","16-34 Jahre alt","weiblich","","","",""
"Wehrpflicht/Zivildienst","1985","35-65 Jahre alt","maennlich","","","",""
"Wehrpflicht/Zivildienst","1985","35-65 Jahre alt","weiblich","","","",""
"Wehrpflicht/Zivildienst","1985","66 und älter","maennlich","","","",""
"Wehrpflicht/Zivildienst","1985","66 und älter","weiblich","","","",""
"Voll erwerbstaetig","1986","16-34 Jahre alt","maennlich","1264","0.604457135743726","0.583468964796043","0.625445306691409"
"Voll erwerbstaetig","1986","16-34 Jahre alt","weiblich","750","0.404157829470719","0.382736622177947","0.425579036763492"
"Voll erwerbstaetig","1986","35-65 Jahre alt","maennlich","2286","0.798179047782749","0.783197282281301","0.813160813284197"
"Voll erwerbstaetig","1986","35-65 Jahre alt","weiblich","721","0.228914837349788","0.213186539753504","0.244643134946071"
"Voll erwerbstaetig","1986","66 und älter","maennlich","","","",""
"Voll erwerbstaetig","1986","66 und älter","weiblich","","","",""
"Teilzeitbeschaeftigung","1986","16-34 Jahre alt","maennlich","","","",""
"Teilzeitbeschaeftigung","1986","16-34 Jahre alt","weiblich","175","0.0938475791006366","0.0811179722254963","0.106577185975777"
"Teilzeitbeschaeftigung","1986","35-65 Jahre alt","maennlich","32","0.0127514166168547","0.00856326702609348","0.0169395662076159"
"Teilzeitbeschaeftigung","1986","35-65 Jahre alt","weiblich","397","0.149702219965176","0.136345703121111","0.16305873680924"
"Teilzeitbeschaeftigung","1986","66 und älter","maennlich","","","",""
"Teilzeitbeschaeftigung","1986","66 und älter","weiblich","","","",""
"Ausbildung/Lehre","1986","16-34 Jahre alt","maennlich","209","0.101134058817115","0.0881923613758271","0.114075756258404"
"Ausbildung/Lehre","1986","16-34 Jahre alt","weiblich","151","0.0835730080272304","0.0714925116290241","0.0956535044254367"
"Ausbildung/Lehre","1986","35-65 Jahre alt","maennlich","","","",""
"Ausbildung/Lehre","1986","35-65 Jahre alt","weiblich","","","",""
"Ausbildung/Lehre","1986","66 und älter","maennlich","","","",""
"Ausbildung/Lehre","1986","66 und älter","weiblich","","","",""
"Geringfuegig erwerbstaetig","1986","16-34 Jahre alt","maennlich","","","",""
"Geringfuegig erwerbstaetig","1986","16-34 Jahre alt","weiblich","76","0.0353549956693122","0.0272935676392179","0.0434164236994066"
"Geringfuegig erwerbstaetig","1986","35-65 Jahre alt","maennlich","","","",""
"Geringfuegig erwerbstaetig","1986","35-65 Jahre alt","weiblich","147","0.0555478020418279","0.0469731401642126","0.0641224639194432"
"Geringfuegig erwerbstaetig","1986","66 und älter","maennlich","","","",""
"Geringfuegig erwerbstaetig","1986","66 und älter","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","16-34 Jahre alt","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","16-34 Jahre alt","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","35-65 Jahre alt","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","35-65 Jahre alt","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","66 und älter","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","66 und älter","weiblich","","","",""
"Freiwilliger Wehrdienst","1986","16-34 Jahre alt","maennlich","","","",""
"Freiwilliger Wehrdienst","1986","16-34 Jahre alt","weiblich","","","",""
"Freiwilliger Wehrdienst","1986","35-65 Jahre alt","maennlich","","","",""
"Freiwilliger Wehrdienst","1986","35-65 Jahre alt","weiblich","","","",""
"Freiwilliger Wehrdienst","1986","66 und älter","maennlich","","","",""
"Freiwilliger Wehrdienst","1986","66 und älter","weiblich","","","",""
"FSJ/FOeJ/BFD","1986","16-34 Jahre alt","maennlich","","","",""
"FSJ/FOeJ/BFD","1986","16-34 Jahre alt","weiblich","","","",""
"FSJ/FOeJ/BFD","1986","35-65 Jahre alt","maennlich","","","",""
"FSJ/FOeJ/BFD","1986","35-65 Jahre alt","weiblich","","","",""
"FSJ/FOeJ/BFD","1986","66 und älter","maennlich","","","",""
"FSJ/FOeJ/BFD","1986","66 und älter","weiblich","","","",""
"Werkstatt fuer Behinderte","1986","16-34 Jahre alt","maennlich","","","",""
"Werkstatt fuer Behinderte","1986","16-34 Jahre alt","weiblich","","","",""
"Werkstatt fuer Behinderte","1986","35-65 Jahre alt","maennlich","","","",""
"Werkstatt fuer Behinderte","1986","35-65 Jahre alt","weiblich","","","",""
"Werkstatt fuer Behinderte","1986","66 und älter","maennlich","","","",""
"Werkstatt fuer Behinderte","1986","66 und älter","weiblich","","","",""
"Nicht erwerbstaetig","1986","16-34 Jahre alt","maennlich","509","0.236427074961496","0.218189422885254","0.254664727037738"
"Nicht erwerbstaetig","1986","16-34 Jahre alt","weiblich","864","0.383066587732101","0.361845916863889","0.404287258600313"
"Nicht erwerbstaetig","1986","35-65 Jahre alt","maennlich","427","0.182592287057375","0.168171456039927","0.197013118074822"
"Nicht erwerbstaetig","1986","35-65 Jahre alt","weiblich","1473","0.56519098721203","0.546632590422723","0.583749384001338"
"Nicht erwerbstaetig","1986","66 und älter","maennlich","408","0.967042800678154","0.950070073775184","0.984015527581125"
"Nicht erwerbstaetig","1986","66 und älter","weiblich","609","0.978878881807338","0.967578949763579","0.990178813851096"
"Betriebliches Praktikum","1986","16-34 Jahre alt","maennlich","","","",""
"Betriebliches Praktikum","1986","16-34 Jahre alt","weiblich","","","",""
"Betriebliches Praktikum","1986","35-65 Jahre alt","maennlich","","","",""
"Betriebliches Praktikum","1986","35-65 Jahre alt","weiblich","","","",""
"Betriebliches Praktikum","1986","66 und älter","maennlich","","","",""
"Betriebliches Praktikum","1986","66 und älter","weiblich","","","",""
"Wehrpflicht/Zivildienst","1986","16-34 Jahre alt","maennlich","50","0.0305008761880963","0.0231197109202008","0.0378820414559918"
"Wehrpflicht/Zivildienst","1986","16-34 Jahre alt","weiblich","","","",""
"Wehrpflicht/Zivildienst","1986","35-65 Jahre alt","maennlich","","","",""
"Wehrpflicht/Zivildienst","1986","35-65 Jahre alt","weiblich","","","",""
"Wehrpflicht/Zivildienst","1986","66 und älter","maennlich","","","",""
"Wehrpflicht/Zivildienst","1986","66 und älter","weiblich","","","",""
"Voll erwerbstaetig","1987","16-34 Jahre alt","maennlich","1239","0.613439777349044","0.592502516317448","0.634377038380641"
"Voll erwerbstaetig","1987","16-34 Jahre alt","weiblich","722","0.402249581292471","0.380585349742339","0.423913812842603"
"Voll erwerbstaetig","1987","35-65 Jahre alt","maennlich","2252","0.806897240718667","0.792008102420784","0.82178637901655"
"Voll erwerbstaetig","1987","35-65 Jahre alt","weiblich","730","0.241934220731547","0.225723520266826","0.258144921196268"
"Voll erwerbstaetig","1987","66 und älter","maennlich","","","",""
"Voll erwerbstaetig","1987","66 und älter","weiblich","","","",""
"Teilzeitbeschaeftigung","1987","16-34 Jahre alt","maennlich","","","",""
"Teilzeitbeschaeftigung","1987","16-34 Jahre alt","weiblich","170","0.0948983522813818","0.0819500282922545","0.107846676270509"
"Teilzeitbeschaeftigung","1987","35-65 Jahre alt","maennlich","","","",""
"Teilzeitbeschaeftigung","1987","35-65 Jahre alt","weiblich","471","0.185974529392837","0.171246473784565","0.20070258500111"
"Teilzeitbeschaeftigung","1987","66 und älter","maennlich","","","",""
"Teilzeitbeschaeftigung","1987","66 und älter","weiblich","","","",""
"Ausbildung/Lehre","1987","16-34 Jahre alt","maennlich","247","0.109315648170704","0.0958994829586229","0.122731813382786"
"Ausbildung/Lehre","1987","16-34 Jahre alt","weiblich","187","0.0984819281724396","0.0853175292592937","0.111646327085585"
"Ausbildung/Lehre","1987","35-65 Jahre alt","maennlich","","","",""
"Ausbildung/Lehre","1987","35-65 Jahre alt","weiblich","","","",""
"Ausbildung/Lehre","1987","66 und älter","maennlich","","","",""
"Ausbildung/Lehre","1987","66 und älter","weiblich","","","",""
"Geringfuegig erwerbstaetig","1987","16-34 Jahre alt","maennlich","","","",""
"Geringfuegig erwerbstaetig","1987","16-34 Jahre alt","weiblich","64","0.0319725854990268","0.0241999509082038","0.0397452200898498"
"Geringfuegig erwerbstaetig","1987","35-65 Jahre alt","maennlich","","","",""
"Geringfuegig erwerbstaetig","1987","35-65 Jahre alt","weiblich","96","0.0368458058288202","0.0297149505308668","0.0439766611267736"
"Geringfuegig erwerbstaetig","1987","66 und älter","maennlich","","","",""
"Geringfuegig erwerbstaetig","1987","66 und älter","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","16-34 Jahre alt","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","16-34 Jahre alt","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","35-65 Jahre alt","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","35-65 Jahre alt","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","66 und älter","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","66 und älter","weiblich","","","",""
"Freiwilliger Wehrdienst","1987","16-34 Jahre alt","maennlich","","","",""
"Freiwilliger Wehrdienst","1987","16-34 Jahre alt","weiblich","","","",""
"Freiwilliger Wehrdienst","1987","35-65 Jahre alt","maennlich","","","",""
"Freiwilliger Wehrdienst","1987","35-65 Jahre alt","weiblich","","","",""
"Freiwilliger Wehrdienst","1987","66 und älter","maennlich","","","",""
"Freiwilliger Wehrdienst","1987","66 und älter","weiblich","","","",""
"FSJ/FOeJ/BFD","1987","16-34 Jahre alt","maennlich","","","",""
"FSJ/FOeJ/BFD","1987","16-34 Jahre alt","weiblich","","","",""
"FSJ/FOeJ/BFD","1987","35-65 Jahre alt","maennlich","","","",""
"FSJ/FOeJ/BFD","1987","35-65 Jahre alt","weiblich","","","",""
"FSJ/FOeJ/BFD","1987","66 und älter","maennlich","","","",""
"FSJ/FOeJ/BFD","1987","66 und älter","weiblich","","","",""
"Werkstatt fuer Behinderte","1987","16-34 Jahre alt","maennlich","","","",""
"Werkstatt fuer Behinderte","1987","16-34 Jahre alt","weiblich","","","",""
"Werkstatt fuer Behinderte","1987","35-65 Jahre alt","maennlich","","","",""
"Werkstatt fuer Behinderte","1987","35-65 Jahre alt","weiblich","","","",""
"Werkstatt fuer Behinderte","1987","66 und älter","maennlich","","","",""
"Werkstatt fuer Behinderte","1987","66 und älter","weiblich","","","",""
"Nicht erwerbstaetig","1987","16-34 Jahre alt","maennlich","484","0.209145007459217","0.19165872454437","0.226631290374064"
"Nicht erwerbstaetig","1987","16-34 Jahre alt","weiblich","825","0.37239755275468","0.351038535463647","0.393756570045714"
"Nicht erwerbstaetig","1987","35-65 Jahre alt","maennlich","422","0.179533377505569","0.165056687705829","0.194010067305308"
"Nicht erwerbstaetig","1987","35-65 Jahre alt","weiblich","1382","0.533981396258313","0.515098684032568","0.552864108484058"
"Nicht erwerbstaetig","1987","66 und älter","maennlich","408","0.960792217589279","0.942425974723497","0.979158460455061"
"Nicht erwerbstaetig","1987","66 und älter","weiblich","641","0.980708574360799","0.970182939037597","0.991234209684001"
"Betriebliches Praktikum","1987","16-34 Jahre alt","maennlich","","","",""
"Betriebliches Praktikum","1987","16-34 Jahre alt","weiblich","","","",""
"Betriebliches Praktikum","1987","35-65 Jahre alt","maennlich","","","",""
"Betriebliches Praktikum","1987","35-65 Jahre alt","weiblich","","","",""
"Betriebliches Praktikum","1987","66 und älter","maennlich","","","",""
"Betriebliches Praktikum","1987","66 und älter","weiblich","","","",""
"Wehrpflicht/Zivildienst","1987","16-34 Jahre alt","maennlich","53","0.0346487557564353","0.0267853294410464","0.0425121820718242"
"Wehrpflicht/Zivildienst","1987","16-34 Jahre alt","weiblich","","","",""
"Wehrpflicht/Zivildienst","1987","35-65 Jahre alt","maennlich","","","",""
"Wehrpflicht/Zivildienst","1987","35-65 Jahre alt","weiblich","","","",""
"Wehrpflicht/Zivildienst","1987","66 und älter","maennlich","","","",""
"Wehrpflicht/Zivildienst","1987","66 und älter","weiblich","","","",""
"Voll erwerbstaetig","1988","16-34 Jahre alt","maennlich","1171","0.603485694384418","0.581900922238351","0.625070466530484"
"Voll erwerbstaetig","1988","16-34 Jahre alt","weiblich","674","0.400392284256172","0.378249606003491","0.422534962508853"
"Voll erwerbstaetig","1988","35-65 Jahre alt","maennlich","2112","0.806185387110485","0.790876133351145","0.821494640869825"
"Voll erwerbstaetig","1988","35-65 Jahre alt","weiblich","697","0.247450362757504","0.230707898565073","0.264192826949934"
"Voll erwerbstaetig","1988","66 und älter","maennlich","","","",""
"Voll erwerbstaetig","1988","66 und älter","weiblich","","","",""
"Teilzeitbeschaeftigung","1988","16-34 Jahre alt","maennlich","","","",""
"Teilzeitbeschaeftigung","1988","16-34 Jahre alt","weiblich","157","0.0900921366850056","0.0771532816876906","0.103030991682321"
"Teilzeitbeschaeftigung","1988","35-65 Jahre alt","maennlich","","","",""
"Teilzeitbeschaeftigung","1988","35-65 Jahre alt","weiblich","472","0.194383416895746","0.179030123096449","0.209736710695042"
"Teilzeitbeschaeftigung","1988","66 und älter","maennlich","","","",""
"Teilzeitbeschaeftigung","1988","66 und älter","weiblich","","","",""
"Ausbildung/Lehre","1988","16-34 Jahre alt","maennlich","241","0.104779840389914","0.0912657026376159","0.118293978142212"
"Ausbildung/Lehre","1988","16-34 Jahre alt","weiblich","186","0.0949887415746313","0.0817387149406409","0.108238768208622"
"Ausbildung/Lehre","1988","35-65 Jahre alt","maennlich","","","",""
"Ausbildung/Lehre","1988","35-65 Jahre alt","weiblich","","","",""
"Ausbildung/Lehre","1988","66 und älter","maennlich","","","",""
"Ausbildung/Lehre","1988","66 und älter","weiblich","","","",""
"Geringfuegig erwerbstaetig","1988","16-34 Jahre alt","maennlich","33","0.0196797080326028","0.013550873871212","0.0258085421939936"
"Geringfuegig erwerbstaetig","1988","16-34 Jahre alt","weiblich","68","0.0356589336986131","0.0272787565320546","0.0440391108651715"
"Geringfuegig erwerbstaetig","1988","35-65 Jahre alt","maennlich","","","",""
"Geringfuegig erwerbstaetig","1988","35-65 Jahre alt","weiblich","89","0.0380849231278544","0.0306589621358647","0.0455108841198441"
"Geringfuegig erwerbstaetig","1988","66 und älter","maennlich","","","",""
"Geringfuegig erwerbstaetig","1988","66 und älter","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","16-34 Jahre alt","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","16-34 Jahre alt","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","35-65 Jahre alt","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","35-65 Jahre alt","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","66 und älter","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","66 und älter","weiblich","","","",""
"Freiwilliger Wehrdienst","1988","16-34 Jahre alt","maennlich","","","",""
"Freiwilliger Wehrdienst","1988","16-34 Jahre alt","weiblich","","","",""
"Freiwilliger Wehrdienst","1988","35-65 Jahre alt","maennlich","","","",""
"Freiwilliger Wehrdienst","1988","35-65 Jahre alt","weiblich","","","",""
"Freiwilliger Wehrdienst","1988","66 und älter","maennlich","","","",""
"Freiwilliger Wehrdienst","1988","66 und älter","weiblich","","","",""
"FSJ/FOeJ/BFD","1988","16-34 Jahre alt","maennlich","","","",""
"FSJ/FOeJ/BFD","1988","16-34 Jahre alt","weiblich","","","",""
"FSJ/FOeJ/BFD","1988","35-65 Jahre alt","maennlich","","","",""
"FSJ/FOeJ/BFD","1988","35-65 Jahre alt","weiblich","","","",""
"FSJ/FOeJ/BFD","1988","66 und älter","maennlich","","","",""
"FSJ/FOeJ/BFD","1988","66 und älter","weiblich","","","",""
"Werkstatt fuer Behinderte","1988","16-34 Jahre alt","maennlich","","","",""
"Werkstatt fuer Behinderte","1988","16-34 Jahre alt","weiblich","","","",""
"Werkstatt fuer Behinderte","1988","35-65 Jahre alt","maennlich","","","",""
"Werkstatt fuer Behinderte","1988","35-65 Jahre alt","weiblich","","","",""
"Werkstatt fuer Behinderte","1988","66 und älter","maennlich","","","",""
"Werkstatt fuer Behinderte","1988","66 und älter","weiblich","","","",""
"Nicht erwerbstaetig","1988","16-34 Jahre alt","maennlich","444","0.220775624041548","0.202473926500022","0.239077321583073"
