"plb0022_h","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Teilzeitbeschaeftigung","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","522","0.0988834642160408","0.0911919615951817","0.1065749668369"
"Teilzeitbeschaeftigung","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","282","0.0731470836638609","0.0652584047791376","0.0810357625485841"
"Ausbildung/Lehre","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","107","0.0259398848655581","0.0211239870630814","0.0307557826680349"
"Geringfuegig erwerbstaetig","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","112","0.0224010765268917","0.0185880161808153","0.0262141368729681"
"Geringfuegig erwerbstaetig","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1456","0.327864539526253","0.313642038035769","0.342087041016738"
"Nicht erwerbstaetig","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1995","0.378290474878639","0.365794638208002","0.390786311549276"
"Nicht erwerbstaetig","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","66 und älter","Westdeutschland, alte Bundeslaender","1070","0.965303727621944","0.954576176566529","0.97603127867736"
"Nicht erwerbstaetig","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","38","0.010833346165927","0.00769705479002694","0.013969637541827"
"Wehrpflicht/Zivildienst","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2014","0.506556123083749","0.491254557319814","0.521857688847685"
"Voll erwerbstaetig","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","3007","0.50586835936934","0.492652791986799","0.519083926751881"
"Voll erwerbstaetig","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Voll erwerbstaetig","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","204","0.0533702399679469","0.0464909619554993","0.0602495179803945"
"Teilzeitbeschaeftigung","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","429","0.0830740943328316","0.0757787523951263","0.090369436270537"
"Teilzeitbeschaeftigung","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","360","0.0925506808329715","0.0836810773532586","0.101420284312684"
"Ausbildung/Lehre","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","100","0.0238295056640136","0.0191615839783037","0.0284974273497234"
"Geringfuegig erwerbstaetig","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","158","0.0314416591541481","0.0268288940065283","0.0360544243017679"
"Geringfuegig erwerbstaetig","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1373","0.308100597268361","0.29396966045842","0.322231534078302"
"Nicht erwerbstaetig","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1900","0.379052361972717","0.366228382428912","0.391876341516522"
"Nicht erwerbstaetig","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1986","66 und älter","Westdeutschland, alte Bundeslaender","1017","0.974609330507958","0.965080774111542","0.984137886904374"
"Nicht erwerbstaetig","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","50","0.0155928531829581","0.0118009837012578","0.0193847226646585"
"Wehrpflicht/Zivildienst","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1961","0.510261997673784","0.494858701468313","0.525665293879254"
"Voll erwerbstaetig","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2982","0.519395487272576","0.506046153151457","0.532744821393696"
"Voll erwerbstaetig","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Voll erwerbstaetig","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","197","0.0546625496822642","0.0476581079653895","0.0616669913991388"
"Teilzeitbeschaeftigung","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","481","0.0968842882349012","0.0889808698940489","0.104787706575753"
"Teilzeitbeschaeftigung","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","434","0.104022792745043","0.0946158632858516","0.113429722204235"
"Ausbildung/Lehre","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","92","0.0244290224266555","0.0196721924153672","0.0291858524379437"
"Geringfuegig erwerbstaetig","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","112","0.0231699675903755","0.019150312313451","0.0271896228673"
"Geringfuegig erwerbstaetig","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1309","0.288902664132866","0.27493655436971","0.302868773896022"
"Nicht erwerbstaetig","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1804","0.359907000719403","0.347082712179435","0.372731289259371"
"Nicht erwerbstaetig","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
