"plb0022_h","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstaetig","1984","(noch) kein Abschluss","638","0.679718703172859","0.654471598957714","0.704965807388003"
"Nicht erwerbstaetig","1984","Hauptschulabschluss","3109","0.49843803047946","0.486959613403114","0.509916447555806"
"Nicht erwerbstaetig","1984","Realschulabschluss","704","0.403179314695271","0.381052538114346","0.425306091276195"
"Nicht erwerbstaetig","1984","(Fach-)Abitur","386","0.491153256209892","0.457953031191005","0.52435348122878"
"Nicht erwerbstaetig","1984","AkademikerInnen","169","0.24363837812355","0.213760545536663","0.273516210710437"
"Betriebliches Praktikum","1984","(noch) kein Abschluss","","","",""
"Betriebliches Praktikum","1984","Hauptschulabschluss","","","",""
"Betriebliches Praktikum","1984","Realschulabschluss","","","",""
"Betriebliches Praktikum","1984","(Fach-)Abitur","","","",""
"Betriebliches Praktikum","1984","AkademikerInnen","","","",""
"Wehrpflicht/Zivildienst","1984","(noch) kein Abschluss","","","",""
"Wehrpflicht/Zivildienst","1984","Hauptschulabschluss","","","",""
"Wehrpflicht/Zivildienst","1984","Realschulabschluss","","","",""
"Wehrpflicht/Zivildienst","1984","(Fach-)Abitur","","","",""
"Wehrpflicht/Zivildienst","1984","AkademikerInnen","","","",""
"Voll erwerbstaetig","1985","(noch) kein Abschluss","482","0.243001814435614","0.21771354387048","0.268290085000748"
"Voll erwerbstaetig","1985","Hauptschulabschluss","3039","0.397795376658049","0.385871135654759","0.40971961766134"
"Voll erwerbstaetig","1985","Realschulabschluss","839","0.444836171175565","0.421998996713485","0.467673345637646"
"Voll erwerbstaetig","1985","(Fach-)Abitur","314","0.353276175914734","0.32000806792085","0.386544283908618"
"Voll erwerbstaetig","1985","AkademikerInnen","521","0.660801876800067","0.627098311680614","0.69450544191952"
"Teilzeitbeschaeftigung","1985","(noch) kein Abschluss","","","",""
"Teilzeitbeschaeftigung","1985","Hauptschulabschluss","458","0.0696176242686903","0.0634172318932439","0.0758180166441367"
"Teilzeitbeschaeftigung","1985","Realschulabschluss","159","0.0781742679369356","0.0658378786231747","0.0905106572506966"
"Teilzeitbeschaeftigung","1985","(Fach-)Abitur","53","0.0670686477968401","0.0496587542066949","0.0844785413869854"
"Teilzeitbeschaeftigung","1985","AkademikerInnen","50","0.0634464152680798","0.0460930643890119","0.0807997661471477"
"Ausbildung/Lehre","1985","(noch) kein Abschluss","","","",""
"Ausbildung/Lehre","1985","Hauptschulabschluss","122","0.0160236699435101","0.0129645101844989","0.0190828297025213"
"Ausbildung/Lehre","1985","Realschulabschluss","116","0.053942511835053","0.0435611079361928","0.0643239157339132"
"Ausbildung/Lehre","1985","(Fach-)Abitur","","","",""
"Ausbildung/Lehre","1985","AkademikerInnen","","","",""
"Geringfuegig erwerbstaetig","1985","(noch) kein Abschluss","","","",""
"Geringfuegig erwerbstaetig","1985","Hauptschulabschluss","125","0.0190920526164832","0.0157580243723194","0.0224260808606471"
"Geringfuegig erwerbstaetig","1985","Realschulabschluss","","","",""
"Geringfuegig erwerbstaetig","1985","(Fach-)Abitur","44","0.0597665397319802","0.0432675100127814","0.076265569451179"
"Geringfuegig erwerbstaetig","1985","AkademikerInnen","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","(noch) kein Abschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","Hauptschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","Realschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","(Fach-)Abitur","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","AkademikerInnen","","","",""
"Freiwilliger Wehrdienst","1985","(noch) kein Abschluss","","","",""
"Freiwilliger Wehrdienst","1985","Hauptschulabschluss","","","",""
"Freiwilliger Wehrdienst","1985","Realschulabschluss","","","",""
"Freiwilliger Wehrdienst","1985","(Fach-)Abitur","","","",""
"Freiwilliger Wehrdienst","1985","AkademikerInnen","","","",""
"FSJ/FOeJ/BFD","1985","(noch) kein Abschluss","","","",""
"FSJ/FOeJ/BFD","1985","Hauptschulabschluss","","","",""
"FSJ/FOeJ/BFD","1985","Realschulabschluss","","","",""
"FSJ/FOeJ/BFD","1985","(Fach-)Abitur","","","",""
"FSJ/FOeJ/BFD","1985","AkademikerInnen","","","",""
"Werkstatt fuer Behinderte","1985","(noch) kein Abschluss","","","",""
"Werkstatt fuer Behinderte","1985","Hauptschulabschluss","","","",""
"Werkstatt fuer Behinderte","1985","Realschulabschluss","","","",""
"Werkstatt fuer Behinderte","1985","(Fach-)Abitur","","","",""
"Werkstatt fuer Behinderte","1985","AkademikerInnen","","","",""
"Nicht erwerbstaetig","1985","(noch) kein Abschluss","574","0.70989861509958","0.683141454982338","0.736655775216821"
"Nicht erwerbstaetig","1985","Hauptschulabschluss","2719","0.495977385215735","0.483796333540567","0.508158436890903"
"Nicht erwerbstaetig","1985","Realschulabschluss","669","0.402752952333166","0.380214291221411","0.42529161344492"
"Nicht erwerbstaetig","1985","(Fach-)Abitur","339","0.455951444086826","0.421286570078287","0.490616318095366"
"Nicht erwerbstaetig","1985","AkademikerInnen","158","0.24163686276059","0.211162566189023","0.272111159332156"
"Betriebliches Praktikum","1985","(noch) kein Abschluss","","","",""
"Betriebliches Praktikum","1985","Hauptschulabschluss","","","",""
"Betriebliches Praktikum","1985","Realschulabschluss","","","",""
"Betriebliches Praktikum","1985","(Fach-)Abitur","","","",""
"Betriebliches Praktikum","1985","AkademikerInnen","","","",""
"Wehrpflicht/Zivildienst","1985","(noch) kein Abschluss","","","",""
"Wehrpflicht/Zivildienst","1985","Hauptschulabschluss","","","",""
"Wehrpflicht/Zivildienst","1985","Realschulabschluss","","","",""
"Wehrpflicht/Zivildienst","1985","(Fach-)Abitur","","","",""
"Wehrpflicht/Zivildienst","1985","AkademikerInnen","","","",""
"Voll erwerbstaetig","1986","(noch) kein Abschluss","444","0.278977606240309","0.251745998665311","0.306209213815307"
"Voll erwerbstaetig","1986","Hauptschulabschluss","2903","0.402810449721037","0.390521512416433","0.415099387025641"
"Voll erwerbstaetig","1986","Realschulabschluss","813","0.437860250549324","0.414806052192644","0.460914448906004"
"Voll erwerbstaetig","1986","(Fach-)Abitur","327","0.350221067426404","0.317530279665972","0.382911855186836"
"Voll erwerbstaetig","1986","AkademikerInnen","485","0.631085745152436","0.596576534454814","0.665594955850057"
"Teilzeitbeschaeftigung","1986","(noch) kein Abschluss","","","",""
"Teilzeitbeschaeftigung","1986","Hauptschulabschluss","372","0.0596223306238836","0.0536894789263724","0.0655551823213947"
"Teilzeitbeschaeftigung","1986","Realschulabschluss","127","0.0639350692530484","0.0525671056510998","0.075303032854997"
"Teilzeitbeschaeftigung","1986","(Fach-)Abitur","34","0.0384346377761922","0.0252604987948752","0.0516087767575091"
"Teilzeitbeschaeftigung","1986","AkademikerInnen","77","0.0933407354622937","0.0725348701081672","0.11414660081642"
"Ausbildung/Lehre","1986","(noch) kein Abschluss","","","",""
"Ausbildung/Lehre","1986","Hauptschulabschluss","152","0.0182333069440463","0.014880992617121","0.0215856212709716"
"Ausbildung/Lehre","1986","Realschulabschluss","138","0.0658571326981108","0.054331409716158","0.0773828556800636"
"Ausbildung/Lehre","1986","(Fach-)Abitur","48","0.0699374643901296","0.0524598378206753","0.087415090959584"
"Ausbildung/Lehre","1986","AkademikerInnen","","","",""
"Geringfuegig erwerbstaetig","1986","(noch) kein Abschluss","","","",""
"Geringfuegig erwerbstaetig","1986","Hauptschulabschluss","149","0.0249372691771094","0.0210302225920011","0.0288443157622176"
"Geringfuegig erwerbstaetig","1986","Realschulabschluss","40","0.0201317125516087","0.0136051526477999","0.0266582724554175"
"Geringfuegig erwerbstaetig","1986","(Fach-)Abitur","37","0.0451872749546568","0.0309528930314371","0.0594216568778765"
"Geringfuegig erwerbstaetig","1986","AkademikerInnen","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","(noch) kein Abschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","Hauptschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","Realschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","(Fach-)Abitur","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","AkademikerInnen","","","",""
"Freiwilliger Wehrdienst","1986","(noch) kein Abschluss","","","",""
"Freiwilliger Wehrdienst","1986","Hauptschulabschluss","","","",""
"Freiwilliger Wehrdienst","1986","Realschulabschluss","","","",""
"Freiwilliger Wehrdienst","1986","(Fach-)Abitur","","","",""
"Freiwilliger Wehrdienst","1986","AkademikerInnen","","","",""
"FSJ/FOeJ/BFD","1986","(noch) kein Abschluss","","","",""
"FSJ/FOeJ/BFD","1986","Hauptschulabschluss","","","",""
"FSJ/FOeJ/BFD","1986","Realschulabschluss","","","",""
"FSJ/FOeJ/BFD","1986","(Fach-)Abitur","","","",""
"FSJ/FOeJ/BFD","1986","AkademikerInnen","","","",""
"Werkstatt fuer Behinderte","1986","(noch) kein Abschluss","","","",""
"Werkstatt fuer Behinderte","1986","Hauptschulabschluss","","","",""
"Werkstatt fuer Behinderte","1986","Realschulabschluss","","","",""
"Werkstatt fuer Behinderte","1986","(Fach-)Abitur","","","",""
"Werkstatt fuer Behinderte","1986","AkademikerInnen","","","",""
"Nicht erwerbstaetig","1986","(noch) kein Abschluss","549","0.676644071864985","0.648242996397318","0.705045147332652"
"Nicht erwerbstaetig","1986","Hauptschulabschluss","2528","0.491907254129681","0.479381007011872","0.50443350124749"
"Nicht erwerbstaetig","1986","Realschulabschluss","649","0.405466142568287","0.382650867424336","0.428281417712238"
"Nicht erwerbstaetig","1986","(Fach-)Abitur","353","0.467496683249055","0.433304891098598","0.501688475399513"
"Nicht erwerbstaetig","1986","AkademikerInnen","162","0.246703720588014","0.215871920360451","0.277535520815576"
"Betriebliches Praktikum","1986","(noch) kein Abschluss","","","",""
"Betriebliches Praktikum","1986","Hauptschulabschluss","","","",""
"Betriebliches Praktikum","1986","Realschulabschluss","","","",""
"Betriebliches Praktikum","1986","(Fach-)Abitur","","","",""
"Betriebliches Praktikum","1986","AkademikerInnen","","","",""
"Wehrpflicht/Zivildienst","1986","(noch) kein Abschluss","","","",""
"Wehrpflicht/Zivildienst","1986","Hauptschulabschluss","","","",""
"Wehrpflicht/Zivildienst","1986","Realschulabschluss","","","",""
"Wehrpflicht/Zivildienst","1986","(Fach-)Abitur","","","",""
"Wehrpflicht/Zivildienst","1986","AkademikerInnen","","","",""
"Voll erwerbstaetig","1987","(noch) kein Abschluss","417","0.291592310952708","0.26364558706524","0.319539034840176"
"Voll erwerbstaetig","1987","Hauptschulabschluss","2851","0.403827429043083","0.391459473312663","0.416195384773503"
"Voll erwerbstaetig","1987","Realschulabschluss","807","0.44964350275029","0.426435811061585","0.472851194438995"
"Voll erwerbstaetig","1987","(Fach-)Abitur","308","0.33722616416846","0.304217473992397","0.370234854344523"
"Voll erwerbstaetig","1987","AkademikerInnen","513","0.653205212472343","0.619005478747872","0.687404946196814"
"Teilzeitbeschaeftigung","1987","(noch) kein Abschluss","37","0.0317502813569661","0.020969041309003","0.0425315214049291"
"Teilzeitbeschaeftigung","1987","Hauptschulabschluss","415","0.0690552391888657","0.0626641586182702","0.0754463197594613"
"Teilzeitbeschaeftigung","1987","Realschulabschluss","138","0.0726409141771508","0.0605324140025912","0.0847494143517105"
"Teilzeitbeschaeftigung","1987","(Fach-)Abitur","39","0.0534952401744315","0.0377842356289423","0.0692062447199207"
"Teilzeitbeschaeftigung","1987","AkademikerInnen","49","0.061218658035938","0.0439926061643478","0.0784447099075283"
"Ausbildung/Lehre","1987","(noch) kein Abschluss","","","",""
"Ausbildung/Lehre","1987","Hauptschulabschluss","173","0.0185416700347142","0.0151413141246325","0.0219420259447958"
"Ausbildung/Lehre","1987","Realschulabschluss","168","0.0752363121827626","0.0629306533551293","0.087541971010396"
"Ausbildung/Lehre","1987","(Fach-)Abitur","58","0.0791673088229171","0.0603157057126148","0.0980189119332194"
"Ausbildung/Lehre","1987","AkademikerInnen","","","",""
"Geringfuegig erwerbstaetig","1987","(noch) kein Abschluss","","","",""
"Geringfuegig erwerbstaetig","1987","Hauptschulabschluss","104","0.0174135451779572","0.0141163625378201","0.0207107278180942"
"Geringfuegig erwerbstaetig","1987","Realschulabschluss","","","",""
"Geringfuegig erwerbstaetig","1987","(Fach-)Abitur","41","0.0563996102994512","0.0402925201400598","0.0725067004588427"
"Geringfuegig erwerbstaetig","1987","AkademikerInnen","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","(noch) kein Abschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","Hauptschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","Realschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","(Fach-)Abitur","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","AkademikerInnen","","","",""
"Freiwilliger Wehrdienst","1987","(noch) kein Abschluss","","","",""
"Freiwilliger Wehrdienst","1987","Hauptschulabschluss","","","",""
"Freiwilliger Wehrdienst","1987","Realschulabschluss","","","",""
"Freiwilliger Wehrdienst","1987","(Fach-)Abitur","","","",""
"Freiwilliger Wehrdienst","1987","AkademikerInnen","","","",""
"FSJ/FOeJ/BFD","1987","(noch) kein Abschluss","","","",""
"FSJ/FOeJ/BFD","1987","Hauptschulabschluss","","","",""
"FSJ/FOeJ/BFD","1987","Realschulabschluss","","","",""
"FSJ/FOeJ/BFD","1987","(Fach-)Abitur","","","",""
"FSJ/FOeJ/BFD","1987","AkademikerInnen","","","",""
"Werkstatt fuer Behinderte","1987","(noch) kein Abschluss","","","",""
"Werkstatt fuer Behinderte","1987","Hauptschulabschluss","","","",""
"Werkstatt fuer Behinderte","1987","Realschulabschluss","","","",""
"Werkstatt fuer Behinderte","1987","(Fach-)Abitur","","","",""
"Werkstatt fuer Behinderte","1987","AkademikerInnen","","","",""
"Nicht erwerbstaetig","1987","(noch) kein Abschluss","535","0.644251124373598","0.614813646523042","0.673688602224154"
"Nicht erwerbstaetig","1987","Hauptschulabschluss","2490","0.489264551739324","0.476664164386831","0.501864939091818"
"Nicht erwerbstaetig","1987","Realschulabschluss","607","0.376749440611143","0.354142937809198","0.399355943413088"
"Nicht erwerbstaetig","1987","(Fach-)Abitur","319","0.43536506956025","0.400747574100141","0.469982565020359"
"Nicht erwerbstaetig","1987","AkademikerInnen","161","0.258788587378521","0.227317972229938","0.290259202527104"
"Betriebliches Praktikum","1987","(noch) kein Abschluss","","","",""
"Betriebliches Praktikum","1987","Hauptschulabschluss","","","",""
"Betriebliches Praktikum","1987","Realschulabschluss","","","",""
"Betriebliches Praktikum","1987","(Fach-)Abitur","","","",""
"Betriebliches Praktikum","1987","AkademikerInnen","","","",""
"Wehrpflicht/Zivildienst","1987","(noch) kein Abschluss","","","",""
"Wehrpflicht/Zivildienst","1987","Hauptschulabschluss","","","",""
"Wehrpflicht/Zivildienst","1987","Realschulabschluss","","","",""
"Wehrpflicht/Zivildienst","1987","(Fach-)Abitur","","","",""
"Wehrpflicht/Zivildienst","1987","AkademikerInnen","","","",""
"Voll erwerbstaetig","1988","(noch) kein Abschluss","367","0.265031505922992","0.236512309080085","0.293550702765899"
"Voll erwerbstaetig","1988","Hauptschulabschluss","2671","0.39637284118063","0.3837561337616","0.408989548599659"
"Voll erwerbstaetig","1988","Realschulabschluss","785","0.456657338051981","0.433006560723428","0.480308115380533"
"Voll erwerbstaetig","1988","(Fach-)Abitur","291","0.357017088446943","0.322543193347029","0.391490983546858"
"Voll erwerbstaetig","1988","AkademikerInnen","487","0.672857725561907","0.638151331705858","0.707564119417956"
"Teilzeitbeschaeftigung","1988","(noch) kein Abschluss","40","0.0295820251206792","0.0186337035658728","0.0405303466754857"
"Teilzeitbeschaeftigung","1988","Hauptschulabschluss","402","0.0686223029334723","0.0621014371315517","0.075143168735393"
"Teilzeitbeschaeftigung","1988","Realschulabschluss","141","0.0790644799136388","0.0662524301464207","0.091876529680857"
"Teilzeitbeschaeftigung","1988","(Fach-)Abitur","40","0.0559656471635965","0.0394269687517856","0.0725043255754075"
"Teilzeitbeschaeftigung","1988","AkademikerInnen","48","0.0618057381113787","0.0439926047300423","0.0796188714927152"
"Ausbildung/Lehre","1988","(noch) kein Abschluss","","","",""
"Ausbildung/Lehre","1988","Hauptschulabschluss","188","0.0214401729135445","0.0177040811516103","0.0251762646754787"
"Ausbildung/Lehre","1988","Realschulabschluss","154","0.0647056775910009","0.0530252527420154","0.0763861024399864"
"Ausbildung/Lehre","1988","(Fach-)Abitur","51","0.0722309952635981","0.0536046406224894","0.0908573499047068"
"Ausbildung/Lehre","1988","AkademikerInnen","","","",""
"Geringfuegig erwerbstaetig","1988","(noch) kein Abschluss","","","",""
"Geringfuegig erwerbstaetig","1988","Hauptschulabschluss","103","0.0174814018942687","0.0141010009073184","0.020861802881219"
"Geringfuegig erwerbstaetig","1988","Realschulabschluss","34","0.0173433362828622","0.0111449231368922","0.0235417494288321"
"Geringfuegig erwerbstaetig","1988","(Fach-)Abitur","35","0.0509184953027817","0.0351010743014258","0.0667359163041376"
"Geringfuegig erwerbstaetig","1988","AkademikerInnen","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","(noch) kein Abschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","Hauptschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","Realschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","(Fach-)Abitur","","","",""
"Altersteilzeit mit Arbeitszeit Null","1988","AkademikerInnen","","","",""
"Freiwilliger Wehrdienst","1988","(noch) kein Abschluss","","","",""
"Freiwilliger Wehrdienst","1988","Hauptschulabschluss","","","",""
"Freiwilliger Wehrdienst","1988","Realschulabschluss","","","",""
"Freiwilliger Wehrdienst","1988","(Fach-)Abitur","","","",""
"Freiwilliger Wehrdienst","1988","AkademikerInnen","","","",""
"FSJ/FOeJ/BFD","1988","(noch) kein Abschluss","","","",""
"FSJ/FOeJ/BFD","1988","Hauptschulabschluss","","","",""
"FSJ/FOeJ/BFD","1988","Realschulabschluss","","","",""
"FSJ/FOeJ/BFD","1988","(Fach-)Abitur","","","",""
"FSJ/FOeJ/BFD","1988","AkademikerInnen","","","",""
"Werkstatt fuer Behinderte","1988","(noch) kein Abschluss","","","",""
"Werkstatt fuer Behinderte","1988","Hauptschulabschluss","","","",""
"Werkstatt fuer Behinderte","1988","Realschulabschluss","","","",""
"Werkstatt fuer Behinderte","1988","(Fach-)Abitur","","","",""
"Werkstatt fuer Behinderte","1988","AkademikerInnen","","","",""
"Nicht erwerbstaetig","1988","(noch) kein Abschluss","496","0.690921925172215","0.661061034062597","0.720782816281832"
"Nicht erwerbstaetig","1988","Hauptschulabschluss","2397","0.494057098268112","0.481161276370528","0.506952920165697"
"Nicht erwerbstaetig","1988","Realschulabschluss","580","0.375379142694572","0.352388209161127","0.398370076228017"
"Nicht erwerbstaetig","1988","(Fach-)Abitur","299","0.423582611954564","0.388028999270113","0.459136224639016"
"Nicht erwerbstaetig","1988","AkademikerInnen","146","0.237540772592728","0.206059162945056","0.269022382240401"
"Betriebliches Praktikum","1988","(noch) kein Abschluss","","","",""
"Betriebliches Praktikum","1988","Hauptschulabschluss","","","",""
"Betriebliches Praktikum","1988","Realschulabschluss","","","",""
"Betriebliches Praktikum","1988","(Fach-)Abitur","","","",""
"Betriebliches Praktikum","1988","AkademikerInnen","","","",""
"Wehrpflicht/Zivildienst","1988","(noch) kein Abschluss","","","",""
"Wehrpflicht/Zivildienst","1988","Hauptschulabschluss","","","",""
"Wehrpflicht/Zivildienst","1988","Realschulabschluss","","","",""
"Wehrpflicht/Zivildienst","1988","(Fach-)Abitur","","","",""
"Wehrpflicht/Zivildienst","1988","AkademikerInnen","","","",""
"Voll erwerbstaetig","1989","(noch) kein Abschluss","347","0.241505359467758","0.213496752185272","0.269513966750245"
"Voll erwerbstaetig","1989","Hauptschulabschluss","2610","0.399636576763471","0.386721934566192","0.412551218960751"
"Voll erwerbstaetig","1989","Realschulabschluss","805","0.48369734341139","0.459613856325425","0.507780830497355"
"Voll erwerbstaetig","1989","(Fach-)Abitur","315","0.388495838563131","0.353774772968199","0.423216904158063"
"Voll erwerbstaetig","1989","AkademikerInnen","481","0.656321099090579","0.621112874853548","0.691529323327609"
"Teilzeitbeschaeftigung","1989","(noch) kein Abschluss","38","0.0296136582707051","0.0185201161330155","0.0407072004083948"
"Teilzeitbeschaeftigung","1989","Hauptschulabschluss","393","0.0707792362554718","0.0640175496244524","0.0775409228864911"
"Teilzeitbeschaeftigung","1989","Realschulabschluss","139","0.0796164894432775","0.0665708231489345","0.0926621557376205"
"Teilzeitbeschaeftigung","1989","(Fach-)Abitur","46","0.0606014819069076","0.0436046997286646","0.0775982640851506"
"Teilzeitbeschaeftigung","1989","AkademikerInnen","51","0.0646700218218123","0.0464376388791116","0.082902404764513"
"Ausbildung/Lehre","1989","(noch) kein Abschluss","","","",""
"Ausbildung/Lehre","1989","Hauptschulabschluss","165","0.021448873146393","0.0176291080869526","0.0252686382058334"
"Ausbildung/Lehre","1989","Realschulabschluss","139","0.0607181518723525","0.0492091522649175","0.0722271514797874"
"Ausbildung/Lehre","1989","(Fach-)Abitur","35","0.0517326848335388","0.0359548265430625","0.0675105431240151"
"Ausbildung/Lehre","1989","AkademikerInnen","","","",""
"Geringfuegig erwerbstaetig","1989","(noch) kein Abschluss","","","",""
"Geringfuegig erwerbstaetig","1989","Hauptschulabschluss","103","0.0172634893571735","0.0138292901228703","0.0206976885914767"
"Geringfuegig erwerbstaetig","1989","Realschulabschluss","","","",""
"Geringfuegig erwerbstaetig","1989","(Fach-)Abitur","35","0.0551192821889873","0.0388622816147183","0.0713762827632563"
"Geringfuegig erwerbstaetig","1989","AkademikerInnen","","","",""
"Altersteilzeit mit Arbeitszeit Null","1989","(noch) kein Abschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1989","Hauptschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1989","Realschulabschluss","","","",""
"Altersteilzeit mit Arbeitszeit Null","1989","(Fach-)Abitur","","","",""
"Altersteilzeit mit Arbeitszeit Null","1989","AkademikerInnen","","","",""
"Freiwilliger Wehrdienst","1989","(noch) kein Abschluss","","","",""
"Freiwilliger Wehrdienst","1989","Hauptschulabschluss","","","",""
"Freiwilliger Wehrdienst","1989","Realschulabschluss","","","",""
"Freiwilliger Wehrdienst","1989","(Fach-)Abitur","","","",""
"Freiwilliger Wehrdienst","1989","AkademikerInnen","","","",""
"FSJ/FOeJ/BFD","1989","(noch) kein Abschluss","","","",""
"FSJ/FOeJ/BFD","1989","Hauptschulabschluss","","","",""
"FSJ/FOeJ/BFD","1989","Realschulabschluss","","","",""
"FSJ/FOeJ/BFD","1989","(Fach-)Abitur","","","",""
"FSJ/FOeJ/BFD","1989","AkademikerInnen","","","",""
"Werkstatt fuer Behinderte","1989","(noch) kein Abschluss","","","",""
"Werkstatt fuer Behinderte","1989","Hauptschulabschluss","","","",""
"Werkstatt fuer Behinderte","1989","Realschulabschluss","","","",""
"Werkstatt fuer Behinderte","1989","(Fach-)Abitur","","","",""
"Werkstatt fuer Behinderte","1989","AkademikerInnen","","","",""
"Nicht erwerbstaetig","1989","(noch) kein Abschluss","490","0.691388143432703","0.661159466654964","0.721616820210442"
"Nicht erwerbstaetig","1989","Hauptschulabschluss","2245","0.489360978427485","0.476181011566935","0.502540945288034"
"Nicht erwerbstaetig","1989","Realschulabschluss","540","0.360106502153948","0.336972558759847","0.383240445548048"
"Nicht erwerbstaetig","1989","(Fach-)Abitur","300","0.409585576682282","0.374554703890631","0.444616449473932"
"Nicht erwerbstaetig","1989","AkademikerInnen","142","0.243173690196584","0.21137085004313","0.274976530350038"
"Betriebliches Praktikum","1989","(noch) kein Abschluss","","","",""
"Betriebliches Praktikum","1989","Hauptschulabschluss","","","",""
"Betriebliches Praktikum","1989","Realschulabschluss","","","",""
"Betriebliches Praktikum","1989","(Fach-)Abitur","","","",""
"Betriebliches Praktikum","1989","AkademikerInnen","","","",""
