"hlf0261","year","quintil","n","percent","lower_confidence","upper_confidence"
"Ja, regelmaessig","2009","5","930","0.166464399542711","0.155979971100404","0.176948827985019"
"Nein","2009","1","3558","0.972044343863484","0.966696489860094","0.977392197866874"
"Nein","2009","2","4084","0.952825329122608","0.946443025380743","0.959207632864472"
"Nein","2009","3","4612","0.947634605121646","0.941347769470459","0.953921440772832"
"Nein","2009","4","4836","0.892347198841655","0.884013116580946","0.900681281102365"
"Nein","2009","5","3564","0.759311229623785","0.74727862007092","0.77134383917665"
"Ja, gelegentlich","2010","1","36","0.00527223205861035","0.00369728493365478","0.00684717918356591"
"Ja, gelegentlich","2010","2","54","0.0134384898352569","0.0109652444623958","0.0159117352081179"
"Ja, gelegentlich","2010","3","92","0.0135631032556671","0.0108917229452171","0.0162344835661172"
"Ja, gelegentlich","2010","4","160","0.025332222121507","0.021724206114516","0.028940238128498"
"Ja, gelegentlich","2010","5","368","0.0611839645445982","0.0553245665533701","0.0670433625358263"
"Ja, regelmaessig","2010","1","33","0.00661089221813803","0.00484848471271772","0.00837329972355834"
"Ja, regelmaessig","2010","2","118","0.0214461779099366","0.0183344816437637","0.0245578741761094"
"Ja, regelmaessig","2010","3","159","0.0296785760434823","0.0257593449435799","0.0335978071433846"
"Ja, regelmaessig","2010","4","403","0.0532866940452807","0.0481293971136209","0.0584439909769406"
"Ja, regelmaessig","2010","5","1218","0.151774952377222","0.1430029338535","0.160546970900943"
"Nein","2010","1","8053","0.988116875723252","0.985760274622162","0.990473476824342"
"Nein","2010","2","8154","0.965115332254807","0.961174056781019","0.969056607728594"
"Nein","2010","3","6951","0.956758320700851","0.95206074343412","0.961455897967581"
"Nein","2010","4","6723","0.921381083833212","0.915201109381801","0.927561058284624"
"Nein","2010","5","4841","0.78704108307818","0.777032086121792","0.797050080034568"
"Ja, gelegentlich","2011","1","","","",""
"Ja, gelegentlich","2011","2","66","0.00896956169761935","0.0070493537784358","0.0108897696168029"
"Ja, gelegentlich","2011","3","95","0.0171578685204345","0.0144324167692519","0.0198833202716171"
"Ja, gelegentlich","2011","4","230","0.0257054987677678","0.0224879268291395","0.0289230707063961"
"Ja, gelegentlich","2011","5","439","0.0555457268385475","0.0505550116583353","0.0605364420187598"
"Ja, regelmaessig","2011","1","58","0.00826476530141245","0.00634765614343482","0.0101818744593901"
"Ja, regelmaessig","2011","2","140","0.0218517701498562","0.0188741808342199","0.0248293594654925"
"Ja, regelmaessig","2011","3","217","0.033637461036271","0.0298535005320915","0.0374214215404505"
"Ja, regelmaessig","2011","4","576","0.0612428525391086","0.0563678543783156","0.0661178506999016"
"Ja, regelmaessig","2011","5","1694","0.170821374355559","0.162620840130298","0.179021908580819"
"Nein","2011","1","8487","0.986635491494426","0.984203911450735","0.989067071538116"
"Nein","2011","2","9055","0.969178668152524","0.965658634844475","0.972698701460574"
"Nein","2011","3","8409","0.949204670443294","0.944596200363896","0.953813140522693"
"Nein","2011","4","8487","0.913051648693124","0.907323049062329","0.918780248323919"
"Nein","2011","5","5958","0.773632898805894","0.764514446936522","0.782751350675265"
"Ja, gelegentlich","2012","1","","","",""
"Ja, gelegentlich","2012","2","52","0.00767710342823211","0.00582756531158292","0.00952664154488131"
"Ja, gelegentlich","2012","3","86","0.0131845893101685","0.0108063972312965","0.0155627813890406"
"Ja, gelegentlich","2012","4","222","0.0242130056343457","0.0210878475794582","0.0273381636892333"
"Ja, gelegentlich","2012","5","388","0.0458723359391394","0.041427174879027","0.0503174969992518"
"Ja, regelmaessig","2012","1","53","0.0113392214237121","0.00888157955669725","0.0137968632907269"
"Ja, regelmaessig","2012","2","105","0.0227340830844788","0.0195755663530276","0.0258925998159299"
"Ja, regelmaessig","2012","3","217","0.0336719966543375","0.0299110915020875","0.0374329018065875"
"Ja, regelmaessig","2012","4","534","0.0506970209976716","0.0462367241380598","0.0551573178572835"
"Ja, regelmaessig","2012","5","1546","0.1489640445243","0.141398790567569","0.156529298481032"
"Nein","2012","1","7055","0.983207201666407","0.980224654036813","0.986189749296001"
"Nein","2012","2","8398","0.969588813487289","0.965950094101207","0.973227532873371"
"Nein","2012","3","8534","0.953143414035494","0.948737255590667","0.957549572480321"
"Nein","2012","4","8537","0.925089973367983","0.919737776431534","0.930442170304431"
"Nein","2012","5","6575","0.80516361953656","0.796748003211223","0.813579235861897"
"Ja, gelegentlich","2013","1","40","0.00880833947154203","0.00685153843606768","0.0107651405070164"
"Ja, gelegentlich","2013","2","54","0.0105052823311508","0.00846695275204134","0.0125436119102604"
"Ja, gelegentlich","2013","3","80","0.0137241007818808","0.0113628530968476","0.016085348466914"
"Ja, gelegentlich","2013","4","188","0.0198387743279689","0.0171767417745362","0.0225008068814017"
"Ja, gelegentlich","2013","5","442","0.0461328629969076","0.0418733574278286","0.0503923685659866"
"Ja, regelmaessig","2013","1","54","0.0113496592899689","0.00913129124730354","0.0135680273326342"
"Ja, regelmaessig","2013","2","97","0.0174782254049593","0.0148583323579065","0.0200981184520122"
"Ja, regelmaessig","2013","3","228","0.036266803060264","0.0324724876300656","0.0400611184904624"
"Ja, regelmaessig","2013","4","537","0.0524626437480181","0.0482063612927863","0.05671892620325"
"Ja, regelmaessig","2013","5","1799","0.170063778788325","0.16243529346156","0.177692264115089"
"Nein","2013","1","8665","0.979842001238489","0.976898782358047","0.982785220118931"
"Nein","2013","2","9460","0.97201649226389","0.968719243641663","0.975313740886117"
"Nein","2013","3","9018","0.950009096157855","0.945586169256814","0.954432023058897"
"Nein","2013","4","9816","0.927698581924013","0.922754518442831","0.932642645405195"
"Nein","2013","5","7076","0.783803358214768","0.775444670980728","0.792162045448807"
"Ja, gelegentlich","2014","1","","","",""
"Ja, gelegentlich","2014","2","32","0.00507427980603362","0.00350108171001395","0.00664747790205328"
"Ja, gelegentlich","2014","3","89","0.0137946966499296","0.0112753820481018","0.0163140112517574"
"Ja, gelegentlich","2014","4","187","0.0257174737653551","0.0225531914111627","0.0288817561195476"
"Ja, gelegentlich","2014","5","374","0.0383787306016439","0.0344563678628615","0.0423010933404263"
"Ja, regelmaessig","2014","1","63","0.00814070478680142","0.00596158532334261","0.0103198242502602"
"Ja, regelmaessig","2014","2","92","0.0165503289678149","0.0137255773740539","0.0193750805615758"
"Ja, regelmaessig","2014","3","188","0.0299240731240778","0.0262440048406445","0.0336041414075111"
"Ja, regelmaessig","2014","4","473","0.0493911519666272","0.0450595940691205","0.0537227098641338"
"Ja, regelmaessig","2014","5","1771","0.163373197678594","0.155824766274165","0.170921629083022"
"Nein","2014","1","6448","0.986349213228542","0.983535244960944","0.98916318149614"
"Nein","2014","2","7712","0.978375391226151","0.975154858125886","0.981595924326417"
"Nein","2014","3","7957","0.956281230225993","0.951864819644251","0.960697640807734"
"Nein","2014","4","8953","0.924891374268018","0.919622608492669","0.930160140043367"
"Nein","2014","5","7070","0.798248071719763","0.790054406650217","0.806441736789308"
"Ja, gelegentlich","2015","1","","","",""
"Ja, gelegentlich","2015","2","30","0.00850110292649198","0.0063823813963735","0.0106198244566105"
"Ja, gelegentlich","2015","3","64","0.0142662481597017","0.0116614642222383","0.0168710320971652"
"Ja, gelegentlich","2015","4","127","0.0211717768651052","0.0182824487372942","0.0240611049929162"
"Ja, gelegentlich","2015","5","339","0.0356439252807416","0.0319562731256939","0.0393315774357892"
"Ja, regelmaessig","2015","1","50","0.0112529813636576","0.00870063584693206","0.0138053268803832"
"Ja, regelmaessig","2015","2","85","0.0195637399540027","0.0163676002956446","0.0227598796123609"
"Ja, regelmaessig","2015","3","180","0.0330693761108779","0.0291415915136156","0.0369971607081402"
"Ja, regelmaessig","2015","4","415","0.0466229257179233","0.0423913990368042","0.0508544523990424"
"Ja, regelmaessig","2015","5","1713","0.153623297590072","0.146451155782616","0.160795439397528"
"Nein","2015","1","6492","0.984025844341653","0.980992125837235","0.987059562846072"
"Nein","2015","2","7098","0.971935157119505","0.968123708422525","0.975746605816486"
"Nein","2015","3","7718","0.95266437572942","0.947999919505126","0.957328831953714"
"Nein","2015","4","8994","0.932205297416971","0.927159629858041","0.937250964975901"
"Nein","2015","5","7658","0.810732777129187","0.802941385280251","0.818524168978122"
"Ja, gelegentlich","2016","1","","","",""
"Ja, gelegentlich","2016","2","","","",""
"Ja, gelegentlich","2016","3","41","0.0106656476884551","0.00822377694010789","0.0131075184368024"
"Ja, gelegentlich","2016","4","115","0.01296179213274","0.0106583793777127","0.0152652048877673"
"Ja, gelegentlich","2016","5","350","0.0350774725759725","0.0313810531489021","0.0387738920030429"
"Ja, regelmaessig","2016","1","","","",""
"Ja, regelmaessig","2016","2","68","0.0126925049406997","0.00989950963769645","0.0154855002437029"
"Ja, regelmaessig","2016","3","131","0.0306397305191288","0.0265429510219689","0.0347365100162887"
"Ja, regelmaessig","2016","4","366","0.0428963444677951","0.0387700341242608","0.0470226548113294"
"Ja, regelmaessig","2016","5","1556","0.142435785103458","0.135413737710181","0.149457832496734"
"Nein","2016","1","4960","0.993470337763004","0.991234958500068","0.99570571702594"
"Nein","2016","2","6078","0.977995185021258","0.974335046375374","0.981655323667142"
"Nein","2016","3","6626","0.958694621792416","0.953964188114269","0.963425055470563"
"Nein","2016","4","8782","0.944141863399465","0.939465221586912","0.948818505212018"
"Nein","2016","5","7610","0.82248674232057","0.814809579974901","0.830163904666238"
"Ja, gelegentlich","2017","1","","","",""
"Ja, gelegentlich","2017","2","","","",""
"Ja, gelegentlich","2017","3","","","",""
"Ja, gelegentlich","2017","4","126","0.0183280686125406","0.0157169000669942","0.020939237158087"
"Ja, gelegentlich","2017","5","373","0.0360498641159624","0.0326895357812894","0.0394101924506355"
"Ja, regelmaessig","2017","1","","","",""
"Ja, regelmaessig","2017","2","61","0.0161133159554828","0.0128428896863384","0.0193837422246272"
"Ja, regelmaessig","2017","3","117","0.0244675212241841","0.0209173651548998","0.0280176772934685"
"Ja, regelmaessig","2017","4","404","0.0427332558121455","0.0387960071427924","0.0466705044814985"
"Ja, regelmaessig","2017","5","1727","0.133622948650438","0.127489614740384","0.139756282560491"
"Nein","2017","1","4562","0.989207740774865","0.986223180385545","0.992192301164184"
"Nein","2017","2","5619","0.979713533099349","0.976051754168169","0.98337531203053"
"Nein","2017","3","7129","0.967071306956129","0.96297070052944","0.971171913382817"
"Nein","2017","4","9607","0.938938675575314","0.934277503972826","0.943599847177802"
"Nein","2017","5","9722","0.8303271872336","0.823561165751654","0.837093208715546"
"Ja, gelegentlich","2018","1","","","",""
"Ja, gelegentlich","2018","2","","","",""
"Ja, gelegentlich","2018","3","48","0.0100549176967909","0.00768864743368628","0.0124211879598955"
"Ja, gelegentlich","2018","4","95","0.0145208765684799","0.0122100032392137","0.0168317498977462"
"Ja, gelegentlich","2018","5","384","0.0295839991788473","0.0265564821493051","0.0326115162083896"
"Ja, regelmaessig","2018","1","45","0.0109924250691206","0.00782434755502202","0.0141605025832193"
"Ja, regelmaessig","2018","2","72","0.0287427830978731","0.024097614998578","0.0333879511971683"
"Ja, regelmaessig","2018","3","139","0.029199337569249","0.0252061375353137","0.0331925376031843"
"Ja, regelmaessig","2018","4","398","0.0458501880160423","0.0418096904076224","0.0498906856244622"
"Ja, regelmaessig","2018","5","1708","0.137438201989159","0.131286036321913","0.143590367656406"
"Nein","2018","1","4093","0.982405919481374","0.978411276174073","0.986400562788674"
"Nein","2018","2","4876","0.96802348010148","0.963132133471222","0.972914826731738"
"Nein","2018","3","6642","0.96074574473396","0.9561398167781","0.96535167268982"
"Nein","2018","4","9801","0.939628935415478","0.935027973723535","0.94422989710742"
"Nein","2018","5","9940","0.832977798831993","0.826313062171996","0.839642535491991"
"Ja, gelegentlich","2019","1","","","",""
"Ja, gelegentlich","2019","2","","","",""
"Ja, gelegentlich","2019","3","47","0.010578775823926","0.0079421878489113","0.0132153637989406"
"Ja, gelegentlich","2019","4","187","0.0141951525889881","0.0118822775177054","0.0165080276602709"
"Ja, gelegentlich","2019","5","540","0.0306701790223635","0.0280029277525079","0.033337430292219"
"Ja, regelmaessig","2019","1","92","0.0280956572371708","0.0224258158018799","0.0337654986724617"
"Ja, regelmaessig","2019","2","74","0.0232345256942175","0.0187133578614234","0.0277556935270116"
"Ja, regelmaessig","2019","3","138","0.0317588127883237","0.0272396513610555","0.0362779742155918"
"Ja, regelmaessig","2019","4","442","0.0473807435834578","0.0432269273230358","0.0515345598438798"
"Ja, regelmaessig","2019","5","2802","0.13695838436708","0.13163999451422","0.14227677421994"
"Nein","2019","1","3146","0.961976590995636","0.955414423192708","0.968538758798564"
"Nein","2019","2","4167","0.967065877464197","0.961709888769971","0.972421866158424"
"Nein","2019","3","5599","0.95766241138775","0.952473177698142","0.962851645077359"
"Nein","2019","4","9420","0.938424103827554","0.933724171381676","0.943124036273432"
"Nein","2019","5","12711","0.832371436610556","0.826593103373518","0.838149769847595"
"Ja, gelegentlich","2020","1","32","0.0071423938945719","0.0042228830823253","0.0100619047068185"
"Ja, gelegentlich","2020","2","","","",""
"Ja, gelegentlich","2020","3","46","0.0104265315805245","0.00772654020172616","0.0131265229593228"
"Ja, gelegentlich","2020","4","142","0.0163044895892255","0.0138449629946978","0.0187640161837533"
"Ja, gelegentlich","2020","5","517","0.0280965427078969","0.0255064853729121","0.0306866000428817"
"Ja, regelmaessig","2020","1","55","0.025735767411133","0.0202460290499798","0.0312255057722862"
"Ja, regelmaessig","2020","2","68","0.0271372617973596","0.0222091943504967","0.0320653292442226"
"Ja, regelmaessig","2020","3","118","0.0309401403319854","0.0263375230226626","0.0355427576413082"
"Ja, regelmaessig","2020","4","378","0.0446640719490342","0.0406524057707169","0.0486757381273516"
"Ja, regelmaessig","2020","5","2232","0.123811758321388","0.118649365728726","0.12897415091405"
"Nein","2020","1","3109","0.967121838694295","0.960939695478153","0.973303981910437"
"Nein","2020","2","4087","0.966500506445","0.961043078508535","0.971957934381465"
