,Unnamed: 0,year,regtyp,sampreg,hlf0261,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
78,78,2006,Rural regions,West,"Yes, Occasionally",0.0354,75,12172,0.02926,0.04156
79,79,2006,Rural regions,West,No,0.91743,1986,12172,0.88408,0.94696
80,80,2006,Rural regions,East,"Yes, Regularly",0.02073,37,12172,0.01576,0.02592
81,81,2006,Rural regions,East,No,0.97927,1869,12172,0.94505,1.01249
82,82,2007,Urban regions,West,"Yes, Regularly",0.08804,616,11352,0.08141,0.09438
83,83,2007,Urban regions,West,"Yes, Occasionally",0.04668,311,11352,0.04301,0.05098
84,84,2007,Urban regions,West,No,0.86528,5686,11352,0.84857,0.88259
85,85,2007,Urban regions,East,No,1.0,905,11352,0.95262,1.05314
86,86,2007,Rural regions,West,"Yes, Regularly",0.05453,124,11352,0.04742,0.06287
87,87,2007,Rural regions,West,"Yes, Occasionally",0.02777,57,11352,0.02263,0.03348
88,88,2007,Rural regions,West,No,0.9177,1861,11352,0.88353,0.94908
89,89,2007,Rural regions,East,"Yes, Regularly",0.02087,42,11352,0.01463,0.02642
90,90,2007,Rural regions,East,No,0.97913,1750,11352,0.94862,1.01615
91,91,2008,Urban regions,West,"Yes, Regularly",0.07802,548,10710,0.07345,0.08345
92,92,2008,Urban regions,West,"Yes, Occasionally",0.04834,279,10710,0.04412,0.05238
93,93,2008,Urban regions,West,No,0.87363,5382,10710,0.85625,0.89123
94,94,2008,Urban regions,East,No,1.0,893,10710,0.94689,1.05598
95,95,2008,Rural regions,West,"Yes, Regularly",0.05398,104,10710,0.0465,0.06354
96,96,2008,Rural regions,West,"Yes, Occasionally",0.03266,63,10710,0.02621,0.03995
97,97,2008,Rural regions,West,No,0.91336,1753,10710,0.88096,0.93876
98,98,2008,Rural regions,East,"Yes, Regularly",0.01808,35,10710,0.01324,0.02216
99,99,2008,Rural regions,East,No,0.98192,1653,10710,0.94094,1.02239
100,100,2009,Urban regions,West,"Yes, Regularly",0.09375,544,10004,0.08541,0.10106
101,101,2009,Urban regions,West,"Yes, Occasionally",0.04013,238,10004,0.03594,0.04474
102,102,2009,Urban regions,West,No,0.86612,4913,10004,0.84483,0.88427
103,103,2009,Urban regions,East,"Yes, Regularly",0.0405,33,10004,0.02877,0.05522
104,104,2009,Urban regions,East,No,0.9595,839,10004,0.90978,1.01602
105,105,2009,Rural regions,West,"Yes, Regularly",0.04658,107,10004,0.03926,0.05338
106,106,2009,Rural regions,West,"Yes, Occasionally",0.03187,52,10004,0.02614,0.03925
107,107,2009,Rural regions,West,No,0.92155,1657,10004,0.88888,0.9536
108,108,2009,Rural regions,East,"Yes, Regularly",0.01642,34,10004,0.01235,0.02047
109,109,2009,Rural regions,East,No,0.98358,1587,10004,0.94193,1.03462
110,110,2010,Urban regions,West,"Yes, Regularly",0.07591,576,13727,0.06846,0.08211
111,111,2010,Urban regions,West,"Yes, Occasionally",0.03644,230,13727,0.03206,0.04122
112,112,2010,Urban regions,West,No,0.88765,7108,13727,0.86461,0.91059
113,113,2010,Urban regions,East,"Yes, Regularly",0.02887,31,13727,0.01872,0.0396
114,114,2010,Urban regions,East,No,0.97113,1075,13727,0.91142,1.02398
115,115,2010,Rural regions,West,"Yes, Regularly",0.04902,109,13727,0.03949,0.05846
116,116,2010,Rural regions,West,"Yes, Occasionally",0.02359,45,13727,0.0181,0.02989
117,117,2010,Rural regions,West,No,0.92739,2533,13727,0.88615,0.96877
118,118,2010,Rural regions,East,"Yes, Regularly",0.02033,44,13727,0.0153,0.02617
119,119,2010,Rural regions,East,No,0.97967,1976,13727,0.93007,1.02935
120,120,2011,Urban regions,West,"Yes, Regularly",0.08026,765,16538,0.07408,0.08558
121,121,2011,Urban regions,West,"Yes, Occasionally",0.03235,258,16538,0.02807,0.03624
122,122,2011,Urban regions,West,No,0.88739,8357,16538,0.86723,0.90356
123,123,2011,Urban regions,East,"Yes, Regularly",0.0282,40,16538,0.02125,0.03507
124,124,2011,Urban regions,East,No,0.9718,1276,16538,0.92105,1.02421
125,125,2011,Rural regions,West,"Yes, Regularly",0.05453,158,16538,0.04516,0.06306
126,126,2011,Rural regions,West,"Yes, Occasionally",0.02491,69,16538,0.01917,0.03041
127,127,2011,Rural regions,West,No,0.92056,3227,16538,0.8862,0.95871
128,128,2011,Rural regions,East,"Yes, Regularly",0.02487,66,16538,0.01985,0.02982
129,129,2011,Rural regions,East,No,0.97513,2322,16538,0.94315,1.02258
130,130,2012,Urban regions,West,"Yes, Regularly",0.07424,694,16229,0.06912,0.07922
131,131,2012,Urban regions,West,"Yes, Occasionally",0.02927,237,16229,0.02591,0.03282
132,132,2012,Urban regions,West,No,0.8965,8181,16229,0.87921,0.91695
133,133,2012,Urban regions,East,"Yes, Regularly",0.02592,36,16229,0.01938,0.03127
134,134,2012,Urban regions,East,No,0.97408,1241,16229,0.92509,1.02687
135,135,2012,Rural regions,West,"Yes, Regularly",0.05695,169,16229,0.04951,0.06521
136,136,2012,Rural regions,West,"Yes, Occasionally",0.02519,68,16229,0.02009,0.03089
137,137,2012,Rural regions,West,No,0.91786,3214,16229,0.88809,0.95108
138,138,2012,Rural regions,East,"Yes, Regularly",0.02245,56,16229,0.01753,0.02818
139,139,2012,Rural regions,East,No,0.97755,2333,16229,0.93627,1.02236
140,140,2013,Urban regions,West,"Yes, Regularly",0.0852,763,17787,0.07903,0.09127
141,141,2013,Urban regions,West,"Yes, Occasionally",0.02847,242,17787,0.02496,0.03181
142,142,2013,Urban regions,West,No,0.88633,9482,17787,0.86516,0.90401
143,143,2013,Urban regions,East,"Yes, Regularly",0.03498,46,17787,0.02601,0.04404
144,144,2013,Urban regions,East,No,0.96502,1250,17787,0.8938,1.02717
145,145,2013,Rural regions,West,"Yes, Regularly",0.05751,183,17787,0.05007,0.0647
146,146,2013,Rural regions,West,"Yes, Occasionally",0.02991,71,17787,0.02389,0.03511
147,147,2013,Rural regions,West,No,0.91257,3433,17787,0.87978,0.94888
148,148,2013,Rural regions,East,"Yes, Regularly",0.03018,68,17787,0.02403,0.03678
149,149,2013,Rural regions,East,No,0.96982,2249,17787,0.92228,1.01638
150,150,2014,Urban regions,West,"Yes, Regularly",0.0837,723,15762,0.0775,0.09015
151,151,2014,Urban regions,West,"Yes, Occasionally",0.02798,210,15762,0.02362,0.03168
152,152,2014,Urban regions,West,No,0.88832,8215,15762,0.8674,0.90914
153,153,2014,Urban regions,East,"Yes, Regularly",0.03793,50,15762,0.02875,0.04739
154,154,2014,Urban regions,East,No,0.96207,1149,15762,0.91287,1.02275
155,155,2014,Rural regions,West,"Yes, Regularly",0.05431,164,15762,0.04639,0.0636
156,156,2014,Rural regions,West,"Yes, Occasionally",0.02721,66,15762,0.021,0.03358
157,157,2014,Rural regions,West,No,0.91848,3045,15762,0.88195,0.95597
158,158,2014,Rural regions,East,"Yes, Regularly",0.02695,56,15762,0.02106,0.03476
159,159,2014,Rural regions,East,No,0.97305,2084,15762,0.92903,1.01981
160,160,2015,Urban regions,West,"Yes, Regularly",0.0836,682,15706,0.07697,0.09048
161,161,2015,Urban regions,West,"Yes, Occasionally",0.0283,190,15706,0.02408,0.03222
162,162,2015,Urban regions,West,No,0.88809,8277,15706,0.86622,0.90923
163,163,2015,Urban regions,East,"Yes, Regularly",0.03681,43,15706,0.02604,0.05256
164,164,2015,Urban regions,East,No,0.96319,1142,15706,0.90245,1.02522
165,165,2015,Rural regions,West,"Yes, Regularly",0.07301,195,15706,0.06366,0.0825
166,166,2015,Rural regions,West,"Yes, Occasionally",0.01887,45,15706,0.0139,0.02383
167,167,2015,Rural regions,West,No,0.90813,3076,15706,0.871,0.94583
168,168,2015,Rural regions,East,"Yes, Regularly",0.02173,44,15706,0.01611,0.02816
169,169,2015,Rural regions,East,No,0.97827,2012,15706,0.93647,1.02973
170,170,2016,Urban regions,West,"Yes, Regularly",0.07657,609,14249,0.0704,0.08289
171,171,2016,Urban regions,West,"Yes, Occasionally",0.02219,160,14249,0.01899,0.02563
172,172,2016,Urban regions,West,No,0.90124,7466,14249,0.8802,0.92181
173,173,2016,Urban regions,East,"Yes, Regularly",0.04352,44,14249,0.03126,0.05726
174,174,2016,Urban regions,East,No,0.95648,1063,14249,0.89352,1.01313
175,175,2016,Rural regions,West,"Yes, Regularly",0.06798,168,14249,0.05931,0.07747
176,176,2016,Rural regions,West,"Yes, Occasionally",0.01903,42,14249,0.01383,0.02369
177,177,2016,Rural regions,West,No,0.91299,2768,14249,0.87479,0.94985
178,178,2016,Rural regions,East,"Yes, Regularly",0.02666,51,14249,0.0197,0.0346
179,179,2016,Rural regions,East,No,0.97334,1878,14249,0.92639,1.01859
180,180,2017,Urban regions,West,"Yes, Regularly",0.07576,649,15621,0.06974,0.08215
181,181,2017,Urban regions,West,"Yes, Occasionally",0.02729,189,15621,0.02392,0.03104
182,182,2017,Urban regions,West,No,0.89695,8139,15621,0.87735,0.91731
183,183,2017,Urban regions,East,"Yes, Regularly",0.03328,46,15621,0.02462,0.04358
184,184,2017,Urban regions,East,No,0.96672,1176,15621,0.90269,1.02633
185,185,2017,Rural regions,West,"Yes, Regularly",0.06467,165,15621,0.05514,0.0758
186,186,2017,Rural regions,West,"Yes, Occasionally",0.01437,38,15621,0.00938,0.01957
187,187,2017,Rural regions,West,No,0.92096,3061,15621,0.88729,0.95359
188,188,2017,Rural regions,East,"Yes, Regularly",0.02944,58,15621,0.02326,0.03676
189,189,2017,Rural regions,East,No,0.97056,2100,15621,0.92137,1.01191
190,190,2018,Urban regions,West,"Yes, Regularly",0.08704,690,15389,0.08116,0.09381
191,191,2018,Urban regions,West,"Yes, Occasionally",0.02238,174,15389,0.01886,0.02624
192,192,2018,Urban regions,West,No,0.89058,8035,15389,0.87076,0.91276
193,193,2018,Urban regions,East,"Yes, Regularly",0.04895,48,15389,0.03994,0.05806
194,194,2018,Urban regions,East,No,0.95105,1178,15389,0.89159,1.01917
195,195,2018,Rural regions,West,"Yes, Regularly",0.06913,168,15389,0.05935,0.07948
196,196,2018,Rural regions,West,"Yes, Occasionally",0.0202,45,15389,0.0158,0.02526
197,197,2018,Rural regions,West,No,0.91067,2892,15389,0.8733,0.94719
198,198,2018,Rural regions,East,"Yes, Regularly",0.03658,59,15389,0.02795,0.04624
199,199,2018,Rural regions,East,No,0.96342,2100,15389,0.92031,1.01652
200,200,2019,Urban regions,West,"Yes, Regularly",0.09009,918,15586,0.08186,0.09671
201,201,2019,Urban regions,West,"Yes, Occasionally",0.02431,254,15586,0.02067,0.02854
202,202,2019,Urban regions,West,No,0.8856,7840,15586,0.86219,0.90775
203,203,2019,Urban regions,East,"Yes, Regularly",0.04999,91,15586,0.03622,0.06588
204,204,2019,Urban regions,East,No,0.95001,1162,15586,0.8894,1.01491
205,205,2019,Rural regions,West,"Yes, Regularly",0.07252,224,15586,0.06136,0.08413
206,206,2019,Rural regions,West,"Yes, Occasionally",0.02418,63,15586,0.01704,0.03131
207,207,2019,Rural regions,West,No,0.90331,2817,15586,0.8691,0.94102
208,208,2019,Rural regions,East,"Yes, Regularly",0.03227,105,15586,0.02283,0.04424
209,209,2019,Rural regions,East,No,0.96773,2112,15586,0.91198,1.01503
210,210,2020,Urban regions,West,"Yes, Regularly",0.0861,791,16184,0.07957,0.093
211,211,2020,Urban regions,West,"Yes, Occasionally",0.02309,222,16184,0.01966,0.02788
212,212,2020,Urban regions,West,No,0.89081,8641,16184,0.86505,0.91379
213,213,2020,Urban regions,East,"Yes, Regularly",0.05318,71,16184,0.03819,0.07256
214,214,2020,Urban regions,East,No,0.94682,1191,16184,0.87841,1.01554
215,215,2020,Rural regions,West,"Yes, Regularly",0.05791,178,16184,0.04803,0.0687
216,216,2020,Rural regions,West,"Yes, Occasionally",0.02352,45,16184,0.01706,0.03053
217,217,2020,Rural regions,West,No,0.91857,2926,16184,0.87856,0.95852
218,218,2020,Rural regions,East,"Yes, Regularly",0.04462,97,16184,0.03398,0.05644
219,219,2020,Rural regions,East,No,0.95538,2022,16184,0.90936,1.00641
220,220,2021,Urban regions,West,"Yes, Regularly",0.08855,558,11043,0.0795,0.09914
221,221,2021,Urban regions,West,"Yes, Occasionally",0.02842,182,11043,0.02297,0.03454
222,222,2021,Urban regions,West,No,0.88303,5773,11043,0.85928,0.91104
223,223,2021,Urban regions,East,"Yes, Regularly",0.07506,59,11043,0.05215,0.1023
224,224,2021,Urban regions,East,No,0.92494,828,11043,0.84911,1.02479
225,225,2021,Rural regions,West,"Yes, Regularly",0.07671,156,11043,0.06147,0.09208
226,226,2021,Rural regions,West,"Yes, Occasionally",0.02728,41,11043,0.01847,0.03663
227,227,2021,Rural regions,West,No,0.89601,1973,11043,0.8476,0.95282
228,228,2021,Rural regions,East,"Yes, Regularly",0.05527,78,11043,0.04286,0.07113
229,229,2021,Rural regions,East,No,0.94473,1395,11043,0.89138,1.0161
