year,bula_h,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Tenant,No,0.89330,141,141,0.84216,0.94444
2001,Hamburg,Tenant,No,0.91192,133,133,0.86358,0.96027
2001,Lower Saxony,Owner,"Yes, Regularly",0.09367,46,501,0.06813,0.11921
2001,Lower Saxony,Owner,No,0.85713,455,501,0.82646,0.88781
2001,Lower Saxony,Tenant,No,0.94287,420,420,0.92064,0.96509
2001,Bremen,Tenant,No,0.87596,55,55,0.78804,0.96388
2001,North Rhine-Westphalia,Owner,"Yes, Regularly",0.16129,131,1040,0.13893,0.18366
2001,North Rhine-Westphalia,Owner,"Yes, Occasionally",0.06304,56,1040,0.04827,0.07782
2001,North Rhine-Westphalia,Owner,No,0.76754,853,1040,0.74185,0.79322
2001,North Rhine-Westphalia,Tenant,"Yes, Regularly",0.05999,66,1433,0.04769,0.07229
2001,North Rhine-Westphalia,Tenant,"Yes, Occasionally",0.03858,43,1433,0.02860,0.04855
2001,North Rhine-Westphalia,Tenant,No,0.89692,1324,1433,0.88117,0.91267
2001,Hesse,Owner,"Yes, Regularly",0.13551,36,345,0.09934,0.17168
2001,Hesse,Owner,No,0.82081,309,345,0.78028,0.86134
2001,Hesse,Tenant,No,0.90927,388,388,0.88065,0.93788
2001,"Rhineland-Palatinate, Saarland",Owner,"Yes, Regularly",0.12173,42,389,0.08919,0.15426
2001,"Rhineland-Palatinate, Saarland",Owner,No,0.82705,347,389,0.78942,0.86469
2001,"Rhineland-Palatinate, Saarland",Tenant,No,0.91906,290,290,0.88762,0.95051
2001,Baden-Wuerttemberg,Owner,"Yes, Regularly",0.09601,48,610,0.07261,0.11940
2001,Baden-Wuerttemberg,Owner,No,0.86129,562,610,0.83384,0.88874
2001,Baden-Wuerttemberg,Tenant,No,0.94015,696,696,0.92251,0.95778
2001,Bavaria,Owner,"Yes, Regularly",0.09091,65,860,0.07169,0.11014
2001,Bavaria,Owner,"Yes, Occasionally",0.06668,40,860,0.05000,0.08336
2001,Bavaria,Owner,No,0.83918,755,860,0.81461,0.86375
2001,Bavaria,Tenant,No,0.91742,700,700,0.89702,0.93783
2001,Berlin,Owner,No,0.81423,49,49,0.70421,0.92426
2001,Berlin,Tenant,No,0.90801,392,392,0.87936,0.93666
2001,Brandenburg,Owner,No,0.97233,196,196,0.94931,0.99535
2001,Brandenburg,Tenant,No,0.94926,290,290,0.92395,0.97456
2001,Mecklenburg-Western Pomerania,Owner,No,0.98443,100,100,0.96005,1.00882
2001,Mecklenburg-Western Pomerania,Tenant,No,0.95307,175,175,0.92165,0.98450
2001,Saxony,Owner,No,0.96022,302,302,0.93814,0.98230
2001,Saxony,Tenant,No,0.94178,519,519,0.92162,0.96195
2001,Saxony-Anhalt,Owner,No,0.98104,228,228,0.96330,0.99878
2001,Saxony-Anhalt,Tenant,No,0.97479,266,266,0.95591,0.99366
2001,Thuringa,Owner,No,0.95128,235,235,0.92369,0.97886
2001,Thuringa,Tenant,No,0.94449,242,242,0.91558,0.97340
2002,Schleswig-Holstein,Owner,No,0.87731,188,188,0.83028,0.92433
2002,Schleswig-Holstein,Tenant,No,0.92897,153,153,0.88813,0.96980
2002,Hamburg,Owner,No,0.89062,51,51,0.80410,0.97713
2002,Hamburg,Tenant,No,0.94725,125,125,0.90790,0.98659
2002,Lower Saxony,Owner,"Yes, Regularly",0.09491,71,577,0.07098,0.11885
2002,Lower Saxony,Owner,No,0.87827,506,577,0.85156,0.90497
2002,Lower Saxony,Tenant,No,0.93181,408,408,0.90732,0.95630
2002,Bremen,Owner,No,0.83474,38,38,0.71506,0.95442
2002,Bremen,Tenant,No,0.81457,46,46,0.70102,0.92812
2002,North Rhine-Westphalia,Owner,"Yes, Regularly",0.12826,170,1189,0.10925,0.14728
2002,North Rhine-Westphalia,Owner,"Yes, Occasionally",0.05135,59,1189,0.03880,0.06390
2002,North Rhine-Westphalia,Owner,No,0.81831,960,1189,0.79639,0.84024
2002,North Rhine-Westphalia,Tenant,"Yes, Regularly",0.07404,95,1397,0.06031,0.08778
2002,North Rhine-Westphalia,Tenant,"Yes, Occasionally",0.02904,36,1397,0.02023,0.03785
2002,North Rhine-Westphalia,Tenant,No,0.89552,1266,1397,0.87947,0.91156
2002,Hesse,Owner,"Yes, Regularly",0.11594,58,383,0.08384,0.14805
2002,Hesse,Owner,No,0.79804,325,383,0.75778,0.83830
2002,Hesse,Tenant,No,0.91186,407,407,0.88429,0.93944
2002,"Rhineland-Palatinate, Saarland",Owner,"Yes, Regularly",0.07279,37,415,0.04776,0.09781
2002,"Rhineland-Palatinate, Saarland",Owner,No,0.89109,378,415,0.86108,0.92110
2002,"Rhineland-Palatinate, Saarland",Tenant,No,0.91374,279,279,0.88073,0.94674
2002,Baden-Wuerttemberg,Owner,"Yes, Regularly",0.07228,62,734,0.05353,0.09102
2002,Baden-Wuerttemberg,Owner,"Yes, Occasionally",0.04297,34,734,0.02829,0.05765
2002,Baden-Wuerttemberg,Owner,No,0.88073,638,734,0.85726,0.90419
2002,Baden-Wuerttemberg,Tenant,No,0.94979,680,680,0.93337,0.96622
2002,Bavaria,Owner,"Yes, Regularly",0.05983,88,955,0.04478,0.07488
2002,Bavaria,Owner,"Yes, Occasionally",0.04794,44,955,0.03438,0.06150
2002,Bavaria,Owner,No,0.88394,823,955,0.86362,0.90427
2002,Bavaria,Tenant,"Yes, Regularly",0.03227,34,737,0.01951,0.04504
2002,Bavaria,Tenant,No,0.91826,703,737,0.89847,0.93806
2002,Berlin,Owner,No,0.83222,64,64,0.73995,0.92450
2002,Berlin,Tenant,No,0.90864,389,389,0.87997,0.93731
2002,Brandenburg,Owner,No,0.97261,186,186,0.94909,0.99613
2002,Brandenburg,Tenant,No,0.96143,301,301,0.93964,0.98322
2002,Mecklenburg-Western Pomerania,Owner,No,0.95689,105,105,0.91785,0.99592
2002,Mecklenburg-Western Pomerania,Tenant,No,0.95869,165,165,0.92824,0.98915
2002,Saxony,Owner,No,0.93464,303,303,0.90676,0.96252
2002,Saxony,Tenant,No,0.96361,512,512,0.94738,0.97985
2002,Saxony-Anhalt,Owner,No,0.96774,216,216,0.94413,0.99136
2002,Saxony-Anhalt,Tenant,No,0.97584,274,274,0.95762,0.99405
2002,Thuringa,Owner,No,0.96708,237,237,0.94431,0.98984
2002,Thuringa,Tenant,No,0.92886,237,237,0.89606,0.96165
2003,Schleswig-Holstein,Owner,No,0.83470,175,175,0.77951,0.88990
2003,Schleswig-Holstein,Tenant,No,0.91173,137,137,0.86405,0.95941
2003,Hamburg,Owner,No,0.84838,41,41,0.73724,0.95953
2003,Hamburg,Tenant,No,0.92673,118,118,0.87951,0.97395
2003,Lower Saxony,Owner,"Yes, Regularly",0.08439,60,550,0.06114,0.10764
2003,Lower Saxony,Owner,No,0.86496,490,550,0.83637,0.89355
2003,Lower Saxony,Tenant,No,0.91823,382,382,0.89072,0.94575
2003,Bremen,Owner,No,0.84505,36,36,0.72517,0.96494
2003,Bremen,Tenant,No,0.84465,49,49,0.74217,0.94713
2003,North Rhine-Westphalia,Owner,"Yes, Regularly",0.14443,177,1143,0.12404,0.16482
2003,North Rhine-Westphalia,Owner,"Yes, Occasionally",0.05844,62,1143,0.04484,0.07205
2003,North Rhine-Westphalia,Owner,No,0.79242,904,1143,0.76890,0.81595
2003,North Rhine-Westphalia,Tenant,"Yes, Regularly",0.07285,84,1351,0.05898,0.08671
2003,North Rhine-Westphalia,Tenant,"Yes, Occasionally",0.02648,34,1351,0.01792,0.03505
2003,North Rhine-Westphalia,Tenant,No,0.89940,1233,1351,0.88335,0.91544
2003,Hesse,Owner,"Yes, Regularly",0.12711,57,375,0.09335,0.16087
2003,Hesse,Owner,No,0.80066,318,375,0.76017,0.84115
2003,Hesse,Tenant,No,0.92549,374,374,0.89884,0.95214
2003,"Rhineland-Palatinate, Saarland",Owner,"Yes, Regularly",0.07814,40,399,0.05177,0.10451
2003,"Rhineland-Palatinate, Saarland",Owner,No,0.86057,359,399,0.82654,0.89460
2003,"Rhineland-Palatinate, Saarland",Tenant,No,0.90436,276,276,0.86960,0.93912
2003,Baden-Wuerttemberg,Owner,"Yes, Regularly",0.08628,65,712,0.06564,0.10692
2003,Baden-Wuerttemberg,Owner,"Yes, Occasionally",0.03786,33,712,0.02383,0.05188
2003,Baden-Wuerttemberg,Owner,No,0.87069,614,712,0.84602,0.89535
2003,Baden-Wuerttemberg,Tenant,No,0.94268,644,644,0.92471,0.96065
2003,Bavaria,Owner,"Yes, Regularly",0.08210,99,911,0.06426,0.09993
