year,bula_h,sampreg,hlf0178_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2014,Thuringa,East,No,0.38597,170,15758,0,0.33293,0,0.43467
2015,Schleswig-Holstein,West,Yes,0.78715,467,15683,0,0.70939,0,0.88618
2015,Schleswig-Holstein,West,No,0.21285,82,15683,0,0.17592,0,0.26101
2015,Hamburg,West,Yes,1.00000,255,15683,0,0.88976,0,1.13027
2015,Lower Saxony,West,Yes,0.78000,1287,15683,0,0.72762,0,0.82818
2015,Lower Saxony,West,No,0.22000,201,15683,0,0.19522,0,0.24434
2015,Bremen,West,Yes,1.00000,107,15683,0,0.80395,0,1.20088
2015,North Rhine-Westphalia,West,Yes,0.78271,2783,15683,0,0.75027,0,0.81537
2015,North Rhine-Westphalia,West,No,0.21729,421,15683,0,0.19744,0,0.23472
2015,Hesse,West,Yes,0.80522,998,15683,0,0.75057,0,0.86934
2015,Hesse,West,No,0.19478,130,15683,0,0.17293,0,0.22035
2015,"Rhineland-Palatinate, Saarland",West,Yes,0.72953,749,15683,0,0.67195,0,0.79079
2015,"Rhineland-Palatinate, Saarland",West,No,0.27047,171,15683,0,0.23803,0,0.30901
2015,Baden-Wuerttemberg,West,Yes,0.78838,1604,15683,0,0.74185,0,0.83279
2015,Baden-Wuerttemberg,West,No,0.21162,221,15683,0,0.19113,0,0.23211
2015,Bavaria,West,Yes,0.77340,2223,15683,0,0.73276,0,0.80840
2015,Bavaria,West,No,0.22660,358,15683,0,0.20959,0,0.24260
2015,Berlin,West,Yes,0.83321,324,15683,0,0.73762,0,0.92772
2015,Berlin,West,No,0.16679,43,15683,0,0.13840,0,0.19294
2015,Berlin,East,Yes,0.79504,240,15683,0,0.69303,0,0.91637
2015,Berlin,East,No,0.20496,39,15683,0,0.14835,0,0.28175
2015,Brandenburg,East,Yes,0.63230,459,15683,0,0.56504,0,0.70085
2015,Brandenburg,East,No,0.36770,148,15683,0,0.31414,0,0.42433
2015,Mecklenburg-Western Pomerania,East,Yes,0.70904,265,15683,0,0.63088,0,0.82362
2015,Mecklenburg-Western Pomerania,East,No,0.29096,85,15683,0,0.24213,0,0.34627
2015,Saxony,East,Yes,0.73113,727,15683,0,0.66494,0,0.78963
2015,Saxony,East,No,0.26887,176,15683,0,0.23685,0,0.30677
2015,Saxony-Anhalt,East,Yes,0.61291,395,15683,0,0.53146,0,0.67996
2015,Saxony-Anhalt,East,No,0.38709,149,15683,0,0.34151,0,0.43372
2015,Thuringa,East,Yes,0.65705,420,15683,0,0.57654,0,0.75052
2015,Thuringa,East,No,0.34295,156,15683,0,0.30706,0,0.39171
2016,Schleswig-Holstein,West,Yes,0.81335,536,16369,0,0.73264,0,0.89311
2016,Schleswig-Holstein,West,No,0.18665,93,16369,0,0.15035,0,0.22466
2016,Hamburg,West,Yes,0.82095,252,16369,0,0.72709,0,0.91178
2016,Hamburg,West,No,0.17905,37,16369,0,0.13352,0,0.22037
2016,Lower Saxony,West,Yes,0.80307,1348,16369,0,0.75363,0,0.87040
2016,Lower Saxony,West,No,0.19693,222,16369,0,0.16510,0,0.22420
2016,Bremen,West,Yes,1.00000,116,16369,0,0.74841,0,1.25795
2016,North Rhine-Westphalia,West,Yes,0.80567,2934,16369,0,0.77037,0,0.84748
2016,North Rhine-Westphalia,West,No,0.19433,434,16369,0,0.17558,0,0.21463
2016,Hesse,West,Yes,0.82257,993,16369,0,0.77279,0,0.87866
2016,Hesse,West,No,0.17743,133,16369,0,0.14679,0,0.20950
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.73799,846,16369,0,0.67726,0,0.79701
2016,"Rhineland-Palatinate, Saarland",West,No,0.26201,190,16369,0,0.22471,0,0.29859
2016,Baden-Wuerttemberg,West,Yes,0.79827,1624,16369,0,0.75345,0,0.84519
2016,Baden-Wuerttemberg,West,No,0.20173,239,16369,0,0.18064,0,0.22322
2016,Bavaria,West,Yes,0.79026,2176,16369,0,0.74854,0,0.82889
2016,Bavaria,West,No,0.20974,352,16369,0,0.19039,0,0.23170
2016,Berlin,West,Yes,0.87931,349,16369,0,0.78518,0,0.99991
2016,Berlin,West,No,0.12069,38,16369,0,0.09434,0,0.14614
2016,Berlin,East,Yes,0.81588,244,16369,0,0.72134,0,0.93147
2016,Berlin,East,No,0.18412,40,16369,0,0.13042,0,0.23723
2016,Brandenburg,East,Yes,0.68785,501,16369,0,0.60591,0,0.77218
2016,Brandenburg,East,No,0.31215,149,16369,0,0.26001,0,0.36218
2016,Mecklenburg-Western Pomerania,East,Yes,0.74418,293,16369,0,0.63374,0,0.86277
2016,Mecklenburg-Western Pomerania,East,No,0.25582,84,16369,0,0.20660,0,0.31322
2016,Saxony,East,Yes,0.78097,786,16369,0,0.71785,0,0.85011
2016,Saxony,East,No,0.21903,184,16369,0,0.18696,0,0.25283
2016,Saxony-Anhalt,East,Yes,0.65211,414,16369,0,0.56890,0,0.73319
2016,Saxony-Anhalt,East,No,0.34789,156,16369,0,0.29369,0,0.40638
2016,Thuringa,East,Yes,0.69028,435,16369,0,0.59852,0,0.79075
2016,Thuringa,East,No,0.30972,171,16369,0,0.26559,0,0.35523
2017,Schleswig-Holstein,West,Yes,0.85451,641,18210,0,0.77430,0,0.94016
2017,Schleswig-Holstein,West,No,0.14549,80,18210,0,0.10427,0,0.18453
2017,Hamburg,West,Yes,1.00000,307,18210,0,0.87993,0,1.13592
2017,Lower Saxony,West,Yes,0.82134,1716,18210,0,0.76972,0,0.86912
2017,Lower Saxony,West,No,0.17866,183,18210,0,0.15418,0,0.20615
2017,Bremen,West,Yes,1.00000,166,18210,0,0.81046,0,1.19698
2017,North Rhine-Westphalia,West,Yes,0.83104,3445,18210,0,0.79537,0,0.86664
2017,North Rhine-Westphalia,West,No,0.16896,380,18210,0,0.15323,0,0.18690
2017,Hesse,West,Yes,0.83669,1154,18210,0,0.77981,0,0.90539
2017,Hesse,West,No,0.16331,120,18210,0,0.13525,0,0.19353
2017,"Rhineland-Palatinate, Saarland",West,Yes,0.76510,923,18210,0,0.71316,0,0.82171
2017,"Rhineland-Palatinate, Saarland",West,No,0.23490,144,18210,0,0.20772,0,0.26505
2017,Baden-Wuerttemberg,West,Yes,0.82141,1791,18210,0,0.77414,0,0.86596
2017,Baden-Wuerttemberg,West,No,0.17859,215,18210,0,0.15771,0,0.19994
2017,Bavaria,West,Yes,0.80917,2440,18210,0,0.76942,0,0.85015
2017,Bavaria,West,No,0.19083,307,18210,0,0.17499,0,0.20891
2017,Berlin,West,Yes,0.86388,371,18210,0,0.77635,0,0.96272
2017,Berlin,West,No,0.13612,34,18210,0,0.11353,0,0.15548
2017,Berlin,East,Yes,0.82753,282,18210,0,0.73367,0,0.92879
2017,Berlin,East,No,0.17247,35,18210,0,0.12425,0,0.22386
2017,Brandenburg,East,Yes,0.69232,568,18210,0,0.61672,0,0.75452
2017,Brandenburg,East,No,0.30768,137,18210,0,0.26288,0,0.37469
2017,Mecklenburg-Western Pomerania,East,Yes,0.74328,325,18210,0,0.65282,0,0.84810
2017,Mecklenburg-Western Pomerania,East,No,0.25672,80,18210,0,0.21173,0,0.30834
2017,Saxony,East,Yes,0.78871,919,18210,0,0.73138,0,0.85590
2017,Saxony,East,No,0.21129,165,18210,0,0.18269,0,0.24190
2017,Saxony-Anhalt,East,Yes,0.71257,493,18210,0,0.64359,0,0.78540
2017,Saxony-Anhalt,East,No,0.28743,137,18210,0,0.24305,0,0.32987
2017,Thuringa,East,Yes,0.74722,515,18210,0,0.65861,0,0.83847
2017,Thuringa,East,No,0.25278,137,18210,0,0.21741,0,0.29458
2018,Schleswig-Holstein,West,Yes,0.85546,615,17823,0,0.76488,0,0.94849
2018,Schleswig-Holstein,West,No,0.14454,63,17823,0,0.11140,0,0.18023
2018,Hamburg,West,Yes,1.00000,339,17823,0,0.87352,0,1.11338
2018,Lower Saxony,West,Yes,0.83604,1648,17823,0,0.78598,0,0.87326
2018,Lower Saxony,West,No,0.16396,151,17823,0,0.14003,0,0.19090
2018,Bremen,West,Yes,1.00000,169,17823,0,0.79264,0,1.23500
2018,North Rhine-Westphalia,West,Yes,0.84666,3438,17823,0,0.80945,0,0.87943
2018,North Rhine-Westphalia,West,No,0.15334,325,17823,0,0.13653,0,0.16954
2018,Hesse,West,Yes,0.84272,1128,17823,0,0.78444,0,0.90329
2018,Hesse,West,No,0.15728,104,17823,0,0.12811,0,0.18493
2018,"Rhineland-Palatinate, Saarland",West,Yes,0.77929,935,17823,0,0.71873,0,0.84099
2018,"Rhineland-Palatinate, Saarland",West,No,0.22071,130,17823,0,0.18370,0,0.25379
2018,Baden-Wuerttemberg,West,Yes,0.82926,1700,17823,0,0.78359,0,0.87964
2018,Baden-Wuerttemberg,West,No,0.17074,182,17823,0,0.15315,0,0.18967
