,Unnamed: 0,year,rentown,sampreg,hlf0178_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
78,78,2019,Tenant,East,Yes,0.76571,1998,18353,0.71608,0.81284
79,79,2019,Tenant,East,No,0.23429,358,18353,0.20843,0.25725
80,80,2020,Tenant,West,Yes,0.92027,2441,2950,0.88024,0.95885
81,81,2020,Tenant,West,No,0.07973,143,2950,0.06725,0.09229
82,82,2020,Tenant,East,Yes,1.0,366,2950,0.90019,1.11484
83,83,2021,Owner,West,Yes,0.90857,3964,12556,0.88165,0.94053
84,84,2021,Owner,West,No,0.09143,179,12556,0.08213,0.10157
85,85,2021,Owner,East,Yes,0.92132,902,12556,0.84772,1.00802
86,86,2021,Owner,East,No,0.07868,52,12556,0.05922,0.0972
87,87,2021,Tenant,West,Yes,0.87461,5488,12556,0.8384,0.90506
88,88,2021,Tenant,West,No,0.12539,338,12556,0.11552,0.13931
89,89,2021,Tenant,East,Yes,0.83486,1447,12556,0.77414,0.89239
90,90,2021,Tenant,East,No,0.16514,186,12556,0.14163,0.192
