year,quintil_oecd_hh,rentown,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,2nd Quintile,Owner,No,0.30027,176,1086,0.27300,0.32755
2018,2nd Quintile,Tenant,Yes,0.76863,2039,2360,0.75162,0.78565
2018,2nd Quintile,Tenant,No,0.23137,321,2360,0.21435,0.24838
2018,3rd Quintile,Owner,Yes,0.83234,1271,1401,0.81278,0.85191
2018,3rd Quintile,Owner,No,0.16766,130,1401,0.14809,0.18722
2018,3rd Quintile,Tenant,Yes,0.82889,1406,1596,0.81040,0.84737
2018,3rd Quintile,Tenant,No,0.17111,190,1596,0.15263,0.18960
2018,4th Quintile,Owner,Yes,0.88258,1607,1710,0.86732,0.89784
2018,4th Quintile,Owner,No,0.11742,103,1710,0.10216,0.13268
2018,4th Quintile,Tenant,Yes,0.87233,1094,1189,0.85335,0.89130
2018,4th Quintile,Tenant,No,0.12767,95,1189,0.10870,0.14665
2018,5th Quintile,Owner,Yes,0.95847,2118,2173,0.95008,0.96686
2018,5th Quintile,Owner,No,0.04153,55,2173,0.03314,0.04992
2018,5th Quintile,Tenant,Yes,0.93841,807,843,0.92217,0.95465
2018,5th Quintile,Tenant,No,0.06159,36,843,0.04535,0.07783
2019,Not included in this version of the questionnaire,Tenant,Yes,0.89744,33,33,0.79232,1.00256
2019,1st Quintile,Owner,Yes,0.69143,326,394,0.64576,0.73710
2019,1st Quintile,Owner,No,0.30857,68,394,0.26290,0.35424
2019,1st Quintile,Tenant,Yes,0.75607,4124,4649,0.74372,0.76842
2019,1st Quintile,Tenant,No,0.24393,525,4649,0.23158,0.25628
2019,2nd Quintile,Owner,Yes,0.76099,890,1032,0.73496,0.78703
2019,2nd Quintile,Owner,No,0.23901,142,1032,0.21297,0.26504
2019,2nd Quintile,Tenant,Yes,0.79984,1853,2124,0.78282,0.81686
2019,2nd Quintile,Tenant,No,0.20016,271,2124,0.18314,0.21718
2019,3rd Quintile,Owner,Yes,0.83860,1296,1409,0.81939,0.85782
2019,3rd Quintile,Owner,No,0.16140,113,1409,0.14218,0.18061
2019,3rd Quintile,Tenant,Yes,0.86657,1358,1484,0.84927,0.88388
2019,3rd Quintile,Tenant,No,0.13343,126,1484,0.11612,0.15073
2019,4th Quintile,Owner,Yes,0.91696,1700,1779,0.90413,0.92978
2019,4th Quintile,Owner,No,0.08304,79,1779,0.07022,0.09587
2019,4th Quintile,Tenant,Yes,0.90100,1076,1150,0.88373,0.91827
2019,4th Quintile,Tenant,No,0.09900,74,1150,0.08173,0.11627
2019,5th Quintile,Owner,Yes,0.95392,3198,3265,0.94672,0.96111
2019,5th Quintile,Owner,No,0.04608,67,3265,0.03889,0.05328
2019,5th Quintile,Tenant,Yes,0.93234,1045,1091,0.91743,0.94725
2019,5th Quintile,Tenant,No,0.06766,46,1091,0.05275,0.08257
2020,Not included in this version of the questionnaire,Tenant,Yes,0.91118,147,147,0.86503,0.95732
2020,1st Quintile,Tenant,Yes,0.91853,2484,2627,0.90807,0.92900
2020,1st Quintile,Tenant,No,0.08147,143,2627,0.07100,0.09193
2020,2nd Quintile,Tenant,Yes,0.92078,153,153,0.87785,0.96372
2021,Not included in this version of the questionnaire,Tenant,Yes,0.68646,36,36,0.53276,0.84016
2021,1st Quintile,Owner,Yes,0.86233,251,283,0.82212,0.90255
2021,1st Quintile,Owner,No,0.13767,32,283,0.09745,0.17788
2021,1st Quintile,Tenant,Yes,0.83586,2725,2957,0.82250,0.84921
2021,1st Quintile,Tenant,No,0.16414,232,2957,0.15079,0.17750
2021,2nd Quintile,Owner,Yes,0.82614,606,677,0.79757,0.85471
2021,2nd Quintile,Owner,No,0.17386,71,677,0.14529,0.20243
2021,2nd Quintile,Tenant,Yes,0.83564,1538,1694,0.81799,0.85330
2021,2nd Quintile,Tenant,No,0.16436,156,1694,0.14670,0.18201
2021,3rd Quintile,Owner,Yes,0.84879,867,929,0.82575,0.87184
2021,3rd Quintile,Owner,No,0.15121,62,929,0.12816,0.17425
2021,3rd Quintile,Tenant,Yes,0.89427,1076,1145,0.87645,0.91209
2021,3rd Quintile,Tenant,No,0.10573,69,1145,0.08791,0.12355
2021,4th Quintile,Owner,Yes,0.94465,1180,1213,0.93178,0.95752
2021,4th Quintile,Owner,No,0.05535,33,1213,0.04248,0.06822
2021,4th Quintile,Tenant,Yes,0.89056,836,886,0.86999,0.91113
2021,4th Quintile,Tenant,No,0.10944,50,886,0.08887,0.13001
2021,5th Quintile,Owner,Yes,0.97298,1957,1990,0.96586,0.98011
2021,5th Quintile,Owner,No,0.02702,33,1990,0.01989,0.03414
2021,5th Quintile,Tenant,Yes,0.96007,724,724,0.94579,0.97434
