year,quintil_oecd_hh,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,4th Quintile,West,Yes,0.64316,1264,1807,0.62106,0.66525
2007,4th Quintile,West,No,0.35684,543,1807,0.33475,0.37894
2007,4th Quintile,East,Yes,0.58313,344,509,0.54026,0.62601
2007,4th Quintile,East,No,0.41687,165,509,0.37399,0.45974
2007,5th Quintile,West,Yes,0.76207,2039,2478,0.74530,0.77884
2007,5th Quintile,West,No,0.23793,439,2478,0.22116,0.25470
2007,5th Quintile,East,Yes,0.78314,294,343,0.73947,0.82682
2007,5th Quintile,East,No,0.21686,49,343,0.17318,0.26053
2011,1st Quintile,West,Yes,0.45426,886,1530,0.42931,0.47922
2011,1st Quintile,West,No,0.54574,644,1530,0.52078,0.57069
2011,1st Quintile,East,Yes,0.43447,368,709,0.39796,0.47098
2011,1st Quintile,East,No,0.56553,341,709,0.52902,0.60204
2011,2nd Quintile,West,Yes,0.56327,940,1488,0.53806,0.58847
2011,2nd Quintile,West,No,0.43673,548,1488,0.41153,0.46194
2011,2nd Quintile,East,Yes,0.48321,400,737,0.44710,0.51931
2011,2nd Quintile,East,No,0.51679,337,737,0.48069,0.55290
2011,3rd Quintile,West,Yes,0.66859,1243,1712,0.64629,0.69090
2011,3rd Quintile,West,No,0.33141,469,1712,0.30910,0.35371
2011,3rd Quintile,East,Yes,0.60789,432,651,0.57036,0.64543
2011,3rd Quintile,East,No,0.39211,219,651,0.35457,0.42964
2011,4th Quintile,West,Yes,0.78356,1627,1972,0.76538,0.80174
2011,4th Quintile,West,No,0.21644,345,1972,0.19826,0.23462
2011,4th Quintile,East,Yes,0.81880,381,453,0.78329,0.85431
2011,4th Quintile,East,No,0.18120,72,453,0.14569,0.21671
2011,5th Quintile,West,Yes,0.87170,2195,2443,0.85844,0.88496
2011,5th Quintile,West,No,0.12830,248,2443,0.11504,0.14156
2011,5th Quintile,East,Yes,0.86239,295,295,0.82302,0.90177
2013,1st Quintile,West,Yes,0.57145,1652,2280,0.55113,0.59177
2013,1st Quintile,West,No,0.42855,628,2280,0.40823,0.44887
2013,1st Quintile,East,Yes,0.49201,447,747,0.45613,0.52788
2013,1st Quintile,East,No,0.50799,300,747,0.47212,0.54387
2013,2nd Quintile,West,Yes,0.63461,1539,2053,0.61378,0.65545
2013,2nd Quintile,West,No,0.36539,514,2053,0.34455,0.38622
2013,2nd Quintile,East,Yes,0.54927,436,730,0.51315,0.58539
2013,2nd Quintile,East,No,0.45073,294,730,0.41461,0.48685
2013,3rd Quintile,West,Yes,0.73457,1638,2016,0.71529,0.75385
2013,3rd Quintile,West,No,0.26543,378,2016,0.24615,0.28471
2013,3rd Quintile,East,Yes,0.65063,427,602,0.61251,0.68875
2013,3rd Quintile,East,No,0.34937,175,602,0.31125,0.38749
2013,4th Quintile,West,Yes,0.82423,1857,2120,0.80802,0.84043
2013,4th Quintile,West,No,0.17577,263,2120,0.15957,0.19198
2013,4th Quintile,East,Yes,0.79898,393,457,0.76219,0.83576
2013,4th Quintile,East,No,0.20102,64,457,0.16424,0.23781
2013,5th Quintile,West,Yes,0.90732,2365,2527,0.89601,0.91863
2013,5th Quintile,West,No,0.09268,162,2527,0.08137,0.10399
2013,5th Quintile,East,Yes,0.94853,317,317,0.92417,0.97289
2014,1st Quintile,West,Yes,0.60416,1939,2552,0.58518,0.62313
2014,1st Quintile,West,No,0.39584,613,2552,0.37687,0.41482
2014,1st Quintile,East,Yes,0.56130,606,887,0.52863,0.59398
2014,1st Quintile,East,No,0.43870,281,887,0.40602,0.47137
2014,2nd Quintile,West,Yes,0.66653,1965,2443,0.64783,0.68523
2014,2nd Quintile,West,No,0.33347,478,2443,0.31477,0.35217
2014,2nd Quintile,East,Yes,0.54759,563,858,0.51427,0.58091
2014,2nd Quintile,East,No,0.45241,295,858,0.41909,0.48573
2014,3rd Quintile,West,Yes,0.73382,1995,2375,0.71604,0.75160
2014,3rd Quintile,West,No,0.26618,380,2375,0.24840,0.28396
2014,3rd Quintile,East,Yes,0.65989,536,724,0.62536,0.69443
2014,3rd Quintile,East,No,0.34011,188,724,0.30557,0.37464
2014,4th Quintile,West,Yes,0.83672,2143,2392,0.82191,0.85154
2014,4th Quintile,West,No,0.16328,249,2392,0.14846,0.17809
2014,4th Quintile,East,Yes,0.78625,456,528,0.75124,0.82125
2014,4th Quintile,East,No,0.21375,72,528,0.17875,0.24876
2014,5th Quintile,West,Yes,0.91035,2489,2645,0.89946,0.92124
2014,5th Quintile,West,No,0.08965,156,2645,0.07876,0.10054
2014,5th Quintile,East,Yes,0.95539,355,355,0.93388,0.97689
2015,1st Quintile,West,Yes,0.64937,2122,2667,0.63126,0.66749
2015,1st Quintile,West,No,0.35063,545,2667,0.33251,0.36874
2015,1st Quintile,East,Yes,0.59355,605,875,0.56098,0.62611
2015,1st Quintile,East,No,0.40645,270,875,0.37389,0.43902
2015,2nd Quintile,West,Yes,0.68871,2013,2455,0.67039,0.70703
2015,2nd Quintile,West,No,0.31129,442,2455,0.29297,0.32961
2015,2nd Quintile,East,Yes,0.58191,635,913,0.54990,0.61393
2015,2nd Quintile,East,No,0.41809,278,913,0.38607,0.45010
2015,3rd Quintile,West,Yes,0.76365,2035,2369,0.74654,0.78076
2015,3rd Quintile,West,No,0.23635,334,2369,0.21924,0.25346
2015,3rd Quintile,East,Yes,0.74025,510,641,0.70628,0.77423
2015,3rd Quintile,East,No,0.25975,131,641,0.22577,0.29372
2015,4th Quintile,West,Yes,0.85496,2130,2339,0.84068,0.86923
2015,4th Quintile,West,No,0.14504,209,2339,0.13077,0.15932
2015,4th Quintile,East,Yes,0.83827,425,483,0.80540,0.87114
2015,4th Quintile,East,No,0.16173,58,483,0.12886,0.19460
2015,5th Quintile,West,Yes,0.92203,2492,2627,0.91177,0.93228
2015,5th Quintile,West,No,0.07797,135,2627,0.06772,0.08823
2015,5th Quintile,East,Yes,0.92156,330,330,0.89250,0.95061
2016,1st Quintile,West,Yes,0.67436,3148,3980,0.65980,0.68893
2016,1st Quintile,West,No,0.32564,832,3980,0.31107,0.34020
2016,1st Quintile,East,Yes,0.64314,845,1207,0.61610,0.67017
2016,1st Quintile,East,No,0.35686,362,1207,0.32983,0.38390
2016,2nd Quintile,West,Yes,0.70862,1859,2239,0.68979,0.72745
2016,2nd Quintile,West,No,0.29138,380,2239,0.27255,0.31021
2016,2nd Quintile,East,Yes,0.63113,567,796,0.59759,0.66467
2016,2nd Quintile,East,No,0.36887,229,796,0.33533,0.40241
2016,3rd Quintile,West,Yes,0.79864,1818,2071,0.78136,0.81592
2016,3rd Quintile,West,No,0.20136,253,2071,0.18408,0.21864
2016,3rd Quintile,East,Yes,0.76990,539,672,0.73805,0.80175
2016,3rd Quintile,East,No,0.23010,133,672,0.19825,0.26195
2016,4th Quintile,West,Yes,0.86759,2029,2202,0.85342,0.88175
2016,4th Quintile,West,No,0.13241,173,2202,0.11825,0.14658
2016,4th Quintile,East,Yes,0.85099,406,456,0.81827,0.88371
2016,4th Quintile,East,No,0.14901,50,456,0.11629,0.18173
2016,5th Quintile,West,Yes,0.92594,2318,2428,0.91552,0.93636
2016,5th Quintile,West,No,0.07406,110,2428,0.06364,0.08448
2016,5th Quintile,East,Yes,0.96211,316,316,0.94102,0.98319
2017,Not included in this version of the questionnaire,West,Yes,0.38672,36,36,0.22537,0.54806
2017,1st Quintile,West,Yes,0.70785,3748,4415,0.69444,0.72127
2017,1st Quintile,West,No,0.29215,667,4415,0.27873,0.30556
2017,1st Quintile,East,Yes,0.66112,932,1222,0.63457,0.68767
2017,1st Quintile,East,No,0.33888,290,1222,0.31233,0.36543
2017,2nd Quintile,West,Yes,0.72915,2038,2396,0.71135,0.74694
2017,2nd Quintile,West,No,0.27085,358,2396,0.25306,0.28865
2017,2nd Quintile,East,Yes,0.70343,721,930,0.67405,0.73280
2017,2nd Quintile,East,No,0.29657,209,930,0.26720,0.32595
2017,3rd Quintile,West,Yes,0.83594,2161,2380,0.82106,0.85082
2017,3rd Quintile,West,No,0.16406,219,2380,0.14918,0.17894
2017,3rd Quintile,East,Yes,0.76982,601,723,0.73912,0.80053
2017,3rd Quintile,East,No,0.23018,122,723,0.19947,0.26088
2017,4th Quintile,West,Yes,0.87375,2347,2515,0.86077,0.88674
2017,4th Quintile,West,No,0.12625,168,2515,0.11326,0.13923
2017,4th Quintile,East,Yes,0.85178,477,530,0.82150,0.88206
2017,4th Quintile,East,No,0.14822,53,530,0.11794,0.17850
2017,5th Quintile,West,Yes,0.94049,2624,2712,0.93158,0.94939
2017,5th Quintile,West,No,0.05951,88,2712,0.05061,0.06842
2017,5th Quintile,East,Yes,0.96016,366,366,0.94010,0.98023
2018,Not included in this version of the questionnaire,West,Yes,0.79176,115,115,0.71722,0.86630
2018,1st Quintile,West,Yes,0.71395,3579,4112,0.70014,0.72777
2018,1st Quintile,West,No,0.28605,533,4112,0.27223,0.29986
2018,1st Quintile,East,Yes,0.69900,999,1250,0.67356,0.72443
2018,1st Quintile,East,No,0.30100,251,1250,0.27557,0.32644
2018,2nd Quintile,West,Yes,0.74921,2170,2481,0.73215,0.76627
2018,2nd Quintile,West,No,0.25079,311,2481,0.23373,0.26785
2018,2nd Quintile,East,Yes,0.72572,779,965,0.69756,0.75389
2018,2nd Quintile,East,No,0.27428,186,965,0.24611,0.30244
2018,3rd Quintile,West,Yes,0.84036,2096,2312,0.82542,0.85529
2018,3rd Quintile,West,No,0.15964,216,2312,0.14471,0.17458
2018,3rd Quintile,East,Yes,0.78861,581,685,0.75802,0.81921
2018,3rd Quintile,East,No,0.21139,104,685,0.18079,0.24198
2018,4th Quintile,West,Yes,0.87772,2249,2402,0.86461,0.89082
2018,4th Quintile,West,No,0.12228,153,2402,0.10918,0.13539
2018,4th Quintile,East,Yes,0.88326,452,497,0.85500,0.91152
2018,4th Quintile,East,No,0.11674,45,497,0.08848,0.14500
2018,5th Quintile,West,Yes,0.95092,2572,2652,0.94269,0.95914
2018,5th Quintile,West,No,0.04908,80,2652,0.04086,0.05731
2018,5th Quintile,East,Yes,0.97653,353,353,0.96072,0.99235
2019,1st Quintile,West,Yes,0.75675,3507,3915,0.74330,0.77019
2019,1st Quintile,West,No,0.24325,408,3915,0.22981,0.25670
2019,1st Quintile,East,Yes,0.71452,926,1110,0.68794,0.74111
2019,1st Quintile,East,No,0.28548,184,1110,0.25889,0.31206
2019,2nd Quintile,West,Yes,0.80679,2048,2289,0.79061,0.82297
2019,2nd Quintile,West,No,0.19321,241,2289,0.17703,0.20939
2019,2nd Quintile,East,Yes,0.70856,678,850,0.67799,0.73912
2019,2nd Quintile,East,No,0.29144,172,850,0.26088,0.32201
2019,3rd Quintile,West,Yes,0.84888,2024,2193,0.83388,0.86387
2019,3rd Quintile,West,No,0.15112,169,2193,0.13613,0.16612
2019,3rd Quintile,East,Yes,0.86794,625,695,0.84275,0.89313
2019,3rd Quintile,East,No,0.13206,70,695,0.10687,0.15725
2019,4th Quintile,West,Yes,0.91518,2259,2372,0.90397,0.92640
2019,4th Quintile,West,No,0.08482,113,2372,0.07360,0.09603
2019,4th Quintile,East,Yes,0.88306,505,545,0.85605,0.91006
2019,4th Quintile,East,No,0.11694,40,545,0.08994,0.14395
2019,5th Quintile,West,Yes,0.94658,3556,3647,0.93928,0.95388
2019,5th Quintile,West,No,0.05342,91,3647,0.04612,0.06072
2019,5th Quintile,East,Yes,0.96161,679,679,0.94715,0.97607
2021,Not included in this version of the questionnaire,West,Yes,0.75801,33,33,0.60961,0.90640
2021,1st Quintile,West,Yes,0.85011,2380,2555,0.83627,0.86396
2021,1st Quintile,West,No,0.14989,175,2555,0.13604,0.16373
2021,1st Quintile,East,Yes,0.80577,596,685,0.77612,0.83542
2021,1st Quintile,East,No,0.19423,89,685,0.16458,0.22388
2021,2nd Quintile,West,Yes,0.83686,1633,1780,0.81969,0.85403
2021,2nd Quintile,West,No,0.16314,147,1780,0.14597,0.18031
2021,2nd Quintile,East,Yes,0.81703,513,593,0.78588,0.84818
2021,2nd Quintile,East,No,0.18297,80,593,0.15182,0.21412
2021,3rd Quintile,West,Yes,0.87087,1497,1590,0.85438,0.88736
2021,3rd Quintile,West,No,0.12913,93,1590,0.11264,0.14562
2021,3rd Quintile,East,Yes,0.87703,446,484,0.84774,0.90632
2021,3rd Quintile,East,No,0.12297,38,484,0.09368,0.15226
2021,4th Quintile,West,Yes,0.92160,1644,1704,0.90883,0.93436
2021,4th Quintile,West,No,0.07840,60,1704,0.06564,0.09117
2021,4th Quintile,East,Yes,0.93212,372,372,0.90652,0.95771
2021,5th Quintile,West,Yes,0.96672,2267,2304,0.95940,0.97405
2021,5th Quintile,West,No,0.03328,37,2304,0.02595,0.04060
2021,5th Quintile,East,Yes,0.99540,415,415,0.98889,1.00192
