year,hhtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2005,Multi-generational household,47,488.40840,427.49722,549.31958,385.89556,471.53676,600.00000,150.00000,921.15666,,,
2005,Other Combinations,47,406.82125,348.60228,465.04022,300.00000,352.86885,479.27152,100.00000,748.17880,,,
2006,Single-person household,,,,,,,,,,,,
2006,Couple without children,,,,,,,,,,,,
2006,Single parent,,,,,,,,,,,,
2006,Couple with children,,,,,,,,,,,,
2006,Multi-generational household,,,,,,,,,,,,
2006,Other Combinations,,,,,,,,,,,,
2007,Single-person household,1527,260.81532,253.49895,268.13170,150.00000,226.13461,350.00000,20.00000,650.00000,,,
2007,Couple without children,2101,456.70589,446.63187,466.77991,300.00000,400.00000,550.00000,50.00000,925.00000,,,
2007,Single parent,338,354.31610,335.50561,373.12660,218.33308,320.00000,400.00000,60.00000,672.50038,,,
2007,Couple with children,1815,572.77605,559.93848,585.61362,400.00000,500.00000,700.00000,100.00000,1150.00000,,,
2007,Multi-generational household,35,635.07372,529.50503,740.64240,300.00000,600.00000,900.00000,200.00000,1200.00000,,,
2007,Other Combinations,45,337.46642,285.86932,389.06351,237.58822,363.10356,400.00000,50.00000,643.61767,,,
2008,Single-person household,,,,,,,,,,,,
2008,Couple without children,,,,,,,,,,,,
2008,Single parent,,,,,,,,,,,,
2008,Couple with children,,,,,,,,,,,,
2008,Multi-generational household,,,,,,,,,,,,
2008,Other Combinations,,,,,,,,,,,,
2009,Single-person household,,,,,,,,,,,,
2009,Couple without children,,,,,,,,,,,,
2009,Single parent,,,,,,,,,,,,
2009,Couple with children,,,,,,,,,,,,
2009,Multi-generational household,,,,,,,,,,,,
2009,Other Combinations,,,,,,,,,,,,
2010,Single-person household,,,,,,,,,,,,
2010,Couple without children,,,,,,,,,,,,
2010,Single parent,,,,,,,,,,,,
2010,Couple with children,,,,,,,,,,,,
2010,Multi-generational household,,,,,,,,,,,,
2010,Other Combinations,,,,,,,,,,,,
2011,Single-person household,1742,256.90719,250.50326,263.31112,180.00000,220.00000,300.00000,0.00000,480.00000,,,
2011,Couple without children,2465,458.18704,449.36256,467.01153,300.00000,400.00000,550.00000,75.00000,925.00000,,,
2011,Single parent,366,379.90035,363.37020,396.43050,280.00000,350.00000,450.00000,50.00000,705.00000,,,
2011,Couple with children,1662,575.43797,562.92435,587.95160,400.00000,500.00000,700.00000,100.00000,1150.00000,,,
2011,Multi-generational household,37,500.97825,424.65093,577.30557,350.00000,400.00000,717.83676,140.00000,1000.00000,,,
2011,Other Combinations,49,359.73127,313.24483,406.21772,200.00000,350.00000,425.49203,100.00000,763.73007,,,
2012,Single-person household,,,,,,,,,,,,
2012,Couple without children,,,,,,,,,,,,
2012,Single parent,,,,,,,,,,,,
2012,Couple with children,,,,,,,,,,,,
2012,Multi-generational household,,,,,,,,,,,,
2012,Other Combinations,,,,,,,,,,,,
2013,Single-person household,1709,264.14543,257.76427,270.52658,200.00000,250.00000,300.00000,50.00000,450.00000,,,
2013,Couple without children,2443,465.14625,455.44555,474.84696,300.00000,400.00000,550.00000,1.00000,925.00000,,,
2013,Single parent,402,378.45141,360.02574,396.87708,228.42929,350.00000,473.08923,60.00000,840.07914,,,
2013,Couple with children,1934,562.94210,551.02422,574.85998,400.00000,500.00000,600.00000,100.00000,900.00000,,,
2013,Multi-generational household,48,575.48876,488.97469,662.00283,400.00000,500.00000,800.00000,120.00000,1400.00000,,,
2013,Other Combinations,146,398.24154,367.17156,429.31152,250.00000,400.00000,500.00000,70.00000,875.00000,,,
2014,Single-person household,,,,,,,,,,,,
2014,Couple without children,,,,,,,,,,,,
2014,Single parent,,,,,,,,,,,,
2014,Couple with children,,,,,,,,,,,,
2014,Multi-generational household,,,,,,,,,,,,
2014,Other Combinations,,,,,,,,,,,,
2015,Single-person household,,,,,,,,,,,,
2015,Couple without children,,,,,,,,,,,,
2015,Single parent,,,,,,,,,,,,
2015,Couple with children,,,,,,,,,,,,
2015,Multi-generational household,,,,,,,,,,,,
2015,Other Combinations,,,,,,,,,,,,
2016,Single-person household,1357,283.80559,275.34645,292.26474,200.00000,250.00000,350.00000,20.00000,575.00000,,,
2016,Couple without children,1878,468.09520,457.81355,478.37685,300.00000,400.00000,550.00000,70.00000,925.00000,,,
2016,Single parent,489,379.62360,363.34760,395.89959,250.00000,350.00000,500.00000,50.00000,875.00000,,,
2016,Couple with children,1816,560.22733,548.72511,571.72954,400.00000,500.00000,650.00000,45.00000,1025.00000,,,
2016,Multi-generational household,34,647.71639,537.21983,758.21295,400.00000,600.00000,911.73350,180.00000,1679.33375,,,
2016,Other Combinations,70,456.45131,401.54469,511.35793,300.00000,400.00000,600.00000,80.00000,1050.00000,,,
2017,Single-person household,,,,,,,,,,,,
2017,Couple without children,,,,,,,,,,,,
2017,Single parent,,,,,,,,,,,,
2017,Couple with children,,,,,,,,,,,,
2017,Multi-generational household,,,,,,,,,,,,
2017,Other Combinations,,,,,,,,,,,,
2018,Single-person household,1826,291.13986,283.53086,298.74886,200.00000,250.00000,400.00000,20.00000,700.00000,,,
2018,Couple without children,2080,489.22366,479.57572,498.87159,350.00000,450.00000,600.00000,100.00000,975.00000,,,
2018,Single parent,581,393.27110,377.56619,408.97601,250.00000,400.00000,500.00000,49.00000,875.00000,,,
2018,Couple with children,2399,567.22851,557.12389,577.33313,400.00000,500.00000,660.40269,80.00000,1051.00673,,,
2018,Multi-generational household,57,656.22119,581.52840,730.91397,440.94026,600.00000,800.00000,200.00000,1338.58960,,,
2018,Other Combinations,163,461.08135,427.09560,495.06710,300.00000,500.00000,600.00000,60.00000,1050.00000,,,
2019,Single-person household,,,,,,,,,,,,
2019,Couple without children,,,,,,,,,,,,
2019,Single parent,,,,,,,,,,,,
2019,Couple with children,,,,,,,,,,,,
2019,Multi-generational household,,,,,,,,,,,,
2019,Other Combinations,,,,,,,,,,,,
2020,Single-person household,1929,290.61046,283.58135,297.63956,200.00000,250.00000,400.00000,10.00000,700.00000,,,
2020,Couple without children,2149,484.20093,474.58514,493.81673,350.00000,450.00000,600.00000,10.00000,975.00000,,,
2020,Single parent,503,417.55693,401.53432,433.57955,300.00000,400.00000,500.00000,60.00000,800.00000,,,
2020,Couple with children,2293,589.25930,578.30597,600.21264,400.00000,500.00000,700.00000,100.00000,1150.00000,,,
2020,Multi-generational household,54,529.73009,453.49747,605.96272,274.80730,500.00000,658.73529,150.00000,1234.62727,,,
2020,Other Combinations,148,436.91018,396.61180,477.20856,250.00000,400.00000,500.00000,100.00000,875.00000,,,
2021,Single-person household,,,,,,,,,,,,
2021,Couple without children,,,,,,,,,,,,
2021,Single parent,,,,,,,,,,,,
2021,Couple with children,,,,,,,,,,,,
2021,Multi-generational household,,,,,,,,,,,,
2021,Other Combinations,,,,,,,,,,,,
2022,Single-person household,2580,343.46093,335.66845,351.25340,200.00000,300.00000,400.00000,5.00000,700.00000,,,
2022,Couple without children,2672,565.80731,554.86455,576.75007,400.00000,500.00000,650.00000,25.00000,1025.00000,,,
2022,Single parent,450,484.04366,464.04821,504.03911,350.00000,450.00000,600.00000,50.00000,975.00000,,,
2022,Couple with children,2118,708.64346,694.86214,722.42478,500.00000,600.00000,850.00000,1.00000,1375.00000,,,
2022,Multi-generational household,,,,,,,,,,,,
2022,Other Combinations,437,552.41520,522.65428,582.17613,400.00000,500.00000,600.00000,100.00000,900.00000,,,
