"year","regtyp","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2009","Ländlicher Raum","weiblich","312.55","345","1671","160","250","400","400","500","307.71","317.39","0","700","300","350"
"2009","Städtischer Raum","männlich","387.47","397.5","3327","300","350","400","480","600","384.61","390.33","0","999","400","400"
"2009","Städtischer Raum","weiblich","302.08","297.5","3150","150","210","390","400","500","298.45","305.71","0","800","300","300"
"2010","Ländlicher Raum","männlich","388.49","397.5","1881","300","370","400","500","600","384.46","392.52","0","960","400","400"
"2010","Ländlicher Raum","weiblich","308.97","345","1841","150","250","400","400","500","304.44","313.5","0","700","300","320"
"2010","Städtischer Raum","männlich","380.13","399","3534","300","350","400","480","600","377.12","383.14","0","999","400","400"
"2010","Städtischer Raum","weiblich","304.12","317.5","3398","150","240","390","400","500","300.63","307.61","0","700","300","300"
"2011","Ländlicher Raum","männlich","386.97","397.5","2349","300","370","400","480","650","383.43","390.51","0","820","400","400"
"2011","Ländlicher Raum","weiblich","312.65","345","2372","160","250","400","400","500","308.61","316.69","0","800","300","320"
"2011","Städtischer Raum","männlich","386.45","397.5","4132","300","350","400","500","600","383.63","389.27","0","999","400","400"
"2011","Städtischer Raum","weiblich","308.97","317.5","4176","150","250","400","400","500","305.78","312.16","0","800","300","300"
"2012","Ländlicher Raum","männlich","385.97","399","2279","300","350","400","450","600","382.46","389.48","0","900","400","400"
"2012","Ländlicher Raum","weiblich","307.9","327.5","2333","160","250","400","400","500","303.8","312","0","800","300","300"
"2012","Städtischer Raum","männlich","377.41","397.5","4065","300","350","400","450","600","374.5","380.32","0","999","400","400"
"2012","Städtischer Raum","weiblich","301.02","295","4209","150","205","400","400","500","297.83","304.21","0","800","300","300"
"2013","Ländlicher Raum","männlich","379.78","397.5","2067","300","350","400","450","600","376.1","383.46","0","990","400","400"
"2013","Ländlicher Raum","weiblich","307.49","297.5","2233","150","250","400","400","500","303.31","311.67","0","800","300","300"
"2013","Städtischer Raum","männlich","374.76","397.5","3724","300","350","400","450","600","371.78","377.74","0","999","400","400"
"2013","Städtischer Raum","weiblich","298.81","295","3942","150","200","390","400","500","295.54","302.08","0","900","300","300"
"2014","Ländlicher Raum","männlich","376.35","397.5","2496","300","350","400","450","600","373.17","379.53","0","800","400","400"
"2014","Ländlicher Raum","weiblich","302.86","297.5","2582","160","250","400","400","450","299.02","306.7","0","840","300","300"
"2014","Städtischer Raum","männlich","370.86","397.5","4265","300","350","400","450","600","368.17","373.55","0","999","400","400"
"2014","Städtischer Raum","weiblich","297.96","297.5","4580","150","215","385","400","500","295.01","300.91","0","800","300","300"
"2015","Ländlicher Raum","männlich","374.21","398.5","2749","300","350","400","420","600","371.02","377.4","0","900","400","400"
"2015","Ländlicher Raum","weiblich","304.28","297.5","2788","150","240","400","400","500","300.48","308.08","0","800","300","300"
"2015","Städtischer Raum","männlich","374.62","397.5","5172","300","350","400","450","600","372.17","377.07","0","999","400","400"
"2015","Städtischer Raum","weiblich","299.47","295","5263","150","200","390","400","500","296.56","302.38","0","990","300","300"
"2016","Ländlicher Raum","männlich","","","","","","","","","","","","","",""
"2016","Ländlicher Raum","weiblich","","","","","","","","","","","","","",""
"2016","Städtischer Raum","männlich","","","","","","","","","","","","","",""
"2016","Städtischer Raum","weiblich","","","","","","","","","","","","","",""
"2017","Ländlicher Raum","männlich","369.71","397.5","2942","300","350","400","440","600","366.66","372.76","0","800","400","400"
"2017","Ländlicher Raum","weiblich","296.25","295","3006","150","210","385","400","500","292.67","299.83","0","600","300","300"
"2017","Städtischer Raum","männlich","368.85","397.5","5355","280","350","400","450","600","366.38","371.32","0","990","400","400"
"2017","Städtischer Raum","weiblich","296.22","295","5488","150","200","385","400","500","293.48","298.96","0","850","300","300"
"2018","Ländlicher Raum","männlich","362.58","387.5","2864","250","350","400","430","600","359.35","365.81","0","800","400","400"
"2018","Ländlicher Raum","weiblich","295.61","295","2870","150","210","380","400","480","292.08","299.14","0","600","300","300"
"2018","Städtischer Raum","männlich","359.94","388.5","5439","250","350","400","430","600","357.41","362.47","0","990","400","400"
"2018","Städtischer Raum","weiblich","295.03","297.5","5386","150","220","380","400","500","292.29","297.77","0","800","300","300"
"2019","Ländlicher Raum","männlich","389.37","395","247","280","400","400","500","600","376.94","401.8","60","750","400","400"
"2019","Ländlicher Raum","weiblich","336.04","390","49","150","300","400","400","1000","291.94","380.14","30","1000","300","400"
"2019","Städtischer Raum","männlich","363.19","395","554","160","380","400","400","500","354.08","372.3","10","800","400","400"
"2019","Städtischer Raum","weiblich","310.15","385","104","100","200","400","400","480","286.62","333.68","20","480","300","400"
