"year","age_gr","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","17-29","Ländlicher Raum","370.83","397.5","684","300","350","400","450","550","363.71","377.95","0","990","400","400"
"2005","17-29","Städtischer Raum","361.32","384","1298","200","350","400","450","600","355.37","367.27","0","990","380","385"
"2005","30-45","Ländlicher Raum","359.44","382.5","1502","200","300","400","450","600","354.37","364.51","0","840","380","400"
"2005","30-45","Städtischer Raum","353.06","377.5","3265","200","300","400","450","600","349.46","356.66","0","999","380","385"
"2005","46-65","Ländlicher Raum","347.45","382.5","1468","200","300","400","420","600","342.29","352.61","0","800","380","390"
"2005","46-65","Städtischer Raum","344.38","379","2849","200","300","400","450","600","340.47","348.29","0","985","375","385"
"2005","66","Ländlicher Raum","285.81","190","34","60","150","400","600","800","226.34","345.28","20","800","150","280"
"2005","66","Städtischer Raum","171.44","95","87","0","60","200","500","600","134.63","208.25","0","600","100","200"
"2006","17-29","Ländlicher Raum","377.6","397.5","723","300","350","400","450","600","370.44","384.76","0","999","400","400"
"2006","17-29","Städtischer Raum","356.35","384.5","1316","200","350","400","430","600","350.67","362.03","0","800","385","385"
"2006","30-45","Ländlicher Raum","359.5","395","1605","200","300","400","450","600","354.7","364.3","0","999","385","400"
"2006","30-45","Städtischer Raum","350.45","378.5","3346","200","300","400","450","600","346.93","353.97","0","999","380","380"
"2006","46-65","Ländlicher Raum","351.32","382.5","1628","200","300","400","440","600","346.45","356.19","0","840","385","400"
"2006","46-65","Städtischer Raum","344.82","377.5","3107","200","300","400","410","600","341.17","348.47","0","700","375","380"
"2006","66","Ländlicher Raum","240.02","180","55","100","100","400","500","700","198.06","281.98","0","700","150","200"
"2006","66","Städtischer Raum","220.98","135","109","50","100","400","500","800","189.41","252.55","0","800","100","200"
"2007","17-29","Ländlicher Raum","378.76","397.5","678","300","350","400","450","600","371.43","386.09","0","840","400","400"
"2007","17-29","Städtischer Raum","350.49","382.5","1242","150","300","400","450","600","344.33","356.65","0","700","380","390"
"2007","30-45","Ländlicher Raum","366.26","397.5","1558","200","330","400","450","600","361.22","371.3","0","800","390","400"
"2007","30-45","Städtischer Raum","352.33","379","3108","200","300","400","450","600","348.55","356.11","0","990","375","385"
"2007","46-65","Ländlicher Raum","351.81","382.5","1576","200","300","400","450","600","346.83","356.79","0","800","385","400"
"2007","46-65","Städtischer Raum","350.92","382.5","2959","200","300","400","450","600","347.12","354.72","0","800","375","380"
"2007","66","Ländlicher Raum","196.27","155","53","20","100","200","440","660","157.28","235.26","0","660","100","200"
"2007","66","Städtischer Raum","216.86","155","103","65","100","300","500","600","187.33","246.39","20","640","150","200"
"2008","17-29","Ländlicher Raum","364.76","397.5","620","260","350","400","440","600","357.49","372.03","0","800","390","400"
"2008","17-29","Städtischer Raum","347.43","382.5","1211","180","320","400","420","600","341.33","353.53","0","800","380","385"
"2008","30-45","Ländlicher Raum","361.63","397.5","1434","200","300","400","450","600","356.47","366.79","35","820","385","400"
"2008","30-45","Städtischer Raum","349.38","377.5","2849","200","300","400","450","600","345.6","353.16","0","999","375","380"
"2008","46-65","Ländlicher Raum","343.87","377.5","1563","200","300","400","400","600","338.66","349.08","0","800","380","390"
"2008","46-65","Städtischer Raum","341.68","377.5","2945","200","300","400","400","540","337.92","345.44","0","800","360","380"
"2008","66","Ländlicher Raum","172.45","112.5","58","45","100","200","400","500","139.6","205.3","0","500","100","200"
"2008","66","Städtischer Raum","222.63","165","114","55","100","350","480","800","194.04","251.22","0","800","120","200"
"2009","17-29","Ländlicher Raum","374.97","392.5","560","300","350","400","445","700","367.75","382.19","0","800","385","400"
"2009","17-29","Städtischer Raum","358.11","382.5","1066","200","350","400","450","600","352.02","364.2","20","800","380","390"
"2009","30-45","Ländlicher Raum","363.01","397.5","1317","200","300","400","450","600","357.39","368.63","0","800","385","400"
"2009","30-45","Städtischer Raum","352.33","377.5","2521","200","300","400","450","600","348.44","356.22","0","800","375","380"
"2009","46-65","Ländlicher Raum","347.27","377.5","1524","200","300","400","420","600","342.22","352.32","0","850","380","385"
"2009","46-65","Städtischer Raum","345.08","378.5","2760","200","300","400","420","550","341.23","348.93","0","999","370","380"
"2009","66","Ländlicher Raum","212.81","190","59","40","100","300","400","550","177.22","248.4","25","600","150","200"
"2009","66","Städtischer Raum","202.53","155","130","50","80","300","400","600","175.49","229.57","0","700","150","200"
"2010","17-29","Ländlicher Raum","364.88","397.5","566","250","350","400","400","560","357.45","372.31","15","700","390","400"
"2010","17-29","Städtischer Raum","347.93","377.5","1037","150","350","400","450","600","340.94","354.92","0","800","375","380"
"2010","30-45","Ländlicher Raum","360.65","388.5","1529","200","300","400","450","600","355.43","365.87","0","960","375","385"
"2010","30-45","Städtischer Raum","352.13","377.5","2889","200","300","400","450","600","348.41","355.85","0","900","370","380"
"2010","46-65","Ländlicher Raum","344.62","377.5","1573","200","300","400","420","600","339.67","349.57","0","780","370","385"
"2010","46-65","Städtischer Raum","342.71","367.5","2878","200","300","400","420","600","338.89","346.53","0","999","350","375"
"2010","66","Ländlicher Raum","187.19","170","54","30","100","200","400","600","153.58","220.8","0","600","100","200"
"2010","66","Städtischer Raum","202.82","145","128","50","80","380","400","500","175.97","229.67","0","700","120","200"
"2011","17-29","Ländlicher Raum","369.9","399","709","260","350","400","450","600","362.89","376.91","30","800","400","400"
"2011","17-29","Städtischer Raum","349.46","382.5","1189","160","300","400","450","600","342.88","356.04","20","810","380","390"
"2011","30-45","Ländlicher Raum","358.72","389.5","1823","200","300","400","450","600","354.11","363.33","0","820","375","380"
"2011","30-45","Städtischer Raum","360.6","382.5","3331","210","300","400","450","600","357.05","364.15","0","999","360","380"
"2011","46-65","Ländlicher Raum","346.59","377.5","2125","200","300","400","440","600","342.22","350.96","0","800","360","380"
"2011","46-65","Städtischer Raum","348.57","379","3651","200","300","400","450","600","345.12","352.02","0","999","370","380"
"2011","66","Ländlicher Raum","201.35","155","64","50","100","300","400","600","167.02","235.68","20","600","135","200"
"2011","66","Städtischer Raum","197.24","155","137","80","100","260","400","580","174.47","220.01","0","600","150","200"
"2012","17-29","Ländlicher Raum","366.4","395","668","300","350","400","400","600","359.48","373.32","30","800","390","400"
"2012","17-29","Städtischer Raum","341.06","377.5","1194","120","300","400","420","600","334.19","347.93","12","990","375","385"
"2012","30-45","Ländlicher Raum","359.66","387.5","1670","200","300","400","450","600","354.9","364.42","0","800","360","380"
"2012","30-45","Städtischer Raum","354.86","377.5","3200","200","300","400","450","600","351.36","358.36","0","800","350","375"
"2012","46-65","Ländlicher Raum","343.23","372.5","2203","200","300","400","400","600","338.92","347.54","0","900","360","380"
"2012","46-65","Städtischer Raum","339.65","372.5","3692","200","300","400","410","600","336.23","343.07","0","999","350","360"
"2012","66","Ländlicher Raum","185.19","135","71","50","100","300","350","500","158.21","212.17","0","500","100","200"
"2012","66","Städtischer Raum","185.09","140","188","50","80","300","400","600","165.01","205.17","0","700","120","200"
"2013","17-29","Ländlicher Raum","360.86","395","572","250","350","400","400","500","352.98","368.74","10","900","385","400"
"2013","17-29","Städtischer Raum","336.68","377.5","1111","128","300","400","400","540","329.82","343.54","0","700","375","380"
"2013","30-45","Ländlicher Raum","357.68","387.5","1529","200","300","400","450","600","352.84","362.52","6","800","360","380"
"2013","30-45","Städtischer Raum","352.04","377.5","2840","200","300","400","450","520","348.35","355.73","20","900","350","370"
"2013","46-65","Ländlicher Raum","340.96","367.5","2123","200","300","400","400","600","336.69","345.23","0","990","350","375"
"2013","46-65","Städtischer Raum","337.92","366","3538","200","300","400","400","600","334.49","341.35","0","999","350","360"
"2013","66","Ländlicher Raum","166.15","145","76","40","100","250","350","700","137.49","194.81","0","700","100","160"
"2013","66","Städtischer Raum","186.99","135","177","40","80","250","400","550","166.08","207.9","0","800","120","200"
"2014","17-29","Ländlicher Raum","356.29","395","674","200","350","400","400","560","348.86","363.72","10","840","380","400"
"2014","17-29","Städtischer Raum","335.23","377.5","1257","120","300","400","400","560","328.9","341.56","0","800","370","380"
"2014","30-45","Ländlicher Raum","347.47","377.5","2002","200","300","400","400","500","343.28","351.66","0","700","350","370"
"2014","30-45","Städtischer Raum","347.7","367.5","3447","200","300","400","420","550","344.37","351.03","0","999","350","350"
"2014","46-65","Ländlicher Raum","341.97","377.5","2306","200","300","400","400","600","337.94","346","0","800","350","375"
"2014","46-65","Städtischer Raum","335.95","345","3942","200","300","400","400","500","332.83","339.07","0","999","350","350"
"2014","66","Ländlicher Raum","182.25","135","96","50","100","200","350","450","157.14","207.36","0","600","120","200"
"2014","66","Städtischer Raum","187.69","145","199","50","80","250","400","600","168.01","207.37","0","700","120","200"
"2015","17-29","Ländlicher Raum","362.82","397.5","852","250","350","400","400","500","356.62","369.02","10","800","390","400"
"2015","17-29","Städtischer Raum","340.56","377.5","1729","150","300","400","400","550","335.21","345.91","0","900","380","390"
"2015","30-45","Ländlicher Raum","342.23","377.5","2182","200","300","400","400","500","337.98","346.48","0","700","350","380"
"2015","30-45","Städtischer Raum","349.4","377.5","4194","200","300","400","420","600","346.28","352.52","0","999","360","375"
"2015","46-65","Ländlicher Raum","342.32","377.5","2410","200","300","400","400","550","338.28","346.36","0","900","350","375"
"2015","46-65","Städtischer Raum","338.32","372.5","4318","200","300","400","405","600","335.16","341.48","0","999","350","370"
"2015","66","Ländlicher Raum","161.72","140","93","40","100","200","350","400","136.95","186.49","20","510","100","200"
"2015","66","Städtischer Raum","193.38","145","194","50","80","280","400","600","173.02","213.74","0","750","150","200"
"2016","17-29","Ländlicher Raum","","","","","","","","","","","","","",""
"2016","17-29","Städtischer Raum","","","","","","","","","","","","","",""
"2016","30-45","Ländlicher Raum","","","","","","","","","","","","","",""
"2016","30-45","Städtischer Raum","","","","","","","","","","","","","",""
"2016","46-65","Ländlicher Raum","","","","","","","","","","","","","",""
"2016","46-65","Städtischer Raum","","","","","","","","","","","","","",""
"2016","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2016","66","Städtischer Raum","","","","","","","","","","","","","",""
"2017","17-29","Ländlicher Raum","353.92","377.5","932","200","350","400","410","500","347.7","360.14","0","650","385","400"
"2017","17-29","Städtischer Raum","333.82","372.5","1820","150","300","400","400","600","328.53","339.11","0","840","365","380"
"2017","30-45","Ländlicher Raum","339.49","365","2044","200","300","400","400","500","335.36","343.62","20","800","350","370"
"2017","30-45","Städtischer Raum","347.4","357.5","3954","200","300","400","420","600","344.3","350.5","0","850","350","350"
"2017","46-65","Ländlicher Raum","336.17","345","2850","200","300","400","400","600","332.52","339.82","0","800","350","360"
"2017","46-65","Städtischer Raum","334.37","345","4825","200","300","400","400","550","331.52","337.22","0","990","350","350"
"2017","66","Ländlicher Raum","179.94","140","122","50","100","250","400","500","156.88","203","0","600","100","190"
"2017","66","Städtischer Raum","182.63","145","244","50","80","240","400","700","164.56","200.7","0","800","150","200"
"2018","17-29","Ländlicher Raum","342.88","377.5","944","200","300","400","400","500","336.58","349.18","0","800","380","390"
"2018","17-29","Städtischer Raum","328.76","357.5","1923","125","300","400","400","500","323.65","333.87","0","840","360","380"
"2018","30-45","Ländlicher Raum","337.34","345","1938","200","300","400","400","600","333.17","341.51","0","750","350","350"
"2018","30-45","Städtischer Raum","342.6","357.5","3841","200","300","400","400","500","339.5","345.7","0","800","350","350"
"2018","46-65","Ländlicher Raum","335.36","345","2727","200","300","400","400","600","331.74","338.98","0","800","350","350"
"2018","46-65","Städtischer Raum","331.69","347.5","4792","200","300","400","400","600","328.86","334.52","0","990","350","350"
"2018","66","Ländlicher Raum","164.8","145","125","50","100","200","300","400","145.47","184.13","0","600","100","160"
"2018","66","Städtischer Raum","163.1","115","269","40","80","200","380","500","147.32","178.88","0","600","100","150"
"2019","17-29","Ländlicher Raum","375.94","395","118","200","400","400","500","600","356.51","395.37","30","600","400","400"
"2019","17-29","Städtischer Raum","350.56","395","233","150","370","400","400","500","335.76","365.36","10","800","400","400"
"2019","30-45","Ländlicher Raum","398.97","395","140","300","400","400","500","600","379.19","418.75","30","1000","400","400"
"2019","30-45","Städtischer Raum","363.54","395","356","200","350","400","450","500","351.93","375.15","40","700","400","400"
"2019","46-65","Ländlicher Raum","391.18","395","38","200","380","450","500","600","353.73","428.63","150","600","380","400"
"2019","46-65","Städtischer Raum","367.26","395","69","200","300","400","500","600","337.18","397.34","30","600","390","400"
"2019","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2019","66","Städtischer Raum","","","","","","","","","","","","","",""
