"year","age_gr","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2007","30-45","weiblich","298.32","297.5","2219","150","200","390","400","500","294.01","302.63","0","900","300","300"
"2007","46-65","männlich","391.2","397.5","2396","300","365","400","490","600","387.87","394.53","0","800","400","400"
"2007","46-65","weiblich","301.94","297.5","2139","160","200","390","400","500","297.61","306.27","0","800","300","300"
"2007","66","männlich","229.45","190","107","80","100","370","500","640","199.63","259.27","0","660","150","250"
"2007","66","weiblich","177.98","135","49","50","100","200","400","600","143.46","212.5","0","600","100","200"
"2008","17-29","männlich","369.36","397.5","936","250","350","400","450","600","362.81","375.91","0","800","400","400"
"2008","17-29","weiblich","334.43","377.5","895","200","300","400","400","500","327.75","341.11","0","600","370","380"
"2008","30-45","männlich","397.65","397.5","2254","330","375","400","500","600","394.61","400.69","50","999","400","400"
"2008","30-45","weiblich","296.09","295","2029","150","200","385","400","480","291.71","300.47","0","650","300","300"
"2008","46-65","männlich","384.73","397.5","2320","300","370","400","450","600","381.43","388.03","0","800","400","400"
"2008","46-65","weiblich","293.27","295","2188","150","200","385","400","500","288.85","297.69","0","800","300","300"
"2008","66","männlich","241.3","190","114","60","100","380","450","800","212.64","269.96","0","800","150","300"
"2008","66","weiblich","147.45","95","58","50","100","180","300","500","118.98","175.92","0","500","100","120"
"2009","17-29","männlich","386.76","395","806","300","370","400","470","700","380.63","392.89","0","800","400","400"
"2009","17-29","weiblich","340.36","365","820","200","300","400","400","500","333.58","347.14","25","800","350","380"
"2009","30-45","männlich","399.77","397.5","1979","320","375","400","500","700","396.46","403.08","0","800","400","400"
"2009","30-45","weiblich","299.71","295","1859","150","200","385","400","500","295.17","304.25","0","650","300","300"
"2009","46-65","männlich","387.74","397.5","2205","300","350","400","480","600","384.42","391.06","0","999","400","400"
"2009","46-65","weiblich","297.25","297.5","2079","150","200","385","400","500","292.87","301.63","0","700","300","300"
"2009","66","männlich","228.8","190","126","50","100","350","400","600","201.25","256.35","0","700","200","300"
"2009","66","weiblich","163.17","145","63","60","80","240","300","550","134.05","192.29","0","550","100","160"
"2010","17-29","männlich","365.57","399","808","200","350","400","450","600","358.18","372.96","0","800","400","400"
"2010","17-29","weiblich","341.56","377.5","795","200","300","400","400","500","334.4","348.72","0","700","350","375"
"2010","30-45","männlich","395.55","397.5","2213","300","370","400","500","600","392.31","398.79","0","960","400","400"
"2010","30-45","weiblich","307.73","317.5","2205","195","250","390","400","500","303.58","311.88","0","700","300","300"
"2010","46-65","männlich","386.12","397.5","2274","300","350","400","480","600","382.7","389.54","0","999","400","400"
"2010","46-65","weiblich","293.71","297.5","2177","150","200","380","400","500","289.54","297.88","0","650","300","300"
"2010","66","männlich","230.28","190","120","50","100","400","400","600","202.88","257.68","0","700","150","250"
"2010","66","weiblich","149.4","95","62","40","80","200","400","400","122","176.8","0","400","80","130"
"2011","17-29","männlich","372.34","397.5","922","250","350","400","460","600","365.67","379.01","20","810","400","400"
"2011","17-29","weiblich","339.36","377.5","976","155","300","400","400","500","332.48","346.24","20","800","355","380"
"2011","30-45","männlich","398.34","397.5","2492","320","375","400","500","600","395.3","401.38","0","999","400","400"
"2011","30-45","weiblich","314.39","345","2662","190","250","400","400","500","310.57","318.21","0","800","300","300"
"2011","46-65","männlich","389.72","397.5","2938","300","360","400","500","615","386.55","392.89","0","999","400","400"
"2011","46-65","weiblich","299.37","297.5","2838","150","210","390","400","500","295.69","303.05","0","800","300","300"
"2011","66","männlich","224.85","190","129","70","100","350","400","600","200.08","249.62","0","600","180","250"
"2011","66","weiblich","159.41","115","72","60","100","200","350","500","134.28","184.54","40","500","100","150"
"2012","17-29","männlich","370.66","397.5","960","200","350","400","450","600","363.78","377.54","30","990","400","400"
"2012","17-29","weiblich","325.49","345","902","125","300","400","400","500","318.33","332.65","12","800","350","360"
"2012","30-45","männlich","389.58","397.5","2312","300","350","400","460","600","386.52","392.64","20","800","400","400"
"2012","30-45","weiblich","316.49","335","2558","200","250","400","400","500","312.66","320.32","0","800","300","300"
"2012","46-65","männlich","384.7","399","2907","300","350","400","450","600","381.61","387.79","0","999","400","400"
"2012","46-65","weiblich","291.86","295","2988","150","200","380","400","500","288.21","295.51","0","700","300","300"
"2012","66","männlich","225.5","180","165","50","100","300","400","700","203.63","247.37","0","700","150","240"
"2012","66","weiblich","130.67","95","94","50","70","200","240","400","112.56","148.78","0","400","100","100"
"2013","17-29","männlich","359.81","395","835","200","350","400","420","600","352.55","367.07","0","900","400","400"
"2013","17-29","weiblich","328.21","365","848","150","300","400","400","500","320.76","335.66","0","600","350","375"
"2013","30-45","männlich","389.46","397.5","2026","300","350","400","475","600","386.51","392.41","40","800","400","400"
"2013","30-45","weiblich","312.06","317.5","2343","180","250","400","400","500","308","316.12","6","900","300","300"
"2013","46-65","männlich","380.71","397.5","2780","300","350","400","450","600","377.51","383.91","0","999","400","400"
"2013","46-65","weiblich","292.86","297.5","2881","150","200","380","400","500","289.26","296.46","0","660","300","300"
"2013","66","männlich","210.79","190","150","50","100","300","400","700","187.71","233.87","10","800","150","200"
"2013","66","weiblich","149.13","95","103","30","60","200","400","450","126.78","171.48","0","700","100","120"
"2014","17-29","männlich","360.48","397.5","965","200","350","400","450","600","353.86","367.1","0","800","400","400"
"2014","17-29","weiblich","322.23","345","966","120","300","400","400","450","315.3","329.16","0","840","350","360"
"2014","30-45","männlich","382.74","395","2553","300","350","400","450","600","380.1","385.38","0","999","400","400"
"2014","30-45","weiblich","306.81","297.5","2896","200","250","390","400","500","303.3","310.32","0","690","300","300"
"2014","46-65","männlich","378.03","397.5","3065","300","350","400","450","600","375.17","380.89","0","999","400","400"
"2014","46-65","weiblich","294.22","297.5","3183","150","200","380","400","500","290.85","297.59","0","800","300","300"
"2014","66","männlich","222.81","190","178","60","100","320","400","600","201.9","243.72","0","700","200","200"
"2014","66","weiblich","144.67","95","117","40","80","200","300","600","124.31","165.03","0","600","100","150"
"2015","17-29","männlich","364.91","397.5","1323","220","350","400","450","500","359.61","370.21","0","750","400","400"
"2015","17-29","weiblich","326.69","355","1258","150","300","400","400","500","320.5","332.88","0","900","350","380"
"2015","30-45","männlich","386.33","397.5","3078","300","350","400","450","600","383.77","388.89","0","999","400","400"
"2015","30-45","weiblich","302.22","295","3298","160","240","390","400","500","298.72","305.72","0","990","300","300"
"2015","46-65","männlich","377.72","398.5","3332","300","350","400","450","600","374.83","380.61","0","999","400","400"
"2015","46-65","weiblich","297.89","297.5","3396","150","210","385","400","500","294.46","301.32","0","950","300","300"
"2015","66","männlich","225.09","190","188","60","100","300","400","600","204.09","246.09","10","750","160","200"
"2015","66","weiblich","122.59","95","99","40","80","150","250","350","103.63","141.55","0","450","100","140"
"2016","17-29","männlich","","","","","","","","","","","","","",""
"2016","17-29","weiblich","","","","","","","","","","","","","",""
"2016","30-45","männlich","","","","","","","","","","","","","",""
"2016","30-45","weiblich","","","","","","","","","","","","","",""
"2016","46-65","männlich","","","","","","","","","","","","","",""
"2016","46-65","weiblich","","","","","","","","","","","","","",""
"2016","66","männlich","","","","","","","","","","","","","",""
"2016","66","weiblich","","","","","","","","","","","","","",""
"2017","17-29","männlich","357.22","387.5","1461","200","350","400","430","600","351.92","362.52","0","840","400","400"
"2017","17-29","weiblich","320.28","345","1291","120","300","400","400","500","314.17","326.39","0","750","350","360"
"2017","30-45","männlich","380.05","397.5","2878","300","350","400","450","600","377.38","382.72","0","800","400","400"
"2017","30-45","weiblich","303.8","295","3120","195","250","390","400","450","300.4","307.2","0","850","300","300"
"2017","46-65","männlich","375.35","397.5","3740","300","350","400","450","600","372.76","377.94","0","990","400","400"
"2017","46-65","weiblich","291.57","295","3935","150","200","375","400","500","288.51","294.63","0","800","300","300"
"2017","66","männlich","220.01","195","218","50","100","320","420","700","200.24","239.78","0","800","150","200"
"2017","66","weiblich","135.11","95","148","40","80","200","250","450","116.4","153.82","0","600","100","150"
"2018","17-29","männlich","343.8","377.5","1596","150","300","400","425","500","338.43","349.17","0","840","390","400"
"2018","17-29","weiblich","319.36","345","1271","140","300","400","400","500","313.47","325.25","0","720","350","350"
"2018","30-45","männlich","374.24","397.5","2821","300","350","400","430","600","371.55","376.93","0","800","400","400"
"2018","30-45","weiblich","301.92","295","2958","190","250","385","400","500","298.47","305.37","0","600","300","300"
"2018","46-65","männlich","371.62","397.5","3651","300","350","400","450","600","368.95","374.29","0","990","400","400"
"2018","46-65","weiblich","291.97","297.5","3868","155","200","370","400","480","288.93","295.01","0","800","300","300"
"2018","66","männlich","181.26","145","235","50","80","250","400","500","164.19","198.33","0","600","120","160"
"2018","66","weiblich","140.45","115","159","35","80","200","250","450","123.25","157.65","0","500","100","150"
"2019","17-29","männlich","360.74","395","300","150","390","400","410","550","348.03","373.45","10","800","400","400"
"2019","17-29","weiblich","350.47","395","51","250","300","400","400","400","319.47","381.47","20","400","380","400"
"2019","30-45","männlich","382.74","395","415","260","400","400","500","600","372.94","392.54","40","750","400","400"
"2019","30-45","weiblich","302.81","375","81","70","200","400","400","480","271.15","334.47","30","1000","250","350"
"2019","46-65","männlich","413.76","395","86","320","400","450","600","600","389.82","437.7","50","600","400","400"
"2019","46-65","weiblich","","","","","","","","","","","","","",""
"2019","66","männlich","","","","","","","","","","","","","",""
"2019","66","weiblich","","","","","","","","","","","","","",""
