"year","age_gr","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2017","17-29","Westdeutschland","338.83","377.5","2282","150","300","400","400","600","334.18","343.48","0","840","380","380"
"2017","30-45","Ostdeutschland","354.96","377.5","1210","280","300","400","400","500","350.68","359.24","35","800","350","380"
"2017","30-45","Westdeutschland","342.95","357.5","4788","200","300","400","420","600","340.05","345.85","0","850","350","350"
"2017","46-65","Ostdeutschland","352.07","365","1591","250","300","400","400","600","348","356.14","0","800","350","380"
"2017","46-65","Westdeutschland","331.41","345","6084","200","300","400","400","600","328.79","334.03","0","990","350","350"
"2017","66","Ostdeutschland","186.99","115","52","50","80","300","400","420","153.93","220.05","0","420","100","200"
"2017","66","Westdeutschland","181.25","145","314","50","90","240","400","700","165.54","196.96","0","800","150","200"
"2018","17-29","Ostdeutschland","327.45","345","483","120","300","400","400","500","318.34","336.56","0","800","350","390"
"2018","17-29","Westdeutschland","333.68","374.5","2384","150","300","400","400","500","329.21","338.15","0","840","375","380"
"2018","30-45","Ostdeutschland","349.61","345","1188","250","300","400","400","600","345.21","354.01","0","750","350","370"
"2018","30-45","Westdeutschland","339.26","345","4591","200","300","400","400","500","336.35","342.17","0","800","350","350"
"2018","46-65","Ostdeutschland","341.24","345","1586","240","300","400","400","500","337.13","345.35","0","700","350","350"
"2018","46-65","Westdeutschland","331.21","347.5","5933","200","300","400","400","600","328.61","333.81","0","990","350","350"
"2018","66","Ostdeutschland","167.6","90","54","50","70","300","350","400","138.84","196.36","0","420","100","160"
"2018","66","Westdeutschland","163.26","115","340","40","80","200","370","500","149.65","176.87","0","600","120","150"
"2019","17-29","Ostdeutschland","347.14","375","46","140","350","400","400","500","308.75","385.53","30","520","400","400"
"2019","17-29","Westdeutschland","361.8","395","305","150","380","400","400","550","349.52","374.08","10","800","400","400"
"2019","30-45","Ostdeutschland","342.17","395","58","80","320","400","400","500","309.57","374.77","30","750","400","400"
"2019","30-45","Westdeutschland","377.22","395","438","220","390","400","500","600","366.64","387.8","40","1000","400","400"
"2019","46-65","Ostdeutschland","","","","","","","","","","","","","",""
"2019","46-65","Westdeutschland","379.85","395","96","180","390","420","600","600","354.94","404.76","30","600","400","400"
"2019","66","Ostdeutschland","","","","","","","","","","","","","",""
"2019","66","Westdeutschland","","","","","","","","","","","","","",""
