study,dataset,version,variable,meantable,probtable,template_id,label,label_de,concept,type,description,description_de,minedition
platform-datasets,p_platform,v36,plj0046,no,yes,,,Sorgen Zuwanderung,,byte,,,
platform-datasets,p_platform,v36,plj0047,no,yes,,,Sorgen Auslaenderfeindlichkeit,,byte,,,
platform-datasets,p_platform,v36,pglabgro,yes,no,,,Akt. Bruttoerwerbseink.(gen) in Euro,,double,,,
platform-datasets,p_platform,v36,pglabnet,yes,no,,,Akt. Nettoerwerbseink.(gen) in Euro,,double,,,
platform-datasets,p_platform,v36,pgstib,no,yes,,,Berufliche Stellung,,int,,,
platform-datasets,p_platform,v36,pglfs,no,yes,,,Labor Force Status,,byte,,,
platform-datasets,p_platform,v36,pgisco88,no,no,,,"aktueller Beruf [pber] (ISCO-88 COM, 4-Steller)",,int,,,
platform-datasets,p_platform,v36,pgisco08,no,no,,,"aktueller Beruf [pber] (ISCO-08, 4-Steller)",,float,,,
platform-datasets,p_platform,v36,pgtatzeit,yes,no,,,Tatsaechliche Arbeitszeit pro Woche,,float,This variable provides data on actual weekly working hours (including overtime) for all persons employed at the time of the survey (including the self-employed). The data are obtained by asking respondents how many hours they work on average per week.,,
platform-datasets,p_platform,v36,pgvebzeit,yes,no,,,Vereinbarte Arbeitszeit pro Woche,,float,,,
platform-datasets,p_platform,v36,pgoeffd,no,yes,,,im oeffentlichen Dienst,,float,,,
platform-datasets,p_platform,v36,pgnace,no,no,,,"Branche aktueller Beruf [pbra] (NACE Rev. 1.1, Abteilungen)",,float,,,
platform-datasets,p_platform,v36,pgnace2,no,no,,,"Branche aktueller Beruf [pbra] (NACE Rev. 2, Abteilungen)",,float,,,
platform-datasets,p_platform,v36,pgisced97,no,yes,,,ISCED-1997-Klassifikation,,double,,,
platform-datasets,p_platform,v36,pgcasmin,no,yes,,,CASMIN-Klassifikation,,double,,,
platform-datasets,p_platform,v36,pgpsbil,no,yes,,,Schulabschluss,,float,,,
platform-datasets,p_platform,v36,y11101,yes,no,,,Consumer Price Index,,double,The consumer price index for Germany measures the average price development of all goods and services purchased by private households for consumption purposes. [More  Information](https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Verbraucherpreisindex/Methoden/Erlaeuterungen/verbraucherpreisindex.html),,
platform-datasets,p_platform,v36,bula_h,demo,demo,,,Bundesland lt. Statistik [harmonisiert],,byte,,,
platform-datasets,p_platform,v36,bildungsniveau,demo,demo,,,Bildungsniveau,,float,,,
platform-datasets,p_platform,v36,alter,no,no,,,Alter,,float,,,
platform-datasets,p_platform,v36,alter_gr,demo,demo,,,Altersgruppen,,float,,,
platform-datasets,p_platform,v36,party,no,yes,,,Parteineigung,,byte,,,
platform-datasets,p_platform,v36,religion,no,yes,,,Konfession,,float,,,
platform-datasets,p_platform,v36,beruf,no,yes,,,Berufsgruppen,,float,,,
