"erwst","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1988","Staedtischer Raum","Westdeutschland","487","0.0519481680557695","0.0470482801867744","0.0568480559247647"
"Andere","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Andere","1988","Laendlicher Raum","Westdeutschland","149","","",""
"Andere","1988","Laendlicher Raum","Ostdeutschland","","","",""
"voll erwerbstätig","1989","Staedtischer Raum","Westdeutschland","3692","0.438258834705772","0.427161230736265","0.449356438675279"
"voll erwerbstätig","1989","Staedtischer Raum","Ostdeutschland","","","",""
"voll erwerbstätig","1989","Laendlicher Raum","Westdeutschland","922","0.41139274288687","0.389734268929504","0.433051216844236"
"voll erwerbstätig","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Teilzeit","1989","Staedtischer Raum","Westdeutschland","521","0.0679768798083201","0.0623471219830848","0.0736066376335554"
"Teilzeit","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Teilzeit","1989","Laendlicher Raum","Westdeutschland","152","","",""
"Teilzeit","1989","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","Staedtischer Raum","Westdeutschland","3014","0.440846785872502","0.429742132431344","0.45195143931366"
"nicht erwerbstätig","1989","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","Laendlicher Raum","Westdeutschland","791","0.4637721662915","0.441823216217483","0.485721116365518"
"nicht erwerbstätig","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Andere","1989","Staedtischer Raum","Westdeutschland","452","0.0529174996134061","0.0479103643815967","0.0579246348452154"
"Andere","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Andere","1989","Laendlicher Raum","Westdeutschland","118","","",""
"Andere","1989","Laendlicher Raum","Ostdeutschland","","","",""
"voll erwerbstätig","1990","Staedtischer Raum","Westdeutschland","3579","0.442911563992512","0.431656944931161","0.454166183053863"
"voll erwerbstätig","1990","Staedtischer Raum","Ostdeutschland","973","0.615726091004261","0.590809318888568","0.640642863119954"
"voll erwerbstätig","1990","Laendlicher Raum","Westdeutschland","927","0.419367712781375","0.397621530009002","0.441113895553748"
"voll erwerbstätig","1990","Laendlicher Raum","Ostdeutschland","1843","","",""
"Teilzeit","1990","Staedtischer Raum","Westdeutschland","555","0.0757316396153881","0.069737208948116","0.0817260702826603"
"Teilzeit","1990","Staedtischer Raum","Ostdeutschland","138","","",""
"Teilzeit","1990","Laendlicher Raum","Westdeutschland","167","","",""
"Teilzeit","1990","Laendlicher Raum","Ostdeutschland","266","","",""
"nicht erwerbstätig","1990","Staedtischer Raum","Westdeutschland","2947","","",""
"nicht erwerbstätig","1990","Staedtischer Raum","Ostdeutschland","312","0.273678423279851","0.250840200494484","0.296516646065217"
"nicht erwerbstätig","1990","Laendlicher Raum","Westdeutschland","767","0.442346013610168","0.420458400076333","0.464233627144004"
"nicht erwerbstätig","1990","Laendlicher Raum","Ostdeutschland","667","0.291735599275085","0.27511689615245","0.308354302397721"
"Andere","1990","Staedtischer Raum","Westdeutschland","402","0.0485909984782923","0.0437193969493697","0.0534626000072149"
"Andere","1990","Staedtischer Raum","Ostdeutschland","41","0.0252478210078727","0.0172118823792613","0.0332837596364841"
"Andere","1990","Laendlicher Raum","Westdeutschland","117","","",""
"Andere","1990","Laendlicher Raum","Ostdeutschland","98","0.0301943537079473","0.023938163669942","0.0364505437459525"
"voll erwerbstätig","1991","Staedtischer Raum","Westdeutschland","3577","0.441981362921443","0.430683802019776","0.453278923823109"
"voll erwerbstätig","1991","Staedtischer Raum","Ostdeutschland","821","0.574740617609173","0.548130963690836","0.601350271527509"
"voll erwerbstätig","1991","Laendlicher Raum","Westdeutschland","928","0.413112188117502","0.391644934675076","0.434579441559928"
"voll erwerbstätig","1991","Laendlicher Raum","Ostdeutschland","1576","","",""
"Teilzeit","1991","Staedtischer Raum","Westdeutschland","577","0.078044080369005","0.0719419227252394","0.0841462380127706"
"Teilzeit","1991","Staedtischer Raum","Ostdeutschland","79","0.0506076862847005","0.0388097125261808","0.0624056600432202"
"Teilzeit","1991","Laendlicher Raum","Westdeutschland","173","","",""
"Teilzeit","1991","Laendlicher Raum","Ostdeutschland","150","","",""
"nicht erwerbstätig","1991","Staedtischer Raum","Westdeutschland","2805","","",""
"nicht erwerbstätig","1991","Staedtischer Raum","Ostdeutschland","383","0.345282094538327","0.319690905381471","0.370873283695184"
"nicht erwerbstätig","1991","Laendlicher Raum","Westdeutschland","774","0.437288620759005","0.415661840321786","0.458915401196224"
"nicht erwerbstätig","1991","Laendlicher Raum","Ostdeutschland","900","0.397868772756127","0.379494901548651","0.416242643963603"
"Andere","1991","Staedtischer Raum","Westdeutschland","464","0.0557693090628511","0.0505490140244663","0.0609896041012359"
"Andere","1991","Staedtischer Raum","Ostdeutschland","43","0.0293696015677993","0.020281936745996","0.0384572663896026"
"Andere","1991","Laendlicher Raum","Westdeutschland","146","","",""
"Andere","1991","Laendlicher Raum","Ostdeutschland","100","","",""
"voll erwerbstätig","1992","Staedtischer Raum","Westdeutschland","3472","0.436821977494054","0.425461968806407","0.448181986181702"
"voll erwerbstätig","1992","Staedtischer Raum","Ostdeutschland","726","0.510760334024646","0.483773011610682","0.537747656438609"
"voll erwerbstätig","1992","Laendlicher Raum","Westdeutschland","918","0.411573117976889","0.390027002386069","0.43311923356771"
"voll erwerbstätig","1992","Laendlicher Raum","Ostdeutschland","1319","","",""
"Teilzeit","1992","Staedtischer Raum","Westdeutschland","602","0.0810172024023617","0.0747676935700838","0.0872667112346396"
"Teilzeit","1992","Staedtischer Raum","Ostdeutschland","55","0.0371388163822207","0.0269297446634768","0.0473478881009646"
"Teilzeit","1992","Laendlicher Raum","Westdeutschland","181","","",""
"Teilzeit","1992","Laendlicher Raum","Ostdeutschland","102","","",""
"nicht erwerbstätig","1992","Staedtischer Raum","Westdeutschland","2870","","",""
"nicht erwerbstätig","1992","Staedtischer Raum","Ostdeutschland","483","0.416765194412865","0.390148272914742","0.443382115910989"
"nicht erwerbstätig","1992","Laendlicher Raum","Westdeutschland","785","0.441535712130742","0.419794695234057","0.463276729027427"
"nicht erwerbstätig","1992","Laendlicher Raum","Ostdeutschland","1023","","",""
"Andere","1992","Staedtischer Raum","Westdeutschland","379","0.04406047498366","0.0393599824129307","0.0487609675543893"
"Andere","1992","Staedtischer Raum","Ostdeutschland","54","0.0353356551802681","0.025368182054442","0.0453031283060941"
"Andere","1992","Laendlicher Raum","Westdeutschland","120","","",""
"Andere","1992","Laendlicher Raum","Ostdeutschland","108","","",""
"voll erwerbstätig","1993","Staedtischer Raum","Westdeutschland","3427","0.43688469513684","0.425478461732158","0.448290928541522"
"voll erwerbstätig","1993","Staedtischer Raum","Ostdeutschland","699","0.493022599346915","0.465970007061918","0.520075191631912"
"voll erwerbstätig","1993","Laendlicher Raum","Westdeutschland","911","0.407533020868332","0.386040878253721","0.429025163482943"
"voll erwerbstätig","1993","Laendlicher Raum","Ostdeutschland","1224","","",""
"Teilzeit","1993","Staedtischer Raum","Westdeutschland","583","0.0797045602589162","0.0734763194858205","0.0859328010320119"
"Teilzeit","1993","Staedtischer Raum","Ostdeutschland","55","0.036494632993084","0.0263479815252138","0.0466412844609543"
"Teilzeit","1993","Laendlicher Raum","Westdeutschland","181","","",""
"Teilzeit","1993","Laendlicher Raum","Ostdeutschland","99","0.0338352773623518","0.026771826280605","0.0408987284440986"
"nicht erwerbstätig","1993","Staedtischer Raum","Westdeutschland","2867","","",""
"nicht erwerbstätig","1993","Staedtischer Raum","Ostdeutschland","497","0.427488850422431","0.400719641079486","0.454258059765376"
"nicht erwerbstätig","1993","Laendlicher Raum","Westdeutschland","791","0.445934854255276","0.424193711814672","0.46767599669588"
"nicht erwerbstätig","1993","Laendlicher Raum","Ostdeutschland","1060","","",""
"Andere","1993","Staedtischer Raum","Westdeutschland","387","0.0481417009318798","0.0432189593412503","0.0530644425225093"
"Andere","1993","Staedtischer Raum","Ostdeutschland","61","0.0429939172375696","0.0320179694952298","0.0539698649799094"
"Andere","1993","Laendlicher Raum","Westdeutschland","125","","",""
"Andere","1993","Laendlicher Raum","Ostdeutschland","134","","",""
"voll erwerbstätig","1994","Staedtischer Raum","Westdeutschland","3263","0.425177691374267","0.413712264992377","0.436643117756157"
"voll erwerbstätig","1994","Staedtischer Raum","Ostdeutschland","674","0.480806331115782","0.453729739055837","0.507882923175728"
"voll erwerbstätig","1994","Laendlicher Raum","Westdeutschland","879","0.395803519264631","0.374131838876203","0.417475199653059"
"voll erwerbstätig","1994","Laendlicher Raum","Ostdeutschland","1167","","",""
"Teilzeit","1994","Staedtischer Raum","Westdeutschland","537","0.0751680036771535","0.0690531495730133","0.0812828577812937"
"Teilzeit","1994","Staedtischer Raum","Ostdeutschland","68","0.0456805838387594","0.0343655222566882","0.0569956454208307"
"Teilzeit","1994","Laendlicher Raum","Westdeutschland","171","","",""
"Teilzeit","1994","Laendlicher Raum","Ostdeutschland","107","","",""
"nicht erwerbstätig","1994","Staedtischer Raum","Westdeutschland","2971","","",""
"nicht erwerbstätig","1994","Staedtischer Raum","Ostdeutschland","512","0.438547454094787","0.411656324614068","0.465438583575505"
"nicht erwerbstätig","1994","Laendlicher Raum","Westdeutschland","789","0.457231958865427","0.435155008107551","0.479308909623302"
"nicht erwerbstätig","1994","Laendlicher Raum","Ostdeutschland","1045","","",""
"Andere","1994","Staedtischer Raum","Westdeutschland","371","0.044893211049625","0.0400908537464189","0.0496955683528311"
"Andere","1994","Staedtischer Raum","Ostdeutschland","54","0.0349656309506711","0.0250107448793766","0.0449205170219655"
"Andere","1994","Laendlicher Raum","Westdeutschland","117","","",""
"Andere","1994","Laendlicher Raum","Ostdeutschland","148","","",""
"voll erwerbstätig","1995","Staedtischer Raum","Westdeutschland","3394","0.416073306906381","0.404908318766122","0.427238295046641"
"voll erwerbstätig","1995","Staedtischer Raum","Ostdeutschland","595","0.448661449223077","0.420718556753662","0.476604341692493"
"voll erwerbstätig","1995","Laendlicher Raum","Westdeutschland","934","0.39243517570771","0.371565834979316","0.413304516436104"
"voll erwerbstätig","1995","Laendlicher Raum","Ostdeutschland","1209","","",""
"Teilzeit","1995","Staedtischer Raum","Westdeutschland","581","0.0769307409875258","0.070894573578045","0.0829669083970067"
"Teilzeit","1995","Staedtischer Raum","Ostdeutschland","82","0.0545566377743966","0.0417968233164007","0.0673164522323926"
"Teilzeit","1995","Laendlicher Raum","Westdeutschland","182","","",""
"Teilzeit","1995","Laendlicher Raum","Ostdeutschland","131","","",""
"nicht erwerbstätig","1995","Staedtischer Raum","Westdeutschland","3111","0.459231944571935","0.447943977496068","0.470519911647802"
"nicht erwerbstätig","1995","Staedtischer Raum","Ostdeutschland","480","0.453658135324876","0.425687689166969","0.481628581482782"
"nicht erwerbstätig","1995","Laendlicher Raum","Westdeutschland","839","0.459351619207592","0.438052652544437","0.480650585870748"
"nicht erwerbstätig","1995","Laendlicher Raum","Ostdeutschland","1000","","",""
"Andere","1995","Staedtischer Raum","Westdeutschland","401","0.0477640075341578","0.0429332320906596","0.0525947829776559"
"Andere","1995","Staedtischer Raum","Ostdeutschland","60","0.0431237776776501","0.031711059777203","0.0545364955780972"
"Andere","1995","Laendlicher Raum","Westdeutschland","148","","",""
"Andere","1995","Laendlicher Raum","Ostdeutschland","136","","",""
"voll erwerbstätig","1996","Staedtischer Raum","Westdeutschland","3236","0.410293006643514","0.398986818321059","0.421599194965969"
"voll erwerbstätig","1996","Staedtischer Raum","Ostdeutschland","586","0.434451869690399","0.406851299213725","0.462052440167073"
"voll erwerbstätig","1996","Laendlicher Raum","Westdeutschland","926","0.389737810724394","0.368839472535344","0.410636148913444"
"voll erwerbstätig","1996","Laendlicher Raum","Ostdeutschland","1147","","",""
"Teilzeit","1996","Staedtischer Raum","Westdeutschland","640","0.0846758690244125","0.0782767777341164","0.0910749603147087"
"Teilzeit","1996","Staedtischer Raum","Ostdeutschland","81","0.0570600815751185","0.0441443014613462","0.0699758616888908"
"Teilzeit","1996","Laendlicher Raum","Westdeutschland","201","","",""
"Teilzeit","1996","Laendlicher Raum","Ostdeutschland","132","","",""
"nicht erwerbstätig","1996","Staedtischer Raum","Westdeutschland","3015","0.457543483427536","0.446092318460228","0.468994648394844"
"nicht erwerbstätig","1996","Staedtischer Raum","Ostdeutschland","502","0.459116729433483","0.431369107320693","0.486864351546274"
"nicht erwerbstätig","1996","Laendlicher Raum","Westdeutschland","836","0.457415268845468","0.436067309661929","0.478763228029008"
"nicht erwerbstätig","1996","Laendlicher Raum","Ostdeutschland","1040","","",""
"Andere","1996","Staedtischer Raum","Westdeutschland","380","0.0474876409045373","0.0425991295750658","0.0523761522340087"
"Andere","1996","Staedtischer Raum","Ostdeutschland","70","0.0493713193009997","0.0373083211683455","0.061434317433654"
"Andere","1996","Laendlicher Raum","Westdeutschland","129","","",""
"Andere","1996","Laendlicher Raum","Ostdeutschland","126","","",""
"voll erwerbstätig","1997","Staedtischer Raum","Westdeutschland","3121","0.403607160623842","0.39223426419661","0.414980057051074"
"voll erwerbstätig","1997","Staedtischer Raum","Ostdeutschland","561","0.418621263847056","0.390824411520117","0.446418116173995"
"voll erwerbstätig","1997","Laendlicher Raum","Westdeutschland","914","0.393044357888273","0.371870163053758","0.414218552722787"
"voll erwerbstätig","1997","Laendlicher Raum","Ostdeutschland","1127","","",""
"Teilzeit","1997","Staedtischer Raum","Westdeutschland","623","0.0872062268207967","0.0806661097122592","0.0937463439293342"
"Teilzeit","1997","Staedtischer Raum","Ostdeutschland","68","0.0533096686870569","0.0406517480499364","0.0659675893241774"
"Teilzeit","1997","Laendlicher Raum","Westdeutschland","174","","",""
"Teilzeit","1997","Laendlicher Raum","Ostdeutschland","127","","",""
"nicht erwerbstätig","1997","Staedtischer Raum","Westdeutschland","3029","0.464793197727224","0.453231645736255","0.476354749718194"
"nicht erwerbstätig","1997","Staedtischer Raum","Ostdeutschland","518","0.487647793736519","0.459483890531716","0.515811696941321"
"nicht erwerbstätig","1997","Laendlicher Raum","Westdeutschland","838","0.475783538034241","0.454133050594117","0.497434025474365"
"nicht erwerbstätig","1997","Laendlicher Raum","Ostdeutschland","1045","","",""
"Andere","1997","Staedtischer Raum","Westdeutschland","376","0.0443934148281373","0.0396189545341036","0.0491678751221709"
"Andere","1997","Staedtischer Raum","Ostdeutschland","63","0.0404212737293686","0.0293243983522429","0.0515181491064943"
"Andere","1997","Laendlicher Raum","Westdeutschland","118","","",""
"Andere","1997","Laendlicher Raum","Ostdeutschland","125","","",""
"voll erwerbstätig","1998","Staedtischer Raum","Westdeutschland","3471","0.404833773674453","0.394080890422271","0.415586656926635"
"voll erwerbstätig","1998","Staedtischer Raum","Ostdeutschland","580","0.432095998361535","0.404689483339198","0.459502513383872"
"voll erwerbstätig","1998","Laendlicher Raum","Westdeutschland","1014","","",""
"voll erwerbstätig","1998","Laendlicher Raum","Ostdeutschland","1158","","",""
"Teilzeit","1998","Staedtischer Raum","Westdeutschland","702","0.088815287256362","0.0825834730388221","0.0950471014739018"
"Teilzeit","1998","Staedtischer Raum","Ostdeutschland","67","0.0439221312780909","0.0325847027154881","0.0552595598406937"
"Teilzeit","1998","Laendlicher Raum","Westdeutschland","205","","",""
"Teilzeit","1998","Laendlicher Raum","Ostdeutschland","136","","",""
"nicht erwerbstätig","1998","Staedtischer Raum","Westdeutschland","3416","0.461453752926801","0.450533240535339","0.472374265318262"
"nicht erwerbstätig","1998","Staedtischer Raum","Ostdeutschland","541","0.483735230052389","0.456087063825352","0.511383396279427"
"nicht erwerbstätig","1998","Laendlicher Raum","Westdeutschland","991","0.476377378703879","0.456261361081511","0.496493396326246"
"nicht erwerbstätig","1998","Laendlicher Raum","Ostdeutschland","1161","","",""
"Andere","1998","Staedtischer Raum","Westdeutschland","416","0.0448971861423847","0.0403608832319771","0.0494334890527924"
"Andere","1998","Staedtischer Raum","Ostdeutschland","67","0.0402466403079846","0.0293731026013648","0.0511201780146045"
"Andere","1998","Laendlicher Raum","Westdeutschland","158","","",""
"Andere","1998","Laendlicher Raum","Ostdeutschland","155","","",""
"voll erwerbstätig","1999","Staedtischer Raum","Westdeutschland","3347","0.409863323397108","0.398825192943121","0.420901453851094"
"voll erwerbstätig","1999","Staedtischer Raum","Ostdeutschland","576","0.423369562404163","0.395846524636984","0.450892600171342"
"voll erwerbstätig","1999","Laendlicher Raum","Westdeutschland","980","0.389982831962362","0.36989617045462","0.410069493470104"
"voll erwerbstätig","1999","Laendlicher Raum","Ostdeutschland","1140","","",""
"Teilzeit","1999","Staedtischer Raum","Westdeutschland","666","0.0835826225325552","0.0773710101744763","0.0897942348906342"
"Teilzeit","1999","Staedtischer Raum","Ostdeutschland","73","0.0556634706855293","0.042892135466609","0.0684348059044496"
"Teilzeit","1999","Laendlicher Raum","Westdeutschland","221","","",""
"Teilzeit","1999","Laendlicher Raum","Ostdeutschland","156","","",""
"nicht erwerbstätig","1999","Staedtischer Raum","Westdeutschland","3117","0.444375308882291","0.433222983834535","0.455527633930048"
"nicht erwerbstätig","1999","Staedtischer Raum","Ostdeutschland","518","0.476904973242915","0.449082611697002","0.504727334788828"
"nicht erwerbstätig","1999","Laendlicher Raum","Westdeutschland","886","0.451910967259486","0.431415114880897","0.472406819638074"
"nicht erwerbstätig","1999","Laendlicher Raum","Ostdeutschland","1095","","",""
"Andere","1999","Staedtischer Raum","Westdeutschland","496","0.0621787451880459","0.0567589771064688","0.0675985132696229"
"Andere","1999","Staedtischer Raum","Ostdeutschland","71","0.0440619936673931","0.0326296649099869","0.0554943224247993"
"Andere","1999","Laendlicher Raum","Westdeutschland","178","","",""
"Andere","1999","Laendlicher Raum","Ostdeutschland","154","","",""
"voll erwerbstätig","2000","Staedtischer Raum","Westdeutschland","5723","0.406053738495255","0.397867270625032","0.414240206365477"
"voll erwerbstätig","2000","Staedtischer Raum","Ostdeutschland","822","0.409501600932837","0.387105894601243","0.431897307264432"
"voll erwerbstätig","2000","Laendlicher Raum","Westdeutschland","1847","","",""
"voll erwerbstätig","2000","Laendlicher Raum","Ostdeutschland","1670","","",""
"Teilzeit","2000","Staedtischer Raum","Westdeutschland","1414","","",""
"Teilzeit","2000","Staedtischer Raum","Ostdeutschland","118","","",""
"Teilzeit","2000","Laendlicher Raum","Westdeutschland","450","0.0959589427792382","0.0872905599449653","0.104627325613511"
"Teilzeit","2000","Laendlicher Raum","Ostdeutschland","250","","",""
"nicht erwerbstätig","2000","Staedtischer Raum","Westdeutschland","5863","0.439884754296473","0.431610299637767","0.448159208955179"
"nicht erwerbstätig","2000","Staedtischer Raum","Ostdeutschland","816","0.478100445846876","0.455350485861577","0.500850405832174"
"nicht erwerbstätig","2000","Laendlicher Raum","Westdeutschland","1818","","",""
"nicht erwerbstätig","2000","Laendlicher Raum","Ostdeutschland","1827","","",""
"Andere","2000","Staedtischer Raum","Westdeutschland","824","0.0572032635634444","0.053332018476875","0.0610745086500137"
"Andere","2000","Staedtischer Raum","Ostdeutschland","96","0.0500079048389697","0.040081158477305","0.0599346512006343"
"Andere","2000","Laendlicher Raum","Westdeutschland","320","0.0637655037673984","0.0565745500097694","0.0709564575250273"
"Andere","2000","Laendlicher Raum","Ostdeutschland","251","","",""
"voll erwerbstätig","2001","Staedtischer Raum","Westdeutschland","5179","0.403424204813305","0.394831596179259","0.412016813447351"
"voll erwerbstätig","2001","Staedtischer Raum","Ostdeutschland","757","0.40590526255984","0.382897771584436","0.428912753535244"
"voll erwerbstätig","2001","Laendlicher Raum","Westdeutschland","1609","","",""
"voll erwerbstätig","2001","Laendlicher Raum","Ostdeutschland","1514","","",""
"Teilzeit","2001","Staedtischer Raum","Westdeutschland","1295","","",""
"Teilzeit","2001","Staedtischer Raum","Ostdeutschland","117","","",""
"Teilzeit","2001","Laendlicher Raum","Westdeutschland","404","0.0954514591278797","0.0863042524347559","0.104598665821004"
"Teilzeit","2001","Laendlicher Raum","Ostdeutschland","241","","",""
"nicht erwerbstätig","2001","Staedtischer Raum","Westdeutschland","5236","0.437603077869146","0.428914015933714","0.446292139804578"
"nicht erwerbstätig","2001","Staedtischer Raum","Ostdeutschland","766","0.470196241743198","0.446811845534594","0.493580637951802"
"nicht erwerbstätig","2001","Laendlicher Raum","Westdeutschland","1643","","",""
"nicht erwerbstätig","2001","Laendlicher Raum","Ostdeutschland","1702","","",""
"Andere","2001","Staedtischer Raum","Westdeutschland","812","0.0621957550236562","0.0579656835008668","0.0664258265464457"
"Andere","2001","Staedtischer Raum","Ostdeutschland","110","","",""
"Andere","2001","Laendlicher Raum","Westdeutschland","308","0.0659506004018307","0.0582242292283488","0.0736769715753126"
"Andere","2001","Laendlicher Raum","Ostdeutschland","228","","",""
"voll erwerbstätig","2002","Staedtischer Raum","Westdeutschland","5628","0.387852726103029","0.37962321482006","0.396082237385997"
"voll erwerbstätig","2002","Staedtischer Raum","Ostdeutschland","764","0.381865193456185","0.359237752137079","0.404492634775291"
"voll erwerbstätig","2002","Laendlicher Raum","Westdeutschland","1678","","",""
"voll erwerbstätig","2002","Laendlicher Raum","Ostdeutschland","1482","","",""
"Teilzeit","2002","Staedtischer Raum","Westdeutschland","1474","","",""
"Teilzeit","2002","Staedtischer Raum","Ostdeutschland","117","","",""
"Teilzeit","2002","Laendlicher Raum","Westdeutschland","456","0.0998668610898606","0.0907228416540652","0.109010880525656"
"Teilzeit","2002","Laendlicher Raum","Ostdeutschland","236","","",""
"nicht erwerbstätig","2002","Staedtischer Raum","Westdeutschland","5494","0.452110890891992","0.443705043924075","0.460516737859909"
"nicht erwerbstätig","2002","Staedtischer Raum","Ostdeutschland","774","0.496328647711183","0.473042529013456","0.519614766408911"
"nicht erwerbstätig","2002","Laendlicher Raum","Westdeutschland","1664","","",""
"nicht erwerbstätig","2002","Laendlicher Raum","Ostdeutschland","1723","","",""
"Andere","2002","Staedtischer Raum","Westdeutschland","871","0.0634355478621763","0.05931886090557","0.0675522348187827"
"Andere","2002","Staedtischer Raum","Ostdeutschland","116","","",""
"Andere","2002","Laendlicher Raum","Westdeutschland","332","0.0734154299635691","0.0654609961892081","0.0813698637379301"
"Andere","2002","Laendlicher Raum","Ostdeutschland","217","","",""
"voll erwerbstätig","2003","Staedtischer Raum","Westdeutschland","5208","0.381143535872623","0.372774270615512","0.389512801129734"
"voll erwerbstätig","2003","Staedtischer Raum","Ostdeutschland","715","0.356351469463586","0.334002244417734","0.378700694509438"
"voll erwerbstätig","2003","Laendlicher Raum","Westdeutschland","1555","","",""
