"erwst","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1989","(Fach-)Abitur","326","0.442436970966155","0.406985430789217","0.477888511143092"
"nicht erwerbstätig","1989","(noch) kein Abschluss","489","0.693932381413893","0.663620780298938","0.724243982528849"
"nicht erwerbstätig","1989","AkademikerIn","144","0.244812829941796","0.212914733383867","0.276710926499726"
"nicht erwerbstätig","1989","Hauptschule","2234","0.487234439507948","0.474017461212636","0.500451417803261"
"nicht erwerbstätig","1989","Realschule","547","0.362221051184644","0.339036617723348","0.38540548464594"
"Teilzeit","1989","(Fach-)Abitur","46","0.0591958299934651","0.0423513506340333","0.0760403093528968"
"Teilzeit","1989","(noch) kein Abschluss","38","0.030027434904181","0.0188025873740554","0.0412522824343066"
"Teilzeit","1989","AkademikerIn","50","0.0645364572294731","0.0463085683041687","0.0827643461547776"
"Teilzeit","1989","Hauptschule","393","0.0715540275686366","0.0647385055724639","0.0783695495648093"
"Teilzeit","1989","Realschule","139","0.0803107021667827","0.0672013318326306","0.0934200725009349"
"voll erwerbstätig","1989","(Fach-)Abitur","312","0.39118080431397","0.356347445433143","0.426014163194797"
"voll erwerbstätig","1989","(noch) kein Abschluss","340","0.23799195463534","0.209982637272165","0.266001271998515"
"voll erwerbstätig","1989","AkademikerIn","481","0.655979823808595","0.620738064755971","0.691221582861218"
"voll erwerbstätig","1989","Hauptschule","2602","0.402553310908628","0.389585548517473","0.415521073299783"
"voll erwerbstätig","1989","Realschule","804","0.486018097106094","0.461909347371498","0.51012684684069"
"Andere","1990","(Fach-)Abitur","82","0.104212377366119","0.0839910120690797","0.124433742663158"
"Andere","1990","(noch) kein Abschluss","18","","",""
"Andere","1990","AkademikerIn","16","","",""
"Andere","1990","Hauptschule","249","0.0326809016909124","0.0285216861093866","0.0368401172724381"
"Andere","1990","Realschule","270","0.0718027334847866","0.0628580756200707","0.0807473913495026"
"nicht erwerbstätig","1990","(Fach-)Abitur","373","0.43495862636536","0.402148160783916","0.467769091946804"
"nicht erwerbstätig","1990","(noch) kein Abschluss","501","0.676353532785869","0.6456155470653","0.707091518506437"
"nicht erwerbstätig","1990","AkademikerIn","291","0.209490849028938","0.190094844961481","0.228886853096396"
"nicht erwerbstätig","1990","Hauptschule","2756","0.471801218575781","0.460123506542637","0.483478930608924"
"nicht erwerbstätig","1990","Realschule","714","0.291845965388159","0.276094759233145","0.307597171543173"
"Teilzeit","1990","(Fach-)Abitur","55","0.0629942386230737","0.0469148385683081","0.0790736386778393"
"Teilzeit","1990","(noch) kein Abschluss","42","0.0307379057039741","0.0193979635533293","0.0420778478546189"
"Teilzeit","1990","AkademikerIn","127","0.0805506037461933","0.0675795695837604","0.0935216379086263"
"Teilzeit","1990","Hauptschule","587","0.0800889398067428","0.0737394515032874","0.0864384281101983"
"Teilzeit","1990","Realschule","309","0.0888453066218603","0.0789873612898276","0.0987032519538929"
"voll erwerbstätig","1990","(Fach-)Abitur","367","0.397834757645447","0.365441285723933","0.430228229566962"
"voll erwerbstätig","1990","(noch) kein Abschluss","329","0.258688295538014","0.229918160128011","0.287458430948018"
"voll erwerbstätig","1990","AkademikerIn","1257","0.696421856374202","0.674506540538686","0.718337172209718"
"voll erwerbstätig","1990","Hauptschule","3428","0.415428939926564","0.403901136445384","0.426956743407745"
"voll erwerbstätig","1990","Realschule","1907","0.547505994505194","0.530260567340063","0.564751421670325"
"Andere","1991","(Fach-)Abitur","101","0.119271633979289","0.0979783491125881","0.140564918845991"
"Andere","1991","(noch) kein Abschluss","35","0.0513790654101396","0.0367844348540259","0.0659736959662532"
"Andere","1991","AkademikerIn","29","","",""
"Andere","1991","Hauptschule","298","0.0399060201304286","0.0352382281207201","0.0445738121401371"
"Andere","1991","Realschule","253","0.0672051412138504","0.058461604559866","0.0759486778678348"
"nicht erwerbstätig","1991","(Fach-)Abitur","353","0.395838116003025","0.363709756225221","0.427966475780829"
"nicht erwerbstätig","1991","(noch) kein Abschluss","472","0.638422033232854","0.606659980231342","0.670184086234366"
"nicht erwerbstätig","1991","AkademikerIn","358","0.246516178181491","0.22589507991564","0.267137276447343"
"nicht erwerbstätig","1991","Hauptschule","2778","0.484547018099885","0.472629168370579","0.49646486782919"
"nicht erwerbstätig","1991","Realschule","844","0.320279238624551","0.303985435089405","0.336573042159698"
"Teilzeit","1991","(Fach-)Abitur","56","0.0635904926220783","0.0475586998830308","0.0796222853611258"
"Teilzeit","1991","(noch) kein Abschluss","46","0.03807541804521","0.0254237873782521","0.0507270487121678"
"Teilzeit","1991","AkademikerIn","112","0.0782543985718327","0.065404135203803","0.0911046619398624"
"Teilzeit","1991","Hauptschule","502","0.0733151054384451","0.0670992888949151","0.0795309219819751"
"Teilzeit","1991","Realschule","258","0.0835215644258878","0.0738598710706684","0.0931832577811072"
"voll erwerbstätig","1991","(Fach-)Abitur","380","0.421299757395608","0.388860154857822","0.453739359933394"
"voll erwerbstätig","1991","(noch) kein Abschluss","326","0.272123483311797","0.242701935373626","0.301545031249968"
"voll erwerbstätig","1991","AkademikerIn","1179","0.652861262263612","0.630083340184986","0.675639184342237"
"voll erwerbstätig","1991","Hauptschule","3177","0.402231856331242","0.390538477240848","0.413925235421636"
"voll erwerbstätig","1991","Realschule","1795","0.52899405573571","0.511562690440449","0.546425421030972"
"Andere","1992","(Fach-)Abitur","91","0.10295517501955","0.0830675449675104","0.12284280507159"
"Andere","1992","(noch) kein Abschluss","29","","",""
"Andere","1992","AkademikerIn","27","","",""
"Andere","1992","Hauptschule","239","0.0301567747058334","0.0260116687501373","0.0343018806615294"
"Andere","1992","Realschule","251","0.0659365031214675","0.0572060177225101","0.0746669885204248"
"nicht erwerbstätig","1992","(Fach-)Abitur","371","0.411713502014663","0.379506977259786","0.443920026769539"
"nicht erwerbstätig","1992","(noch) kein Abschluss","508","0.655059793137477","0.62350958488999","0.686610001384964"
"nicht erwerbstätig","1992","AkademikerIn","399","0.263191050205692","0.241975119086868","0.284406981324516"
"nicht erwerbstätig","1992","Hauptschule","2895","0.509554841142333","0.497438175761931","0.521671506522735"
"nicht erwerbstätig","1992","Realschule","933","0.353276381241597","0.33646110922291","0.370091653260284"
"Teilzeit","1992","(Fach-)Abitur","63","0.0735411352636631","0.0564594740145558","0.0906227965127705"
"Teilzeit","1992","(noch) kein Abschluss","39","0.0317696288996621","0.0201287634324991","0.0434104943668251"
"Teilzeit","1992","AkademikerIn","108","0.0785459485923937","0.0655846705114007","0.0915072266733868"
"Teilzeit","1992","Hauptschule","471","0.0727161285121427","0.0664223109546983","0.0790099460695872"
"Teilzeit","1992","Realschule","250","0.0804492992702394","0.0708809678997303","0.0900176306407485"
"voll erwerbstätig","1992","(Fach-)Abitur","372","0.411790187702124","0.379582763089713","0.443997612314535"
"voll erwerbstätig","1992","(noch) kein Abschluss","296","0.264655177328814","0.235374874421073","0.293935480236555"
"voll erwerbstätig","1992","AkademikerIn","1121","0.640049318935321","0.616924554805493","0.663174083065149"
"voll erwerbstätig","1992","Hauptschule","2934","0.387572255639691","0.375763716019197","0.399380795260185"
"voll erwerbstätig","1992","Realschule","1670","0.500337816366696","0.482748168715137","0.517927464018255"
"Andere","1993","(Fach-)Abitur","106","0.109264269746268","0.0889948687093645","0.129533670783171"
"Andere","1993","(noch) kein Abschluss","26","","",""
"Andere","1993","AkademikerIn","27","","",""
"Andere","1993","Hauptschule","252","0.0367475955670105","0.0321190093609464","0.0413761817730746"
"Andere","1993","Realschule","256","0.0658293826902867","0.0570942278469498","0.0745645375336236"
"nicht erwerbstätig","1993","(Fach-)Abitur","379","0.396032999646091","0.364256965932846","0.427809033359336"
"nicht erwerbstätig","1993","(noch) kein Abschluss","504","0.663173631362014","0.631400845583731","0.694946417140296"
"nicht erwerbstätig","1993","AkademikerIn","399","0.274717257926728","0.253087428995109","0.296347086858346"
"nicht erwerbstätig","1993","Hauptschule","2913","0.519263906130111","0.506972225290451","0.53155558696977"
"nicht erwerbstätig","1993","Realschule","929","0.349943831092843","0.333143330277191","0.366744331908494"
"Teilzeit","1993","(Fach-)Abitur","64","0.0768667985454583","0.059559512278201","0.0941740848127157"
"Teilzeit","1993","(noch) kein Abschluss","43","0.0326254866157729","0.020682458690964","0.0445685145405818"
"Teilzeit","1993","AkademikerIn","117","0.0805360805075827","0.0673498995270897","0.0937222614880758"
"Teilzeit","1993","Hauptschule","436","0.0695488144986955","0.0632905270840749","0.0758071019133161"
"Teilzeit","1993","Realschule","242","0.0809845576809493","0.0713748511120759","0.0905942642498226"
"voll erwerbstätig","1993","(Fach-)Abitur","361","0.417835932062183","0.385791469991037","0.449880394133328"
"voll erwerbstätig","1993","(noch) kein Abschluss","277","0.26204866283466","0.232486005859738","0.291611319809583"
"voll erwerbstätig","1993","AkademikerIn","1093","0.625293615549055","0.601838153906217","0.648749077191893"
"voll erwerbstätig","1993","Hauptschule","2746","0.374439683804183","0.362533039713889","0.386346327894478"
"voll erwerbstätig","1993","Realschule","1669","0.503242228535921","0.485630236171091","0.520854220900752"
"Andere","1994","(Fach-)Abitur","120","0.116185933638995","0.0954904534945796","0.13688141378341"
"Andere","1994","(noch) kein Abschluss","28","","",""
"Andere","1994","AkademikerIn","37","0.030300880337308","0.0220374991314796","0.0385642615431364"
"Andere","1994","Hauptschule","223","0.03069841574025","0.0263706489597398","0.0350261825207601"
"Andere","1994","Realschule","237","0.0644860944922533","0.0557664501555888","0.0732057388289178"
"nicht erwerbstätig","1994","(Fach-)Abitur","381","0.404199981639211","0.372506738910404","0.435893224368018"
"nicht erwerbstätig","1994","(noch) kein Abschluss","536","0.698048553352572","0.667148335740755","0.728948770964389"
"nicht erwerbstätig","1994","AkademikerIn","397","0.274802128183629","0.253281746454932","0.296322509912326"
"nicht erwerbstätig","1994","Hauptschule","2975","0.546544663378716","0.534054834339985","0.559034492417446"
"nicht erwerbstätig","1994","Realschule","925","0.353521829734268","0.336550117471915","0.370493541996621"
"Teilzeit","1994","(Fach-)Abitur","58","0.0707208931034076","0.0541645190137997","0.0872772671930155"
"Teilzeit","1994","(noch) kein Abschluss","39","0.03362405915221","0.0214916153046668","0.0457565029997531"
"Teilzeit","1994","AkademikerIn","122","0.0746531839082786","0.0619828488648797","0.0873235189516775"
"Teilzeit","1994","Hauptschule","403","0.0660407135258192","0.0598098784387914","0.072271548612847"
"Teilzeit","1994","Realschule","243","0.0862103747766662","0.0762461506481248","0.0961745989052075"
"voll erwerbstätig","1994","(Fach-)Abitur","362","0.408893191618386","0.377142280199082","0.440644103037691"
"voll erwerbstätig","1994","(noch) kein Abschluss","245","0.233188553733003","0.204727690204597","0.261649417261409"
"voll erwerbstätig","1994","AkademikerIn","1097","0.620243807570784","0.596847608126155","0.643640007015414"
"voll erwerbstätig","1994","Hauptschule","2502","0.356716207355215","0.344698015524814","0.368734399185617"
"voll erwerbstätig","1994","Realschule","1643","0.495781700996812","0.47803183176809","0.513531570225534"
"Andere","1995","(Fach-)Abitur","127","0.114348749129157","0.0952001292359472","0.133497369022366"
"Andere","1995","(noch) kein Abschluss","24","","",""
"Andere","1995","AkademikerIn","37","0.0261513580726505","0.0186808526028206","0.0336218635424805"
"Andere","1995","Hauptschule","254","0.0353007382350171","0.0306788614119458","0.0399226150580884"
"Andere","1995","Realschule","262","0.0684457950585327","0.0595798136132002","0.0773117765038652"
"nicht erwerbstätig","1995","(Fach-)Abitur","440","0.410325624728194","0.380727728269715","0.439923521186672"
"nicht erwerbstätig","1995","(noch) kein Abschluss","596","0.732844264235421","0.703626415606419","0.762062112864423"
"nicht erwerbstätig","1995","AkademikerIn","409","0.269609899370789","0.248836743047316","0.290383055694263"
"nicht erwerbstätig","1995","Hauptschule","2964","0.552316558462893","0.53986252444898","0.564770592476806"
"nicht erwerbstätig","1995","Realschule","885","0.343065586363633","0.326396993048897","0.35973417967837"
"Teilzeit","1995","(Fach-)Abitur","75","0.0760991259125608","0.0601442686842139","0.0920539831409076"
"Teilzeit","1995","(noch) kein Abschluss","36","0.0277905413278057","0.0169365727231698","0.0386445099324416"
"Teilzeit","1995","AkademikerIn","159","0.0955820214326026","0.081818491491771","0.109345551373434"
"Teilzeit","1995","Hauptschule","414","0.0658538678984204","0.0596419092790482","0.0720658265177926"
"Teilzeit","1995","Realschule","273","0.0862321573537787","0.0763761293820947","0.0960881853254626"
"voll erwerbstätig","1995","(Fach-)Abitur","419","0.399226500230089","0.369758174367656","0.428694826092521"
"voll erwerbstätig","1995","(noch) kein Abschluss","225","0.198229319071841","0.171904271366531","0.22455436677715"
"voll erwerbstätig","1995","AkademikerIn","1148","0.608656721123958","0.585810084002917","0.631503358244998"
"voll erwerbstätig","1995","Hauptschule","2492","0.34652883540367","0.334610560356884","0.358447110450456"
"voll erwerbstätig","1995","Realschule","1696","0.502256461224055","0.484700890680669","0.519812031767442"
"Andere","1996","(Fach-)Abitur","104","0.0991135754722611","0.0808560465784733","0.117371104366049"
"Andere","1996","(noch) kein Abschluss","22","","",""
"Andere","1996","AkademikerIn","31","0.0223133944007107","0.0154208201346191","0.0292059686668023"
"Andere","1996","Hauptschule","244","0.0326808624974883","0.0281612228849425","0.0372005021100341"
"Andere","1996","Realschule","260","0.0718465152565001","0.0627795464713909","0.0809134840416093"
"nicht erwerbstätig","1996","(Fach-)Abitur","404","0.376042899712019","0.346446664806967","0.405639134617071"
"nicht erwerbstätig","1996","(noch) kein Abschluss","579","0.74566437137551","0.71623199078704","0.77509675196398"
"nicht erwerbstätig","1996","AkademikerIn","435","0.280078435832389","0.259123746428341","0.301033125236437"
"nicht erwerbstätig","1996","Hauptschule","2915","0.556789906614944","0.544162253024097","0.569417560205791"
"nicht erwerbstätig","1996","Realschule","923","0.349036125874684","0.332299689142428","0.365772562606939"
"Teilzeit","1996","(Fach-)Abitur","102","0.111078098844563","0.0918787532624028","0.130277444426724"
"Teilzeit","1996","(noch) kein Abschluss","41","0.0430906426851628","0.0293667605484551","0.0568145248218705"
"Teilzeit","1996","AkademikerIn","157","0.0995617205639408","0.0855892896175618","0.11353415151032"
"Teilzeit","1996","Hauptschule","431","0.0692202655290046","0.0627679997034804","0.0756725313545289"
"Teilzeit","1996","Realschule","298","0.0955443485579523","0.0852227846308048","0.1058659124851"
"voll erwerbstätig","1996","(Fach-)Abitur","419","0.413765425971157","0.383673276049201","0.443857575893112"
"voll erwerbstätig","1996","(noch) kein Abschluss","199","0.18248661856005","0.156382259159403","0.208590977960698"
"voll erwerbstätig","1996","AkademikerIn","1141","0.59804644920296","0.575166545436762","0.620926352969158"
"voll erwerbstätig","1996","Hauptschule","2355","0.341308965358563","0.329256194893463","0.353361735823663"
"voll erwerbstätig","1996","Realschule","1635","0.483573010310864","0.466026738247464","0.501119282374265"
"Andere","1997","(Fach-)Abitur","106","0.0938109075095376","0.0759090917632858","0.111712723255789"
"Andere","1997","(noch) kein Abschluss","19","","",""
"Andere","1997","AkademikerIn","32","0.020012629413455","0.01348294589484","0.02654231293207"
"Andere","1997","Hauptschule","218","0.0283806008533881","0.0240966565943879","0.0326645451123883"
"Andere","1997","Realschule","255","0.0659235059977228","0.0571598746024478","0.0746871373929978"
"nicht erwerbstätig","1997","(Fach-)Abitur","394","0.378562050639645","0.348781794954845","0.408342306324445"
"nicht erwerbstätig","1997","(noch) kein Abschluss","595","0.751834926976229","0.722484257906974","0.781185596045485"
"nicht erwerbstätig","1997","AkademikerIn","420","0.270145264066749","0.249441623913924","0.290848904219575"
"nicht erwerbstätig","1997","Hauptschule","2946","0.574539476931984","0.561784652000991","0.587294301862977"
"nicht erwerbstätig","1997","Realschule","934","0.364204736275932","0.347210401410197","0.381199071141666"
"Teilzeit","1997","(Fach-)Abitur","92","0.10511545526216","0.0862842641632317","0.123946646361087"
"Teilzeit","1997","(noch) kein Abschluss","34","0.03233363127825","0.0203144055295298","0.0443528570269703"
"Teilzeit","1997","AkademikerIn","150","0.0923063463565038","0.0788100301026506","0.105802662610357"
"Teilzeit","1997","Hauptschule","406","0.0708525866822959","0.0642333928948287","0.077471780469763"
"Teilzeit","1997","Realschule","289","0.09374320441116","0.0834495811754068","0.104036827646913"
"voll erwerbstätig","1997","(Fach-)Abitur","427","0.422511586588658","0.392183015580369","0.452840157596947"
"voll erwerbstätig","1997","(noch) kein Abschluss","184","0.187064649177547","0.16056682009304","0.213562478262053"
"voll erwerbstätig","1997","AkademikerIn","1165","0.617535760163292","0.59487594882454","0.640195571502044"
"voll erwerbstätig","1997","Hauptschule","2202","0.326227335532332","0.314132449011972","0.338322222052692"
"voll erwerbstätig","1997","Realschule","1602","0.476128553315186","0.458490639741125","0.493766466889247"
"Andere","1998","(Fach-)Abitur","116","0.0954070092413827","0.0784056700400363","0.112408348442729"
"Andere","1998","(noch) kein Abschluss","25","","",""
"Andere","1998","AkademikerIn","34","0.0170958921793457","0.0113702171785765","0.0228215671801149"
"Andere","1998","Hauptschule","272","0.0342646081418855","0.0297351698740837","0.0387940464096873"
"Andere","1998","Realschule","281","0.0688377110126875","0.0603213492431256","0.0773540727822494"
"nicht erwerbstätig","1998","(Fach-)Abitur","441","0.388669714885953","0.360460260357055","0.41687916941485"
"nicht erwerbstätig","1998","(noch) kein Abschluss","596","0.72674266976106","0.696315558285529","0.75716978123659"
"nicht erwerbstätig","1998","AkademikerIn","506","0.288133382463661","0.268129175667799","0.308137589259523"
"nicht erwerbstätig","1998","Hauptschule","3233","0.580613947638247","0.568327025388806","0.592900869887689"
"nicht erwerbstätig","1998","Realschule","1029","0.350828116948676","0.334775152325699","0.366881081571652"
"Teilzeit","1998","(Fach-)Abitur","97","0.098929415012458","0.0816508166813271","0.116208013343589"
"Teilzeit","1998","(noch) kein Abschluss","32","0.032742879707164","0.0205918274348546","0.0448939319794735"
"Teilzeit","1998","AkademikerIn","183","0.0972687705913039","0.0841802313398966","0.110357309842711"
"Teilzeit","1998","Hauptschule","441","0.0707579533555799","0.0643731953088453","0.0771427114023144"
"Teilzeit","1998","Realschule","311","0.0939517576535257","0.084137525713208","0.103765989593844"
"voll erwerbstätig","1998","(Fach-)Abitur","493","0.416993860860207","0.388459524481628","0.445528197238785"
