"erwst","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1986","46-65","Ländlicher Raum","327","0.448037968361804","0.410578141257802","0.485497795465805"
"voll erwerbstätig","1986","66","Städtischer Raum","","","",""
"voll erwerbstätig","1986","66","Ländlicher Raum","","","",""
"Teilzeit","1986","17-29","Städtischer Raum","83","0.0362710787630526","0.0288081865666104","0.0437339709594949"
"Teilzeit","1986","17-29","Ländlicher Raum","33","0.0535781661430226","0.0361864893820257","0.0709698429040194"
"Teilzeit","1986","30-45","Städtischer Raum","246","0.103512389727727","0.0917963609533119","0.115228418502142"
"Teilzeit","1986","30-45","Ländlicher Raum","62","0.100517318150254","0.0777830852926293","0.123251551007879"
"Teilzeit","1986","46-65","Städtischer Raum","168","0.0718390716420438","0.0618186762476166","0.081859467036471"
"Teilzeit","1986","46-65","Ländlicher Raum","40","0.0625640800801669","0.0443214654653133","0.0808066946950205"
"Teilzeit","1986","66","Städtischer Raum","","","",""
"Teilzeit","1986","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1986","17-29","Städtischer Raum","925","0.361585396871971","0.342407263551542","0.380763530192401"
"nicht erwerbstätig","1986","17-29","Ländlicher Raum","213","0.313102802837875","0.277285365715729","0.348920239960021"
"nicht erwerbstätig","1986","30-45","Städtischer Raum","692","0.249465231164077","0.232823345393949","0.266107116934206"
"nicht erwerbstätig","1986","30-45","Ländlicher Raum","179","0.264717928299193","0.231361301919448","0.298074554678939"
"nicht erwerbstätig","1986","46-65","Städtischer Raum","1013","0.440139973563432","0.420876792872491","0.459403154254372"
"nicht erwerbstätig","1986","46-65","Ländlicher Raum","292","0.460932717919339","0.423384095203619","0.498481340635059"
"nicht erwerbstätig","1986","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1986","66","Ländlicher Raum","","","",""
"Andere","1986","17-29","Städtischer Raum","306","0.130850557623152","0.117389335126604","0.1443117801197"
"Andere","1986","17-29","Ländlicher Raum","110","0.174201193672304","0.144907924248776","0.203494463095832"
"Andere","1986","30-45","Städtischer Raum","89","0.0377391195941633","0.0304099560348489","0.0450682831534778"
"Andere","1986","30-45","Ländlicher Raum","30","0.0471875470869109","0.0311557994447123","0.0632192947291095"
"Andere","1986","46-65","Städtischer Raum","66","0.027811075693076","0.0214302469329281","0.0341919044532238"
"Andere","1986","46-65","Ländlicher Raum","18","","",""
"Andere","1986","66","Städtischer Raum","","","",""
"Andere","1986","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1987","17-29","Städtischer Raum","1029","0.463821959810958","0.443715000689052","0.483928918932865"
"voll erwerbstätig","1987","17-29","Ländlicher Raum","289","0.469144322473028","0.430631114095829","0.507657530850227"
"voll erwerbstätig","1987","30-45","Städtischer Raum","1575","0.633458421130789","0.614637498550199","0.652279343711378"
"voll erwerbstätig","1987","30-45","Ländlicher Raum","394","0.593853481819541","0.556040440533634","0.631666523105448"
"voll erwerbstätig","1987","46-65","Städtischer Raum","1299","0.468092166295138","0.448709979660994","0.487474352929282"
"voll erwerbstätig","1987","46-65","Ländlicher Raum","329","0.473658077334363","0.435594130644768","0.511722024023957"
"voll erwerbstätig","1987","66","Städtischer Raum","","","",""
"voll erwerbstätig","1987","66","Ländlicher Raum","","","",""
"Teilzeit","1987","17-29","Städtischer Raum","85","0.0402255457999033","0.0323032364600899","0.0481478551397166"
"Teilzeit","1987","17-29","Ländlicher Raum","34","0.0644072952615656","0.0454629684188889","0.0833516221042422"
"Teilzeit","1987","30-45","Städtischer Raum","232","0.099440139693228","0.0877516773003398","0.111128602086116"
"Teilzeit","1987","30-45","Ländlicher Raum","81","0.136248202078071","0.109835036108196","0.162661368047946"
"Teilzeit","1987","46-65","Städtischer Raum","190","0.0815752981821448","0.0709431748858129","0.0922074214784767"
"Teilzeit","1987","46-65","Ländlicher Raum","55","0.0899960924980687","0.0681798065877083","0.111812378408429"
"Teilzeit","1987","66","Städtischer Raum","","","",""
"Teilzeit","1987","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1987","17-29","Städtischer Raum","877","0.33823539154763","0.319159821594446","0.357310961500814"
"nicht erwerbstätig","1987","17-29","Ländlicher Raum","202","0.289556412537563","0.254553867211508","0.324558957863619"
"nicht erwerbstätig","1987","30-45","Städtischer Raum","642","0.236747665299293","0.2201442606935","0.253351069905085"
"nicht erwerbstätig","1987","30-45","Ländlicher Raum","150","0.234675880332522","0.202045847089847","0.267305913575197"
"nicht erwerbstätig","1987","46-65","Städtischer Raum","1019","0.430994823165083","0.411758900294013","0.450230746036154"
"nicht erwerbstätig","1987","46-65","Ländlicher Raum","263","0.415198576892886","0.377633913653448","0.452763240132324"
"nicht erwerbstätig","1987","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1987","66","Ländlicher Raum","","","",""
"Andere","1987","17-29","Städtischer Raum","372","0.157717102841508","0.143021594394695","0.172412611288322"
"Andere","1987","17-29","Ländlicher Raum","120","0.176891969727843","0.14744431502554","0.206339624430145"
"Andere","1987","30-45","Städtischer Raum","69","0.0303537738766908","0.0236528724218828","0.0370546753314987"
"Andere","1987","30-45","Ländlicher Raum","23","","",""
"Andere","1987","46-65","Städtischer Raum","38","0.0193377123576333","0.0139886066975821","0.0246868180176846"
"Andere","1987","46-65","Ländlicher Raum","14","","",""
"Andere","1987","66","Städtischer Raum","","","",""
"Andere","1987","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1988","17-29","Städtischer Raum","989","0.462806140946954","0.442379814384211","0.483232467509698"
"voll erwerbstätig","1988","17-29","Ländlicher Raum","254","0.437754742184895","0.397414513567889","0.478094970801901"
"voll erwerbstätig","1988","30-45","Städtischer Raum","1441","0.636959314031278","0.617442122961238","0.656476505101318"
"voll erwerbstätig","1988","30-45","Ländlicher Raum","378","0.592244938410997","0.553563500881068","0.630926375940927"
"voll erwerbstätig","1988","46-65","Städtischer Raum","1260","0.476154835459812","0.456494750201489","0.495814920718135"
"voll erwerbstätig","1988","46-65","Ländlicher Raum","310","0.46720441732454","0.428306770410472","0.506102064238609"
"voll erwerbstätig","1988","66","Städtischer Raum","","","",""
"voll erwerbstätig","1988","66","Ländlicher Raum","","","",""
"Teilzeit","1988","17-29","Städtischer Raum","76","0.0375964860208647","0.0298039750511064","0.0453889969906231"
"Teilzeit","1988","17-29","Ländlicher Raum","16","","",""
"Teilzeit","1988","30-45","Städtischer Raum","245","0.105562698931156","0.0930913333007361","0.118034064561577"
"Teilzeit","1988","30-45","Ländlicher Raum","79","0.14172169220337","0.114269029189826","0.169174355216913"
"Teilzeit","1988","46-65","Städtischer Raum","205","0.0921780197957874","0.0807906385329785","0.103565401058596"
"Teilzeit","1988","46-65","Ländlicher Raum","47","0.073855361904545","0.0534652328034377","0.0942454910056524"
"Teilzeit","1988","66","Städtischer Raum","","","",""
"Teilzeit","1988","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1988","17-29","Städtischer Raum","841","0.34441464339873","0.324948468508662","0.363880818288799"
"nicht erwerbstätig","1988","17-29","Ländlicher Raum","197","0.339221912018549","0.300724654680033","0.377719169357066"
"nicht erwerbstätig","1988","30-45","Städtischer Raum","585","0.229625558268976","0.212555112446324","0.246696004091628"
"nicht erwerbstätig","1988","30-45","Ländlicher Raum","144","0.235359717673564","0.201967374096038","0.26875206125109"
"nicht erwerbstätig","1988","46-65","Städtischer Raum","978","0.414065564860114","0.394675962801482","0.433455166918745"
"nicht erwerbstätig","1988","46-65","Ländlicher Raum","261","0.433745504018086","0.395107660739078","0.472383347297095"
"nicht erwerbstätig","1988","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1988","66","Ländlicher Raum","","","",""
"Andere","1988","17-29","Städtischer Raum","383","0.155182729633451","0.140349754120119","0.170015705146783"
"Andere","1988","17-29","Ländlicher Raum","114","0.189834923056382","0.157946368105062","0.221723478007703"
"Andere","1988","30-45","Städtischer Raum","61","0.0278524287685898","0.0211738899930214","0.0345309675441583"
"Andere","1988","30-45","Ländlicher Raum","19","","",""
"Andere","1988","46-65","Städtischer Raum","36","0.0176015798842874","0.0124251601904209","0.0227779995781539"
"Andere","1988","46-65","Ländlicher Raum","14","","",""
"Andere","1988","66","Städtischer Raum","","","",""
"Andere","1988","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1989","17-29","Städtischer Raum","1033","0.469221128313458","0.448641592781575","0.489800663845341"
"voll erwerbstätig","1989","17-29","Ländlicher Raum","277","0.484770686857422","0.443670633997123","0.52587073971772"
"voll erwerbstätig","1989","30-45","Städtischer Raum","1436","0.655136248908241","0.635578429492502","0.674694068323979"
"voll erwerbstätig","1989","30-45","Ländlicher Raum","351","0.598666946092016","0.558532628307089","0.638801263876942"
"voll erwerbstätig","1989","46-65","Städtischer Raum","1215","0.472113753625972","0.452103536425811","0.492123970826134"
"voll erwerbstätig","1989","46-65","Ländlicher Raum","288","0.452171512982456","0.412045292465819","0.492297733499092"
"voll erwerbstätig","1989","66","Städtischer Raum","","","",""
"voll erwerbstätig","1989","66","Ländlicher Raum","","","",""
"Teilzeit","1989","17-29","Städtischer Raum","92","0.0507335768330742","0.0416839269694431","0.0597832266967054"
"Teilzeit","1989","17-29","Ländlicher Raum","21","","",""
"Teilzeit","1989","30-45","Städtischer Raum","244","0.104193594540195","0.0916229242605422","0.116764264819848"
"Teilzeit","1989","30-45","Ländlicher Raum","78","0.147507423786424","0.118472344122264","0.176542503450585"
"Teilzeit","1989","46-65","Städtischer Raum","177","0.0841039526923011","0.072979219629802","0.0952286857548002"
"Teilzeit","1989","46-65","Ländlicher Raum","48","0.0884337867205992","0.0655431658979159","0.111324407543283"
"Teilzeit","1989","66","Städtischer Raum","","","",""
"Teilzeit","1989","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1989","17-29","Städtischer Raum","795","0.32668398307712","0.30734367581888","0.346024290335359"
"nicht erwerbstätig","1989","17-29","Ländlicher Raum","181","0.331507385609624","0.292793315330067","0.370221455889182"
"nicht erwerbstätig","1989","30-45","Städtischer Raum","531","0.2129483485841","0.19610340353571","0.229793293632491"
"nicht erwerbstätig","1989","30-45","Ländlicher Raum","127","0.226094514169064","0.19184457889315","0.260344449444979"
"nicht erwerbstätig","1989","46-65","Städtischer Raum","952","0.422739442889531","0.402938738942333","0.44254014683673"
"nicht erwerbstätig","1989","46-65","Ländlicher Raum","244","0.441474388709476","0.401440419225076","0.481508358193877"
"nicht erwerbstätig","1989","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1989","66","Ländlicher Raum","","","",""
"Andere","1989","17-29","Städtischer Raum","339","0.153361311776348","0.138502060119733","0.168220563432963"
"Andere","1989","17-29","Ländlicher Raum","89","0.145376520731822","0.116389173783277","0.174363867680368"
"Andere","1989","30-45","Städtischer Raum","58","0.0277218079674639","0.0209666285115268","0.034476987423401"
"Andere","1989","30-45","Ländlicher Raum","17","","",""
"Andere","1989","46-65","Städtischer Raum","47","0.021042850792195","0.0152898765175829","0.0267958250668071"
"Andere","1989","46-65","Ländlicher Raum","11","","",""
"Andere","1989","66","Städtischer Raum","","","",""
"Andere","1989","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1990","17-29","Städtischer Raum","1217","0.485984149988125","0.46645072475934","0.505517575216911"
"voll erwerbstätig","1990","17-29","Ländlicher Raum","738","0.548019804148712","0.521171370426986","0.574868237870439"
"voll erwerbstätig","1990","30-45","Städtischer Raum","1860","0.672600086424968","0.655010056612897","0.69019011623704"
"voll erwerbstätig","1990","30-45","Ländlicher Raum","1157","0.699032644529128","0.676086890909487","0.72197839814877"
"voll erwerbstätig","1990","46-65","Städtischer Raum","1465","0.49576479834175","0.47719907139064","0.514330525292859"
"voll erwerbstätig","1990","46-65","Ländlicher Raum","863","0.537966834765025","0.512314392933839","0.56361927659621"
"voll erwerbstätig","1990","66","Städtischer Raum","","","",""
"voll erwerbstätig","1990","66","Ländlicher Raum","","","",""
"Teilzeit","1990","17-29","Städtischer Raum","119","0.0514283741263863","0.0427962921021304","0.0600604561506421"
"Teilzeit","1990","17-29","Ländlicher Raum","63","0.0444066472832303","0.0332938938624024","0.0555194007040582"
"Teilzeit","1990","30-45","Städtischer Raum","305","0.119354508402439","0.107201919464132","0.131507097340747"
"Teilzeit","1990","30-45","Ländlicher Raum","201","0.145165147639062","0.127542701519631","0.162787593758493"
"Teilzeit","1990","46-65","Städtischer Raum","256","0.0930848417297752","0.0822958627314145","0.103873820728136"
"Teilzeit","1990","46-65","Ländlicher Raum","161","0.10934917544409","0.0932917513308754","0.125406599557305"
"Teilzeit","1990","66","Städtischer Raum","","","",""
"Teilzeit","1990","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1990","17-29","Städtischer Raum","844","0.324600054007575","0.306300778280713","0.342899329734437"
"nicht erwerbstätig","1990","17-29","Ländlicher Raum","346","0.278093501032787","0.253922367310524","0.302264634755049"
"nicht erwerbstätig","1990","30-45","Städtischer Raum","509","0.183702498404984","0.169187045168201","0.198217951641767"
"nicht erwerbstätig","1990","30-45","Ländlicher Raum","155","0.131651650722259","0.114737350024841","0.148565951419678"
"nicht erwerbstätig","1990","46-65","Städtischer Raum","1022","0.391445107020214","0.373321574612892","0.409568639427536"
"nicht erwerbstätig","1990","46-65","Ländlicher Raum","408","0.335384964170075","0.311092517374091","0.359677410966058"
"nicht erwerbstätig","1990","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1990","66","Ländlicher Raum","","","",""
"Andere","1990","17-29","Städtischer Raum","335","0.137987421877913","0.124508484735945","0.151466359019882"
"Andere","1990","17-29","Ländlicher Raum","173","0.129480047535271","0.111368651996172","0.14759144307437"
"Andere","1990","30-45","Städtischer Raum","60","0.0243429067676077","0.0185661556513311","0.0301196578838843"
"Andere","1990","30-45","Ländlicher Raum","22","","",""
"Andere","1990","46-65","Städtischer Raum","43","0.0197052529082605","0.0145443358524043","0.0248661699641167"
"Andere","1990","46-65","Ländlicher Raum","19","","",""
"Andere","1990","66","Städtischer Raum","","","",""
"Andere","1990","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1991","17-29","Städtischer Raum","1150","0.48919987509025","0.469262949424778","0.509136800755721"
"voll erwerbstätig","1991","17-29","Ländlicher Raum","625","0.48974815708821","0.462091166346921","0.517405147829499"
"voll erwerbstätig","1991","30-45","Städtischer Raum","1825","0.655412506988732","0.637595473647499","0.673229540329964"
"voll erwerbstätig","1991","30-45","Ländlicher Raum","1121","0.682634340252858","0.659402696659429","0.705865983846286"
"voll erwerbstätig","1991","46-65","Städtischer Raum","1415","0.50167832869401","0.482780137102089","0.520576520285931"
"voll erwerbstätig","1991","46-65","Ländlicher Raum","753","0.499854368606349","0.47388489885163","0.525823838361068"
"voll erwerbstätig","1991","66","Städtischer Raum","","","",""
"voll erwerbstätig","1991","66","Ländlicher Raum","","","",""
"Teilzeit","1991","17-29","Städtischer Raum","105","0.043692313746266","0.0355398126014007","0.0518448148911313"
"Teilzeit","1991","17-29","Ländlicher Raum","57","0.0477248909271231","0.0359303805526526","0.0595194013015935"
"Teilzeit","1991","30-45","Städtischer Raum","315","0.124797415040681","0.112407013928995","0.137187816152366"
"Teilzeit","1991","30-45","Ländlicher Raum","149","0.115759864972999","0.0997911480734955","0.131728581872503"
"Teilzeit","1991","46-65","Städtischer Raum","227","0.0911034337310779","0.0802272309976495","0.101979636464506"
"Teilzeit","1991","46-65","Ländlicher Raum","114","0.0888638827539941","0.0740848037727756","0.103642961735213"
"Teilzeit","1991","66","Städtischer Raum","","","",""
"Teilzeit","1991","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1991","17-29","Städtischer Raum","787","0.309742518054767","0.291301049720641","0.328183986388894"
"nicht erwerbstätig","1991","17-29","Ländlicher Raum","388","0.322480582854213","0.296619965620616","0.34834120008781"
"nicht erwerbstätig","1991","30-45","Städtischer Raum","516","0.185948894130941","0.171362400375527","0.200535387886356"
"nicht erwerbstätig","1991","30-45","Ländlicher Raum","235","0.166868204382491","0.148258068031639","0.185478340733342"
"nicht erwerbstätig","1991","46-65","Städtischer Raum","996","0.384576940730639","0.366189080562191","0.402964800899087"
"nicht erwerbstätig","1991","46-65","Ländlicher Raum","541","0.398576019089016","0.373146447163077","0.424005591014956"
"nicht erwerbstätig","1991","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1991","66","Ländlicher Raum","","","",""
"Andere","1991","17-29","Städtischer Raum","373","0.157365293108717","0.142842047815175","0.171888538402259"
"Andere","1991","17-29","Ländlicher Raum","185","0.140046369130454","0.120846437942251","0.159246300318657"
"Andere","1991","30-45","Städtischer Raum","77","0.0338411838396462","0.0270620328117352","0.0406203348675572"
"Andere","1991","30-45","Ländlicher Raum","37","0.0347375903916523","0.0255979639392409","0.0438772168440637"
"Andere","1991","46-65","Städtischer Raum","51","0.022641296844273","0.0170187856141101","0.0282638080744359"
"Andere","1991","46-65","Ländlicher Raum","16","","",""
"Andere","1991","66","Städtischer Raum","","","",""
"Andere","1991","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1992","17-29","Städtischer Raum","1101","0.482629992767014","0.46244816882867","0.502811816705358"
"voll erwerbstätig","1992","17-29","Ländlicher Raum","537","0.457102520039162","0.428703387576442","0.485501652501882"
"voll erwerbstätig","1992","30-45","Städtischer Raum","1758","0.642368511613589","0.624319493300491","0.660417529926687"
"voll erwerbstätig","1992","30-45","Ländlicher Raum","1042","0.657239357591262","0.633228094839148","0.681250620343375"
"voll erwerbstätig","1992","46-65","Städtischer Raum","1333","0.484992426194608","0.465964150274684","0.504020702114533"
"voll erwerbstätig","1992","46-65","Ländlicher Raum","654","0.457386084977047","0.430889790402688","0.483882379551406"
"voll erwerbstätig","1992","66","Städtischer Raum","","","",""
"voll erwerbstätig","1992","66","Ländlicher Raum","","","",""
"Teilzeit","1992","17-29","Städtischer Raum","104","0.0382065274894407","0.0304643641133401","0.0459486908655414"
"Teilzeit","1992","17-29","Ländlicher Raum","44","0.0350065004588704","0.0245285607466479","0.045484440171093"
"Teilzeit","1992","30-45","Städtischer Raum","333","0.13436564191622","0.121522983041458","0.147208300790982"
"Teilzeit","1992","30-45","Ländlicher Raum","147","0.130360061108399","0.113326723241323","0.147393398975475"
"Teilzeit","1992","46-65","Städtischer Raum","214","0.0891842480475623","0.0783328798956852","0.100035616199439"
"Teilzeit","1992","46-65","Ländlicher Raum","90","0.0734443510994493","0.059569984705289","0.0873187174936097"
"Teilzeit","1992","66","Städtischer Raum","","","",""
"Teilzeit","1992","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1992","17-29","Städtischer Raum","820","0.33833204349122","0.319222766628439","0.357441320354"
"nicht erwerbstätig","1992","17-29","Ländlicher Raum","410","0.339936266866984","0.312932084093681","0.366940449640287"
"nicht erwerbstätig","1992","30-45","Städtischer Raum","559","0.201575159003836","0.186468128217","0.216682189790673"
"nicht erwerbstätig","1992","30-45","Ländlicher Raum","291","0.195237403161144","0.17518468971248","0.215290116609807"
"nicht erwerbstätig","1992","46-65","Städtischer Raum","1066","0.409131717654243","0.390411880452909","0.427851554855576"
"nicht erwerbstätig","1992","46-65","Ländlicher Raum","599","0.455631886755855","0.429143738403401","0.482120035108308"
"nicht erwerbstätig","1992","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1992","66","Ländlicher Raum","","","",""
"Andere","1992","17-29","Städtischer Raum","330","0.140831436252325","0.126782558657938","0.154880313846712"
"Andere","1992","17-29","Ländlicher Raum","191","0.167954712634984","0.146643462210883","0.189265963059084"
"Andere","1992","30-45","Städtischer Raum","59","0.021690687466355","0.0162051606724257","0.0271762142602844"
"Andere","1992","30-45","Ländlicher Raum","21","","",""
"Andere","1992","46-65","Städtischer Raum","37","0.0166916081035867","0.0118138628318597","0.0215693533753138"
"Andere","1992","46-65","Ländlicher Raum","15","","",""
"Andere","1992","66","Städtischer Raum","","","",""
"Andere","1992","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1993","17-29","Städtischer Raum","1047","0.453875078659687","0.433589818595313","0.474160338724061"
"voll erwerbstätig","1993","17-29","Ländlicher Raum","523","0.456510481790397","0.427944600124259","0.485076363456534"
"voll erwerbstätig","1993","30-45","Städtischer Raum","1761","0.645881518078178","0.627865670921734","0.663897365234621"
"voll erwerbstätig","1993","30-45","Ländlicher Raum","1023","0.66022079179286","0.63617980622021","0.684261777365509"
"voll erwerbstätig","1993","46-65","Städtischer Raum","1314","0.490843351096864","0.471679072956518","0.51000762923721"
"voll erwerbstätig","1993","46-65","Ländlicher Raum","585","0.414692546103818","0.388274541957938","0.441110550249698"
"voll erwerbstätig","1993","66","Städtischer Raum","","","",""
"voll erwerbstätig","1993","66","Ländlicher Raum","","","",""
"Teilzeit","1993","17-29","Städtischer Raum","94","0.0403179651785596","0.0323034104500952","0.0483325199070241"
"Teilzeit","1993","17-29","Ländlicher Raum","48","0.0421649418902452","0.0306397600278671","0.0536901237526232"
"Teilzeit","1993","30-45","Städtischer Raum","339","0.134164902470114","0.12132561224424","0.147004192695988"
"Teilzeit","1993","30-45","Ländlicher Raum","142","0.119645593024748","0.103172073540224","0.136119112509272"
"Teilzeit","1993","46-65","Städtischer Raum","200","0.0828333546824326","0.0722670762479271","0.0933996331169381"
"Teilzeit","1993","46-65","Ländlicher Raum","88","0.0780666672961341","0.0636810851822939","0.0924522494099743"
"Teilzeit","1993","66","Städtischer Raum","","","",""
"Teilzeit","1993","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","1993","17-29","Städtischer Raum","837","0.354227606528454","0.33474050025393","0.373714712802978"
"nicht erwerbstätig","1993","17-29","Ländlicher Raum","395","0.329306537471766","0.302354668758413","0.356258406185119"
"nicht erwerbstätig","1993","30-45","Städtischer Raum","552","0.1986882478407","0.183657146280608","0.213719349400792"
"nicht erwerbstätig","1993","30-45","Ländlicher Raum","285","0.185837247761679","0.166093423961861","0.205581071561496"
"nicht erwerbstätig","1993","46-65","Städtischer Raum","1052","0.402803518173515","0.384001669746973","0.421605366600056"
"nicht erwerbstätig","1993","46-65","Ländlicher Raum","650","0.495826007279226","0.469015827080024","0.522636187478429"
"nicht erwerbstätig","1993","66","Städtischer Raum","","","",""
"nicht erwerbstätig","1993","66","Ländlicher Raum","","","",""
"Andere","1993","17-29","Städtischer Raum","336","0.151579349633299","0.136967942279547","0.166190756987051"
"Andere","1993","17-29","Ländlicher Raum","202","0.172018038847592","0.150374707754123","0.193661369941061"
"Andere","1993","30-45","Städtischer Raum","55","0.0212653316110081","0.0158306697378774","0.0266999934841389"
"Andere","1993","30-45","Ländlicher Raum","41","0.0342963674207143","0.0250588501493705","0.0435338846920581"
"Andere","1993","46-65","Städtischer Raum","48","0.0235197760471887","0.0177102110282451","0.0293293410661324"
"Andere","1993","46-65","Ländlicher Raum","13","","",""
"Andere","1993","66","Städtischer Raum","","","",""
"Andere","1993","66","Ländlicher Raum","","","",""
"voll erwerbstätig","1994","17-29","Städtischer Raum","995","0.448058536591598","0.427446254385733","0.468670818797463"
"voll erwerbstätig","1994","17-29","Ländlicher Raum","464","0.414644133491566","0.385635587495755","0.443652679487377"
"voll erwerbstätig","1994","30-45","Städtischer Raum","1699","0.632450591425127","0.614207059528257","0.650694123321997"
"voll erwerbstätig","1994","30-45","Ländlicher Raum","978","0.635502980692376","0.610857626433064","0.660148334951688"
"voll erwerbstätig","1994","46-65","Städtischer Raum","1235","0.474437991246124","0.455098501433234","0.493777481059015"
"voll erwerbstätig","1994","46-65","Ländlicher Raum","600","0.423884803165727","0.397306476032428","0.450463130299026"
"voll erwerbstätig","1994","66","Städtischer Raum","","","",""
"voll erwerbstätig","1994","66","Ländlicher Raum","","","",""
"Teilzeit","1994","17-29","Städtischer Raum","84","0.0379384794797278","0.0300197852385111","0.0458571737209445"
"Teilzeit","1994","17-29","Ländlicher Raum","47","0.0490444352435501","0.0363283569899744","0.0617605134971257"
"Teilzeit","1994","30-45","Städtischer Raum","310","0.123791406534309","0.111329434924374","0.136253378144244"
"Teilzeit","1994","30-45","Ländlicher Raum","144","0.118499167726352","0.101949156524328","0.135049178928375"
"Teilzeit","1994","46-65","Städtischer Raum","207","0.0848014448338157","0.0740119132518515","0.0955909764157799"
"Teilzeit","1994","46-65","Ländlicher Raum","84","0.0682125937276613","0.0546532161784613","0.0817719712768613"
