"erwst","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1994","35-65","2237","","",""
"nicht erwerbstätig","1994","66 +","1467","","",""
"Teilzeit","1994","17-34","280","","",""
"Teilzeit","1994","35-65","596","0.0983638101814612","0.0911703719463776","0.105557248416545"
"Teilzeit","1994","66 +","7","0.00429891864973175","0.000979150283465313","0.00761868701599819"
"voll erwerbstätig","1994","17-34","2363","","",""
"voll erwerbstätig","1994","35-65","3608","0.525927293312885","0.513866149079174","0.537988437546596"
"voll erwerbstätig","1994","66 +","12","","",""
"Andere","1995","17-34","563","0.112345884189862","0.103531721576049","0.121160046803674"
"Andere","1995","35-65","171","","",""
"Andere","1995","66 +","11","","",""
"nicht erwerbstätig","1995","17-34","1649","","",""
"nicht erwerbstätig","1995","35-65","2291","","",""
"nicht erwerbstätig","1995","66 +","1490","","",""
"Teilzeit","1995","17-34","294","","",""
"Teilzeit","1995","35-65","673","0.103250709800549","0.0960343233413688","0.110467096259729"
"Teilzeit","1995","66 +","9","0.00800979594008888","0.00353157844212865","0.0124880134380491"
"voll erwerbstätig","1995","17-34","2425","","",""
"voll erwerbstätig","1995","35-65","3695","0.516999436453259","0.50514839293873","0.528850479967789"
"voll erwerbstätig","1995","66 +","12","","",""
"Andere","1996","17-34","530","0.109660334968972","0.100781857086234","0.11853881285171"
"Andere","1996","35-65","161","","",""
"Andere","1996","66 +","14","","",""
"nicht erwerbstätig","1996","17-34","1627","","",""
"nicht erwerbstätig","1996","35-65","2257","","",""
"nicht erwerbstätig","1996","66 +","1509","","",""
"Teilzeit","1996","17-34","299","","",""
"Teilzeit","1996","35-65","744","0.114419359046837","0.106821039928823","0.12201767816485"
"Teilzeit","1996","66 +","11","","",""
"voll erwerbstätig","1996","17-34","2302","","",""
"voll erwerbstätig","1996","35-65","3580","0.511245667389097","0.49931365083169","0.523177683946505"
"voll erwerbstätig","1996","66 +","13","","",""
"Andere","1997","17-34","523","0.107362177274004","0.0984229025893961","0.116301451958611"
"Andere","1997","35-65","146","","",""
"Andere","1997","66 +","13","","",""
"nicht erwerbstätig","1997","17-34","1600","","",""
"nicht erwerbstätig","1997","35-65","2286","","",""
"nicht erwerbstätig","1997","66 +","1545","","",""
"Teilzeit","1997","17-34","276","","",""
"Teilzeit","1997","35-65","706","0.111497891694319","0.10392678588378","0.119068997504858"
"Teilzeit","1997","66 +","10","","",""
"voll erwerbstätig","1997","17-34","2208","","",""
"voll erwerbstätig","1997","35-65","3501","0.504666166450767","0.492639428498707","0.516692904402827"
"voll erwerbstätig","1997","66 +","14","","",""
"Andere","1998","17-34","585","0.115263887977021","0.106286731610712","0.12424104434333"
"Andere","1998","35-65","195","","",""
"Andere","1998","66 +","16","","",""
"nicht erwerbstätig","1998","17-34","1719","","",""
"nicht erwerbstätig","1998","35-65","2576","","",""
"nicht erwerbstätig","1998","66 +","1814","","",""
"Teilzeit","1998","17-34","263","","",""
"Teilzeit","1998","35-65","833","0.116420615269752","0.109172599011794","0.123668631527709"
"Teilzeit","1998","66 +","14","","",""
"voll erwerbstätig","1998","17-34","2294","","",""
"voll erwerbstätig","1998","35-65","3918","0.507059081855895","0.495760910840888","0.518357252870902"
"voll erwerbstätig","1998","66 +","11","","",""
"Andere","1999","17-34","633","0.141150970326763","0.131079455572239","0.151222485081286"
"Andere","1999","35-65","248","","",""
"Andere","1999","66 +","18","","",""
"nicht erwerbstätig","1999","17-34","1490","","",""
"nicht erwerbstätig","1999","35-65","2372","","",""
"nicht erwerbstätig","1999","66 +","1754","","",""
"Teilzeit","1999","17-34","288","","",""
"Teilzeit","1999","35-65","816","0.112172329330768","0.104925127942206","0.119419530719331"
"Teilzeit","1999","66 +","12","","",""
"voll erwerbstätig","1999","17-34","2180","","",""
"voll erwerbstätig","1999","35-65","3848","0.519347292010991","0.507873479342862","0.530821104679119"
"voll erwerbstätig","1999","66 +","15","","",""
"Andere","2000","17-34","992","0.137341259299224","0.12931956166089","0.145362956937558"
"Andere","2000","35-65","467","0.0365135537113724","0.0333421846227506","0.0396849227999941"
"Andere","2000","66 +","32","0.010304500668902","0.00700428633954079","0.0136047149982632"
"nicht erwerbstätig","2000","17-34","2405","","",""
"nicht erwerbstätig","2000","35-65","4413","0.320898584384399","0.31300547446284","0.328791694305957"
"nicht erwerbstätig","2000","66 +","3506","0.971570842817853","0.966139626494213","0.977002059141492"
"Teilzeit","2000","17-34","520","0.0745089625089097","0.0683891709712907","0.0806287540465288"
"Teilzeit","2000","35-65","1685","","",""
"Teilzeit","2000","66 +","27","","",""
"voll erwerbstätig","2000","17-34","3156","0.467944664038135","0.456316211805729","0.479573116270541"
"voll erwerbstätig","2000","35-65","6872","0.516122575303954","0.507672880156472","0.524572270451435"
"voll erwerbstätig","2000","66 +","32","0.00978096033249797","0.00656482542984173","0.0129970952351542"
"Andere","2001","17-34","968","0.153937612742231","0.144986944968983","0.162888280515479"
"Andere","2001","35-65","448","0.0365141348992804","0.0331962971447209","0.0398319726538399"
"Andere","2001","66 +","42","0.0128624282684629","0.0090743160792663","0.0166505404576596"
"nicht erwerbstätig","2001","17-34","2142","","",""
"nicht erwerbstätig","2001","35-65","3897","0.315652275404263","0.307430893191577","0.32387365761695"
"nicht erwerbstätig","2001","66 +","3308","0.973120156048345","0.967683033592758","0.978557278503931"
"Teilzeit","2001","17-34","450","0.0742381753596967","0.0677362025617616","0.0807401481576318"
"Teilzeit","2001","35-65","1587","","",""
"Teilzeit","2001","66 +","20","","",""
"voll erwerbstätig","2001","17-34","2685","","",""
"voll erwerbstätig","2001","35-65","6345","0.519500088090221","0.51066234379078","0.528337832389663"
"voll erwerbstätig","2001","66 +","29","","",""
"Andere","2002","17-34","981","0.156451299812943","0.14735936576386","0.165543233862026"
"Andere","2002","35-65","512","0.0419688379797274","0.0385612827039392","0.0453763932555156"
"Andere","2002","66 +","43","0.0109045144495088","0.0075077716422662","0.0143012572567514"
"nicht erwerbstätig","2002","17-34","2219","","",""
"nicht erwerbstätig","2002","35-65","3964","0.322019289130591","0.314078946704004","0.329959631557178"
"nicht erwerbstätig","2002","66 +","3472","0.974195842970461","0.969010131341421","0.979381554599501"
"Teilzeit","2002","17-34","420","0.0697588226956292","0.0633834003573757","0.0761342450338828"
"Teilzeit","2002","35-65","1825","","",""
"Teilzeit","2002","66 +","38","0.00851027122380945","0.00550588197700917","0.0115146604706097"
"voll erwerbstätig","2002","17-34","2513","","",""
"voll erwerbstätig","2002","35-65","7001","0.504325800129866","0.495829235417279","0.512822364842453"
"voll erwerbstätig","2002","66 +","38","0.00638937135622039","0.00378335241507202","0.00899539029736876"
"Andere","2003","17-34","931","0.149874428528856","0.140720451929903","0.15902840512781"
"Andere","2003","35-65","510","0.043262231722126","0.0397204236298534","0.0468040398143986"
"Andere","2003","66 +","54","0.0154798734041511","0.0114749182208471","0.0194848285874551"
"nicht erwerbstätig","2003","17-34","2191","","",""
"nicht erwerbstätig","2003","35-65","3833","0.324556387133994","0.316405333763096","0.332707440504892"
"nicht erwerbstätig","2003","66 +","3521","0.96847396102116","0.962805301962637","0.974142620079683"
"Teilzeit","2003","17-34","427","0.0761867532695843","0.0693831917874388","0.0829903147517299"
"Teilzeit","2003","35-65","1807","","",""
"Teilzeit","2003","66 +","35","0.00779773609941427","0.00494418251506618","0.0106512896837623"
"voll erwerbstätig","2003","17-34","2292","","",""
"voll erwerbstätig","2003","35-65","6525","0.498965968822491","0.490261481789842","0.507670455855139"
"voll erwerbstätig","2003","66 +","40","0.00824842947527472","0.00531423604754052","0.0111826229030089"
"Andere","2004","17-34","904","0.158267321802368","0.148714607063126","0.167820036541611"
"Andere","2004","35-65","554","0.0470809525002314","0.0433291751707474","0.0508327298297154"
"Andere","2004","66 +","68","0.0168095109616006","0.0127003747067384","0.0209186472164629"
"nicht erwerbstätig","2004","17-34","2176","","",""
"nicht erwerbstätig","2004","35-65","3597","0.318497303274299","0.310245039530441","0.326749567018158"
"nicht erwerbstätig","2004","66 +","3609","0.966529595498008","0.960780596572604","0.972278594423412"
"Teilzeit","2004","17-34","385","0.0694964726526309","0.0628409145135215","0.0761520307917404"
"Teilzeit","2004","35-65","1761","","",""
"Teilzeit","2004","66 +","40","0.00847775221744496","0.00554722499647167","0.0114082794384182"
"voll erwerbstätig","2004","17-34","2143","","",""
"voll erwerbstätig","2004","35-65","6332","0.500369994798215","0.491513613299823","0.509226376296608"
"voll erwerbstätig","2004","66 +","43","0.00818314132294651","0.00530355609274315","0.0110627265531499"
"Andere","2005","17-34","857","0.159365055392327","0.149519459712051","0.169210651072603"
"Andere","2005","35-65","581","0.0533492837236873","0.0492637560885311","0.0574348113588434"
"Andere","2005","66 +","59","0.0143791887989418","0.0105770316873783","0.0181813459105052"
"nicht erwerbstätig","2005","17-34","2127","","",""
"nicht erwerbstätig","2005","35-65","3370","0.304476082589347","0.296110010582343","0.31284215459635"
"nicht erwerbstätig","2005","66 +","3628","0.967309017073808","0.961629589826285","0.972988444321331"
"Teilzeit","2005","17-34","350","0.0697981492908237","0.062944020168753","0.0766522784128944"
"Teilzeit","2005","35-65","1695","","",""
"Teilzeit","2005","66 +","47","0.010877707952899","0.00756485907332889","0.0141905568324691"
"voll erwerbstätig","2005","17-34","1975","","",""
"voll erwerbstätig","2005","35-65","5977","0.503644195535152","0.494554539669473","0.512733851400832"
"voll erwerbstätig","2005","66 +","32","0.00743408617435153","0.00469060864705195","0.0101775637016511"
"Andere","2006","17-34","963","0.172645696001297","0.162584907238037","0.182706484764557"
"Andere","2006","35-65","649","0.0561880337215951","0.0521375731654764","0.0602384942777138"
"Andere","2006","66 +","81","0.0150207307727931","0.0114388980154956","0.0186025635300907"
"nicht erwerbstätig","2006","17-34","2149","","",""
"nicht erwerbstätig","2006","35-65","3559","0.299697516941278","0.291639574591123","0.307755459291433"
"nicht erwerbstätig","2006","66 +","4242","0.961707890030659","0.956056926998748","0.96735885306257"
"Teilzeit","2006","17-34","365","0.0704996128421069","0.0636852298169951","0.0773139958672188"
"Teilzeit","2006","35-65","1892","","",""
"Teilzeit","2006","66 +","52","0.011922497256889","0.00872636053438102","0.0151186339793969"
"voll erwerbstätig","2006","17-34","1944","","",""
"voll erwerbstätig","2006","35-65","6317","0.506877939091729","0.498084299513036","0.515671578670423"
"voll erwerbstätig","2006","66 +","55","0.0113488819396588","0.00822967421357086","0.0144680896657468"
"Andere","2007","17-34","874","0.171256195453289","0.160853346260756","0.181659044645821"
"Andere","2007","35-65","596","0.0553616128685365","0.0511763525416333","0.0595468731954396"
"Andere","2007","66 +","79","0.0181141630733743","0.014147340135231","0.0220809860115177"
"nicht erwerbstätig","2007","17-34","1926","","",""
"nicht erwerbstätig","2007","35-65","3051","0.279749986160795","0.271534902526592","0.287965069794998"
"nicht erwerbstätig","2007","66 +","4160","0.960802163844731","0.955029833008857","0.966574494680605"
"Teilzeit","2007","17-34","394","0.0771785208972162","0.0698092235195185","0.0845478182749139"
"Teilzeit","2007","35-65","1845","","",""
"Teilzeit","2007","66 +","51","0.0118916852215383","0.00866744671239737","0.0151159237306792"
"voll erwerbstätig","2007","17-34","1844","","",""
"voll erwerbstätig","2007","35-65","5977","0.516614248620653","0.507468580721189","0.525759916520118"
"voll erwerbstätig","2007","66 +","52","0.00919198786035647","0.00635339793245418","0.0120305777882588"
"Andere","2008","17-34","841","0.183020623661273","0.171846210178733","0.194195037143813"
"Andere","2008","35-65","580","0.0594893014817833","0.0550022045234481","0.0639763984401185"
"Andere","2008","66 +","95","0.0239498108327568","0.019377843976335","0.0285217776891786"
"nicht erwerbstätig","2008","17-34","1657","","",""
"nicht erwerbstätig","2008","35-65","2661","","",""
"nicht erwerbstätig","2008","66 +","4097","0.955369484017324","0.949194759433803","0.961544208600844"
"Teilzeit","2008","17-34","334","0.0731725185774997","0.0656468926324979","0.0806981445225014"
"Teilzeit","2008","35-65","1742","","",""
"Teilzeit","2008","66 +","52","0.0110518062675144","0.0079255875633487","0.01417802497168"
"voll erwerbstätig","2008","17-34","1768","","",""
"voll erwerbstätig","2008","35-65","5692","0.535043683608016","0.52558207789903","0.544505289317002"
"voll erwerbstätig","2008","66 +","52","0.00962889888240509","0.00670876174682251","0.0125490360179877"
"Andere","2009","17-34","780","0.186157596241407","0.1743930378584","0.197922154624414"
"Andere","2009","35-65","532","0.0587417789987511","0.0541061394288286","0.0633774185686735"
"Andere","2009","66 +","109","","",""
"nicht erwerbstätig","2009","17-34","1523","","",""
"nicht erwerbstätig","2009","35-65","2408","","",""
"nicht erwerbstätig","2009","66 +","3934","0.947948385190913","0.941200707424995","0.954696062956831"
"Teilzeit","2009","17-34","311","0.0748700471651246","0.0669154074266267","0.0828246869036225"
"Teilzeit","2009","35-65","1618","","",""
"Teilzeit","2009","66 +","60","0.014073527469562","0.0104952943428615","0.0176517605962625"
"voll erwerbstätig","2009","17-34","1591","","",""
"voll erwerbstätig","2009","35-65","5326","0.54066376707545","0.530839261400262","0.550488272750638"
"voll erwerbstätig","2009","66 +","60","0.0107562717902348","0.00762278821879544","0.0138897553616741"
"Andere","2010","17-34","1081","","",""
"Andere","2010","35-65","885","0.0633989089187961","0.0592715140100722","0.0675263038275199"
"Andere","2010","66 +","100","","",""
"nicht erwerbstätig","2010","17-34","3026","0.345128534399391","0.333920070124745","0.356336998674038"
"nicht erwerbstätig","2010","35-65","3355","0.239723533004091","0.232492523850986","0.246954542157196"
"nicht erwerbstätig","2010","66 +","3814","0.952589393753385","0.946024075642641","0.959154711864129"
"Teilzeit","2010","17-34","567","0.0709131531164984","0.0648615672672255","0.0769647389657712"
"Teilzeit","2010","35-65","2431","","",""
"Teilzeit","2010","66 +","54","0.0124029307872079","0.00898378825829345","0.0158220733161224"
"voll erwerbstätig","2010","17-34","2237","","",""
"voll erwerbstätig","2010","35-65","6719","0.539106601844071","0.530663629411005","0.547549574277136"
"voll erwerbstätig","2010","66 +","57","0.0116836581106387","0.00836392968659329","0.0150033865346842"
"Andere","2011","17-34","1191","","",""
"Andere","2011","35-65","1011","","",""
"Andere","2011","66 +","100","","",""
"nicht erwerbstätig","2011","17-34","2980","","",""
"nicht erwerbstätig","2011","35-65","3944","0.233906452051662","0.227435437202547","0.240377466900778"
"nicht erwerbstätig","2011","66 +","4918","0.957488008446745","0.951974066034144","0.963001950859346"
"Teilzeit","2011","17-34","744","0.0748619394271992","0.0688303174420775","0.080893561412321"
"Teilzeit","2011","35-65","3125","0.155890473537386","0.150345243305902","0.16143570376887"
"Teilzeit","2011","66 +","69","0.0116945776128661","0.00875640241641893","0.0146327528093132"
"voll erwerbstätig","2011","17-34","2398","","",""
"voll erwerbstätig","2011","35-65","8359","0.551784375679563","0.544182187975728","0.559386563383398"
"voll erwerbstätig","2011","66 +","56","0.0097209864178761","0.00703951121763061","0.0124024616181216"
"Andere","2012","17-34","1257","","",""
"Andere","2012","35-65","987","0.0534040458912269","0.0499312634097326","0.0568768283727213"
"Andere","2012","66 +","146","","",""
"nicht erwerbstätig","2012","17-34","2697","","",""
"nicht erwerbstätig","2012","35-65","3723","0.236718600147409","0.230153116688643","0.243284083606175"
"nicht erwerbstätig","2012","66 +","4921","0.948415456014288","0.942406530322994","0.954424381705582"
"Teilzeit","2012","17-34","667","0.0784468202697519","0.0720833030450534","0.0848103374944504"
"Teilzeit","2012","35-65","3198","0.160591831208073","0.154920872296247","0.166262790119899"
"Teilzeit","2012","66 +","82","0.0129999915528782","0.00992270572072926","0.0160772773850272"
"voll erwerbstätig","2012","17-34","2237","","",""
"voll erwerbstätig","2012","35-65","8194","0.549285522753291","0.541600272564426","0.556970772942157"
"voll erwerbstätig","2012","66 +","56","0.0107066763516342","0.0079107379403849","0.0135026147628835"
"Andere","2013","17-34","1698","","",""
"Andere","2013","35-65","1169","","",""
"Andere","2013","66 +","161","","",""
"nicht erwerbstätig","2013","17-34","3214","0.319753417903624","0.309772748692846","0.329734087114402"
"nicht erwerbstätig","2013","35-65","4065","0.232360656101719","0.226146148645856","0.238575163557581"
"nicht erwerbstätig","2013","66 +","4750","0.946947135781797","0.940762818635799","0.953131452927795"
"Teilzeit","2013","17-34","805","0.0847215513159065","0.0787622897493095","0.0906808128825035"
"Teilzeit","2013","35-65","3578","0.1667746515983","0.161289444095295","0.172259859101304"
"Teilzeit","2013","66 +","73","0.0120347973808518","0.00902619577081559","0.0150433989908879"
"voll erwerbstätig","2013","17-34","2671","","",""
"voll erwerbstätig","2013","35-65","8930","0.542707338923088","0.535376954231225","0.550037723614951"
"voll erwerbstätig","2013","66 +","62","0.00991333335803112","0.0071798217078485","0.0126468450082137"
"Andere","2014","17-34","1528","","",""
"Andere","2014","35-65","1065","","",""
"Andere","2014","66 +","187","","",""
"nicht erwerbstätig","2014","17-34","2686","","",""
"nicht erwerbstätig","2014","35-65","3429","0.224290507217997","0.217743358928363","0.23083765550763"
"nicht erwerbstätig","2014","66 +","4624","0.94084402286638","0.934273921678009","0.94741412405475"
"Teilzeit","2014","17-34","634","0.087992417505346","0.0814044866385272","0.0945803483721648"
"Teilzeit","2014","35-65","3189","0.172499980669338","0.16656969369934","0.178430267639336"
"Teilzeit","2014","66 +","80","0.0133052216850382","0.0101142981335388","0.0164961452365375"
"voll erwerbstätig","2014","17-34","2255","","",""
"voll erwerbstätig","2014","35-65","7909","0.542719689441628","0.534900239245727","0.550539139637529"
"voll erwerbstätig","2014","66 +","62","0.0105651030020683","0.00771772971322667","0.0134124762909099"
"Andere","2015","17-34","1471","","",""
"Andere","2015","35-65","989","0.0597525090724532","0.0559877249175969","0.0635172932273095"
"Andere","2015","66 +","189","","",""
"nicht erwerbstätig","2015","17-34","2728","","",""
"nicht erwerbstätig","2015","35-65","3348","0.217881013101075","0.21132428726082","0.224437738941331"
"nicht erwerbstätig","2015","66 +","4570","0.935099100291485","0.928202808706005","0.941995391876966"
"Teilzeit","2015","17-34","655","0.0868520019572073","0.0803529407467768","0.0933510631676377"
"Teilzeit","2015","35-65","3213","0.183334989654525","0.177189088505571","0.189480890803479"
"Teilzeit","2015","66 +","83","0.0134106031432417","0.0101906183939777","0.0166305878925057"
"voll erwerbstätig","2015","17-34","2359","","",""
"voll erwerbstätig","2015","35-65","7677","0.539031488171946","0.531114069423307","0.546948906920586"
"voll erwerbstätig","2015","66 +","60","0.012290931225052","0.00920654785781603","0.015375314592288"
"Andere","2016","17-34","1366","","",""
"Andere","2016","35-65","946","0.0584708457814089","0.0547545991895138","0.0621870923733041"
"Andere","2016","66 +","181","","",""
"nicht erwerbstätig","2016","17-34","3742","0.337032073359755","0.326504718677075","0.347559428042435"
"nicht erwerbstätig","2016","35-65","4095","0.203700517794722","0.19732152321836","0.210079512371083"
"nicht erwerbstätig","2016","66 +","4399","0.932664166828423","0.925529223935135","0.939799109721711"
"Teilzeit","2016","17-34","588","0.0833629996092239","0.0772066576022638","0.0895193416161839"
"Teilzeit","2016","35-65","3140","0.189708858489285","0.183498991461869","0.1959187255167"
"Teilzeit","2016","66 +","89","0.0166818982834901","0.0130354128074492","0.020328383759531"
"voll erwerbstätig","2016","17-34","2049","","",""
"voll erwerbstätig","2016","35-65","7132","0.548119777934585","0.540237216702257","0.556002339166912"
"voll erwerbstätig","2016","66 +","70","0.0135041083797279","0.0102179738827968","0.0167902428766591"
"Andere","2017","17-34","1506","","",""
"Andere","2017","35-65","1016","","",""
"Andere","2017","66 +","227","","",""
"nicht erwerbstätig","2017","17-34","4320","0.317963520806435","0.308313547885721","0.327613493727148"
"nicht erwerbstätig","2017","35-65","4528","0.201272524854191","0.195280649059447","0.207264400648934"
"nicht erwerbstätig","2017","66 +","4584","0.922522758989411","0.915108701269003","0.929936816709819"
"Teilzeit","2017","17-34","682","0.0878499598409296","0.0819840204882036","0.0937158991936556"
"Teilzeit","2017","35-65","3548","0.190391960045367","0.184524732227636","0.196259187863097"
"Teilzeit","2017","66 +","103","","",""
"voll erwerbstätig","2017","17-34","2438","","",""
"voll erwerbstätig","2017","35-65","8109","0.549433404310807","0.541997937003577","0.556868871618037"
"voll erwerbstätig","2017","66 +","81","0.0149615006113397","0.0115948773136599","0.0183281239090194"
"Andere","2018","17-34","1518","","",""
"Andere","2018","35-65","940","0.0531714237251722","0.0497354272556995","0.0566074201946449"
"Andere","2018","66 +","245","","",""
"nicht erwerbstätig","2018","17-34","3681","0.304432738081642","0.294574470422326","0.314291005740959"
