"erwst","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Teilzeit","1988","Staedtischer Raum","maennlich","41","0.0112050429659762","0.00790407084794615","0.0145060150840063"
"Teilzeit","1988","Staedtischer Raum","weiblich","494","0.119483939545299","0.10939936531036","0.129568513780239"
"voll erwerbstätig","1988","Laendlicher Raum","maennlich","669","0.606829444040209","0.576897557521027","0.63676133055939"
"voll erwerbstätig","1988","Laendlicher Raum","weiblich","277","","",""
"voll erwerbstätig","1988","Staedtischer Raum","maennlich","2608","","",""
"voll erwerbstätig","1988","Staedtischer Raum","weiblich","1093","","",""
"Andere","1989","Laendlicher Raum","maennlich","52","0.0472674027674574","0.0339947195472973","0.0605400859876175"
"Andere","1989","Laendlicher Raum","weiblich","66","0.0490404657043828","0.035662522012775","0.0624184093959907"
"Andere","1989","Staedtischer Raum","maennlich","212","","",""
"Andere","1989","Staedtischer Raum","weiblich","240","","",""
"nicht erwerbstätig","1989","Laendlicher Raum","maennlich","271","","",""
"nicht erwerbstätig","1989","Laendlicher Raum","weiblich","520","0.586391843643684","0.555883434644151","0.616900252643217"
"nicht erwerbstätig","1989","Staedtischer Raum","maennlich","966","0.302918786413646","0.28826788187938","0.317569690947912"
"nicht erwerbstätig","1989","Staedtischer Raum","weiblich","2048","","",""
"Teilzeit","1989","Laendlicher Raum","maennlich","6","0.00674132319017917","0.00162337240730491","0.0118592739730534"
"Teilzeit","1989","Laendlicher Raum","weiblich","146","","",""
"Teilzeit","1989","Staedtischer Raum","maennlich","38","0.011762033956816","0.00832462165588608","0.015199446257746"
"Teilzeit","1989","Staedtischer Raum","weiblich","483","0.118670596473835","0.108520819954419","0.128820372993252"
"voll erwerbstätig","1989","Laendlicher Raum","maennlich","653","0.612900123901493","0.582435296788695","0.643364951014292"
"voll erwerbstätig","1989","Laendlicher Raum","weiblich","269","","",""
"voll erwerbstätig","1989","Staedtischer Raum","maennlich","2563","","",""
"voll erwerbstätig","1989","Staedtischer Raum","weiblich","1129","","",""
"Andere","1990","Laendlicher Raum","maennlich","102","","",""
"Andere","1990","Laendlicher Raum","weiblich","113","","",""
"Andere","1990","Staedtischer Raum","maennlich","214","","",""
"Andere","1990","Staedtischer Raum","weiblich","229","","",""
"nicht erwerbstätig","1990","Laendlicher Raum","maennlich","471","0.27122520979","0.253265200407377","0.289185219172624"
"nicht erwerbstätig","1990","Laendlicher Raum","weiblich","963","0.484616604051758","0.465018402018644","0.504214806084871"
"nicht erwerbstätig","1990","Staedtischer Raum","maennlich","1070","","",""
"nicht erwerbstätig","1990","Staedtischer Raum","weiblich","2189","","",""
"Teilzeit","1990","Laendlicher Raum","maennlich","19","","",""
"Teilzeit","1990","Laendlicher Raum","weiblich","414","0.156585528164068","0.142334434019943","0.170836622308193"
"Teilzeit","1990","Staedtischer Raum","maennlich","61","0.0150917124019823","0.0114802976432555","0.0187031271607091"
"Teilzeit","1990","Staedtischer Raum","weiblich","632","0.132638219296002","0.122803272969557","0.142473165622446"
"voll erwerbstätig","1990","Laendlicher Raum","maennlich","1762","","",""
"voll erwerbstätig","1990","Laendlicher Raum","weiblich","1008","","",""
"voll erwerbstätig","1990","Staedtischer Raum","maennlich","3033","0.652053724979602","0.637944342769576","0.666163107189627"
"voll erwerbstätig","1990","Staedtischer Raum","weiblich","1519","","",""
"Andere","1991","Laendlicher Raum","maennlich","119","","",""
"Andere","1991","Laendlicher Raum","weiblich","127","","",""
"Andere","1991","Staedtischer Raum","maennlich","224","","",""
"Andere","1991","Staedtischer Raum","weiblich","283","","",""
"nicht erwerbstätig","1991","Laendlicher Raum","maennlich","570","0.301308214382223","0.282577215811943","0.320039212952502"
"nicht erwerbstätig","1991","Laendlicher Raum","weiblich","1104","","",""
"nicht erwerbstätig","1991","Staedtischer Raum","maennlich","1069","","",""
"nicht erwerbstätig","1991","Staedtischer Raum","weiblich","2119","","",""
"Teilzeit","1991","Laendlicher Raum","maennlich","23","","",""
"Teilzeit","1991","Laendlicher Raum","weiblich","300","0.127170947726748","0.113956962655319","0.140384932798177"
"Teilzeit","1991","Staedtischer Raum","maennlich","56","0.0150360042705215","0.0113926751447431","0.0186793333963"
"Teilzeit","1991","Staedtischer Raum","weiblich","600","0.129683544052023","0.119827203956448","0.139539884147598"
"voll erwerbstätig","1991","Laendlicher Raum","maennlich","1593","","",""
"voll erwerbstätig","1991","Laendlicher Raum","weiblich","911","0.289144165637984","0.271162776320745","0.307125554955223"
"voll erwerbstätig","1991","Staedtischer Raum","maennlich","2937","","",""
"voll erwerbstätig","1991","Staedtischer Raum","weiblich","1461","","",""
"Andere","1992","Laendlicher Raum","maennlich","113","","",""
"Andere","1992","Laendlicher Raum","weiblich","115","","",""
"Andere","1992","Staedtischer Raum","maennlich","209","","",""
"Andere","1992","Staedtischer Raum","weiblich","224","","",""
"nicht erwerbstätig","1992","Laendlicher Raum","maennlich","623","0.331259091102771","0.311609426383121","0.35090875582242"
"nicht erwerbstätig","1992","Laendlicher Raum","weiblich","1185","","",""
"nicht erwerbstätig","1992","Staedtischer Raum","maennlich","1141","","",""
"nicht erwerbstätig","1992","Staedtischer Raum","weiblich","2212","","",""
"Teilzeit","1992","Laendlicher Raum","maennlich","18","","",""
"Teilzeit","1992","Laendlicher Raum","weiblich","265","","",""
"Teilzeit","1992","Staedtischer Raum","maennlich","53","0.0142333242856841","0.010652288719135","0.0178143598522333"
"Teilzeit","1992","Staedtischer Raum","weiblich","604","0.133010028154184","0.12301914978421","0.143000906524159"
"voll erwerbstätig","1992","Laendlicher Raum","maennlich","1450","","",""
"voll erwerbstätig","1992","Laendlicher Raum","weiblich","787","0.26097813320275","0.243229695240341","0.278726571165159"
"voll erwerbstätig","1992","Staedtischer Raum","maennlich","2800","","",""
"voll erwerbstätig","1992","Staedtischer Raum","weiblich","1398","","",""
"Andere","1993","Laendlicher Raum","maennlich","120","","",""
"Andere","1993","Laendlicher Raum","weiblich","139","","",""
"Andere","1993","Staedtischer Raum","maennlich","202","","",""
"Andere","1993","Staedtischer Raum","weiblich","246","","",""
"nicht erwerbstätig","1993","Laendlicher Raum","maennlich","661","0.34893942655338","0.328935927134551","0.368942925972208"
"nicht erwerbstätig","1993","Laendlicher Raum","weiblich","1190","","",""
"nicht erwerbstätig","1993","Staedtischer Raum","maennlich","1186","","",""
"nicht erwerbstätig","1993","Staedtischer Raum","weiblich","2178","","",""
"Teilzeit","1993","Laendlicher Raum","maennlich","17","","",""
"Teilzeit","1993","Laendlicher Raum","weiblich","263","","",""
"Teilzeit","1993","Staedtischer Raum","maennlich","44","0.0128232632546459","0.00941409066154589","0.0162324358477459"
"Teilzeit","1993","Staedtischer Raum","weiblich","594","0.133404514358912","0.123348858551756","0.143460170166067"
"voll erwerbstätig","1993","Laendlicher Raum","maennlich","1383","","",""
"voll erwerbstätig","1993","Laendlicher Raum","weiblich","752","0.252510853837273","0.23492304413308","0.270098663541465"
"voll erwerbstätig","1993","Staedtischer Raum","maennlich","2752","","",""
"voll erwerbstätig","1993","Staedtischer Raum","weiblich","1374","","",""
"Andere","1994","Laendlicher Raum","maennlich","110","","",""
"Andere","1994","Laendlicher Raum","weiblich","155","","",""
"Andere","1994","Staedtischer Raum","maennlich","173","","",""
"Andere","1994","Staedtischer Raum","weiblich","252","","",""
"nicht erwerbstätig","1994","Laendlicher Raum","maennlich","673","0.363337441594334","0.342940868841839","0.383734014346829"
"nicht erwerbstätig","1994","Laendlicher Raum","weiblich","1161","","",""
"nicht erwerbstätig","1994","Staedtischer Raum","maennlich","1226","","",""
"nicht erwerbstätig","1994","Staedtischer Raum","weiblich","2257","","",""
"Teilzeit","1994","Laendlicher Raum","maennlich","18","","",""
"Teilzeit","1994","Laendlicher Raum","weiblich","260","","",""
"Teilzeit","1994","Staedtischer Raum","maennlich","41","0.0130361726782542","0.00955522970440793","0.0165171156521005"
"Teilzeit","1994","Staedtischer Raum","weiblich","564","0.126485385993198","0.116631377084408","0.136339394901989"
"voll erwerbstätig","1994","Laendlicher Raum","maennlich","1335","","",""
"voll erwerbstätig","1994","Laendlicher Raum","weiblich","711","0.246106050746687","0.228452531993918","0.263759569499456"
"voll erwerbstätig","1994","Staedtischer Raum","maennlich","2639","","",""
"voll erwerbstätig","1994","Staedtischer Raum","weiblich","1298","","",""
"Andere","1995","Laendlicher Raum","maennlich","135","","",""
"Andere","1995","Laendlicher Raum","weiblich","149","","",""
"Andere","1995","Staedtischer Raum","maennlich","181","","",""
"Andere","1995","Staedtischer Raum","weiblich","280","","",""
"nicht erwerbstätig","1995","Laendlicher Raum","maennlich","675","0.354778900310719","0.334876531223543","0.374681269397895"
"nicht erwerbstätig","1995","Laendlicher Raum","weiblich","1164","","",""
"nicht erwerbstätig","1995","Staedtischer Raum","maennlich","1256","","",""
"nicht erwerbstätig","1995","Staedtischer Raum","weiblich","2335","","",""
"Teilzeit","1995","Laendlicher Raum","maennlich","20","","",""
"Teilzeit","1995","Laendlicher Raum","weiblich","293","","",""
"Teilzeit","1995","Staedtischer Raum","maennlich","54","0.0188173225528904","0.0147030322669227","0.0229316128388582"
"Teilzeit","1995","Staedtischer Raum","weiblich","609","0.126165788133733","0.11647960584163","0.135851970425836"
"voll erwerbstätig","1995","Laendlicher Raum","maennlich","1390","","",""
"voll erwerbstätig","1995","Laendlicher Raum","weiblich","753","0.25257384632163","0.235040595131114","0.270107097512145"
"voll erwerbstätig","1995","Staedtischer Raum","maennlich","2699","","",""
"voll erwerbstätig","1995","Staedtischer Raum","weiblich","1290","","",""
"Andere","1996","Laendlicher Raum","maennlich","113","","",""
"Andere","1996","Laendlicher Raum","weiblich","142","","",""
"Andere","1996","Staedtischer Raum","maennlich","185","","",""
"Andere","1996","Staedtischer Raum","weiblich","265","","",""
"nicht erwerbstätig","1996","Laendlicher Raum","maennlich","706","0.371003037457114","0.3508308103403","0.391175264573927"
"nicht erwerbstätig","1996","Laendlicher Raum","weiblich","1170","","",""
"nicht erwerbstätig","1996","Staedtischer Raum","maennlich","1243","","",""
"nicht erwerbstätig","1996","Staedtischer Raum","weiblich","2274","","",""
"Teilzeit","1996","Laendlicher Raum","maennlich","28","","",""
"Teilzeit","1996","Laendlicher Raum","weiblich","305","0.139578897022749","0.125519617259159","0.153638176786339"
"Teilzeit","1996","Staedtischer Raum","maennlich","75","0.0226802630817953","0.0181174905787192","0.0272430355848714"
"Teilzeit","1996","Staedtischer Raum","weiblich","646","0.136522208626793","0.126400258452627","0.146644158800959"
"voll erwerbstätig","1996","Laendlicher Raum","maennlich","1356","","",""
"voll erwerbstätig","1996","Laendlicher Raum","weiblich","717","0.24218447700359","0.224804365221644","0.259564588785536"
"voll erwerbstätig","1996","Staedtischer Raum","maennlich","2587","","",""
"voll erwerbstätig","1996","Staedtischer Raum","weiblich","1235","","",""
"Andere","1997","Laendlicher Raum","maennlich","111","","",""
"Andere","1997","Laendlicher Raum","weiblich","132","","",""
"Andere","1997","Staedtischer Raum","maennlich","180","","",""
"Andere","1997","Staedtischer Raum","weiblich","259","","",""
"nicht erwerbstätig","1997","Laendlicher Raum","maennlich","704","0.384220221357744","0.363731164803479","0.40470927791201"
"nicht erwerbstätig","1997","Laendlicher Raum","weiblich","1179","","",""
"nicht erwerbstätig","1997","Staedtischer Raum","maennlich","1307","","",""
"nicht erwerbstätig","1997","Staedtischer Raum","weiblich","2240","","",""
"Teilzeit","1997","Laendlicher Raum","maennlich","21","","",""
"Teilzeit","1997","Laendlicher Raum","weiblich","280","","",""
"Teilzeit","1997","Staedtischer Raum","maennlich","72","0.023202383207424","0.0185618828158416","0.0278428835990065"
"Teilzeit","1997","Staedtischer Raum","weiblich","619","0.140181339830466","0.129823816758789","0.150538862902143"
"voll erwerbstätig","1997","Laendlicher Raum","maennlich","1329","","",""
"voll erwerbstätig","1997","Laendlicher Raum","weiblich","712","0.244126977261761","0.226582782830142","0.26167117169338"
"voll erwerbstätig","1997","Staedtischer Raum","maennlich","2484","","",""
"voll erwerbstätig","1997","Staedtischer Raum","weiblich","1198","","",""
"Andere","1998","Laendlicher Raum","maennlich","147","","",""
"Andere","1998","Laendlicher Raum","weiblich","166","","",""
"Andere","1998","Staedtischer Raum","maennlich","213","","",""
"Andere","1998","Staedtischer Raum","weiblich","270","","",""
"nicht erwerbstätig","1998","Laendlicher Raum","maennlich","832","0.387229374345481","0.367849706945218","0.406609041745743"
"nicht erwerbstätig","1998","Laendlicher Raum","weiblich","1320","","",""
"nicht erwerbstätig","1998","Staedtischer Raum","maennlich","1442","","",""
"nicht erwerbstätig","1998","Staedtischer Raum","weiblich","2515","","",""
"Teilzeit","1998","Laendlicher Raum","maennlich","24","","",""
"Teilzeit","1998","Laendlicher Raum","weiblich","317","0.125775976357958","0.112908212608202","0.138643740107714"
"Teilzeit","1998","Staedtischer Raum","maennlich","82","0.0241605820909155","0.0196547515482089","0.0286664126336221"
"Teilzeit","1998","Staedtischer Raum","weiblich","687","0.140936695803321","0.131092112396716","0.150781279209926"
"voll erwerbstätig","1998","Laendlicher Raum","maennlich","1424","","",""
"voll erwerbstätig","1998","Laendlicher Raum","weiblich","748","0.231882502967462","0.215505264208522","0.248259741726402"
"voll erwerbstätig","1998","Staedtischer Raum","maennlich","2724","","",""
"voll erwerbstätig","1998","Staedtischer Raum","weiblich","1327","","",""
"Andere","1999","Laendlicher Raum","maennlich","132","","",""
"Andere","1999","Laendlicher Raum","weiblich","200","","",""
"Andere","1999","Staedtischer Raum","maennlich","238","","",""
"Andere","1999","Staedtischer Raum","weiblich","329","0.0678591781749992","0.0605816910107107","0.0751366653392877"
"nicht erwerbstätig","1999","Laendlicher Raum","maennlich","768","0.371947026431194","0.352334686808504","0.391559366053884"
"nicht erwerbstätig","1999","Laendlicher Raum","weiblich","1213","","",""
"nicht erwerbstätig","1999","Staedtischer Raum","maennlich","1329","","",""
"nicht erwerbstätig","1999","Staedtischer Raum","weiblich","2306","","",""
"Teilzeit","1999","Laendlicher Raum","maennlich","32","0.0176141715484636","0.012276364425055","0.0229519786718721"
"Teilzeit","1999","Laendlicher Raum","weiblich","345","0.132616439215567","0.119260040886892","0.145972837544241"
"Teilzeit","1999","Staedtischer Raum","maennlich","82","0.0232715618003409","0.0187527014062349","0.0277904221944469"
"Teilzeit","1999","Staedtischer Raum","weiblich","657","0.135283360680231","0.125386544906486","0.145180176453976"
"voll erwerbstätig","1999","Laendlicher Raum","maennlich","1401","","",""
"voll erwerbstätig","1999","Laendlicher Raum","weiblich","719","0.232586858998878","0.215949197258116","0.24922452073964"
"voll erwerbstätig","1999","Staedtischer Raum","maennlich","2627","","",""
"voll erwerbstätig","1999","Staedtischer Raum","weiblich","1296","","",""
"Andere","2000","Laendlicher Raum","maennlich","225","","",""
"Andere","2000","Laendlicher Raum","weiblich","346","0.0703837036826449","0.06278146834792","0.0779859390173698"
"Andere","2000","Staedtischer Raum","maennlich","377","0.0489751150061931","0.0440908284898057","0.0538594015225805"
"Andere","2000","Staedtischer Raum","weiblich","543","0.0636012640179767","0.0583114435525438","0.0688910844834097"
"nicht erwerbstätig","2000","Laendlicher Raum","maennlich","1430","","",""
"nicht erwerbstätig","2000","Laendlicher Raum","weiblich","2215","","",""
"nicht erwerbstätig","2000","Staedtischer Raum","maennlich","2482","","",""
"nicht erwerbstätig","2000","Staedtischer Raum","weiblich","4197","0.5381350361748","0.527328642289296","0.548941430060304"
"Teilzeit","2000","Laendlicher Raum","maennlich","56","0.0154706083693016","0.0116855440536946","0.0192556726849086"
"Teilzeit","2000","Laendlicher Raum","weiblich","644","0.14153844731146","0.131178655560448","0.151898239062472"
"Teilzeit","2000","Staedtischer Raum","maennlich","151","","",""
"Teilzeit","2000","Staedtischer Raum","weiblich","1381","","",""
"voll erwerbstätig","2000","Laendlicher Raum","maennlich","2373","","",""
"voll erwerbstätig","2000","Laendlicher Raum","weiblich","1144","","",""
"voll erwerbstätig","2000","Staedtischer Raum","maennlich","4490","0.584886717005839","0.573735130600732","0.596038303410945"
"voll erwerbstätig","2000","Staedtischer Raum","weiblich","2055","","",""
"Andere","2001","Laendlicher Raum","maennlich","226","","",""
"Andere","2001","Laendlicher Raum","weiblich","310","0.0690712920904472","0.0611443885972595","0.0769981955836349"
"Andere","2001","Staedtischer Raum","maennlich","350","0.0511220798001236","0.0458899363427363","0.0563542232575109"
"Andere","2001","Staedtischer Raum","weiblich","572","0.0722291123232955","0.0663567925856367","0.0781014320609544"
"nicht erwerbstätig","2001","Laendlicher Raum","maennlich","1361","","",""
"nicht erwerbstätig","2001","Laendlicher Raum","weiblich","1984","","",""
"nicht erwerbstätig","2001","Staedtischer Raum","maennlich","2262","","",""
"nicht erwerbstätig","2001","Staedtischer Raum","weiblich","3740","0.528672468854598","0.517348779765692","0.539996157943504"
"Teilzeit","2001","Laendlicher Raum","maennlich","48","0.0135344572217452","0.00982034706647185","0.0172485673770186"
"Teilzeit","2001","Laendlicher Raum","weiblich","597","0.147275629815218","0.136197502526873","0.158353757103562"
"Teilzeit","2001","Staedtischer Raum","maennlich","142","","",""
"Teilzeit","2001","Staedtischer Raum","weiblich","1270","","",""
"voll erwerbstätig","2001","Laendlicher Raum","maennlich","2083","","",""
"voll erwerbstätig","2001","Laendlicher Raum","weiblich","1040","","",""
"voll erwerbstätig","2001","Staedtischer Raum","maennlich","4053","0.577816533290808","0.566083351252062","0.589549715329554"
"voll erwerbstätig","2001","Staedtischer Raum","weiblich","1883","","",""
"Andere","2002","Laendlicher Raum","maennlich","235","","",""
"Andere","2002","Laendlicher Raum","weiblich","314","0.075250541750157","0.0670715040603276","0.0834295794399865"
"Andere","2002","Staedtischer Raum","maennlich","362","0.0500544825946513","0.045064272055858","0.0550446931334446"
"Andere","2002","Staedtischer Raum","weiblich","625","0.0752026044374267","0.0693883793622893","0.081016829512564"
"nicht erwerbstätig","2002","Laendlicher Raum","maennlich","1419","","",""
"nicht erwerbstätig","2002","Laendlicher Raum","weiblich","1968","","",""
"nicht erwerbstätig","2002","Staedtischer Raum","maennlich","2449","","",""
"nicht erwerbstätig","2002","Staedtischer Raum","weiblich","3819","0.537081375180404","0.526088166469356","0.548074583891453"
"Teilzeit","2002","Laendlicher Raum","maennlich","51","0.0129130917040172","0.00931968196708802","0.0165065014409464"
"Teilzeit","2002","Laendlicher Raum","weiblich","641","0.152294036863982","0.141153671876827","0.163434401851137"
"Teilzeit","2002","Staedtischer Raum","maennlich","147","","",""
"Teilzeit","2002","Staedtischer Raum","weiblich","1444","","",""
"voll erwerbstätig","2002","Laendlicher Raum","maennlich","2087","","",""
"voll erwerbstätig","2002","Laendlicher Raum","weiblich","1073","","",""
"voll erwerbstätig","2002","Staedtischer Raum","maennlich","4377","0.556878326063646","0.545510178927923","0.568246473199369"
"voll erwerbstätig","2002","Staedtischer Raum","weiblich","2015","","",""
"Andere","2003","Laendlicher Raum","maennlich","232","","",""
"Andere","2003","Laendlicher Raum","weiblich","303","0.0727066771889226","0.0645015992121079","0.0809117551657373"
"Andere","2003","Staedtischer Raum","maennlich","357","0.0477229254415493","0.0427495361180244","0.0526963147650741"
"Andere","2003","Staedtischer Raum","weiblich","603","0.076009431796694","0.0700677131057598","0.0819511504876283"
"nicht erwerbstätig","2003","Laendlicher Raum","maennlich","1381","","",""
"nicht erwerbstätig","2003","Laendlicher Raum","weiblich","1912","","",""
"nicht erwerbstätig","2003","Staedtischer Raum","maennlich","2513","","",""
"nicht erwerbstätig","2003","Staedtischer Raum","weiblich","3739","0.540007376112787","0.528833088273226","0.551181663952349"
"Teilzeit","2003","Laendlicher Raum","maennlich","56","0.0174375429064799","0.0131729603406768","0.0217021254722831"
"Teilzeit","2003","Laendlicher Raum","weiblich","648","0.159237425670933","0.147675071788228","0.170799779553638"
"Teilzeit","2003","Staedtischer Raum","maennlich","157","","",""
"Teilzeit","2003","Staedtischer Raum","weiblich","1408","","",""
"voll erwerbstätig","2003","Laendlicher Raum","maennlich","1950","","",""
"voll erwerbstätig","2003","Laendlicher Raum","weiblich","984","0.222170363686859","0.209034086495899","0.23530664087782"
"voll erwerbstätig","2003","Staedtischer Raum","maennlich","4031","0.541116651522834","0.529491359725003","0.552741943320664"
"voll erwerbstätig","2003","Staedtischer Raum","weiblich","1892","","",""
"Andere","2004","Laendlicher Raum","maennlich","212","","",""
"Andere","2004","Laendlicher Raum","weiblich","327","0.0777960247893136","0.0692368697459875","0.0863551798326397"
"Andere","2004","Staedtischer Raum","maennlich","359","0.0498206497172006","0.0446686172088541","0.0549726822255472"
"Andere","2004","Staedtischer Raum","weiblich","628","0.0847056642772402","0.078391376026399","0.0910199525280814"
"nicht erwerbstätig","2004","Laendlicher Raum","maennlich","1378","","",""
"nicht erwerbstätig","2004","Laendlicher Raum","weiblich","1879","","",""
"nicht erwerbstätig","2004","Staedtischer Raum","maennlich","2464","","",""
"nicht erwerbstätig","2004","Staedtischer Raum","weiblich","3661","0.534490232745732","0.523178683889296","0.545801781602168"
"Teilzeit","2004","Laendlicher Raum","maennlich","70","0.0194324367961617","0.0148781051242202","0.0239867684681032"
"Teilzeit","2004","Laendlicher Raum","weiblich","613","0.148842370306543","0.137468533767944","0.160216206845141"
"Teilzeit","2004","Staedtischer Raum","maennlich","143","","",""
"Teilzeit","2004","Staedtischer Raum","weiblich","1360","","",""
"voll erwerbstätig","2004","Laendlicher Raum","maennlich","1869","","",""
"voll erwerbstätig","2004","Laendlicher Raum","weiblich","943","0.219936095465698","0.206700239208432","0.233171951722965"
"voll erwerbstätig","2004","Staedtischer Raum","maennlich","3885","0.536870347312447","0.525062870261195","0.548677824363698"
"voll erwerbstätig","2004","Staedtischer Raum","weiblich","1821","","",""
"Andere","2005","Laendlicher Raum","maennlich","187","","",""
"Andere","2005","Laendlicher Raum","weiblich","315","0.0811223262792167","0.0722247261424891","0.0900199264159443"
"Andere","2005","Staedtischer Raum","maennlich","354","0.0556219299345332","0.0500685727902316","0.0611752870788348"
"Andere","2005","Staedtischer Raum","weiblich","641","0.0883696705383925","0.0818054012147317","0.0949339398620533"
"nicht erwerbstätig","2005","Laendlicher Raum","maennlich","1360","","",""
"nicht erwerbstätig","2005","Laendlicher Raum","weiblich","1809","","",""
"nicht erwerbstätig","2005","Staedtischer Raum","maennlich","2404","","",""
"nicht erwerbstätig","2005","Staedtischer Raum","weiblich","3552","0.530048258868534","0.518505497208911","0.541591020528157"
"Teilzeit","2005","Laendlicher Raum","maennlich","54","0.0158272518803571","0.0116046946984724","0.0200498090622418"
"Teilzeit","2005","Laendlicher Raum","weiblich","603","0.153900412004726","0.14214048923413","0.165660334775321"
"Teilzeit","2005","Staedtischer Raum","maennlich","161","","",""
"Teilzeit","2005","Staedtischer Raum","weiblich","1274","","",""
