"erwst","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1993","Westdeutschland","512","0.0499178699723366","0.045485153260847","0.0543505866838262"
"Andere","1993","Ostdeutschland","195","","",""
"voll erwerbstätig","1994","Westdeutschland","4142","0.418390126051103","0.408253773119729","0.428526478982477"
"voll erwerbstätig","1994","Ostdeutschland","1841","","",""
"Teilzeit","1994","Westdeutschland","708","0.0779296112099641","0.0724214274905185","0.0834377949294098"
"Teilzeit","1994","Ostdeutschland","175","","",""
"nicht erwerbstätig","1994","Westdeutschland","3760","0.455332043006969","0.445098991858416","0.465565094155521"
"nicht erwerbstätig","1994","Ostdeutschland","1557","","",""
"Andere","1994","Westdeutschland","488","0.0483482197319646","0.0439405971387242","0.052755842325205"
"Andere","1994","Ostdeutschland","202","","",""
"voll erwerbstätig","1995","Westdeutschland","4328","0.410515505045674","0.400669960008814","0.420361050082534"
"voll erwerbstätig","1995","Ostdeutschland","1804","","",""
"Teilzeit","1995","Westdeutschland","763","0.079075795010825","0.0736748156856961","0.084476774335954"
"Teilzeit","1995","Ostdeutschland","213","","",""
"nicht erwerbstätig","1995","Westdeutschland","3950","0.459260082494817","0.44928624351907","0.469233921470563"
"nicht erwerbstätig","1995","Ostdeutschland","1480","","",""
"Andere","1995","Westdeutschland","549","0.0511486174486841","0.0467394678491954","0.0555577670481728"
"Andere","1995","Ostdeutschland","196","","",""
"voll erwerbstätig","1996","Westdeutschland","4162","0.405493739590848","0.395548600253242","0.415438878928453"
"voll erwerbstätig","1996","Ostdeutschland","1733","","",""
"Teilzeit","1996","Westdeutschland","841","0.0882514889535111","0.0825058394261093","0.0939971384809128"
"Teilzeit","1996","Ostdeutschland","213","","",""
"nicht erwerbstätig","1996","Westdeutschland","3851","0.457513547637977","0.447422482556503","0.46760461271945"
"nicht erwerbstätig","1996","Ostdeutschland","1542","","",""
"Andere","1996","Westdeutschland","509","0.0487412238176644","0.0443797011661078","0.053102746469221"
"Andere","1996","Ostdeutschland","196","","",""
"voll erwerbstätig","1997","Westdeutschland","4035","0.401085772169132","0.391067408683691","0.411104135654573"
"voll erwerbstätig","1997","Ostdeutschland","1688","","",""
"Teilzeit","1997","Westdeutschland","797","0.0863382359867951","0.0805972015476915","0.0920792704258987"
"Teilzeit","1997","Ostdeutschland","195","","",""
"nicht erwerbstätig","1997","Westdeutschland","3868","0.46743816536139","0.457239509304739","0.477636821418042"
"nicht erwerbstätig","1997","Ostdeutschland","1563","","",""
"Andere","1997","Westdeutschland","494","0.0451378264826829","0.0408942062896891","0.0493814466756767"
"Andere","1997","Ostdeutschland","188","","",""
"voll erwerbstätig","1998","Westdeutschland","4485","0.400070480237987","0.390642595336511","0.409498365139463"
"voll erwerbstätig","1998","Ostdeutschland","1738","","",""
"Teilzeit","1998","Westdeutschland","907","0.0876991603638444","0.0822558555189562","0.0931424652087326"
"Teilzeit","1998","Ostdeutschland","203","","",""
"nicht erwerbstätig","1998","Westdeutschland","4407","0.464883625090943","0.455285373113967","0.47448187706792"
"nicht erwerbstätig","1998","Ostdeutschland","1702","","",""
"Andere","1998","Westdeutschland","574","0.0473467343072254","0.0432596993999456","0.0514337692145052"
"Andere","1998","Ostdeutschland","222","","",""
"voll erwerbstätig","1999","Westdeutschland","4327","0.405295914510845","0.39562061174609","0.414971217275599"
"voll erwerbstätig","1999","Ostdeutschland","1716","","",""
"Teilzeit","1999","Westdeutschland","887","0.0853316862484452","0.0798259554707515","0.0908374170261389"
"Teilzeit","1999","Ostdeutschland","229","","",""
"nicht erwerbstätig","1999","Westdeutschland","4003","0.446106575594123","0.436310313246454","0.455902837941793"
"nicht erwerbstätig","1999","Ostdeutschland","1613","","",""
"Andere","1999","Westdeutschland","674","0.0632658236465866","0.0584682598774352","0.0680633874157381"
"Andere","1999","Ostdeutschland","225","","",""
"voll erwerbstätig","2000","Westdeutschland","7570","0.4059215748414","0.398798745247839","0.41304440443496"
"voll erwerbstätig","2000","Ostdeutschland","2492","","",""
"Teilzeit","2000","Westdeutschland","1864","","",""
"Teilzeit","2000","Ostdeutschland","368","0.0586546807513353","0.0526333015326409","0.0646760599700297"
"nicht erwerbstätig","2000","Westdeutschland","7681","0.438687387320593","0.431489756431636","0.445885018209549"
"nicht erwerbstätig","2000","Ostdeutschland","2643","","",""
"Andere","2000","Westdeutschland","1144","","",""
"Andere","2000","Ostdeutschland","347","0.0550987660180912","0.0492517497476687","0.0609457822885138"
"voll erwerbstätig","2001","Westdeutschland","6788","0.401976088029749","0.394491811460748","0.40946036459875"
"voll erwerbstätig","2001","Ostdeutschland","2271","","",""
"Teilzeit","2001","Westdeutschland","1699","","",""
"Teilzeit","2001","Ostdeutschland","358","0.0614125906403554","0.0550297443220327","0.0677954369586781"
"nicht erwerbstätig","2001","Westdeutschland","6879","0.438474710556886","0.430900325516674","0.446049095597098"
"nicht erwerbstätig","2001","Ostdeutschland","2468","","",""
"Andere","2001","Westdeutschland","1120","","",""
"Andere","2001","Ostdeutschland","338","0.0564514199368539","0.0503156667069503","0.0625871731667575"
"voll erwerbstätig","2002","Westdeutschland","7306","0.387799600994417","0.380600483574413","0.394998718414421"
"voll erwerbstätig","2002","Ostdeutschland","2246","","",""
"Teilzeit","2002","Westdeutschland","1930","","",""
"Teilzeit","2002","Ostdeutschland","353","0.0612345007043761","0.0548567899216716","0.0676122114870805"
"nicht erwerbstätig","2002","Westdeutschland","7158","0.448995818275968","0.441646833130579","0.456344803421357"
"nicht erwerbstätig","2002","Ostdeutschland","2497","","",""
"Andere","2002","Westdeutschland","1203","","",""
"Andere","2002","Ostdeutschland","333","0.0572716686554093","0.0510907736252194","0.0634525636855992"
"voll erwerbstätig","2003","Westdeutschland","6763","0.380536206653975","0.373199262171635","0.387873151136315"
"voll erwerbstätig","2003","Ostdeutschland","2094","","",""
"Teilzeit","2003","Westdeutschland","1878","","",""
"Teilzeit","2003","Ostdeutschland","391","0.0674411021658742","0.0607172937414076","0.0741649105903408"
"nicht erwerbstätig","2003","Westdeutschland","7009","0.455796110147037","0.448269916215975","0.463322304078098"
"nicht erwerbstätig","2003","Ostdeutschland","2536","","",""
"Andere","2003","Westdeutschland","1172","","",""
"Andere","2003","Ostdeutschland","323","0.0553374725804799","0.0492074387642455","0.0614675063967143"
"voll erwerbstätig","2004","Westdeutschland","6490","0.376874778978198","0.369455562115298","0.384293995841099"
"voll erwerbstätig","2004","Ostdeutschland","2028","","",""
"Teilzeit","2004","Westdeutschland","1789","","",""
"Teilzeit","2004","Ostdeutschland","397","0.0733768167350787","0.0663051938522019","0.0804484396179555"
"nicht erwerbstätig","2004","Westdeutschland","6915","0.460668586120615","0.453037365297864","0.468299806943366"
"nicht erwerbstätig","2004","Ostdeutschland","2467","","",""
"Andere","2004","Westdeutschland","1195","","",""
"Andere","2004","Ostdeutschland","331","0.0651635591711916","0.0584699817155241","0.0718571366268591"
"voll erwerbstätig","2005","Westdeutschland","6083","0.374537786694313","0.366957481265249","0.382118092123377"
"voll erwerbstätig","2005","Ostdeutschland","1901","","",""
"Teilzeit","2005","Westdeutschland","1700","","",""
"Teilzeit","2005","Ostdeutschland","392","0.071776760976444","0.0646485546423514","0.0789049673105366"
"nicht erwerbstätig","2005","Westdeutschland","6682","0.45185745851988","0.44406300218523","0.45965191485453"
"nicht erwerbstätig","2005","Ostdeutschland","2443","","",""
"Andere","2005","Westdeutschland","1196","","",""
"Andere","2005","Ostdeutschland","301","0.0568219338263608","0.0504287533151411","0.0632151143375805"
"voll erwerbstätig","2006","Westdeutschland","6367","0.372049598433928","0.364762709776041","0.379336487091814"
"voll erwerbstätig","2006","Ostdeutschland","1949","","",""
"Teilzeit","2006","Westdeutschland","1887","","",""
"Teilzeit","2006","Ostdeutschland","422","0.0681751170509231","0.0614313454253941","0.0749188886764521"
"nicht erwerbstätig","2006","Westdeutschland","7336","0.45264117330846","0.445137185267913","0.460145161349008"
"nicht erwerbstätig","2006","Ostdeutschland","2614","","",""
"Andere","2006","Westdeutschland","1312","","",""
"Andere","2006","Ostdeutschland","381","0.0706764908805107","0.0638193399623456","0.0775336417986757"
"voll erwerbstätig","2007","Westdeutschland","5974","0.375749284829825","0.368187708005494","0.383310861654157"
"voll erwerbstätig","2007","Ostdeutschland","1899","","",""
"Teilzeit","2007","Westdeutschland","1856","","",""
"Teilzeit","2007","Ostdeutschland","434","0.0787543654533396","0.0713546632933379","0.0861540676133413"
"nicht erwerbstätig","2007","Westdeutschland","6719","0.442369865399961","0.434615439536073","0.450124291263848"
"nicht erwerbstätig","2007","Ostdeutschland","2418","","",""
"Andere","2007","Westdeutschland","1210","","",""
"Andere","2007","Ostdeutschland","339","0.0668164358189387","0.0599565893927257","0.0736762822451516"
"voll erwerbstätig","2008","Westdeutschland","5633","0.38386447493112","0.376019566710164","0.391709383152077"
"voll erwerbstätig","2008","Ostdeutschland","1879","","",""
"Teilzeit","2008","Westdeutschland","1747","","",""
"Teilzeit","2008","Ostdeutschland","381","0.072295857531947","0.0649755838852786","0.0796161311786154"
"nicht erwerbstätig","2008","Westdeutschland","6180","0.42686063819868","0.418881904801889","0.43483937159547"
"nicht erwerbstätig","2008","Ostdeutschland","2235","","",""
"Andere","2008","Westdeutschland","1203","","",""
"Andere","2008","Ostdeutschland","313","0.0673631281131776","0.060278235446507","0.0744480207798483"
"voll erwerbstätig","2009","Westdeutschland","5210","0.385117791492963","0.376963878880683","0.393271704105243"
"voll erwerbstätig","2009","Ostdeutschland","1767","","",""
"Teilzeit","2009","Westdeutschland","1590","","",""
"Teilzeit","2009","Ostdeutschland","399","0.0807011040518148","0.0728041775062897","0.0885980305973398"
"nicht erwerbstätig","2009","Westdeutschland","5740","0.426113795820816","0.417827718379124","0.434399873262509"
"nicht erwerbstätig","2009","Ostdeutschland","2125","","",""
"Andere","2009","Westdeutschland","1142","","",""
"Andere","2009","Ostdeutschland","279","","",""
"voll erwerbstätig","2010","Westdeutschland","6874","0.378071237901815","0.371141595339601","0.385000880464029"
"voll erwerbstätig","2010","Ostdeutschland","2139","","",""
"Teilzeit","2010","Westdeutschland","2490","","",""
"Teilzeit","2010","Ostdeutschland","562","0.0885397114396485","0.0810429465794989","0.0960364762997982"
"nicht erwerbstätig","2010","Westdeutschland","7750","0.428225382745536","0.421154032763846","0.435296732727225"
"nicht erwerbstätig","2010","Ostdeutschland","2445","","",""
"Andere","2010","Westdeutschland","1696","","",""
"Andere","2010","Ostdeutschland","370","0.0649227916774227","0.058420622109042","0.0714249612458034"
"voll erwerbstätig","2011","Westdeutschland","8303","0.388303970069573","0.381937415830189","0.394670524308956"
"voll erwerbstätig","2011","Ostdeutschland","2510","","",""
"Teilzeit","2011","Westdeutschland","3251","0.105926360957011","0.101906237702695","0.109946484211327"
"Teilzeit","2011","Ostdeutschland","687","0.0822812830483697","0.0755405523922095","0.0890220137045298"
"nicht erwerbstätig","2011","Westdeutschland","9053","0.42683346244667","0.420372155980231","0.433294768913108"
"nicht erwerbstätig","2011","Ostdeutschland","2789","","",""
"Andere","2011","Westdeutschland","1904","","",""
"Andere","2011","Ostdeutschland","398","0.0652242449886059","0.0591672125159517","0.0712812774612601"
"voll erwerbstätig","2012","Westdeutschland","8064","0.388960554289457","0.382506905700406","0.395414202878509"
"voll erwerbstätig","2012","Ostdeutschland","2423","","",""
"Teilzeit","2012","Westdeutschland","3243","0.109267073483783","0.105137204074732","0.113396942892833"
"Teilzeit","2012","Ostdeutschland","704","0.0870484749812117","0.0800561583429844","0.094040791619439"
"nicht erwerbstätig","2012","Westdeutschland","8623","0.419680953827265","0.413147979487936","0.426213928166595"
"nicht erwerbstätig","2012","Ostdeutschland","2718","","",""
"Andere","2012","Westdeutschland","1991","","",""
"Andere","2012","Ostdeutschland","399","0.0624820369376147","0.0564788200747274","0.0684852538005021"
"voll erwerbstätig","2013","Westdeutschland","9289","0.37816807656614","0.372153805796752","0.384182347335528"
"voll erwerbstätig","2013","Ostdeutschland","2374","","",""
"Teilzeit","2013","Westdeutschland","3683","0.111444857993523","0.107542058435504","0.115347657551543"
"Teilzeit","2013","Ostdeutschland","773","0.101872382900719","0.0943443853693298","0.109400380432108"
"nicht erwerbstätig","2013","Westdeutschland","9408","0.421186510318976","0.415062857138367","0.427310163499585"
"nicht erwerbstätig","2013","Ostdeutschland","2621","","",""
"Andere","2013","Westdeutschland","2594","","",""
"Andere","2013","Ostdeutschland","434","0.0629165484087097","0.0568735317846219","0.0689595650327976"
"voll erwerbstätig","2014","Westdeutschland","8081","0.376133246156616","0.369729396164301","0.382537096148931"
"voll erwerbstätig","2014","Ostdeutschland","2145","","",""
"Teilzeit","2014","Westdeutschland","3230","0.116125589711609","0.111890295210593","0.120360884212624"
"Teilzeit","2014","Ostdeutschland","673","0.100492594758317","0.0926647737544311","0.108320415762203"
"nicht erwerbstätig","2014","Westdeutschland","8276","0.41256250209396","0.406054464144151","0.41907054004377"
"nicht erwerbstätig","2014","Ostdeutschland","2463","","",""
"Andere","2014","Westdeutschland","2394","","",""
"Andere","2014","Ostdeutschland","386","0.0634921343264269","0.0571433998698864","0.0698408687829674"
"voll erwerbstätig","2015","Westdeutschland","8043","0.377330014794241","0.370902371481999","0.383757658106483"
"voll erwerbstätig","2015","Ostdeutschland","2053","","",""
"Teilzeit","2015","Westdeutschland","3286","0.120765597558731","0.116444579513174","0.125086615604288"
"Teilzeit","2015","Ostdeutschland","665","0.108513435284785","0.100290556534551","0.116736314035019"
"nicht erwerbstätig","2015","Westdeutschland","8258","0.409151454599627","0.402631534681868","0.415671374517386"
"nicht erwerbstätig","2015","Ostdeutschland","2388","","",""
"Andere","2015","Westdeutschland","2259","","",""
"Andere","2015","Ostdeutschland","390","0.067462694682593","0.0608315320647643","0.0740938573004217"
"voll erwerbstätig","2016","Westdeutschland","7310","0.383567180281552","0.377164727141782","0.389969633421322"
"voll erwerbstätig","2016","Ostdeutschland","1941","","",""
"Teilzeit","2016","Westdeutschland","3150","0.123249077749309","0.1189208234728","0.127577332025818"
"Teilzeit","2016","Ostdeutschland","667","0.117759695453947","0.109346929094084","0.126172461813811"
"nicht erwerbstätig","2016","Westdeutschland","9579","0.405579944030203","0.399114955263395","0.412044932797012"
"nicht erwerbstätig","2016","Ostdeutschland","2657","","",""
"Andere","2016","Westdeutschland","2119","","",""
"Andere","2016","Ostdeutschland","374","0.0660188971981381","0.0595377748334808","0.0725000195627954"
"voll erwerbstätig","2017","Westdeutschland","8341","0.383477158642161","0.377434617555974","0.389519699728349"
"voll erwerbstätig","2017","Ostdeutschland","2287","","",""
"Teilzeit","2017","Westdeutschland","3613","0.124842885133676","0.120735171227008","0.128950599040343"
"Teilzeit","2017","Ostdeutschland","720","0.114996032728275","0.107098387245675","0.122893678210875"
"nicht erwerbstätig","2017","Westdeutschland","10576","","",""
"nicht erwerbstätig","2017","Ostdeutschland","2856","","",""
"Andere","2017","Westdeutschland","2344","","",""
"Andere","2017","Ostdeutschland","405","0.0582843616801396","0.0524844749687969","0.0640842483914822"
"voll erwerbstätig","2018","Westdeutschland","8033","0.388553065909844","0.382340460016451","0.394765671803237"
"voll erwerbstätig","2018","Ostdeutschland","2219","","",""
"Teilzeit","2018","Westdeutschland","3611","0.132815382358412","0.128489753841802","0.137141010875021"
"Teilzeit","2018","Ostdeutschland","751","0.115022094645755","0.107032000535118","0.123012188756392"
"nicht erwerbstätig","2018","Westdeutschland","9732","0.390491401571165","0.384273198450145","0.396709604692184"
"nicht erwerbstätig","2018","Ostdeutschland","2722","","",""
"Andere","2018","Westdeutschland","2270","","",""
"Andere","2018","Ostdeutschland","433","0.0650153066711101","0.0588407596431061","0.0711898536991141"
"voll erwerbstätig","2019","Westdeutschland","8712","0.391691715381985","0.385447212789988","0.397936217973981"
"voll erwerbstätig","2019","Ostdeutschland","2458","","",""
"Teilzeit","2019","Westdeutschland","3701","0.142659173694373","0.13818523121326","0.147133116175486"
"Teilzeit","2019","Ostdeutschland","732","0.118325695283294","0.110229536848121","0.126421853718467"
"nicht erwerbstätig","2019","Westdeutschland","8913","0.385507110149319","0.379280690056578","0.391733530242059"
"nicht erwerbstätig","2019","Ostdeutschland","2512","","",""
"Andere","2019","Westdeutschland","2147","","",""
"Andere","2019","Ostdeutschland","412","0.0630555405299292","0.0569629228839693","0.069148158175889"
"voll erwerbstätig","2020","Westdeutschland","9333","0.389537740931602","0.383374191973132","0.395701289890073"
"voll erwerbstätig","2020","Ostdeutschland","2344","","",""
"Teilzeit","2020","Westdeutschland","3600","0.141834374825044","0.137424736441673","0.146244013208415"
"Teilzeit","2020","Ostdeutschland","752","0.126020577940617","0.117591529586309","0.134449626294925"
"nicht erwerbstätig","2020","Westdeutschland","8997","0.389974953291168","0.383810155154178","0.396139751428157"
"nicht erwerbstätig","2020","Ostdeutschland","2480","","",""
"Andere","2020","Westdeutschland","2116","","",""
"Andere","2020","Ostdeutschland","379","0.0653977665209889","0.0591185989432852","0.0716769340986926"
