"erwst","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1992","66 +","Ostdeutschland","2","","",""
"Teilzeit","1992","17-34","Westdeutschland","238","","",""
"Teilzeit","1992","17-34","Ostdeutschland","66","0.0437406210807493","0.0330045091491189","0.0544767330123798"
"Teilzeit","1992","35-65","Westdeutschland","539","0.120159197017832","0.110860579824447","0.129457814211217"
"Teilzeit","1992","35-65","Ostdeutschland","92","0.0364943816105522","0.0286426213183126","0.0443461419027918"
"Teilzeit","1992","66 +","Westdeutschland","7","0.00568147846810156","0.00115251618052846","0.0102104407556747"
"Teilzeit","1992","66 +","Ostdeutschland","1","","",""
"nicht erwerbstätig","1992","17-34","Westdeutschland","1148","","",""
"nicht erwerbstätig","1992","17-34","Ostdeutschland","421","0.298780343732928","0.274752225725961","0.322808461739896"
"nicht erwerbstätig","1992","35-65","Westdeutschland","1474","","",""
"nicht erwerbstätig","1992","35-65","Ostdeutschland","733","0.387783267318006","0.367381206745208","0.408185327890804"
"nicht erwerbstätig","1992","66 +","Westdeutschland","1036","","",""
"nicht erwerbstätig","1992","66 +","Ostdeutschland","387","0.986447133790575","0.974986406052864","0.997907861528285"
"Andere","1992","17-34","Westdeutschland","408","0.11624255927617","0.105750695715915","0.126734422836425"
"Andere","1992","17-34","Ostdeutschland","148","","",""
"Andere","1992","35-65","Westdeutschland","84","0.0187801661196653","0.014898030663564","0.0226623015757666"
"Andere","1992","35-65","Ostdeutschland","22","","",""
"Andere","1992","66 +","Westdeutschland","7","0.00516174940212984","0.000843776099677946","0.00947972270458173"
"Andere","1992","66 +","Ostdeutschland","1","","",""
"voll erwerbstätig","1993","17-34","Westdeutschland","1777","","",""
"voll erwerbstätig","1993","17-34","Ostdeutschland","692","0.538709941328763","0.51190899412775","0.565510888529777"
"voll erwerbstätig","1993","35-65","Westdeutschland","2554","","",""
"voll erwerbstätig","1993","35-65","Ostdeutschland","1230","","",""
"voll erwerbstätig","1993","66 +","Westdeutschland","7","0.00428957085257447","0.000397261824991032","0.00818187988015791"
"voll erwerbstätig","1993","66 +","Ostdeutschland","1","","",""
"Teilzeit","1993","17-34","Westdeutschland","222","","",""
"Teilzeit","1993","17-34","Ostdeutschland","68","0.0485475119640874","0.0369927063880554","0.0601023175401195"
"Teilzeit","1993","35-65","Westdeutschland","535","0.118776701055874","0.109453739534189","0.128099662577558"
"Teilzeit","1993","35-65","Ostdeutschland","86","0.0366891606916606","0.0286713971116808","0.0447069242716405"
"Teilzeit","1993","66 +","Westdeutschland","7","0.00552870332332082","0.00111257553531034","0.0099448311113313"
"Teilzeit","1993","66 +","Ostdeutschland","","","",""
"nicht erwerbstätig","1993","17-34","Westdeutschland","1154","","",""
"nicht erwerbstätig","1993","17-34","Ostdeutschland","396","0.287938000317004","0.263593884951901","0.312282115682108"
"nicht erwerbstätig","1993","35-65","Westdeutschland","1445","","",""
"nicht erwerbstätig","1993","35-65","Ostdeutschland","776","0.426234241362224","0.405143462637493","0.447325020086956"
"nicht erwerbstätig","1993","66 +","Westdeutschland","1059","","",""
"nicht erwerbstätig","1993","66 +","Ostdeutschland","385","0.991581082077855","0.982489813622289","1.00067235053342"
"Andere","1993","17-34","Westdeutschland","410","0.117758437028262","0.107174921456119","0.128341952600406"
"Andere","1993","17-34","Ostdeutschland","173","","",""
"Andere","1993","35-65","Westdeutschland","92","0.0230431266338498","0.0187194453144866","0.027366807953213"
"Andere","1993","35-65","Ostdeutschland","20","","",""
"Andere","1993","66 +","Westdeutschland","10","","",""
"Andere","1993","66 +","Ostdeutschland","2","","",""
"voll erwerbstätig","1994","17-34","Westdeutschland","1741","","",""
"voll erwerbstätig","1994","17-34","Ostdeutschland","622","0.512821761100507","0.485375035498858","0.540268486702156"
"voll erwerbstätig","1994","35-65","Westdeutschland","2390","","",""
"voll erwerbstätig","1994","35-65","Ostdeutschland","1218","","",""
"voll erwerbstätig","1994","66 +","Westdeutschland","11","","",""
"voll erwerbstätig","1994","66 +","Ostdeutschland","1","","",""
"Teilzeit","1994","17-34","Westdeutschland","210","","",""
"Teilzeit","1994","17-34","Ostdeutschland","70","0.0545088153113569","0.0420428621534468","0.066974768469267"
"Teilzeit","1994","35-65","Westdeutschland","491","0.112292901146234","0.103048652537247","0.121537149755221"
"Teilzeit","1994","35-65","Ostdeutschland","105","","",""
"Teilzeit","1994","66 +","Westdeutschland","7","0.00522012278883369","0.000949971272992169","0.00949027430467522"
"Teilzeit","1994","66 +","Ostdeutschland","","","",""
"nicht erwerbstätig","1994","17-34","Westdeutschland","1207","","",""
"nicht erwerbstätig","1994","17-34","Ostdeutschland","406","0.3131462213474","0.287679730196074","0.338612712498726"
"nicht erwerbstätig","1994","35-65","Westdeutschland","1483","","",""
"nicht erwerbstätig","1994","35-65","Ostdeutschland","754","0.413989475444432","0.392938326072562","0.435040624816303"
"nicht erwerbstätig","1994","66 +","Westdeutschland","1070","","",""
"nicht erwerbstätig","1994","66 +","Ostdeutschland","397","0.996303945519378","0.990342224322224","1.00226566671653"
"Andere","1994","17-34","Westdeutschland","365","0.106578435724583","0.0963888939149637","0.116767977534202"
"Andere","1994","17-34","Ostdeutschland","176","","",""
"Andere","1994","35-65","Westdeutschland","117","","",""
"Andere","1994","35-65","Ostdeutschland","26","","",""
"Andere","1994","66 +","Westdeutschland","6","0.00499290484530251","0.000816244456422539","0.00916956523418248"
"Andere","1994","66 +","Ostdeutschland","","","",""
"voll erwerbstätig","1995","17-34","Westdeutschland","1823","","",""
"voll erwerbstätig","1995","17-34","Ostdeutschland","602","0.527833063625389","0.499933872186207","0.555732255064571"
"voll erwerbstätig","1995","35-65","Westdeutschland","2494","","",""
"voll erwerbstätig","1995","35-65","Ostdeutschland","1201","","",""
"voll erwerbstätig","1995","66 +","Westdeutschland","11","","",""
"voll erwerbstätig","1995","66 +","Ostdeutschland","1","","",""
"Teilzeit","1995","17-34","Westdeutschland","220","","",""
"Teilzeit","1995","17-34","Ostdeutschland","74","0.0602090542030107","0.0469154707535844","0.073502637652437"
"Teilzeit","1995","35-65","Westdeutschland","534","0.114218141944941","0.105193524325137","0.123242759564746"
"Teilzeit","1995","35-65","Ostdeutschland","139","","",""
"Teilzeit","1995","66 +","Westdeutschland","9","0.0097739806131041","0.00400466353763936","0.0155432976885688"
"Teilzeit","1995","66 +","Ostdeutschland","","","",""
"nicht erwerbstätig","1995","17-34","Westdeutschland","1266","","",""
"nicht erwerbstätig","1995","17-34","Ostdeutschland","383","0.290334238118423","0.264967093276207","0.315701382960639"
"nicht erwerbstätig","1995","35-65","Westdeutschland","1598","","",""
"nicht erwerbstätig","1995","35-65","Ostdeutschland","693","0.393051231026356","0.371949115142424","0.414153346910288"
"nicht erwerbstätig","1995","66 +","Westdeutschland","1086","","",""
"nicht erwerbstätig","1995","66 +","Ostdeutschland","404","0.996210339460881","0.990226275089806","1.00219440383196"
"Andere","1995","17-34","Westdeutschland","392","0.110117880085444","0.100032698785574","0.120203061385314"
"Andere","1995","17-34","Ostdeutschland","171","","",""
"Andere","1995","35-65","Westdeutschland","146","","",""
"Andere","1995","35-65","Ostdeutschland","25","","",""
"Andere","1995","66 +","Westdeutschland","11","","",""
"Andere","1995","66 +","Ostdeutschland","","","",""
"voll erwerbstätig","1996","17-34","Westdeutschland","1752","","",""
"voll erwerbstätig","1996","17-34","Ostdeutschland","550","0.484384039194311","0.45600156192752","0.512766516461101"
"voll erwerbstätig","1996","35-65","Westdeutschland","2397","","",""
"voll erwerbstätig","1996","35-65","Ostdeutschland","1183","","",""
"voll erwerbstätig","1996","66 +","Westdeutschland","13","","",""
"voll erwerbstätig","1996","66 +","Ostdeutschland","","","",""
"Teilzeit","1996","17-34","Westdeutschland","238","","",""
"Teilzeit","1996","17-34","Ostdeutschland","61","0.0576477199277954","0.044410709208755","0.0708847306468358"
"Teilzeit","1996","35-65","Westdeutschland","594","0.126807946081659","0.11726115734167","0.136354734821648"
"Teilzeit","1996","35-65","Ostdeutschland","150","","",""
"Teilzeit","1996","66 +","Westdeutschland","9","0.00972222902376537","0.00399871753409136","0.0154457405134394"
"Teilzeit","1996","66 +","Ostdeutschland","2","","",""
"nicht erwerbstätig","1996","17-34","Westdeutschland","1224","","",""
"nicht erwerbstätig","1996","17-34","Ostdeutschland","403","0.33408036497739","0.307293086273546","0.360867643681235"
"nicht erwerbstätig","1996","35-65","Westdeutschland","1533","","",""
"nicht erwerbstätig","1996","35-65","Ostdeutschland","724","0.401485397008542","0.380393711220763","0.422577082796321"
"nicht erwerbstätig","1996","66 +","Westdeutschland","1094","","",""
"nicht erwerbstätig","1996","66 +","Ostdeutschland","415","0.995909532183746","0.989790871287719","1.00202819307977"
"Andere","1996","17-34","Westdeutschland","353","0.106319569782354","0.0962039088077287","0.11643523075698"
"Andere","1996","17-34","Ostdeutschland","177","","",""
"Andere","1996","35-65","Westdeutschland","143","","",""
"Andere","1996","35-65","Ostdeutschland","18","","",""
"Andere","1996","66 +","Westdeutschland","13","","",""
"Andere","1996","66 +","Ostdeutschland","1","","",""
"voll erwerbstätig","1997","17-34","Westdeutschland","1670","","",""
"voll erwerbstätig","1997","17-34","Ostdeutschland","538","0.483802315933709","0.455093611227628","0.51251102063979"
"voll erwerbstätig","1997","35-65","Westdeutschland","2351","","",""
"voll erwerbstätig","1997","35-65","Ostdeutschland","1150","","",""
"voll erwerbstätig","1997","66 +","Westdeutschland","14","","",""
"voll erwerbstätig","1997","66 +","Ostdeutschland","","","",""
"Teilzeit","1997","17-34","Westdeutschland","226","","",""
"Teilzeit","1997","17-34","Ostdeutschland","50","0.0551064251003004","0.0419975879635073","0.0682152622370934"
"Teilzeit","1997","35-65","Westdeutschland","563","0.122951848727693","0.113467390587529","0.132436306867857"
"Teilzeit","1997","35-65","Ostdeutschland","143","","",""
"Teilzeit","1997","66 +","Westdeutschland","8","0.00868986392472746","0.00331624278816255","0.0140634850612924"
"Teilzeit","1997","66 +","Ostdeutschland","2","","",""
"nicht erwerbstätig","1997","17-34","Westdeutschland","1184","","",""
"nicht erwerbstätig","1997","17-34","Ostdeutschland","416","0.352374887895852","0.324931614229298","0.379818161562405"
"nicht erwerbstätig","1997","35-65","Westdeutschland","1571","","",""
"nicht erwerbstätig","1997","35-65","Ostdeutschland","715","0.416206764569233","0.394784927433655","0.437628601704811"
"nicht erwerbstätig","1997","66 +","Westdeutschland","1113","","",""
"nicht erwerbstätig","1997","66 +","Ostdeutschland","432","0.991048176542559","0.982207042315288","0.999889310769831"
"Andere","1997","17-34","Westdeutschland","363","0.10703830110735","0.0967115050779116","0.117365097136789"
"Andere","1997","17-34","Ostdeutschland","160","","",""
"Andere","1997","35-65","Westdeutschland","120","","",""
"Andere","1997","35-65","Ostdeutschland","26","","",""
"Andere","1997","66 +","Westdeutschland","11","","",""
"Andere","1997","66 +","Ostdeutschland","2","","",""
"voll erwerbstätig","1998","17-34","Westdeutschland","1755","","",""
"voll erwerbstätig","1998","17-34","Ostdeutschland","539","0.467017667351881","0.438883265543883","0.49515206915988"
"voll erwerbstätig","1998","35-65","Westdeutschland","2719","","",""
"voll erwerbstätig","1998","35-65","Ostdeutschland","1199","","",""
"voll erwerbstätig","1998","66 +","Westdeutschland","11","","",""
"voll erwerbstätig","1998","66 +","Ostdeutschland","","","",""
"Teilzeit","1998","17-34","Westdeutschland","218","","",""
"Teilzeit","1998","17-34","Ostdeutschland","45","0.0491034947772217","0.0369181604081349","0.0612888291463085"
"Teilzeit","1998","35-65","Westdeutschland","676","0.128854215676355","0.119868096002952","0.137840335349758"
"Teilzeit","1998","35-65","Ostdeutschland","157","","",""
"Teilzeit","1998","66 +","Westdeutschland","13","","",""
"Teilzeit","1998","66 +","Ostdeutschland","1","","",""
"nicht erwerbstätig","1998","17-34","Westdeutschland","1285","","",""
"nicht erwerbstätig","1998","17-34","Ostdeutschland","434","0.351337970300606","0.324417266713412","0.378258673887801"
"nicht erwerbstätig","1998","35-65","Westdeutschland","1778","","",""
"nicht erwerbstätig","1998","35-65","Ostdeutschland","798","0.419711353944705","0.399004309606558","0.440418398282853"
"nicht erwerbstätig","1998","66 +","Westdeutschland","1344","","",""
"nicht erwerbstätig","1998","66 +","Ostdeutschland","470","0.991778208519287","0.983657539759095","0.999898877279479"
"Andere","1998","17-34","Westdeutschland","395","0.111115651290734","0.100924259382037","0.12130704319943"
"Andere","1998","17-34","Ostdeutschland","190","","",""
"Andere","1998","35-65","Westdeutschland","167","","",""
"Andere","1998","35-65","Ostdeutschland","28","","",""
"Andere","1998","66 +","Westdeutschland","12","","",""
"Andere","1998","66 +","Ostdeutschland","4","0.0065381716936459","-0.000709608922940426","0.0137859523102322"
"voll erwerbstätig","1999","17-34","Westdeutschland","1657","","",""
"voll erwerbstätig","1999","17-34","Ostdeutschland","523","0.460286313433091","0.431738990367873","0.488833636498309"
"voll erwerbstätig","1999","35-65","Westdeutschland","2656","","",""
"voll erwerbstätig","1999","35-65","Ostdeutschland","1192","","",""
"voll erwerbstätig","1999","66 +","Westdeutschland","14","","",""
"voll erwerbstätig","1999","66 +","Ostdeutschland","1","","",""
"Teilzeit","1999","17-34","Westdeutschland","232","","",""
"Teilzeit","1999","17-34","Ostdeutschland","56","0.061568296792507","0.0478009722963295","0.0753356212886845"
"Teilzeit","1999","35-65","Westdeutschland","644","0.121601586913406","0.11268072063982","0.130522453186992"
"Teilzeit","1999","35-65","Ostdeutschland","172","","",""
"Teilzeit","1999","66 +","Westdeutschland","11","","",""
"Teilzeit","1999","66 +","Ostdeutschland","1","","",""
"nicht erwerbstätig","1999","17-34","Westdeutschland","1080","","",""
"nicht erwerbstätig","1999","17-34","Ostdeutschland","410","0.35001451860519","0.322695537289553","0.377333499920828"
"nicht erwerbstätig","1999","35-65","Westdeutschland","1648","","",""
"nicht erwerbstätig","1999","35-65","Ostdeutschland","724","0.382227007686223","0.361580936356075","0.40287307901637"
"nicht erwerbstätig","1999","66 +","Westdeutschland","1275","","",""
"nicht erwerbstätig","1999","66 +","Ostdeutschland","479","0.992153081870781","0.984292325908499","1.00001383783306"
"Andere","1999","17-34","Westdeutschland","451","0.144243645507505","0.132468712381561","0.156018578633449"
"Andere","1999","17-34","Ostdeutschland","182","","",""
