"erwst","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1986","Hauptschule","Staedtischer Raum","217","","",""
"Andere","1986","Realschule","Laendlicher Raum","51","0.115606335720954","0.0839530581017758","0.147259613340133"
"Andere","1986","Realschule","Staedtischer Raum","127","","",""
"nicht erwerbstätig","1986","(Fach-)Abitur","Laendlicher Raum","54","0.519077057986042","0.430418259676617","0.607735856295466"
"nicht erwerbstätig","1986","(Fach-)Abitur","Staedtischer Raum","315","0.488025917677613","0.45062076216534","0.525431073189885"
"nicht erwerbstätig","1986","(noch) kein Abschluss","Laendlicher Raum","71","0.738938281889523","0.662849823443775","0.815026740335272"
"nicht erwerbstätig","1986","(noch) kein Abschluss","Staedtischer Raum","477","0.670904163508627","0.64020558445217","0.701602742565085"
"nicht erwerbstätig","1986","AkademikerIn","Laendlicher Raum","29","","",""
"nicht erwerbstätig","1986","AkademikerIn","Staedtischer Raum","135","","",""
"nicht erwerbstätig","1986","Hauptschule","Laendlicher Raum","653","0.50191357824235","0.476379890597488","0.527447265887213"
"nicht erwerbstätig","1986","Hauptschule","Staedtischer Raum","1875","","",""
"nicht erwerbstätig","1986","Realschule","Laendlicher Raum","131","","",""
"nicht erwerbstätig","1986","Realschule","Staedtischer Raum","525","0.41802140881291","0.391998171958039","0.444044645667781"
"Teilzeit","1986","(Fach-)Abitur","Laendlicher Raum","8","0.064693267199323","0.0210442219760514","0.108342312422595"
"Teilzeit","1986","(Fach-)Abitur","Staedtischer Raum","26","","",""
"Teilzeit","1986","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Teilzeit","1986","(noch) kein Abschluss","Staedtischer Raum","25","","",""
"Teilzeit","1986","AkademikerIn","Laendlicher Raum","11","","",""
"Teilzeit","1986","AkademikerIn","Staedtischer Raum","65","0.0950333510434484","0.0720236961464462","0.118043005940451"
"Teilzeit","1986","Hauptschule","Laendlicher Raum","89","0.0578563632284819","0.0459334922938652","0.0697792341630987"
"Teilzeit","1986","Hauptschule","Staedtischer Raum","283","","",""
"Teilzeit","1986","Realschule","Laendlicher Raum","26","","",""
"Teilzeit","1986","Realschule","Staedtischer Raum","101","","",""
"voll erwerbstätig","1986","(Fach-)Abitur","Laendlicher Raum","49","0.329490564107702","0.246085558944743","0.412895569270661"
"voll erwerbstätig","1986","(Fach-)Abitur","Staedtischer Raum","274","","",""
"voll erwerbstätig","1986","(noch) kein Abschluss","Laendlicher Raum","52","0.225735886907022","0.153310975081123","0.298160798732921"
"voll erwerbstätig","1986","(noch) kein Abschluss","Staedtischer Raum","380","0.285434251468984","0.255928887451669","0.314939615486299"
"voll erwerbstätig","1986","AkademikerIn","Laendlicher Raum","80","0.584101661475471","0.49769824842869","0.670505074522252"
"voll erwerbstätig","1986","AkademikerIn","Staedtischer Raum","404","0.641017155066667","0.60337907429909","0.678655235834245"
"voll erwerbstätig","1986","Hauptschule","Laendlicher Raum","647","0.387519316631975","0.362639934333","0.412398698930949"
"voll erwerbstätig","1986","Hauptschule","Staedtischer Raum","2242","","",""
"voll erwerbstätig","1986","Realschule","Laendlicher Raum","184","","",""
"voll erwerbstätig","1986","Realschule","Staedtischer Raum","627","0.43754422349017","0.41137060813178","0.46371783884856"
"Andere","1987","(Fach-)Abitur","Laendlicher Raum","15","","",""
"Andere","1987","(Fach-)Abitur","Staedtischer Raum","83","0.137273173912466","0.111234652476418","0.163311695348514"
"Andere","1987","(noch) kein Abschluss","Laendlicher Raum","6","0.024770960755531","-0.00258563080888642","0.0521275523199485"
"Andere","1987","(noch) kein Abschluss","Staedtischer Raum","20","","",""
"Andere","1987","AkademikerIn","Laendlicher Raum","2","","",""
"Andere","1987","AkademikerIn","Staedtischer Raum","19","","",""
"Andere","1987","Hauptschule","Laendlicher Raum","86","0.0467819007037334","0.0358976379873884","0.0576661634200785"
"Andere","1987","Hauptschule","Staedtischer Raum","190","","",""
"Andere","1987","Realschule","Laendlicher Raum","44","0.095743064865817","0.066908215808525","0.124577913923109"
"Andere","1987","Realschule","Staedtischer Raum","152","","",""
"nicht erwerbstätig","1987","(Fach-)Abitur","Laendlicher Raum","49","0.501724701588911","0.407860008888931","0.595589394288892"
"nicht erwerbstätig","1987","(Fach-)Abitur","Staedtischer Raum","290","","",""
"nicht erwerbstätig","1987","(noch) kein Abschluss","Laendlicher Raum","64","0.645307265455638","0.561100560777272","0.729513970134003"
"nicht erwerbstätig","1987","(noch) kein Abschluss","Staedtischer Raum","469","0.654362075442055","0.622904837453175","0.685819313430936"
"nicht erwerbstätig","1987","AkademikerIn","Laendlicher Raum","29","","",""
"nicht erwerbstätig","1987","AkademikerIn","Staedtischer Raum","132","","",""
"nicht erwerbstätig","1987","Hauptschule","Laendlicher Raum","603","0.484069591009861","0.458311515724715","0.509827666295008"
"nicht erwerbstätig","1987","Hauptschule","Staedtischer Raum","1879","","",""
"nicht erwerbstätig","1987","Realschule","Laendlicher Raum","127","","",""
"nicht erwerbstätig","1987","Realschule","Staedtischer Raum","492","0.391341459607844","0.365393503597568","0.41728941561812"
"Teilzeit","1987","(Fach-)Abitur","Laendlicher Raum","6","0.0639118222479731","0.0179937314598752","0.109829913036071"
"Teilzeit","1987","(Fach-)Abitur","Staedtischer Raum","33","0.0515963769500595","0.0348587826599031","0.0683339712402159"
"Teilzeit","1987","(noch) kein Abschluss","Laendlicher Raum","4","0.0578147016836749","0.0167352578979564","0.0988941454693934"
"Teilzeit","1987","(noch) kein Abschluss","Staedtischer Raum","32","0.0260003754356481","0.0154742137333923","0.0365265371379039"
"Teilzeit","1987","AkademikerIn","Laendlicher Raum","10","","",""
"Teilzeit","1987","AkademikerIn","Staedtischer Raum","39","0.0594913058805386","0.0408420283572375","0.0781405834038398"
"Teilzeit","1987","Hauptschule","Laendlicher Raum","107","","",""
"Teilzeit","1987","Hauptschule","Staedtischer Raum","308","0.0681714295433744","0.0608624919281271","0.0754803671586216"
"Teilzeit","1987","Realschule","Laendlicher Raum","43","0.100546552972882","0.0710758134617912","0.130017292483973"
"Teilzeit","1987","Realschule","Staedtischer Raum","95","0.0646792019188877","0.0516024168808362","0.0777559869569391"
"voll erwerbstätig","1987","(Fach-)Abitur","Laendlicher Raum","39","0.298746740125429","0.212820882377513","0.384672597873344"
"voll erwerbstätig","1987","(Fach-)Abitur","Staedtischer Raum","265","","",""
"voll erwerbstätig","1987","(noch) kein Abschluss","Laendlicher Raum","50","0.272107072105156","0.193774765882895","0.350439378327418"
"voll erwerbstätig","1987","(noch) kein Abschluss","Staedtischer Raum","357","0.291383643728924","0.261327102379362","0.321440185078486"
"voll erwerbstätig","1987","AkademikerIn","Laendlicher Raum","83","0.613821203442861","0.528126811007344","0.699515595878379"
"voll erwerbstätig","1987","AkademikerIn","Staedtischer Raum","428","0.660150774025547","0.622806969209513","0.697494578841581"
"voll erwerbstätig","1987","Hauptschule","Laendlicher Raum","650","0.395347633452202","0.370147293771498","0.420547973132906"
"voll erwerbstätig","1987","Hauptschule","Staedtischer Raum","2191","","",""
"voll erwerbstätig","1987","Realschule","Laendlicher Raum","186","","",""
"voll erwerbstätig","1987","Realschule","Staedtischer Raum","620","0.453575635661812","0.427107201518791","0.480044069804833"
"Andere","1988","(Fach-)Abitur","Laendlicher Raum","14","","",""
"Andere","1988","(Fach-)Abitur","Staedtischer Raum","72","0.119170683224207","0.0940698175800748","0.144271548868339"
"Andere","1988","(noch) kein Abschluss","Laendlicher Raum","4","0.00773812294332628","-0.00774742228753019","0.0232236681741827"
"Andere","1988","(noch) kein Abschluss","Staedtischer Raum","11","","",""
"Andere","1988","AkademikerIn","Laendlicher Raum","4","0.0304234253161854","-0.000966789111897046","0.0618136397442678"
"Andere","1988","AkademikerIn","Staedtischer Raum","16","","",""
"Andere","1988","Hauptschule","Laendlicher Raum","82","0.0513892156721387","0.0396202100938544","0.0631582212504231"
"Andere","1988","Hauptschule","Staedtischer Raum","207","","",""
"Andere","1988","Realschule","Laendlicher Raum","38","0.0842274435177929","0.0561926063614697","0.112262280674116"
"Andere","1988","Realschule","Staedtischer Raum","150","","",""
"nicht erwerbstätig","1988","(Fach-)Abitur","Laendlicher Raum","45","0.469182388139229","0.369869471499024","0.568495304779434"
"nicht erwerbstätig","1988","(Fach-)Abitur","Staedtischer Raum","278","","",""
"nicht erwerbstätig","1988","(noch) kein Abschluss","Laendlicher Raum","70","0.747946533832766","0.671214422314953","0.824678645350578"
"nicht erwerbstätig","1988","(noch) kein Abschluss","Staedtischer Raum","425","0.683774228985564","0.65124541290651","0.716303045064618"
"nicht erwerbstätig","1988","AkademikerIn","Laendlicher Raum","25","","",""
"nicht erwerbstätig","1988","AkademikerIn","Staedtischer Raum","122","","",""
"nicht erwerbstätig","1988","Hauptschule","Laendlicher Raum","581","0.501242733120689","0.474590818820627","0.527894647420751"
"nicht erwerbstätig","1988","Hauptschule","Staedtischer Raum","1808","","",""
"nicht erwerbstätig","1988","Realschule","Laendlicher Raum","120","","",""
"nicht erwerbstätig","1988","Realschule","Staedtischer Raum","468","0.383672275122682","0.357478978601274","0.409865571644091"
"Teilzeit","1988","(Fach-)Abitur","Laendlicher Raum","4","0.0589728900260809","0.0120926855636615","0.1058530944885"
"Teilzeit","1988","(Fach-)Abitur","Staedtischer Raum","36","0.0546972856325292","0.0370805091583614","0.0723140621066971"
"Teilzeit","1988","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Teilzeit","1988","(noch) kein Abschluss","Staedtischer Raum","37","0.0350982148452269","0.0222246942652162","0.0479717354252376"
"Teilzeit","1988","AkademikerIn","Laendlicher Raum","7","0.0616914635219453","0.0177186209289825","0.105664306114908"
"Teilzeit","1988","AkademikerIn","Staedtischer Raum","41","0.0615310406574076","0.0420914942638339","0.0809705870509813"
"Teilzeit","1988","Hauptschule","Laendlicher Raum","93","0.0658847517776247","0.0526610686788173","0.079108434876432"
"Teilzeit","1988","Hauptschule","Staedtischer Raum","309","0.0705996729751267","0.0630223013723721","0.0781770445778814"
"Teilzeit","1988","Realschule","Laendlicher Raum","37","0.092246355188534","0.0630360547194819","0.121456655657586"
"Teilzeit","1988","Realschule","Staedtischer Raum","103","","",""
"voll erwerbstätig","1988","(Fach-)Abitur","Laendlicher Raum","34","0.320240173287792","0.227391035064102","0.413089311511481"
"voll erwerbstätig","1988","(Fach-)Abitur","Staedtischer Raum","254","","",""
"voll erwerbstätig","1988","(noch) kein Abschluss","Laendlicher Raum","46","0.23663518619265","0.161524580309101","0.311745792076199"
"voll erwerbstätig","1988","(noch) kein Abschluss","Staedtischer Raum","312","0.266744802881372","0.235807046103061","0.297682559659684"
"voll erwerbstätig","1988","AkademikerIn","Laendlicher Raum","79","0.633806027147718","0.545755299514224","0.721856754781212"
"voll erwerbstätig","1988","AkademikerIn","Staedtischer Raum","408","0.680418236699596","0.6426950817679","0.718141391631293"
"voll erwerbstätig","1988","Hauptschule","Laendlicher Raum","596","0.381483299429548","0.35559084470243","0.407375754156666"
"voll erwerbstätig","1988","Hauptschule","Staedtischer Raum","2066","","",""
"voll erwerbstätig","1988","Realschule","Laendlicher Raum","182","","",""
"voll erwerbstätig","1988","Realschule","Staedtischer Raum","603","0.459203707033205","0.432361164859672","0.486046249206737"
"Andere","1989","(Fach-)Abitur","Laendlicher Raum","6","0.064329321532685","0.0155058990998518","0.113152743965518"
"Andere","1989","(Fach-)Abitur","Staedtischer Raum","64","0.11446963685132","0.0901244962424833","0.138814777460157"
"Andere","1989","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Andere","1989","(noch) kein Abschluss","Staedtischer Raum","18","","",""
"Andere","1989","AkademikerIn","Laendlicher Raum","1","","",""
"Andere","1989","AkademikerIn","Staedtischer Raum","22","","",""
"Andere","1989","Hauptschule","Laendlicher Raum","66","0.0402270949730869","0.0294374549586447","0.051016734987529"
"Andere","1989","Hauptschule","Staedtischer Raum","199","","",""
"Andere","1989","Realschule","Laendlicher Raum","34","0.0709350328776455","0.044267887943311","0.0976021778119799"
"Andere","1989","Realschule","Staedtischer Raum","127","","",""
"nicht erwerbstätig","1989","(Fach-)Abitur","Laendlicher Raum","52","0.561832003813305","0.463093671473539","0.66057033615307"
"nicht erwerbstätig","1989","(Fach-)Abitur","Staedtischer Raum","274","","",""
"nicht erwerbstätig","1989","(noch) kein Abschluss","Laendlicher Raum","57","0.700998487067033","0.61658650412153","0.785410470012537"
"nicht erwerbstätig","1989","(noch) kein Abschluss","Staedtischer Raum","432","0.692323657086945","0.659829978660618","0.724817335513271"
"nicht erwerbstätig","1989","AkademikerIn","Laendlicher Raum","30","0.308931236955251","0.224113396937716","0.393749076972785"
"nicht erwerbstätig","1989","AkademikerIn","Staedtischer Raum","114","","",""
"nicht erwerbstätig","1989","Hauptschule","Laendlicher Raum","541","0.500736491946921","0.473280767327914","0.528192216565928"
"nicht erwerbstätig","1989","Hauptschule","Staedtischer Raum","1693","","",""
"nicht erwerbstätig","1989","Realschule","Laendlicher Raum","103","","",""
"nicht erwerbstätig","1989","Realschule","Staedtischer Raum","444","0.371287340696587","0.344972885663263","0.39760179572991"
"Teilzeit","1989","(Fach-)Abitur","Laendlicher Raum","4","0.0521669002846085","0.00791563680802855","0.0964181637611885"
"Teilzeit","1989","(Fach-)Abitur","Staedtischer Raum","42","0.060390344530591","0.0421756079307933","0.0786050811303887"
"Teilzeit","1989","(noch) kein Abschluss","Laendlicher Raum","4","0.0222725751752938","-0.00493582362725766","0.0494809739778453"
"Teilzeit","1989","(noch) kein Abschluss","Staedtischer Raum","34","0.031792966317144","0.0194406933209394","0.0441452393133485"
"Teilzeit","1989","AkademikerIn","Laendlicher Raum","12","","",""
"Teilzeit","1989","AkademikerIn","Staedtischer Raum","38","0.0562033687195364","0.0375240061267579","0.0748827313123148"
"Teilzeit","1989","Hauptschule","Laendlicher Raum","96","0.0749772234894861","0.0605160256663411","0.089438421312631"
"Teilzeit","1989","Hauptschule","Staedtischer Raum","297","","",""
"Teilzeit","1989","Realschule","Laendlicher Raum","36","0.0927875951090813","0.0626490321109286","0.122926158107234"
"Teilzeit","1989","Realschule","Staedtischer Raum","103","","",""
"voll erwerbstätig","1989","(Fach-)Abitur","Laendlicher Raum","35","0.321671774369402","0.22871337318501","0.414630175553794"
"voll erwerbstätig","1989","(Fach-)Abitur","Staedtischer Raum","277","","",""
"voll erwerbstätig","1989","(noch) kein Abschluss","Laendlicher Raum","49","0.22577477289099","0.148687934263634","0.302861611518345"
"voll erwerbstätig","1989","(noch) kein Abschluss","Staedtischer Raum","291","","",""
"voll erwerbstätig","1989","AkademikerIn","Laendlicher Raum","71","0.583820924618972","0.493336128108643","0.674305721129301"
"voll erwerbstätig","1989","AkademikerIn","Staedtischer Raum","410","0.67142731711033","0.633333289018483","0.709521345202178"
"voll erwerbstätig","1989","Hauptschule","Laendlicher Raum","571","0.384059189590506","0.357351768884191","0.410766610296821"
"voll erwerbstätig","1989","Hauptschule","Staedtischer Raum","2031","","",""
"voll erwerbstätig","1989","Realschule","Laendlicher Raum","183","","",""
"voll erwerbstätig","1989","Realschule","Staedtischer Raum","621","0.480288554379211","0.453077493991948","0.507499614766474"
"Andere","1990","(Fach-)Abitur","Laendlicher Raum","17","","",""
"Andere","1990","(Fach-)Abitur","Staedtischer Raum","65","0.0988736472337972","0.076745623646063","0.121001670821531"
"Andere","1990","(noch) kein Abschluss","Laendlicher Raum","5","0.0710785815353633","0.0296808925129126","0.112476270557814"
"Andere","1990","(noch) kein Abschluss","Staedtischer Raum","13","","",""
"Andere","1990","AkademikerIn","Laendlicher Raum","4","0.0104715255070676","0.002881762890772","0.0180612881233632"
"Andere","1990","AkademikerIn","Staedtischer Raum","12","","",""
"Andere","1990","Hauptschule","Laendlicher Raum","67","0.028086451491188","0.0214805292057838","0.0346923737765922"
"Andere","1990","Hauptschule","Staedtischer Raum","182","","",""
"Andere","1990","Realschule","Laendlicher Raum","115","","",""
"Andere","1990","Realschule","Staedtischer Raum","152","","",""
"nicht erwerbstätig","1990","(Fach-)Abitur","Laendlicher Raum","80","0.463475440693985","0.390012277540834","0.536938603847136"
"nicht erwerbstätig","1990","(Fach-)Abitur","Staedtischer Raum","293","","",""
"nicht erwerbstätig","1990","(noch) kein Abschluss","Laendlicher Raum","89","0.713112047146783","0.640241458834144","0.785982635459423"
"nicht erwerbstätig","1990","(noch) kein Abschluss","Staedtischer Raum","412","0.665624055555567","0.631678872435895","0.699569238675238"
"nicht erwerbstätig","1990","AkademikerIn","Laendlicher Raum","117","","",""
"nicht erwerbstätig","1990","AkademikerIn","Staedtischer Raum","172","","",""
"nicht erwerbstätig","1990","Hauptschule","Laendlicher Raum","912","0.4644292270775","0.44448857246318","0.484369881691821"
"nicht erwerbstätig","1990","Hauptschule","Staedtischer Raum","1831","","",""
"nicht erwerbstätig","1990","Realschule","Laendlicher Raum","226","","",""
"nicht erwerbstätig","1990","Realschule","Staedtischer Raum","485","0.327262558070998","0.30537870947084","0.349146406671156"
"Teilzeit","1990","(Fach-)Abitur","Laendlicher Raum","5","0.0269874883131722","0.00311476833668834","0.0508602082896561"
"Teilzeit","1990","(Fach-)Abitur","Staedtischer Raum","50","0.0710588768021808","0.0520124826762978","0.0901052709280638"
"Teilzeit","1990","(noch) kein Abschluss","Laendlicher Raum","7","0.0322937506038778","0.00381320861813632","0.0607742925896192"
"Teilzeit","1990","(noch) kein Abschluss","Staedtischer Raum","35","0.0302837686770123","0.0179534747042109","0.0426140626498137"
"Teilzeit","1990","AkademikerIn","Laendlicher Raum","43","0.061826305699909","0.0438691585481069","0.079783452851711"
"Teilzeit","1990","AkademikerIn","Staedtischer Raum","82","0.0887450746553938","0.0709497604239412","0.106540388886846"
"Teilzeit","1990","Hauptschule","Laendlicher Raum","230","","",""
"Teilzeit","1990","Hauptschule","Staedtischer Raum","356","0.0753447482549583","0.0677072205296646","0.082982275980252"
"Teilzeit","1990","Realschule","Laendlicher Raum","147","","",""
"Teilzeit","1990","Realschule","Staedtischer Raum","161","","",""
"voll erwerbstätig","1990","(Fach-)Abitur","Laendlicher Raum","75","0.380412780497847","0.308890684562106","0.451934876433588"
"voll erwerbstätig","1990","(Fach-)Abitur","Staedtischer Raum","291","","",""
"voll erwerbstätig","1990","(noch) kein Abschluss","Laendlicher Raum","47","0.183515620713976","0.121152521194314","0.245878720233637"
"voll erwerbstätig","1990","(noch) kein Abschluss","Staedtischer Raum","282","","",""
"voll erwerbstätig","1990","AkademikerIn","Laendlicher Raum","527","0.723250530299484","0.689892772859756","0.756608287739213"
"voll erwerbstätig","1990","AkademikerIn","Staedtischer Raum","715","0.683634997105915","0.654533190631837","0.712736803579994"
"voll erwerbstätig","1990","Hauptschule","Laendlicher Raum","1194","","",""
"voll erwerbstätig","1990","Hauptschule","Staedtischer Raum","2219","","",""
"voll erwerbstätig","1990","Realschule","Laendlicher Raum","908","0.600864874708585","0.575175486319725","0.626554263097446"
"voll erwerbstätig","1990","Realschule","Staedtischer Raum","968","0.516973005968458","0.493666757305103","0.540279254631812"
"Andere","1991","(Fach-)Abitur","Laendlicher Raum","22","","",""
"Andere","1991","(Fach-)Abitur","Staedtischer Raum","79","0.118217093069903","0.0943843238031455","0.14204986233666"
"Andere","1991","(noch) kein Abschluss","Laendlicher Raum","16","","",""
"Andere","1991","(noch) kein Abschluss","Staedtischer Raum","19","","",""
"Andere","1991","AkademikerIn","Laendlicher Raum","7","0.0120193154738213","0.00385881302472214","0.0201798179229204"
"Andere","1991","AkademikerIn","Staedtischer Raum","22","","",""
"Andere","1991","Hauptschule","Laendlicher Raum","83","0.038283349144982","0.0304501141416289","0.0461165841483351"
"Andere","1991","Hauptschule","Staedtischer Raum","215","","",""
"Andere","1991","Realschule","Laendlicher Raum","107","","",""
"Andere","1991","Realschule","Staedtischer Raum","144","","",""
"nicht erwerbstätig","1991","(Fach-)Abitur","Laendlicher Raum","80","0.438606914061778","0.366712721144272","0.510501106979283"
"nicht erwerbstätig","1991","(Fach-)Abitur","Staedtischer Raum","273","","",""
"nicht erwerbstätig","1991","(noch) kein Abschluss","Laendlicher Raum","87","0.680513946592112","0.607577813854674","0.753450079329549"
"nicht erwerbstätig","1991","(noch) kein Abschluss","Staedtischer Raum","384","0.624248546534541","0.588896906763371","0.659600186305712"
"nicht erwerbstätig","1991","AkademikerIn","Laendlicher Raum","171","","",""
"nicht erwerbstätig","1991","AkademikerIn","Staedtischer Raum","182","","",""
"nicht erwerbstätig","1991","Hauptschule","Laendlicher Raum","1011","","",""
"nicht erwerbstätig","1991","Hauptschule","Staedtischer Raum","1751","","",""
"nicht erwerbstätig","1991","Realschule","Laendlicher Raum","308","0.277419837109003","0.253685581936642","0.301154092281364"
"nicht erwerbstätig","1991","Realschule","Staedtischer Raum","530","0.345164818372103","0.322839211179957","0.367490425564248"
"Teilzeit","1991","(Fach-)Abitur","Laendlicher Raum","4","0.0356526148568801","0.00878772937684008","0.0625175003369201"
"Teilzeit","1991","(Fach-)Abitur","Staedtischer Raum","52","0.0705008076606564","0.0516045811139323","0.0893970342073806"
"Teilzeit","1991","(noch) kein Abschluss","Laendlicher Raum","6","0.0299373793076894","0.00328076182927549","0.0565939967861033"
"Teilzeit","1991","(noch) kein Abschluss","Staedtischer Raum","40","0.0407591261093762","0.0263261222187829","0.0551921299999695"
"Teilzeit","1991","AkademikerIn","Laendlicher Raum","33","0.0485101196265262","0.0324214155038637","0.0645988237491887"
"Teilzeit","1991","AkademikerIn","Staedtischer Raum","78","0.0927008564882189","0.0744783214189287","0.110923391557509"
"Teilzeit","1991","Hauptschule","Laendlicher Raum","172","","",""
"Teilzeit","1991","Hauptschule","Staedtischer Raum","330","0.0720879048017176","0.0644666733455638","0.0797091362578713"
"Teilzeit","1991","Realschule","Laendlicher Raum","107","","",""
"Teilzeit","1991","Realschule","Staedtischer Raum","149","","",""
"voll erwerbstätig","1991","(Fach-)Abitur","Laendlicher Raum","77","0.399935648062382","0.328958831251809","0.470912464872954"
"voll erwerbstätig","1991","(Fach-)Abitur","Staedtischer Raum","301","0.423958566668289","0.387479635812752","0.460437497523827"
"voll erwerbstätig","1991","(noch) kein Abschluss","Laendlicher Raum","48","0.18548972919603","0.124689322971734","0.246290135420326"
"voll erwerbstätig","1991","(noch) kein Abschluss","Staedtischer Raum","278","","",""
"voll erwerbstätig","1991","AkademikerIn","Laendlicher Raum","474","0.639428776456469","0.603470867735511","0.675386685177427"
"voll erwerbstätig","1991","AkademikerIn","Staedtischer Raum","691","0.658974817478382","0.629188329152329","0.688761305804436"
"voll erwerbstätig","1991","Hauptschule","Laendlicher Raum","1039","","",""
"voll erwerbstätig","1991","Hauptschule","Staedtischer Raum","2128","","",""
"voll erwerbstätig","1991","Realschule","Laendlicher Raum","845","0.572983790061496","0.54676231116073","0.599205268962262"
"voll erwerbstätig","1991","Realschule","Staedtischer Raum","919","0.502695147221176","0.479215708509811","0.526174585932541"
"Andere","1992","(Fach-)Abitur","Laendlicher Raum","21","","",""
