"erwst","year","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1999","maennlich","4028","0.573498390370902","0.561574810807118","0.585421969934685"
"voll erwerbstätig","1999","weiblich","2015","","",""
"Andere","2000","maennlich","602","0.049816293901511","0.0458543500772523","0.0537782377257696"
"Andere","2000","weiblich","889","0.0657540113953743","0.0614133993532798","0.0700946234374688"
"nicht erwerbstätig","2000","maennlich","3912","0.350804561239309","0.342114173330859","0.359494949147759"
"nicht erwerbstätig","2000","weiblich","6412","0.541096036617438","0.53236919077254","0.549822882462337"
"Teilzeit","2000","maennlich","207","","",""
"Teilzeit","2000","weiblich","2025","","",""
"voll erwerbstätig","2000","maennlich","6863","0.577586719167321","0.568591822097896","0.586581616236745"
"voll erwerbstätig","2000","weiblich","3199","0.240476143421502","0.232991589307271","0.247960697535732"
"Andere","2001","maennlich","576","0.05184224559768","0.0476066036376078","0.0560778875577522"
"Andere","2001","weiblich","882","0.0712328963642674","0.0665104657604274","0.0759553269681073"
"nicht erwerbstätig","2001","maennlich","3623","0.359804121600845","0.350635025118511","0.36897321808318"
"nicht erwerbstätig","2001","weiblich","5724","0.533466419901096","0.524307023208324","0.542625816593868"
"Teilzeit","2001","maennlich","190","","",""
"Teilzeit","2001","weiblich","1867","","",""
"voll erwerbstätig","2001","maennlich","6136","0.566940682114172","0.557474397813931","0.576406966414413"
"voll erwerbstätig","2001","weiblich","2923","","",""
"Andere","2002","maennlich","597","0.0525025246667788","0.0483583488552269","0.0566467004783308"
"Andere","2002","weiblich","939","0.0752179158733395","0.0704790631630593","0.0799567685836197"
"nicht erwerbstätig","2002","maennlich","3868","0.380887668118951","0.371864849433462","0.389910486804439"
"nicht erwerbstätig","2002","weiblich","5787","0.538789878455139","0.529833096788259","0.547746660122019"
"Teilzeit","2002","maennlich","198","","",""
"Teilzeit","2002","weiblich","2085","","",""
"voll erwerbstätig","2002","maennlich","6464","0.546608192007973","0.537358357780257","0.555858026235689"
"voll erwerbstätig","2002","weiblich","3088","0.229053414422444","0.221502954817055","0.236603874027832"
"Andere","2003","maennlich","589","0.0515195724008696","0.0473265828387754","0.0557125619629638"
"Andere","2003","weiblich","906","0.0749608251963159","0.0701457373110808","0.079775913081551"
"nicht erwerbstätig","2003","maennlich","3894","0.393592696580329","0.384325909236942","0.402859483923717"
"nicht erwerbstätig","2003","weiblich","5651","0.541873659054548","0.532763024471576","0.550984293637521"
"Teilzeit","2003","maennlich","213","","",""
"Teilzeit","2003","weiblich","2056","","",""
"voll erwerbstätig","2003","maennlich","5981","0.532161753792917","0.522697352188214","0.541626155397621"
"voll erwerbstätig","2003","weiblich","2876","","",""
"Andere","2004","maennlich","571","0.0514154268820107","0.0471669411317147","0.0556639126323067"
"Andere","2004","weiblich","955","0.0825183148221868","0.0774297721530769","0.0876068574912966"
"nicht erwerbstätig","2004","maennlich","3842","0.402005637233269","0.392573414866194","0.411437859600344"
"nicht erwerbstätig","2004","weiblich","5540","0.540484477051453","0.531268078441393","0.549700875661513"
"Teilzeit","2004","maennlich","213","","",""
"Teilzeit","2004","weiblich","1973","","",""
"voll erwerbstätig","2004","maennlich","5754","0.523969795627121","0.514362087624636","0.533577503629606"
"voll erwerbstätig","2004","weiblich","2764","","",""
"Andere","2005","maennlich","541","0.0566976245154864","0.0521418698911729","0.0612533791397998"
"Andere","2005","weiblich","956","0.0860672219897183","0.0807775061836679","0.0913569377957686"
"nicht erwerbstätig","2005","maennlich","3764","0.395916009636825","0.386282098773148","0.405549920500502"
"nicht erwerbstätig","2005","weiblich","5361","0.534234116861729","0.524825929300622","0.543642304422836"
"Teilzeit","2005","maennlich","215","","",""
"Teilzeit","2005","weiblich","1877","","",""
"voll erwerbstätig","2005","maennlich","5379","0.522303265361724","0.51246338233539","0.532143148388059"
"voll erwerbstätig","2005","weiblich","2605","","",""
"Andere","2006","maennlich","636","0.0614606212048725","0.0568947189516484","0.0660265234580966"
"Andere","2006","weiblich","1057","","",""
"nicht erwerbstätig","2006","maennlich","4141","0.393138678206555","0.383852874402036","0.402424482011075"
"nicht erwerbstätig","2006","weiblich","5809","0.535736333926393","0.526675917559838","0.544796750292948"
"Teilzeit","2006","maennlich","246","","",""
"Teilzeit","2006","weiblich","2063","","",""
"voll erwerbstätig","2006","maennlich","5606","0.520017573375601","0.510519761434707","0.529515385316496"
"voll erwerbstätig","2006","weiblich","2710","","",""
"Andere","2007","maennlich","591","0.0605273882784596","0.0558423738083673","0.0652124027485519"
"Andere","2007","weiblich","958","0.0895781817838931","0.0842163020866871","0.094940061481099"
"nicht erwerbstätig","2007","maennlich","3800","0.382655479755342","0.373106418602498","0.392204540908186"
"nicht erwerbstätig","2007","weiblich","5337","0.521809478172238","0.512430596014546","0.531188360329929"
"Teilzeit","2007","maennlich","234","","",""
"Teilzeit","2007","weiblich","2056","","",""
"voll erwerbstätig","2007","maennlich","5327","0.529078567134647","0.519271769354318","0.538885364914976"
"voll erwerbstätig","2007","weiblich","2546","","",""
"Andere","2008","maennlich","577","0.0658076549543725","0.0607781640258455","0.0708371458828996"
"Andere","2008","weiblich","939","0.0966699116919433","0.090944943652817","0.10239487973107"
"nicht erwerbstätig","2008","maennlich","3539","0.370545258174103","0.360748766938467","0.380341749409738"
"nicht erwerbstätig","2008","weiblich","4876","0.50131101667177","0.491624387393645","0.510997645949895"
"Teilzeit","2008","maennlich","218","","",""
"Teilzeit","2008","weiblich","1910","","",""
"voll erwerbstätig","2008","maennlich","5002","0.538576629620166","0.528464532894189","0.548688726346143"
"voll erwerbstätig","2008","weiblich","2510","","",""
"Andere","2009","maennlich","506","0.0642567901146294","0.0591118734764451","0.0694017067528137"
"Andere","2009","weiblich","915","0.101067893530557","0.0950150024983145","0.107120784562799"
"nicht erwerbstätig","2009","maennlich","3395","0.377812374079849","0.367639603262068","0.387985144897631"
"nicht erwerbstätig","2009","weiblich","4470","0.49043520424824","0.480396368949239","0.500474039547241"
"Teilzeit","2009","maennlich","218","","",""
"Teilzeit","2009","weiblich","1771","","",""
"voll erwerbstätig","2009","maennlich","4607","0.531258598572934","0.520788274357139","0.54172892278873"
"voll erwerbstätig","2009","weiblich","2370","","",""
"Andere","2010","maennlich","667","0.0662123540201841","0.0615837052175036","0.0708410028228646"
"Andere","2010","weiblich","1399","","",""
"nicht erwerbstätig","2010","maennlich","3691","0.379537513368517","0.370504227122175","0.388570799614859"
"nicht erwerbstätig","2010","weiblich","6504","0.48690647843836","0.478392645175968","0.495420311700753"
"Teilzeit","2010","maennlich","353","0.029608714425388","0.0264533910602428","0.0327640377905331"
"Teilzeit","2010","weiblich","2699","","",""
"voll erwerbstätig","2010","maennlich","6375","0.524641418185911","0.515345279162968","0.533937557208855"
"voll erwerbstätig","2010","weiblich","2638","","",""
"Andere","2011","maennlich","720","0.0603759931421769","0.056301335853201","0.0644506504311528"
"Andere","2011","weiblich","1582","","",""
"nicht erwerbstätig","2011","maennlich","4595","0.372286401880128","0.364016483063636","0.38055632069662"
"nicht erwerbstätig","2011","weiblich","7247","0.487464509567251","0.479662984880871","0.495266034253631"
"Teilzeit","2011","maennlich","387","0.0301186097960549","0.0271947357167094","0.0330424838754004"
"Teilzeit","2011","weiblich","3551","0.169097593353461","0.163247137101197","0.174948049605724"
"voll erwerbstätig","2011","maennlich","7424","0.537218995181641","0.528689067807002","0.545748922556279"
"voll erwerbstätig","2011","weiblich","3389","0.251827182727665","0.245052354622166","0.258602010833164"
"Andere","2012","maennlich","807","0.0632458878443535","0.0590313337848082","0.0674604419038987"
"Andere","2012","weiblich","1583","","",""
"nicht erwerbstätig","2012","maennlich","4505","0.37024344402107","0.361882550064837","0.378604337977303"
"nicht erwerbstätig","2012","weiblich","6836","0.480229791649522","0.472326721239875","0.48813286205917"
"Teilzeit","2012","maennlich","420","0.0306975961831574","0.0277108074305873","0.0336843849357275"
"Teilzeit","2012","weiblich","3527","0.175864991273666","0.169842800778126","0.181887181769206"
"voll erwerbstätig","2012","maennlich","7081","0.535813071951419","0.527177804693476","0.544448339209363"
"voll erwerbstätig","2012","weiblich","3406","0.250773411991071","0.243916746775226","0.257630077206916"
"Andere","2013","maennlich","1043","","",""
"Andere","2013","weiblich","1985","","",""
"nicht erwerbstätig","2013","maennlich","4798","0.373160179264157","0.365219893738227","0.381100464790086"
"nicht erwerbstätig","2013","weiblich","7231","0.473978167787265","0.466455400342998","0.481500935231532"
"Teilzeit","2013","maennlich","506","0.0322289659309478","0.0293294888546123","0.0351284430072832"
"Teilzeit","2013","weiblich","3950","0.183208807858892","0.177380730871936","0.189036884845847"
"voll erwerbstätig","2013","maennlich","7905","0.526929591060165","0.518732696098112","0.535126486022218"
"voll erwerbstätig","2013","weiblich","3758","0.242395324475866","0.235939079140645","0.248851569811088"
"Andere","2014","maennlich","986","0.0744266837492656","0.0698651758870728","0.0789881916114585"
"Andere","2014","weiblich","1794","","",""
"nicht erwerbstätig","2014","maennlich","4382","0.36607482080497","0.357702562653695","0.374447078956245"
"nicht erwerbstätig","2014","weiblich","6357","0.469225311463314","0.461220262274867","0.47723036065176"
"Teilzeit","2014","maennlich","459","0.0376415165495217","0.0343337056302165","0.0409493274688269"
"Teilzeit","2014","weiblich","3444","0.18566115321997","0.179424073639892","0.191898232800048"
"voll erwerbstätig","2014","maennlich","6891","0.521856978896242","0.513175507489293","0.530538450303191"
"voll erwerbstätig","2014","weiblich","3335","0.241101522171939","0.23424016536669","0.247962878977188"
"Andere","2015","maennlich","961","0.0764970144574414","0.0718535126163303","0.0811405162985526"
"Andere","2015","weiblich","1688","","",""
"nicht erwerbstätig","2015","maennlich","4328","0.365001954921389","0.356591141158132","0.373412768684646"
"nicht erwerbstätig","2015","weiblich","6318","0.460189645617698","0.452147854385705","0.468231436849692"
"Teilzeit","2015","maennlich","493","0.0372874763780983","0.0339774303444532","0.0405975224117433"
"Teilzeit","2015","weiblich","3458","0.196352677008685","0.189943313074003","0.202762040943368"
"voll erwerbstätig","2015","maennlich","6804","0.521213554243072","0.512486192019305","0.529940916466838"
"voll erwerbstätig","2015","weiblich","3292","0.243899668712","0.236970851776134","0.250828485647866"
"Andere","2016","maennlich","984","0.0737780374572782","0.0693082381759668","0.0782478367385896"
"Andere","2016","weiblich","1509","","",""
"nicht erwerbstätig","2016","maennlich","5473","0.364487990539303","0.356258547807044","0.372717433271561"
"nicht erwerbstätig","2016","weiblich","6763","0.453529547191969","0.445470255621964","0.461588838761975"
"Teilzeit","2016","maennlich","548","0.0432145987197763","0.039737720759123","0.0466914766804296"
"Teilzeit","2016","weiblich","3269","0.198374406584958","0.191918766050025","0.204830047119891"
"voll erwerbstätig","2016","maennlich","6134","0.518519373283643","0.509975814006723","0.527062932560562"
"voll erwerbstätig","2016","weiblich","3117","0.254635147214427","0.247582464247139","0.261687830181716"
"Andere","2017","maennlich","1135","","",""
"Andere","2017","weiblich","1614","","",""
"nicht erwerbstätig","2017","maennlich","5989","0.359342332430176","0.351617983356591","0.367066681503761"
"nicht erwerbstätig","2017","weiblich","7443","0.44493998522761","0.437315532022632","0.452564438432588"
"Teilzeit","2017","maennlich","636","0.0414043983453652","0.0381971274617695","0.044611669228961"
"Teilzeit","2017","weiblich","3697","0.202270350815203","0.196107495179568","0.208433206450838"
"voll erwerbstätig","2017","maennlich","7062","0.525758406099013","0.517719672807199","0.533797139390827"
"voll erwerbstätig","2017","weiblich","3566","0.253068338490648","0.246398007953295","0.259738669028001"
"Andere","2018","maennlich","1179","","",""
"Andere","2018","weiblich","1524","","",""
"nicht erwerbstätig","2018","maennlich","5454","0.346259627700083","0.338428417671659","0.354090837728506"
"nicht erwerbstätig","2018","weiblich","7000","0.442300376760564","0.434504660780318","0.450096092740809"
"Teilzeit","2018","maennlich","765","0.0495930632222423","0.0460195898062595","0.053166536638225"
"Teilzeit","2018","weiblich","3597","0.20714296110214","0.200781897892906","0.213504024311374"
"voll erwerbstätig","2018","maennlich","6781","0.529906278385775","0.521691099062067","0.538121457709483"
"voll erwerbstätig","2018","weiblich","3471","0.256822583816871","0.249965175097257","0.263679992536484"
"Andere","2019","maennlich","1124","","",""
"Andere","2019","weiblich","1441","","",""
"nicht erwerbstätig","2019","maennlich","5021","0.343900150159824","0.336178203706003","0.351622096613644"
"nicht erwerbstätig","2019","weiblich","6424","0.436167267192323","0.428263038232744","0.444071496151901"
"Teilzeit","2019","maennlich","826","0.0543257767862091","0.0506411001380511","0.0580104534343672"
"Teilzeit","2019","weiblich","3620","0.219597808271814","0.212999523195095","0.226196093348532"
"voll erwerbstätig","2019","maennlich","7565","0.53263701603509","0.524526126950784","0.540747905119396"
"voll erwerbstätig","2019","weiblich","3636","0.259070014872767","0.252086806603351","0.266053223142183"
"Andere","2020","maennlich","1139","","",""
"Andere","2020","weiblich","1355","","",""
"nicht erwerbstätig","2020","maennlich","5029","0.347738084429602","0.340091579885025","0.355384588974179"
"nicht erwerbstätig","2020","weiblich","6445","0.437722642037084","0.429807667966477","0.445637616107691"
"Teilzeit","2020","maennlich","845","0.0526945819061444","0.0491073966687298","0.0562817671435589"
"Teilzeit","2020","weiblich","3506","0.222502676568759","0.215866899858077","0.22913845327944"
"voll erwerbstätig","2020","maennlich","7889","0.530096490075016","0.522083259853054","0.538109720296979"
"voll erwerbstätig","2020","weiblich","3786","0.256764263724603","0.249794705128025","0.263733822321181"
