syear,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1997,East,6.283301886048401,6.253681442166223,6.312922329930578,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,3623.0
1998,West,7.121270953572336,7.103524901423252,7.13901700572142,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,10325.0
1998,East,6.4886033772014375,6.459987319288167,6.517219435114708,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3851.0
1999,West,7.2260519116634105,7.207900022134982,7.244203801191839,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,9843.0
1999,East,6.6401535237104286,6.611147704680111,6.6691593427407465,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3776.0
2000,West,7.35893197266569,7.3460677646539745,7.371796180677406,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,18202.0
2000,East,6.761252808700009,6.737948780001744,6.784556837398274,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5833.0
2001,West,7.358224744868313,7.344812473488293,7.371637016248332,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,16408.0
2001,East,6.77007996197055,6.746493058168369,6.793666865772732,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5416.0
2002,West,7.0813164180819825,7.068027150646324,7.094605685517641,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,17542.0
2002,East,6.521339130570916,6.497552382245793,6.545125878896039,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5411.0
2003,West,7.091290673264352,7.07764525615138,7.104936090377324,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,16783.0
2003,East,6.451206157190432,6.426077763536073,6.476334550844792,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5335.0
2004,West,7.0214455690879305,7.007463781712517,7.035427356463344,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,16308.0
2004,East,6.440069648303651,6.414569957553333,6.465569339053969,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5184.0
2005,West,7.017869334301034,7.003098164319043,7.032640504283025,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,15603.0
2005,East,6.54512225799194,6.518449774046089,6.571794741937791,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5014.0
2006,West,7.1006959027428875,7.0862610980648775,7.115130707420898,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,16637.0
2006,East,6.635589960504267,6.609716666385176,6.661463254623357,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5259.0
2007,West,,,,,,,,,,,,
2007,East,,,,,,,,,,,,
2008,West,,,,,,,,,,,,
2008,East,,,,,,,,,,,,
2009,West,,,,,,,,,,,,
2009,East,,,,,,,,,,,,
2010,West,,,,,,,,,,,,
2010,East,,,,,,,,,,,,
2011,West,,,,,,,,,,,,
2011,East,,,,,,,,,,,,
2012,West,,,,,,,,,,,,
2012,East,,,,,,,,,,,,
2013,West,7.551032937814582,7.537682116674712,7.564383758954452,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,18926.0
2013,East,7.098060167760378,7.071141252470982,7.124979083049775,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,4807.0
2014,West,,,,,,,,,,,,
2014,East,,,,,,,,,,,,
2015,West,,,,,,,,,,,,
2015,East,,,,,,,,,,,,
2016,West,,,,,,,,,,,,
2016,East,,,,,,,,,,,,
2017,West,,,,,,,,,,,,
2017,East,,,,,,,,,,,,
2018,West,7.668615331113759,7.656567296348944,7.680663365878573,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,20016.0
2018,East,7.34795699035346,7.324660617292632,7.371253363414287,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,5461.0
2019,West,,,,,,,,,,,,
2019,East,,,,,,,,,,,,
2020,West,,,,,,,,,,,,
2020,East,,,,,,,,,,,,
2021,West,,,,,,,,,,,,
2021,East,,,,,,,,,,,,
