year,regtyp,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,Rural regions,Difficult,0.05708,864,1447,0.04512,0.06903
2010,Rural regions,Almost impossible,0.02157,331,1447,0.01408,0.02906
2011,Urban regions,Easy,0.02417,646,2765,0.01844,0.02989
2011,Urban regions,Difficult,0.05178,1546,2765,0.04352,0.06004
2011,Urban regions,Almost impossible,0.01934,573,2765,0.01421,0.02448
2011,Rural regions,Easy,0.01262,247,1478,0.00693,0.01832
2011,Rural regions,Difficult,0.05179,867,1478,0.04048,0.06309
2011,Rural regions,Almost impossible,0.01965,364,1478,0.01257,0.02673
2012,Urban regions,Easy,0.02317,593,2500,0.01727,0.02907
2012,Urban regions,Difficult,0.05572,1381,2500,0.04673,0.06472
2012,Urban regions,Almost impossible,0.01843,526,2500,0.01316,0.02371
2012,Rural regions,Easy,0.01732,271,1379,0.01043,0.02421
2012,Rural regions,Difficult,0.05513,773,1379,0.04308,0.06718
2012,Rural regions,Almost impossible,0.01951,335,1379,0.01221,0.02682
2013,Urban regions,Easy,0.02425,793,3124,0.01886,0.02965
2013,Urban regions,Difficult,0.05155,1672,3124,0.04379,0.05931
2013,Urban regions,Almost impossible,0.01968,659,3124,0.01481,0.02455
2013,Rural regions,Easy,0.01977,298,1481,0.01268,0.02686
2013,Rural regions,Difficult,0.05389,844,1481,0.04238,0.06539
2013,Rural regions,Almost impossible,0.02126,339,1481,0.01391,0.02861
2014,Urban regions,Easy,0.02234,602,2578,0.01663,0.02804
2014,Urban regions,Difficult,0.05412,1397,2578,0.04538,0.06285
2014,Urban regions,Almost impossible,0.02145,579,2578,0.01586,0.02705
2014,Rural regions,Easy,0.01627,252,1251,0.00925,0.02328
2014,Rural regions,Difficult,0.05494,717,1251,0.04231,0.06757
2014,Rural regions,Almost impossible,0.01950,282,1251,0.01184,0.02717
2015,Urban regions,Easy,0.02198,576,2630,0.01638,0.02759
2015,Urban regions,Difficult,0.05343,1463,2630,0.04483,0.06202
2015,Urban regions,Almost impossible,0.01929,591,2630,0.01403,0.02455
2015,Rural regions,Easy,0.01907,279,1269,0.01155,0.02660
2015,Rural regions,Difficult,0.05130,707,1269,0.03916,0.06344
2015,Rural regions,Almost impossible,0.01829,283,1269,0.01092,0.02567
2016,Urban regions,Easy,0.02648,537,2208,0.01978,0.03318
2016,Urban regions,Difficult,0.05025,1178,2208,0.04113,0.05936
2016,Urban regions,Almost impossible,0.01860,493,2208,0.01296,0.02424
2016,Rural regions,Easy,0.01899,242,1025,0.01063,0.02735
2016,Rural regions,Difficult,0.04638,523,1025,0.03350,0.05927
2016,Rural regions,Almost impossible,0.01812,260,1025,0.00995,0.02629
2017,Urban regions,Easy,0.02784,803,3396,0.02230,0.03337
2017,Urban regions,Difficult,0.04934,1955,3396,0.04205,0.05662
2017,Urban regions,Almost impossible,0.02001,638,3396,0.01530,0.02472
2017,Rural regions,Easy,0.01775,315,1471,0.01100,0.02450
2017,Rural regions,Difficult,0.04260,807,1471,0.03228,0.05293
2017,Rural regions,Almost impossible,0.01734,349,1471,0.01067,0.02402
2018,Urban regions,Easy,0.02816,928,3744,0.02286,0.03346
2018,Urban regions,Difficult,0.04543,2156,3744,0.03876,0.05210
2018,Urban regions,Almost impossible,0.01809,660,3744,0.01382,0.02236
2018,Rural regions,Easy,0.01889,314,1560,0.01214,0.02565
2018,Rural regions,Difficult,0.04123,903,1560,0.03136,0.05110
2018,Rural regions,Almost impossible,0.01790,343,1560,0.01132,0.02448
2019,Urban regions,Easy,0.02821,834,3145,0.02243,0.03400
2019,Urban regions,Difficult,0.04165,1829,3145,0.03467,0.04863
2019,Urban regions,Almost impossible,0.01649,482,3145,0.01203,0.02094
2019,Rural regions,Easy,0.02087,311,1321,0.01316,0.02858
2019,Rural regions,Difficult,0.04003,772,1321,0.02946,0.05061
2019,Rural regions,Almost impossible,0.01326,238,1321,0.00709,0.01943
2020,Urban regions,Easy,0.02784,775,3189,0.02213,0.03355
2020,Urban regions,Difficult,0.04439,1883,3189,0.03724,0.05154
2020,Urban regions,Almost impossible,0.01563,531,3189,0.01133,0.01994
2020,Rural regions,Easy,0.02133,298,1266,0.01336,0.02929
2020,Rural regions,Difficult,0.03809,751,1266,0.02754,0.04864
2020,Rural regions,Almost impossible,0.01539,217,1266,0.00861,0.02217
2021,Urban regions,Easy,0.00096,190,799,-0.00119,0.00311
2021,Urban regions,Difficult,0.00224,509,799,-0.00104,0.00552
2021,Urban regions,Almost impossible,0.00061,100,799,-0.00110,0.00232
2021,Rural regions,Easy,0.00068,50,172,-0.00323,0.00459
2021,Rural regions,Difficult,0.00096,122,172,-0.00368,0.00561
2022,Urban regions,Easy,0.00091,141,614,-0.00148,0.00330
2022,Urban regions,Difficult,0.00230,398,614,-0.00149,0.00608
2022,Urban regions,Almost impossible,0.00055,75,614,-0.00130,0.00239
2022,Rural regions,Easy,0.00060,49,161,-0.00319,0.00438
2022,Rural regions,Difficult,0.00127,112,161,-0.00425,0.00679
