year,sex,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,female,Easy,0.04143,383,1981,0.03266,0.05021
1992,female,Difficult,0.10440,993,1981,0.09093,0.11787
1992,female,Almost impossible,0.06184,605,1981,0.05123,0.07245
1993,male,Easy,0.01977,154,917,0.01075,0.02878
1993,male,Difficult,0.05172,457,917,0.03738,0.06607
1993,male,Almost impossible,0.03396,306,917,0.02223,0.04569
1993,female,Easy,0.03138,281,2008,0.02375,0.03901
1993,female,Difficult,0.11018,1032,2008,0.09648,0.12388
1993,female,Almost impossible,0.07322,695,2008,0.06182,0.08462
1994,male,Easy,0.01745,136,924,0.00900,0.02590
1994,male,Difficult,0.05720,501,924,0.04222,0.07219
1994,male,Almost impossible,0.03303,287,924,0.02150,0.04455
1994,female,Easy,0.02753,252,2020,0.02039,0.03466
1994,female,Difficult,0.10783,1027,2020,0.09430,0.12135
1994,female,Almost impossible,0.08566,741,2020,0.07345,0.09787
1995,male,Easy,0.01701,133,948,0.00877,0.02524
1995,male,Difficult,0.05825,541,948,0.04334,0.07317
1995,male,Almost impossible,0.03289,274,948,0.02153,0.04425
1995,female,Easy,0.02747,262,2105,0.02048,0.03445
1995,female,Difficult,0.11830,1113,2105,0.10450,0.13210
1995,female,Almost impossible,0.07961,730,2105,0.06804,0.09117
1996,male,Easy,0.01406,115,952,0.00658,0.02154
1996,male,Difficult,0.06052,550,952,0.04537,0.07568
1996,male,Almost impossible,0.03353,287,952,0.02209,0.04497
1996,female,Easy,0.03134,277,2062,0.02382,0.03886
1996,female,Difficult,0.11380,1079,2062,0.10009,0.12752
1996,female,Almost impossible,0.07799,706,2062,0.06641,0.08957
1997,male,Easy,0.00915,84,987,0.00321,0.01509
1997,male,Difficult,0.06501,582,987,0.04962,0.08040
1997,male,Almost impossible,0.04001,321,987,0.02778,0.05224
1997,female,Easy,0.02686,228,1984,0.01974,0.03398
1997,female,Difficult,0.11541,1060,1984,0.10134,0.12947
1997,female,Almost impossible,0.07810,696,1984,0.06629,0.08991
1998,male,Easy,0.01026,101,1022,0.00408,0.01645
1998,male,Difficult,0.06316,607,1022,0.04824,0.07808
1998,male,Almost impossible,0.03416,314,1022,0.02302,0.04530
1998,female,Easy,0.02509,255,2113,0.01842,0.03176
1998,female,Difficult,0.11417,1124,2113,0.10060,0.12773
1998,female,Almost impossible,0.07188,734,2113,0.06086,0.08289
1999,male,Easy,0.01450,108,881,0.00660,0.02240
1999,male,Difficult,0.05236,503,881,0.03765,0.06708
1999,male,Almost impossible,0.03201,270,881,0.02038,0.04365
1999,female,Easy,0.02408,228,1895,0.01718,0.03099
1999,female,Difficult,0.10403,1030,1895,0.09028,0.11778
1999,female,Almost impossible,0.06740,637,1895,0.05610,0.07869
2000,male,Easy,0.01518,220,1458,0.00890,0.02146
2000,male,Difficult,0.04932,791,1458,0.03820,0.06043
2000,male,Almost impossible,0.02851,447,1458,0.01996,0.03705
2000,female,Easy,0.02913,480,3303,0.02340,0.03487
2000,female,Difficult,0.09573,1652,3303,0.08569,0.10576
2000,female,Almost impossible,0.06758,1171,3303,0.05902,0.07614
2001,male,Easy,0.01584,217,1300,0.00905,0.02263
2001,male,Difficult,0.05011,673,1300,0.03825,0.06198
2001,male,Almost impossible,0.02928,410,1300,0.02011,0.03845
2001,female,Easy,0.03107,476,2840,0.02469,0.03745
2001,female,Difficult,0.08938,1427,2840,0.07889,0.09988
2001,female,Almost impossible,0.06222,937,2840,0.05334,0.07111
2002,male,Easy,0.01685,242,1410,0.01013,0.02357
2002,male,Difficult,0.05869,782,1410,0.04642,0.07096
2002,male,Almost impossible,0.02913,386,1410,0.02035,0.03792
2002,female,Easy,0.02916,454,2862,0.02300,0.03533
2002,female,Difficult,0.09390,1450,2862,0.08321,0.10459
2002,female,Almost impossible,0.06393,958,2862,0.05496,0.07289
2003,male,Easy,0.01026,153,1257,0.00469,0.01583
2003,male,Difficult,0.06355,812,1257,0.05006,0.07704
2003,male,Almost impossible,0.02148,292,1257,0.01346,0.02950
2003,female,Easy,0.01892,292,1817,0.01266,0.02519
2003,female,Difficult,0.07687,1130,1817,0.06462,0.08912
2003,female,Almost impossible,0.02552,395,1817,0.01826,0.03277
2004,male,Easy,0.01268,169,1284,0.00656,0.01881
2004,male,Difficult,0.06521,795,1284,0.05170,0.07872
2004,male,Almost impossible,0.02799,320,1284,0.01897,0.03702
2004,female,Easy,0.01537,258,1879,0.00981,0.02093
2004,female,Difficult,0.08120,1197,1879,0.06885,0.09356
2004,female,Almost impossible,0.02998,424,1879,0.02227,0.03769
2005,male,Easy,0.00864,127,1236,0.00348,0.01380
2005,male,Difficult,0.06856,765,1236,0.05446,0.08265
2005,male,Almost impossible,0.02817,344,1236,0.01894,0.03740
2005,female,Easy,0.01284,198,1821,0.00767,0.01802
2005,female,Difficult,0.08936,1167,1821,0.07625,0.10246
2005,female,Almost impossible,0.03258,456,1821,0.02442,0.04073
2006,male,Easy,0.00993,146,1185,0.00428,0.01558
2006,male,Difficult,0.06187,731,1185,0.04815,0.07560
2006,male,Almost impossible,0.02547,308,1185,0.01650,0.03444
2006,female,Easy,0.01642,247,1870,0.01066,0.02218
2006,female,Difficult,0.08363,1158,1870,0.07108,0.09618
2006,female,Almost impossible,0.03368,465,1870,0.02550,0.04186
2007,male,Easy,0.01149,158,961,0.00475,0.01823
2007,male,Difficult,0.05016,562,961,0.03635,0.06397
2007,male,Almost impossible,0.02276,241,961,0.01333,0.03219
2007,female,Easy,0.01611,237,1597,0.00993,0.02229
2007,female,Difficult,0.07670,964,1597,0.06364,0.08975
2007,female,Almost impossible,0.03083,396,1597,0.02235,0.03931
2008,male,Easy,0.01253,154,880,0.00518,0.01988
2008,male,Difficult,0.04897,505,880,0.03470,0.06323
2008,male,Almost impossible,0.02009,221,880,0.01081,0.02937
2008,female,Easy,0.01751,238,1391,0.01061,0.02440
2008,female,Difficult,0.06694,839,1391,0.05380,0.08008
2008,female,Almost impossible,0.02458,314,1391,0.01644,0.03272
2009,male,Easy,0.01711,157,854,0.00841,0.02581
2009,male,Difficult,0.04875,484,854,0.03429,0.06320
2009,male,Almost impossible,0.02147,213,854,0.01175,0.03120
2009,female,Easy,0.01791,223,1206,0.01042,0.02540
2009,female,Difficult,0.06310,704,1206,0.04937,0.07683
2009,female,Almost impossible,0.02419,279,1206,0.01552,0.03287
2010,male,Easy,0.01472,203,1205,0.00792,0.02153
2010,male,Difficult,0.05778,725,1205,0.04460,0.07096
2010,male,Almost impossible,0.02057,277,1205,0.01256,0.02859
2010,female,Easy,0.02138,679,3148,0.01633,0.02643
2010,female,Difficult,0.06439,1808,3148,0.05582,0.07297
2010,female,Almost impossible,0.02480,661,3148,0.01937,0.03023
2011,male,Easy,0.01769,273,1257,0.01040,0.02499
2011,male,Difficult,0.04356,701,1257,0.03227,0.05485
2011,male,Almost impossible,0.01634,283,1257,0.00933,0.02336
2011,female,Easy,0.02304,620,2986,0.01766,0.02843
2011,female,Difficult,0.05966,1712,2986,0.05116,0.06816
2011,female,Almost impossible,0.02241,654,2986,0.01710,0.02772
2012,male,Easy,0.01704,275,1218,0.00977,0.02432
2012,male,Difficult,0.04942,677,1218,0.03725,0.06160
2012,male,Almost impossible,0.01667,266,1218,0.00948,0.02386
2012,female,Easy,0.02533,589,2661,0.01936,0.03130
2012,female,Difficult,0.06140,1477,2661,0.05227,0.07052
2012,female,Almost impossible,0.02082,595,2661,0.01539,0.02624
2013,male,Easy,0.01947,367,1558,0.01261,0.02634
2013,male,Difficult,0.04655,846,1558,0.03608,0.05701
2013,male,Almost impossible,0.01823,345,1558,0.01158,0.02487
2013,female,Easy,0.02600,724,3047,0.02035,0.03165
2013,female,Difficult,0.05786,1670,3047,0.04957,0.06615
2013,female,Almost impossible,0.02208,653,3047,0.01686,0.02730
2014,male,Easy,0.01826,305,1311,0.01101,0.02551
2014,male,Difficult,0.04700,727,1311,0.03554,0.05846
2014,male,Almost impossible,0.01826,279,1311,0.01101,0.02551
2014,female,Easy,0.02244,549,2518,0.01665,0.02823
2014,female,Difficult,0.06152,1387,2518,0.05213,0.07091
2014,female,Almost impossible,0.02331,582,2518,0.01742,0.02921
2015,male,Easy,0.01936,303,1342,0.01199,0.02674
2015,male,Difficult,0.04880,759,1342,0.03727,0.06033
2015,male,Almost impossible,0.01533,280,1342,0.00875,0.02191
2015,female,Easy,0.02269,552,2557,0.01692,0.02846
2015,female,Difficult,0.05658,1411,2557,0.04762,0.06553
2015,female,Almost impossible,0.02250,594,2557,0.01675,0.02825
2016,male,Easy,0.02075,294,1126,0.01242,0.02908
2016,male,Difficult,0.04473,596,1126,0.03265,0.05681
2016,male,Almost impossible,0.01554,236,1126,0.00831,0.02277
2016,female,Easy,0.02737,485,2107,0.02040,0.03433
2016,female,Difficult,0.05323,1105,2107,0.04364,0.06281
2016,female,Almost impossible,0.02130,517,2107,0.01514,0.02747
2017,male,Easy,0.02208,507,2072,0.01575,0.02841
2017,male,Difficult,0.04483,1223,2072,0.03592,0.05375
2017,male,Almost impossible,0.01605,342,2072,0.01064,0.02147
2017,female,Easy,0.02725,611,2795,0.02121,0.03329
2017,female,Difficult,0.04959,1539,2795,0.04154,0.05765
2017,female,Almost impossible,0.02225,645,2795,0.01678,0.02772
2018,male,Easy,0.02026,532,2242,0.01443,0.02610
2018,male,Difficult,0.04037,1370,2242,0.03222,0.04852
2018,male,Almost impossible,0.01631,340,2242,0.01107,0.02156
2018,female,Easy,0.03021,710,3062,0.02415,0.03628
2018,female,Difficult,0.04782,1689,3062,0.04026,0.05538
2018,female,Almost impossible,0.01972,663,3062,0.01479,0.02465
2019,male,Easy,0.02199,489,1872,0.01535,0.02864
2019,male,Difficult,0.03866,1119,1872,0.02992,0.04739
2019,male,Almost impossible,0.01131,264,1872,0.00652,0.01610
2019,female,Easy,0.03081,684,2676,0.02427,0.03736
2019,female,Difficult,0.04434,1521,2676,0.03654,0.05214
2019,female,Almost impossible,0.01971,471,2676,0.01444,0.02498
2020,male,Easy,0.02160,442,1822,0.01492,0.02827
2020,male,Difficult,0.03914,1116,1822,0.03023,0.04805
2020,male,Almost impossible,0.01304,264,1822,0.00783,0.01825
2020,female,Easy,0.02990,631,2630,0.02339,0.03641
2020,female,Difficult,0.04560,1516,2630,0.03762,0.05357
2020,female,Almost impossible,0.01790,483,2630,0.01283,0.02297
2021,male,Easy,0.00095,104,422,-0.00200,0.00390
2021,male,Difficult,0.00174,271,422,-0.00224,0.00573
2021,male,Almost impossible,0.00059,47,422,-0.00173,0.00290
2021,female,Easy,0.00079,136,577,-0.00151,0.00309
2021,female,Difficult,0.00192,360,577,-0.00165,0.00550
2021,female,Almost impossible,0.00046,81,577,-0.00129,0.00220
2022,male,Easy,0.00068,78,270,-0.00243,0.00379
2022,male,Difficult,0.00166,192,270,-0.00321,0.00653
2022,female,Easy,0.00095,112,492,-0.00177,0.00367
2022,female,Difficult,0.00229,318,492,-0.00194,0.00651
2022,female,Almost impossible,0.00047,62,492,-0.00144,0.00238
