year,age_gr,bula_h,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,30-45 y.,"Rhineland-Palatinate, Saarland",Difficult,0.16563,33,33,0.03683,0.29444
1990,30-45 y.,Baden-Wuerttemberg,Difficult,0.10768,62,62,0.02989,0.18546
1990,30-45 y.,Bavaria,Difficult,0.09779,50,50,0.01462,0.18096
1990,46-65 y.,Lower Saxony,Difficult,0.09109,31,79,0.02724,0.15495
1990,46-65 y.,Lower Saxony,Almost impossible,0.12504,48,79,0.05163,0.19844
1990,46-65 y.,North Rhine-Westphalia,Difficult,0.06788,57,186,0.03164,0.10413
1990,46-65 y.,North Rhine-Westphalia,Almost impossible,0.14036,129,186,0.09030,0.19041
1990,46-65 y.,"Rhineland-Palatinate, Saarland",Almost impossible,0.16228,35,35,0.03834,0.28621
1990,46-65 y.,Baden-Wuerttemberg,Difficult,0.06717,40,85,0.01364,0.12070
1990,46-65 y.,Baden-Wuerttemberg,Almost impossible,0.06258,45,85,0.01078,0.11437
1990,46-65 y.,Bavaria,Difficult,0.07450,37,83,0.01767,0.13134
1990,46-65 y.,Bavaria,Almost impossible,0.09293,46,83,0.03009,0.15577
1991,17-29 y.,Lower Saxony,Difficult,0.14466,43,43,0.03828,0.25104
1991,17-29 y.,North Rhine-Westphalia,Easy,0.12494,93,266,0.08513,0.16476
1991,17-29 y.,North Rhine-Westphalia,Difficult,0.16285,123,266,0.11839,0.20730
1991,17-29 y.,North Rhine-Westphalia,Almost impossible,0.06028,50,266,0.03163,0.08894
1991,17-29 y.,Hesse,Difficult,0.14206,37,37,0.02802,0.25610
1991,17-29 y.,Baden-Wuerttemberg,Easy,0.10737,62,158,0.05894,0.15579
1991,17-29 y.,Baden-Wuerttemberg,Difficult,0.10578,63,158,0.05767,0.15389
1991,17-29 y.,Baden-Wuerttemberg,Almost impossible,0.04472,33,158,0.01239,0.07705
1991,17-29 y.,Bavaria,Easy,0.11253,48,108,0.05265,0.17241
1991,17-29 y.,Bavaria,Difficult,0.11223,60,108,0.05242,0.17204
1991,17-29 y.,Berlin,Difficult,0.16088,32,32,0.03154,0.29022
1991,17-29 y.,Brandenburg,Difficult,0.19928,31,31,0.05634,0.34223
1991,17-29 y.,Saxony,Difficult,0.18618,55,55,0.08236,0.29001
1991,17-29 y.,Saxony-Anhalt,Difficult,0.17566,31,31,0.03949,0.31183
1991,17-29 y.,Thuringa,Difficult,0.21086,33,33,0.06952,0.35220
1991,30-45 y.,North Rhine-Westphalia,Easy,0.03761,35,195,0.01084,0.06438
1991,30-45 y.,North Rhine-Westphalia,Difficult,0.13861,118,195,0.08998,0.18723
1991,30-45 y.,North Rhine-Westphalia,Almost impossible,0.03772,42,195,0.01091,0.06453
1991,30-45 y.,Baden-Wuerttemberg,Difficult,0.10725,61,61,0.02895,0.18555
1991,30-45 y.,Bavaria,Difficult,0.09553,49,49,0.01237,0.17868
1991,30-45 y.,Saxony,Difficult,0.07526,32,32,-0.01761,0.16813
1991,46-65 y.,Lower Saxony,Almost impossible,0.11261,44,44,0.01812,0.20709
1991,46-65 y.,North Rhine-Westphalia,Difficult,0.06547,52,164,0.02750,0.10344
1991,46-65 y.,North Rhine-Westphalia,Almost impossible,0.12998,112,164,0.07835,0.18160
1991,46-65 y.,"Rhineland-Palatinate, Saarland",Almost impossible,0.17599,36,36,0.04983,0.30216
1991,46-65 y.,Baden-Wuerttemberg,Difficult,0.06476,39,74,0.00831,0.12122
1991,46-65 y.,Baden-Wuerttemberg,Almost impossible,0.05654,35,74,0.00356,0.10953
1991,46-65 y.,Bavaria,Difficult,0.07657,35,76,0.01639,0.13675
1991,46-65 y.,Bavaria,Almost impossible,0.08058,41,76,0.01898,0.14219
1991,46-65 y.,Saxony,Almost impossible,0.12473,46,46,0.02819,0.22127
1992,17-29 y.,Lower Saxony,Easy,0.14750,37,82,0.07027,0.22472
1992,17-29 y.,Lower Saxony,Difficult,0.13732,45,82,0.06236,0.21227
1992,17-29 y.,North Rhine-Westphalia,Easy,0.15166,101,262,0.10815,0.19518
1992,17-29 y.,North Rhine-Westphalia,Difficult,0.15844,128,262,0.11414,0.20274
1992,17-29 y.,North Rhine-Westphalia,Almost impossible,0.04750,33,262,0.02170,0.07331
1992,17-29 y.,Hesse,Easy,0.11277,36,74,0.04021,0.18533
1992,17-29 y.,Hesse,Difficult,0.15586,38,74,0.07265,0.23907
1992,17-29 y.,Baden-Wuerttemberg,Easy,0.11936,62,134,0.06426,0.17446
1992,17-29 y.,Baden-Wuerttemberg,Difficult,0.12143,72,134,0.06592,0.17694
1992,17-29 y.,Bavaria,Easy,0.15561,65,117,0.08965,0.22158
1992,17-29 y.,Bavaria,Difficult,0.11349,52,117,0.05577,0.17121
1992,17-29 y.,Berlin,Difficult,0.21426,35,35,0.07634,0.35218
1992,17-29 y.,Brandenburg,Difficult,0.24946,37,37,0.10811,0.39081
1992,17-29 y.,Saxony,Difficult,0.22346,58,58,0.11532,0.33160
1992,17-29 y.,Saxony-Anhalt,Difficult,0.18784,40,40,0.06526,0.31043
1992,17-29 y.,Thuringa,Difficult,0.26578,47,47,0.13812,0.39344
1992,30-45 y.,North Rhine-Westphalia,Easy,0.05073,47,180,0.01858,0.08288
1992,30-45 y.,North Rhine-Westphalia,Difficult,0.10768,96,180,0.06227,0.15309
1992,30-45 y.,North Rhine-Westphalia,Almost impossible,0.04013,37,180,0.01138,0.06889
1992,30-45 y.,Hesse,Difficult,0.11103,33,33,0.00218,0.21988
1992,30-45 y.,Baden-Wuerttemberg,Easy,0.06329,33,83,0.01059,0.11599
1992,30-45 y.,Baden-Wuerttemberg,Difficult,0.09665,50,83,0.03270,0.16061
1992,30-45 y.,Bavaria,Difficult,0.10738,56,56,0.02556,0.18920
1992,30-45 y.,Brandenburg,Difficult,0.12165,33,33,0.00839,0.23491
1992,30-45 y.,Saxony,Difficult,0.10233,40,40,0.00721,0.19745
1992,30-45 y.,Thuringa,Difficult,0.13821,32,32,0.01672,0.25970
1992,46-65 y.,Lower Saxony,Almost impossible,0.07901,32,32,-0.01595,0.17397
1992,46-65 y.,North Rhine-Westphalia,Difficult,0.07450,53,156,0.03316,0.11584
1992,46-65 y.,North Rhine-Westphalia,Almost impossible,0.11631,103,156,0.06584,0.16679
1992,46-65 y.,Hesse,Almost impossible,0.11153,34,34,0.00413,0.21893
1992,46-65 y.,Baden-Wuerttemberg,Difficult,0.07908,37,79,0.01919,0.13897
1992,46-65 y.,Baden-Wuerttemberg,Almost impossible,0.05418,42,79,0.00394,0.10442
1992,46-65 y.,Bavaria,Difficult,0.07594,37,77,0.01638,0.13550
1992,46-65 y.,Bavaria,Almost impossible,0.07507,40,77,0.01583,0.13431
1992,46-65 y.,Saxony,Almost impossible,0.16267,58,58,0.06686,0.25848
1993,17-29 y.,Lower Saxony,Difficult,0.16233,51,51,0.06012,0.26454
1993,17-29 y.,North Rhine-Westphalia,Easy,0.09769,75,275,0.06254,0.13285
1993,17-29 y.,North Rhine-Westphalia,Difficult,0.20971,151,275,0.16151,0.25792
1993,17-29 y.,North Rhine-Westphalia,Almost impossible,0.05923,49,275,0.03128,0.08718
1993,17-29 y.,Hesse,Difficult,0.20499,46,46,0.08704,0.32294
1993,17-29 y.,Baden-Wuerttemberg,Easy,0.06577,36,175,0.02894,0.10260
1993,17-29 y.,Baden-Wuerttemberg,Difficult,0.14453,81,175,0.09228,0.19678
1993,17-29 y.,Baden-Wuerttemberg,Almost impossible,0.07566,58,175,0.03637,0.11495
1993,17-29 y.,Bavaria,Easy,0.10293,46,125,0.04945,0.15642
1993,17-29 y.,Bavaria,Difficult,0.18293,79,125,0.11488,0.25098
1993,17-29 y.,Berlin,Difficult,0.21869,36,36,0.08174,0.35564
1993,17-29 y.,Mecklenburg-Western Pomerania,Difficult,0.34010,31,31,0.17057,0.50962
1993,17-29 y.,Saxony,Difficult,0.15427,43,43,0.04503,0.26352
1993,17-29 y.,Saxony-Anhalt,Difficult,0.20314,36,36,0.06985,0.33644
1993,17-29 y.,Thuringa,Difficult,0.25696,43,43,0.12481,0.38911
1993,30-45 y.,North Rhine-Westphalia,Easy,0.04741,35,184,0.01662,0.07820
1993,30-45 y.,North Rhine-Westphalia,Difficult,0.12424,115,184,0.07645,0.17203
1993,30-45 y.,North Rhine-Westphalia,Almost impossible,0.03914,34,184,0.01104,0.06723
1993,30-45 y.,Hesse,Difficult,0.09330,32,32,-0.00909,0.19568
1993,30-45 y.,"Rhineland-Palatinate, Saarland",Difficult,0.17472,36,36,0.04891,0.30052
1993,30-45 y.,Baden-Wuerttemberg,Difficult,0.11954,58,58,0.03532,0.20377
1993,30-45 y.,Bavaria,Difficult,0.07895,43,43,-0.00261,0.16050
1993,30-45 y.,Saxony,Difficult,0.15933,57,57,0.06347,0.25518
1993,46-65 y.,Lower Saxony,Almost impossible,0.09698,37,37,0.00031,0.19365
1993,46-65 y.,North Rhine-Westphalia,Difficult,0.06944,50,157,0.02955,0.10933
1993,46-65 y.,North Rhine-Westphalia,Almost impossible,0.12729,107,157,0.07498,0.17959
1993,46-65 y.,Baden-Wuerttemberg,Difficult,0.07126,37,98,0.02006,0.12246
1993,46-65 y.,Baden-Wuerttemberg,Almost impossible,0.08852,61,98,0.03199,0.14504
1993,46-65 y.,Bavaria,Difficult,0.07221,43,93,0.01932,0.12510
1993,46-65 y.,Bavaria,Almost impossible,0.11363,50,93,0.04878,0.17848
1993,46-65 y.,Brandenburg,Almost impossible,0.21924,37,37,0.08409,0.35440
1993,46-65 y.,Mecklenburg-Western Pomerania,Almost impossible,0.30231,35,35,0.14794,0.45668
1993,46-65 y.,Saxony,Almost impossible,0.24509,78,78,0.14901,0.34116
1993,46-65 y.,Saxony-Anhalt,Almost impossible,0.25841,54,54,0.14055,0.37626
1993,46-65 y.,Thuringa,Almost impossible,0.19375,34,34,0.05890,0.32860
1994,17-29 y.,Lower Saxony,Difficult,0.15757,45,45,0.04991,0.26522
1994,17-29 y.,North Rhine-Westphalia,Easy,0.09655,64,260,0.06058,0.13253
1994,17-29 y.,North Rhine-Westphalia,Difficult,0.21458,152,260,0.16458,0.26458
1994,17-29 y.,North Rhine-Westphalia,Almost impossible,0.06534,44,260,0.03524,0.09543
1994,17-29 y.,Hesse,Difficult,0.24393,55,55,0.12939,0.35847
1994,17-29 y.,"Rhineland-Palatinate, Saarland",Difficult,0.20701,33,33,0.06663,0.34739
1994,17-29 y.,Baden-Wuerttemberg,Easy,0.09055,43,195,0.05017,0.13093
1994,17-29 y.,Baden-Wuerttemberg,Difficult,0.18545,102,195,0.13076,0.24014
1994,17-29 y.,Baden-Wuerttemberg,Almost impossible,0.07136,50,195,0.03514,0.10759
1994,17-29 y.,Bavaria,Easy,0.10892,35,115,0.05173,0.16611
1994,17-29 y.,Bavaria,Difficult,0.17553,80,115,0.10569,0.24536
1994,17-29 y.,Berlin,Difficult,0.20941,34,34,0.07058,0.34823
1994,17-29 y.,Saxony,Difficult,0.27886,68,68,0.17148,0.38623
1994,17-29 y.,Saxony-Anhalt,Difficult,0.20862,34,34,0.06998,0.34725
1994,17-29 y.,Thuringa,Difficult,0.29036,38,38,0.14410,0.43663
1994,30-45 y.,Lower Saxony,Difficult,0.14253,32,32,0.01947,0.26560
1994,30-45 y.,North Rhine-Westphalia,Easy,0.03646,32,188,0.00960,0.06332
1994,30-45 y.,North Rhine-Westphalia,Difficult,0.12554,114,188,0.07805,0.17303
1994,30-45 y.,North Rhine-Westphalia,Almost impossible,0.04296,42,188,0.01390,0.07202
1994,30-45 y.,Hesse,Difficult,0.12006,33,33,0.00744,0.23267
1994,30-45 y.,Baden-Wuerttemberg,Difficult,0.12198,68,68,0.04361,0.20034
1994,30-45 y.,Bavaria,Difficult,0.09254,48,48,0.00969,0.17539
1994,30-45 y.,Saxony,Difficult,0.12556,48,48,0.03083,0.22029
1994,30-45 y.,Thuringa,Difficult,0.15382,32,32,0.02682,0.28083
1994,46-65 y.,Lower Saxony,Almost impossible,0.10495,38,38,0.00619,0.20370
1994,46-65 y.,North Rhine-Westphalia,Difficult,0.06548,52,166,0.02774,0.10323
1994,46-65 y.,North Rhine-Westphalia,Almost impossible,0.15467,114,166,0.09950,0.20985
1994,46-65 y.,Hesse,Almost impossible,0.11257,39,39,0.01207,0.21306
1994,46-65 y.,"Rhineland-Palatinate, Saarland",Almost impossible,0.16534,33,33,0.03662,0.29405
1994,46-65 y.,Baden-Wuerttemberg,Difficult,0.07885,38,99,0.02549,0.13221
1994,46-65 y.,Baden-Wuerttemberg,Almost impossible,0.09989,61,99,0.04052,0.15926
1994,46-65 y.,Bavaria,Difficult,0.07781,36,94,0.02337,0.13226
1994,46-65 y.,Bavaria,Almost impossible,0.12917,58,94,0.06101,0.19734
1994,46-65 y.,Saxony,Difficult,0.09679,34,108,0.04077,0.15281
1994,46-65 y.,Saxony,Almost impossible,0.23511,74,108,0.15476,0.31546
1994,46-65 y.,Saxony-Anhalt,Almost impossible,0.25258,55,55,0.13669,0.36847
1995,17-29 y.,Lower Saxony,Difficult,0.21203,56,56,0.10401,0.32006
1995,17-29 y.,North Rhine-Westphalia,Easy,0.10003,57,259,0.06342,0.13665
1995,17-29 y.,North Rhine-Westphalia,Difficult,0.22731,168,259,0.17617,0.27845
1995,17-29 y.,North Rhine-Westphalia,Almost impossible,0.04413,34,259,0.01907,0.06919
1995,17-29 y.,Hesse,Difficult,0.24303,48,48,0.12040,0.36565
1995,17-29 y.,"Rhineland-Palatinate, Saarland",Difficult,0.20814,35,35,0.07168,0.34461
1995,17-29 y.,Baden-Wuerttemberg,Easy,0.05995,33,187,0.02583,0.09406
1995,17-29 y.,Baden-Wuerttemberg,Difficult,0.19110,98,187,0.13460,0.24761
1995,17-29 y.,Baden-Wuerttemberg,Almost impossible,0.08937,56,187,0.04837,0.13037
1995,17-29 y.,Bavaria,Easy,0.11696,44,133,0.06214,0.17179
1995,17-29 y.,Bavaria,Difficult,0.18551,89,133,0.11920,0.25182
1995,17-29 y.,Berlin,Difficult,0.34583,44,44,0.20366,0.48799
1995,17-29 y.,Brandenburg,Difficult,0.21384,32,32,0.06950,0.35817
1995,17-29 y.,Saxony,Difficult,0.28443,70,70,0.17798,0.39088
1995,17-29 y.,Thuringa,Difficult,0.22295,34,34,0.08093,0.36496
1995,30-45 y.,Lower Saxony,Difficult,0.15421,47,47,0.04984,0.25857
1995,30-45 y.,North Rhine-Westphalia,Easy,0.03380,33,220,0.00986,0.05773
1995,30-45 y.,North Rhine-Westphalia,Difficult,0.13810,138,220,0.09240,0.18379
1995,30-45 y.,North Rhine-Westphalia,Almost impossible,0.04487,49,220,0.01745,0.07228
1995,30-45 y.,Hesse,Difficult,0.14669,48,48,0.04554,0.24784
1995,30-45 y.,"Rhineland-Palatinate, Saarland",Difficult,0.17080,47,47,0.06204,0.27955
1995,30-45 y.,Baden-Wuerttemberg,Difficult,0.12390,64,64,0.04254,0.20526
1995,30-45 y.,Bavaria,Easy,0.04744,31,81,0.00086,0.09402
1995,30-45 y.,Bavaria,Difficult,0.08357,50,81,0.02292,0.14421
1995,30-45 y.,Saxony,Difficult,0.11830,45,45,0.02287,0.21373
1995,46-65 y.,Lower Saxony,Almost impossible,0.13517,49,49,0.03845,0.23190
1995,46-65 y.,North Rhine-Westphalia,Difficult,0.07643,58,171,0.03649,0.11637
1995,46-65 y.,North Rhine-Westphalia,Almost impossible,0.15342,113,171,0.09925,0.20760
1995,46-65 y.,Hesse,Almost impossible,0.09431,36,36,-0.00252,0.19113
1995,46-65 y.,"Rhineland-Palatinate, Saarland",Almost impossible,0.18467,34,34,0.05228,0.31707
1995,46-65 y.,Baden-Wuerttemberg,Difficult,0.08024,43,119,0.03122,0.12926
1995,46-65 y.,Baden-Wuerttemberg,Almost impossible,0.11821,76,119,0.05995,0.17646
1995,46-65 y.,Bavaria,Difficult,0.09154,48,104,0.03585,0.14723
1995,46-65 y.,Bavaria,Almost impossible,0.12092,56,104,0.05796,0.18389
1995,46-65 y.,Saxony,Almost impossible,0.16274,51,51,0.06043,0.26506
1995,46-65 y.,Saxony-Anhalt,Almost impossible,0.16823,35,35,0.04249,0.29397
1996,17-29 y.,Lower Saxony,Difficult,0.19613,50,50,0.08495,0.30730
1996,17-29 y.,North Rhine-Westphalia,Easy,0.08777,52,259,0.05324,0.12230
1996,17-29 y.,North Rhine-Westphalia,Difficult,0.23873,159,259,0.18671,0.29075
1996,17-29 y.,North Rhine-Westphalia,Almost impossible,0.06534,48,259,0.03518,0.09549
1996,17-29 y.,Hesse,Difficult,0.20273,52,52,0.09239,0.31306
1996,17-29 y.,"Rhineland-Palatinate, Saarland",Difficult,0.23823,35,35,0.09503,0.38142
1996,17-29 y.,Baden-Wuerttemberg,Difficult,0.20743,91,146,0.14143,0.27343
1996,17-29 y.,Baden-Wuerttemberg,Almost impossible,0.09573,55,146,0.04784,0.14362
1996,17-29 y.,Bavaria,Easy,0.08488,34,120,0.03481,0.13496
1996,17-29 y.,Bavaria,Difficult,0.21441,86,120,0.14067,0.28815
1996,17-29 y.,Berlin,Difficult,0.36532,41,41,0.21609,0.51454
1996,17-29 y.,Brandenburg,Difficult,0.25336,36,36,0.10927,0.39746
1996,17-29 y.,Saxony,Difficult,0.25845,63,63,0.14948,0.36742
1996,17-29 y.,Saxony-Anhalt,Difficult,0.24574,37,37,0.10510,0.38638
1996,17-29 y.,Thuringa,Difficult,0.27699,34,34,0.12430,0.42967
1996,30-45 y.,Lower Saxony,Difficult,0.14519,55,55,0.05123,0.23916
1996,30-45 y.,North Rhine-Westphalia,Easy,0.03945,40,196,0.01213,0.06677
1996,30-45 y.,North Rhine-Westphalia,Difficult,0.12493,118,196,0.07852,0.17134
1996,30-45 y.,North Rhine-Westphalia,Almost impossible,0.03893,38,196,0.01178,0.06607
1996,30-45 y.,Hesse,Difficult,0.12633,40,40,0.02206,0.23059
1996,30-45 y.,"Rhineland-Palatinate, Saarland",Difficult,0.10980,32,32,-0.00026,0.21986
1996,30-45 y.,Baden-Wuerttemberg,Difficult,0.10012,70,70,0.02930,0.17095
1996,30-45 y.,Bavaria,Easy,0.06715,37,99,0.01759,0.11670
1996,30-45 y.,Bavaria,Difficult,0.08968,62,99,0.03311,0.14625
1996,30-45 y.,Brandenburg,Difficult,0.14479,32,32,0.02092,0.26866
1996,30-45 y.,Saxony,Difficult,0.10434,36,36,0.00306,0.20562
1996,46-65 y.,Lower Saxony,Almost impossible,0.14600,49,49,0.04611,0.24590
1996,46-65 y.,North Rhine-Westphalia,Difficult,0.08552,73,191,0.04576,0.12529
1996,46-65 y.,North Rhine-Westphalia,Almost impossible,0.14358,118,191,0.09372,0.19344
1996,46-65 y.,"Rhineland-Palatinate, Saarland",Almost impossible,0.18264,35,35,0.05277,0.31252
1996,46-65 y.,Baden-Wuerttemberg,Difficult,0.08514,32,100,0.03017,0.14012
