year,bula_h,sex,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,"Rhineland-Palatinate, Saarland",female,Difficult,0.14839,81,141,0.08950,0.20728
1988,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.12114,60,141,0.06709,0.17518
1988,Baden-Wuerttemberg,male,Difficult,0.04075,51,83,-0.00204,0.08354
1988,Baden-Wuerttemberg,male,Almost impossible,0.02067,32,83,-0.01013,0.05147
1988,Baden-Wuerttemberg,female,Easy,0.03296,40,315,0.01321,0.05270
1988,Baden-Wuerttemberg,female,Difficult,0.10934,162,315,0.07483,0.14386
1988,Baden-Wuerttemberg,female,Almost impossible,0.07512,113,315,0.04597,0.10428
1988,Bavaria,male,Easy,0.03230,34,69,-0.00972,0.07432
1988,Bavaria,male,Difficult,0.02803,35,69,-0.01120,0.06727
1988,Bavaria,female,Easy,0.02737,38,243,0.00681,0.04793
1988,Bavaria,female,Difficult,0.11278,140,243,0.07292,0.15263
1988,Bavaria,female,Almost impossible,0.05191,65,243,0.02396,0.07986
1989,Lower Saxony,male,Difficult,0.05402,38,38,-0.01882,0.12687
1989,Lower Saxony,female,Difficult,0.11098,79,154,0.06120,0.16075
1989,Lower Saxony,female,Almost impossible,0.11071,75,154,0.06099,0.16043
1989,North Rhine-Westphalia,male,Easy,0.02780,45,190,0.00436,0.05123
1989,North Rhine-Westphalia,male,Difficult,0.05349,98,190,0.02141,0.08557
1989,North Rhine-Westphalia,male,Almost impossible,0.02332,47,190,0.00180,0.04483
1989,North Rhine-Westphalia,female,Easy,0.03293,58,542,0.01789,0.04797
1989,North Rhine-Westphalia,female,Difficult,0.14585,280,542,0.11611,0.17560
1989,North Rhine-Westphalia,female,Almost impossible,0.10556,204,542,0.07966,0.13145
1989,Hesse,male,Difficult,0.04343,31,31,-0.02951,0.11637
1989,Hesse,female,Easy,0.05611,36,169,0.02131,0.09090
1989,Hesse,female,Difficult,0.10262,86,169,0.05673,0.14851
1989,Hesse,female,Almost impossible,0.06239,47,169,0.02582,0.09897
1989,"Rhineland-Palatinate, Saarland",female,Difficult,0.12036,66,119,0.06165,0.17907
1989,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.12131,53,119,0.06240,0.18021
1989,Baden-Wuerttemberg,male,Difficult,0.03708,46,46,-0.01813,0.09228
1989,Baden-Wuerttemberg,female,Easy,0.03702,52,273,0.01458,0.05946
1989,Baden-Wuerttemberg,female,Difficult,0.10382,135,273,0.06757,0.14008
1989,Baden-Wuerttemberg,female,Almost impossible,0.05911,86,273,0.03108,0.08714
1989,Bavaria,male,Easy,0.02761,31,69,-0.01134,0.06655
1989,Bavaria,male,Difficult,0.04244,38,69,-0.00548,0.09035
1989,Bavaria,female,Easy,0.03397,41,232,0.01061,0.05733
1989,Bavaria,female,Difficult,0.09464,111,232,0.05689,0.13239
1989,Bavaria,female,Almost impossible,0.06336,80,232,0.03194,0.09477
1990,Lower Saxony,male,Difficult,0.06774,39,39,-0.01216,0.14763
1990,Lower Saxony,female,Difficult,0.10372,75,138,0.05266,0.15477
1990,Lower Saxony,female,Almost impossible,0.09707,63,138,0.04749,0.14664
1990,North Rhine-Westphalia,male,Easy,0.03043,54,188,0.00581,0.05505
1990,North Rhine-Westphalia,male,Difficult,0.03975,79,188,0.01175,0.06776
1990,North Rhine-Westphalia,male,Almost impossible,0.02647,55,188,0.00346,0.04948
1990,North Rhine-Westphalia,female,Easy,0.03809,67,497,0.02124,0.05494
1990,North Rhine-Westphalia,female,Difficult,0.12959,238,497,0.10003,0.15915
1990,North Rhine-Westphalia,female,Almost impossible,0.09687,192,497,0.07084,0.12290
1990,Hesse,female,Easy,0.05548,40,154,0.01921,0.09175
1990,Hesse,female,Difficult,0.09757,67,154,0.05055,0.14460
1990,Hesse,female,Almost impossible,0.07096,47,154,0.03028,0.11165
1990,"Rhineland-Palatinate, Saarland",female,Difficult,0.14804,75,118,0.08369,0.21239
1990,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.10137,43,118,0.04668,0.15606
1990,Baden-Wuerttemberg,male,Difficult,0.02777,36,36,-0.02667,0.08222
1990,Baden-Wuerttemberg,female,Easy,0.03764,56,254,0.01419,0.06109
1990,Baden-Wuerttemberg,female,Difficult,0.09597,132,254,0.05968,0.13227
1990,Baden-Wuerttemberg,female,Almost impossible,0.05274,66,254,0.02520,0.08028
1990,Bavaria,male,Easy,0.04046,36,70,-0.00603,0.08696
1990,Bavaria,male,Difficult,0.03538,34,70,-0.00821,0.07897
1990,Bavaria,female,Easy,0.03599,44,224,0.01154,0.06043
1990,Bavaria,female,Difficult,0.09114,114,224,0.05337,0.12892
1990,Bavaria,female,Almost impossible,0.06137,66,224,0.02986,0.09287
1990,Berlin,female,Difficult,0.07243,40,40,-0.00892,0.15377
1990,Brandenburg,female,Difficult,0.05468,31,31,-0.02668,0.13603
1990,Saxony,female,Difficult,0.03785,38,38,-0.02364,0.09933
1990,Thuringa,female,Difficult,0.06551,37,37,-0.01532,0.14633
1991,Lower Saxony,female,Difficult,0.09024,62,130,0.04079,0.13968
1991,Lower Saxony,female,Almost impossible,0.10265,68,130,0.05028,0.15502
1991,North Rhine-Westphalia,male,Easy,0.03246,60,171,0.00582,0.05911
1991,North Rhine-Westphalia,male,Difficult,0.03962,71,171,0.01030,0.06895
1991,North Rhine-Westphalia,male,Almost impossible,0.01538,40,171,-0.00312,0.03388
1991,North Rhine-Westphalia,female,Easy,0.04404,83,476,0.02559,0.06249
1991,North Rhine-Westphalia,female,Difficult,0.12189,222,476,0.09247,0.15131
1991,North Rhine-Westphalia,female,Almost impossible,0.09052,171,476,0.06472,0.11632
1991,Hesse,female,Difficult,0.10003,60,105,0.04237,0.15770
1991,Hesse,female,Almost impossible,0.07195,45,105,0.02229,0.12162
1991,"Rhineland-Palatinate, Saarland",female,Difficult,0.11361,57,101,0.05141,0.17580
1991,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.09299,44,101,0.03607,0.14991
1991,Baden-Wuerttemberg,female,Easy,0.03959,63,262,0.01594,0.06325
1991,Baden-Wuerttemberg,female,Difficult,0.10119,138,262,0.06460,0.13777
1991,Baden-Wuerttemberg,female,Almost impossible,0.04215,61,262,0.01777,0.06652
1991,Bavaria,female,Easy,0.05072,56,235,0.02261,0.07884
1991,Bavaria,female,Difficult,0.09917,118,235,0.06087,0.13747
1991,Bavaria,female,Almost impossible,0.05033,61,235,0.02232,0.07834
1991,Berlin,male,Difficult,0.06064,31,31,-0.02477,0.14604
1991,Berlin,female,Difficult,0.06798,36,36,-0.01541,0.15137
1991,Brandenburg,female,Difficult,0.08392,42,42,-0.00095,0.16879
1991,Mecklenburg-Western Pomerania,female,Difficult,0.11348,39,39,0.01263,0.21432
1991,Saxony,male,Difficult,0.04681,36,67,-0.00415,0.09777
1991,Saxony,male,Almost impossible,0.05050,31,67,-0.00233,0.10334
1991,Saxony,female,Difficult,0.07095,64,105,0.02160,0.12029
1991,Saxony,female,Almost impossible,0.05293,41,105,0.00990,0.09596
1991,Saxony-Anhalt,female,Difficult,0.07850,42,42,-0.00383,0.16082
1991,Thuringa,female,Difficult,0.07749,35,35,-0.01238,0.16736
1992,Lower Saxony,female,Easy,0.06635,45,166,0.02837,0.10433
1992,Lower Saxony,female,Difficult,0.10910,75,166,0.06153,0.15667
1992,Lower Saxony,female,Almost impossible,0.06156,46,166,0.02488,0.09823
1992,North Rhine-Westphalia,male,Easy,0.03696,62,136,0.00514,0.06879
1992,North Rhine-Westphalia,male,Difficult,0.04142,74,136,0.00781,0.07503
1992,North Rhine-Westphalia,female,Easy,0.05125,95,447,0.03079,0.07172
1992,North Rhine-Westphalia,female,Difficult,0.10721,204,447,0.07850,0.13592
1992,North Rhine-Westphalia,female,Almost impossible,0.07760,148,447,0.05277,0.10243
1992,Hesse,female,Easy,0.04875,37,146,0.01370,0.08380
1992,Hesse,female,Difficult,0.10238,64,146,0.05304,0.15172
1992,Hesse,female,Almost impossible,0.07579,45,146,0.03271,0.11886
1992,"Rhineland-Palatinate, Saarland",female,Difficult,0.11958,61,95,0.05398,0.18517
1992,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.07625,34,95,0.02260,0.12991
1992,Baden-Wuerttemberg,male,Easy,0.03552,33,67,-0.00913,0.08018
1992,Baden-Wuerttemberg,male,Difficult,0.02648,34,67,-0.01226,0.06522
1992,Baden-Wuerttemberg,female,Easy,0.04991,71,253,0.02302,0.07680
1992,Baden-Wuerttemberg,female,Difficult,0.10124,125,253,0.06399,0.13848
1992,Baden-Wuerttemberg,female,Almost impossible,0.03490,57,253,0.01224,0.05756
1992,Bavaria,male,Easy,0.03284,34,34,-0.02797,0.09364
1992,Bavaria,female,Easy,0.05124,58,238,0.02317,0.07932
1992,Bavaria,female,Difficult,0.10388,121,238,0.06504,0.14272
1992,Bavaria,female,Almost impossible,0.04716,59,238,0.02017,0.07415
1992,Berlin,female,Difficult,0.08958,42,42,0.00216,0.17700
1992,Brandenburg,female,Difficult,0.13017,58,58,0.04281,0.21753
1992,Saxony,male,Difficult,0.05835,42,78,0.00599,0.11071
1992,Saxony,male,Almost impossible,0.06295,36,78,0.00870,0.11720
1992,Saxony,female,Difficult,0.09529,81,141,0.04665,0.14393
1992,Saxony,female,Almost impossible,0.07818,60,141,0.03371,0.12265
1992,Saxony-Anhalt,male,Difficult,0.06371,35,35,-0.01839,0.14581
1992,Saxony-Anhalt,female,Difficult,0.09573,48,80,0.03085,0.16061
1992,Saxony-Anhalt,female,Almost impossible,0.06842,32,80,0.01274,0.12409
1992,Thuringa,male,Difficult,0.08338,35,35,-0.00955,0.17631
1992,Thuringa,female,Difficult,0.09826,52,86,0.03498,0.16154
1992,Thuringa,female,Almost impossible,0.07397,34,86,0.01833,0.12961
1993,Lower Saxony,male,Difficult,0.04430,32,32,-0.02813,0.11673
1993,Lower Saxony,female,Easy,0.04616,34,159,0.01344,0.07888
1993,Lower Saxony,female,Difficult,0.09221,64,159,0.04709,0.13732
1993,Lower Saxony,female,Almost impossible,0.08500,61,159,0.04151,0.12849
1993,North Rhine-Westphalia,male,Easy,0.02502,40,163,0.00097,0.04907
1993,North Rhine-Westphalia,male,Difficult,0.04876,85,163,0.01560,0.08193
1993,North Rhine-Westphalia,male,Almost impossible,0.01950,38,163,-0.00180,0.04079
1993,North Rhine-Westphalia,female,Easy,0.04142,79,468,0.02335,0.05949
1993,North Rhine-Westphalia,female,Difficult,0.12173,232,468,0.09207,0.15138
1993,North Rhine-Westphalia,female,Almost impossible,0.08236,157,468,0.05743,0.10729
1993,Hesse,male,Difficult,0.04917,33,33,-0.02575,0.12409
1993,Hesse,female,Difficult,0.11737,69,111,0.05722,0.17752
1993,Hesse,female,Almost impossible,0.05908,42,111,0.01502,0.10315
1993,"Rhineland-Palatinate, Saarland",female,Difficult,0.13252,59,92,0.06286,0.20219
1993,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.07476,33,92,0.02073,0.12880
1993,Baden-Wuerttemberg,male,Difficult,0.03581,49,95,-0.00175,0.07337
1993,Baden-Wuerttemberg,male,Almost impossible,0.02642,46,95,-0.00600,0.05884
1993,Baden-Wuerttemberg,female,Easy,0.03243,44,267,0.01114,0.05372
1993,Baden-Wuerttemberg,female,Difficult,0.11148,128,267,0.07365,0.14930
1993,Baden-Wuerttemberg,female,Almost impossible,0.06176,95,267,0.03283,0.09068
1993,Bavaria,male,Difficult,0.04186,44,44,-0.01800,0.10171
1993,Bavaria,female,Easy,0.05149,59,243,0.02364,0.07933
1993,Bavaria,female,Difficult,0.09559,121,243,0.05854,0.13264
1993,Bavaria,female,Almost impossible,0.06339,63,243,0.03269,0.09409
1993,Berlin,female,Difficult,0.12275,49,49,0.02991,0.21558
1993,Brandenburg,female,Difficult,0.08807,40,73,0.02261,0.15354
1993,Brandenburg,female,Almost impossible,0.07405,33,73,0.01357,0.13454
1993,Mecklenburg-Western Pomerania,female,Difficult,0.13679,39,39,0.02754,0.24605
1993,Saxony,male,Difficult,0.07733,42,87,0.02087,0.13378
1993,Saxony,male,Almost impossible,0.08113,45,87,0.02342,0.13883
1993,Saxony,female,Difficult,0.09959,87,151,0.05167,0.14752
1993,Saxony,female,Almost impossible,0.09556,64,151,0.04851,0.14261
1993,Saxony-Anhalt,male,Almost impossible,0.09159,33,33,-0.00835,0.19153
1993,Saxony-Anhalt,female,Difficult,0.11345,59,108,0.05336,0.17355
1993,Saxony-Anhalt,female,Almost impossible,0.10339,49,108,0.04570,0.16108
1993,Thuringa,male,Difficult,0.07216,32,32,-0.01893,0.16325
1993,Thuringa,female,Difficult,0.10517,50,84,0.03917,0.17117
1993,Thuringa,female,Almost impossible,0.09030,34,84,0.02864,0.15196
1994,Lower Saxony,male,Difficult,0.05561,39,39,-0.01725,0.12848
1994,Lower Saxony,female,Difficult,0.09811,61,127,0.04617,0.15005
1994,Lower Saxony,female,Almost impossible,0.09983,66,127,0.04748,0.15217
1994,North Rhine-Westphalia,male,Difficult,0.05767,100,137,0.01849,0.09685
1994,North Rhine-Westphalia,male,Almost impossible,0.01965,37,137,-0.00368,0.04297
1994,North Rhine-Westphalia,female,Easy,0.03423,70,463,0.01765,0.05081
1994,North Rhine-Westphalia,female,Difficult,0.11055,218,463,0.08196,0.13915
1994,North Rhine-Westphalia,female,Almost impossible,0.10812,175,463,0.07980,0.13643
1994,Hesse,female,Difficult,0.12585,76,124,0.06724,0.18447
1994,Hesse,female,Almost impossible,0.07741,48,124,0.03018,0.12464
1994,"Rhineland-Palatinate, Saarland",female,Difficult,0.10870,53,96,0.04610,0.17129
1994,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.10269,43,96,0.04165,0.16374
1994,Baden-Wuerttemberg,male,Difficult,0.05232,68,103,0.00911,0.09554
1994,Baden-Wuerttemberg,male,Almost impossible,0.02552,35,103,-0.00508,0.05613
1994,Baden-Wuerttemberg,female,Easy,0.03496,45,289,0.01375,0.05618
1994,Baden-Wuerttemberg,female,Difficult,0.11113,140,289,0.07483,0.14743
1994,Baden-Wuerttemberg,female,Almost impossible,0.07344,104,289,0.04331,0.10356
1994,Bavaria,male,Difficult,0.04437,39,39,-0.02110,0.10983
1994,Bavaria,female,Easy,0.04112,48,256,0.01675,0.06549
1994,Bavaria,female,Difficult,0.09581,125,256,0.05968,0.13193
1994,Bavaria,female,Almost impossible,0.08260,83,256,0.04881,0.11639
1994,Berlin,female,Difficult,0.08712,38,38,-0.00375,0.17799
1994,Brandenburg,female,Difficult,0.08208,41,41,-0.00299,0.16714
1994,Mecklenburg-Western Pomerania,female,Difficult,0.13938,38,38,0.02778,0.25098
1994,Saxony,male,Difficult,0.09225,57,99,0.03496,0.14955
1994,Saxony,male,Almost impossible,0.07552,42,99,0.02320,0.12783
1994,Saxony,female,Difficult,0.10624,93,161,0.05849,0.15398
1994,Saxony,female,Almost impossible,0.10617,68,161,0.05844,0.15391
1994,Saxony-Anhalt,male,Almost impossible,0.11912,37,37,0.01330,0.22494
1994,Saxony-Anhalt,female,Difficult,0.11408,50,93,0.04912,0.17905
1994,Saxony-Anhalt,female,Almost impossible,0.08828,43,93,0.03031,0.14625
1994,Thuringa,male,Difficult,0.10562,36,36,0.00379,0.20744
1994,Thuringa,female,Difficult,0.12521,56,88,0.05567,0.19476
1994,Thuringa,female,Almost impossible,0.08287,32,88,0.02494,0.14080
1995,Lower Saxony,male,Difficult,0.05746,48,48,-0.00907,0.12399
1995,Lower Saxony,female,Difficult,0.11984,78,148,0.06734,0.17234
1995,Lower Saxony,female,Almost impossible,0.08888,70,148,0.04287,0.13488
1995,North Rhine-Westphalia,male,Easy,0.02264,34,183,0.00103,0.04424
1995,North Rhine-Westphalia,male,Difficult,0.05185,103,183,0.01964,0.08407
1995,North Rhine-Westphalia,male,Almost impossible,0.03092,46,183,0.00577,0.05607
1995,North Rhine-Westphalia,female,Easy,0.03271,66,484,0.01685,0.04858
1995,North Rhine-Westphalia,female,Difficult,0.13031,261,484,0.10029,0.16033
1995,North Rhine-Westphalia,female,Almost impossible,0.09188,157,484,0.06612,0.11764
1995,Hesse,male,Difficult,0.05786,36,36,-0.01949,0.13522
1995,Hesse,female,Difficult,0.14106,82,124,0.07954,0.20258
1995,Hesse,female,Almost impossible,0.06318,42,124,0.02018,0.10618
1995,"Rhineland-Palatinate, Saarland",male,Difficult,0.07173,35,35,-0.01501,0.15847
1995,"Rhineland-Palatinate, Saarland",female,Difficult,0.12188,64,123,0.06383,0.17993
1995,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.13371,59,123,0.07331,0.19410
1995,Baden-Wuerttemberg,male,Difficult,0.04888,69,113,0.00895,0.08882
1995,Baden-Wuerttemberg,male,Almost impossible,0.03014,44,113,-0.00153,0.06180
1995,Baden-Wuerttemberg,female,Easy,0.03404,42,299,0.01345,0.05463
1995,Baden-Wuerttemberg,female,Difficult,0.11433,136,299,0.07820,0.15046
1995,Baden-Wuerttemberg,female,Almost impossible,0.07953,121,299,0.04881,0.11025
1995,Bavaria,male,Difficult,0.04869,51,51,-0.01097,0.10834
1995,Bavaria,female,Easy,0.04091,57,274,0.01741,0.06441
1995,Bavaria,female,Difficult,0.09813,136,274,0.06284,0.13342
1995,Bavaria,female,Almost impossible,0.06890,81,274,0.03885,0.09894
1995,Berlin,male,Difficult,0.09271,31,31,-0.01108,0.19649
1995,Berlin,female,Difficult,0.13997,50,50,0.04282,0.23712
1995,Brandenburg,female,Difficult,0.10103,47,47,0.01394,0.18813
1995,Mecklenburg-Western Pomerania,female,Difficult,0.11401,32,32,0.00213,0.22590
1995,Saxony,male,Difficult,0.07364,53,53,0.00265,0.14463
1995,Saxony,female,Difficult,0.10552,87,140,0.05445,0.15660
1995,Saxony,female,Almost impossible,0.08272,53,140,0.03692,0.12851
1995,Saxony-Anhalt,female,Difficult,0.09014,50,87,0.02962,0.15067
1995,Saxony-Anhalt,female,Almost impossible,0.07886,37,87,0.02190,0.13582
1995,Thuringa,male,Difficult,0.07125,33,33,-0.01788,0.16038
1995,Thuringa,female,Difficult,0.11666,47,78,0.04496,0.18836
1995,Thuringa,female,Almost impossible,0.07527,31,78,0.01634,0.13419
1996,Lower Saxony,male,Difficult,0.04809,42,42,-0.01740,0.11358
1996,Lower Saxony,female,Easy,0.03625,31,177,0.00863,0.06386
1996,Lower Saxony,female,Difficult,0.11869,87,177,0.07090,0.16647
1996,Lower Saxony,female,Almost impossible,0.07798,59,177,0.03836,0.11759
1996,North Rhine-Westphalia,male,Difficult,0.05638,103,153,0.01971,0.09305
1996,North Rhine-Westphalia,male,Almost impossible,0.02863,50,153,0.00212,0.05514
1996,North Rhine-Westphalia,female,Easy,0.04470,81,493,0.02644,0.06296
1996,North Rhine-Westphalia,female,Difficult,0.12671,247,493,0.09732,0.15610
1996,North Rhine-Westphalia,female,Almost impossible,0.09268,165,493,0.06706,0.11831
1996,Hesse,male,Difficult,0.05853,40,40,-0.01514,0.13220
1996,Hesse,female,Difficult,0.10237,69,107,0.04466,0.16008
1996,Hesse,female,Almost impossible,0.06210,38,107,0.01616,0.10805
1996,"Rhineland-Palatinate, Saarland",female,Difficult,0.11265,56,112,0.05383,0.17147
1996,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.12726,56,112,0.06526,0.18926
1996,Baden-Wuerttemberg,male,Difficult,0.03402,44,95,-0.00263,0.07067
1996,Baden-Wuerttemberg,male,Almost impossible,0.03701,51,95,-0.00115,0.07518
1996,Baden-Wuerttemberg,female,Easy,0.03768,43,291,0.01576,0.05959
1996,Baden-Wuerttemberg,female,Difficult,0.12072,149,291,0.08322,0.15822
1996,Baden-Wuerttemberg,female,Almost impossible,0.06930,99,291,0.04007,0.09853
1996,Bavaria,male,Difficult,0.06788,68,68,0.00765,0.12811
1996,Bavaria,female,Easy,0.04224,56,266,0.01803,0.06646
1996,Bavaria,female,Difficult,0.09568,127,266,0.06026,0.13110
1996,Bavaria,female,Almost impossible,0.06769,83,266,0.03745,0.09794
1996,Berlin,female,Difficult,0.12937,44,44,0.02906,0.22968
1996,Brandenburg,female,Difficult,0.13659,57,57,0.04664,0.22654
1996,Saxony,male,Difficult,0.06916,49,49,-0.00262,0.14093
1996,Saxony,female,Difficult,0.10331,81,135,0.05178,0.15485
1996,Saxony,female,Almost impossible,0.08622,54,135,0.03869,0.13374
1996,Saxony-Anhalt,male,Difficult,0.11050,42,42,0.01453,0.20646
1996,Saxony-Anhalt,female,Difficult,0.09823,48,86,0.03496,0.16150
1996,Saxony-Anhalt,female,Almost impossible,0.07457,38,86,0.01872,0.13042
1996,Thuringa,male,Difficult,0.09642,37,37,-0.00000,0.19284
1996,Thuringa,female,Difficult,0.09646,48,48,0.01206,0.18086
1997,Lower Saxony,male,Difficult,0.05295,39,39,-0.01825,0.12416
1997,Lower Saxony,female,Difficult,0.13399,86,145,0.07835,0.18962
1997,Lower Saxony,female,Almost impossible,0.07417,59,145,0.03137,0.11698
1997,North Rhine-Westphalia,male,Difficult,0.06054,110,169,0.02448,0.09660
1997,North Rhine-Westphalia,male,Almost impossible,0.03607,59,169,0.00788,0.06427
1997,North Rhine-Westphalia,female,Easy,0.03703,62,455,0.01966,0.05440
1997,North Rhine-Westphalia,female,Difficult,0.11956,225,455,0.08972,0.14941
1997,North Rhine-Westphalia,female,Almost impossible,0.09142,168,455,0.06491,0.11793
1997,Hesse,male,Difficult,0.06186,32,32,-0.02294,0.14667
1997,Hesse,female,Difficult,0.09446,62,101,0.03713,0.15178
1997,Hesse,female,Almost impossible,0.06857,39,101,0.01904,0.11810
1997,"Rhineland-Palatinate, Saarland",female,Difficult,0.13232,66,117,0.07066,0.19399
1997,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.10108,51,117,0.04623,0.15594
1997,Baden-Wuerttemberg,male,Difficult,0.04933,69,120,0.01042,0.08824
1997,Baden-Wuerttemberg,male,Almost impossible,0.02675,51,120,-0.00224,0.05574
1997,Baden-Wuerttemberg,female,Easy,0.02634,33,300,0.00819,0.04449
1997,Baden-Wuerttemberg,female,Difficult,0.12416,155,300,0.08678,0.16154
1997,Baden-Wuerttemberg,female,Almost impossible,0.08199,112,300,0.05090,0.11309
1997,Bavaria,male,Difficult,0.05641,62,94,0.00952,0.10330
1997,Bavaria,male,Almost impossible,0.03207,32,94,-0.00374,0.06788
1997,Bavaria,female,Easy,0.03349,43,258,0.01149,0.05549
1997,Bavaria,female,Difficult,0.11703,143,258,0.07773,0.15633
1997,Bavaria,female,Almost impossible,0.05628,72,258,0.02810,0.08445
1997,Berlin,female,Difficult,0.09970,35,35,-0.00100,0.20041
1997,Brandenburg,female,Difficult,0.11036,45,45,0.01778,0.20295
1997,Saxony,male,Difficult,0.08506,62,62,0.01505,0.15506
1997,Saxony,female,Difficult,0.09446,67,116,0.04101,0.14792
1997,Saxony,female,Almost impossible,0.07034,49,116,0.02360,0.11708
1997,Saxony-Anhalt,male,Difficult,0.09486,38,38,0.00044,0.18927
1997,Saxony-Anhalt,female,Difficult,0.10620,50,85,0.04031,0.17208
1997,Saxony-Anhalt,female,Almost impossible,0.08430,35,85,0.02488,0.14372
1997,Thuringa,male,Difficult,0.11009,46,46,0.01864,0.20155
1997,Thuringa,female,Difficult,0.10832,59,59,0.02834,0.18830
1998,Schleswig-Holstein,female,Difficult,0.13285,32,32,0.01337,0.25233
1998,Lower Saxony,male,Difficult,0.05093,36,36,-0.02191,0.12377
1998,Lower Saxony,female,Difficult,0.12643,91,159,0.07461,0.17825
1998,Lower Saxony,female,Almost impossible,0.08113,68,159,0.03855,0.12370
1998,North Rhine-Westphalia,male,Difficult,0.06840,126,195,0.03288,0.10392
1998,North Rhine-Westphalia,male,Almost impossible,0.03641,69,195,0.01005,0.06276
1998,North Rhine-Westphalia,female,Easy,0.03495,72,479,0.01849,0.05142
1998,North Rhine-Westphalia,female,Difficult,0.11153,233,479,0.08331,0.13975
1998,North Rhine-Westphalia,female,Almost impossible,0.07956,174,479,0.05530,0.10382
1998,Hesse,male,Difficult,0.04746,34,34,-0.02508,0.12001
1998,Hesse,female,Difficult,0.12284,72,118,0.06336,0.18233
1998,Hesse,female,Almost impossible,0.07310,46,118,0.02593,0.12026
1998,"Rhineland-Palatinate, Saarland",female,Difficult,0.11840,69,126,0.06176,0.17504
1998,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.10505,57,126,0.05130,0.15880
1998,Baden-Wuerttemberg,male,Difficult,0.04737,67,104,0.00634,0.08839
1998,Baden-Wuerttemberg,male,Almost impossible,0.02109,37,104,-0.00666,0.04884
1998,Baden-Wuerttemberg,female,Easy,0.03134,43,314,0.01204,0.05065
