,Unnamed: 0,year,regtyp,sampreg,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
73,73,1995,Urban regions,East,Almost impossible,0.38535,81,3042,0.34583,0.42336
74,74,1995,Rural regions,West,Easy,0.1494,76,3042,0.1257,0.18035
75,75,1995,Rural regions,West,Difficult,0.51951,263,3042,0.47576,0.57707
76,76,1995,Rural regions,West,Almost impossible,0.33109,151,3042,0.29396,0.36619
77,77,1995,Rural regions,East,Easy,0.06135,33,3042,0.04982,0.0737
78,78,1995,Rural regions,East,Difficult,0.54381,297,3042,0.5026,0.57589
79,79,1995,Rural regions,East,Almost impossible,0.39484,175,3042,0.36342,0.42378
80,80,1996,Urban regions,West,Easy,0.1532,254,2994,0.13897,0.1679
81,81,1996,Urban regions,West,Difficult,0.50206,893,2994,0.47258,0.527
82,82,1996,Urban regions,West,Almost impossible,0.34474,590,2994,0.32035,0.37179
83,83,1996,Urban regions,East,Difficult,0.54655,136,2994,0.48875,0.60659
84,84,1996,Urban regions,East,Almost impossible,0.45345,100,2994,0.40284,0.50787
85,85,1996,Rural regions,West,Easy,0.15738,80,2994,0.13216,0.19011
86,86,1996,Rural regions,West,Difficult,0.54753,259,2994,0.50093,0.59482
87,87,1996,Rural regions,West,Almost impossible,0.29508,141,2994,0.26175,0.32928
88,88,1996,Rural regions,East,Easy,0.05792,38,2994,0.0496,0.06801
89,89,1996,Rural regions,East,Difficult,0.62394,341,2994,0.58299,0.67258
90,90,1996,Rural regions,East,Almost impossible,0.31814,162,2994,0.29289,0.34673
91,91,1997,Urban regions,West,Easy,0.11968,203,2926,0.10751,0.13253
92,92,1997,Urban regions,West,Difficult,0.52024,904,2926,0.495,0.54755
93,93,1997,Urban regions,West,Almost impossible,0.36008,612,2926,0.33339,0.38449
94,94,1997,Urban regions,East,Difficult,0.65196,160,2926,0.59015,0.72622
95,95,1997,Urban regions,East,Almost impossible,0.34804,86,2926,0.31106,0.40184
96,96,1997,Rural regions,West,Easy,0.11891,65,2926,0.10289,0.13728
97,97,1997,Rural regions,West,Difficult,0.55279,257,2926,0.50014,0.6028
98,98,1997,Rural regions,West,Almost impossible,0.3283,150,2926,0.28682,0.37323
99,99,1997,Rural regions,East,Difficult,0.60164,320,2926,0.57026,0.63792
100,100,1997,Rural regions,East,Almost impossible,0.39836,169,2926,0.35785,0.43051
101,101,1998,Urban regions,West,Easy,0.1282,242,3094,0.11632,0.14241
102,102,1998,Urban regions,West,Difficult,0.53533,946,3094,0.51468,0.56149
103,103,1998,Urban regions,West,Almost impossible,0.33648,629,3094,0.3188,0.35425
104,104,1998,Urban regions,East,Difficult,0.6646,145,3094,0.60554,0.73099
105,105,1998,Urban regions,East,Almost impossible,0.3354,76,3094,0.29617,0.38143
106,106,1998,Rural regions,West,Easy,0.11888,73,3094,0.101,0.13917
107,107,1998,Rural regions,West,Difficult,0.57149,274,3094,0.52212,0.61446
108,108,1998,Rural regions,West,Almost impossible,0.30962,161,3094,0.27427,0.34393
109,109,1998,Rural regions,East,Difficult,0.62735,366,3094,0.5899,0.67403
110,110,1998,Rural regions,East,Almost impossible,0.37265,182,3094,0.34174,0.40265
111,111,1999,Urban regions,West,Easy,0.1473,221,2763,0.13183,0.16291
112,112,1999,Urban regions,West,Difficult,0.50526,821,2763,0.48012,0.53188
113,113,1999,Urban regions,West,Almost impossible,0.34744,544,2763,0.32421,0.36848
114,114,1999,Urban regions,East,Difficult,0.68127,146,2763,0.61167,0.76482
115,115,1999,Urban regions,East,Almost impossible,0.31873,70,2763,0.27381,0.38067
116,116,1999,Rural regions,West,Easy,0.14977,69,2763,0.12229,0.18666
117,117,1999,Rural regions,West,Difficult,0.52749,239,2763,0.47512,0.58043
118,118,1999,Rural regions,West,Almost impossible,0.32274,133,2763,0.28759,0.36876
119,119,1999,Rural regions,East,Easy,0.06101,33,2763,0.04455,0.082
120,120,1999,Rural regions,East,Difficult,0.60623,327,2763,0.56409,0.65375
121,121,1999,Rural regions,East,Almost impossible,0.33276,160,2763,0.30207,0.3681
122,122,2000,Urban regions,West,Easy,0.16986,459,4731,0.16137,0.17803
123,123,2000,Urban regions,West,Difficult,0.48652,1334,4731,0.47117,0.50476
124,124,2000,Urban regions,West,Almost impossible,0.34362,973,4731,0.33329,0.35545
125,125,2000,Urban regions,East,Difficult,0.61629,209,4731,0.57459,0.65877
126,126,2000,Urban regions,East,Almost impossible,0.38371,118,4731,0.3445,0.43087
127,127,2000,Rural regions,West,Easy,0.18853,160,4731,0.17255,0.20969
128,128,2000,Rural regions,West,Difficult,0.49429,429,4731,0.46606,0.5241
129,129,2000,Rural regions,West,Almost impossible,0.31718,271,4731,0.29786,0.33673
130,130,2000,Rural regions,East,Easy,0.06706,51,4731,0.05342,0.07903
131,131,2000,Rural regions,East,Difficult,0.60233,471,4731,0.57287,0.63132
132,132,2000,Rural regions,East,Almost impossible,0.33061,256,4731,0.31099,0.35151
133,133,2001,Urban regions,West,Easy,0.18969,465,4140,0.17786,0.201
134,134,2001,Urban regions,West,Difficult,0.46864,1084,4140,0.45367,0.4862
135,135,2001,Urban regions,West,Almost impossible,0.34167,814,4140,0.32871,0.35726
136,136,2001,Urban regions,East,Easy,0.11713,33,4140,0.09497,0.1392
137,137,2001,Urban regions,East,Difficult,0.57317,183,4140,0.51434,0.62438
138,138,2001,Urban regions,East,Almost impossible,0.3097,98,4140,0.27607,0.3426
139,139,2001,Rural regions,West,Easy,0.18609,141,4140,0.1665,0.20416
140,140,2001,Rural regions,West,Difficult,0.49745,382,4140,0.46882,0.53061
141,141,2001,Rural regions,West,Almost impossible,0.31646,223,4140,0.29145,0.34201
142,142,2001,Rural regions,East,Easy,0.0706,54,4140,0.05904,0.0842
143,143,2001,Rural regions,East,Difficult,0.62691,451,4140,0.58875,0.65548
144,144,2001,Rural regions,East,Almost impossible,0.3025,212,4140,0.28185,0.32811
145,145,2002,Urban regions,West,Easy,0.18851,470,4245,0.17381,0.20078
146,146,2002,Urban regions,West,Difficult,0.48154,1218,4245,0.45977,0.50409
147,147,2002,Urban regions,West,Almost impossible,0.32995,800,4245,0.31649,0.34859
148,148,2002,Urban regions,East,Difficult,0.65936,190,4245,0.58245,0.72471
149,149,2002,Urban regions,East,Almost impossible,0.34064,104,4245,0.30957,0.37564
150,150,2002,Rural regions,West,Easy,0.15318,148,4245,0.13435,0.17156
151,151,2002,Rural regions,West,Difficult,0.56204,401,4245,0.52495,0.61224
152,152,2002,Rural regions,West,Almost impossible,0.28478,206,4245,0.26119,0.31719
153,153,2002,Rural regions,East,Easy,0.06101,51,4245,0.04715,0.07239
154,154,2002,Rural regions,East,Difficult,0.61231,423,4245,0.57042,0.65875
155,155,2002,Rural regions,East,Almost impossible,0.32668,234,4245,0.30131,0.35178
156,156,2003,Urban regions,West,Easy,0.16136,303,3048,0.14708,0.17465
157,157,2003,Urban regions,West,Difficult,0.64044,1017,3048,0.61173,0.67769
158,158,2003,Urban regions,West,Almost impossible,0.1982,330,3048,0.18092,0.2156
159,159,2003,Urban regions,East,Difficult,0.71593,205,3048,0.6452,0.79294
160,160,2003,Urban regions,East,Almost impossible,0.28407,88,3048,0.24429,0.33944
161,161,2003,Rural regions,West,Easy,0.14348,80,3048,0.11929,0.16942
162,162,2003,Rural regions,West,Difficult,0.68813,308,3048,0.63152,0.74848
163,163,2003,Rural regions,West,Almost impossible,0.16839,83,3048,0.14319,0.19281
164,164,2003,Rural regions,East,Easy,0.05873,36,3048,0.04191,0.07547
165,165,2003,Rural regions,East,Difficult,0.63068,412,3048,0.58521,0.67607
166,166,2003,Rural regions,East,Almost impossible,0.31059,186,3048,0.28319,0.33753
167,167,2004,Urban regions,West,Easy,0.13365,269,3137,0.11984,0.14785
168,168,2004,Urban regions,West,Difficult,0.63196,1059,3137,0.60189,0.66303
169,169,2004,Urban regions,West,Almost impossible,0.23438,371,3137,0.21388,0.25097
170,170,2004,Urban regions,East,Difficult,0.63379,197,3137,0.56307,0.71422
171,171,2004,Urban regions,East,Almost impossible,0.36621,91,3137,0.32155,0.41863
172,172,2004,Rural regions,West,Easy,0.16556,91,3137,0.13955,0.19492
173,173,2004,Rural regions,West,Difficult,0.6244,330,3137,0.56457,0.67931
174,174,2004,Rural regions,West,Almost impossible,0.21004,100,3137,0.17994,0.23624
175,175,2004,Rural regions,East,Easy,0.03998,41,3137,0.02986,0.05095
176,176,2004,Rural regions,East,Difficult,0.65395,406,3137,0.60349,0.72167
177,177,2004,Rural regions,East,Almost impossible,0.30607,182,3137,0.27177,0.33898
178,178,2005,Urban regions,West,Easy,0.10929,219,3007,0.0984,0.1227
179,179,2005,Urban regions,West,Difficult,0.6465,1028,3007,0.61571,0.68231
180,180,2005,Urban regions,West,Almost impossible,0.24421,407,3007,0.2263,0.26649
181,181,2005,Urban regions,East,Difficult,0.6879,201,3007,0.6074,0.76251
182,182,2005,Urban regions,East,Almost impossible,0.3121,91,3007,0.26844,0.35653
183,183,2005,Rural regions,West,Easy,0.08979,56,3007,0.06837,0.11239
184,184,2005,Rural regions,West,Difficult,0.69315,305,3007,0.62913,0.76635
185,185,2005,Rural regions,West,Almost impossible,0.21705,110,3007,0.18456,0.24915
186,186,2005,Rural regions,East,Difficult,0.68973,398,3007,0.62862,0.76086
187,187,2005,Rural regions,East,Almost impossible,0.31027,192,3007,0.27756,0.34735
188,188,2006,Urban regions,West,Easy,0.13182,251,3028,0.11842,0.14694
189,189,2006,Urban regions,West,Difficult,0.62554,1022,3028,0.59512,0.65663
190,190,2006,Urban regions,West,Almost impossible,0.24264,388,3028,0.22332,0.26713
191,191,2006,Urban regions,East,Difficult,0.72948,186,3028,0.64528,0.81527
192,192,2006,Urban regions,East,Almost impossible,0.27052,72,3028,0.23262,0.31047
193,193,2006,Rural regions,West,Easy,0.13709,81,3028,0.11465,0.16051
194,194,2006,Rural regions,West,Difficult,0.65157,314,3028,0.59345,0.71523
195,195,2006,Rural regions,West,Almost impossible,0.21134,118,3028,0.1837,0.23709
196,196,2006,Rural regions,East,Easy,0.04979,34,3028,0.03906,0.06515
197,197,2006,Rural regions,East,Difficult,0.59031,367,3028,0.5348,0.64426
198,198,2006,Rural regions,East,Almost impossible,0.3599,195,3028,0.3277,0.39705
199,199,2007,Urban regions,West,Easy,0.14986,260,2531,0.13669,0.16675
200,200,2007,Urban regions,West,Difficult,0.60984,827,2531,0.57018,0.64895
201,201,2007,Urban regions,West,Almost impossible,0.2403,316,2531,0.22185,0.26484
202,202,2007,Urban regions,East,Difficult,0.68446,151,2531,0.57758,0.78941
203,203,2007,Urban regions,East,Almost impossible,0.31554,64,2531,0.24385,0.38297
204,204,2007,Rural regions,West,Easy,0.13851,63,2531,0.0992,0.17848
205,205,2007,Rural regions,West,Difficult,0.64005,259,2531,0.58046,0.69659
206,206,2007,Rural regions,West,Almost impossible,0.22143,91,2531,0.19254,0.2537
207,207,2007,Rural regions,East,Easy,0.07267,45,2531,0.06053,0.08628
208,208,2007,Rural regions,East,Difficult,0.57655,289,2531,0.51594,0.63014
209,209,2007,Rural regions,East,Almost impossible,0.35077,166,2531,0.31066,0.3917
210,210,2008,Urban regions,West,Easy,0.15968,230,2271,0.1409,0.18308
211,211,2008,Urban regions,West,Difficult,0.62219,733,2271,0.58295,0.65986
212,212,2008,Urban regions,West,Almost impossible,0.21813,251,2271,0.19651,0.24383
213,213,2008,Urban regions,East,Easy,0.17946,38,2271,0.12961,0.24563
214,214,2008,Urban regions,East,Difficult,0.59008,133,2271,0.51105,0.67529
215,215,2008,Urban regions,East,Almost impossible,0.23046,55,2271,0.18903,0.27357
216,216,2008,Rural regions,West,Easy,0.19093,75,2271,0.1568,0.22911
217,217,2008,Rural regions,West,Difficult,0.61643,226,2271,0.54843,0.68792
218,218,2008,Rural regions,West,Almost impossible,0.19264,81,2271,0.16245,0.23335
219,219,2008,Rural regions,East,Easy,0.09788,49,2271,0.07818,0.12052
220,220,2008,Rural regions,East,Difficult,0.55663,252,2271,0.50177,0.63152
221,221,2008,Rural regions,East,Almost impossible,0.34549,148,2271,0.29983,0.40525
222,222,2009,Urban regions,West,Easy,0.18697,224,2060,0.163,0.21226
223,223,2009,Urban regions,West,Difficult,0.59523,649,2060,0.55489,0.64214
224,224,2009,Urban regions,West,Almost impossible,0.21779,236,2060,0.19322,0.24677
225,225,2009,Urban regions,East,Easy,0.15131,31,2060,0.10664,0.22269
226,226,2009,Urban regions,East,Difficult,0.58991,111,2060,0.47624,0.73122
227,227,2009,Urban regions,East,Almost impossible,0.25878,58,2060,0.21915,0.30871
228,228,2009,Rural regions,West,Easy,0.23882,81,2060,0.19762,0.28785
229,229,2009,Rural regions,West,Difficult,0.51569,189,2060,0.4503,0.58336
230,230,2009,Rural regions,West,Almost impossible,0.24549,76,2060,0.19735,0.29994
231,231,2009,Rural regions,East,Easy,0.10842,44,2060,0.08173,0.14472
232,232,2009,Rural regions,East,Difficult,0.5999,239,2060,0.52724,0.68067
233,233,2009,Rural regions,East,Almost impossible,0.29168,122,2060,0.24816,0.34438
234,234,2010,Urban regions,West,Easy,0.19475,565,4353,0.16959,0.22487
235,235,2010,Urban regions,West,Difficult,0.59134,1443,4353,0.54097,0.63649
236,236,2010,Urban regions,West,Almost impossible,0.21391,515,4353,0.18706,0.24305
237,237,2010,Urban regions,East,Easy,0.13955,61,4353,0.08656,0.19354
238,238,2010,Urban regions,East,Difficult,0.60146,218,4353,0.48035,0.72279
239,239,2010,Urban regions,East,Almost impossible,0.25899,90,4353,0.19009,0.32037
240,240,2010,Rural regions,West,Easy,0.20105,177,4353,0.14537,0.26262
241,241,2010,Rural regions,West,Difficult,0.60116,496,4353,0.51961,0.67099
242,242,2010,Rural regions,West,Almost impossible,0.19779,172,4353,0.15603,0.25092
243,243,2010,Rural regions,East,Easy,0.08624,79,4353,0.06475,0.11278
244,244,2010,Rural regions,East,Difficult,0.63726,376,4353,0.52899,0.75991
245,245,2010,Rural regions,East,Almost impossible,0.2765,161,4353,0.22967,0.33313
246,246,2011,Urban regions,West,Easy,0.26344,581,4243,0.24108,0.2903
247,247,2011,Urban regions,West,Difficult,0.5334,1307,4243,0.4961,0.57626
248,248,2011,Urban regions,West,Almost impossible,0.20317,489,4243,0.18114,0.22607
249,249,2011,Urban regions,East,Easy,0.17689,63,4243,0.13283,0.22362
250,250,2011,Urban regions,East,Difficult,0.61994,233,4243,0.53666,0.7177
251,251,2011,Urban regions,East,Almost impossible,0.20317,83,4243,0.16412,0.23776
252,252,2011,Rural regions,West,Easy,0.19105,177,4243,0.158,0.22872
253,253,2011,Rural regions,West,Difficult,0.62463,508,4243,0.55096,0.71237
254,254,2011,Rural regions,West,Almost impossible,0.18432,178,4243,0.14767,0.22559
255,255,2011,Rural regions,East,Easy,0.09437,72,4243,0.06965,0.12202
256,256,2011,Rural regions,East,Difficult,0.60321,365,4243,0.50352,0.68537
257,257,2011,Rural regions,East,Almost impossible,0.30242,187,4243,0.26686,0.33832
258,258,2012,Urban regions,West,Easy,0.24737,535,3879,0.22757,0.26694
259,259,2012,Urban regions,West,Difficult,0.56668,1172,3879,0.52827,0.60894
260,260,2012,Urban regions,West,Almost impossible,0.18596,452,3879,0.16621,0.20794
261,261,2012,Urban regions,East,Easy,0.16536,57,3879,0.12672,0.20491
262,262,2012,Urban regions,East,Difficult,0.61948,206,3879,0.51219,0.70951
263,263,2012,Urban regions,East,Almost impossible,0.21516,74,3879,0.16469,0.26104
264,264,2012,Rural regions,West,Easy,0.24531,195,3879,0.20426,0.28512
265,265,2012,Rural regions,West,Difficult,0.55579,422,3879,0.48286,0.63161
266,266,2012,Rural regions,West,Almost impossible,0.1989,170,3879,0.16149,0.24251
267,267,2012,Rural regions,East,Easy,0.11354,77,3879,0.08455,0.14609
268,268,2012,Rural regions,East,Difficult,0.65633,354,3879,0.56359,0.74456
269,269,2012,Rural regions,East,Almost impossible,0.23013,165,3879,0.20048,0.26412
270,270,2013,Urban regions,West,Easy,0.25416,724,4605,0.23034,0.2806
271,271,2013,Urban regions,West,Difficult,0.547,1501,4605,0.51376,0.58688
272,272,2013,Urban regions,West,Almost impossible,0.19884,582,4605,0.1777,0.219
273,273,2013,Urban regions,East,Easy,0.23567,68,4605,0.18411,0.29783
274,274,2013,Urban regions,East,Difficult,0.48045,171,4605,0.39676,0.59728
275,275,2013,Urban regions,East,Almost impossible,0.28387,76,4605,0.22884,0.34375
276,276,2013,Rural regions,West,Easy,0.25548,224,4605,0.22104,0.29939
277,277,2013,Rural regions,West,Difficult,0.55097,509,4605,0.4944,0.62504
278,278,2013,Rural regions,West,Almost impossible,0.19355,192,4605,0.1565,0.23398
279,279,2013,Rural regions,East,Easy,0.12577,75,4605,0.08477,0.17466
280,280,2013,Rural regions,East,Difficult,0.59503,335,4605,0.49535,0.66807
281,281,2013,Rural regions,East,Almost impossible,0.2792,148,4605,0.22787,0.34636
282,282,2014,Urban regions,West,Easy,0.23121,539,3829,0.20642,0.25512
283,283,2014,Urban regions,West,Difficult,0.55081,1232,3829,0.51077,0.58748
284,284,2014,Urban regions,West,Almost impossible,0.21798,523,3829,0.19789,0.24685
285,285,2014,Urban regions,East,Easy,0.20423,62,3829,0.16459,0.25867
286,286,2014,Urban regions,East,Difficult,0.55894,165,3829,0.45776,0.6616
287,287,2014,Urban regions,East,Almost impossible,0.23684,56,3829,0.17005,0.32534
288,288,2014,Rural regions,West,Easy,0.23496,196,3829,0.1983,0.27128
289,289,2014,Rural regions,West,Difficult,0.57123,405,3829,0.49004,0.64174
290,290,2014,Rural regions,West,Almost impossible,0.19381,147,3829,0.16147,0.2331
291,291,2014,Rural regions,East,Easy,0.10192,57,3829,0.06904,0.14538
292,292,2014,Rural regions,East,Difficult,0.65339,312,3829,0.56546,0.75676
293,293,2014,Rural regions,East,Almost impossible,0.24469,135,3829,0.20202,0.29212
294,294,2015,Urban regions,West,Easy,0.23169,520,3899,0.20343,0.26117
295,295,2015,Urban regions,West,Difficult,0.57092,1316,3899,0.52523,0.60907
296,296,2015,Urban regions,West,Almost impossible,0.19739,525,3899,0.17638,0.21889
297,297,2015,Urban regions,East,Easy,0.22638,54,3899,0.16139,0.30505
298,298,2015,Urban regions,East,Difficult,0.48983,146,3899,0.39328,0.58951
299,299,2015,Urban regions,East,Almost impossible,0.28378,66,3899,0.21714,0.38228
300,300,2015,Rural regions,West,Easy,0.24894,201,3899,0.21104,0.29043
301,301,2015,Rural regions,West,Difficult,0.57249,452,3899,0.50419,0.64455
302,302,2015,Rural regions,West,Almost impossible,0.17857,158,3899,0.14785,0.21427
303,303,2015,Rural regions,East,Easy,0.1624,80,3899,0.10863,0.22948
304,304,2015,Rural regions,East,Difficult,0.59032,256,3899,0.49823,0.67493
305,305,2015,Rural regions,East,Almost impossible,0.24728,125,3899,0.20106,0.28767
306,306,2016,Urban regions,West,Easy,0.27231,478,3233,0.24142,0.30437
307,307,2016,Urban regions,West,Difficult,0.53477,1051,3233,0.49728,0.5788
308,308,2016,Urban regions,West,Almost impossible,0.19292,437,3233,0.17493,0.21309
309,309,2016,Urban regions,East,Easy,0.31556,57,3233,0.2196,0.43611
310,310,2016,Urban regions,East,Difficult,0.4613,126,3233,0.37883,0.54601
311,311,2016,Urban regions,East,Almost impossible,0.22313,54,3233,0.15492,0.3077
312,312,2016,Rural regions,West,Easy,0.25938,173,3233,0.21165,0.31059
313,313,2016,Rural regions,West,Difficult,0.53945,330,3233,0.44521,0.62473
314,314,2016,Rural regions,West,Almost impossible,0.20117,154,3233,0.16643,0.24534
315,315,2016,Rural regions,East,Easy,0.16638,71,3233,0.12129,0.22949
316,316,2016,Rural regions,East,Difficult,0.58861,194,3233,0.45432,0.74616
317,317,2016,Rural regions,East,Almost impossible,0.245,108,3233,0.20241,0.29756
318,318,2017,Urban regions,West,Easy,0.28277,713,4867,0.25699,0.31177
319,319,2017,Urban regions,West,Difficult,0.51192,1735,4867,0.47121,0.56156
320,320,2017,Urban regions,West,Almost impossible,0.20531,554,4867,0.18086,0.23177
321,321,2017,Urban regions,East,Easy,0.3251,90,4867,0.23178,0.44043
322,322,2017,Urban regions,East,Difficult,0.46377,216,4867,0.37743,0.55875
323,323,2017,Urban regions,East,Almost impossible,0.21113,84,4867,0.16497,0.27081
324,324,2017,Rural regions,West,Easy,0.26789,230,4867,0.21291,0.32277
325,325,2017,Rural regions,West,Difficult,0.52772,478,4867,0.44431,0.6089
326,326,2017,Rural regions,West,Almost impossible,0.20439,190,4867,0.1616,0.25715
327,327,2017,Rural regions,East,Easy,0.1637,85,4867,0.12191,0.20759
328,328,2017,Rural regions,East,Difficult,0.5927,333,4867,0.48765,0.71436
329,329,2017,Rural regions,East,Almost impossible,0.24361,159,4867,0.19816,0.2907
330,330,2018,Urban regions,West,Easy,0.30168,823,5304,0.2743,0.32954
331,331,2018,Urban regions,West,Difficult,0.49407,1924,5304,0.44969,0.53777
332,332,2018,Urban regions,West,Almost impossible,0.20424,590,5304,0.18021,0.23419
333,333,2018,Urban regions,East,Easy,0.35017,102,5304,0.27042,0.44689
334,334,2018,Urban regions,East,Difficult,0.50029,232,5304,0.36397,0.64919
335,335,2018,Urban regions,East,Almost impossible,0.14953,70,5304,0.10022,0.21235
336,336,2018,Rural regions,West,Easy,0.23723,219,5304,0.18425,0.27826
337,337,2018,Rural regions,West,Difficult,0.52311,571,5304,0.45268,0.60629
338,338,2018,Rural regions,West,Almost impossible,0.23966,201,5304,0.18646,0.29336
339,339,2018,Rural regions,East,Easy,0.26114,98,5304,0.19421,0.33812
340,340,2018,Rural regions,East,Difficult,0.53218,332,5304,0.44876,0.63399
341,341,2018,Rural regions,East,Almost impossible,0.20669,142,5304,0.16137,0.25334
342,342,2019,Urban regions,West,Easy,0.32336,744,4465,0.28531,0.36868
