year,plb0419_h,quintil_oecd,sex,proportion,n,lower_confidence,upper_confidence
2005,Easy,5th Quintile,female,0.13356164383561644,25520,0.12938790328339067,0.13773538438784222
2005,Easy,3rd Quintile,female,0.13356164383561644,25520,0.12938790328339067,0.13773538438784222
2005,Easy,4th Quintile,female,0.1232876712328767,25520,0.11925396637710071,0.12732137608865268
2005,Easy,1st Quintile,female,0.11986301369863013,25520,0.11587796650727514,0.12384806088998512
2005,Easy,2nd Quintile,female,0.11643835616438356,25520,0.11250301673975784,0.12037369558900927
2005,Easy,3rd Quintile,male,0.0821917808219178,25520,0.07882196703524869,0.08556159460858692
2005,Easy,1st Quintile,male,0.07191780821917808,25520,0.06874804240176102,0.07508757403659513
2005,Easy,4th Quintile,male,0.0547945205479452,25520,0.052002314797032094,0.05758672629885831
2005,Easy,2nd Quintile,male,0.0273972602739726,25520,0.025394462738068425,0.029400057809876777
2005,Difficult,1st Quintile,female,0.16629588431590656,25520,0.16172750181277212,0.170864266819041
2005,Difficult,2nd Quintile,female,0.13125695216907676,25520,0.1271138793631625,0.135400024974991
2005,Difficult,3rd Quintile,female,0.12625139043381536,25520,0.12217639552903195,0.13032638533859878
2005,Difficult,1st Quintile,male,0.1117908787541713,25520,0.10792474802002187,0.11565700948832074
2005,Difficult,4th Quintile,female,0.10734149054505006,25520,0.10354360194518233,0.11113937914491778
2005,Difficult,2nd Quintile,male,0.08398220244716352,25520,0.08057920735959075,0.0873851975347363
2005,Difficult,5th Quintile,female,0.07953281423804227,25520,0.07621315835623214,0.0828524701198524
2005,Difficult,4th Quintile,male,0.07452725250278086,25520,0.07130503309523487,0.07774947191032686
2005,Difficult,3rd Quintile,male,0.07341490545050056,25520,0.07021490151029162,0.07661490939070949
2005,Difficult,5th Quintile,male,0.04560622914349277,25520,0.0430465141231413,0.048165944163844246
2005,Almost impossible,1st Quintile,female,0.19727891156462585,25520,0.19239645482253545,0.20216136830671624
2005,Almost impossible,1st Quintile,male,0.18775510204081633,25520,0.18296378282666328,0.19254642125496937
2005,Almost impossible,3rd Quintile,female,0.11428571428571428,25520,0.11038217517935721,0.11818925339207136
2005,Almost impossible,2nd Quintile,female,0.11292517006802721,25520,0.1090419568140458,0.11680838332200863
2005,Almost impossible,2nd Quintile,male,0.08571428571428572,25520,0.08227962922436394,0.08914894220420749
2005,Almost impossible,5th Quintile,female,0.07755102040816327,25520,0.07426945796968712,0.08083258284663941
2005,Almost impossible,4th Quintile,female,0.0761904761904762,25520,0.07293542893479588,0.07944552344615652
2005,Almost impossible,3rd Quintile,male,0.07346938775510205,25520,0.07026829076444811,0.07667048474575598
2005,Almost impossible,5th Quintile,male,0.04353741496598639,25520,0.04103372211695898,0.046041107815013804
2005,Almost impossible,4th Quintile,male,0.031292517006802724,25520,0.029156364219976378,0.03342866979362907
2006,Easy,4th Quintile,female,0.14868804664723032,27321,0.14446923467840753,0.1529068586160531
2006,Easy,1st Quintile,female,0.13994169096209913,27321,0.135827870989541,0.14405551093465727
2006,Easy,5th Quintile,female,0.1282798833819242,27321,0.12431458759970183,0.13224517916414658
2006,Easy,3rd Quintile,female,0.12536443148688048,27321,0.12143790518598518,0.12929095778777577
2006,Easy,5th Quintile,male,0.10204081632653061,27321,0.09845140659364714,0.10563022605941409
2006,Easy,4th Quintile,male,0.09912536443148688,27321,0.0955818651103171,0.10266886375265666
2006,Easy,2nd Quintile,female,0.07580174927113703,27321,0.07266319270194359,0.07894030584033047
2006,Easy,1st Quintile,male,0.06997084548104957,27321,0.06694592043349762,0.07299577052860151
2006,Easy,3rd Quintile,male,0.0641399416909621,27321,0.06123473181200169,0.06704515156992251
2006,Easy,2nd Quintile,male,0.04664723032069971,27321,0.04414661133999738,0.049147849301402036
2006,Difficult,1st Quintile,female,0.1646415552855407,27321,0.16024397335614146,0.16903913721493993
2006,Difficult,3rd Quintile,female,0.13487241798298907,27321,0.13082191061308435,0.1389229253528938
2006,Difficult,1st Quintile,male,0.13001215066828675,27321,0.1260241397330114,0.1340001616035621
2006,Difficult,2nd Quintile,female,0.12879708383961117,27321,0.12482498130268678,0.13276918637653556
2006,Difficult,4th Quintile,female,0.10388821385176185,27321,0.10027018513002904,0.10750624257349466
2006,Difficult,5th Quintile,female,0.08080194410692589,27321,0.07757030221461171,0.08403358599924006
2006,Difficult,2nd Quintile,male,0.07533414337788578,27321,0.07220449091275477,0.0784637958430168
2006,Difficult,4th Quintile,male,0.06986634264884568,27321,0.0668435075215424,0.07288917777614896
2006,Difficult,3rd Quintile,male,0.060753341433778855,27321,0.05792075813859393,0.06358592472896378
2006,Difficult,5th Quintile,male,0.05103280680437424,27321,0.04842330198882531,0.05364231161992317
2006,Almost impossible,1st Quintile,female,0.2,27321,0.19525684008546085,0.20474315991453917
2006,Almost impossible,1st Quintile,male,0.16390977443609023,27321,0.15952005488402238,0.16829949398815808
2006,Almost impossible,2nd Quintile,female,0.11879699248120301,27321,0.11496037515219061,0.12263360981021541
2006,Almost impossible,3rd Quintile,female,0.11729323308270677,27321,0.1134777240820765,0.12110874208333704
2006,Almost impossible,4th Quintile,female,0.09022556390977443,27321,0.0868282205426893,0.09362290727685957
2006,Almost impossible,5th Quintile,female,0.07218045112781955,27321,0.06911178717959006,0.07524911507604905
2006,Almost impossible,3rd Quintile,male,0.07218045112781955,27321,0.06911178717959006,0.07524911507604905
2006,Almost impossible,2nd Quintile,male,0.06616541353383458,27321,0.06321788329838006,0.0691129437692891
2006,Almost impossible,5th Quintile,male,0.058646616541353384,27321,0.05586045944355582,0.06143277363915095
2006,Almost impossible,4th Quintile,male,0.0406015037593985,27321,0.038261167012081994,0.042941840506715005
2007,Easy,5th Quintile,female,0.1468354430379747,25385,0.14248133361505133,0.15118955246089805
2007,Easy,4th Quintile,female,0.13670886075949368,25385,0.1324827151021347,0.14093500641685267
2007,Easy,5th Quintile,male,0.12151898734177215,25385,0.1174996380610552,0.1255383366224891
