year,bula_h,quintil_oecd,plb0419_h,proportion,n,lower_confidence,upper_confidence
1987,Baden-Württemberg,1. Quintil,Leicht,0.016122364613476645,13496,0.013997464839876935,0.018247264387076356
1987,Baden-Württemberg,2. Quintil,Prakt. unmoeglich,0.014468788755684168,13496,0.012454114597271,0.016483462914097333
1987,Bayern,1. Quintil,Leicht,0.01364200082678793,13496,0.011684915063004437,0.015599086590571421
1987,Niedersachsen,2. Quintil,Schwierig,0.01322860686233981,13496,0.011300998210698621,0.015156215513980997
1987,Schleswig-Holstein,1. Quintil,Schwierig,0.010748243075651096,13496,0.009008537755817475,0.012487948395484717
1987,Berlin,1. Quintil,Schwierig,0.010748243075651096,13496,0.009008537755817475,0.012487948395484717
1987,Hessen,2. Quintil,Schwierig,0.009921455146754857,13496,0.008249302009730113,0.011593608283779602
1987,Hessen,1. Quintil,Leicht,0.009921455146754857,13496,0.008249302009730113,0.011593608283779602
1987,Nordrhein-Westfalen,3. Quintil,Prakt. unmoeglich,0.009508061182306739,13496,0.007870773505528866,0.011145348859084612
1987,"Rheinland-Pfalz,Saarland",2. Quintil,Schwierig,0.009094667217858619,13496,0.007493034154376568,0.01069630028134067
1987,Niedersachsen,2. Quintil,Prakt. unmoeglich,0.00826787928896238,13496,0.006740145127208769,0.009795613450715992
1987,Bayern,2. Quintil,Leicht,0.00826787928896238,13496,0.006740145127208769,0.009795613450715992
1987,Bayern,2. Quintil,Prakt. unmoeglich,0.00826787928896238,13496,0.006740145127208769,0.009795613450715992
1987,Hessen,3. Quintil,Schwierig,0.00826787928896238,13496,0.006740145127208769,0.009795613450715992
1987,Hamburg,1. Quintil,Schwierig,0.007854485324514262,13496,0.006365123939749334,0.00934384670927919
1987,Niedersachsen,1. Quintil,Leicht,0.007854485324514262,13496,0.006365123939749334,0.00934384670927919
1987,Baden-Württemberg,2. Quintil,Leicht,0.007854485324514262,13496,0.006365123939749334,0.00934384670927919
1987,Hessen,2. Quintil,Prakt. unmoeglich,0.007441091360066143,13496,0.0059911514611351475,0.008891031258997139
1987,Baden-Württemberg,3. Quintil,Schwierig,0.007027697395618024,13496,0.005618315688187998,0.00843707910304805
1987,Schleswig-Holstein,1. Quintil,Prakt. unmoeglich,0.006614303431169905,13496,0.0052467177502679915,0.007981889112071818
1987,Nordrhein-Westfalen,2. Quintil,Leicht,0.0062009094667217855,13496,0.00487647483163376,0.007525344101809811
1987,Bayern,3. Quintil,Schwierig,0.0062009094667217855,13496,0.00487647483163376,0.007525344101809811
1987,"Rheinland-Pfalz,Saarland",2. Quintil,Prakt. unmoeglich,0.005374121537825548,13496,0.004140627212513901,0.006607615863137195
1987,Berlin,1. Quintil,Prakt. unmoeglich,0.004960727573377429,13496,0.0037753783039557454,0.006146076842799112
1987,"Rheinland-Pfalz,Saarland",3. Quintil,Prakt. unmoeglich,0.0045473336089293095,13496,0.003412212363817481,0.005682454854041138
1987,Baden-Württemberg,4. Quintil,Schwierig,0.00413393964448119,13496,0.0030514192971744227,0.005216459991787958
1987,Baden-Württemberg,3. Quintil,Prakt. unmoeglich,0.00413393964448119,13496,0.0030514192971744227,0.005216459991787958
1987,Niedersachsen,3. Quintil,Schwierig,0.00413393964448119,13496,0.0030514192971744227,0.005216459991787958
1987,Niedersachsen,2. Quintil,Leicht,0.00413393964448119,13496,0.0030514192971744227,0.005216459991787958
1987,Bremen,1. Quintil,Prakt. unmoeglich,0.0037205456800330715,13496,0.0026933635763117655,0.004747727783754378
1987,Baden-Württemberg,3. Quintil,Leicht,0.0037205456800330715,13496,0.0026933635763117655,0.004747727783754378
1987,Schleswig-Holstein,2. Quintil,Schwierig,0.0037205456800330715,13496,0.0026933635763117655,0.004747727783754378
1987,Nordrhein-Westfalen,4. Quintil,Schwierig,0.0037205456800330715,13496,0.0026933635763117655,0.004747727783754378
1987,Nordrhein-Westfalen,3. Quintil,Leicht,0.0033071517155849523,13496,0.002338514241232077,0.004275789189937828
1987,Bayern,3. Quintil,Prakt. unmoeglich,0.0033071517155849523,13496,0.002338514241232077,0.004275789189937828
1987,Berlin,2. Quintil,Prakt. unmoeglich,0.0033071517155849523,13496,0.002338514241232077,0.004275789189937828
