year,sampreg,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,East,Almost impossible,0.22465,239,933,0.19786,0.25145
2013,West,Easy,0.25588,948,3732,0.24188,0.26988
2013,West,Difficult,0.54707,2010,3732,0.53110,0.56304
2013,West,Almost impossible,0.19705,774,3732,0.18428,0.20981
2013,East,Easy,0.16265,143,873,0.13815,0.18714
2013,East,Difficult,0.55737,506,873,0.52440,0.59033
2013,East,Almost impossible,0.27999,224,873,0.25019,0.30979
2014,West,Easy,0.23176,735,3042,0.21677,0.24676
2014,West,Difficult,0.55632,1637,3042,0.53866,0.57398
2014,West,Almost impossible,0.21192,670,3042,0.19739,0.22644
2014,East,Easy,0.13712,119,787,0.11307,0.16116
2014,East,Difficult,0.62053,477,787,0.58660,0.65445
2014,East,Almost impossible,0.24236,191,787,0.21240,0.27231
2015,West,Easy,0.23599,721,3172,0.22121,0.25076
2015,West,Difficult,0.57158,1768,3172,0.55436,0.58880
2015,West,Almost impossible,0.19243,683,3172,0.17871,0.20616
2015,East,Easy,0.18495,134,727,0.15671,0.21319
2015,East,Difficult,0.55463,402,727,0.51848,0.59079
2015,East,Almost impossible,0.26042,191,727,0.22849,0.29234
2016,West,Easy,0.27075,651,2623,0.25374,0.28775
2016,West,Difficult,0.53569,1381,2623,0.51660,0.55478
2016,West,Almost impossible,0.19357,591,2623,0.17844,0.20869
2016,East,Easy,0.22915,128,610,0.19577,0.26253
2016,East,Difficult,0.53401,320,610,0.49439,0.57363
2016,East,Almost impossible,0.23684,162,610,0.20307,0.27060
2017,West,Easy,0.27916,943,3900,0.26508,0.29324
2017,West,Difficult,0.51467,2213,3900,0.49898,0.53036
2017,West,Almost impossible,0.20617,744,3900,0.19347,0.21887
2017,East,Easy,0.23421,175,967,0.20751,0.26092
2017,East,Difficult,0.53563,549,967,0.50417,0.56708
2017,East,Almost impossible,0.23016,243,967,0.20362,0.25671
2018,West,Easy,0.28824,1042,4328,0.27474,0.30173
2018,West,Difficult,0.50076,2495,4328,0.48586,0.51566
2018,West,Almost impossible,0.21100,791,4328,0.19885,0.22316
2018,East,Easy,0.29332,200,976,0.26474,0.32190
2018,East,Difficult,0.52227,564,976,0.49092,0.55363
2018,East,Almost impossible,0.18441,212,976,0.16006,0.20875
2019,West,Easy,0.32941,990,3702,0.31427,0.34456
2019,West,Difficult,0.48787,2156,3702,0.47177,0.50398
2019,West,Almost impossible,0.18271,556,3702,0.17026,0.19516
2019,East,Easy,0.25841,181,833,0.22867,0.28816
2019,East,Difficult,0.53748,475,833,0.50360,0.57136
2019,East,Almost impossible,0.20410,177,833,0.17672,0.23149
2020,West,Easy,0.31579,899,3647,0.30070,0.33088
2020,West,Difficult,0.49680,2119,3647,0.48057,0.51303
2020,West,Almost impossible,0.18741,629,3647,0.17474,0.20007
2020,East,Easy,0.26985,174,808,0.23923,0.30048
2020,East,Difficult,0.55217,515,808,0.51786,0.58648
2020,East,Almost impossible,0.17797,119,808,0.15158,0.20436
2021,West,Easy,0.26098,207,862,0.23165,0.29032
2021,West,Difficult,0.58066,545,862,0.54770,0.61362
2021,West,Almost impossible,0.15836,110,862,0.13397,0.18274
2021,East,Easy,0.31637,33,119,0.23246,0.40028
2021,East,Difficult,0.50611,86,119,0.41590,0.59632
2022,West,Easy,0.24432,151,654,0.21136,0.27727
2022,West,Difficult,0.60735,423,654,0.56990,0.64481
2022,West,Almost impossible,0.14833,80,654,0.12107,0.17559
2022,East,Easy,0.30688,39,126,0.22603,0.38773
2022,East,Difficult,0.65541,87,126,0.57210,0.73873
